Id,Nme,Desc
118,@1,@1
119,@17,@17
120,@18,@18
121,@19,@19
122,@20,@20
123,@21,@21
124,@7,@108
125,@15,@15
126,@1,@1
127,@2,@2
128,@1,@1
129,@2,@2
130,@3,@3
131,@4,@4
132,@5,@5
133,@6,@6
134,@7,Defeat {TaskCount} Cruma Tower Floor 2 monster(s).
135,@1,@1
136,@9,@9
137,@10,@10
138,@6,@6
139,@1,@1
140,@2,@2
141,@3,@14
142,@90,@90
143,@15,@15
144,@1,@1
145,@17,@17
146,@18,@18
147,@19,@19
148,@20,@20
149,@21,@21
150,@7,@134
151,@15,@15
152,@1,@1
153,@2,@2
154,@1,@1
155,@2,@2
156,@3,@3
157,@4,@4
158,@5,@5
159,@6,@6
160,@7,Defeat {TaskCount} Cruma Tower Floor 3 monster(s).
161,@1,@1
162,@9,@9
163,@10,@10
164,@6,@6
165,@1,@1
166,@2,@2
167,@3,@14
168,@90,@90
169,@15,@15
170,@1,@1
171,@17,@17
172,@18,@18
173,@19,@19
174,@20,@20
175,@21,@21
176,@7,@160
177,@15,@15
178,@1,@1
179,@2,@2
180,@1,@1
181,@2,@2
182,@3,@3
183,@4,@4
184,@5,@5
185,@6,@6
186,@7,@160
187,@1,@1
188,@9,@9
189,@10,@10
190,@6,@6
191,@1,@1
192,@2,@2
193,@3,@14
194,@90,@90
195,@15,@15
196,@1,@1
197,@17,@17
198,@18,@18
199,@19,@19
200,@20,@20
201,@21,@21
202,@7,@160
203,@15,@15
204,@1,@1
205,@2,@2
206,@1,@1
207,@2,@2
208,@3,@3
209,@4,@4
210,@5,@5
211,@6,@6
212,@7,Defeat {TaskCount} Ivory Tower Catacomb 1 monster(s).
213,@1,@1
214,@9,@9
215,@10,@10
216,@6,@6
217,@1,@1
218,@2,@2
219,@3,@14
220,@90,@90
221,@15,@15
222,@1,@1
223,@17,@17
224,@18,@18
225,@19,@19
226,@20,@20
227,@21,@21
228,@7,@212
229,@15,@15
230,@1,@1
231,@2,@2
232,@1,@1
233,@2,@2
234,@3,@3
235,@4,@4
236,@5,@5
237,@6,@6
238,@7,Defeat {TaskCount} Ivory Tower Catacomb 2 monster(s).
239,@1,@1
240,@9,@9
241,@10,@10
242,@6,@6
243,@1,@1
244,@2,@2
245,@3,@14
246,@90,@90
247,@15,@15
248,@1,@1
249,@17,@17
250,@18,@18
251,@19,@19
252,@20,@20
253,@21,@21
254,@7,@238
255,@15,@15
256,@1,@1
257,@2,@2
258,@1,@1
259,@2,@2
260,@3,@3
261,@4,@4
262,@5,@5
263,@6,@6
264,@7,Defeat {TaskCount} Ivory Tower Catacomb 3 monster(s).
265,@1,@1
266,@9,@9
267,@10,@10
268,@6,@6
269,@1,@1
270,@2,@2
271,@3,@14
272,@90,@90
273,@15,@15
274,@1,@1
275,@17,@17
276,@18,@18
277,@19,@19
278,@20,@20
279,@21,@21
280,@7,@264
281,@15,@15
282,@1,@1
283,@2,@2
284,@1,@1
285,@2,@2
286,@3,@3
287,@4,@4
288,@5,@5
289,@6,@6
290,@7,Defeat {TaskCount} Forest of Secrets Canopy monster(s).
291,@1,@1
292,@9,@9
293,@10,@10
294,@6,@6
295,@1,@1
296,@2,@2
297,@3,@14
298,@90,@90
299,@15,@15
300,@1,@1
301,@17,@17
302,@18,@18
303,@19,@19
304,@20,@20
305,@21,@21
306,@7,@212
307,@15,@15
308,@1,@1
309,@2,@2
310,@1,@1
311,@2,@2
312,@3,@3
313,@4,@4
314,@5,@5
315,@6,@6
316,@7,Defeat {TaskCount} Forest of Secrets Understory monster(s).
317,@1,@1
318,@9,@9
319,@10,@10
320,@6,@6
321,@1,@1
322,@2,@2
323,@3,@14
324,@90,@90
325,@15,@15
326,@1,@1
327,@17,@17
328,@18,@18
329,@19,@19
330,@20,@20
331,@21,@21
332,@7,@212
333,@15,@15
334,@1,@1
335,@2,@2
336,@1,@1
337,@2,@2
338,@3,@3
339,@4,@4
340,@5,@5
341,@6,@6
342,@7,Defeat {TaskCount} Ivory Tower Floor 1 monster(s).
343,@1,@1
344,@9,@9
345,@10,@10
346,@6,@6
347,@1,@1
348,@2,@2
349,@3,@14
350,@90,@90
351,@15,@15
352,@1,@1
353,@17,@17
354,@18,@18
355,@19,@19
356,@20,@20
357,@21,@21
358,@7,Defeat {TaskCount} Ivory Tower Floor 2 monster(s).
359,@15,@15
360,@1,@1
361,@2,@2
