Id,Nme,Desc
107,@91,@91
108,@92,@92
109,@91,@91
110,@92,@92
111,@91,@91
112,@92,@92
113,@91,@91
114,@92,@92
115,Defeat Malevolent Skeleton Archer of Gludin Highway.,Defeat Malevolent Skeleton Archer {TaskCount} time(s).
116,@115,@115
117,Defeat Moretti of Gludin Highway.,Defeat Moretti {TaskCount} time(s).
118,@117,@117
119,@117,@117
120,@117,@117
121,Defeat Ol Mahum Foreman of Gludin Highway.,Defeat Ol Mahum Foreman {TaskCount} time(s).
122,Defeat Ol Mahum Cutthroats on Gludin Highway.,Defeat Ol Mahum Cutthroats {TaskCount} time(s).
123,@121,@121
124,@122,@122
125,@121,@121
126,@122,@122
127,@121,@121
128,@122,@122
129,@121,@121
130,@122,@122
131,@121,@121
132,@122,@122
133,@121,@121
134,@122,@122
135,@121,@121
136,@122,@122
137,@121,@121
138,@122,@122
139,@121,@121
140,@122,@122
141,Defeat Olvar of Gludin Highway.,Defeat Olvar {TaskCount} time(s).
142,@121,@121
143,@122,@122
144,@141,@141
145,Defeat Ol Mahum Shooter of Gludin Highway.,Defeat Ol Mahum Shooter {TaskCount} time(s).
146,Defeat Alle of Gludin Highway.,Defeat Alle {TaskCount} time(s).
147,@145,@145
148,@141,@141
149,@146,@146
150,@146,@146
151,Defeat Red Fox of Gludio Plains.,Defeat Red Fox {TaskCount} time(s).
152,Defeat Crazed Black Wolf of Gludio Plains.,Defeat Crazed Black Wolf {TaskCount} time(s).
153,Defeat Antelope of Gludio Plains.,Defeat Antelope {TaskCount} time(s).
154,@151,@151
155,@152,@152
156,@153,@153
157,@151,@151
158,@152,@152
159,@153,@153
160,@151,@151
161,@152,@152
162,@153,@153
163,Defeat Maille Lizardman Goalseeker of Gludio Plains.,Defeat Maille Lizardman Goalseeker {TaskCount} time(s).
164,Defeat Rabid Black Wolves of Gludio Plains.,Defeat Rabid Black Wolves {TaskCount} time(s).
165,Defeat Pincher of Gludio Plains.,Defeat {TaskCount} Pincher(s).
166,@163,@163
167,@164,@164
168,@165,@165
169,@163,@163
170,@164,@164
171,@165,@165
172,@163,@163
173,@164,@164
174,@165,@165
175,Defeat Kactoose of Gludio Plains.,Defeat Kactoose {TaskCount} time(s).
176,@175,@175
177,Defeat Bugbear Looter of Gludio Plains.,Defeat Bugbear Looter {TaskCount} time(s).
178,@177,@177
179,@175,@175
180,@177,@177
181,Defeat Bighand of Gludio Plains.,Defeat Bighand {TaskCount} time(s).
182,Defeat Doom Skull of Gludio Plains.,Defeat Doom Skull {TaskCount} time(s).
183,@175,@175
184,@163,@163
185,@164,@164
186,@151,@151
187,@152,@152
188,@153,@153
189,@165,@165
190,Defeat Dark Weaver of Gludio Plains.,Defeat Dark Weaver {TaskCount} time(s).
191,@177,@177
192,Defeat Bugbear Butcher of Gludio Plains.,Defeat Bugbear Butcher {TaskCount} time(s).
193,@181,@181
194,@182,@182
195,@175,@175
196,@163,@163
197,@164,@164
198,@151,@151
199,@152,@152
200,@153,@153
201,@165,@165
202,@190,@190
203,@177,@177
204,@192,@192
205,@152,@152
206,@153,@153
207,@165,@165
208,@190,@190
209,@177,@177
210,@192,@192
211,Defeat Cotous of Gludio Plains.,Defeat Cotous {TaskCount} time(s).
212,Defeat Cox of Gludio Plains.,Defeat Cox {TaskCount} time(s).
213,Defeat Turekka of Gludio Plains.,Defeat Turekka {TaskCount} time(s).
214,Defeat Maille Lizardman Shaman of Gludio Plains.,Defeat Maille Lizardman Shaman {TaskCount} time(s).
215,Defeat Maille Lizardman Marksman of Gludio Plains.,Defeat Maille Lizardman Marksman {TaskCount} time(s).
216,Defeat Maille Lizardman Guard of Gludio Plains.,Defeat Maille Lizardman Guard {TaskCount} time(s).
217,Defeat Maille Lizardman Scout of Gludio Plains.,Defeat Maille Lizardman Scout {TaskCount} time(s).
218,@211,@211
219,@212,@212
220,@213,@213
221,@214,@214
222,@215,@215
223,@216,@216
224,@217,@217
225,@211,@211
226,@212,@212
227,@213,@213
228,@214,@214
229,@215,@215
230,@216,@216
231,@217,@217
232,@211,@211
233,@212,@212
234,@213,@213
235,@214,@214
236,@215,@215
237,@216,@216
238,@217,@217
239,@216,@216
240,@217,@217
241,Defeat Cursed Hunter of Windawood Manor.,Defeat Cursed Hunter {TaskCount} time(s).
242,Defeat Mysterious Subject of Windawood Manor.,Defeat Mysterious Subject {TaskCount} time(s).
243,Defeat Shadow Wing of Windawood Manor.,Defeat Shadow Wing {TaskCount} time(s).
244,Defeat Grotesque Werewolf of Windawood Manor.,Defeat Grotesque Werewolf {TaskCount} time(s).
245,Defeat Vampire Bat of Windawood Manor.,Defeat Vampire Bat {TaskCount} time(s).
246,Defeat Skeleton Warrior of Windawood Manor.,Defeat Skeleton Warrior {TaskCount} time(s).
247,Defeat Skeleton Bowman of Windawood Manor.,Defeat Skeleton Bowman {TaskCount} time(s).
248,Defeat Starving Hound of Windawood Manor.,Defeat Starving Hound {TaskCount} time(s).
249,@246,@246
250,Defeat Soul Slasher of Windawood Manor.,Defeat Soul Slasher {TaskCount} time(s).
251,@241,@241
252,@242,@242
253,@243,@243
254,@244,@244
255,@245,@245
256,@246,@246
257,@247,@247
258,@248,@248
259,@246,@246
260,@250,@250
261,@241,@241
262,@242,@242
263,@243,@243
264,@244,@244
265,@245,@245
266,@246,@246
267,@247,@247
268,@248,@248
269,@246,@246
270,@250,@250
271,Defeat Ruins Wanderer of Windawood Manor.,Defeat Ruins Wanderer {TaskCount} time(s).
272,Defeat Vindictive Prima of Windawood Manor.,Defeat Vindictive Prima {TaskCount} time(s).
273,Defeat Ol Mahum Crystal Thief of Windawood Manor.,Defeat Ol Mahum Crystal Thief {TaskCount} time(s).
274,Defeat Ol Mahum Ranger of Windawood Manor.,Defeat Ol Mahum Ranger {TaskCount} time(s).
275,Defeat Ol Mahum Vanguard of Windawood Manor.,Defeat Ol Mahum Vanguard {TaskCount} time(s).
276,Defeat Ol Mahum Guard of Windawood Manor.,Defeat Ol Mahum Guard {TaskCount} time(s).
277,Defeat Venomous Spider of Windawood Manor.,Defeat Venomous Spider {TaskCount} time(s).
278,Defeat Ferocious Cougar of Windawood Manor.,Defeat Ferocious Cougar {TaskCount} time(s).
279,@271,@271
280,@272,@272
281,@273,Defeat Ol Mahum Crystal Thief {TaskCount} time(s).
282,@274,@274
283,@275,@275
284,@276,@276
285,@277,@277
286,@278,@278
287,@271,@271
288,@272,@272
289,@273,@281
290,@274,@274
291,@275,@275
292,@276,@276
293,@277,@277
294,@278,@278
295,@271,@271
296,@272,@272
297,@273,@281
298,@274,@274
299,@275,@275
300,@276,@276
301,@277,@277
302,@278,@278
303,Defeat Fallen Snipe of Windawood Manor.,Defeat Fallen Snipe {TaskCount} time(s).
304,Defeat Cougar of Windawood Manor.,Defeat Cougar {TaskCount} time(s).
305,Defeat Sabretooth of Windawood Manor.,Defeat Sabretooth {TaskCount} time(s).
306,Defeat Gludio Bear of Windawood Manor.,Defeat Gludio Bear {TaskCount} time(s).
307,Defeat Turek Orc Soldier Recruit of Windawood Manor.,Defeat Turek Orc Soldier Recruit {TaskCount} time(s).
308,Defeat Turek Orc Troopers of Windawood Manor.,Defeat Turek Orc Trooper {TaskCount} time(s).
309,Defeat Hucca of Windawood Manor.,Defeat Hucca {TaskCount} time(s).
310,Defeat Turek Orc Guard of Windawood Manor.,Defeat Turek Orc Guard {TaskCount} time(s).
311,Defeat Turek Orc Shooter of Windawood Manor.,Defeat Turek Orc Shooter {TaskCount} time(s).
312,Defeat Fierce Turek War Hound of Windawood Manor.,Defeat Fierce Turek War Hound {TaskCount} time(s).
313,Defeat Turek Orc Decanus of Windawood Manor.,Defeat Turek Orc Decanus {TaskCount} time(s).
314,@303,@303
315,@304,@304
316,@305,@305
317,@306,@306
318,@307,@307
319,@308,@308
320,@309,@309
321,@310,@310
322,@311,@311
323,@312,@312
324,@313,@313
325,@303,@303
326,@304,@304
327,@305,@305
328,@306,@306
329,@307,@307
330,@308,@308
331,@309,@309
332,@310,@310
333,@311,@311
334,@312,@312
335,@313,@313
336,Defeat Turek Orc Altar Guard of Windawood Manor.,Defeat Turek Orc Altar Guard {TaskCount} time(s).
337,Defeat Turek Orc Scout of Windawood Manor.,Defeat Turek Orc Scout {TaskCount} time(s).
338,Defeat Turek Orc Archer of Windawood Manor.,Defeat Turek Orc Archer {TaskCount} time(s).
339,Defeat Turek Orc Escort of Windawood Manor.,Defeat Turek Orc Escort {TaskCount} time(s).
340,Defeat Turek Orc Elite Soldier of Windawood Manor.,Defeat Turek Orc Elite Soldier {TaskCount} time(s).
341,Defeat Gnasher of Windawood Manor.,Defeat Gnasher {TaskCount} time(s).
342,Defeat Troka of Windawood Manor.,Defeat Troka {TaskCount} time(s).
343,@336,@336
344,@337,@337
345,@338,@338
346,@339,@339
347,@340,@340
348,@341,@341
349,@342,@342
350,@336,@336
351,@337,@337
352,@338,@338
353,@339,@339
354,@340,@340
355,@341,@341
356,@342,@342
357,@336,@336
358,@337,@337
359,@338,@338
360,@339,@339
361,@340,@340
362,@341,@341
363,@342,@342
364,@336,@336
365,@337,@337
366,Defeat Sand Eye of the Wasteland.,Defeat Sand Eye {TaskCount} time(s).
367,Defeat Ol Mahum Carriers in the Wasteland.,Defeat {TaskCount} Ol Mahum Carriers.
368,Defeat Werewolf of the Wasteland.,Defeat Werewolf {TaskCount} time(s).
369,Defeat Valley Watcher of the Wasteland.,Defeat Valley Watcher {TaskCount} time(s).
370,Defeat Monster Eye Tracker of the Wasteland.,Defeat Monster Eye Tracker {TaskCount} time(s).
371,Defeat Sahara of the Wasteland.,Defeat Sahara {TaskCount} time(s).
372,Defeat Skeleton Seeker of the Wasteland.,Defeat Skeleton Seeker {TaskCount} time(s).
373,Defeat Red Lock of the Wasteland.,Defeat Red Lock {TaskCount} time(s).
374,Defeat Pointer of the Wasteland.,Defeat Pointer {TaskCount} time(s).
375,Defeat Wastelands Basilisk of the Wasteland.,Defeat Wastelands Basilisk {TaskCount} time(s).
376,Defeat Mutant Armored Ant of the Wasteland.,Defeat Mutant Armored Ant {TaskCount} time(s).
377,Defeat Mutant Armored Ant Warrior of the Wasteland.,Defeat Mutant Armored Ant Warrior {TaskCount} time(s).
378,Defeat Skeleton Tracker of the Wasteland.,Defeat Skeleton Tracker {TaskCount} time(s).
379,@366,@366
380,@367,@367
381,@368,@368
382,@369,@369
383,@370,@370
384,@371,@371
385,@372,@372
386,@373,@373
387,@374,@374
388,@375,@375
389,@376,@376
390,@377,@377
391,@378,@378
392,@366,@366
393,@367,@367
394,@368,@368
395,@369,@369
396,Defeat Eroded Sahara of the Wasteland.,Defeat Eroded Sahara {TaskCount} time(s).
397,Defeat Giant Leech of the Wasteland.,Defeat Giant Leech {TaskCount} time(s).
398,Defeat Mutant Armored Ant Worker of the Wasteland.,Defeat Mutant Armored Ant Workers {TaskCount} time(s).
399,Defeat Mutant Armored Ant Page of the Wasteland.,Defeat Mutant Armored Ant Page {TaskCount} time(s).
400,Defeat Ol Mahum Looter Guards of the Wasteland.,Defeat Ol Mahum Looter Guard {TaskCount} time(s).
401,Defeat Ol Mahum Porter of the Wasteland.,Defeat Ol Mahum Porter {TaskCount} time(s).
402,Defeat Grinder of the Wasteland.,Defeat Grinder {TaskCount} time(s).
403,Defeat Sand Lurker of the Wasteland.,Defeat Sand Lurker {TaskCount} time(s).
404,Defeat Mana Leech of the Wasteland.,Defeat Mana Leech {TaskCount} time(s).
405,Defeat Desert Skeleton Sentinel of the Wasteland.,Defeat Desert Skeleton Sentinel {TaskCount} time(s).
406,Defeat Desert Skeleton Seeker of the Wasteland.,Defeat Desert Skeleton Seeker {TaskCount} time(s).
407,Defeat Mutant Armored Ant Soldier of the Wasteland.,Defeat Mutant Armored Ant Soldier {TaskCount} time(s).
408,Defeat Sahara of the Desert of the Wasteland.,Defeat Sahara of the Desert {TaskCount} time(s).
409,Defeat Gray Stone Golem of the Wasteland.,Defeat Gray Stone Golem {TaskCount} time(s).
410,Defeat Ol Mahum Looters of the Wasteland.,Defeat Ol Mahum Looter {TaskCount} time(s).
411,@396,@396
412,@397,@397
413,@398,@398
414,@399,@399
415,@400,@400
416,@401,@401
417,@402,@402
418,@403,@403
419,@404,@404
420,@405,@405
421,@406,@406
422,@407,@407
423,@408,@408
424,@409,@409
425,@410,@410
426,@408,@408
427,@409,@409
428,@400,@400
429,@401,@401
430,@410,@410
431,Defeat Ol Mahum Looter Fighters of the Wasteland.,Defeat Ol Mahum Looter Fighter {TaskCount} time(s).
432,Defeat Ol Mahum Looter Rangers of the Wasteland.,Defeat Ol Mahum Looter Ranger {TaskCount} time(s).
433,Defeat Stone Haftz of the Wasteland.,Defeat Stone Haftz {TaskCount} time(s).
434,Defeat Sand Haftz of the Wasteland.,Defeat Sand Haftz {TaskCount} time(s).
435,@408,@408
436,@408,@408
437,@409,@409
438,@400,@400
439,@401,@401
440,@410,@410
441,@431,@431
442,@432,@432
443,@433,@433
444,@434,@434
445,@408,@408
446,@408,@408
447,@409,@409
448,@400,@400
449,@401,@401
450,@410,@410
451,@431,@431
452,@432,@432
453,@433,@433
454,@434,@434
455,@408,@408
456,Defeat Breka Orc Scouts of the Plains of Dion.,Defeat Breka Orc Scouts {TaskCount} time(s).
457,Defeat Breka Orc Fighter of the Plains of Dion.,Defeat Breka Orc Fighter {TaskCount} time(s).
458,Defeat Breka Orc Guard of the Plains of Dion.,Defeat Breka Orc Guard {TaskCount} time(s).
460,Defeat Breka Orc Escort of the Plains of Dion.,Defeat Breka Orc Escort {TaskCount} time(s).
461,Defeat Enraged Wasp of the Plains of Dion.,Defeat Enraged Wasp {TaskCount} time(s).
462,Defeat Wasp of the Plains of Dion.,Defeat Wasp {TaskCount} time(s).
463,Defeat Breka Orc Supplier of the Plains of Dion.,Defeat Breka Orc Supplier {TaskCount} time(s).
464,Defeat Breka Orc Ranger of the Plains of Dion.,Defeat Breka Orc Ranger {TaskCount} time(s).
465,Defeat Bulc of the Plains of Dion.,Defeat Bulc {TaskCount} time(s).
466,Defeat Baroque of the Plains of Dion.,Defeat Baroque {TaskCount} time(s).
467,Defeat Thrush of the Plains of Dion.,Defeat Thrush {TaskCount} time(s).
468,Defeat Varash of the Plains of Dion.,Defeat Varash {TaskCount} time(s).
469,Defeat Leto Lizardman of the Plains of Dion.,Defeat Leto Lizardman {TaskCount} time(s).
470,Defeat Leto Lizardman Fighters of the Plains of Dion.,Defeat Leto Lizardman Fighters {TaskCount} time(s).
471,Defeat Leto Lizardman Archer of the Plains of Dion.,Defeat Leto Lizardman Archer {TaskCount} time(s).
472,Defeat Leto Lizardman Looter of the Plains of Dion.,Defeat Leto Lizardman Looter {TaskCount} time(s).
473,@456,@456
474,@457,@457
475,@458,@458
477,@460,@460
478,@461,@461
479,@462,@462
480,@463,@463
481,@464,@464
482,@465,@465
483,@466,@466
484,@467,@467
485,@468,@468
486,@469,@469
487,@470,@470
488,@471,@471
489,@472,@472
490,Defeat Leto Lizardman Shaman of the Plains of Dion.,Defeat Leto Lizardman Shaman {TaskCount} time(s).
491,Defeat Leto Lizardman Guard of the Plains of Dion.,Defeat Leto Lizardman Guard {TaskCount} time(s).
492,Defeat Prickly Wasp of the Plains of Dion.,Defeat Prickly Wasp {TaskCount} time(s).
493,Defeat Prairie Antelope of the Plains of Dion.,Defeat Prairie Antelope {TaskCount} time(s).
494,Defeat Leto Lizardman Pillager of the Plains of Dion.,Defeat Leto Lizardman Pillager {TaskCount} time(s).
495,Defeat Krush of the Plains of Dion.,Defeat Krush {TaskCount} time(s).
496,Defeat Screash of the Plains of Dion.,Defeat Screash {TaskCount} time(s).
497,@491,@491
498,Defeat Leto Lizardman Escort of the Plains of Dion.,Defeat Leto Lizardman Escort {TaskCount} time(s).
499,Defeat Prairie Windsus of the Plains of Dion.,Defeat Prairie Windsus {TaskCount} time(s).
500,@490,@490
501,@491,@491
502,@492,@492
503,@493,@493
504,@494,@494
505,@495,@495
506,@496,@496
507,@491,@491
508,@498,@498
509,@499,@499
510,@490,@490
511,@491,@491
512,@492,@492
513,@493,@493
514,@494,@494
515,@495,@495
516,@496,@496
517,@491,@491
518,@498,@498
519,@499,@499
520,Defeat Elven Antelope of the Plains of Dion.,Defeat Elven Antelope {TaskCount} time(s).
521,Defeat Breka Orc Infiltrator of the Plains of Dion.,Defeat Breka Orc Infiltrator {TaskCount} time(s).
522,Defeat Elder Antelope of the Plains of Dion.,Defeat Elder Antelope {TaskCount} time(s).
523,Defeat Surly Vampire Bat of the Plains of Dion.,Defeat Surly Vampire Bat {TaskCount} time(s).
524,Defeat Giant Thorn Spider of the Plains of Dion.,Defeat Giant Thorn Spider {TaskCount} time(s).
525,Defeat Vampire Bat of the Plains of Dion.,Defeat Vampire Bat {TaskCount} time(s).
526,Defeat Tullan Bugbear of the Plains of Dion.,Defeat Tullan Bugbear {TaskCount} time(s).
527,Defeat Ferocious Red Bear of the Plains of Dion.,Defeat Ferocious Red Bear {TaskCount} time(s).
528,Defeat Prairie Blade Spider of the Plains of Dion.,Defeat Prairie Blade Spider {TaskCount} time(s).
529,Defeat Blade Pincher of the Plains of Dion.,Defeat Blade Pincher {TaskCount} time(s).
530,Defeat Red Bear of the Plains of Dion.,Defeat Red Bear {TaskCount} time(s).
531,Defeat Bugbear of the Plains of Dion.,Defeat Bugbear {TaskCount} time(s).
532,Defeat Elven Windsus of the Plains of Dion.,Defeat Elven Windsus {TaskCount} time(s).
533,Defeat Moke of the Plains of Dion.,Defeat Moke {TaskCount} time(s).
534,Defeat Elven Red Bear of the Plains of Dion.,Defeat Elven Red Bear {TaskCount} time(s).
535,Defeat Breka Orc Trooper of the Plains of Dion.,Defeat Breka Orc Trooper {TaskCount} time(s).
536,Defeat Blood Wasp of the Plains of Dion.,Defeat Blood Wasp {TaskCount} time(s).
537,@521,@521
538,@522,@522
539,@523,@523
540,@524,@524
541,@525,@525
542,@526,@526
543,@527,@527
544,@528,@528
545,@529,@529
546,@530,@530
547,@531,@531
548,@532,@532
549,@533,@533
550,@534,@534
551,@535,@535
552,@536,@536
553,Defeat Black Tiger Spider of Cruma Swamp.,Defeat Black Tiger Spider {TaskCount} time(s).
554,Defeat Horror Mist Reaper of Cruma Swamp.,Defeat Horror Mist Reaper {TaskCount} time(s).
555,Defeat Horror Reaper of Cruma Swamp.,Defeat Horror Reaper {TaskCount} time(s).
556,Defeat Swamp Venomous Spider of Cruma Swamp.,Defeat Swamp Venomous Spider {TaskCount} time(s).
557,Defeat Swamp Bat of Cruma Swamp.,Defeat Swamp Bat {TaskCount} time(s).
558,Defeat Cursed Seer of Cruma Swamp.,Defeat Cursed Seer {TaskCount} time(s).
559,@553,@553
560,@554,@554
561,@555,@555
562,@556,@556
563,@557,@557
564,@558,@558
565,@553,@553
566,@554,@554
567,@555,@555
568,@556,@556
569,@557,@557
570,@558,@558
571,@553,@553
572,@554,@554
573,@555,@555
574,@556,@556
575,@557,@557
576,@558,@558
577,@553,@553
578,@554,@554
579,@555,@555
580,@556,@556
581,@557,@557
582,@558,@558
583,Defeat Liam of Cruma Swamp.,Defeat Liam {TaskCount} time(s).
584,Defeat Ronde of Cruma Swamp.,Defeat Ronde {TaskCount} time(s).
585,Defeat Maille Lizardman Vanguard of Cruma Swamp.,Defeat Maille Lizardman Vanguard {TaskCount} time(s).
586,Defeat Skeleton Scout of Cruma Swamp.,Defeat Skeleton Scout {TaskCount} time(s).
587,Defeat Skeleton Pursuer of Cruma Swamp.,Defeat Skeleton Pursuer {TaskCount} time(s).
588,Defeat Maille Lizardman Shaman of Cruma Swamp.,@214
589,Defeat Maille Lizardman Pursuer of Cruma Swamp.,Defeat Maille Lizardman Pursuer {TaskCount} time(s).
590,Defeat Maille Lizardman Patrol of Cruma Swamp.,Defeat Maille Lizardman Patrol {TaskCount} time(s).
591,Defeat Swamp Ghoul of Cruma Swamp.,Defeat Swamp Ghoul {TaskCount} time(s).
592,@583,@583
593,@584,@584
594,@585,@585
595,@586,@586
596,@587,@587
597,@588,@214
598,@589,@589
599,@590,@590
600,@591,@591
601,@583,@583
602,@584,@584
603,@585,@585
604,@586,@586
605,@587,@587
606,@588,@214
607,@589,@589
608,@590,@590
609,@591,@591
610,@588,@214
611,@589,@589
612,@590,@590
613,Defeat Swamp Assassin of Cruma Swamp.,Defeat Swamp Assassin {TaskCount} time(s).
614,Defeat Swamp Killer of Cruma Swamp.,Defeat Swamp Killer {TaskCount} time(s).
615,Defeat Marsh Stakato Envoy of Cruma Swamp.,Defeat Marsh Stakato Envoy {TaskCount} time(s).
616,Defeat Swamp Hassassin of Cruma Swamp.,Defeat Swamp Hassassin {TaskCount} time(s).
617,Defeat Marsh Stakato Slave of Cruma Swamp.,Defeat Marsh Stakato Slave {TaskCount} time(s).
618,Defeat Marsh Stakato Hassassin of Cruma Swamp.,Defeat Marsh Stakato Hassassin {TaskCount} time(s).
619,Defeat Destructive Killer of Cruma Swamp.,Defeat Destructive Killer {TaskCount} time(s).
620,Defeat Swamp Killer of Cruma Swamp.,@614
621,Defeat Morgan of Cruma Swamp.,Defeat Morgan {TaskCount} time(s).
622,Defeat Zyrnna of Cruma Swamp.,Defeat Zyrnna {TaskCount} time(s).
623,@613,@613
624,@614,@614
625,@615,@615
626,@616,@616
627,@617,@617
628,@618,@618
629,@619,@619
630,@620,@614
631,@621,@621
632,@622,@622
633,@613,@613
634,@614,@614
635,@615,@615
636,@616,@616
637,@617,@617
638,@618,@618
639,@619,@619
640,@620,@614
641,@621,@621
642,@622,@622
643,Defeat Arcane of Cruma Swamp.,Defeat Arcane {TaskCount} time(s).
644,Defeat Insane Killer of Cruma Swamp.,Defeat Insane Killer {TaskCount} time(s).
645,Defeat Shadow Choir Prima of Cruma Swamp.,Defeat Shadow Choir Prima {TaskCount} time(s).
646,Defeat Enraged Grizzly Bear of the Summit of Dissonance.,Defeat Enraged Grizzly Bear {TaskCount} time(s).
647,Defeat Red-Tailed Fox of the Summit of Dissonance.,Defeat Red-Tailed Fox {TaskCount} time(s).
648,Defeat Black Leopard of the Summit of Dissonance.,Defeat Black Leopard {TaskCount} time(s).
649,Defeat Forest Fang Spider of the Summit of Dissonance.,Defeat Forest Fang Spider {TaskCount} time(s).
650,Defeat Tanor Sentinel of the Summit of Dissonance.,Defeat Tanor Sentinel {TaskCount} time(s).
651,Defeat Tanor Trooper of the Summit of Dissonance.,Defeat Tanor Trooper {TaskCount} time(s).
652,Defeat Tanor Fighter of the Summit of Dissonance.,Defeat Tanor Fighter {TaskCount} time(s).
653,Defeat Tanor Sentry of the Summit of Dissonance.,Defeat Tanor Sentry {TaskCount} time(s).
654,Defeat Tanor Scout of the Summit of Dissonance.,Defeat Tanor Scout {TaskCount} time(s).
655,Defeat Tanor Knight Recruit of the Summit of Dissonance.,Defeat Tanor Knight Recruit {TaskCount} time(s).
656,Defeat Tanor Supplier of the Summit of Dissonance.,Defeat Tanor Supplier {TaskCount} time(s).
657,Defeat Tanor Shaman of the Summit of Dissonance.,Defeat Tanor Shaman {TaskCount} time(s).
658,Defeat Sapping Wasp of the Summit of Dissonance.,Defeat Sapping Wasp {TaskCount} time(s).
659,Defeat Summit Attacker of the Summit of Dissonance.,Defeat Summit Attacker {TaskCount} time(s).
660,Defeat Tartan of the Summit of Dissonance.,Defeat Tartan {TaskCount} time(s).
661,Defeat Tutan of the Summit of Dissonance.,Defeat Tutan {TaskCount} time(s).
662,@646,@646
663,@647,@647
664,@648,@648
665,@649,@649
666,@650,@650
667,@651,@651
668,@652,@652
669,@653,@653
670,@654,@654
671,@655,@655
672,@656,@656
673,@657,@657
674,@658,@658
675,@659,@659
676,@660,@660
677,@661,@661
678,Defeat Venomous Marsh Spider of the Summit of Dissonance.,Defeat Venomous Marsh Spider {TaskCount} time(s).
679,Defeat Ol Mahum Patrol of the Summit of Dissonance.,Defeat Ol Mahum Patrol {TaskCount} time(s).
680,Defeat Ol Mahum Scout of the Summit of Dissonance.,@71
681,Defeat Shade Wasp of the Summit of Dissonance.,Defeat Shade Wasp {TaskCount} time(s).
682,@655,@655
683,Defeat Tanor Priest of the Summit of Dissonance.,Defeat Tanor Priest {TaskCount} time(s).
684,Defeat Kankoon’s Elite Soldier of the Summit of Dissonance.,Defeat Kankoon's Elite Soldier {TaskCount} time(s).
685,Defeat Kankoon’s Sentry of the Summit of Dissonance.,Defeat Kankoon's Sentry {TaskCount} time(s).
686,Defeat Kankoon’s Priest of the Summit of Dissonance.,Defeat Kankoon's Priest {TaskCount} time(s).
687,@652,@652
688,Defeat Thaartan of the Summit of Dissonance.,Defeat Thaartan {TaskCount} time(s).
689,@678,@678
690,@679,@679
691,@680,@71
692,@681,@681
693,@655,@655
694,@683,@683
695,@684,@684
696,@685,@685
