Id,Value,ButtonString1,ButtonString2
55,"Clan member <FontGreen>[Name]</> requested revenge:
<FontRed>[Name2]</>",@20,@19
56,"Clan member <FontGreen>[Name]</> requested revenge:
<FontRed>[Name]</>",@20,@20
57,<FontBlue>Formed</>alliance with <FontBlue>[Param1]</>.,,
58,Alliance has <FontRed> ended </> with <FontBlue>[Param1]</>.,,
59,<FontRed>Declared</> war against clan <FontBlue>[Name]</>.,,
60,<FontRed>Rejected</> the cease fire with <FontBlue>[GuildName]</>.,,
61,<FontBlue>[GuildName]</> <FontRed>rejected</> the cease fire.,,
62,<FontGreen>Negotiated</> a cease fire with clan <FontBlue>[Name]</>.,,
63,<FontBlue>Won</>the war with <FontBlue>[Name]</>.,,
64,<FontRed>Lost</>the war with <FontBlue>[Name]</>.,,
65,<FontYellow>Clan reached Lv. [Param1]</>.,,
66,<FontYellow>Clan buff [Name] reached Lv. [param]</>.,,
67,Lord [Name] has purchased <FontGreen>[Item]</> from <FontGreen>[ShopName]</>.,,
68,<FontYellow>[Param1] Successfully cleared.</>,Clan Achievement,
69,"Clan Leader has called from <FontGreen>[DungeonName]</>.
Accept?",@20,@20
70,<FontYellow>[GuildDungeonName]([Difficulty]) has been reset.</>,Clan Dungeon,
71,Renew the bidding price of<FontYellow>[Param1]!</>,Fortress Siege,
72,@71,Castle Siege,
73,Bidding price of <FontYellow>[Param1]has been extended.</>,@71,
74,@73,@72,
75,"Fortress Siege has opened.
Enter <FontGreen>[FortressName]</>?",@20,@20
76,"Castle Siege has opened.
Enter <FontGreen>[CastleName]</>?",@20,@20
77,<FontYellow>Clan Leader has forfeited ownership of [Name].</>,,
78,Clan Leader selected<FontBlue>[Name]</> as<FontYellow>[CastleType]</>.,,
79,<FontYellow>Clan Hall reached Lv. [Level].</>,,
80,<FontYellow>Crystal of Unity in Clan Hall reached Lv. [param].</>,,
81,<FontGreen>[Name]</> has done a Clan Hall Quest for the clan.,,
82,<FontGreen>[Name]</> has prepared a <FontBlue>feast</> in the Clan Hall.,@20,@20
83,<FontYellow>[Value] Mystical Relic(s) sent to Clan Storage.</>,,
84,[NAME] crafted [COUNT]<FontGreen>[POTION_NAME]</>.,,
85,<FontYellow>The Clan Hall Fireplace burns brightly.</>,@20,@20
86,<FontYellow>The Clan Hall Fireplace is warming up.</>,@20,@20
87,<FontYellow>The warmth from the fireplace has faded.</>,,
88,<FontRed>Kicked out</> of the Clan.,,
89,"The Fortress Siege has begun!
Enter <FontGreen>[FortressName]</>?",@20,@20
90,"The Castle Siege has begun!
Enter <FontGreen>[CastleName]</>?",@20,@20
91,"Location: <FontGreen>[WorldName]</>
<FontBlue>[Name]</> would like to summon you.
Go now? <FontRed>[Seconds]</> sec",@13,@17
92,"Actions are limited due to not being in a party.
Automatically exiting the Temporal Rift in 15 seconds.",Leave,
93,<FontYellow>The item for [EventName] has expired.</>Removed from the inventory.,,
94,"<FontYellow>Open Siege</> party created.
Go <FontGreen>alone</> or team up with a <FontGreen>party</> in the Open Siege.",,
95,Joined a <FontYellow>Open Siege</> party.,,
96,<FontGreen>[Name]</> joined the <FontYellow>Open Siege</>.,,
97,<FontYellow>Open Siege</> party disbanded.,,
98,Left the <FontYellow>Open Siege</>.,,
99,<FontGreen>[Name]</> left the <FontYellow>Open Siege</> party.,,
100,"<FontGreen>[Name]</> invited you to an Open Siege party.
Accept the <FontYellow>Open Siege</> party invite? <FontRed>[Seconds]</> sec.",@13,@15
101,"<FontYellow>Open Siege</> matching is complete.
Entering the Open Siege in <FontRed>[Seconds]</> sec. Prepare for battle.",,
1000,Logging in.,,
