ID,SkillName,SkillDesc
45,Ricarica Sangue,"Nelle grandi battaglie, i vampiri che
necessitano di sangue per esercitare magia
devono <YellowBold>volare come pipistrelli</>
per ripristinare il sangue.
I <RedBold>Pipistrelli</> andranno sui corpi dei soldati 
del <BlueBold>Gruppo Reparto d’Avanguardia</>
e infliggeranno <YellowBold>Esaurimento Vita 3 volte</>."
46,Collera insanguinata,"I <RedBold>Pipistrelli</> porteranno il sangue ottenuto
a Trisha che recupererà salute a seconda
del numero di pipistrelli che hanno avuto successo
e otterrà <YellowBold>forza temporanea.</>"
47,L'arrivo di Zaken,"<YellowBold>Dopo 5 minuti di battaglia</>, la magia di
evocazione si completa e <YellowBold>appare Zaken</>.
Zaken <YellowBold>distruggerà tutti gli avventurieri</> che
minacceranno Trisha."
48,@43,@43
49,@44,@44
50,@45,@45
51,@46,@46
52,@47,@47
53,@43,@43
54,@44,"Se esposto a <YellowBold>Vampirizza</> <YellowBold>3 volte</>,
l'obiettivo diventerà temporaneamente
un vampiro che <YellowBold>attacca i compagni di squadra</>.

<YellowBold>- Quelli trasformati in vampiri diventano più forti.</>"
55,@45,@45
56,@46,@46
57,@47,@47
58,Torrente di Sangue,"Trisha, con le spalle al muro,
evoca una gigantesca <YellowBold>Ondata di Sangue</>."
59,@43,@43
60,@44,@54
61,@45,@45
62,@46,@46
63,@47,@47
64,@58,@58
