Id,Nme,Desc
158,Fai partire l'Officina!,Tenta Legame per {TaskCount} volta/e.
159,@1,@1
160,@14,@14
161,@15,@15
162,@11,@11
164,@18,@18
165,@1,@1
166,@20,@20
167,@21,@21
168,@11,@11
169,@152,Aumento di livello l'Equipaggiamento Cavalcatura per {TaskCount} volta/e.
170,@23,@23
171,@24,@24
172,@7,@123
173,@18,@18
174,Rifornimento dei Forzieri di Reliquie del Clan,Ottieni {TaskCount} Forziere/i di Reliquie del Clan.
175,@1,@1
177,@1,@1
178,@2,@2
180,@4,@4
181,@5,@5
182,Per il tuo Clan!,Acquisisci {TaskCount} Prova/e di Sangue.
183,@152,@152
184,@7,Sconfiggi {TaskCount} mostro/i della Torre di Cruma 2.
185,@1,@1
186,@9,@9
187,@10,@10
188,@11,@11
189,Fai partire l'Officina!,Tenta Legame per {TaskCount} volta/e.
190,@1,@1
191,@14,@14
192,@15,@15
193,@11,@11
195,@18,@18
196,@1,@1
197,@20,@20
198,@21,@21
199,@11,@11
200,@152,@169
201,@23,@23
202,@24,@24
203,@7,@184
204,@18,@18
205,Rifornimento dei Forzieri di Reliquie del Clan,Ottieni {TaskCount} Forziere/i di Reliquie del Clan.
206,@1,@1
208,@1,@1
209,@2,@2
211,@4,@4
212,@5,@5
213,Per il tuo Clan!,Acquisisci {TaskCount} Prova/e di Sangue.
214,@152,@152
215,@7,Sconfiggi {TaskCount} mostro/i della Torre di Cruma 3.
216,@1,@1
217,@9,@9
218,@10,@10
219,@11,@11
220,Fai partire l'Officina!,Tenta Legame per {TaskCount} volta/e.
221,@1,@1
222,@14,@14
223,@15,@15
224,@11,@11
226,@18,@18
227,@1,@1
228,@20,@20
229,@21,@21
230,@11,@11
231,@152,@169
232,@23,@23
233,@24,@24
234,@7,@215
235,@18,@18
236,Rifornimento dei Forzieri di Reliquie del Clan,Ottieni {TaskCount} Forziere/i di Reliquie del Clan.
237,@1,@1
239,@1,@1
240,@2,@2
241,Visitatore della Sala del Clan,Entra nella Sala del Clan per {TaskCount} volta/e.
242,@4,@4
243,@5,@5
244,Per il tuo Clan!,Acquisisci {TaskCount} Prova/e di Sangue.
245,@152,@152
246,@7,@215
247,@1,@1
248,@9,@9
249,@10,@10
250,@11,@11
251,Fai partire l'Officina!,Tenta Legame per {TaskCount} volta/e.
252,@1,@1
253,@14,@14
254,@15,@15
255,@11,@11
257,@18,@18
258,@1,@1
259,@20,@20
260,@21,@21
261,@11,@11
262,@152,@169
263,@23,@23
264,@24,@24
265,@7,@215
266,@18,@18
267,Rifornimento dei Forzieri di Reliquie del Clan,Ottieni {TaskCount} Forziere/i di Reliquie del Clan.
268,@1,@1
269,L'aiuto prezioso dei Clan,Rispondi a una richiesta d’aiuto da parte di un Clan per {TaskCount} volta/e.
270,@1,@1
271,@2,@2
272,Visitatore della Sala del Clan,Entra nella Sala del Clan per {TaskCount} volta/e.
273,@4,@4
274,@5,@5
275,Per il tuo Clan!,Acquisisci {TaskCount} Prova/e di Sangue.
276,@152,@152
277,@7,Sconfiggi {TaskCount} mostro/i della Torre d’Avorio 1° piano - Catacomba.
278,@1,@1
279,@9,@9
280,@10,@10
281,@11,@11
282,Fai partire l'Officina!,Tenta Legame per {TaskCount} volta/e.
283,@1,@1
284,@14,@14
285,@15,@15
286,@11,@11
288,@18,@18
289,@1,@1
290,@20,@20
291,@21,@21
292,@11,@11
293,@152,@169
294,@23,@23
295,@24,@24
296,@7,@277
297,@18,@18
298,Rifornimento dei Forzieri di Reliquie del Clan,Ottieni {TaskCount} Forziere/i di Reliquie del Clan.
299,@1,@1
300,L'aiuto prezioso dei Clan,Rispondi a una richiesta d’aiuto da parte di un Clan per {TaskCount} volta/e.
301,@1,@1
302,@2,@2
303,Visitatore della Sala del Clan,Entra nella Sala del Clan per {TaskCount} volta/e.
304,@4,@4
305,@5,@5
306,Per il tuo Clan!,Acquisisci {TaskCount} Prova/e di Sangue.
307,@152,@152
308,@7,Sconfiggi {TaskCount} mostro/i della Catacomba 2 della Torre d’Avorio.
309,@1,@1
310,@9,@9
311,@10,@10
312,@11,@11
313,Fai partire l'Officina!,Tenta Legame per {TaskCount} volta/e.
314,@1,@1
315,@14,@14
316,@15,@15
317,@11,@11
319,@18,@18
320,@1,@1
321,@20,@20
322,@21,@21
323,@11,@11
324,@152,@169
325,@23,@23
326,@24,@24
327,@7,@308
328,@18,@18
329,Rifornimento dei Forzieri di Reliquie del Clan,Ottieni {TaskCount} Forziere/i di Reliquie del Clan.
330,@1,@1
331,L'aiuto prezioso dei Clan,Rispondi a una richiesta d’aiuto da parte di un Clan per {TaskCount} volta/e.
332,@1,@1
333,@2,@2
334,Visitatore della Sala del Clan,Entra nella Sala del Clan per {TaskCount} volta/e.
335,@4,@4
336,@5,@5
337,Per il tuo Clan!,Acquisisci {TaskCount} Prova/e di Sangue.
338,@152,@152
339,@7,Sconfiggi {TaskCount} mostro/i della Catacomba 3 della Torre d’Avorio.
340,@1,@1
341,@9,@9
342,@10,@10
343,@11,@11
344,Fai partire l'Officina!,Tenta Legame per {TaskCount} volta/e.
345,@1,@1
346,@14,@14
347,@15,@15
348,@11,@11
350,@18,@18
351,@1,@1
352,@20,@20
353,@21,@21
354,@11,@11
355,@152,@169
356,@23,@23
357,@24,@24
358,@7,@339
359,@18,@18
360,Rifornimento dei Forzieri di Reliquie del Clan,Ottieni {TaskCount} Forziere/i di Reliquie del Clan.
361,@1,@1
362,L'aiuto prezioso dei Clan,Rispondi a una richiesta d’aiuto da parte di un Clan per {TaskCount} volta/e.
363,@1,@1
364,@2,@2
365,Visitatore della Sala del Clan,Entra nella Sala del Clan per {TaskCount} volta/e.
366,@4,@4
367,@5,@5
368,Per il tuo Clan!,Acquisisci {TaskCount} Prova/e di Sangue.
369,@152,@152
370,@7,Sconfiggi {TaskCount} mostro/i della Volta della Foresta dei Segreti.
371,@1,@1
372,@9,@9
373,@10,@10
374,@11,@11
375,Fai partire l'Officina!,Tenta Legame per {TaskCount} volta/e.
376,@1,@1
377,@14,@14
378,@15,@15
379,@11,@11
381,@18,@18
382,@1,@1
383,@20,@20
384,@21,@21
385,@11,@11
386,@152,@169
387,@23,@23
388,@24,@24
389,@7,@370
390,@18,@18
391,Rifornimento dei Forzieri di Reliquie del Clan,Ottieni {TaskCount} Forziere/i di Reliquie del Clan.
392,@1,@1
393,L'aiuto prezioso dei Clan,Rispondi a una richiesta d’aiuto da parte di un Clan per {TaskCount} volta/e.
394,@1,@1
395,@2,@2
396,Visitatore della Sala del Clan,Entra nella Sala del Clan per {TaskCount} volta/e.
397,@4,@4
398,@5,@5
399,Per il tuo Clan!,Acquisisci {TaskCount} Prova/e di Sangue.
400,@152,@152
401,@7,Sconfiggi {TaskCount} mostro/i del Sottobosco della Foresta dei Segreti.
402,@1,@1
403,@9,@9
404,@10,@10
405,@11,@11
406,Fai partire l'Officina!,Tenta Legame per {TaskCount} volta/e.
407,@1,@1
408,@14,@14
409,@15,@15
410,@11,@11
412,@18,@18
413,@1,@1
414,@20,@20
415,@21,@21
416,@11,@11
417,@152,@169
418,@23,@23
419,@24,@24
420,@7,@401
421,@18,@18
422,Rifornimento dei Forzieri di Reliquie del Clan,Ottieni {TaskCount} Forziere/i di Reliquie del Clan.
423,@1,@1
424,L'aiuto prezioso dei Clan,Rispondi a una richiesta d’aiuto da parte di un Clan per {TaskCount} volta/e.
425,@1,@1
426,@2,@2
427,Visitatore della Sala del Clan,Entra nella Sala del Clan per {TaskCount} volta/e.
428,@4,@4
429,@5,@5
430,Per il tuo Clan!,Acquisisci {TaskCount} Prova/e di Sangue.
431,@152,@152
432,@7,용의 동굴 지하 1층 몬스터 {TaskCount}마리 처치
433,@1,@1
434,@9,@9
435,@10,@10
436,@11,@11
437,Fai partire l'Officina!,Tenta Legame per {TaskCount} volta/e.
438,@1,@1
439,@14,@14
440,@15,@15
441,@11,@11
443,@18,@18
444,@1,@1
445,@20,@20
446,@21,@21
447,@11,@11
448,@152,@169
449,@23,@23
450,@24,@24
451,@7,@432
452,@18,@18
453,Rifornimento dei Forzieri di Reliquie del Clan,Ottieni {TaskCount} Forziere/i di Reliquie del Clan.
454,@1,@1
455,L'aiuto prezioso dei Clan,Rispondi a una richiesta d’aiuto da parte di un Clan per {TaskCount} volta/e.
456,@1,@1
457,@2,@2
458,Visitatore della Sala del Clan,Entra nella Sala del Clan per {TaskCount} volta/e.
459,@4,@4
460,@5,@5
461,Per il tuo Clan!,Acquisisci {TaskCount} Prova/e di Sangue.
462,@152,@152
463,@7,용의 동굴 지하 2층 몬스터 {TaskCount}마리 처치
464,@1,@1
465,@9,@9
466,@10,@10
467,@11,@11
468,Fai partire l'Officina!,Tenta Legame per {TaskCount} volta/e.
469,@1,@1
470,@14,@14
471,@15,@15
472,@11,@11
474,@18,@18
475,@1,@1
476,@20,@20
477,@21,@21
478,@11,@11
479,@152,@169
480,@23,@23
481,@24,@24
482,@7,@463
483,@18,@18
484,Rifornimento dei Forzieri di Reliquie del Clan,Ottieni {TaskCount} Forziere/i di Reliquie del Clan.
485,@1,@1
486,L'aiuto prezioso dei Clan,Rispondi a una richiesta d’aiuto da parte di un Clan per {TaskCount} volta/e.
