Id,ContentShow,Difficulty,RecommendedAttack,RecommendedDefense,RecommendedPower,Type,IntParam,RecommendedPC,RecommendedLevel,EnterLevelRestriction,BackgroundImage,WorldId,RepresentRewardId,RepresentRewardIconPath,RepresentRewardID1,RepresentRewardID2,RepresentRewardID3,AddSubLevel,ResetGemType,ResetGemCount,SubLevelForLight,BGM,ConflictRegular
9006,1,3,8722,10768,228600,9,0,,,0,Texture/Image_Dungeon_Daily_07,18100,900009,Icon_GachaItem_Transcendence,490002,,,VaultofChrysos_Trigger,25,,,6,0
9008,0,4,15070,18385,478800,9,0,,,0,Texture/Image_Dungeon_Daily_07,18100,900009,Icon_GachaItem_Transcendence,490002,,,VaultofChrysos_Trigger,25,,,6,0
9200,0,5,15070,18385,847600,9,0,,,0,Texture/Image_Dungeon_Daily_07,18100,900009,Icon_GachaItem_Transcendence,490002,,,VaultofChrysos_Trigger,25,,,6,0
9009,1,1,577,619,15600,10,0,,,20,Texture/Image_Dungeon_Daily_07,18400,900009,Icon_GachaItem_Transcendence,911226,910216,,WaterTemple_Trigger,25,,,6,0
9010,1,2,4567,5828,104400,10,0,,,46,Texture/Image_Dungeon_Daily_07,18400,900009,Icon_GachaItem_Transcendence,911227,910217,,WaterTemple_Trigger,25,,,6,0
9011,1,3,8722,10768,216200,10,0,,,89,Texture/Image_Dungeon_Daily_07,18400,900009,Icon_GachaItem_Transcendence,911228,910218,,WaterTemple_Trigger,25,,,6,0
9012,1,4,15070,18385,409500,10,0,,,146,Texture/Image_Dungeon_Daily_07,18400,900009,Icon_GachaItem_Transcendence,911229,910219,,WaterTemple_Trigger,25,,,6,0
9300,0,5,15070,18385,790300,10,0,,,218,Texture/Image_Dungeon_Daily_07,18400,900009,Icon_GachaItem_Transcendence,911236,911041,,WaterTemple_Trigger,25,,,6,0
9013,1,1,577,619,130700,14,0,,,50,Texture/Image_Dungeon_Daily_07,18300,900009,Icon_GachaItem_Transcendence,911005,911001,,SealedEntrance_Trigger,25,,,6,0
9014,1,2,4567,5828,248900,14,0,,,102,Texture/Image_Dungeon_Daily_07,18300,900009,Icon_GachaItem_Transcendence,911005,911002,,SealedEntrance_Trigger,25,,,6,0
9015,1,3,8722,10768,427900,14,0,,,152,Texture/Image_Dungeon_Daily_07,18300,900009,Icon_GachaItem_Transcendence,914001,911003,,SealedEntrance_Trigger,25,,,6,0
9016,0,4,15070,18385,812500,14,0,,,223,Texture/Image_Dungeon_Daily_07,18300,900009,Icon_GachaItem_Transcendence,914001,911004,,SealedEntrance_Trigger,25,,,6,0
9017,0,1,577,619,86400,13,0,,,41,Texture/Image_Dungeon_Daily_07,18500,900009,Icon_GachaItem_Transcendence,,,,,25,,,2,0
9018,0,2,4567,5828,141400,13,0,,,58,Texture/Image_Dungeon_Daily_07,18500,900009,Icon_GachaItem_Transcendence,,,,,25,,,2,0
9019,0,3,8722,10768,254100,13,0,,,104,Texture/Image_Dungeon_Daily_07,18500,900009,Icon_GachaItem_Transcendence,,,,,25,,,2,0
9020,0,4,15070,18385,367400,13,0,,,136,Texture/Image_Dungeon_Daily_07,18500,900009,Icon_GachaItem_Transcendence,,,,,25,,,2,0
11100,1,1,577,619,2700,2,0,,,0,Texture/Image_Dungeon_Daily_05,11000,910221,Icon_GachaItem_Transcendence,910221,,,E_Sub_001,25,,Sub_Environment_Apostle,2,0
11101,1,2,4567,5828,44700,2,0,,,0,Texture/Image_Dungeon_Daily_05,11000,910221,Icon_GachaItem_Transcendence,910221,,,E_Sub_001,25,,Sub_Environment_Apostle,2,0
11102,1,3,8722,10768,124700,2,0,,,0,Texture/Image_Dungeon_Daily_05,11000,910221,Icon_GachaItem_Transcendence,910221,,,E_Sub_001,25,,Sub_Environment_Apostle,2,0
11103,1,4,15070,18385,226000,2,0,,,0,Texture/Image_Dungeon_Daily_05,11000,910221,Icon_GachaItem_Transcendence,910221,,,E_Sub_001,25,,Sub_Environment_Apostle,2,0
11104,0,5,15070,18385,649800,2,0,,,0,Texture/Image_Dungeon_Daily_05,11000,911021,Icon_GachaItem_TranscendenceBox,911021,,,E_Sub_001,25,,Sub_Environment_Apostle,2,0
11200,1,1,577,619,2700,2,1,,,0,Texture/Image_Dungeon_Daily_01,11000,410001,Icon_EnchantScroll_01,410001,,,E_Sub_002,25,,Sub_Environment_Orbis,2,0
11201,1,2,4567,5828,44700,2,1,,,0,Texture/Image_Dungeon_Daily_01,11000,410001,Icon_EnchantScroll_01,410001,,,E_Sub_002,25,,Sub_Environment_Orbis,2,0
11202,1,3,8722,10768,124700,2,1,,,0,Texture/Image_Dungeon_Daily_01,11000,410001,Icon_EnchantScroll_01,410001,,,E_Sub_002,25,,Sub_Environment_Orbis,2,0
11203,1,4,15070,18385,226000,2,1,,,0,Texture/Image_Dungeon_Daily_01,11000,410001,Icon_EnchantScroll_01,410001,,,E_Sub_002,25,,Sub_Environment_Orbis,2,0
11204,0,5,15070,18385,649800,2,1,,,0,Texture/Image_Dungeon_Daily_01,11000,410001,Icon_Gacha_EnchantScroll,911049,,,E_Sub_002,25,,Sub_Environment_Orbis,2,0
11300,1,1,577,619,2700,2,2,,,0,Texture/Image_Dungeon_Daily_02,11000,420001,Icon_Asset_Upgrade_01,420001,,,E_Sub_003,25,,Sub_Environment_Marshal,2,0
11301,1,2,4567,5828,44700,2,2,,,0,Texture/Image_Dungeon_Daily_02,11000,420001,Icon_Asset_Upgrade_01,420001,,,E_Sub_003,25,,Sub_Environment_Marshal,2,0
11302,1,3,8722,10768,124700,2,2,,,0,Texture/Image_Dungeon_Daily_02,11000,420001,Icon_Asset_Upgrade_01,420001,,,E_Sub_003,25,,Sub_Environment_Marshal,2,0
11303,1,4,15070,18385,226000,2,2,,,0,Texture/Image_Dungeon_Daily_02,11000,420001,Icon_Asset_Upgrade_01,420001,,,E_Sub_003,25,,Sub_Environment_Marshal,2,0
11304,0,5,15070,18385,649800,2,2,,,0,Texture/Image_Dungeon_Daily_02,11000,420011,Icon_Asset_Upgrade_04,420011,,,E_Sub_003,25,,Sub_Environment_Marshal,2,0
11400,1,1,577,619,2700,2,3,,,0,Texture/Image_Dungeon_Daily_03,11000,410002,Icon_EnchantScroll_02,410002,,,E_Sub_004,25,,Sub_Environment_Traikan,2,0
11401,1,2,4567,5828,44700,2,3,,,0,Texture/Image_Dungeon_Daily_03,11000,410002,Icon_EnchantScroll_02,410002,,,E_Sub_004,25,,Sub_Environment_Traikan,2,0
11402,1,3,8722,10768,124700,2,3,,,0,Texture/Image_Dungeon_Daily_03,11000,410002,Icon_EnchantScroll_02,410002,,,E_Sub_004,25,,Sub_Environment_Traikan,2,0
11403,1,4,15070,18385,226000,2,3,,,0,Texture/Image_Dungeon_Daily_03,11000,410002,Icon_EnchantScroll_02,410002,,,E_Sub_004,25,,Sub_Environment_Traikan,2,0
11404,0,5,15070,18385,649800,2,3,,,0,Texture/Image_Dungeon_Daily_03,11000,410002,Icon_Gacha_EnchantScroll,911050,,,E_Sub_004,25,,Sub_Environment_Traikan,2,0
11500,1,1,577,619,2700,2,4,,,0,Texture/Image_Dungeon_Daily_04,11000,420002,Icon_Asset_Upgrade_02,420002,,,E_Sub_005,25,,Sub_Environment_BloodyKing,2,0
11501,1,2,4567,5828,44700,2,4,,,0,Texture/Image_Dungeon_Daily_04,11000,420002,Icon_Asset_Upgrade_02,420002,,,E_Sub_005,25,,Sub_Environment_BloodyKing,2,0
11502,1,3,8722,10768,124700,2,4,,,0,Texture/Image_Dungeon_Daily_04,11000,420002,Icon_Asset_Upgrade_02,420002,,,E_Sub_005,25,,Sub_Environment_BloodyKing,2,0
11503,1,4,15070,18385,226000,2,4,,,0,Texture/Image_Dungeon_Daily_04,11000,420002,Icon_Asset_Upgrade_02,420002,,,E_Sub_005,25,,Sub_Environment_BloodyKing,2,0
11504,0,5,15070,18385,649800,2,4,,,0,Texture/Image_Dungeon_Daily_04,11000,420012,Icon_Asset_Upgrade_05,420012,,,E_Sub_005,25,,Sub_Environment_BloodyKing,2,0
11600,1,1,577,619,2700,2,5,,,0,Texture/Image_Dungeon_Daily_07,11000,410003,Icon_EnchantScroll_03,410003,,,E_Sub_006,25,,Sub_Environment_ArchonBamue,2,0
11601,1,2,4567,5828,44700,2,5,,,0,Texture/Image_Dungeon_Daily_07,11000,410003,Icon_EnchantScroll_03,410003,,,E_Sub_006,25,,Sub_Environment_ArchonBamue,2,0
11602,1,3,8722,10768,124700,2,5,,,0,Texture/Image_Dungeon_Daily_07,11000,410003,Icon_EnchantScroll_03,410003,,,E_Sub_006,25,,Sub_Environment_ArchonBamue,2,0
11603,1,4,15070,18385,226000,2,5,,,0,Texture/Image_Dungeon_Daily_07,11000,410003,Icon_EnchantScroll_03,410003,,,E_Sub_006,25,,Sub_Environment_ArchonBamue,2,0
11604,0,5,15070,18385,649800,2,5,,,0,Texture/Image_Dungeon_Daily_07,11000,410003,Icon_Gacha_EnchantScroll,911051,,,E_Sub_006,25,,Sub_Environment_ArchonBamue,2,0
11700,1,1,577,619,2700,2,6,,,0,Texture/Image_Dungeon_Daily_06,11000,420003,Icon_Asset_Upgrade_03,420003,,,E_Sub_007,25,,Sub_Environment_Boreas,2,0
11701,1,2,4567,5828,44700,2,6,,,0,Texture/Image_Dungeon_Daily_06,11000,420003,Icon_Asset_Upgrade_03,420003,,,E_Sub_007,25,,Sub_Environment_Boreas,2,0
11702,1,3,8722,10768,124700,2,6,,,0,Texture/Image_Dungeon_Daily_06,11000,420003,Icon_Asset_Upgrade_03,420003,,,E_Sub_007,25,,Sub_Environment_Boreas,2,0
11703,1,4,15070,18385,226000,2,6,,,0,Texture/Image_Dungeon_Daily_06,11000,420003,Icon_Asset_Upgrade_03,420003,,,E_Sub_007,25,,Sub_Environment_Boreas,2,0
11704,0,5,15070,18385,649800,2,6,,,0,Texture/Image_Dungeon_Daily_06,11000,420013,Icon_Asset_Upgrade_06,420013,,,E_Sub_007,25,,Sub_Environment_Boreas,2,0
12001,1,2,252,78,4500,3,1,,,11,Texture/UI_Image_InfinityDungeon,12000,900008,Icon_Rune_A_01,490005,,,,25,,,,0
12002,1,2,291,177,4500,3,2,,,11,Texture/UI_Image_InfinityDungeon,12000,900009,Item_EnchantScrollWeapon_01,490005,490041,,,25,,,,0
12003,1,2,352,271,5500,3,3,,,11,Texture/UI_Image_InfinityDungeon,12000,400002,Item_BloodMedal,490005,,,,25,,,,0
12004,1,2,437,398,5500,3,4,,,11,Texture/UI_Image_InfinityDungeon,12000,900011,Item_GemStoneBlue_01,490005,490041,,,25,,,,0
12005,1,2,577,619,6800,3,5,,,11,Texture/UI_Image_InfinityDungeon,12000,490002,Icon_RuneStone_01,490005,,,,25,,,,0
12006,1,2,794,966,6800,3,6,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12007,1,2,1115,1481,7800,3,7,,,11,Texture/UI_Image_InfinityDungeon,12000,900008,Icon_Rune_A_01,490005,490041,,,25,,,,0
12008,1,2,1605,2174,8700,3,8,,,11,Texture/UI_Image_InfinityDungeon,12000,900009,Item_EnchantScrollWeapon_01,490005,,,,25,,,,0
12009,1,2,2204,2929,9500,3,9,,,11,Texture/UI_Image_InfinityDungeon,12000,400002,Item_BloodMedal,490005,490041,,,25,,,,0
12010,1,2,2834,3710,10400,3,10,,,11,Texture/UI_Image_InfinityDungeon,12000,900011,Item_GemStoneBlue_01,490005,910104,,,25,,,,0
12011,1,2,3206,4172,11600,3,11,,,11,Texture/UI_Image_InfinityDungeon,12000,490002,Icon_RuneStone_01,490005,,,,25,,,,0
12012,1,2,3558,4604,12500,3,12,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12013,1,2,3930,5060,13500,3,13,,,11,Texture/UI_Image_InfinityDungeon,12000,900008,Icon_Rune_A_01,490005,,,,25,,,,0
12014,1,2,4269,5472,14400,3,14,,,11,Texture/UI_Image_InfinityDungeon,12000,900009,Item_EnchantScrollWeapon_01,490005,490041,,,25,,,,0
12015,1,2,4567,5828,15600,3,15,,,11,Texture/UI_Image_InfinityDungeon,12000,400002,Item_BloodMedal,490005,,,,25,,,,0
12016,1,2,4872,6195,17000,3,16,,,11,Texture/UI_Image_InfinityDungeon,12000,900011,Item_GemStoneBlue_01,490005,490041,,,25,,,,0
12017,1,2,5185,6570,18800,3,17,,,11,Texture/UI_Image_InfinityDungeon,12000,490002,Icon_RuneStone_01,490005,,,,25,,,,0
12018,1,2,5505,6954,20600,3,18,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12019,1,2,5832,7346,22400,3,19,,,11,Texture/UI_Image_InfinityDungeon,12000,900008,Icon_Rune_A_01,490005,,,,25,,,,0
12020,1,2,6166,7747,24400,3,20,,,11,Texture/UI_Image_InfinityDungeon,12000,900009,Item_EnchantScrollWeapon_01,490005,910114,,,25,,,,0
12021,1,2,6430,8059,26700,3,21,,,11,Texture/UI_Image_InfinityDungeon,12000,400002,Item_BloodMedal,490005,,,,25,,,,0
12022,1,2,6694,8370,29600,3,22,,,11,Texture/UI_Image_InfinityDungeon,12000,900011,Item_GemStoneBlue_01,490005,490041,,,25,,,,0
12023,1,2,6956,8680,32200,3,23,,,11,Texture/UI_Image_InfinityDungeon,12000,490002,Icon_RuneStone_01,490005,,,,25,,,,0
12024,1,2,7217,8989,35300,3,24,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12025,1,2,7476,9294,38200,3,25,,,11,Texture/UI_Image_InfinityDungeon,12000,900008,Icon_Rune_A_01,490005,,,,25,,,,0
12026,1,2,7732,9597,44700,3,26,,,11,Texture/UI_Image_InfinityDungeon,12000,900009,Item_EnchantScrollWeapon_01,490005,490041,,,25,,,,0
12027,1,2,7985,9897,52100,3,27,,,11,Texture/UI_Image_InfinityDungeon,12000,400002,Item_BloodMedal,490005,,,,25,,,,0
12028,1,2,8234,10192,55900,3,28,,,11,Texture/UI_Image_InfinityDungeon,12000,900011,Item_GemStoneBlue_01,490005,490041,,,25,,,,0
12029,1,2,8480,10482,59900,3,29,,,11,Texture/UI_Image_InfinityDungeon,12000,490002,Icon_RuneStone_01,490005,,,,25,,,,0
12030,1,2,8722,10768,64100,3,30,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,910124,,,25,,,,0
12031,1,2,8959,11048,70300,3,31,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12032,1,2,9347,11513,75900,3,32,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12033,1,2,9742,11988,80300,3,33,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12034,1,2,10145,12471,86400,3,34,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12035,1,2,10556,12964,91100,3,35,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12036,1,2,10974,13466,98000,3,36,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12037,1,2,11399,13977,104400,3,37,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12038,1,2,11833,14497,110400,3,38,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12039,1,2,12273,15026,118300,3,39,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12040,1,2,12721,15564,124700,3,40,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,910124,,,25,,,,0
12041,1,2,13176,16111,133600,3,41,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12042,1,2,13639,16666,141400,3,42,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12043,1,2,14108,17230,150700,3,43,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12044,1,2,14586,17803,160700,3,44,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12045,1,2,15070,18385,170000,3,45,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12046,1,2,15561,18975,181100,3,46,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12047,1,2,16060,19574,192200,3,47,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12048,1,2,16566,20182,203800,3,48,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12049,1,2,17080,20798,216200,3,49,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12050,1,2,17600,21423,228600,3,50,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490027,,,25,,,,0
12051,1,2,18127,22056,241200,3,51,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12052,1,2,18662,22698,254100,3,52,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12053,1,2,19203,23348,266800,3,53,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12054,1,2,19752,24007,279700,3,54,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12055,1,2,20308,24674,293300,3,55,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12056,1,2,20870,25349,306700,3,56,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12057,1,2,21439,26033,321300,3,57,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12058,1,2,22016,26725,336200,3,58,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12059,1,2,22599,27426,351400,3,59,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12060,1,2,23190,28134,367400,3,60,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,910134,,,25,,,,0
12061,1,2,23787,28852,384500,3,61,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12062,1,2,24391,29577,402200,3,62,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12063,1,2,25002,30311,420300,3,63,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12064,1,2,25620,31052,439300,3,64,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12065,1,2,26244,31802,459200,3,65,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12066,1,2,26875,32560,478800,3,66,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12067,1,2,27514,33327,500900,3,67,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12068,1,2,28158,34101,523800,3,68,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12069,1,2,28810,34883,546900,3,69,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12070,1,2,29468,35674,571100,3,70,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490037,,,25,,,,0
12071,0,2,30134,36472,596400,3,71,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12072,0,2,30805,37278,621600,3,72,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12073,0,2,31484,38093,647500,3,73,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12074,0,2,32169,38916,675000,3,74,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12075,0,2,32860,39746,702100,3,75,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,910144,,,25,,,,0
12076,0,2,33559,40585,728900,3,76,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12077,0,2,34263,41431,756200,3,77,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12078,0,2,34975,42285,785300,3,78,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12079,0,2,35693,43147,815700,3,79,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12080,0,2,36417,44017,846300,3,80,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490038,,,25,,,,0
12081,0,2,37148,44895,857700,3,81,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12082,0,2,37886,45781,878200,3,82,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12083,0,2,38630,46675,902200,3,83,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12084,0,2,39381,47576,926500,3,84,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12085,0,2,40138,48485,951000,3,85,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,910154,,,25,,,,0
12086,0,2,40902,49402,977100,3,86,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12087,0,2,41672,50326,1001800,3,87,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12088,0,2,42448,51259,1024900,3,88,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490041,,,25,,,,0
12089,0,2,43231,52199,1051100,3,89,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,,,,25,,,,0
12090,0,2,44021,53147,1077600,3,90,,,11,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,490005,490038,,,25,,,,0
