Index,Id,Resource,SocketName,Scale,EffectRotationOnly,Offset_X,Offset_Y,Offset_Z
73,300014,BP/BP_PTC_QueenAntBossSkill_06,Socket_Center,1,1,,,
74,8010441,PC/Human/dailydungeon_damage_up_loop,Socket_Top,1,1,,,
75,801045,BP/BP_PTC_WaterCrystalShield,ArtifactCaptureEnd,1,1,,,-100
76,8010461,BP/BP_PTC_PartyofFury,Socket_Center,1,1,,,
77,801048,BP/BP_PTC_OverPower,Socket_Center,1,1,,,
78,801043,Common/DungeonBuff_Get_07,Fx_Base,1,1,,,
79,8010441,Common/DungeonBuff_Get_08,Fx_Base,1,1,,,
80,801045,Common/DungeonBuff_Get_10,Fx_Base,1,1,,,
81,8010461,Common/Buff_PartyofFury_Start,Fx_Base,1,1,,,
82,801048,Common/Buff_Powerup_start,Fx_Base,1,1,,,
83,413005,BP/BP_PTC_Debuff_Bleeding,Socket_Center,1,1,,,
84,7411911,BP/BP_PTC_Marax_BattleStun,Socket_Center,1,1,,,
85,300141,BP/BP_PTC_SkillPoisonStrike,Socket_Bottom,1,1,,,
86,401021,BP/BP_PTC_Boranta_BossSkill_01_Debuff,Socket_Bottom,1,1,,,
87,413010,BP/BP_PTC_Leonard_BattleStun,Socket_Bottom,1,1,,,
88,4130181,BP/BP_PTC_Debuff_VampireDisease01,Socket_Center,1,1,,,
89,4130182,BP/BP_PTC_Debuff_VampireDisease02,Socket_Center,1,1,,,
90,4130183,BP/BP_PTC_Debuff_VampireDisease03,Socket_Center,1,1,,,
91,4130184,BP/BP_PTC_Debuff_VampireDisease04,Socket_Center,1,1,,,
92,4130185,BP/BP_PTC_Debuff_VampireDisease04,Socket_Center,1,1,,,
93,413019,BP/BP_PTC_Debuff_VampireTransmutation,Bip01-Spine1,1,0,,,
94,401026,BP/BP_PTC_Debuff_Ignition,Socket_Center,1,1,,,
95,4010351,BP/BP_PTC_Ramog_BattleStun,Socket_Center,1,1,,,
96,103,BP/BP_PTC_Common_Firecracker_01,Socket_Bottom,1,1,,,
97,104,BP/BP_PTC_Common_Firecracker_02,Socket_Bottom,1,1,,,
98,105,BP/BP_PTC_Common_Firecracker_03,Socket_Bottom,1,1,,,
99,106,BP/BP_PTC_Common_Firecracker_04,Socket_Bottom,1,1,,,
100,413011,BP/BP_PTC_Debuff_LifeExtortion,FX_Bottom,1,1,,,
101,9902011,BP/BP_PTC_CapeBarrier,Socket_Bottom,1,1,,,
102,9903011,BP/BP_PTC_CapeBarrier,Socket_Bottom,1,1,,,
103,731261,BP/BP_PTC_ZakenBossSkill_04,Socket_Center,1,1,,,
104,730222,BP/BP_PTC_Buff_SkillEvasionKick,Socket_Center,1,1,,,
105,201,BP_PTC_RewardFX_DropItemField,Socket_Bottom,1,1,,,
106,202,BP_PTC_RewardFX_DropItemBoss,Socket_Bottom,1,1,,,
107,203,BP_PTC_RewardFX_BossFinish,Socket_Bottom,1,1,,,
85,5002,BP/BP_PTC_AltarHero_02,Socket_Bottom,1,1,,,
86,5004,BP/BP_PTC_AltarHero_04,Socket_Bottom,1,1,,,
