Id,TextParam1,BuffType,ClientType,Param,TextParam2,Group,StackCount,Duration,Period,VisualEffectId,ExtendVisualEffectId,ExceptRoomType,IconTexture,CameraShake,CameraShakeIntensity,Sound
30014,,7,6,"{""Color"":{""R"":0,""G"":1,""B"":0}}",,,1,7000,,,,,Icon_Skill_Unique_30007,,,
300141,,7,0,,,,1,5000,1000,,300141,,Icon_Skill_Unique_30007,,,
30015,,7,14,,,,1,3000,,,,,Icon_Skill_Unique_30010,,,
300151,,7,14,,,,1,6000,,,,,Icon_Skill_Unique_30010,,,
31001,,7,14,,,1001,1,20000,,,,,Icon_Skill_Unique_30008,,,
35001,,4,14,,,,1,0,,,,,,,,
35002,,4,14,,,,1,0,,,,,,,,
35003,,4,14,,,,1,0,,,,,,,,
35004,,4,14,,,,1,0,,,,,,,,
35005,,4,14,,,,1,0,,,,,,,,
35006,,4,14,,,,1,0,,,,,,,,
35011,,4,14,,,,1,0,,,,,,,,
35021,,4,14,,,,1,0,,,,,,,,
35031,,4,14,,,,1,0,,,,,,,,
35111,,4,14,,,,1,0,,,,,,,,
35121,,4,14,,,,1,0,,,,,,,,
35122,,4,14,,,,1,0,,,,,,,,
35131,,4,14,,,,1,0,,,,,,,,
35141,,4,14,,,,1,0,,,,,,,,
35151,,4,14,,,,1,0,,,,,,,,
35161,,4,14,,,,1,0,,,,,,,,
35221,,4,14,,,,1,0,,,,,,,,
35231,,4,14,,,,1,0,,,,,,,,
35311,,4,14,,,,1,0,,,,,,,,
35321,,4,14,,,,1,0,,,,,,,,
35331,,4,14,,,,1,0,,,,,,,,
35332,,4,14,,,,1,0,,,,,,,,
35341,,4,14,,,,1,0,,,,,,,,
40001,,7,14,,,,1,,,,,,Icon_Buff_HotTimeEvent01,,,
40002,,7,14,,,,1,,,,,,Icon_Buff_HotTimeEvent02,,,
40003,,7,14,,,,1,,,,,,Icon_Buff_HotTimeEvent03,,,
40004,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24211,Shake_BackAndForth,5,PC/Common/PC_Hit_Critical_01
40005,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24212,,,
40006,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24221,,,
40007,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24223,,,
40008,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24231,,,
40009,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24232,,,
40010,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24241,,,
40011,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24242,,,
40012,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24251,,,
40013,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24252,,,
40014,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24261,,,
40015,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24262,,,
40016,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24211,,,
40017,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24212,,,
40018,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24221,,,
40019,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24223,,,
40020,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24231,,,
40021,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24232,,,
40022,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24241,,,
40023,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24242,,,
40024,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24251,,,
40025,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24252,,,
40026,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24261,,,
40027,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24262,,,
40028,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24211,,,
40029,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24212,,,
40030,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24221,,,
40031,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24223,,,
40032,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24231,,,
40033,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24232,,,
40034,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24241,,,
40035,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24242,,,
40036,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24251,,,
40037,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24252,,,
40038,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24261,,,
40039,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24262,,,
40040,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24211,,,
40041,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24212,,,
40042,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24221,,,
40043,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24223,,,
40044,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24231,,,
40045,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24232,,,
40046,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24241,,,
40047,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24242,,,
40048,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24251,,,
40049,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24252,,,
40050,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24261,,,
40051,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24262,,,
40052,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24211,,,
40053,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24212,,,
40054,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24221,,,
40055,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24223,,,
40056,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24231,,,
40057,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24232,,,
40058,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24241,,,
40059,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24242,,,
40060,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24251,,,
40061,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24252,,,
40062,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24261,,,
40063,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24262,,,
40064,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24211,,,
40065,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24212,,,
40066,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24221,,,
40067,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24223,,,
40068,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24231,,,
40069,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24232,,,
40070,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24241,,,
40071,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24242,,,
40072,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24251,,,
40073,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24252,,,
40074,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24261,,,
40075,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24262,,,
40076,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24211,,,
40077,,7,14,,,,1,10000,,,,,Icon_Skill_Passive_24212,,,
50001,,7,14,,,11,1,5000,1000,,,,Icon_Debuff_Burn,,,
50002,,7,14,,,1001,1,5000,,,,,Icon_Debuff_Slow,,,
50003,,7,14,,,,1,5000,,,,,Icon_Debuff_Weakness,,,
50004,,7,14,,,14,1,5000,1000,,,,Icon_Debuff_Curse,,,
50005,,7,4,,,1002,1,3000,,1,,,Icon_Debuff_Stun,,,
50006,,7,14,,,12,1,3000,600,,,,Icon_Debuff_Bleed,,,
50007,,7,14,,,13,1,5000,1000,,,,Icon_Debuff_Poison,,,
50008,,7,14,,,,1,5000,,,,,Icon_Debuff_AttackPower,,,
50010,,7,4,,,1002,1,3000,,1,,,Icon_Debuff_Stun,Shake_BackAndForth,5,
60099,,7,14,,,12,1,3000,500,,,,Icon_Debuff_Bleed,,,
60103,,7,14,,,,1,3600000,,,,,Icon_Buff_MoveSpeed,,,
60115,,7,14,,,,1,5000,1000,,,,Icon_Debuff_Burn,,,
60118,,7,14,,,,1,3600000,,,,,Icon_Skill_Active_13213,,,
60136,,7,4,,,1002,1,2000,,1,,,Icon_Debuff_Stun,,,
60137,,7,4,,,1002,1,2000,,1,,,Icon_Debuff_Stun,,,
71023,,7,14,,,,1,5000,,,,,Icon_Debuff_Slow,,,
71452,,7,14,,,12,1,3000,600,,,,Icon_Debuff_Bleed,,,
71462,,7,14,,,12,1,3000,600,,,,Icon_Debuff_Bleed,,,
73013,,7,14,,,,10,10000,,,,,Icon_Buff_AttackPower,,,
73022,,7,14,,,,1,30000,,,,,Icon_Debuff_AttackPower,,,
73031,,7,14,,,,10,3600000,,,,,Icon_Debuff_DefensePower,,,
73033,,7,14,,,,10,3600000,,,,,Icon_Buff_AttackPower,,,
74011,,7,2,,,1003,1,2000,,,,,Icon_Debuff_KnockDown,,,
74022,,7,14,,,,1,5000,1000,,,,Icon_Debuff_Bleed,,,
74032,,7,14,,,,1,2500,500,,,,Icon_Debuff_Paralyze,,,
74042,,7,14,,,,10,2500,500,4,,,Icon_Debuff_Burn,,,
74051,,7,14,,,,1,5000,1000,6,,,Icon_Debuff_Poison,,,
74062,,7,14,,,1001,1,5000,,,,,Icon_Debuff_Slow,,,
74071,,7,14,,,,5,5000,1000,6,,,Icon_Debuff_Poison,,,
74072,,7,14,,,1001,1,10000,,,,,Icon_Debuff_Slow,,,
74082,,7,14,,,,1,150000,,3,,,Icon_Buff_AttackPower,,,
74083,,7,14,,,5001,1,150000,,,,,Icon_Buff_MoveSpeed,,,
74084,,7,14,,,,1,150000,,,,,Icon_Debuff_DefensePower,,,
74085,,7,14,,,,1,150000,,3,,,Icon_Buff_AttackPower,,,
74086,,7,14,,,5001,1,150000,,,,,Icon_Buff_MoveSpeed,,,
74087,,7,14,,,,1,150000,,,,,Icon_Debuff_DefensePower,,,
74088,,7,14,,,,1,150000,,3,,,Icon_Buff_AttackPower,,,
74089,,7,14,,,5001,1,150000,,,,,Icon_Buff_MoveSpeed,,,
74090,,7,14,,,,1,150000,,,,,Icon_Debuff_DefensePower,,,
74091,,7,14,,,,1,3600000,,3,,,Icon_Buff_AttackPower,,,
74092,,7,14,,,5001,1,3600000,,,,,Icon_Buff_MoveSpeed,,,
74093,,7,14,,,,1,3600000,,,,,Icon_Debuff_DefensePower,,,
50074,,7,14,,,,10,7000,,,,,Icon_Debuff_AttackPower,,,
74095,,7,14,,,,1,5000,,,,,Icon_Debuff_DefensePower,,,
74096,,7,14,,,,5,25000,,,,,Icon_Debuff_Weakness,,,
74097,,7,14,,,,1,30000,,,,,Icon_Skill_Unique_30008,,,
74098,,7,14,,,,1,30000,,,,,Icon_Skill_Unique_30010,,,
74111,,7,14,,,,1,5000,,,,,Icon_Debuff_Curse,,,
74121,,7,14,,,,1,10000,,,,,Icon_Debuff_DefensePower,,,
74122,,7,14,,,,5,5000,1000,,,,Icon_Debuff_Poison,,,
74131,,7,14,,,,5,5000,1000,6,,,Icon_Debuff_Poison,,,
74132,,7,4,,,1002,1,5000,,5,,,Icon_Debuff_Curse,,,
74134,,7,14,,,,1,1,,,,,,,,
741341,,5,14,,,,1,10000,1000,,,,Icon_Debuff_Bleed,,,
741342,,7,4,,,1002,1,3500,,1,,,Icon_Debuff_Stun,,,
741351,,7,14,,,,1,10000,500,,,,Icon_Debuff_Curse,,,
7413511,,7,14,,,,1,10000,,741352,,,Icon_Debuff_Curse,,,
741352,,7,11,,,,1,1001,,,,,Icon_Debuff_Curse,,,
741353,,7,14,,,,1,10000,1000,,,,Icon_Debuff_Curse,,,
77001,,7,14,,,11,1,5000,1000,,,,Icon_Debuff_Burn,,,
77002,,7,14,,,1001,1,5000,,,,,Icon_Debuff_Slow,,,
77003,,7,14,,,,1,7000,,,,,Icon_Debuff_Weakness,,,
77004,,7,14,,,14,1,5000,1000,,,,Icon_Debuff_Curse,,,
77005,,7,4,,,1002,1,2000,,1,,,Icon_Debuff_Stun,,,
77006,,7,14,,,12,1,3000,600,,,,Icon_Debuff_Bleed,,,
77007,,7,14,,,13,1,5000,1000,,,,Icon_Debuff_Poison,,,
77008,,7,14,,,,1,5000,,,,,Icon_Debuff_AttackPower,,,
77010,,7,4,,,1002,1,2000,,1,,,Icon_Debuff_Stun,,,
77085,,7,14,,,,1,30000,,,,,Icon_Debuff_AttackPower,,,
801011,,7,14,,,,1,30000,,500006,,,Icon_Buff_AttackPower,,,Interface/UI_Dungeon_Buff_Atk_Phy_1
801012,,7,14,,,,1,30000,,500006,,,Icon_Buff_AttackPower,,,Interface/UI_Dungeon_Buff_Atk_Phy_1
801013,,7,14,,,,1,30000,,500006,,,Icon_Buff_AttackPower,,,Interface/UI_Dungeon_Buff_Atk_Phy_1
801021,,7,14,,,,1,30000,,500005,,,Icon_Buff_AttackSpeed,,,Interface/UI_Dungeon_Buff_Atk_Speed_1
801022,,7,14,,,,1,30000,,500005,,,Icon_Buff_AttackSpeed,,,Interface/UI_Dungeon_Buff_Atk_Speed_1
801031,,7,14,,,,1,30000,,500003,,,Icon_Buff_DefensePower,,,Interface/UI_Dungeon_Buff_Defence_1
801032,,7,14,,,,1,30000,,500003,,,Icon_Buff_DefensePower,,,Interface/UI_Dungeon_Buff_Defence_1
801033,,7,14,,,,1,30000,,500003,,,Icon_Buff_DefensePower,,,Interface/UI_Dungeon_Buff_Defence_1
801041,,7,14,,,,1,30000,,500004,,,Icon_Buff_MoveSpeed,,,Interface/UI_Dungeon_Buff_Speed_1
801042,,7,14,,,,1,30000,,500004,,,Icon_Buff_MoveSpeed,,,Interface/UI_Dungeon_Buff_Speed_1
80105,,7,14,,,,1,30000,,500002,,,Icon_Buff_MaxHP,,,Interface/UI_Dungeon_Buff_Defence_1
80106,,7,14,,,,1,30000,,500001,,,Icon_Buff_MaxMP,,,Interface/UI_Dungeon_Buff_Defence_1
801043,,7,14,,,,1,30000,,,,,Icon_Buff_SkiilDamageUp,,,Interface/UI_Dungeon_Buff_Skill_Phy_1
801044,,7,14,,,,1,30000,1000,8010441,,,Icon_Buff_ApproachDamageUp,,,Interface/UI_Dungeon_Buff_Skill_Phy_2
801045,,7,14,,,,1,15000,,801045,,,Icon_Buff_MoveSpeed,,,Interface/UI_Dungeon_Buff_Defence_2
801046,,7,14,,,,1,15000,1000,8010461,,,Icon_Buff_PartyPowerUP,,,Interface/UI_Dungeon_Buff_Atk_Phy_2
8010461,,7,14,,,,1,1000,,8010461,,,Icon_Buff_PartyPowerUP,,,Interface/UI_Dungeon_Buff_Atk_Phy_2
801047,,7,4,,,,1,3000,,1,,,Icon_Debuff_Stun,,,
801048,,4,0,,,,1,10000,,801048,,,Icon_Buff_OverPower,,,
93506,,7,6,"{""Color"":{""R"":255,""G"":15,""B"":0}}",,,1,3600000,,,,,,,,
94409,,7,6,"{""Color"":{""R"":255,""G"":15,""B"":0}}",,,1,3600000,,,,,,,,
90001,,7,14,,,,1,3600000,,,,,Icon_Skill_Passive_20261,,,
90002,,7,14,,,,1,3600000,,,,,Icon_Skill_Passive_22261,,,
90003,,7,14,,,,1,3600000,,,,,Icon_Skill_Passive_20211,,,
90004,,7,14,,,,1,3600000,,,,,Icon_Skill_Passive_20221,,,
90005,,7,14,,,,1,3600000,,,,,Icon_Skill_Passive_20241,,,
90006,,7,14,,,,1,3600000,,,,,Icon_Skill_Passive_24241,,,
90007,,7,14,,,,1,3600000,,,,,Icon_Skill_Passive_20231,,,
90008,,7,14,,,,1,3600000,,,,,Icon_Skill_Passive_20251,,,
90009,,7,14,,,,1,3600000,,,,,Icon_Skill_Passive_21221,,,
905001,1,7,14,,1,,1,0,,,,,Buff_AgitCrystal,,,
905002,2,7,14,,2,,1,0,,,,,Buff_AgitCrystal,,,
905003,3,7,14,,3,,1,0,,,,,Buff_AgitCrystal,,,
905004,4,7,14,,4,,1,0,,,,,Buff_AgitCrystal,,,
905005,5,7,14,,5,,1,0,,,,,Buff_AgitCrystal,,,
905006,6,7,14,,6,,1,0,,,,,Buff_AgitCrystal,,,
905007,7,7,14,,7,,1,0,,,,,Buff_AgitCrystal,,,
905008,8,7,14,,8,,1,0,,,,,Buff_AgitCrystal,,,
905009,9,7,14,,9,,1,0,,,,,Buff_AgitCrystal,,,
905010,10,7,14,,10,,1,0,,,,,Buff_AgitCrystal,,,
905101,,4,14,,,905101,1,1800000,,500001,,,Icon_Buff_Banquet_S,,,Interface/UI_Dungeon_Buff_Defence_1
905102,,4,14,,,905102,1,1800000,,500004,,,Icon_Buff_Banquet_M,,,Interface/UI_Dungeon_Buff_Speed_1
905103,,4,14,,,905103,1,1800000,,500002,,,Icon_Buff_Banquet_L,,,Interface/UI_Dungeon_Buff_Atk_Phy_1
905104,,4,14,,,905101,1,1800000,,500001,,,Icon_Buff_Banquet_S,,,Interface/UI_Dungeon_Buff_Defence_1
905105,,4,14,,,905102,1,1800000,,500004,,,Icon_Buff_Banquet_M,,,Interface/UI_Dungeon_Buff_Speed_1
