MarketType,ShopId,CurrencyType,Cost,DisplayCost,OriginCost,SaleRatio,ProductId
1,30120009,2,99.99,99.99,,,
1,30120010,2,19.99,19.99,,,
1,30120011,2,49.99,49.99,,,
1,30120012,2,89.99,89.99,,10,
1,30120013,2,79.99,79.99,,20,
1,30120014,2,9.99,9.99,,,
1,30130000,2,19.99,19.99,,,
1,30130001,2,49.99,49.99,,,
1,30130002,2,99.99,99.99,,,
1,30130003,2,19.99,19.99,,,
1,30130004,2,29.99,29.99,,,
1,30130005,2,49.99,49.99,,,
1,30130006,2,49.99,49.99,,,
1,30130007,2,29.99,29.99,,,
1,30130008,2,49.99,49.99,,,
1,30130009,2,99.99,99.99,,,
1,30130010,2,9.99,9.99,,,
1,30130011,2,99.99,99.99,,,
1,30130012,2,99.99,99.99,,,
1,30130013,2,44.99,44.99,,10,
1,30130014,2,89.99,89.99,,10,
1,30130015,2,79.99,79.99,,20,
1,30130016,2,44.99,44.99,,10,
1,30130017,2,29.99,29.99,,,
1,30130018,2,4.99,4.99,,,
1,30130019,2,19.99,19.99,,,
1,30150000,2,19.99,19.99,,,
1,30150001,2,29.99,29.99,,,
1,30150002,2,49.99,49.99,,,
1,30150003,2,29.99,29.99,,,
1,30150004,2,49.99,49.99,,,
1,30160000,2,29.99,29.99,,,
1,30160001,2,29.99,29.99,,,
1,30160002,2,29.99,29.99,,,
1,30170000,2,29.99,29.99,,,
1,30170001,2,29.99,29.99,,,
1,38000000,2,9.99,9.99,,,
1,38000001,2,15.99,15.99,,,
1,38000002,2,23.99,23.99,,,
1,38000003,2,69.99,69.99,,,
1,30130020,2,4.99,4.99,,,
1,30130021,2,49.99,49.99,,,
1,30110018,2,1,0.99,,,
1,30110019,2,1.99,1.99,,,
1,30110020,2,2.99,2.99,,,
1,30110021,2,4.99,4.99,,,
1,30110022,2,9.99,9.99,,,
1,30110023,2,15.99,15.99,,,
1,30110024,2,19.99,19.99,,,
1,30110025,2,23.99,23.99,,,
1,30110026,2,29.99,29.99,,,
1,30110027,2,39.99,39.99,,,
1,30110028,2,44.99,44.99,,,
1,30110029,2,49.99,49.99,,,
1,30110030,2,69.99,69.99,,,
1,30110031,2,79.99,79.99,,,
1,30110032,2,89.99,89.99,,,
1,30110033,2,99.99,99.99,,,
1,30004274,2,49.99,49.99,,,
1,30004275,2,49.99,49.99,,,
1,39009000,2,29.99,29.99,,,
1,39009001,2,99.99,99.99,,,
1,39009002,2,99.99,99.99,,,
1,39009003,2,99.99,99.99,,,
1,39009004,2,99.99,99.99,,,
1,39009005,2,9.99,9.99,,,
1,39009006,2,49.99,49.99,,,
1,39009007,2,99.99,99.99,,,
1,39009008,2,29.99,29.99,,,
1,39009009,2,99.99,99.99,,,
1,39009010,2,9.99,9.99,,,
1,39009011,2,49.99,49.99,,,
1,39009012,2,99.99,99.99,,,
1,39009013,2,49.99,49.99,,,
1,30004325,2,9.99,9.99,,,
1,30004341,2,9.99,9.99,,,
1,30004349,2,9.99,9.99,,,
1,39009014,2,9.99,9.99,,,
1,39006001,2,1,0.99,,,
1,39006002,2,9.99,9.99,,,
1,39006003,2,99.99,99.99,,,
1,39006004,2,1,0.99,,,
1,30150005,2,99.99,99.99,,,
1,30130022,2,99.99,99.99,,,
1,30004359,2,4.99,4.99,,,
1,9667,2,8.99,9.89,,,
1,9668,2,8.99,9.89,,,
1,30180001,2,29.99,29.99,,,
0,30001000,2,1,0.99,,,
0,30001010,2,2.99,2.99,,,
0,30001020,2,4.99,4.99,,,
0,30001030,2,9.99,9.99,,,
0,30001040,2,1.99,1.99,,,
0,30001050,2,15.99,15.99,,20,
0,30001060,2,23.99,23.99,,20,
0,30001070,2,44.99,44.99,,10,
0,30001080,2,39.99,39.99,,20,
0,30001090,2,89.99,89.99,,10,
0,30001100,2,79.99,79.99,,20,
0,30001110,2,69.99,69.99,,30,
0,30001120,2,99.99,99.99,,,
0,30001130,2,49.99,49.99,,,
0,30001140,2,29.99,29.99,,,
0,30001150,2,29.99,29.99,,,
0,30001160,2,49.99,49.99,,,
0,30001170,2,49.99,49.99,,,
0,30001180,2,99.99,99.99,,,
0,30001190,2,99.99,99.99,,,
0,30001200,2,1,0.99,,,
0,30002000,2,2.99,2.99,,,
0,30002010,2,4.99,4.99,,,
0,30002020,2,9.99,9.99,,,
0,30002030,2,19.99,19.99,,,
0,30002040,2,29.99,29.99,,,
0,30002050,2,49.99,49.99,,,
0,30002060,2,99.99,99.99,,,
0,30002070,2,1,0.99,,,
0,30002080,2,4.99,4.99,,,
0,30002090,2,9.99,9.99,,,
0,30002100,2,19.99,19.99,,,
0,30002110,2,29.99,29.99,,,
0,30002120,2,49.99,49.99,,,
0,30002130,2,99.99,99.99,,,
0,30003000,2,9.99,9.99,,,
0,30003001,2,29.99,29.99,,,
0,30003100,2,2.99,2.99,,,
0,30003101,2,9.99,9.99,,,
0,30004000,2,99.99,99.99,,,
0,30004001,2,29.99,29.99,,,
0,30004002,2,99.99,99.99,,,
0,30004003,2,49.99,49.99,,,
0,30004100,2,4.99,4.99,,,
0,30004101,2,9.99,9.99,,,
0,30004200,2,9.99,9.99,,,
0,30004300,2,9.99,9.99,,,
0,30004301,2,29.99,29.99,,,
0,30110000,2,29.99,29.99,,,
0,30110001,2,44.99,44.99,,,
0,30110002,2,9.99,9.99,,,
0,30110003,2,29.99,29.99,,,
0,30110004,2,49.99,49.99,,,
0,30110005,2,29.99,29.99,,,
0,30110006,2,49.99,49.99,,,
0,30110007,2,99.99,99.99,,,
0,30110008,2,29.99,29.99,,,
0,30110009,2,49.99,49.99,,,
0,30110010,2,99.99,99.99,,,
0,30110011,2,49.99,49.99,,,
0,30110012,2,44.99,44.99,,10,
0,30110013,2,39.99,39.99,,20,
0,30110014,2,29.99,29.99,,,
0,30110015,2,29.99,29.99,,,
0,30110016,2,99.99,99.99,,,
0,30110017,2,99.99,99.99,,,
0,30120001,2,9.99,9.99,,,
0,30120002,2,19.99,19.99,,,
0,30120003,2,29.99,29.99,,,
0,30120004,2,9.99,9.99,,,
0,30120005,2,19.99,19.99,,,
0,30120006,2,29.99,29.99,,,
0,30120007,2,9.99,9.99,,,
0,30120008,2,29.99,29.99,,,
0,30120009,2,99.99,99.99,,,
0,30120010,2,19.99,19.99,,,
0,30120011,2,49.99,49.99,,,
0,30120012,2,89.99,89.99,,10,
0,30120013,2,79.99,79.99,,20,
0,30120014,2,9.99,9.99,,,
0,30130000,2,19.99,19.99,,,
0,30130001,2,49.99,49.99,,,
0,30130002,2,99.99,99.99,,,
0,30130003,2,19.99,19.99,,,
0,30130004,2,29.99,29.99,,,
0,30130005,2,49.99,49.99,,,
0,30130006,2,49.99,49.99,,,
0,30130007,2,29.99,29.99,,,
0,30130008,2,49.99,49.99,,,
0,30130009,2,99.99,99.99,,,
0,30130010,2,9.99,9.99,,,
0,30130011,2,99.99,99.99,,,
0,30130012,2,99.99,99.99,,,
0,30130013,2,44.99,44.99,,10,
0,30130014,2,89.99,89.99,,10,
0,30130015,2,79.99,79.99,,20,
0,30130016,2,44.99,44.99,,10,
0,30130017,2,29.99,29.99,,,
0,30130018,2,4.99,4.99,,,
0,30130019,2,19.99,19.99,,,
0,30150000,2,19.99,19.99,,,
0,30150001,2,29.99,29.99,,,
0,30150002,2,49.99,49.99,,,
0,30150003,2,29.99,29.99,,,
0,30150004,2,49.99,49.99,,,
0,30160000,2,29.99,29.99,,,
0,30160001,2,29.99,29.99,,,
0,30160002,2,29.99,29.99,,,
0,30170000,2,29.99,29.99,,,
0,30170001,2,29.99,29.99,,,
0,38000000,2,9.99,9.99,,,
0,38000001,2,15.99,15.99,,,
0,38000002,2,23.99,23.99,,,
0,38000003,2,69.99,69.99,,,
0,30130020,2,4.99,4.99,,,
0,30130021,2,49.99,49.99,,,
0,30110018,2,1,0.99,,,
0,30110019,2,1.99,1.99,,,
0,30110020,2,2.99,2.99,,,
0,30110021,2,4.99,4.99,,,
0,30110022,2,9.99,9.99,,,
0,30110023,2,15.99,15.99,,,
0,30110024,2,19.99,19.99,,,
0,30110025,2,23.99,23.99,,,
0,30110026,2,29.99,29.99,,,
0,30110027,2,39.99,39.99,,,
0,30110028,2,44.99,44.99,,,
0,30110029,2,49.99,49.99,,,
0,30110030,2,69.99,69.99,,,
0,30110031,2,79.99,79.99,,,
0,30110032,2,89.99,89.99,,,
0,30110033,2,99.99,99.99,,,
0,30004274,2,49.99,49.99,,,
0,30004275,2,49.99,49.99,,,
0,39009000,2,29.99,29.99,,,
0,39009001,2,99.99,99.99,,,
0,39009002,2,99.99,99.99,,,
0,39009003,2,99.99,99.99,,,
0,39009004,2,99.99,99.99,,,
0,39009005,2,9.99,9.99,,,
0,39009006,2,49.99,49.99,,,
0,39009007,2,99.99,99.99,,,
0,39009008,2,29.99,29.99,,,
0,39009009,2,99.99,99.99,,,
0,39009010,2,9.99,9.99,,,
0,39009011,2,49.99,49.99,,,
0,39009012,2,99.99,99.99,,,
0,39009013,2,49.99,49.99,,,
0,30004325,2,9.99,9.99,,,
0,30004341,2,9.99,9.99,,,
0,30004349,2,9.99,9.99,,,
0,39009014,2,9.99,9.99,,,
0,39006001,2,1,0.99,,,
0,39006002,2,9.99,9.99,,,
0,39006003,2,99.99,99.99,,,
0,39006004,2,1,0.99,,,
0,30150005,2,99.99,99.99,,,
0,30130022,2,99.99,99.99,,,
0,30004359,2,4.99,4.99,,,
0,9667,2,8.99,9.89,,,
0,9668,2,8.99,9.89,,,
0,30180001,2,29.99,29.99,,,
1,7003,2,8.99,9.89,,,
0,7003,2,8.99,9.89,,,
