Id,ShopType,TabType,HighendEffect,LimitMinLevel,LimitMaxLevel,MasteryMinLevel,MasteryMaxLevel,NetmarbleSItemId,Display,DisplayOrder,DisplayType,DisplayTypeValue,IsGotcha,CostType,CostValue,PurchaseFree,PurchaseFreeTime,PurchaseLimit,PurchaseLimitValue,LimitPeriodeValue,LimitPeriodStart,LimitPeriodEnd,LeagueLimit,SupportVersion,IconTexture,IconTexture2,PromotionType,RecommendPackage,FlatRatePeriod,RetentionPeriod,EfficiencyRate,ShopServerType
4010,1,4,,,,,,,0,600,10,,0,0,45000,0,,0,,,,,,,Icon_SoulShot_02,,7,0,,,,All
4013,1,4,,,,,,,0,900,10,,0,1,4,0,,0,,,,,,,Icon_Shop_Speaker_01,,25,0,,,,All
4014,1,4,,,,,,,0,1000,10,,0,1,36,0,,0,,,,,,,Icon_Shop_Speaker_02,,25,0,,,,All
4018,1,4,,,,,,,0,700,10,,0,0,1000,0,,0,,,,,,,Icon_Shop_Speaker_01,,25,0,,,,All
4019,1,4,,,,,,,0,800,10,,0,0,9000,0,,0,,,,,,,Icon_Shop_Speaker_02,,25,0,,,,All
4100,1,4,1,,,,,,1,1100,10,,0,0,125000,0,,2,1,,,,,,Icon_PkPointReducer_02_Shop,,25,0,,,,All
4101,1,4,,,,,,,1,1200,10,,0,0,250000,0,,2,1,,,,,,UI_Icon_TeleportScroll_01,,2,0,,,,All
4105,1,4,,,,,,,0,2000,10,,0,1,30,0,,2,3,,,,,,Icon_Firework_01_Shop,,2,0,,,,All
4106,1,4,,,,,,,0,2100,10,,0,1,30,0,,2,3,,,,,,Icon_Firework_02_Shop,,2,0,,,,All
4107,1,4,,,,,,,0,2200,10,,0,1,30,0,,2,3,,,,,,Icon_Firework_03_Shop,,2,0,,,,All
4108,1,4,,,,,,,0,2300,10,,0,1,30,0,,2,3,,,,,,Icon_Firework_04_Shop,,2,0,,,,All
5002,1,2,,,,,,,1,200,7,1041,1,10,120,1,86400,0,,,,,,,Icon_Shop_Gacha_Equipment_01,,25,0,,,,All
5003,1,2,,,,,,,0,100,10,,1,10,1200,0,,0,,,,,,,Icon_Shop_Gacha_Equipment_02,,25,0,,,,All
5014,1,2,,,,,,,0,400,10,,1,11,120,0,,0,,,,,,,Icon_Shop_Gacha_Equipment_01,,25,0,,,,All
5015,1,2,1,,,,,,0,300,10,,1,11,1200,0,,0,,,,,,,Icon_Shop_Gacha_Equipment_02,,2,0,,,,All
5101,1,2,,,,,,,0,600,10,,1,11,120,0,,0,,,,,,,Icon_Shop_Gacha_WeaponUpgrade_01,,1,0,,,,All
5102,1,2,2,,,,,,0,500,10,,1,11,1200,0,,0,,,,,,,Icon_Shop_Gacha_WeaponUpgrade_02,,1,0,,,,All
5201,1,2,,,,,,,0,610,10,,1,11,120,0,,0,,,,,,,Icon_Shop_Gacha_ArmorUpgrade_01,,1,0,,,,All
5202,1,2,2,,,,,,0,510,10,,1,11,1200,0,,0,,,,,,,Icon_Shop_Gacha_ArmorUpgrade_02,,1,0,,,,All
10001,1,1,,,,,,,0,400,10,,0,7,40,0,,0,,,,,,,Icon_Shop_HpPotion_01,,25,0,,,,All
10002,1,1,,,,,,,0,500,10,,0,7,40,0,,0,,,,,,,Icon_Shop_MpPotion_01,,25,0,,,,All
10003,1,1,,,,,,,0,600,10,,0,7,80,0,,0,,,,,,,Icon_SoulShot_01,,25,0,,,,All
10017,1,1,,,,,,,1,100,10,,1,7,100,1,600,2,3,,,,,,Icon_Shop_Gacha_Equipment_04,,25,0,,,,All
10020,1,1,,,,,,,1,700,10,,0,7,300,0,,2,2,,,,,,Icon_PkPointReducer,,25,0,,,,All
10029,1,1,1,,,,,,1,300,10,,0,7,300,0,,2,1,,,,,,Icon_GemStoneRed_01_Shop,,2,0,,,,All
13000,1,29,,20,29,,,,1,100,10,,0,7,40,0,,2,10,,,,,,Icon_QuestScroll_C,,25,0,,,,All
13001,1,29,,30,39,,,,1,100,10,,0,7,60,0,,2,10,,,,,,Icon_QuestScroll_C,,25,0,,,,All
13002,1,29,,40,49,,,,1,100,10,,0,7,80,0,,2,10,,,,,,Icon_QuestScroll_C,,25,0,,,,All
13003,1,29,,50,59,,,,1,100,10,,0,7,100,0,,2,10,,,,,,Icon_QuestScroll_C,,25,0,,,,All
13004,1,29,,60,74,,,,1,100,10,,0,7,120,0,,2,10,,,,,,Icon_QuestScroll_C,,25,0,,,,All
13005,1,29,,75,89,,,,1,100,10,,0,7,140,0,,2,10,,,,,,Icon_QuestScroll_C,,25,0,,,,All
13006,1,29,,90,104,,,,1,100,10,,0,7,160,0,,2,10,,,,,,Icon_QuestScroll_C,,25,0,,,,All
13007,1,29,,105,119,,,,1,100,10,,0,7,180,0,,2,10,,,,,,Icon_QuestScroll_C,,25,0,,,,All
13008,1,29,,120,134,,,,1,100,10,,0,7,200,0,,2,10,,,,,,Icon_QuestScroll_C,,25,0,,,,All
13009,1,29,,135,149,,,,1,100,10,,0,7,220,0,,2,10,,,,,,Icon_QuestScroll_C,,25,0,,,,All
13010,1,29,,150,164,,,,1,100,10,,0,7,240,0,,2,10,,,,,,Icon_QuestScroll_C,,25,0,,,,All
13011,1,29,,165,180,,,,1,100,10,,0,7,260,0,,2,10,,,,,,Icon_QuestScroll_C,,25,0,,,,All
13100,1,29,,20,29,,,,1,200,10,,0,0,7500,0,,2,10,,,,,,Icon_QuestScroll_A,,25,0,,,,All
13101,1,29,,30,39,,,,1,200,10,,0,0,10000,0,,2,10,,,,,,Icon_QuestScroll_A,,25,0,,,,All
13102,1,29,,40,49,,,,1,200,10,,0,0,12000,0,,2,10,,,,,,Icon_QuestScroll_A,,25,0,,,,All
13103,1,29,,50,59,,,,1,200,10,,0,0,15000,0,,2,10,,,,,,Icon_QuestScroll_A,,25,0,,,,All
13104,1,29,,60,74,,,,1,200,10,,0,0,18000,0,,2,10,,,,,,Icon_QuestScroll_A,,25,0,,,,All
13105,1,29,,75,89,,,,1,200,10,,0,0,22000,0,,2,10,,,,,,Icon_QuestScroll_A,,25,0,,,,All
13106,1,29,,90,104,,,,1,200,10,,0,0,25000,0,,2,10,,,,,,Icon_QuestScroll_A,,25,0,,,,All
13107,1,29,,105,119,,,,1,200,10,,0,0,30000,0,,2,10,,,,,,Icon_QuestScroll_A,,25,0,,,,All
13108,1,29,,120,134,,,,1,200,10,,0,0,32000,0,,2,10,,,,,,Icon_QuestScroll_A,,25,0,,,,All
13109,1,29,,135,149,,,,1,200,10,,0,0,34000,0,,2,10,,,,,,Icon_QuestScroll_A,,25,0,,,,All
13110,1,29,,150,164,,,,1,200,10,,0,0,35500,0,,2,10,,,,,,Icon_QuestScroll_A,,25,0,,,,All
13111,1,29,,165,180,,,,1,200,10,,0,0,37000,0,,2,10,,,,,,Icon_QuestScroll_A,,25,0,,,,All
13200,1,29,1,20,29,,,,1,300,10,,0,1,50,0,,2,10,,,,,,Icon_QuestScroll_S,,2,0,,,,All
13201,1,29,1,30,39,,,,1,300,10,,0,1,70,0,,2,10,,,,,,Icon_QuestScroll_S,,2,0,,,,All
13202,1,29,1,40,49,,,,1,300,10,,0,1,80,0,,2,10,,,,,,Icon_QuestScroll_S,,2,0,,,,All
13203,1,29,1,50,59,,,,1,300,10,,0,1,100,0,,2,10,,,,,,Icon_QuestScroll_S,,2,0,,,,All
13204,1,29,1,60,74,,,,1,300,10,,0,1,125,0,,2,10,,,,,,Icon_QuestScroll_S,,2,0,,,,All
13205,1,29,1,75,89,,,,1,300,10,,0,1,160,0,,2,10,,,,,,Icon_QuestScroll_S,,2,0,,,,All
13206,1,29,1,90,104,,,,1,300,10,,0,1,180,0,,2,10,,,,,,Icon_QuestScroll_S,,2,0,,,,All
13207,1,29,1,105,119,,,,1,300,10,,0,1,200,0,,2,10,,,,,,Icon_QuestScroll_S,,2,0,,,,All
13208,1,29,1,120,134,,,,1,300,10,,0,1,210,0,,2,10,,,,,,Icon_QuestScroll_S,,2,0,,,,All
13209,1,29,1,135,149,,,,1,300,10,,0,1,220,0,,2,10,,,,,,Icon_QuestScroll_S,,2,0,,,,All
13210,1,29,1,150,164,,,,1,300,10,,0,1,230,0,,2,10,,,,,,Icon_QuestScroll_S,,2,0,,,,All
13211,1,29,1,165,180,,,,1,300,10,,0,1,240,0,,2,10,,,,,,Icon_QuestScroll_S,,2,0,,,,All
30001000,1,5,,,,,,dia_event_120,0,100,10,,0,4,,0,,5,1,,2017-04-15 00:00:00,2019-12-31 23:59:59,,,Icon_Shop_Dia_BR_01,,4,0,,,,All
30001010,1,5,,,,,,dia_month_180,1,200,10,,0,4,,0,,4,1,,,,,,Icon_Shop_Dia_11,,25,0,,,,All
30001020,1,5,1,,,,,dia_month_320,1,210,10,,0,4,,0,,4,1,,,,,,Icon_Shop_Dia_12,,25,0,,,,All
30001030,1,5,1,,,,,dia_month_680,1,220,10,,0,4,,0,,4,1,,,,,,Icon_Shop_Dia_13,,2,0,,,,All
30001040,1,5,,,,,,dia_event_160,0,110,10,,0,4,,0,,5,1,,2017-04-15 00:00:00,2019-12-31 23:59:59,,,Icon_Shop_Dia_BR_02,,4,0,,,,All
30001050,1,5,,,,,,dia_event_700_20,1,340,10,,0,4,,0,,5,1,,2017-04-15 00:00:00,2019-12-31 23:59:59,,,Icon_Shop_Dia_04,,9,0,,,,All
30001060,1,5,,,,,,dia_event_1080_20,1,380,10,,0,4,,0,,5,1,,2017-04-15 00:00:00,2019-12-31 23:59:59,,,Icon_Shop_Dia_BT_01,,9,0,,,,All
30001070,1,5,1,,,,,dia_event_1900_10,1,420,10,,0,4,,0,,5,1,,2017-04-15 00:00:00,2019-12-31 23:59:59,,,Icon_Shop_Dia_05,,7,0,,,,All
30001080,1,5,1,,,,,dia_event_1900_20,1,430,10,,0,4,,0,,5,1,,2017-04-15 00:00:00,2019-12-31 23:59:59,,,Icon_Shop_Dia_05,,9,0,,,,All
30001090,1,5,1,,,,,dia_event_4000_10,1,470,10,,0,4,,0,,5,1,,2017-04-15 00:00:00,2019-12-31 23:59:59,,,Icon_Shop_Dia_06,,7,0,,,,All
30001100,1,5,1,,,,,dia_event_4000_20,1,480,10,,0,4,,0,,5,1,,2017-04-15 00:00:00,2019-12-31 23:59:59,,,Icon_Shop_Dia_06,,9,0,,,,All
30001110,1,5,1,,,,,dia_event_4000_30,1,490,10,,0,4,,0,,5,1,,2017-04-15 00:00:00,2019-12-31 23:59:59,,,Icon_Shop_Dia_06,,11,0,,,,All
30001120,1,5,1,,,,,dia_event_5000,1,130,10,,0,4,,0,,5,1,,2017-04-15 00:00:00,2019-12-31 23:59:59,,,Icon_Shop_Dia_BR_08,,4,0,,,,All
30001130,1,5,1,,,,,dia_event_2400,1,120,10,,0,4,,0,,5,1,,2017-04-15 00:00:00,2019-12-31 23:59:59,,,Icon_Shop_Dia_BR_03,,4,0,,,,All
30001140,1,5,1,,,,,dia_event_1080_108,1,360,10,,0,4,,0,,5,1,,2017-04-15 00:00:00,2019-12-31 23:59:59,,,Icon_Shop_Dia_BR_04,,4,0,,,,All
30001150,1,5,1,,,,,dia_event_1080_216,1,370,10,,0,4,,0,,5,1,,2017-04-15 00:00:00,2019-12-31 23:59:59,,,Icon_Shop_Dia_BR_05,,4,0,,,,All
30001160,1,5,1,,,,,dia_event_1900_190,1,400,10,,0,4,,0,,5,1,,2017-04-15 00:00:00,2019-12-31 23:59:59,,,Icon_Shop_Dia_BR_06,,4,0,,,,All
30001170,1,5,1,,,,,dia_event_1900_380,1,410,10,,0,4,,0,,5,1,,2017-04-15 00:00:00,2019-12-31 23:59:59,,,Icon_Shop_Dia_BR_07,,4,0,,,,All
30001180,1,5,1,,,,,dia_event_4000_400,1,450,10,,0,4,,0,,5,1,,2017-04-15 00:00:00,2019-12-31 23:59:59,,,Icon_Shop_Dia_BR_09,,4,0,,,,All
30001190,1,5,1,,,,,dia_event_4000_800,1,460,10,,0,4,,0,,5,1,,2017-04-15 00:00:00,2019-12-31 23:59:59,,,Icon_Shop_Dia_BR_10,,4,0,,,,All
30001200,1,5,,,,,,dia_month_30,1,100,10,,0,4,,0,,4,1,,,,,,Icon_Shop_Dia_11_1,,2,0,,,,All
30002000,1,5,,,,,,dia_normal_90,1,300,10,,0,4,,0,,8,,,,,,,Icon_Shop_Dia_01,,25,0,,,,All
30002010,1,5,,,,,,dia_normal_160,1,310,10,,0,4,,0,,8,,,,,,,Icon_Shop_Dia_02,,25,0,,,,All
30002020,1,5,,,,,,dia_normal_340,1,320,10,,0,4,,0,,8,,,,,,,Icon_Shop_Dia_03,,25,0,,,,All
30002030,1,5,,,,,,dia_normal_700,1,330,10,,0,4,,0,,8,,,,,,,Icon_Shop_Dia_04,,25,0,,,,All
30002040,1,5,,,,,,dia_normal_1080,1,350,10,,0,4,,0,,8,,,,,,,Icon_Shop_Dia_BT_01,,25,0,,,,All
30002050,1,5,1,,,,,dia_normal_1900,1,390,10,,0,4,,0,,8,,,,,,,Icon_Shop_Dia_05,,2,0,,,,All
30002060,1,5,1,,,,,dia_normal_4000,1,440,10,,0,4,,0,,8,,,,,,,Icon_Shop_Dia_06,,2,0,,,,All
30002070,1,5,,,,,,dia_ordinary_60,1,300,10,,0,4,,0,,8,,,,,,,Icon_Shop_Dia_B_60,,25,0,,,,All
30002080,1,5,,,,,,dia_ordinary_160,1,310,10,,0,4,,0,,8,,,,,,,Icon_Shop_Dia_B_160,,25,0,,,,All
30002090,1,5,,,,,,dia_ordinary_340,1,320,10,,0,4,,0,,8,,,,,,,Icon_Shop_Dia_B_340,,25,0,,,,All
30002100,1,5,,,,,,dia_ordinary_700,1,330,10,,0,4,,0,,8,,,,,,,Icon_Shop_Dia_B_700,,25,0,,,,All
30002110,1,5,,,,,,dia_ordinary_1080,1,350,10,,0,4,,0,,8,,,,,,,Icon_Shop_Dia_B_1080,,25,0,,,,All
30002120,1,5,1,,,,,dia_ordinary_1900,1,390,10,,0,4,,0,,8,,,,,,,Icon_Shop_Dia_B_1900,,2,0,,,,All
30002130,1,5,1,,,,,dia_ordinary_4000,1,440,10,,0,4,,0,,8,,,,,,,Icon_Shop_Dia_B_4000,,2,0,,,,All
30003000,7,10,,,,,,daily_dia_01,1,100,10,,0,4,,0,,8,,,,,,,Icon_Shop_Dia_08,MI_Ui_DiamondShop_Item_512,25,0,28,3,,All
30003100,7,20,,,,,,daily_adena_01,1,100,10,,0,4,,0,,8,,,,,,,Icon_Shop_Dia_10,Ui_DiamondShop_Item_Adena_512,25,0,28,3,,All
30003101,7,30,,,,,,daily_adena_02,1,100,10,,0,4,,0,,8,,,,,,,Icon_Shop_Dia_14,Ui_DiamondShop_Item_Adena_512_02,25,0,28,3,,All
30004000,8,56,1,,,,,gearrares_time_01,1,102,10,,0,4,,0,,3,1,999999,,,,,Icon_Shop_Gacha_Weapon_01,,25,0,,,,All
30004001,8,56,,,,,,accessory_time_01,1,110,10,,0,4,,0,,3,3,999999,,,,,Icon_Shop_Gacha_Acc_01,,25,0,,,,All
30004002,8,56,1,,,,,limitsr_time_01,1,210,10,,0,4,,0,,3,1,999999,,,,,Icon_Transcendence_01,,25,0,,,,All
30004003,8,56,1,,,,,attribute_time_01,1,220,10,,0,4,,0,,3,3,999999,,,,,Icon_Transcendence_02,,25,0,,,,All
30004004,8,56,,,,,,,1,461,10,,0,11,380,0,,2,1,999999,,,,,Icon_Shop_EnchantScroll_04,,25,0,,,,All
30004005,8,56,,,,,,,1,463,10,,0,11,380,0,,2,1,999999,,,,,Icon_Shop_EnchantScroll_05,,25,0,,,,All
30004006,8,56,,,,,,,1,465,10,,0,11,380,0,,2,1,999999,,,,,Icon_Shop_EnchantScroll_06,,25,0,,,,All
30004007,8,56,,,,,,,1,453,10,,0,10,380,0,,2,1,999999,,,,,Icon_Box_EnchantScroll_01_Shop,,25,0,,,,All
30004008,8,56,,,,,,,1,452,10,,0,11,1000,0,,2,3,999999,,,,,Icon_Box_EnchantScroll_01_Shop,,25,0,,,,All
30004100,8,54,,,,,,keypet_time_01,1,200,10,,0,4,,0,,5,1,999999,,,,,Icon_Asset_PetHornKnightHorse_01_Shop,,25,0,,,,All
30004101,8,54,,,,,,keypet_time_02,1,210,10,,0,4,,0,,5,1,999999,,,,,Icon_Asset_PetHornKukurin_01_Shop,,25,0,,,,All
30004102,8,56,,,,,,,1,230,10,,0,11,650,0,,2,1,999999,,,,,Icon_Combine_LimiteBreake_Material_Shop,,25,0,,,,All
30004103,8,56,,,,,,,1,250,10,,0,11,200,0,,2,1,999999,,,,,Icon_Combine_AbilityStone_Material_Shop,,25,0,,,,All
30004104,8,56,,,,,,,1,804,10,,0,11,200,0,,2,1,999999,,,,,Icon_Combine_AbilityStone_S_Shop,,25,0,,,,All
30004105,8,56,,,,,,,1,802,10,,0,11,300,0,,2,1,999999,,,,,Icon_Combine_AbilityStone_R_Shop,,25,0,,,,All
30004106,8,56,1,,,,,,1,801,10,,0,11,500,0,,2,1,999999,,,,,Icon_Combine_AbilityStone_SR_Shop,,25,0,,,,All
30004107,8,56,1,,,,,,1,800,10,,0,11,500,0,,2,1,999999,,,,,Icon_Combine_LimiteBreake_SR_Shop,,25,0,,,,All
30004108,8,56,,,,,,,1,820,10,,0,11,100,0,,2,1,999999,,,,,Icon_Combine_EnchantScroll_04_Shop,,25,0,,,,All
30004109,8,56,,,,,,,1,830,10,,0,11,100,0,,2,1,999999,,,,,Icon_Combine_EnchantScroll_05_Shop,,25,0,,,,All
30004110,8,56,,,,,,,1,840,10,,0,11,100,0,,2,1,999999,,,,,Icon_Combine_EnchantScroll_06_Shop,,25,0,,,,All
30004111,8,56,,,,,,,1,521,10,,0,11,400,0,,2,1,999999,,,,,Icon_Shop_PetStoneBlackBear_Piece01,,25,0,,,,All
30004112,8,56,,,,,,,1,524,10,,0,11,900,0,,2,1,999999,,,,,Icon_Shop_PetStoneKnightHorse_Piece01,,25,0,,,,All
30004113,8,56,,,,,,,1,527,10,,0,11,1200,0,,2,1,999999,,,,,Icon_Shop_PetStoneKukurin_Piece01,,25,0,,,,All
30004114,8,56,,,,,,,1,805,10,,0,10,200,0,,2,1,999999,,,,,Icon_Combine_AbilityStone_S_Shop,,25,0,,,,All
30004115,8,56,,,,,,,1,803,10,,0,10,300,0,,2,1,999999,,,,,Icon_Combine_AbilityStone_R_Shop,,25,0,,,,All
30004116,8,56,,,,,,,1,821,10,,0,10,100,0,,2,1,999999,,,,,Icon_Combine_EnchantScroll_04_Shop,,25,0,,,,All
30004117,8,56,,,,,,,1,831,10,,0,10,100,0,,2,1,999999,,,,,Icon_Combine_EnchantScroll_05_Shop,,25,0,,,,All
30004118,8,56,,,,,,,1,841,10,,0,10,100,0,,2,1,999999,,,,,Icon_Combine_EnchantScroll_06_Shop,,25,0,,,,All
30004119,8,56,,,,,,,1,520,10,,0,10,10,0,,2,1,999999,,,,,Icon_Shop_PetStoneBlackBear_Piece01,,25,0,,,,All
30004120,8,56,,,,,,,1,523,10,,0,10,30,0,,2,1,999999,,,,,Icon_Shop_PetStoneKnightHorse_Piece01,,25,0,,,,All
30004121,8,56,,,,,,,1,526,10,,0,10,60,0,,2,1,999999,,,,,Icon_Shop_PetStoneKukurin_Piece01,,25,0,,,,
30004122,8,56,,,,,,,1,850,10,,0,10,30,0,,2,1,999999,,,,,Icon_Combine_Elixir_03_Shop,,25,0,,,,All
30004123,8,56,,,,,,,1,851,10,,0,10,30,0,,2,1,999999,,,,,Icon_Combine_Elixir_04_Shop,,25,0,,,,
30004124,8,56,,,,,,,1,852,10,,0,10,10,0,,2,1,999999,,,,,Icon_Combine_Elixir_01_Shop,,25,0,,,,
30004125,8,56,,,,,,,1,853,10,,0,10,10,0,,2,1,999999,,,,,Icon_Combine_Elixir_02_Shop,,25,0,,,,
30004126,8,56,,,,,,,1,530,10,,0,11,150,0,,2,3,999999,,,,,Item_Box_GrowStone_03,,25,0,,,,
30004200,8,56,,,,,,enhancebless_time_01,1,451,10,,0,4,,0,,2,1,999999,,,,,Icon_Box_EnchantScroll_01_Shop,,25,0,,,,
30004201,8,56,,,,,,,1,302,10,,0,11,200,0,,2,1,999999,,,,,Icon_GachaItem_Transcendence,,25,0,,,,
30004202,8,56,,,,,,,1,306,10,,0,10,200,0,,2,1,999999,,,,,Icon_GachaItem_Transcendence,,25,0,,,,
30004203,8,56,,,,,,,1,900,10,,0,11,150,0,,2,1,999999,,,,,Icon_Gacha_HerbPotion,,25,0,,,,
30004204,8,56,,,,,,,1,910,10,,0,10,150,0,,2,1,999999,,,,,Icon_Gacha_HerbPotion,,25,0,,,,
30004205,8,56,1,,,,,,1,400,10,,0,11,800,0,,2,1,999999,,,,,Icon_Shop_Protector_01,,25,0,,,,
30004206,8,56,,,,,,,1,471,10,,0,11,500,0,,2,1,999999,,,,,Icon_Box_EnchantScroll_01_Shop,,25,0,,,,
30004207,8,56,,,,,,,1,472,10,,0,10,500,0,,2,1,999999,,,,,Icon_Box_EnchantScroll_01_Shop,,25,0,,,,All
30004208,8,56,,,,,,,1,480,10,,0,11,499,0,,2,5,999999,,,,,Icon_Shop_EnchantScroll_01,,25,0,,,,All
30004209,8,56,,,,,,,1,482,10,,0,11,499,0,,2,5,999999,,,,,Icon_Shop_EnchantScroll_02,,25,0,,,,All
30004210,8,56,,,,,,,1,484,10,,0,11,499,0,,2,5,999999,,,,,Icon_Shop_EnchantScroll_03,,25,0,,,,All
30004211,8,50,,,,,,,1,310,10,,0,10,40,0,,2,1,999999,,,,,Icon_Elixir_Red,,25,0,,,,All
30004212,8,50,,,,,,,1,320,10,,0,10,40,0,,2,1,999999,,,,,Icon_Elixir_Blue,,25,0,,,,All
30004213,6,37,,,,,,,1,330,10,,0,11,150,0,,3,2,999999,,,,,Icon_Elixir_Purple,,25,0,,,,All
30004214,6,37,,,,,,,1,340,10,,0,11,150,0,,3,2,999999,,,,,Icon_Elixir_Orange,,25,0,,,,All
30004215,8,56,,,,,,,1,307,10,,0,11,999,0,,2,1,999999,,,,,Icon_Shop_Upgrade_01,,25,0,,,,All
30004216,8,56,,,,,,,1,309,10,,0,11,999,0,,2,1,999999,,,,,Icon_Shop_Upgrade_02,,25,0,,,,All
30004217,8,56,,,,,,,1,311,10,,0,11,999,0,,2,1,999999,,,,,Icon_Shop_Upgrade_03,,25,0,,,,All
30004218,8,56,,,,,,,1,700,10,,0,11,560,0,,2,3,999999,,,,,Icon_Box_EquipLevelMaterial,,25,0,,,,All
30004219,8,56,,,,,,,1,305,10,,0,11,299,0,,2,3,999999,,,,,Icon_GachaItem_Transcendence,,25,0,,,,All
30004220,8,56,,,,,,,1,303,10,,0,11,680,0,,2,3,999999,,,,,Icon_GachaItem_Transcendence,,25,0,,,,All
30004221,8,56,,,,,,,1,304,10,,0,10,680,0,,2,3,999999,,,,,Icon_GachaItem_Transcendence,,25,0,,,,All
30004222,8,56,,,,,,,1,710,10,,0,11,1440,0,,2,3,999999,,,,,Icon_Box_EquipLevelMaterial,,25,0,,,,All
30004223,8,56,,,,,,,1,720,10,,0,11,2520,0,,2,3,999999,,,,,Icon_Box_EquipLevelMaterial,,25,0,,,,All
30004224,8,56,,,,,,,1,308,10,,0,11,680,0,,2,3,999999,,,,,Icon_Shop_Upgrade_01,,25,0,,,,All
30004225,8,56,,,,,,,1,310,10,,0,11,680,0,,2,3,999999,,,,,Icon_Shop_Upgrade_02,,25,0,,,,All
30004226,8,56,,,,,,,1,312,10,,0,11,680,0,,2,3,999999,,,,,Icon_Shop_Upgrade_03,,25,0,,,,All
30004227,8,56,,,,,,,1,470,10,,0,11,260,0,,2,3,999999,,,,,Icon_Box_EnchantScroll_01_Shop,,25,0,,,,All
30004228,8,56,,,,,,,1,481,10,,0,11,260,0,,2,3,999999,,,,,Icon_Shop_EnchantScroll_01,,25,0,,,,All
30004229,8,56,,,,,,,1,483,10,,0,11,260,0,,2,3,999999,,,,,Icon_Shop_EnchantScroll_02,,25,0,,,,All
30004230,8,56,,,,,,,1,485,10,,0,11,260,0,,2,3,999999,,,,,Icon_Shop_EnchantScroll_03,,25,0,,,,All
30004231,8,56,,,,,,,1,450,10,,0,11,1190,0,,2,1,999999,,,,,Icon_Box_EnchantScroll_01_Shop,,25,0,,,,All
30004232,8,56,,,,,,,1,460,10,,0,11,1190,0,,2,1,999999,,,,,Icon_Shop_EnchantScroll_04,,25,0,,,,All
30004233,8,56,,,,,,,1,462,10,,0,11,1190,0,,2,1,999999,,,,,Icon_Shop_EnchantScroll_05,,25,0,,,,All
30004234,8,56,,,,,,,1,464,10,,0,11,1190,0,,2,1,999999,,,,,Icon_Shop_EnchantScroll_06,,25,0,,,,All
