Id,Keyword,ConditionType,ConditionValue,ConditionSubValue,ShowInProgressBar,SortNum,ContentIcon,BadgeType
103,CLASS_TRANSFER,0,31,,0,,UI_Btn_Class,240
104,DAILY_DUNGEON_HARD,2,1025,,0,,UI_Btn_Dungeon,240
105,ELITE_DUNGEON_3,0,30,,0,,UI_Btn_Dungeon,240
106,ELITE_DUNGEON_4,0,45,,0,,UI_Btn_Dungeon,240
107,DAILY_DUNGEON_EXPERT,2,1025,,0,,UI_Btn_Dungeon,240
108,ELITE_DUNGEON_5,0,65,,0,,UI_Btn_Dungeon,240
109,ELITE_DUNGEON_6,0,90,,0,,UI_Btn_Dungeon,240
110,ELITE_DUNGEON_7,0,128,,0,,UI_Btn_Dungeon,240
111,ELITE_DUNGEON_8,0,140,,0,,UI_Btn_Dungeon,240
112,EXP_DUNGEON,2,4312,0,1,22,UI_Btn_Dungeon,136
113,ADENA_DUNGEON,2,4298,0,1,21,UI_Btn_Dungeon,137
114,EQUIP_DUNGEON,2,3099,0,1,20,UI_Btn_Dungeon,138
115,SUMMON_STONE_DUNGEON,2,6121,,0,,UI_Btn_Dungeon,141
116,GUILD_DUNGEON_1,3,1,,0,,UI_Btn_Dungeon,240
117,GUILD_DUNGEON_2,4,90101,,0,,UI_Btn_Dungeon,240
118,FORTRESS_SIEGE,0,10,,0,,UI_Btn_BattleField,240
119,CASTLE_SIEGE,5,10,,0,,UI_Btn_BattleField,240
120,SKILL_LEVELUP,2,1101,0,1,7,UI_Btn_Skill,36
121,REFINEMENT_DUNGEON,5,0,,0,,UI_Btn_Dungeon,240
122,NECKLACE_UNLOCK,7,2,,0,,UI_Btn_Class,240
123,GUILD_DUNGEON_3,4,90301,,0,,UI_Btn_Dungeon,240
126,AGIT,3,3,,0,,UI_Btn_Guild,240
127,ELITE_DUNGEON_9,0,162,,0,,UI_Btn_Dungeon,240
129,RIDING_PET,6,33,50,0,,UI_Btn_Pet,240
130,PVP_BATTLEFIELD_5VS5,5,45,,0,,UI_Btn_BattleField,240
131,PVP_BATTLEFIELD_20VS20,5,50,,0,,UI_Btn_BattleField,240
132,ELITE_DUNGEON_9,0,180,,0,,UI_Btn_Dungeon,240
133,ELITE_DUNGEON_10,0,182,,0,,UI_Btn_Dungeon,240
134,ELITE_DUNGEON_11,0,230,,0,,UI_Btn_Dungeon,240
135,ELITE_DUNGEON_12,0,260,,0,,UI_Btn_Dungeon,240
137,CAPE,0,75,,0,,UI_Btn_Cape,240
138,FREE_FORTRESS_SIEGE,0,11,,0,,UI_Btn_BattleField,240
10000,CHARACTER,0,1,,0,,UI_Btn_Character,240
10003,CLASS,0,1,,0,,UI_Btn_Class,240
10006,ITEMCRAFTING,0,20,,0,,UI_Btn_Atelier,240
10007,QUEST,0,1,,0,,UI_Btn_QuestProgress,240
10008,ACTIVITY,0,1,,0,,UI_Btn_Mission,240
10011,CHARACTERTITLE,0,1,,0,,UI_Btn_CharacterTitle,240
10012,EVENT,0,1,,0,,UI_Btn_Event,240
10013,RESTREWARD,0,1,,0,,UI_Btn_RestReward,240
10014,CONNECTREWARD,0,1,,0,,UI_Btn_ButtonConnectReward,240
10015,FESTIVAL,0,1,,0,,UI_Btn_CastleSiegeFestival,240
10016,WEBEVENT,0,1,,0,,UI_Btn_Reward,240
10017,NORMALSHOP,0,1,,0,,UI_Btn_Shop,240
10018,DIASHOP,0,1,,0,,UI_Btn_DiaShop,240
10019,PACKSHOP,0,1,,0,,UI_Btn_ShopPack,240
10021,BATTLEFIELD,0,1,,0,,UI_Btn_BattleField,240
10022,GUILDMAIN,0,1,,0,,UI_Btn_Guild,240
10023,GUILDDUNGEON,0,1,,0,,UI_Btn_Guild,240
10029,INVENTORY_SELL,0,1,,0,,UI_btn_Inventory,240
10030,INVENTORY_USE,0,1,,0,,UI_btn_Inventory,240
10031,INVENTORY_MOVE,0,1,,0,,UI_btn_Inventory,240
10032,SKILL_SKILLBOOK,0,1,,0,,UI_Btn_Skill,240
10034,RIDINGPET_EQUIPLEVELUP,0,1,,0,,UI_Btn_Vehicle,240
10035,RIDINGPET_SUMMON,0,1,,0,,UI_Btn_Vehicle,240
10036,RIDINGPET_LEVELUP,0,1,,0,,UI_Btn_Vehicle,240
10037,OPTION_INFO,0,1,,0,,UI_Btn_Setting,240
10038,NETMARBLE_FORUM,0,1,,0,,UI_BtnForum,240
10039,RIDINGPET_ENCHANT,0,1,,0,,UI_Btn_Vehicle,240
20001,PARTY_DUNGEON_1,0,60,,0,,UI_Btn_Party_Dungeon,240
20002,PARTY_DUNGEON_2,0,90,,0,,UI_Btn_Party_Dungeon,240
401,MASTERY_SHOP,0,40,,0,,UI_Btn_Shop,240
10040,OPTION_ACCOUNT,0,1,,0,,UI_Btn_Setting,240
301,EARRING_SLOT_1,0,60,,0,,UI_icon_menutab_accessory,240
303,RING_SLOT_1,0,40,,0,,UI_icon_menutab_accessory,240
30000,SCROLL_QUEST,0,20,0,0,,UI_btn_Inventory,240
30102,SUMMONGEM_DUNGEON_2,2,3001,,0,,UI_Btn_MonsterGem,240
30103,SUMMONGEM_DUNGEON_3,2,7000,,0,,UI_Btn_MonsterGem,240
30104,SUMMONGEM_DUNGEON_4,2,11001,,0,,UI_Btn_MonsterGem,240
30105,SUMMONGEM_DUNGEON_5,2,15001,,0,,UI_Btn_MonsterGem,240
