I;Xzme,Desc,Desc2
4621,ギラン：ボス召喚石 1個,"期間限定

ギラン：ボス召喚石 1個

スペシャル販売！

販売期間：1/19(金)～1/26(金) 14：59",
4622,祝福された強化スクロールボックス 5個,"期間限定

祝福された強化スクロールボックス 5個

スペシャル販売！

販売期間：1/19(金)～1/26(金) 14：59",
4623,[エリート攻撃]マーブルの加護 1個,"期間限定

[エリート攻撃]マーブルの加護1個

[エリート攻撃]特性専用の強化素材アイテムは
[エリート攻撃]特性を持つ武器にのみ
使用することができます。

販売期間：1/19(金)～1/26(金) 14：59",
4624,[エリート防御]マーブルの加護 5個,"期間限定

[エリート防御]マーブルの加護5個

[エリート防御]特性専用の強化素材アイテムは
[エリート防御]特性を持つ防具にのみ
使用することができます。

販売期間：1/19(金)～1/26(金) 14：59",
4625,血盟コイン100個,"期間限定

血盟コイン100個

スペシャル販売！

販売期間：1/19(金)～1/26(金) 14：59",
4626,血盟コイン500個,"期間限定

血盟コイン500個

スペシャル販売！

販売期間：1/19(金)～1/26(金) 14：59",
5002,高級装備召喚ボックス1個,[Rランク～URランク]装備が獲得可能！,
5003,高級装備召喚ボックス10+1個,"[Rランク～URランク] 装備が獲得可能！
HRランク以上の装備1個が絶対もらえる！",
5014,高級装備召喚ボックス1個,"[Rランク～URランク] 装備が獲得可能！
 購入時、ブルーダイヤが使われます。",
5015,高級装備召喚ボックス10+1個,"[Rランク～URランク] 装備が獲得可能！
HRランク以上の装備1個が絶対もらえる！
 購入時、ブルーダイヤが使われます。",
5401,"1回限定
高級装備召喚ボックス10+1個","[Rランク～URランク] 装備が獲得できて
SRランクどちらかの装備1個が絶対もらえる！

イベント期間や詳細はお知らせをご確認ください",
5402,"レア武器
ピックアップ召喚ボックス10+1個","【期間限定】【R～URランク】装備が獲得可能！
レア武器の排出率が大幅アップ！
イベント期間や詳細はお知らせをご確認ください
販売期間：2/21(水)～2/28(水) 14:59",
5403,"レア防具
ピックアップ召喚ボックス10+1個","【期間限定】【R～URランク】装備が獲得可能！
レア防具の排出率が大幅アップ！
イベント期間や詳細はお知らせをご確認ください
販売期間：2/28(水) 15:00～3/7(水) 14:59",
5406,"魔物特性武器
ピックアップ召喚ボックス10+1個","[期間限定][R～URランク]装備が獲得可能！
魔物相手に効果抜群の武器が排出率アップ！
※詳細はお知らせをご確認ください。",
5407,"魔物特性防具
ピックアップ召喚ボックス10+1個","[期間限定][R～URランク]装備が獲得可能！
魔物相手に効果抜群の防具が排出率アップ！
※詳細はお知らせをご確認ください。",
5408,"ボス特性装備
限定召喚ボックス10+1個","[期間限定] [R～URランク]武器と防具が獲得可能！
ボス攻略に役立つ特性装備が手に入る！
※詳細はお知らせをご確認ください。",
5409,"ハロウィン限定装飾品
ピックアップ召喚ボックス10+1個","[期間限定][R～URランク]装備が獲得可能！
ハロウィン限定の装飾品が手に入る！
※詳細はお知らせをご確認ください。",
5410,"エリート特性装備
限定召喚ボックス10+1個","[期間限定][R～URランク]武器と防具が獲得可能！
エリートモンスター相手に効果抜群の装備が手に入る！
※詳細はお知らせをご確認ください。",
5411,[モンスト]コラボ武器召喚ボックス10+1個,"ボックスから出現するアイテムは
[Rランク〜URランク]の装備です。　
コラボ武器に限り出現時は
[HRランク〜URランク]で出現します。

コラボ武器はコラボ次元の迷路から強化素材を多く
入手することができるので、他の武器よりも
早く成長させることができます。

[モンスト]タイプのへの攻撃時に
追加ダメージ効果の特性を持ち、
さらにノーマルモンスターとボスモンスターへの
追加ダメージ特性も持っています。

詳細はお知らせをご確認ください。

販売期間：12/22(金)～1/19(金) 14：59

",
5412,バレンタイン武器召喚ボックス10+1個,"この「バレンタイン武器召喚ボックス」を
ご利用いただいても、確定報酬の
「URランクバレンタイン武器選択ボックス」は
獲得できません。
先にイベントタブにある
「[確定報酬付き］バレンタイン武器
召喚ボックス10+1個」を
ご利用ください。

バレンタイン武器を含めた
R～URランクの装備が獲得できる召喚ボックスです。
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
5413,新背景装飾品ピックアップ召喚ボックス10+1個,"期間限定
「新背景装飾品ピックアップ召喚ボックス」

[新背景装飾品]
「最終ダメージ増加」特性を持つ背景装飾品

5パーツ合計10%増加 (各部位毎に最大2%増加)
※特性レベル10基準 

-セット効果-
(2セット) 命中率増加 +6.50%
(3セット) クリティカル率 +6.50%
(4セット) クリティカルダメージ +15%
(5セット) 最終ダメージ増加 +7.5%

この機会をお見逃しなく！

販売期間：3/7(水)~3/21(水) 23:59",
6002,武器昇級石,"武器のランクアップに
使用するアイテムです。",
6003,防具昇級石,"防具のランクアップに
使用するアイテムです。",
6004,装飾品昇級石,"装飾品のランクアップに
使用するアイテムです。",
6005,武器強化スクロール,"武器の強化に
使用するスクロールです。",
6006,防具強化スクロール,"防具の強化に
使用するスクロールです。",
6007,装飾品強化スクロール,"装飾品の強化に
使用するスクロールです。",
6008,マーブルの加護,強化失敗時の強化度減少を防ぎます。,
6020,スペシャル武器召喚ボックス1個,[HRランク～URランク] 武器が獲得可能！,
6021,スペシャル防具召喚ボックス1個,[HRランク～URランク] 防具が獲得可能！,
6061,URランク装備召喚ボックス,[URランク] 装備が獲得可能！,
6062,HRランクレア装備選択ボックス,[HRランク] レア装備が選択できるアイテムを獲得！,
6063,URランク装備選択ボックス,[URランク] 装備が選択できるアイテムを獲得！,
6064,サンタマラックス：レア召喚石1個,"　クリスマスイベント限定アイテム
「サンタマラックス：レア召喚石」を使用することで
「サンタマラックス」がいる特別なフィールドに
行くことができます。

フレンドと共に入場して、
サンタマラックスを討伐すると、
サンタマラックスの証が全員が獲得でき、
証を集めることでルドルフ召喚石と交換できます。

「サンタマラックス：レア召喚石」は
イベント期間の間08時、20時に出現する
天使マシャー討伐時や、友情ポイントショップからも
入手できます。

※サンタマラックス：レア召喚石の入場は
レベル31以上から可能です。

販売期間 : 12/20(水) ~ 1/3(水) 14:59 ",
7003,デイリーダイヤ,"すぐにレッドダイヤ1,500個ゲット！
さらに毎日150個ずつもらえる！
＋8回ごとにブルーダイヤ200個ボーナス
＋移動速度8％増加","合計ダイヤ5,700個！"
8001,成長応援パック,"すぐにレッドダイヤ1,500個＆HRランク武器ボックスゲット！
合計レッドダイヤ8,500個と経験値ボックスを獲得！",
8011,成長応援パックⅡ,"すぐにレッドダイヤ1,500個＆HRランク特性の石をゲット！
合計で レッドダイヤ6,500個とマーブルの加護の欠片、SRランク特性の石を獲得！",
8002,ログインプレゼントパック,"すぐにレッドダイヤ1,500個ゲット！合計レッドダイヤ2,200個、
ルーン、薬草、スクロールが毎日もらえる！",
8003,URコレクションパック,"すぐにレッドダイヤ1,000個！UR装備を獲得することで追加報酬ゲット！
※パック購入前に獲得したURランク装備は対象外です。",
8004,シナリオパックⅠ,"すぐにレッドダイヤ1,000個ゲット！購入前クリアも含め、
各領地シナリオをクリアする度に報酬がもらえる！",
8014,シナリオパックⅡ,"すぐにレッドダイヤ1,000個ゲット！購入前クリアも含め、
ギランシナリオをクリアする度に報酬がもらえる！",
9001,プレミアムスターターパック,"[ブルーダイヤ1,100個] [ソウルショット5,000個]
[HPポーション1,000個] [MPポーション1,000個]
[バッグ+120スロット（制限：最大スロットまで）]",
12011,ジュニア冒険家パック,"[ブルーダイヤ1,000個]
[HRランク専用レア防具召喚ボックス1個]
[ルーンの欠片1,000個]
購入可能レベル：16以上",
12012,シニア冒険家パック,"[レッドダイヤ3,500個]
[SRランク装備選択ボックス1個]
[特性の石：URランク1個]
購入可能レベル：44以上",
12013,ベテラン冒険家パック,"[レッドダイヤ3,500個]
[SRランク装飾品選択ボックス1個]
[超越の石：URランク1個]
購入可能レベル：73以上",
12014,エリート冒険家パック,"[特性の石：URランク1個]
[マーブルの加護3個]
[レッドダイヤ2,000個]
購入可能レベル：121以上",
12015,ノーブレス冒険家パック,"[超越の石：URランク1個]
[特性の石：URランク1個]
[レッドダイヤ2,000個][200,000アデナ]
購入可能レベル：151以上",
9020,プレミアムソウルストーンパック,"[R～URランクソウルストーンボックス10個]
[レッドダイヤ1,200個]
[50,000アデナ]",
9030,ルーン刻印育成セット,"[ルーンの欠片1,000個]
[ランダムルーンボックス10個]
[200,000アデナ]
購入可能レベル：15",
9035,エリクサー育成セット,"[エリクサーエッセンスボックス20個]
[薬草束ボックス20個]
購入可能レベル：30",
9051,スペシャル昇級石パック,"[レッドダイヤ2,500個]
[昇級石選択ボックス25個]
[300,000アデナ]",
9054,プレミアムスロット拡張パック,"[ブルーダイヤ1,600個] [ソウルショット10,000個]
[HPポーション1,000個] [MPポーション1,000個]
[バッグ+100スロット（制限：最大スロットまで）]",
12024,スキルポイントパック,"[500スキルポイント]
[レッドダイヤ250個]
購入可能レベル：10",
12032,強化サポートパック,"[強化スクロールパック15個] 
[マーブルの加護3個]
[トパーズ50個]",
12033,装飾品召喚パック,"[高級装飾品ボックス3個]
[150,000アデナ]
[レッドダイヤ2,500個]
[トパーズ100個]",
12101,福袋Ⅰ,"新年記念豪華賞品をGETしよう！
下記アイテムの中から1種獲得

[メテオスキルページ]
[ヒーリングストライクスキルページ]
[ミサイルボルトスキルページ]
[アブソリュートシールドスキルページ]
[マーブルの加護]
[祝福された武器強化スクロール]
[祝福された防具強化スクロール]
[祝福された装飾品強化スクロール]
[HRランク特性の石]

※福袋から獲得したアイテムは取引できません。
販売期間：1/1（月）〜1/5（金）23:59",
12103,ひな祭り血盟パック,"購入すると
血盟員にもプレゼントが届く！

[購入したキャラクターが獲得するアイテム]
[お内裏様人形1個]
[お雛様人形1個]
[300,000アデナ]


[血盟員にプレゼントされるアイテム]
[30,000アデナ]
[ひなあられ1個]
[三色団子1個]
[桃の花1個]

※プレゼントは購入した本人も含めた血盟員全員に届きます。
販売期間：2/21(水)～3/7(水) 14:59",
12104,ホワイトデー血盟パック,"購入すると
血盟員にもプレゼントが届く！

[購入したキャラクターが獲得するアイテム]
[マーブルの加護 1個]
[キャンディステノア召喚石 1個]
[レアキャンディ 3個]
[100,000アデナ]

[血盟員にプレゼントされるアイテム]
[サイコロポイント 100]
[オレンジキャンディ 1個]
[ブドウキャンディ 1個]
[ソーダキャンディ 1個]
[イチゴキャンディ 1個]
[10,000アデナ]

※プレゼントは購入した本人を含む血盟員全員に届きます

販売期間：3/7(水)~3/21(水) 23:59",
12105,祝福の強化サポートパック(小),"[祝福された強化スクロール選択ボックス1個]
[強化スクロール選択ボックス5個]
[50,000アデナ]
[レッドダイヤ200個]",
12107,メーンライオン育成パック,"高い能力値を持つ「メーンライオン」の
育成に役立つパック！

[メーンライオン召喚石5個]
[育成石50個]
[100,000アデナ]

※「メーンライオン」は角笛と召喚石の
両方がないと召喚できません",
12113,"ダイヤ1,200個+1,000個","ブルーダイヤ1,200個＋ボーナス1,000個
トパーズ20個

※この商品のボーナスダイヤはレッドダイヤとなります。",
12115,"ダイヤ2,450個+2,450個","ブルーダイヤ2,450個＋ボーナス2,450個
トパーズ50個

※この商品のボーナスダイヤはレッドダイヤとなります。",
12116,祝福された強化スクロールパック,"[祝福された強化スクロール選択ボックス10個]
[マーブルの加護2個]
[レッドダイヤ2,000個][トパーズ100個]",
12223,昇級石ライトパック,"[昇級石選択ボックス5個]
[30,000アデナ]",
12224,[期間限定]ボス防具強化ライトパック,"ボス特性防具を強化するためのライトパック！

960円で
ボス特性防具祝福された強化スクロール3個
ボス特性防具マーブルの加護1個
+10,000アデナで構成されたお得なパックです。


※ボス特性防具だけに使用が可能です。
共用の「祝福された強化スクロール」及び
「マーブルの加護」と併用できます。

販売期間 : 12/20(水) ~ 1/19(金) 14:59",
12225,バレンタイン記念血盟パック,"購入すると
血盟員にもプレゼントが届く期間限定パック！

[自分が獲得できるアイテム]
バレンタイン召喚石3個
マーブルの加護2個
祝福された強化スクロール選択ボックス1個
特性の石：HRランク1個
100,000アデナ

[血盟員へのプレゼント]
イベントガチャチケット3枚
30,000アデナ
※プレゼントは購入した本人も含めた  
血盟員全員に届きます。",
12226,スペシャルエリクサーパック,"エリクサーをランクアップして
戦闘力を上げよう！

[赤色の薬草 120個]
[青色の薬草 120個]
[黄色の薬草 120個]
[紫色の薬草 120個]
[薬草選択ボックス 120個]
[エリクサーエッセンス選択ボックス 15個]",
12233,バレンタイン武器強化パック,"バレンタイン武器強化におすすめ！

バレンタイン武器専用の
「祝福された武器強化スクロール」＆
「マーブルの加護」とアデナで構成されたパック

※バレンタイン武器専用の
[スイート]祝福された武器強化スクロールと
[スイート]マーブルの加護は
バレンタイン武器にのみ使用可能です。",
12234,[ﾉｰﾏﾙ/ｴﾘｰﾄ/ﾎﾞｽ]祝福された強化パック,"[ノーマル/エリート/ボス]祝福された強化スクロール
選択ボックス10個
マーブルの加護2個
トパーズ30個
を獲得できるパックです。

※[ノーマル/エリート/ボス]祝福された強化スクロール
選択ボックスは

[ボス攻撃]祝福された武器強化スクロール
[エリート防御]祝福された防具強化スクロール
[ボス攻撃防御]祝福された武器強化スクロール
[エリート攻撃]祝福された武器強化スクロール
[ノーマル攻撃]祝福された武器強化スクロール
の中から1つ選択できます。

装備実績の達成に有利！
この機会をお見逃しなく！",
12240,"[期間限定騎乗ペット]
魔法のほうきパック","[魔法のほうき召喚石1個]
[HRランク騎乗ペット装備4種]
[レッドダイヤ2,500個][100,000アデナ]
※詳細はお知らせをご確認ください。",
12243,"[期間限定]
クロスパック","[悔悟の十字架3個]
※悔悟の十字架：カオティック値が300減ります。",
12244,[期間限定]ボス防具強化パック,"ボス特性防具を強化するためのスペシャルパック！

ボス特性防具祝福された強化スクロール30個
ボス特性防具マーブルの加護8個
+100,000アデナで構成されたお得なパックです。


※ボス特性防具だけに使用が可能です。
共用の「祝福された強化スクロール」及び
「マーブルの加護」と併用できます。

販売期間 : 12/20(水) ~ 1/19(金) 14:59",
12245,プライムパック,"[100スキルポイント][ソウルショット1,000個]
[HP/MPポーション100個][100,000アデナ]
[レッドダイヤ100個]
※詳細はお知らせをご確認ください",
12246,"[期間限定]
超越の石パック","[URランク超越の石1個]
[300,000アデナ]",
12247,"[期間限定]
特性の石パック","[特性の石：HRランク1個]
[100,000アデナ]",
12248,[ﾉｰﾏﾙ/ｴﾘｰﾄ/ﾎﾞｽ]強化サポートパック,"装備実績の達成に有利なパック！

[[ノーマル/エリート/ボス]強化スクロール
選択ボックス15個]
[マーブルの加護1個]",
12249,ブルーダイヤ240個+ボーナス300個,"期間限定

[ブルーダイヤ240個]を購入すると
[ボーナス300個]がもらえる!

トパーズも従来より2倍の
[トパーズ12個]を獲得可能！

この機会をお見逃しなく！

販売期間：3/7(水)~3/21(水) 23:59",
12250,[期間限定]ぎょっさんパック,"コラボ騎乗ペットのURランク「ぎょっさん」が
獲得できるパックです。
HRランク騎乗ペット装備4種も含まれており、
素早く戦闘力を上げることができます。
 騎乗ペットは50レベル達成後に登場する
「騎乗ペットクエスト」を完了すると、
メニューがオープンされます。
 ※ぎょっさん召喚石は売却や破棄のできないアイテム
となりますので、ご購入の際にはご注意ください。
騎乗しているペットは100%能力値が戦闘力に
反映され、騎乗していない騎乗ペットは能力値の
30%が戦闘力に反映されます。

販売期間：12/22(金)～1/19(金) 14：59
",
12251,[期間限定]コラボ武器成長パックⅠ,"コラボ武器を素早く成長させる
スペシャルパック STEP1

昇級石から祝福された
強化スクロールとマーブルの加護まで!
コラボ武器専用の強化素材が獲得できます。

コラボ武器専用の強化素材は、
コラボ武器のみに使用が可能な強化素材です。
共用の強化素材と併用できます。

※コラボ武器強化パックⅠをご購入後に、
コラボ武器成長パックⅡが購入可能となります。

[コラボ武器成長パックⅡ]
[ストライクショット]武器昇級石20個
[ストライクショット]Rランク武器研磨剤20個
[ストライクショット]武器強化スクロール20個
[ストライクショット]祝福された武器強化スクロール10個
[ストライクショット]マーブルの加護5個
300,000アデナ

[コラボ武器成長パックⅢ]
[ストライクショット]Rランク武器研磨剤20個
[ストライクショット]武器強化スクロール20個
[ストライクショット]祝福された武器強化スクロール20個
[ストライクショット]マーブルの加護10個
300,000アデナ

販売期間：12/22(金)～1/19(金) 14：59",
12252,[期間限定]コラボ武器成長パックⅡ,"コラボ武器を素早く成長させる
スペシャルパック STEP2

コラボ武器成長パックに比べて昇級石が10個
少ないですが、コラボ武器専用の強化スクロールが
20個追加されたパック。

コラボ武器専用の強化素材は、
コラボ武器のみに使用が可能な強化素材です。
共用の強化素材と併用できます。

※コラボ武器強化パックⅡをご購入後に、
コラボ武器成長パックⅢが購入可能となります。

[コラボ武器成長パックⅢ]
[ストライクショット]Rランク武器研磨剤20個
[ストライクショット]武器強化スクロール20個
[ストライクショット]祝福された武器強化スクロール20個
[ストライクショット]マーブルの加護10個
300,000アデナ

販売期間：12/22(金)～1/19(金) 14：59",
12253,[期間限定]コラボ武器成長パックⅢ,"コラボ武器を素早く成長させる
スペシャルパック STEP3

他のコラボ武器成長パックに比べ
コラボ武器専用の祝福された強化スクロールと
マーブルの加護が2倍獲得できるパック。

コラボ武器専用の強化素材は、
コラボ武器のみに使用が可能な強化素材です。
共用の強化素材と併用できます。

販売期間：12/22(金)～1/19(金) 14：59",
12254,[期間限定]ボス装備基本パック,"新たに装備を育てる方にお勧めします!

ボスの特性を持つHRランクの
武器＆防具4パーツが揃います。
ボスの特性防具昇級石も多数一緒に
含まれているので、
素早く防御力を上げるのに役立ちます。

「ボス特性防具昇級石」は既存の「共用昇級石」と
併用することができます。
ボス特性防具昇級石はボス特性防具のみに
使用が可能です。

販売期間 : 12/20(水) ~ 1/19(金) 14:59",
12255,[期間限定]コラボソウルストーンパック,"コラボソウルストーンを追加で獲得できる
スペシャルパック！

コラボソウルストーンは、既存のソウルストーンより
高い能力値を持った限定ソウルストーンです。

本パックでは
HRランクのコラボソウルストーン1個と
ランクアップのためのHRランクソウルストーン選択
ボックス6個も含まれています。

コラボソウルストーンのランクアップは、同じ色の
既存のソウルストーンを素材として使用します。
ベースとなるコラボソウルストーンを
獲得しておくことで、ランクアップは
イベント終了後でも可能です。

詳細はお知らせをご確認ください。

販売期間：1/3(水)～1/19(金) 14：59
",
12256,スペシャルレッドダイヤパック,"レッドダイヤを4,000個も獲得できるお得なパック！

[レッドダイヤ4,000個]
[祝福された強化スクロール選択ボックス1個]
[エリクサーエッセンス選択ボックス5個]",
12257,メーンライオンパック,"高い能力値を持つ「メーンライオン」を
獲得できるパック！

[メーンライオン召喚用角笛１個]
[メーンライオン召喚石１個]
[育成石100個]
[100,000アデナ]

※「メーンライオン召喚用角笛」は
熟練の証ショップからも入手が可能です。
※「メーンライオン」は角笛と召喚石の
両方がないと召喚できません
※「メーンライオン」はHRランクで召喚されます
※購入はレベル50から可能ですが、
 「メーンライオン」の召喚はレベル100から
可能になります。",
12258,[期間限定]ルドルフパック,"イベント騎乗ペット[ルドルフ]を素早くURまで
進化させるのに役立つパッケージです。
SRランク騎乗ペット装備も含まれているため、
戦闘力を上げるのに役立ちます。

騎乗ペットは50レベル達成後に登場する
「騎乗ペットクエスト」を完了すると、
メニューがオープンされます。
召喚石は[ペット]メニューのオープン後に
使用が可能です。

召喚石は下記のように使用されます。
ペット獲得：1個使用
N→HNランク進化：1個使用
HN→Rランク進化：5個使用
R→HRランク進化：15個使用
HR→SRランク進化：30個使用
SR→URランク進化：45個使用

クリスマスイベントを通じて入手できる
[サンタマラックスの証]を[ルドルフ召喚石]と
交換することができます。

販売期間 : 12/20(水) ~ 1/10(水) 14:59",
12262,"[期間限定]
超越の石パック","[URランク超越の石1個]
[300,000アデナ]",
12263,"[期間限定]
特性の石パック","[特性の石：HRランク1個]
[100,000アデナ]",
12266,福袋Ⅱ,"新年記念豪華賞品をGETしよう！
下記36種のアイテムの中から1種獲得

[メテオスキルページ]
[ヒーリングストライクスキルページ]
[ミサイルボルトスキルページ]
[アブソリュートシールドスキルページ]
[マーブルの加護]
[[特性]マーブルの加護]
[祝福された武器強化スクロール]
[[特性]祝福された武器強化スクロール]
[祝福された防具強化スクロール]
[[特性]祝福された防具強化スクロール]
[祝福された装飾品強化スクロール]
[[特性]HRランク特性の石]

[特性]強化素材は
ノーマル/エリート/ボス/魔物/プレーヤーの
攻撃または防御特性を持つ装備にのみ
使用することができる強化素材です。
※福袋から獲得したアイテムは取引できません。

販売期間：1/1（月）〜1/5（金）23:59",
