笲M@9Ceme,Desc
210401,"[特性レベルアップ]
<SkyGray>[エリート防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
210402,"[特性レベルアップ]
<SkyGray>[エリート防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
210403,"[特性レベルアップ]
<SkyGray>[エリート防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
210404,"[特性レベルアップ]
<SkyGray>[エリート防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
210405,"[特性レベルアップ]
<SkyGray>[エリート防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
220201,"[装備レベルアップ]
<SkyGray>[エリート防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
220202,"[装備レベルアップ]
<SkyGray>[エリート防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
220203,"[装備レベルアップ]
<SkyGray>[エリート防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
220204,"[装備レベルアップ]
<SkyGray>[エリート防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
220205,"[装備レベルアップ]
<SkyGray>[エリート防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
220301,"[装備強化]
<SkyGray>[エリート防御]特性アーマー</>",+{TaskCount}達成
220302,"[装備強化]
<SkyGray>[エリート防御]特性アーマー</>",+{TaskCount}達成
220303,"[装備強化]
<SkyGray>[エリート防御]特性アーマー</>",+{TaskCount}達成
220304,"[装備強化]
<SkyGray>[エリート防御]特性アーマー</>",+{TaskCount}達成
220305,"[装備強化]
<SkyGray>[エリート防御]特性アーマー</>",+{TaskCount}達成
220401,"[特性レベルアップ]
<SkyGray>[エリート防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
220402,"[特性レベルアップ]
<SkyGray>[エリート防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
220403,"[特性レベルアップ]
<SkyGray>[エリート防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
220404,"[特性レベルアップ]
<SkyGray>[エリート防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
220405,"[特性レベルアップ]
<SkyGray>[エリート防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
230201,"[装備レベルアップ]
<SkyGray>[エリート防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
230202,"[装備レベルアップ]
<SkyGray>[エリート防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
230203,"[装備レベルアップ]
<SkyGray>[エリート防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
230204,"[装備レベルアップ]
<SkyGray>[エリート防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
230205,"[装備レベルアップ]
<SkyGray>[エリート防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
230301,"[装備強化]
<SkyGray>[エリート防御]特性グローブ</>",+{TaskCount}達成
230302,"[装備強化]
<SkyGray>[エリート防御]特性グローブ</>",+{TaskCount}達成
230303,"[装備強化]
<SkyGray>[エリート防御]特性グローブ</>",+{TaskCount}達成
230304,"[装備強化]
<SkyGray>[エリート防御]特性グローブ</>",+{TaskCount}達成
230305,"[装備強化]
<SkyGray>[エリート防御]特性グローブ</>",+{TaskCount}達成
230401,"[特性レベルアップ]
<SkyGray>[エリート防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
230402,"[特性レベルアップ]
<SkyGray>[エリート防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
230403,"[特性レベルアップ]
<SkyGray>[エリート防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
230404,"[特性レベルアップ]
<SkyGray>[エリート防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
230405,"[特性レベルアップ]
<SkyGray>[エリート防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
240201,"[装備レベルアップ]
<SkyGray>[エリート防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
240202,"[装備レベルアップ]
<SkyGray>[エリート防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
240203,"[装備レベルアップ]
<SkyGray>[エリート防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
240204,"[装備レベルアップ]
<SkyGray>[エリート防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
240205,"[装備レベルアップ]
<SkyGray>[エリート防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
240301,"[装備強化]
<SkyGray>[エリート防御]特性ブーツ</>",+{TaskCount}達成
240302,"[装備強化]
<SkyGray>[エリート防御]特性ブーツ</>",+{TaskCount}達成
240303,"[装備強化]
<SkyGray>[エリート防御]特性ブーツ</>",+{TaskCount}達成
240304,"[装備強化]
<SkyGray>[エリート防御]特性ブーツ</>",+{TaskCount}達成
240305,"[装備強化]
<SkyGray>[エリート防御]特性ブーツ</>",+{TaskCount}達成
240401,"[特性レベルアップ]
<SkyGray>[エリート防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
240402,"[特性レベルアップ]
<SkyGray>[エリート防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
240403,"[特性レベルアップ]
<SkyGray>[エリート防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
240404,"[特性レベルアップ]
<SkyGray>[エリート防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
240405,"[特性レベルアップ]
<SkyGray>[エリート防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
310201,"[装備レベルアップ]
<SkyGray>[ボス防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
310202,"[装備レベルアップ]
<SkyGray>[ボス防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
310203,"[装備レベルアップ]
<SkyGray>[ボス防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
310204,"[装備レベルアップ]
<SkyGray>[ボス防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
310205,"[装備レベルアップ]
<SkyGray>[ボス防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
310301,"[装備強化]
<SkyGray>[ボス防御]特性ヘルム</>",+{TaskCount}達成
310302,"[装備強化]
<SkyGray>[ボス防御]特性ヘルム</>",+{TaskCount}達成
310303,"[装備強化]
<SkyGray>[ボス防御]特性ヘルム</>",+{TaskCount}達成
310304,"[装備強化]
<SkyGray>[ボス防御]特性ヘルム</>",+{TaskCount}達成
310305,"[装備強化]
<SkyGray>[ボス防御]特性ヘルム</>",+{TaskCount}達成
310401,"[特性レベルアップ]
<SkyGray>[ボス防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
310402,"[特性レベルアップ]
<SkyGray>[ボス防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
310403,"[特性レベルアップ]
<SkyGray>[ボス防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
310404,"[特性レベルアップ]
<SkyGray>[ボス防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
310405,"[特性レベルアップ]
<SkyGray>[ボス防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
320201,"[装備レベルアップ]
<SkyGray>[ボス防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
320202,"[装備レベルアップ]
<SkyGray>[ボス防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
320203,"[装備レベルアップ]
<SkyGray>[ボス防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
320204,"[装備レベルアップ]
<SkyGray>[ボス防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
320205,"[装備レベルアップ]
<SkyGray>[ボス防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
320301,"[装備強化]
<SkyGray>[ボス防御]特性アーマー</>",+{TaskCount}達成
320302,"[装備強化]
<SkyGray>[ボス防御]特性アーマー</>",+{TaskCount}達成
320303,"[装備強化]
<SkyGray>[ボス防御]特性アーマー</>",+{TaskCount}達成
320304,"[装備強化]
<SkyGray>[ボス防御]特性アーマー</>",+{TaskCount}達成
320305,"[装備強化]
<SkyGray>[ボス防御]特性アーマー</>",+{TaskCount}達成
320401,"[特性レベルアップ]
<SkyGray>[ボス防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
320402,"[特性レベルアップ]
<SkyGray>[ボス防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
320403,"[特性レベルアップ]
<SkyGray>[ボス防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
320404,"[特性レベルアップ]
<SkyGray>[ボス防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
320405,"[特性レベルアップ]
<SkyGray>[ボス防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
330201,"[装備レベルアップ]
<SkyGray>[ボス防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
330202,"[装備レベルアップ]
<SkyGray>[ボス防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
330203,"[装備レベルアップ]
<SkyGray>[ボス防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
330204,"[装備レベルアップ]
<SkyGray>[ボス防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
330205,"[装備レベルアップ]
<SkyGray>[ボス防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
330301,"[装備強化]
<SkyGray>[ボス防御]特性グローブ</>",+{TaskCount}達成
330302,"[装備強化]
<SkyGray>[ボス防御]特性グローブ</>",+{TaskCount}達成
330303,"[装備強化]
<SkyGray>[ボス防御]特性グローブ</>",+{TaskCount}達成
330304,"[装備強化]
<SkyGray>[ボス防御]特性グローブ</>",+{TaskCount}達成
330305,"[装備強化]
<SkyGray>[ボス防御]特性グローブ</>",+{TaskCount}達成
330401,"[特性レベルアップ]
<SkyGray>[ボス防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
330402,"[特性レベルアップ]
<SkyGray>[ボス防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
330403,"[特性レベルアップ]
<SkyGray>[ボス防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
330404,"[特性レベルアップ]
<SkyGray>[ボス防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
330405,"[特性レベルアップ]
<SkyGray>[ボス防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
340201,"[装備レベルアップ]
<SkyGray>[ボス防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
340202,"[装備レベルアップ]
<SkyGray>[ボス防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
340203,"[装備レベルアップ]
<SkyGray>[ボス防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
340204,"[装備レベルアップ]
<SkyGray>[ボス防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
340205,"[装備レベルアップ]
<SkyGray>[ボス防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
340301,"[装備強化]
<SkyGray>[ボス防御]特性ブーツ</>",+{TaskCount}達成
340302,"[装備強化]
<SkyGray>[ボス防御]特性ブーツ</>",+{TaskCount}達成
340303,"[装備強化]
<SkyGray>[ボス防御]特性ブーツ</>",+{TaskCount}達成
340304,"[装備強化]
<SkyGray>[ボス防御]特性ブーツ</>",+{TaskCount}達成
340305,"[装備強化]
<SkyGray>[ボス防御]特性ブーツ</>",+{TaskCount}達成
340401,"[特性レベルアップ]
<SkyGray>[ボス防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
340402,"[特性レベルアップ]
<SkyGray>[ボス防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
340403,"[特性レベルアップ]
<SkyGray>[ボス防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
340404,"[特性レベルアップ]
<SkyGray>[ボス防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
340405,"[特性レベルアップ]
<SkyGray>[ボス防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
410201,"[装備レベルアップ]
<SkyGray>[PVP防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
410202,"[装備レベルアップ]
<SkyGray>[PVP防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
410203,"[装備レベルアップ]
<SkyGray>[PVP防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
410204,"[装備レベルアップ]
<SkyGray>[PVP防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
410205,"[装備レベルアップ]
<SkyGray>[PVP防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
410301,"[装備強化]
<SkyGray>[PVP防御]特性ヘルム</>",+{TaskCount}達成
410302,"[装備強化]
<SkyGray>[PVP防御]特性ヘルム</>",+{TaskCount}達成
410303,"[装備強化]
<SkyGray>[PVP防御]特性ヘルム</>",+{TaskCount}達成
410304,"[装備強化]
<SkyGray>[PVP防御]特性ヘルム</>",+{TaskCount}達成
410305,"[装備強化]
<SkyGray>[PVP防御]特性ヘルム</>",+{TaskCount}達成
410401,"[特性レベルアップ]
<SkyGray>[PVP防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
410402,"[特性レベルアップ]
<SkyGray>[PVP防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
410403,"[特性レベルアップ]
<SkyGray>[PVP防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
410404,"[特性レベルアップ]
<SkyGray>[PVP防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
410405,"[特性レベルアップ]
<SkyGray>[PVP防御]特性ヘルム</>","特性レベル
レベル{TaskCount}達成"
420201,"[装備レベルアップ]
<SkyGray>[PVP防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
420202,"[装備レベルアップ]
<SkyGray>[PVP防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
420203,"[装備レベルアップ]
<SkyGray>[PVP防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
420204,"[装備レベルアップ]
<SkyGray>[PVP防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
420205,"[装備レベルアップ]
<SkyGray>[PVP防御]特性アーマー</>","URランクアーマー
レベル{TaskCount}達成"
420301,"[装備強化]
<SkyGray>[PVP防御]特性アーマー</>",+{TaskCount}達成
420302,"[装備強化]
<SkyGray>[PVP防御]特性アーマー</>",+{TaskCount}達成
420303,"[装備強化]
<SkyGray>[PVP防御]特性アーマー</>",+{TaskCount}達成
420304,"[装備強化]
<SkyGray>[PVP防御]特性アーマー</>",+{TaskCount}達成
420305,"[装備強化]
<SkyGray>[PVP防御]特性アーマー</>",+{TaskCount}達成
420401,"[特性レベルアップ]
<SkyGray>[PVP防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
420402,"[特性レベルアップ]
<SkyGray>[PVP防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
420403,"[特性レベルアップ]
<SkyGray>[PVP防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
420404,"[特性レベルアップ]
<SkyGray>[PVP防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
420405,"[特性レベルアップ]
<SkyGray>[PVP防御]特性アーマー</>","特性レベル
レベル{TaskCount}達成"
430201,"[装備レベルアップ]
<SkyGray>[PVP防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
430202,"[装備レベルアップ]
<SkyGray>[PVP防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
430203,"[装備レベルアップ]
<SkyGray>[PVP防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
430204,"[装備レベルアップ]
<SkyGray>[PVP防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
430205,"[装備レベルアップ]
<SkyGray>[PVP防御]特性グローブ</>","URランクグローブ
レベル{TaskCount}達成"
430301,"[装備強化]
<SkyGray>[PVP防御]特性グローブ</>",+{TaskCount}達成
430302,"[装備強化]
<SkyGray>[PVP防御]特性グローブ</>",+{TaskCount}達成
430303,"[装備強化]
<SkyGray>[PVP防御]特性グローブ</>",+{TaskCount}達成
430304,"[装備強化]
<SkyGray>[PVP防御]特性グローブ</>",+{TaskCount}達成
430305,"[装備強化]
<SkyGray>[PVP防御]特性グローブ</>",+{TaskCount}達成
430401,"[特性レベルアップ]
<SkyGray>[PVP防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
430402,"[特性レベルアップ]
<SkyGray>[PVP防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
430403,"[特性レベルアップ]
<SkyGray>[PVP防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
430404,"[特性レベルアップ]
<SkyGray>[PVP防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
430405,"[特性レベルアップ]
<SkyGray>[PVP防御]特性グローブ</>","特性レベル
レベル{TaskCount}達成"
440201,"[装備レベルアップ]
<SkyGray>[PVP防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
440202,"[装備レベルアップ]
<SkyGray>[PVP防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
440203,"[装備レベルアップ]
<SkyGray>[PVP防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
440204,"[装備レベルアップ]
<SkyGray>[PVP防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
440205,"[装備レベルアップ]
<SkyGray>[PVP防御]特性ブーツ</>","URランクブーツ
レベル{TaskCount}達成"
440301,"[装備強化]
<SkyGray>[PVP防御]特性ブーツ</>",+{TaskCount}達成
440302,"[装備強化]
<SkyGray>[PVP防御]特性ブーツ</>",+{TaskCount}達成
440303,"[装備強化]
<SkyGray>[PVP防御]特性ブーツ</>",+{TaskCount}達成
440304,"[装備強化]
<SkyGray>[PVP防御]特性ブーツ</>",+{TaskCount}達成
440305,"[装備強化]
<SkyGray>[PVP防御]特性ブーツ</>",+{TaskCount}達成
440401,"[特性レベルアップ]
<SkyGray>[PVP防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
440402,"[特性レベルアップ]
<SkyGray>[PVP防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
440403,"[特性レベルアップ]
<SkyGray>[PVP防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
440404,"[特性レベルアップ]
<SkyGray>[PVP防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
440405,"[特性レベルアップ]
<SkyGray>[PVP防御]特性ブーツ</>","特性レベル
レベル{TaskCount}達成"
510201,"[装備レベルアップ]
<SkyGray>[魔物防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
510202,"[装備レベルアップ]
<SkyGray>[魔物防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
