ID,Name,Desc,RaceName,RaceDesc
18,記録の守護者：ハギオス,"<RedBold>ハギオス</>はグランカインと厚い信頼関係のある
下巨人の勇者です。

グランカインの寵愛を受けていた彼は、グランカインが秘密実験を行うために守護者を探していた頃、一寸の迷いもなく守護者になることを志願しました。",魔物,ハギオスは永劫の終わりなき歳月神殿を守るため、自分自身を変質させることを躊躇しませんでした。
19,試練の女神：ディケ,"<RedBold>ディケ</>はグランカインがマーブルの力を借りて創造した生きた下巨人の石像です。

彼女は創造主であるグランカインの命を受け、神殿に足を踏みれる資格のない者達を審判を下します。",魔物,グランカインによって創られたディケは他の被造物とは異なり、生命体というよりもむしろ魔法の被造物に近い存在です。
20,記録の守護者：ハギオス,"<RedBold>ハギオス</>はグランカインと厚い信頼関係のある
下巨人の勇者です。

グランカインの寵愛を受けていた彼は、グランカインが秘密実験を行うために守護者を探していた頃、一寸の迷いもなく守護者になることを志願しました。",魔物,ハギオスは永劫の終わりなき歳月神殿を守るため、自分自身を変質させることを躊躇しませんでした。
21,試練の女神：ディケ,"<RedBold>ディケ</>はグランカインがマーブルの力を借りて創造した生きた下巨人の石像です。

彼女は創造主であるグランカインの命を受け、神殿に足を踏みれる資格のない者達を審判を下します。",魔物,グランカインによって創られたディケは他の被造物とは異なり、生命体というよりもむしろ魔法の被造物に近い存在です。
22,記録の守護者：ハギオス,"<RedBold>ハギオス</>はグランカインと厚い信頼関係のある
下巨人の勇者です。

グランカインの寵愛を受けていた彼は、グランカインが秘密実験を行うために守護者を探していた頃、一寸の迷いもなく守護者になることを志願しました。",魔物,ハギオスは永劫の終わりなき歳月神殿を守るため、自分自身を変質させることを躊躇しませんでした。
23,試練の女神：ディケ,"<RedBold>ディケ</>はグランカインがマーブルの力を借りて創造した生きた下巨人の石像です。

彼女は創造主であるグランカインの命を受け、神殿に足を踏みれる資格のない者達を審判を下します。",魔物,グランカインによって創られたディケは他の被造物とは異なり、生命体というよりもむしろ魔法の被造物に近い存在です。
24,記録の守護者：ハギオス,"<RedBold>ハギオス</>はグランカインと厚い信頼関係のある
下巨人の勇者です。

グランカインの寵愛を受けていた彼は、グランカインが秘密実験を行うために守護者を探していた頃、一寸の迷いもなく守護者になることを志願しました。",魔物,ハギオスは永劫の終わりなき歳月神殿を守るため、自分自身を変質させることを躊躇しませんでした。
25,試練の女神：ディケ,"<RedBold>ディケ</>はグランカインがマーブルの力を借りて創造した生きた下巨人の石像です。

彼女は創造主であるグランカインの命を受け、神殿に足を踏みれる資格のない者達を審判を下します。",魔物,グランカインによって創られたディケは他の被造物とは異なり、生命体というよりもむしろ魔法の被造物に近い存在です。
26,記録の守護者：ハギオス,"<RedBold>ハギオス</>はグランカインと厚い信頼関係のある
下巨人の勇者です。

グランカインの寵愛を受けていた彼は、グランカインが秘密実験を行うために守護者を探していた頃、一寸の迷いもなく守護者になることを志願しました。",魔物,ハギオスは永劫の終わりなき歳月神殿を守るため、自分自身を変質させることを躊躇しませんでした。
27,試練の女神：ディケ,"<RedBold>ディケ</>はグランカインがマーブルの力を借りて創造した生きた下巨人の石像です。

彼女は創造主であるグランカインの命を受け、神殿に足を踏みれる資格のない者達を審判を下します。",魔物,グランカインによって創られたディケは他の被造物とは異なり、生命体というよりもむしろ魔法の被造物に近い存在です。
28,記録の守護者：ハギオス,"<RedBold>ハギオス</>はグランカインと厚い信頼関係のある
下巨人の勇者です。

グランカインの寵愛を受けていた彼は、グランカインが秘密実験を行うために守護者を探していた頃、一寸の迷いもなく守護者になることを志願しました。",魔物,ハギオスは永劫の終わりなき歳月神殿を守るため、自分自身を変質させることを躊躇しませんでした。
29,反逆の堕天使 ルシファー,"堕天使 <RedBold>ルシファー</>
神に最も近いとされる絶大な力を有する堕天使
何者にも動じない堂々とした佇まいが特徴",魔物,彼女は堕天の王の名に相応しい強大な能力を持ちます。
30,宇宙の救済者 ミロク,"モンスター界と人間界が衝突してすべてが滅びる前に、人間界を滅ぼそうとする者。

次元を行き渡りながら人間界を滅ぼす手段を探す。<RedBold>アンタラス</>の存在を発見したミロクは、眠っているアンタラスを目覚めさせ、その力で人間界を滅ぼそうとする。",魔物,宇宙の救済を成すほどの尋常ならざる力を持ちます。
31,@17,"<RedBold>ディケ</>はグランカインがマーブルの力を借りて創造した生きた下巨人の石像です。

彼女は創造主であるグランカインの命を受け、神殿に足を踏みれる資格のない者達を審判を下します。",魔物,@17
32,@18,"<RedBold>ハギオス</>はグランカインと厚い信頼関係のある
下巨人の勇者です。

グランカインの寵愛を受けていた彼は、グランカインが秘密実験を行うために守護者を探していた頃、一寸の迷いもなく守護者になることを志願しました。",魔物,@18
33,@17,"<RedBold>ディケ</>はグランカインがマーブルの力を借りて創造した生きた下巨人の石像です。

彼女は創造主であるグランカインの命を受け、神殿に足を踏みれる資格のない者達を審判を下します。",魔物,@17
34,@18,"<RedBold>ハギオス</>はグランカインと厚い信頼関係のある
下巨人の勇者です。

グランカインの寵愛を受けていた彼は、グランカインが秘密実験を行うために守護者を探していた頃、一寸の迷いもなく守護者になることを志願しました。",魔物,@18
35,@17,"<RedBold>ディケ</>はグランカインがマーブルの力を借りて創造した生きた下巨人の石像です。

彼女は創造主であるグランカインの命を受け、神殿に足を踏みれる資格のない者達を審判を下します。",魔物,@17
36,@18,"<RedBold>ハギオス</>はグランカインと厚い信頼関係のある
下巨人の勇者です。

グランカインの寵愛を受けていた彼は、グランカインが秘密実験を行うために守護者を探していた頃、一寸の迷いもなく守護者になることを志願しました。",魔物,@18
37,@17,"<RedBold>ディケ</>はグランカインがマーブルの力を借りて創造した生きた下巨人の石像です。

彼女は創造主であるグランカインの命を受け、神殿に足を踏みれる資格のない者達を審判を下します。",魔物,@17
38,@18,"<RedBold>ハギオス</>はグランカインと厚い信頼関係のある
下巨人の勇者です。

グランカインの寵愛を受けていた彼は、グランカインが秘密実験を行うために守護者を探していた頃、一寸の迷いもなく守護者になることを志願しました。",魔物,@18
