Id,Value,ButtonString1,ButtonString2
51,[Param1]さんが[Param2]さんを含む<FontGreen>[Param3]人</>を褒賞しました。,,
52,血盟員<FontGreen>[Name]</>さんからプレゼントが届きました。,メールボックス,
53,"血盟員<FontGreen>[Name]</>さんから復讐の要請がありました。
復讐の相手：<FontRed>[GuildName]</>血盟の<FontRed>[Name2]</>さん",閉じる,ポータルで移動
54,"血盟員<FontGreen>[Name]</>さんから復讐の要請がありました。
復讐の相手：<FontRed>[GuildName]</>血盟の<FontRed>[Name]</>さん",閉じる,入場
55,"血盟員<FontGreen>[Name]</>さんから復讐の要請がありました。
復讐の相手：<FontRed>[Name2]</>さん",閉じる,ポータルで移動
56,"血盟員<FontGreen>[Name]</>さんから復讐の要請がありました。
復讐の相手：<FontRed>[Name]</>さん",閉じる,入場
57,<FontBlue>[Param1]</>血盟と同盟関係を<FontBlue>締結</>しました。,,
58,<FontBlue>[Param1]</>血盟との同盟関係が<FontRed>解除</>されました。,,
59,<FontBlue>[Name]</>血盟との<FontRed>戦争が宣言</>されました。,,
60,<FontBlue>[GuildName]</>血盟との終戦を<FontRed>断りました。</>,,
61,<FontBlue>[GuildName]</>血盟が終戦を<FontRed>断りました。</>,,
62,<FontBlue>[Name]</>血盟との戦争は相互の<FontRed>合意により終了しました。</>,,
63,<FontBlue>[Name]</>血盟との戦いで<FontBlue>勝利</>しました。,,
64,<FontBlue>[Name]</>血盟との戦いで<FontBlue>敗北</>しました。,,
65,<FontYellow>血盟のレベルが[Param1]{[Param1]|に} なりました。</>,,
66,<FontYellow>血盟強化効果[Name]{[Name]|が}レベル[Param2]になりました。</>,,
67,血盟主[Name]さんが<FontGreen>[ShopName]</>にて<FontGreen>[Item]</>{[Item]|を}購入しました。,,
68,<FontYellow>[Param1]をクリアしました。</>,血盟功績,
69,"<FontGreen>[DungeonName]</>ダンジョンで血盟主が呼び出しています。
応じますか？",閉じる,入場
70,<FontYellow>[GuildDungeonName]([Difficulty])がリセットされました。</>,血盟ダンジョン,
71,<FontYellow>[Param1]の入札額を更新してください。</>,要塞戦,
72,<FontYellow>[Param1]の入札額を更新してください。</>,攻城戦,
73,<FontYellow>[Param1]の入札が延長されました。</>,要塞戦,
74,<FontYellow>[Param1]の入札が延長されました。</>,攻城戦,
75,"要塞戦に入場できます。
<FontGreen>[FortressName]</>に入場しますか？",閉じる,入場
76,"攻城戦に入場できます。
<FontGreen>[CastleName]</>に入場しますか？",閉じる,入場
77,<FontYellow>血盟主が[Name]の所有権を放棄しました。</>,,
78,血盟主が<FontBlue>[Name]</>を<FontYellow>[CastleType]</>に選択しました。,,
79,<FontYellow>血盟アジトがレベル[Level]になりました。</>,,
80,<FontYellow>血盟アジトの結束のクリスタルがレベル[param]に成長しました。</>,,
81,<FontGreen>[Name]</>さんがアジト血盟クエストをクリアしました。,,
82,<FontGreen>[Name]</>さんがアジトに<FontBlue>晩餐</>を用意しました。,閉じる,入場
83,<FontYellow>不思議な遺物[Value]個が血盟倉庫に支給されました。</>,,
84,[NAME]さんが<FontGreen>[POTION_NAME]</>を[COUNT]個製作しました。,,
85,<FontYellow>アジトの暖炉が明るく光ります。</>,閉じる,入場
86,<FontYellow>アジトが暖炉の温もりで満たされています。</>,閉じる,入場
87,<FontYellow>暖炉の温もりが消えました。</>,,
88,血盟から<FontRed>追放</>されました。,,
89,"要塞戦が始まりました。
<FontGreen>[FortressName]</>に入場しますか？",閉じる,入場
90,"攻城戦が始まりました。
<FontGreen>[CastleName]</>に入場しますか？",閉じる,入場
91,"場所：<FontGreen>[WorldName]</>
<FontBlue>[Name]</>さんから呼ばれています。
移動しますか？<FontRed>[Seconds]</>秒",拒否,承認
92,"パーティがないため操作できません。
15秒後に次元の迷路から出ます。",退場する,
810000001,"要塞戦に入場できます。
<FontGreen>[FortressName]</>に入場してください。",,
810000002,戦争中の[Guild]より終戦を提案されました。,OK,
