���Xf7)oTaskName,QuestNpcName,QuestNpcDialog,QuestNpcName2,QuestNpcDialog2
結界の中のモンスター,ゴロザウルスの衛兵を倒す,浄化の妖精,"この島にはかつてエルフたちが4本の世界樹の枝を植えて
作った結界があります。
<p>その結界により凶悪な魔物から守られ、「はじまりの島」や
「冒険者の島」とも呼ばれるようになりました。
<p>しかし、今は結界が闇に染まりつつあります。結界が破られてしまえば、この島は恐ろしい魔物の巣窟となるでしょう。
<p>結界の闇は特殊な装置を使えば浄化することができます。
そのためにあなたのお力が必要なのです。",,
結界の中のモンスター,浄化の妖精と話す,,,,
浄化開始,浄化の妖精を守る,浄化の妖精,"そんな…どうやら弱まった結界の隙間から魔物たちが忍び込んだようです。<p>急いで結界を浄化しなければなりません。
中央に向かいましょう。",,
浄化開始,浄化の妖精と話す,,,,
浄化装置へ続く道,ゴロザウルスの衛兵を倒す,浄化の妖精,"中央に行くほど魔物が強くなっています。
…！？
魔物の中でもとんでもないオーラを感じさせる存在が1体…
<p>アレが現れる前に他の魔物を片付けなければなりません。
どうか、力をお貸しください。",,
浄化装置へ続く道,浄化の妖精と話す,,,,
招かれざる客,ゴロザウルスを倒す,浄化の妖精,"あれはゴロザウルス！？
あり得ない…！こんな所に現れるなんて！<p>被害が広がる前にゴロザウルスを倒さなければ！",浄化の妖精,"すでにゴロザウルスのような魔物が結界の中に入り込んでいたとは…信じられません。<p>これ以上、事態を悪化させる訳にはいきません。
装置の作動を急ぎましょう。"
招かれざる客,浄化の妖精と話す,,,,
招かれざる客,浄化の妖精と話す,,,,
最初の浄化,ポータルストーンを使う,浄化の妖精,"これでしばらくは大丈夫かもしれませんが、まだ安心はできません。他の結界もあまり油断できない状況のはずです。<p>他の結界でも浄化装置を作動させなくてはなりません。
どうか最後まで力をお貸しいただけないでしょうか。<p>一旦ここから離れて準備を整えましょう。
このポータルストーンを使えば外に出られます。",,
最初の浄化,ポータルストーンを使う,,,,
封印された記憶の聖域,曜日ダンジョンについて学ぶ,ニア,"何があったの？
えっ、説明しにくいの？<p>ちょっと待って。あなたがいなくなってる間に遺跡を調査して結界に入る方法を見つけたのよ。<p>さらにもう少し調べてみたら入り方だけじゃなくてもっと興味深いことを発見したわ。知りたい？<p>別にあなたを助けるために調べたんじゃないからその辺は勘違いしないでよね！",,
封印された記憶の聖域,曜日ダンジョンについて学ぶ,,,,
本当は優しいのよ,釣り人アマンと話す,ニア,ふぅ…いろんなことがあった1日だったわね。そろそろ村に戻りましょう。<p>その前にちょっとお願いがあるの。この先にある釣り場で魚を手に入れてきてほしいのよ。<p>パパ…じゃなくて団長は焼き魚が大好きなの。そりゃ人使いは荒いけど、あたしのことを心から大事にしてくれる唯一の家族だから…。<p>魚は釣り場にいる釣り人に聞けば手に入るはずよ。,釣り人アマン,あんた、釣りは好きかい？ん？ニアに頼まれた？おやおや、これはこれはお気の毒に。あの子は周りの人を振り回すのが得意なんだよ。
餌に最適,吸血草原コウモリの肉を届ける,釣り人アマン,"で、魚なんだけど…今日のは全部売れちゃってね。
もう1匹も残ってないんだなぁこれが。<p>釣ろうにも釣り餌すら切らしてしまってね。<p>そうだ、こうしないか？餌に使う吸血コウモリの肉を手に入れてきたら、魚を釣り上げてあげるよ。",釣り人アマン,"おぉ！たくさん手に入れたじゃないか！それじゃさっそく釣ってみよう。
<p>あんたも釣りを始めてみないか？この先、釣り大会が開かれるかもしれないから穴場を見つけとくといいぞ。"
釣り場の珍味,焼いたコウモリの肉をペスカに届ける,釣り人アマン,"魚がもっと欲しい？
それなら他の釣り人に頼んでみるといいよ。<p>向こうにペスカって釣りの達人様がいてね、彼女に頼んでみたらどうだい？<p>そうだ、コウモリの肉を焼いていくと話がしやすいかもしれない。<p>コウモリの肉が好物だなんて…変わってるよなあ。",,
魚の買い占め,よろず屋パンを訪ねる,釣り人ペスカ,"魚？申し訳ないけど、あたしが釣ったのは
さっきよろず屋に全部持ってかれたわ。
良い値段がついたもんでね。
<p>よろず屋ならあっちに行ったわ。
あいつ、何を考えてるのかこの辺で釣れた魚を全部
買い漁ってるみたいだったわよ？
<p>まあ、あたしとしては太客がつけば美味しいけどね。",,
魚の買い占め,キャットニップを集める,よろず屋パン,"変な格好だにゃ、アヤシイにゃ。こんなところで武器を
持ったヒトを見かけたら警戒するのは当たり前にゃ。
で、何の用にゃ？<p>にゃっ？魚？これはダメにゃ。
ここの魚はサイコーに美味しいんだにゃ。<p>そんなに魚が欲しければこの辺に生えてる
キャットニップを採ってくるのにゃ。<p>それさえあれば魚なんてくれてやるのにゃ。",,
魚の買い占め,キャットニップを集める,,,,
焦るニア,ニアを訪ねる,よろず屋パン,キャットニップは好きだけど採る時に根っこから出る匂いが大嫌いなのにゃ。それじゃ、約束通り魚と交換にゃ。よろず屋は約束をちゃんと守るにゃ。,警備隊テール,"私は警備隊のテールと申します。
ニアお嬢様は急な用事のため、ここを私に預けてあちらの方へ走って行かれました。<p>今から急いでいけば追いつくと思いますよ。"
焦るニア,発掘団の箱を探す,ニア,"ど、どうしよう…悲鳴が聞こえて駆けつけたらパパも団員のみんなもどこかに消えちゃって…！
<p>手がかりがないか調べないと…！お願い、手伝って！",,
焦るニア,発掘団の箱を探す,,,,
焦るニア,発掘団のマントを探す,,,,
焦るニア,フェルネルのカバンを探す,,,,
焦るニア,目撃者を訪ねる,ニア,"パパのカバンだわ。
これを置きっぱなしで出かけるなんてありえない！
遺物も消えてるし…。
<p>えっ？落ち着けって？そ、そうね。
とにかくここから出るルートはひとつだけ。
見かけた人がいるかも！",,
焦るニア,目撃者を訪ねる,,,,
奪われた荷馬車,荷馬車を調べる,ヘリア,"た、助けてください！
怪しい男たちに馬車を奪われました。
<p>まだ近くにいるはずです！
…あっちです！南の方です！！",ヘリア,ありがとうございます。おかげで馬車を取り戻せました！
奪われた荷馬車,怪しい魔術師を倒す,怪しい魔術師,"警告したはずだ。なのにまた邪魔をするつもりか？
聞き分けの悪い奴だな。
ここで息の根を止めてやる！",,
奪われた荷馬車,怪しい魔術師を倒す,,,,
脱出したフェルネル,フェルネルと話す,ヘリア,"怪しい人たちですか？そういえば、
私の馬車以外にもう1台馬車を見かけました。
なぜ私の馬車を攻撃したのか、さっぱり…。<p>あ！あそこに倒れている人が…！
は、早く行ってみてください！",,
心を静める,草原アンテロープの角を集める,フェルネル,"奴らが団員たちを連れ去った。
私は抵抗したが、気絶させられたらしい。
ああ、一体どうしたものか…。<p>すまないが、この辺にいるアンテロープから角の粉末を手に入れてくれないか？心を静めてくれる効果があるんだ…。",フェルネル,"ふう…少し落ち着いた。どこまで話したかな…
そう、気が付くと馬車に乗せられて
どこかに移動していたんだ。<p>私は必死に体を転がして脱出することができた。
この丸い体がこんな時に役立つとは…。"
人さらいの追跡,フェルネルについて行く,フェルネル,"いかん、こうしている場合じゃない。
君、手伝ってくれないか？私を慕ってここまで来てくれた団員たちを見捨てる訳にはいかない…。<p>奴らが団員たちを連れ去った方角を知っている。私について来てくれ。",村の番兵,怪しい人たちですか？ここは人の往来が激しいので指名手配中の者以外は確認を取らないのです。
情報を持つ者,執政官を訪ねる,村の番兵,"村の執政官に聞けば力になってくれるかもしれません。
村だけじゃなく、付近の情報も執政官には報告されるようになっています。",執政官ダニエル,"誘拐事件とは…近頃冒険家が相次いで失踪する事件も起きている。何か関係があるかもしれない。
調査するよう指示を出そう。"
功績を積む,功績について学ぶ,執政官ダニエル,"たしか君は…話せる島に到着して間もなく警備隊を助けてくれたあの冒険家だね？
<p>港の管理人からも話は聞いている。君は明らかに他の冒険家とは違うようだな。何というか…この先、大きな仕事を成し遂げそうな器というか…。
<p>少し時間はあるかね？調査を進めている間、君の<YellowBold>功績</>を確認する方法を教えよう。なんだか君には教えておいた方がいいような気がするんだ。",,
功績を積む,功績について学ぶ,,,,
討伐隊志願,討伐隊の志願書を作成する,執政官ダニエル,"得体の知れない一行が北へ向かうのを見たという
情報が入った。どうやら君が探している連中のようだ。
早速向かうといい。<p>北の方は現在オークたちとの紛争が絶えない地域だから気を付けるように。討伐隊長にも話を通しておこう。",討伐隊長オースティン,素晴らしい！さすがは話せる島の港の新しい英雄と呼ばれるだけはあるな！
討伐隊志願,討伐隊の志願書を作成する,討伐隊長オースティン,"執政官の伝令から話は聞いている。君が噂の御仁だな。
<p>港と遺跡で活躍したと聞いたが、私は自分の目で見ていないものは信じない性格でね。私の兵士たちと手合わせをしてみてくれないか？",,
討伐隊志願,道真ん中の空き地へ向かう,,,,
討伐隊志願,隊員と手合わせする,,,,
討伐隊志願,隊員と手合わせする,,,,
討伐隊志願,訓練教官と手合わせする,,,,
討伐隊志願,訓練教官と手合わせする,,,,
討伐隊志願,オースティンと話す,,,,
もう一人の傭兵,ラッセルを訪ねる,討伐隊長オースティン,"今回の件はとある傭兵団に一任してあるんだ。彼らと共に行動するといい。
<p>オークどもが騒がしいせいで残念ながら他に兵力を回す余裕がないんだ。直接力を貸せぬのは心苦しいばかりだ…。",ラッセル,"んっ？あんたは…。
ハハ！ここでまた会うとはな！
港での戦い、見せてもらったぞ！"
フェルネルの報酬,雑貨屋に向かう,ラッセル,"フェルネルさんからの伝言だ。今回の誘拐事件をいち早く解決するのに役立ててほしいと雑貨屋に何か預けておいたらしい。
<p>恐らく懸命に協力してくれるあんたへの謝礼の意味も込めてるんだろうな。
<p>ん？それが何かまでは俺は知らんさ。
知りたければ雑貨屋に行ってみるといい。",,
高級召喚,高級召喚を覚える,雑貨商人アナイス,"フェルネルさんから預かってるのはこの箱よ。
<YellowBold>高級装備召喚ボックス</>ってやつね。
今から説明するからよく聞いてね。",雑貨商人アナイス,もらえるものはしっかり受け取っておかないとね！<p>忘れずに受け取ってね。
高級召喚,高級召喚を覚える,,,,
ラッセルからの伝言,執政官を訪ねる,雑貨商人アナイス,"そうそう、説明している間にラッセルさんが伝言を残していったみたい。
<p><GreenBold>「執政官のところへ行け。また後で会おう」</>ですって。
<p>それじゃあ、いってらっしゃい。
それともまだ私に用がある？",,
村の北を支援,ラッセルを訪ねる,執政官,村を訪れたと思われる商人たちのことを調べてみたらこれまでの失踪事件とも関係があることが判明した。<p>現在発掘団がどこにいるのかを調べている。村の北での騒ぎに気を取られてこの出来事に気づけなかった。君がいなかったら被害は広まっていたかもしれない。<p>私がこの件を調査している間、君は北の方を支援してくれないか？傭兵団のラッセル殿が君を待っているはずだ。,,
北の橋の攻防戦,オーク偵察兵を倒す,ラッセル,"知っての通り、村の北の橋を渡った先はオークどものせいで大変な騒ぎになっている。
<p>腕のいい傭兵で討伐隊を組んでオークの制圧に
尽力しているが、奴らも必死に抵抗している…。<p>しまった！オークどもがここまで乗り込んできた！奴らを倒してから橋を渡ろう！",,
北の橋の攻防戦,オーク突撃兵を倒す,,,,
逆襲,臨時防衛基地の訪問,ラッセル,"このままじゃらちがあかない。作戦が必要だ。
<p>よし、こうしよう。基地を空けてオークの奇襲を待つんだ。
そしてその隙を狙う！
<p>オークどもに頭の使い方を教えてやろうぜ。",討伐隊長オースティン,"こいつはたまげた。
君がいなければ味方の被害はもっと大きかっただろう。<p>礼を言う。兵士たちも皆感謝しているぞ。"
逆襲,襲撃,,,,
逆襲,オーク突撃兵を倒す,,,,
逆襲,カルフェオス登場,,,,
逆襲,カルフェオスを倒す,,,,
スキルをより強く！,スキルレベルアップを覚える,討伐隊長オースティン,"君ほどの実力があればそう簡単にやられることは
ないだろうが、もっと強くなれる方法を教えよう。<p>本当は入隊した兵士にだけ教えるものなんだが…君には今回の件で恩がある。特別に教えよう。",,
スキルをより強く！,スキルレベルアップを覚える,,,,
主導権争い,オーク歩哨を倒す,討伐隊長オースティン,奴らがまた攻めて来たぞ。次の攻撃まで少し時間があると思ったんだが…。オークどもめ、思いやりも礼儀の欠片もないな。<p>しかし奴らの戦力にも限界はある！今度の攻撃を阻止できれば奴らの勢いも少しはおさまるだろう。しっかりやり返して主導権を握ろうじゃないか！<p>まずはこの場所を偵察している奴らから倒そう！,,
,討伐隊長オースティンと話す,,,,
勢いに乗って,オーク強襲兵を倒す,討伐隊長オースティン,オーク強襲兵が！君、やれるか？この戦いの勝敗がかかっている！,,
さらわれた者の行方,ラッセルと話す,討伐隊長オースティン,執政官から伝令が来た。誘拐された遺跡発掘団と失踪した冒険家たちの行方が明らかになったそうだ。さあ、早くラッセルのところへ。幸運を祈っているぞ。,,
将軍との対決,オーク将軍に挑戦する,ラッセル,誘拐された発掘団はこっちのほうに向かっているようだ。<p>問題は行く手をふさぐオークたちだな。あそこにいる図体のデカい奴が群れを率いているボスらしい。<p>奴はこっちの代表と対決したがっている。先に進むには奴を倒すしかない。あんた、挑んでみる気はないか？,ラッセル,俺の目に間違いはなかったな。いや、素晴らしかった。もし気が向いたら<YellowBold>決闘場</>にも挑戦してみるといい。アデン大陸で確実に名を上げる方法のひとつだからな。
将軍との対決,オーク将軍に挑戦する,,,,
将軍との対決,オークの軍勢を阻止する,,,,
将軍との対決,ラッセルの所に戻る,,,,
決闘の達人,決闘場に挑む,ラッセル,ちょうどいい。<YellowBold>決闘場</>に参加する方法も教えておこう。,,
決闘の達人,決闘場に挑む,,,,
合流,副討伐隊長を訪ねる,ラッセル,"こっちはそろそろ片付いたようだからまた失踪事件のほうに戻らないとな。
<p>俺の方があんたよりこの島のことは知っている。捜索は任せてくれ。
<p>あんたは討伐隊と合流して知らせを待っていてくれ。",副討伐隊長ガリアン,君が<YellowBold>[player]</>か？ラッセル殿から話は聞いている。ここで知らせを待ちつつ、我々を手伝ってはくれないか？<p>近頃話せる島のあちこちで同時に事件が起きていて人手が足りないんだ。
危機の魔法学校,魔法学校の先生を訪ねる,副討伐隊長ガリアン,"オークどもが島をめちゃくちゃにしている。特に何か目的がある訳でもなさそうなのに…。一体奴らが暴れる理由が何なのかさっぱりわからない。<p>とにかく君には今すぐアインホバント魔法学校に向かってもらいたい。
この辺にいたオークの主要部隊がそこにも現れたそうだ。",,
エルフの花冠,魔法学校の先生の話を聞く,魔法学校の先生ユージン,"君が<YellowBold>[player]</>か？なぜ名前を知っているのかって？それは後でわかる。今は先に話しておきたいことがある。
<p>オークどもが来る前に話を済ませたい。少し場所を移そう。",魔法学校の先生ユージン,ここでいいだろう。<p>君は象牙の塔という場所を知っているか？アデン大陸の中部にある塔だ。信じられないと思うが…ここが象牙の塔の地下にあたるんだ。<p>アインホバント魔法学校はある物を安全に保管するため、象牙の塔の地下と魔法で空間がつながっている。
エルフの花冠,オークの軍勢を倒す,,,,
エルフの花冠,ポータルストーンを動かす,,,,
エルフの花冠,ポータルストーンを動かす,,,,
秘密の場所,ファングスを倒す,魔法学校の先生ユージン,"この一帯には魔物がうじゃうじゃいるだろう？こんなに出没するようになったのはつい最近のことなんだ。
<p>思い返してみるとオークが魔法学校を狙うのと魔物の出没は何か関係がある気がするんだ。
<p>今からここに保管している「ある物」を魔物の攻撃を退けて運び出そうと思う。まずはこの周辺の魔物たちから片付けよう。よろしく頼む。",,
秘密の場所,リタイアプレモを倒す,,,,
秘密の場所,魔法学校の先生の所に戻る,,,,
秘密の場所,魔法学校の先生の所に戻る,魔法学校の先生ユージン,あらかた片付いたようだ。「ある物」の在り処をつきとめてみよう。ここで少し待っていてくれ。,,
秘密の場所,追跡,,,,
装備合成でより強く！,装備の合成方法を覚える,魔法学校の先生ユージン,くそ、どうやら気づかれたようだ…。奴はアンタラスの棲み処を守るケイブキーパーという強い魔物だ。しかしなぜこんなところに…？<p>「ある物」を運び出すにはケイブキーパーを倒さなくてはならない。今の君の装備では奴と戦うのは難しい。もっと強い武器を手に入れられるよう、私が力を貸そう。,魔法学校の先生ユージン,よし、成功だ。これで戦えるだろう。<p>ここまで付き合わせたんだ、もう少し説明をさせてもらおう。我々が探している「ある物」とは「エルフの花冠」というものだ。<p>すでに気づいたようだな。そう、話せる島の結界の外と中を行き来できるようになる代物だ。
装備合成でより強く！,装備の合成方法を覚える,,,,
花冠を守る者,メデューサを倒す,魔法学校の先生ユージン,エルフの花冠付近にはケイブキーパーだけじゃなく他の魔物も集まっている。まずはそれを片付けよう。,,
花冠を守る者,エルフの花冠を見つけて回収する,,,,
花冠を守る者,ケイブキーパーを倒す,,,,
花冠を守る者,エルフの花冠を見つけて回収する,魔法学校の先生ユージン,エルフの花冠を取り出してくれ。私はここから出る支度をしておく。,,
花冠を守る者,エルフの花冠を見つけて回収する,,,,
花冠を守る者,ポータルストーンを使う,魔法学校の先生ユージン,よし、それじゃあ脱出するぞ。ポータルストーンを作動させよう。,,
花冠を守る者,ポータルストーンを使う,,,,
花冠を守る者,ポータルストーンを使う,,,,
魔法学校からの支援要請,魔法学校の先生を護衛する,魔法学校の先生ユージン,"急激に増えたオーク、象牙の塔の地下に侵入した魔物たち…これらの出来事が同時に起こる可能性は極めて低い。
<p>私たちの知らないところで不吉なことが起きている気がする。そしてその先には今とは比べられないほどの大きな混乱が待ち受けているかもしれない。
<p>今後エルフの花冠を魔法学校だけで守るのは厳しそうだ。私を討伐隊の人に会わせてくれないか？",,
魔法学校の先生護衛,魔法学校の先生を警戒所に連れて行く,副討伐隊長ガリアン,魔法学校の先生を北の橋近くにある警戒所まで案内してくれないか？執政官と直接話をした方がいいと思ってね。<p>それからまたこっちに戻ってきてほしいんだ。まだ君の力を貸してもらいたい。,,
討伐隊への帰還,補給品を持って帰る,討伐隊員,副討伐隊長の所へ戻るのですか？でしたら、部隊長殿に補給品と執政官からの書信を届けてください。,副討伐隊長ガリアン,ん、補給品？兵士たちに頼まれたのか？まったく、君に使いを頼むとは…後でしっかり叱っておこう。<p>執政官の書信も持ってきてくれたのか。ご苦労だった。
血盟について,血盟の加入方法を覚える,副討伐隊長ガリアン,総督部の指令に従い、そろそろオーク軍の中心部に突撃しようと思う。君にも同行してもらいたい。<p>ひとりでは危険だから仲間と一緒に戦えるよう、血盟について説明しよう。,,
最終攻撃任務,ラッセルを訪ねる,副討伐隊長ガリアン,幸いにも戦況は我々が優勢だ。ここで一気に畳みかけようと思う。<p>君はラッセル殿と共に、最後の攻撃任務を遂行してくれ。,,
戦勝記念塔の奪還作戦,戦勝記念塔に向かう,ラッセル,俺たちは戦勝記念塔とその周辺の奪還作戦を遂行する。俺が先陣を切るからついて来てほしい。,テオドール,君の戦いぶりはしっかり見せてもらった。<p>私は銀の傭兵団のテオドールだ。
戦勝記念塔の奪還作戦,,ラッセル,"まだまだぁ！かかって来い！ハハハ！
ま、待てよ…。あいつら、一体何をしてるんだ！？",,
戦勝記念塔の奪還作戦,戦勝記念塔破壊,,,,
戦勝記念塔の奪還作戦,蘇ったオーク将軍を倒す,,,,
戦勝記念塔の奪還作戦,黒魔術師を倒す,,,,
戦勝記念塔の奪還作戦,黒魔術師を倒す,ラッセル,"あそこにまた魔術師のような格好をした怪しい奴がいる。
今日こそ逃すものか！行くぞ！
<p>ちょっと待て…どっかで見たような…？あれは…テオドール様じゃないか！",,
戦勝記念塔の奪還作戦,テオドールと話す,,,,
テオドールの関心事,オーク歩兵を倒す,テオドール,"この島で噂になっているのを知って来てみたんだ。銀の傭兵団のことはすでに知っているだろう…
<p>今日は君の腕前を確認したい。
手始めにこの辺にいるオークを倒して来てもらえるかな？",テオドール,さすがだ。まだ荒削りだが、素質は十分あるぞ。
