謹TnlQAalue
GuildWarehouseRecordSiegeWarReward,攻城戦報酬
MailContentGuildWarehouseGrant,血盟の褒賞を受けました。
MailContentAchievementReward,[Item]
MailContentPeriodAchievementReward,[Item]
MailContentFriendGreet,[Item]
MailContentBagIsFull,[Item]
MailContentDailyActivityReward,[Item]
MailContentInstantCompleteReward,[Item]
MailContentMissionDailyReward,[Item]
MailContentMissionWeeklyReward,[Item]
MailContentShopReward,[Item]
MailContentSupriseBox,[Item]
MailContentEvent,[Item]
MailContentCastleSiegeFestivalWin,[Item]
MailContentCastleSiegeFestivalLose,[Item]
MailRewardAdena,[Count]アデナ
MailRewardDiamond,ダイヤ[Count]個
MailRewardDiamondTitle,デイリーパックダイヤ累積達成報酬
MailRewardCrystal,クリスタル
MailRewardExp,[Count]経験値
MailRewardQuestLimitTime,クエスト制限時間
MailRewardFriendshipPoint,[Count]友情ポイント
MailRewardStatus,能力値[Count]
MailRewardBloodCrystal,血のクリスタル[Count]個
MailRewardGachaTicket,[Item]
MailRewardCastleSiegeFestivalCoupon,攻城祭チケット
GuildWarehouseRecordGuildAchievement,血盟功績
GuildWarehouseRecordGuildDungeon01,バールカルロンの痕跡
GuildWarehouseRecordGuildDungeon02,クイーンアントの洞窟
MailRewardSkillPoint,スキルポイント
MailRewardTopaz,トパーズ[Count]個
MailRewardMileage,マイレージ
MailRewardGuildCoin,血盟コイン
MailRewardAchievementPoint,功績ポイント
MailRewardPvpHonorPoint,名誉ポイント
MailRewardRunePiece,ルーンの欠片
MailTitleClassTransfer,転職
MailContentClassTransfer,[Item]
MailTitleMonsterBook,モンスター図鑑
MailContentMonsterBook,[Item]
MailTitleGuildDungeonReward1,バールカルロンの痕跡への未参加報酬
MailContentGuildDungeonReward1,バールカルロンの痕跡への未参加報酬を受け取ります。
MailTitleGuildDungeonAttendanceReward1,バールカルロンの痕跡への参加報酬
MailContentGuildDungeonAttendanceReward1,バールカルロンの痕跡への参加報酬を受け取ります。
MailTitleGuildDungeonReward2,クイーンアントへの未参加報酬
MailContentGuildDungeonReward2,クイーンアントへの未参加報酬を受け取ります。
MailTitleGuildDungeonAttendanceReward2,クイーンアントへの参加報酬
MailContentGuildDungeonAttendanceReward2,クイーンアントへの参加報酬を受け取ります。
MailTitleLevelUpGift,レベル達成報酬
MailContentLevelUpGift,[Item]
MailTitleReservedNickName,キャラクター名先取りのプレゼントです。
MailContentReservedNickName,[Item]
MailTitleGuildAgitQuestReward,血盟アジトクエスト報酬
MailContentGuildAgitQuestReward,[Item]
GuildWarehouseRecordGuillAgitQuest,血盟アジトクエスト
GuildAgitKeeperNoMoreUpgrade,アップデートを準備しています。
EquipDungeonHp80,聖物のHPが80%残りました。
EquipDungeonHp60,聖物のHPが60%残りました。
EquipDungeonHp40,聖物のHPが40%残りました。
EquipDungeonHp20,聖物のHPが20%残りました。
EquipDungeonHp0,聖物が破壊されました。
ESportsMasterDiedNotify,[GuildName]<FontWhite>血盟の血盟主</>[PlayerName]<FontWhite>さんが倒れました。</>
ESportsMatchEnded,[MatchId]番ルームの試合は終了しました。
ESportsMsgKickoutMatchEnded,試合が終了したため、タイトル画面に移動します。
ESportsMsgMatchInfo,[MyServerName]サーバー[MyGuildName]血盟[PlayerName]さんの試合は[TargetServerName]サーバー[TargetGuildName]血盟と[Date]大会サーバーで行われる予定です。
ESportsMsgNoMoreMatch,進行中の試合がありません。
ESportsMsgNotStartTime,試合が始まっていないため、入場できません。
ESportsMsgCantNow,今はできません。
VarBerk30,バールカルロンが狂暴化しました。
QueenAntScout,クイーンアントの護衛モンスターが現れます。
KICKOUT_FOR_INSPECT,"サーバーメンテナンスのため
接続を終了しました。"
KICKOUT_FOR_ASSET_PATCH,タイトル画面で新しいリソースをダウンロードします。
KICKOUT_PACKET_KEY_CHANGE,長い間、操作がなかったため接続終了
KICKOUT_SPEED_CHECK,異常な動作のため、接続が切れました。
CannotAcquireItemAnymore,これ以上獲得できません。
GuildMasterAutoEntrust,[システムメッセージ]活動中のメンバーがいない血盟です。
MailTitlePurchaseLimitOverReward,[TargetItem]重複購入
MailContentPurchaseLimitOverReward,[Item]
GuildJoinRequestDailyJoinLimit,"1日加入可能数の上限に達しています。
午前4時以降に再度お試しください。"
GuildJoinAcceptDailyJoinLimit,"1日募集可能数の上限に達しています。
午前4時以降に再度お試しください。"
KICKOUT_SERVER_RESTART,"運営チームにより終了します。
再起動してください。"
KICKOUT_END_GAME,ゲームが終了します。
MailTitleFortressSiegeDrawReward,要塞戦引き分け報酬
MailTitleEventDice,サイコロイベント報酬
MailTitleEventDiceComplete,サイコロイベントの完走報酬
MailContentEventDice,[Item]
MailContentEventDiceComplete,[Item]
GuildWarehouseRecordGuildDungeon,[GuildDungeonName]
MailRewardPvpTicket,決闘場チケット
MailTitleGuildDungeonReward,[GuildDungeonName]への未参加報酬
MailContentGuildDungeonReward,[GuildDungeonName]への未参加報酬を受け取ります。
MailTitleGuildDungeonAttendanceReward,[GuildDungeonName]への参加報酬
MailContentGuildDungeonAttendanceReward,[GuildDungeonName]への参加報酬を受け取ります。
MailTitleAccountLink,アカウント連動報酬
MailContentAccountLink,[Item]
MailTitleGuildAgitRelicReward,遺物の鑑定結果
MailContentGuildAgitRelicReward,[Item]
MailTitleGuildAgitRelicCollect,登録済み遺物を回収
MailContentGuildAgitRelicCollect,[Item]
MailTitleGuildAgitLiquidCreate,ポーション製作
MailContentGuildAgitLiquidCreate,[Item]
MailTitleGuildAgitWish,[Item]
MailContentGuildAgitWish,血盟アジトログイン報酬
PlayerIdleKickoutMessage,長い間、操作がなかったため接続終了
CrumaCore_Summon,クルマコアがガーディアンを召喚しました。
DayOfWeekFri,金
DayOfWeekMon,月
DayOfWeekSat,土
DayOfWeekSun,日
DayOfWeekThu,木
DayOfWeekTue,火
DayOfWeekWed,水
MailTitleItemEnchantFailReward,強化失敗報酬
MailContentItemEnchantFailReward,[Item]
DiceEventMaxCount,サイコロイベントの上限に達しました。
PetCantUseForge,"鍛冶屋では騎乗ペット装備は扱いません。
騎乗ペットメニューを利用してください。"
MailTitleGuildCastleDailyReward,毎日城占領報酬
MailContentGuildCastleDailyReward,[Item]
ConfineMessage,"<FontRed>[Day]</>日間、ゲームの利用が制限されました。
 詳細はお知らせ、もしくはお問い合わせで確認してください。
 （<FontRed>[ReuseYear]年[ReuseMonth]月[ReuseDay]日
[ReuseHour]時[ReuseMin]分</>から利用可能）"
EventDailyQuest,イベントデイリークエスト
EventDailyQuestReward,イベントデイリークエスト報酬
EventDailyQuestProgressReward,イベントデイリークエストプレイ報酬
SystemMessageKickOutFromGM,"運営チームにより終了します。
再起動してください。"
SystemMessageLogOut,ゲームを終了します。
MailTitleAccountLevelReward,サーバーレベル達成イベント報酬
MailContentAccountLevelReward,サーバーレベル達成イベントの報酬です。
MailTitleGuildDungeonHelpReward,[GuildDungeonName]血盟支援報酬
MailContentGuildDungeonHelpReward,[GuildDungeonName]を支援でクリアして報酬を獲得しました。
MailTitleFishingBookReward,釣り図鑑報酬
MailContentFishingBookReward,[Item]
MailTitleBattlefieldOfHonorSeasonReward,名誉の戦場シーズン報酬
MailContentBattlefieldOfHonorSeasonReward,[Item]
MailTitleBattlefieldOfBraveSeasonReward,勇猛の戦場シーズン報酬
MailContentBattlefieldOfBraveSeasonReward,[Item]
MailTitleBattlefieldOfAncientSeasonReward,古代の戦場シーズン報酬
MailContentBattlefieldOfAncientSeasonReward,[Item]
GuildWarehouseRecordGuildAgitLiquidMaterialUse,ポーション材料を使用
GuildWarehouseRecordGuildAgitLiquidMaterialCreate,ポーション製作
GuildWarehouseRecordGuildAgitRelicPointUse,血盟遺物箱
QueenBigAnt,大型の子守アリが登場！
BigAntGiveHeal,大型の子守アリがクイーンアントにヒールを使います。
PET_EQUIPMENT_ERROR_MESSAGE,"鍛冶屋では騎乗ペット装備を扱いません。
騎乗ペットメニューを利用してください。"
AuctionHouseDisabledMessage,"今は取引所を利用できません。
詳細はコミュニティを確認してください。"
MailTitleEventCheckBoardReward,[Item]
MailContentEventCheckBoardReward,フェルネルの遺跡探査オープン報酬です。
MailTitleEventCheckBoardAccrueReward,[Item]
MailContentEventCheckBoardAccrueReward,フェルネルの遺跡探査累積オープン報酬です。
MailTitleShopGuildReward,[Player]さんの血盟パックプレゼント
MailTitleRecommandationServerReward,おすすめサーバー選択報酬
MailContentRecommandationServerReward,おすすめサーバー選択報酬ボックス
HeroDungeonBorantaAxeThrowing,斧投げのダメージを分散させる必要があります！
HeroDungeonRamogReadyEruption,パアグリオの火種が召喚されました！
MailTitleGuildDonationReward,血盟寄付報酬
MailContentGuildDonationReward,血盟寄付報酬としてダンジョン掃討券をプレゼントします！
MailContentPartyDungeonReward,次元の迷路[PartyDungeonName]で見つけた戦利品です。
MailTitleServerTransferDailyDiamond,毎日もらえるダイヤパックの未受領分を獲得
MailTitleServerTransferAccountWarehouseExtension,アカウント倉庫拡張費用を返金
MailTitleBossReward,[NpcName]討伐報酬
MailContentBossReward,[NpcName]討伐報酬は空きスロットが足りなかったため、メールに届きました。
MailTitlePartyDungeonReward,次元の迷路クリア報酬
MailTitleServerTransferNameDuplicate,サーバー移転により、キャラクター名変更券をプレゼント
MailContentServerTransferNameDuplicate,サーバー移転時、キャラクター名が重複したため、変更券をプレゼントします。
MailTitleFotressDailyReward,要塞戦占領報酬
MailContentFotressDailyReward,[Item]
MailTitleFortressSiegeSpotReward,要塞戦スポット勝利報酬
MailContentFortressSiegeSpotReward,[Item]
MailTitleCSGive,運営チームより
MailContentCSGive,運営チームよりアイテムが届きました
EsportsMatchEnterLimit,試合メンバーがいっぱいで入場できません。
MailTitleEndOfWar,終戦提案
MailContentEndOfWar,"戦争中の血盟より終戦を提案されました。
血盟メニューで確認してください。"
ESportsMatchDelete,"LRT進行のために要塞戦を終了します。
終了後はロビー画面に移動します。"
MailTitleMasteryUpGift,熟練経験値達成報酬
MailContentMasteryUpGift,報酬：[Item]
MailRewardMasteryCoin,熟練の証
MailTitleEquipAchievementReward,装備実績完了報酬
MailContentEquipAchievementReward,装備実績の完了報酬です。
MailTitleStampReward,装備実績スタンプ報酬
MailContentStampReward,装備実績のスタンプ報酬です。
EventWhiteDayGreetingTitle,ホワイトデープレゼント報酬
EventWhiteDayGreetingMessage,友達からの挨拶で獲得したアイテムです。
