Id,Nwme,Desc
57,エリートダンジョン討伐,アリの巣地下1階のモンスターを70体討伐
58,基本任務,モンスターを100体討伐
59,ソウルストーン集め,ソウルストーン3個獲得
60,エリートダンジョンの達人,エリートダンジョンに1回入場
61,挑戦者だけが手に入れる,装備強化を1回成功
62,基本任務,モンスターを150体討伐
63,コンボの達人,200コンボ達成
64,体力管理は基本のき,HPポーションを60個以上使用
65,連勝の嵐,決闘で2連勝
66,基本任務,モンスターを200体討伐
67,戦利品集め,モンスターコアを5個獲得
68,防御力を磨こう,防具強化スクロールを2個獲得
69,攻撃力を磨こう,武器強化スクロールを2個獲得
70,止まらない成長,装備レベルアップを5回試す
71,戦闘力増加,"ソウルショットを1,000個以上使用"
72,スーパーパワー,"一撃で2,000ダメージ達成"
73,連勝の嵐,決闘で3連勝
74,基本任務,モンスターを250体討伐
75,コンボの達人,300コンボ達成
76,基本任務,モンスターを50体討伐
77,コンボの達人,200コンボ達成
78,体力管理は基本のき,MPポーションを40個以上使用
79,装備補給,装備を5個獲得
80,血盟のために,血の証を50個獲得
81,挑戦者だけが手に入れる,装備強化を2回成功
82,エリートダンジョン討伐,アリの巣地下1階のモンスターを70体討伐
83,基本任務,モンスターを100体討伐
84,ソウルストーン集め,ソウルストーン6個獲得
85,エリートダンジョンの達人,エリートダンジョンに1回入場
86,挑戦者だけが手に入れる,装備強化を2回成功
87,基本任務,モンスターを150体討伐
88,コンボの達人,250コンボ達成
89,体力管理は基本のき,HPポーションを80個以上使用
90,装備の進化,装備オプションを1回変更
91,連勝の嵐,決闘で2連勝
92,基本任務,モンスターを200体討伐
93,戦利品集め,モンスターコアを10個獲得
94,防御力を磨こう,防具強化スクロールを4個獲得
95,攻撃力を磨こう,武器強化スクロールを4個獲得
96,止まらない成長,装備レベルアップを10回試す
97,戦闘力増加,"ソウルショットを2,000個以上使用"
98,エリートダンジョン討伐,アリの巣地下1階のモンスターを200体討伐
99,連勝の嵐,決闘で3連勝
100,基本任務,モンスターを250体討伐
101,コンボの達人,300コンボ達成
102,基本任務,モンスターを50体討伐
103,コンボの達人,200コンボ達成
104,体力管理は基本のき,MPポーションを40個以上使用
105,装備補給,装備を5個獲得
106,血盟のために,血の証を50個獲得
107,挑戦者だけが手に入れる,装備強化を2回成功
108,エリートダンジョン討伐,アリの巣地下2階のモンスターを70体討伐
109,基本任務,モンスターを100体討伐
110,ソウルストーン集め,ソウルストーン6個獲得
111,エリートダンジョンの達人,エリートダンジョンに1回入場
112,挑戦者だけが手に入れる,装備強化を2回成功
113,基本任務,モンスターを150体討伐
114,コンボの達人,250コンボ達成
115,体力管理は基本のき,HPポーションを80個以上使用
116,装備の進化,装備オプションを1回変更
117,連勝の嵐,決闘で2連勝
118,基本任務,モンスターを200体討伐
119,戦利品集め,モンスターコアを10個獲得
120,防御力を磨こう,防具強化スクロールを4個獲得
121,攻撃力を磨こう,武器強化スクロールを4個獲得
122,止まらない成長,装備レベルアップを10回試す
123,戦闘力増加,"ソウルショットを2,000個以上使用"
124,エリートダンジョン討伐,アリの巣地下2階のモンスターを200体討伐
125,連勝の嵐,決闘で3連勝
126,基本任務,モンスターを250体討伐
127,コンボの達人,300コンボ達成
128,基本任務,モンスターを50体討伐
129,コンボの達人,200コンボ達成
130,体力管理は基本のき,MPポーションを40個以上使用
131,装備補給,装備を5個獲得
132,血盟のために,血の証を50個獲得
133,挑戦者だけが手に入れる,装備強化を2回成功
134,エリートダンジョン討伐,クルマの塔2階のモンスターを70体討伐
135,基本任務,モンスターを100体討伐
136,ソウルストーン集め,ソウルストーン6個獲得
137,エリートダンジョンの達人,エリートダンジョンに1回入場
138,挑戦者だけが手に入れる,装備強化を2回成功
139,基本任務,モンスターを150体討伐
140,コンボの達人,250コンボ達成
141,体力管理は基本のき,HPポーションを80個以上使用
142,装備の進化,装備オプションを1回変更
143,連勝の嵐,決闘で2連勝
144,基本任務,モンスターを200体討伐
145,戦利品集め,モンスターコアを10個獲得
146,防御力を磨こう,防具強化スクロールを4個獲得
147,攻撃力を磨こう,武器強化スクロールを4個獲得
148,止まらない成長,装備レベルアップを10回試す
149,戦闘力増加,"ソウルショットを2,000個以上使用"
150,エリートダンジョン討伐,クルマの塔2階のモンスターを200体討伐
151,連勝の嵐,決闘で3連勝
152,基本任務,モンスターを250体討伐
153,コンボの達人,300コンボ達成
154,基本任務,モンスターを50体討伐
155,コンボの達人,200コンボ達成
156,体力管理は基本のき,MPポーションを40個以上使用
157,装備補給,装備を5個獲得
158,血盟のために,血の証を50個獲得
159,挑戦者だけが手に入れる,装備強化を2回成功
160,エリートダンジョン討伐,クルマの塔3階のモンスターを70体討伐
161,基本任務,モンスターを100体討伐
162,ソウルストーン集め,ソウルストーン6個獲得
163,エリートダンジョンの達人,エリートダンジョンに1回入場
164,挑戦者だけが手に入れる,装備強化を2回成功
165,基本任務,モンスターを150体討伐
166,コンボの達人,250コンボ達成
167,体力管理は基本のき,HPポーションを80個以上使用
168,装備の進化,装備オプションを1回変更
169,連勝の嵐,決闘で2連勝
170,基本任務,モンスターを200体討伐
171,戦利品集め,モンスターコアを10個獲得
172,防御力を磨こう,防具強化スクロールを4個獲得
173,攻撃力を磨こう,武器強化スクロールを4個獲得
174,止まらない成長,装備レベルアップを10回試す
175,戦闘力増加,"ソウルショットを2,000個以上使用"
176,エリートダンジョン討伐,クルマの塔3階のモンスターを200体討伐
177,連勝の嵐,決闘で3連勝
178,基本任務,モンスターを250体討伐
179,コンボの達人,300コンボ達成
180,基本任務,モンスターを100体討伐
181,コンボの達人,350コンボ達成
182,体力管理は基本のき,MPポーションを50個以上使用
183,装備補給,装備を7個獲得
184,血盟のために,血の証を50個獲得
185,挑戦者だけが手に入れる,装備強化を3回成功
186,エリートダンジョン討伐,クルマの塔3階のモンスターを120体討伐
187,基本任務,モンスターを150体討伐
188,ソウルストーン集め,ソウルストーン9個獲得
189,エリートダンジョンの達人,エリートダンジョンに1回入場
190,挑戦者だけが手に入れる,装備強化を3回成功
191,基本任務,モンスターを200体討伐
192,コンボの達人,400コンボ達成
193,体力管理は基本のき,HPポーションを100個以上使用
194,装備の進化,装備オプションを1回変更
195,連勝の嵐,決闘で2連勝
196,基本任務,モンスターを250体討伐
197,戦利品集め,モンスターコアを15個獲得
198,防御力を磨こう,防具強化スクロールを6個獲得
199,攻撃力を磨こう,武器強化スクロールを6個獲得
200,止まらない成長,装備レベルアップを15回試す
201,戦闘力増加,"ソウルショットを4,000個以上使用"
202,エリートダンジョン討伐,クルマの塔3階のモンスターを250体討伐
203,連勝の嵐,決闘で3連勝
204,基本任務,モンスターを300体討伐
205,コンボの達人,450コンボ達成
206,基本任務,モンスターを100体討伐
207,コンボの達人,350コンボ達成
208,体力管理は基本のき,MPポーションを50個以上使用
209,装備補給,装備を7個獲得
210,血盟のために,血の証を50個獲得
211,挑戦者だけが手に入れる,装備強化を3回成功
212,エリートダンジョン討伐,象牙の塔地下1階のモンスターを120体討伐
213,基本任務,モンスターを150体討伐
214,ソウルストーン集め,ソウルストーン9個獲得
215,エリートダンジョンの達人,エリートダンジョンに1回入場
216,挑戦者だけが手に入れる,装備強化を3回成功
217,基本任務,モンスターを200体討伐
218,コンボの達人,400コンボ達成
219,体力管理は基本のき,HPポーションを100個以上使用
220,装備の進化,装備オプションを1回変更
221,連勝の嵐,決闘で2連勝
222,基本任務,モンスターを250体討伐
223,戦利品集め,モンスターコアを15個獲得
224,防御力を磨こう,防具強化スクロールを6個獲得
225,攻撃力を磨こう,武器強化スクロールを6個獲得
226,止まらない成長,装備レベルアップを15回試す
227,戦闘力増加,"ソウルショットを4,000個以上使用"
228,エリートダンジョン討伐,象牙の塔地下1階のモンスターを250体討伐
229,連勝の嵐,決闘で3連勝
230,基本任務,モンスターを300体討伐
231,コンボの達人,450コンボ達成
232,基本任務,モンスターを100体討伐
233,コンボの達人,350コンボ達成
234,体力管理は基本のき,MPポーションを50個以上使用
235,装備補給,装備を7個獲得
236,血盟のために,血の証を50個獲得
237,挑戦者だけが手に入れる,装備強化を3回成功
238,エリートダンジョン討伐,象牙の塔地下2階のモンスターを120体討伐
239,基本任務,モンスターを150体討伐
240,ソウルストーン集め,ソウルストーン9個獲得
241,エリートダンジョンの達人,エリートダンジョンに1回入場
242,挑戦者だけが手に入れる,装備強化を3回成功
243,基本任務,モンスターを200体討伐
244,コンボの達人,400コンボ達成
245,体力管理は基本のき,HPポーションを100個以上使用
246,装備の進化,装備オプションを1回変更
247,連勝の嵐,決闘で2連勝
248,基本任務,モンスターを250体討伐
249,戦利品集め,モンスターコアを15個獲得
250,防御力を磨こう,防具強化スクロールを6個獲得
251,攻撃力を磨こう,武器強化スクロールを6個獲得
252,止まらない成長,装備レベルアップを15回試す
253,戦闘力増加,"ソウルショットを4,000個以上使用"
254,エリートダンジョン討伐,象牙の塔地下2階のモンスターを250体討伐
255,連勝の嵐,決闘で3連勝
256,基本任務,モンスターを300体討伐
257,コンボの達人,450コンボ達成
258,基本任務,モンスターを100体討伐
259,コンボの達人,350コンボ達成
260,体力管理は基本のき,MPポーションを50個以上使用
261,装備補給,装備を7個獲得
262,血盟のために,血の証を50個獲得
263,挑戦者だけが手に入れる,装備強化を3回成功
264,エリートダンジョン討伐,象牙の塔地下3階のモンスターを120体討伐
265,基本任務,モンスターを150体討伐
266,ソウルストーン集め,ソウルストーン9個獲得
267,エリートダンジョンの達人,エリートダンジョンに1回入場
268,挑戦者だけが手に入れる,装備強化を3回成功
269,基本任務,モンスターを200体討伐
270,コンボの達人,400コンボ達成
271,体力管理は基本のき,HPポーションを100個以上使用
272,装備の進化,装備オプションを1回変更
273,連勝の嵐,決闘で2連勝
274,基本任務,モンスターを250体討伐
275,戦利品集め,モンスターコアを15個獲得
276,防御力を磨こう,防具強化スクロールを6個獲得
277,攻撃力を磨こう,武器強化スクロールを6個獲得
278,止まらない成長,装備レベルアップを15回試す
279,戦闘力増加,"ソウルショットを4,000個以上使用"
280,エリートダンジョン討伐,象牙の塔地下3階のモンスターを250体討伐
281,連勝の嵐,決闘で3連勝
282,基本任務,モンスターを300体討伐
283,コンボの達人,450コンボ達成
