Id,EquipEffectDescription,EquipEffectBuffName,EquipEffectBuffDescription
7100115,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>15%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>15%</>増加
7100116,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>16%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>16%</>増加
7100117,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>17%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>17%</>増加
7100118,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>18%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>18%</>増加
7100119,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>19%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>19%</>増加
7100120,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>20%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>20%</>増加
7100121,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>21%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>21%</>増加
7100122,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>22%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>22%</>増加
7100123,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>23%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>23%</>増加
7100124,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>24%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>24%</>増加
7100125,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>25%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>25%</>増加
7100126,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>26%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>26%</>増加
7100127,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>27%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>27%</>増加
7100128,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>28%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>28%</>増加
7100129,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>29%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>29%</>増加
7100130,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>30%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>30%</>増加
7100201,"血の魔物の討伐時に<FontBlue>10%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>10%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100202,"血の魔物の討伐時に<FontBlue>11%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>11%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100203,"血の魔物の討伐時に<FontBlue>12%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>12%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100204,"血の魔物の討伐時に<FontBlue>13%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>13%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100205,"血の魔物の討伐時に<FontBlue>14%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>14%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100206,"血の魔物の討伐時に<FontBlue>15%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>15%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100207,"血の魔物の討伐時に<FontBlue>16%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>16%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100208,"血の魔物の討伐時に<FontBlue>17%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>17%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100209,"血の魔物の討伐時に<FontBlue>18%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>18%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100210,"血の魔物の討伐時に<FontBlue>20%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>20%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100211,"血の魔物の討伐時に<FontBlue>21.5%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>21.5%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100212,"血の魔物の討伐時に<FontBlue>23%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>23%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100213,"血の魔物の討伐時に<FontBlue>24.5%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>24.5%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100214,"血の魔物の討伐時に<FontBlue>26%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>26%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100215,"血の魔物の討伐時に<FontBlue>27.5%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>27.5%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100216,"血の魔物の討伐時に<FontBlue>29%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>29%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100217,"血の魔物の討伐時に<FontBlue>30.5%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>30.5%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100218,"血の魔物の討伐時に<FontBlue>32%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>32%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100219,"血の魔物の討伐時に<FontBlue>33.5%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>33.5%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100220,"血の魔物の討伐時に<FontBlue>35%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>35%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100221,"血の魔物の討伐時に<FontBlue>36.5%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>36.5%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100222,"血の魔物の討伐時に<FontBlue>38%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>38%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100223,"血の魔物の討伐時に<FontBlue>39.5%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>39.5%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100224,"血の魔物の討伐時に<FontBlue>41%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>41%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100225,"血の魔物の討伐時に<FontBlue>42.5%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>42.5%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100226,"血の魔物の討伐時に<FontBlue>44%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>44%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100227,"血の魔物の討伐時に<FontBlue>45.5%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>45.5%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100228,"血の魔物の討伐時に<FontBlue>47%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>47%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100229,"血の魔物の討伐時に<FontBlue>48.5%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>48.5%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100230,"血の魔物の討伐時に<FontBlue>50%</>の確率で<FontBlue>血のクリスタル</>を追加獲得します。
最大で1日2000個まで獲得できます。

（キャラクターよりレベルが7以上低い血の魔物の場合は効果がありません。また、血の魔物に与えたダメージに応じて確率が変わることがあります。）
（適用場所：エリートダンジョン）",討伐のマントの装備効果,血の魔物の討伐時、<Fontblue>50%</>の確率で<Fontblue>血のクリスタル</>を追加獲得
7100301,"採集時に<FontBlue>12%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：フィールド/採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>12%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100302,"採集時に<FontBlue>13.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>13.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100303,"採集時に<FontBlue>15%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>15%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100304,"採集時に<FontBlue>16.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>16.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100305,"採集時に<FontBlue>18%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>18%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100306,"採集時に<FontBlue>19.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>19.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100307,"採集時に<FontBlue>21%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>21%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100308,"採集時に<FontBlue>22.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>22.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100309,"採集時に<FontBlue>24%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>24%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100310,"採集時に<FontBlue>25.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>25.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100311,"採集時に<FontBlue>27%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>27%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100312,"採集時に<FontBlue>28.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>28.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100313,"採集時に<FontBlue>30%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>30%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100314,"採集時に<FontBlue>31.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>31.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100315,"採集時に<FontBlue>33%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>33%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100316,"採集時に<FontBlue>34.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>34.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100317,"採集時に<FontBlue>36%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>36%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100318,"採集時に<FontBlue>37.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>37.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100319,"採集時に<FontBlue>39%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>39%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100320,"採集時に<FontBlue>40.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>40.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100321,"採集時に<FontBlue>42%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>42%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100322,"採集時に<FontBlue>43.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>43.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100323,"採集時に<FontBlue>45%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>45%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100324,"採集時に<FontBlue>46.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>46.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100325,"採集時に<FontBlue>48%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>48%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100326,"採集時に<FontBlue>49.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>49.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100327,"採集時に<FontBlue>51%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>51%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100328,"採集時に<FontBlue>52.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>52.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100329,"採集時に<FontBlue>54%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>54%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100330,"採集時に<FontBlue>55.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得します。

（適用場所：採集ダンジョン）",庭園のマントの装備効果,採集時、<FontBlue>55.5%</>の確率で<FontBlue>庭園の贈り物</>1個を追加獲得
7100401,"通常スキル使用時に<FontBlue>16%</>の確率で<FontBlue>最後に使用した通常スキル</>のクールタイムがリセットされ、すぐに再使用できるようになります。

（この効果は<Fontblue>2分30秒</>ごとに1回発動します。）
（適用場所：すべてのコンテンツ）",英雄のマントの装備効果,通常スキル使用時に<FontBlue>16%</>の確率で<FontBlue>最後に使用した通常スキル</>のクールタイムがリセット。クールタイム：2分30秒
