ID,SkillName,SkillDesc
17,@5,"<RedBold>라모그</>가 중앙으로 이동 후,
<YellowBold>자신 주변 270도</>의 범위에 피해를 줍니다.
이 기술은 한번 시전되면 총 <YellowBold>4회 연속 발동</>되며,
발동할 때마다 그 방향이 변경됩니다.
파멸을 맞은 대상은 <YellowBold>발화</> 상태에 걸립니다.

<YellowBold>발화</> 상태에 걸린 대상은
<RedBold>파아그리오의 불씨</>가 <YellowBold>대폭발</>할 때
<YellowBold>발화 1중첩 당 추가 피해</>를 받습니다.
발화는 최대 5회까지 누적됩니다.

<YellowBold>- 라모그는 자신의 체력에 따라</>
<YellowBold>더 다양한 각도로 파멸을 사용합니다.</>"
18,@6,"<RedBold>라모그</>가 중앙으로 이동 후,
<RedBold>파아그리오의 불씨</>를 소환합니다.

소환된 <RedBold>파아그리오의 불씨</>는 <RedBold>라모그</>를 향해
전진하며, <RedBold>라모그</>와 접촉하는 순간 대폭발해
화면 전체에 막대한 피해를 줍니다.

또한, <YellowBold>발화</> 상태에 걸린 대상에게
<YellowBold>발화 상태 수만큼 추가 피해</>를 줍니다.

<YellowBold>- 파아그리오의 불씨가 2개 소환됩니다.</>"
19,@1,@1
20,@2,@14
21,@3,@3
22,@4,@4
23,@5,@17
24,@6,@18
25,자상,"검으로 적의 살갗을 찢어 <YellowBold>방어력을 감소</>시킵니다.
최대 3회 중첩됩니다."
26,혈폭,"적의 <YellowBold>자상</>에서 피를 뽑아내 <YellowBold>핏덩이를 소환</>합니다.
소환된 <RedBold>핏덩이</>는 인근의 적을 찾아가 <YellowBold>자폭</>합니다."
27,빈혈,"피로 마법을 부리는 흡혈귀는 전투가 길어지면
<YellowBold>무방비 상태</>가 되어 <YellowBold>받는 피해가 증가</>합니다."
28,생명력 강탈,"<YellowBold>빈혈</>이 오면 주변에서 <YellowBold>강제로 피를 뽑아냅니다.</>
이를 벋어나기 위해선 <YellowBold>흡혈귀의 피</>를 몸에 발라
<YellowBold>마법을 속여야 합니다.</>"
29,@25,@25
30,@26,@26
31,@27,@27
32,@28,@28
33,@25,"검으로 적의 살갗을 찢어 <YellowBold>방어력을 감소</>시킵니다.

<YellowBold>- 이제 최대 5회 중첩됩니다.</>"
34,@26,"적의 <YellowBold>자상</>에서 피를 뽑아내 <YellowBold>핏덩이를 소환</>합니다.
소환된 <RedBold>핏덩이</>는 인근의 적을 찾아가 <YellowBold>자폭</>합니다.

<YellowBold>- 자폭하면서 끓어오르는 피를 생성합니다.</>
<YellowBold>- 끓어오르는 피에 닿으면 피해를 입습니다.</>"
35,@27,@27
36,@28,@28
37,피의 지옥,"<YellowBold>생명력이 50%</>가 되면 위기를 느낀 레오나드가
<YellowBold>다량의 핏덩이를 소환</>하여 동귀어진을 노립니다."
38,@25,"검으로 적의 살갗을 찢어 <YellowBold>방어력을 감소</>시킵니다.

<YellowBold>- 최대 5회 중첩됩니다.</>"
39,@26,@34
40,@27,@27
41,@28,@28
42,@37,@37
43,흡혈귀화,"피의 마법으로 적을 점차 흡혈귀로 변이시킵니다.
희생자는 <YellowBold>3단계</>에 걸쳐 변이되며, 단계에 따라
<YellowBold>공격력이 상승</>하지만, <YellowBold>방어력이 하락</>합니다."
44,흡혈귀 전환,"<YellowBold>흡혈귀화</>에 <YellowBold>3회</> 노출되면 일시적으로 흡혈귀가
되어 <YellowBold>동료를 공격</>하게 됩니다."
45,피 충전,"피로 마법을 부리는 흡혈귀는 전투가 길어지면
피를 보충하기 위해 <YellowBold>박쥐로 변해 도망</>갑니다.
<RedBold>박쥐</>는 <BlueBold>기란 선발대원</>의 시신으로 날아가
피를 <YellowBold>3회 흡혈</>합니다."
46,피의 격노,"<RedBold>박쥐</>가 흡혈한 피를 트리샤에게 전달합니다.
<RedBold>트리샤</>는 흡혈에 성공한 박쥐 수만큼
<YellowBold>체력을 회복</>하고 <YellowBold>일시적으로 강해집니다.</>"
47,자켄 도착,"<YellowBold>전투 시간이 5분 경과</>하면 소환 마법이 완료되어
<YellowBold>자켄이 등장</>합니다.
자켄은 트리샤를 위협한 <YellowBold>모험가들을 말살</>합니다."
48,@43,@43
49,@44,@44
50,@45,@45
51,@46,@46
52,@47,@47
53,@43,@43
54,@44,"<YellowBold>흡혈귀화</>에 <YellowBold>3회</> 노출되면 일시적으로 흡혈귀가
되어 <YellowBold>동료를 공격</>하게 됩니다.

<YellowBold>- 흡혈귀가 되면 더 강해집니다.</>"
55,@45,@45
56,@46,@46
57,@47,@47
58,피의 격류,"위협을 느낀 트리샤가 점차 커지는 거대한
<YellowBold>피의 파도</>를 일으킵니다."
59,@43,@43
60,@44,@54
61,@45,@45
62,@46,@46
63,@47,@47
64,@58,@58
