GroupId,SubId,DungeonInfoId,NpcInfoId,RecommendLv,RecommendPower,RecommendPeople,MainReward1,MainReward2,MainReward3
102,102020,20065,110220,112,265900,1,470103,,
102,102021,20066,110221,112,265900,2,470104,,
102,102022,20067,110222,112,265900,1,470105,,
102,102023,20068,110223,116,278400,1,470106,,
102,102024,20069,110224,116,278400,1,470107,,
102,102025,20070,110225,84,197100,3,472041,,
102,102026,20071,110226,90,208700,3,472042,,
102,102027,20072,110227,94,217700,3,472043,,
102,102028,20073,110228,108,254100,3,472044,,
102,102029,20074,110229,112,265900,3,472051,,
102,102030,20075,110230,120,290900,3,472052,,
102,102031,20076,110231,128,319300,3,472053,,
103,103001,20077,110301,124,265900,1,470111,,
103,103002,20078,110302,124,265900,2,470112,,
103,103003,20079,110303,132,265900,2,470113,,
103,103004,20080,110304,132,265900,2,470114,,
103,103005,20081,110305,132,265900,2,470115,,
103,103006,20082,110306,132,265900,1,470116,,
103,103007,20083,110307,132,265900,2,470117,,
103,103008,20084,110308,136,278400,1,470121,,
103,103009,20085,110309,140,290900,2,470122,,
103,103010,20086,110310,140,304600,2,470123,,
103,103011,20087,110311,140,319300,2,470124,,
103,103012,20088,110312,146,334700,2,470125,,
103,103013,20089,110313,146,349100,2,470126,,
103,103014,20090,110314,150,364200,1,470131,,
103,103015,20091,110315,156,364200,2,470132,,
103,103016,20092,110316,156,398200,2,470133,,
103,103017,20093,110317,156,384600,2,470134,,
103,103018,20094,110318,162,438300,2,470141,,
103,103019,20095,110319,162,438300,1,470142,,
103,103020,20096,110320,174,438300,1,470143,,
103,103021,20097,110321,168,438300,2,470144,,
103,103022,20098,110322,168,438300,2,470145,,
103,103023,20099,110323,174,438300,2,470146,,
103,103024,20100,110324,162,438300,2,470147,,
103,103025,20101,110325,128,326200,3,472061,,
103,103026,20102,110326,136,356400,3,472062,,
103,103027,20103,110327,146,393800,3,472063,,
103,103028,20104,110328,150,407700,3,472071,,
103,103029,20105,110329,156,429400,3,472072,,
103,103030,20106,110330,162,448700,3,472073,,
103,103031,20149,110331,168,467600,3,472081,,
103,103032,20150,110332,174,485900,3,472082,,
103,103033,20151,110333,182,537300,3,472083,,
103,103034,20152,110334,182,537300,5,472110,,
103,103035,20153,110335,190,667100,5,472111,,
103,103036,20154,110336,198,710700,5,472112,,
103,103037,20155,110337,206,740100,5,472113,,
103,103038,20156,110338,214,773200,5,472114,,
103,103039,20157,110339,222,807500,5,472115,,
103,103040,20158,110340,230,847600,5,472116,,
103,103041,20159,110341,236,878200,5,472117,,
103,103042,20160,110342,242,914300,5,472118,,
103,103043,20161,110343,248,951000,5,472119,,
103,103044,20162,110344,254,990200,5,472120,,
104,104001,20107,110401,182,537300,2,470151,,
104,104002,20108,110402,182,537300,2,470152,,
104,104003,20109,110403,198,710700,1,470153,,
104,104004,20110,110404,198,710700,1,470154,,
104,104005,20111,110405,198,710700,1,470155,,
104,104006,20112,110406,190,667100,1,470156,,
104,104007,20113,110407,230,847600,2,470161,,
104,104008,20114,110408,214,773200,2,470162,,
104,104009,20115,110409,206,740100,1,470163,,
104,104010,20116,110410,222,807500,2,470164,,
104,104011,20117,110411,214,773200,2,470165,,
104,104012,20118,110412,236,878200,2,470171,,
104,104013,20119,110413,242,914300,2,470172,,
104,104014,20120,110414,242,914300,2,470173,,
104,104015,20121,110415,248,951000,1,470174,,
104,104016,20122,110416,248,951000,1,470175,,
104,104017,20123,110417,254,990200,2,470176,,
104,104018,20124,110418,254,990200,2,470177,,
104,104019,20125,110419,182,537300,3,472084,,
104,104020,20126,110420,222,807500,3,472085,,
104,104021,20127,110421,190,667100,3,472086,,
104,104022,20128,110422,236,878200,3,472087,,
104,104023,20129,110423,262,1037500,3,472088,,
104,104024,20130,110424,268,1077600,3,472089,,
104,104025,20163,110425,262,1037500,5,472121,,
104,104026,20164,110426,268,1077600,5,472122,,
104,104027,20165,110427,274,1113800,5,472123,,
104,104028,20166,110428,282,1158500,5,472124,,
105,105001,20173,110435,268,1077600,5,470181,,
105,105002,20174,110436,268,1077600,5,470185,,
105,105003,20175,110437,262,1037500,5,470186,,
105,105004,20176,110438,274,1113800,5,470191,,
105,105005,20177,110439,282,1158500,5,470192,,
105,105006,20178,110440,282,1158500,5,470193,,
105,105007,20179,110441,290,1208900,5,470194,,
105,105008,20180,110442,298,1255800,5,470195,,
105,105009,20181,110443,298,1255800,5,470196,,
105,105010,20182,110444,298,1255800,5,470201,,
105,105011,20183,110445,298,1255800,5,470202,,
105,105012,20184,110446,306,1304000,5,470203,,
105,105013,20185,110447,306,1304000,5,470204,,
105,105014,20186,110448,322,1399200,5,470205,,
105,105015,20187,110449,322,1399200,5,470206,,
105,105016,20188,110450,274,1113800,5,472131,,
105,105017,20189,110451,268,1077600,5,472132,,
105,105018,20190,110452,290,1208900,5,472133,,
105,105019,20191,110453,298,1255800,5,472141,,
105,105020,20192,110454,322,1399200,5,472142,,
105,105021,20193,110455,322,1399200,5,472143,,
105,105022,20194,110456,322,1916100,5,472144,,
105,105023,20195,110457,332,2000600,5,472145,,
105,105024,20196,110458,342,2085700,5,472146,,
201,201001,20131,120101,20,14900,5,470025,460008,911158
201,201002,20132,120102,29,33500,5,470037,460008,911159
201,201003,20133,120103,40,79500,5,470047,460003,911160
201,201004,20134,120104,52,118400,5,470057,460013,911161
201,201005,20135,120105,62,145300,5,470068,460003,911162
202,202001,20136,120201,104,241200,20,470078,460013,911163
202,202002,20137,120202,120,290200,20,470086,460003,911164
202,202003,20138,120203,136,348400,20,470096,460013,911165
203,203001,20139,120301,198,573900,20,470118,460003,911166
203,203002,20140,120302,230,702100,20,470127,460013,911167
204,204001,20142,120401,222,616700,20,470157,460013,911169
204,204002,20143,120402,242,914300,20,470166,,
204,204003,20144,120403,242,914300,20,470167,,
204,204004,20145,120404,254,990200,20,470178,460013,911170
301,301001,20146,130201,198,579500,100,470108,911015,911173
8100801,818011,8100801,81110002,70,167600,5,,2500003,10048
