Id,Name,Desc,EffectType,EffectParamMin,EffectParamMax,EffectParamGrowth,OptionGroup
10101420,,,65,1,1,1,10101401
10101501,물리 공격력,,1,1075,1075,1,10101501
10101502,마법 공격력,,2,1075,1075,1,10101501
10101503,관통,,101,811,811,1,10101501
10101504,크리티컬,,10,1549,1549,1,10101501
10101505,크리티컬 대미지 증가율,,9,855,855,1,10101501
10101506,명중,,29,923,923,1,10101501
10101507,방어 무시 대미지,,36,16,16,1,10101501
10101508,공격속도 증가율,,7,1036,1036,1,10101501
10101509,HP 흡수율,,52,94,94,1,10101501
10101510,경험치 획득량 증가율,,87,490,490,1,10101501
10101511,아데나 획득량 증가율,,89,490,490,1,10101501
10101512,,,65,1,1,1,10101501
10101513,,,65,1,1,1,10101501
10101514,,,65,1,1,1,10101501
10101515,,,65,1,1,1,10101501
10101516,,,65,1,1,1,10101501
10101517,,,65,1,1,1,10101501
10101518,,,65,1,1,1,10101501
10101519,,,65,1,1,1,10101501
10101520,,,65,1,1,1,10101501
10101601,물리 공격력,,1,2045,2045,1,10101601
10101602,마법 공격력,,2,2045,2045,1,10101601
10101603,관통,,101,1549,1549,1,10101601
10101604,크리티컬,,10,2964,2964,1,10101601
10101605,크리티컬 대미지 증가율,,9,1629,1629,1,10101601
10101606,명중,,29,1752,1752,1,10101601
10101607,방어 무시 대미지,,36,31,31,1,10101601
10101608,공격속도 증가율,,7,1152,1152,1,10101601
10101609,HP 흡수율,,52,105,105,1,10101601
10101610,경험치 획득량 증가율,,87,540,540,1,10101601
10101611,아데나 획득량 증가율,,89,540,540,1,10101601
10101612,,,65,1,1,1,10101601
10101613,,,65,1,1,1,10101601
10101614,,,65,1,1,1,10101601
10101615,,,65,1,1,1,10101601
10101616,,,65,1,1,1,10101601
10101617,,,65,1,1,1,10101601
10101618,,,65,1,1,1,10101601
10101619,,,65,1,1,1,10101601
10101620,,,65,1,1,1,10101601
10201201,물리 공격력,,1,42,42,1,10201201
10201202,마법 공격력,,2,42,42,1,10201201
10201203,관통,,101,25,25,1,10201201
10201204,크리티컬,,10,42,42,1,10201201
10201205,크리티컬 대미지 증가율,,9,30,30,1,10201201
10201206,명중,,29,40,40,1,10201201
10201207,방어 무시 대미지,,36,1,1,1,10201201
10201208,공격속도 증가율,,7,152,152,1,10201201
10201209,HP 흡수율,,52,20,20,1,10201201
10201210,경험치 획득량 증가율,,87,80,80,1,10201201
10201211,아데나 획득량 증가율,,89,80,80,1,10201201
10201212,,,65,1,1,1,10201201
10201213,,,65,1,1,1,10201201
10201214,,,65,1,1,1,10201201
10201215,,,65,1,1,1,10201201
10201216,,,65,1,1,1,10201201
10201217,,,65,1,1,1,10201201
10201218,,,65,1,1,1,10201201
10201219,,,65,1,1,1,10201201
10201220,,,65,1,1,1,10201201
10201301,물리 공격력,,1,119,119,1,10201301
10201302,마법 공격력,,2,119,119,1,10201301
10201303,관통,,101,83,83,1,10201301
10201304,크리티컬,,10,155,155,1,10201301
10201305,크리티컬 대미지 증가율,,9,92,92,1,10201301
10201306,명중,,29,106,106,1,10201301
10201307,방어 무시 대미지,,36,2,2,1,10201301
10201308,공격속도 증가율,,7,299,299,1,10201301
10201309,HP 흡수율,,52,32,32,1,10201301
10201310,경험치 획득량 증가율,,87,148,148,1,10201301
10201311,아데나 획득량 증가율,,89,148,148,1,10201301
10201312,,,65,1,1,1,10201301
10201313,,,65,1,1,1,10201301
10201314,,,65,1,1,1,10201301
10201315,,,65,1,1,1,10201301
10201316,,,65,1,1,1,10201301
10201317,,,65,1,1,1,10201301
10201318,,,65,1,1,1,10201301
10201319,,,65,1,1,1,10201301
10201320,,,65,1,1,1,10201301
10201401,물리 공격력,,1,395,395,1,10201401
10201402,마법 공격력,,2,395,395,1,10201401
10201403,관통,,101,293,293,1,10201401
10201404,크리티컬,,10,556,556,1,10201401
10201405,크리티컬 대미지 증가율,,9,312,312,1,10201401
10201406,명중,,29,342,342,1,10201401
10201407,방어 무시 대미지,,36,6,6,1,10201401
10201408,공격속도 증가율,,7,594,594,1,10201401
10201409,HP 흡수율,,52,57,57,1,10201401
10201410,경험치 획득량 증가율,,87,285,285,1,10201401
10201411,아데나 획득량 증가율,,89,285,285,1,10201401
10201412,,,65,1,1,1,10201401
10201413,,,65,1,1,1,10201401
10201414,,,65,1,1,1,10201401
10201415,,,65,1,1,1,10201401
10201416,,,65,1,1,1,10201401
10201417,,,65,1,1,1,10201401
10201418,,,65,1,1,1,10201401
10201419,,,65,1,1,1,10201401
10201420,,,65,1,1,1,10201401
10201501,물리 공격력,,1,1075,1075,1,10201501
10201502,마법 공격력,,2,1075,1075,1,10201501
10201503,관통,,101,811,811,1,10201501
10201504,크리티컬,,10,1549,1549,1,10201501
10201505,크리티컬 대미지 증가율,,9,855,855,1,10201501
10201506,명중,,29,923,923,1,10201501
10201507,방어 무시 대미지,,36,16,16,1,10201501
10201508,공격속도 증가율,,7,1036,1036,1,10201501
10201509,HP 흡수율,,52,94,94,1,10201501
10201510,경험치 획득량 증가율,,87,490,490,1,10201501
10201511,아데나 획득량 증가율,,89,490,490,1,10201501
10201512,,,65,1,1,1,10201501
10201513,,,65,1,1,1,10201501
10201514,,,65,1,1,1,10201501
10201515,,,65,1,1,1,10201501
10201516,,,65,1,1,1,10201501
10201517,,,65,1,1,1,10201501
10201518,,,65,1,1,1,10201501
10201519,,,65,1,1,1,10201501
10201520,,,65,1,1,1,10201501
10201601,물리 공격력,,1,2045,2045,1,10201601
10201602,마법 공격력,,2,2045,2045,1,10201601
10201603,관통,,101,1549,1549,1,10201601
10201604,크리티컬,,10,2964,2964,1,10201601
10201605,크리티컬 대미지 증가율,,9,1629,1629,1,10201601
10201606,명중,,29,1752,1752,1,10201601
10201607,방어 무시 대미지,,36,31,31,1,10201601
10201608,공격속도 증가율,,7,1152,1152,1,10201601
10201609,HP 흡수율,,52,105,105,1,10201601
10201610,경험치 획득량 증가율,,87,540,540,1,10201601
10201611,아데나 획득량 증가율,,89,540,540,1,10201601
10201612,,,65,1,1,1,10201601
10201613,,,65,1,1,1,10201601
10201614,,,65,1,1,1,10201601
10201615,,,65,1,1,1,10201601
10201616,,,65,1,1,1,10201601
10201617,,,65,1,1,1,10201601
10201618,,,65,1,1,1,10201601
10201619,,,65,1,1,1,10201601
10201620,,,65,1,1,1,10201601
10301201,물리 공격력,,1,42,42,1,10301201
10301202,마법 공격력,,2,42,42,1,10301201
10301203,관통,,101,25,25,1,10301201
10301204,크리티컬,,10,42,42,1,10301201
10301205,크리티컬 대미지 증가율,,9,30,30,1,10301201
10301206,명중,,29,40,40,1,10301201
10301207,방어 무시 대미지,,36,1,1,1,10301201
10301208,공격속도 증가율,,7,152,152,1,10301201
10301209,HP 흡수율,,52,20,20,1,10301201
10301210,경험치 획득량 증가율,,87,80,80,1,10301201
10301211,아데나 획득량 증가율,,89,80,80,1,10301201
10301212,,,65,1,1,1,10301201
10301213,,,65,1,1,1,10301201
10301214,,,65,1,1,1,10301201
10301215,,,65,1,1,1,10301201
10301216,,,65,1,1,1,10301201
10301217,,,65,1,1,1,10301201
10301218,,,65,1,1,1,10301201
10301219,,,65,1,1,1,10301201
10301220,,,65,1,1,1,10301201
10301301,물리 공격력,,1,119,119,1,10301301
10301302,마법 공격력,,2,119,119,1,10301301
10301303,관통,,101,83,83,1,10301301
10301304,크리티컬,,10,155,155,1,10301301
10301305,크리티컬 대미지 증가율,,9,92,92,1,10301301
10301306,명중,,29,106,106,1,10301301
10301307,방어 무시 대미지,,36,2,2,1,10301301
10301308,공격속도 증가율,,7,299,299,1,10301301
10301309,HP 흡수율,,52,32,32,1,10301301
10301310,경험치 획득량 증가율,,87,148,148,1,10301301
10301311,아데나 획득량 증가율,,89,148,148,1,10301301
10301312,,,65,1,1,1,10301301
10301313,,,65,1,1,1,10301301
10301314,,,65,1,1,1,10301301
10301315,,,65,1,1,1,10301301
10301316,,,65,1,1,1,10301301
10301317,,,65,1,1,1,10301301
10301318,,,65,1,1,1,10301301
10301319,,,65,1,1,1,10301301
10301320,,,65,1,1,1,10301301
10301401,물리 공격력,,1,395,395,1,10301401
10301402,마법 공격력,,2,395,395,1,10301401
10301403,관통,,101,293,293,1,10301401
10301404,크리티컬,,10,556,556,1,10301401
10301405,크리티컬 대미지 증가율,,9,312,312,1,10301401
10301406,명중,,29,342,342,1,10301401
10301407,방어 무시 대미지,,36,6,6,1,10301401
10301408,공격속도 증가율,,7,594,594,1,10301401
10301409,HP 흡수율,,52,57,57,1,10301401
10301410,경험치 획득량 증가율,,87,285,285,1,10301401
10301411,아데나 획득량 증가율,,89,285,285,1,10301401
10301412,,,65,1,1,1,10301401
10301413,,,65,1,1,1,10301401
10301414,,,65,1,1,1,10301401
10301415,,,65,1,1,1,10301401
10301416,,,65,1,1,1,10301401
10301417,,,65,1,1,1,10301401
10301418,,,65,1,1,1,10301401
10301419,,,65,1,1,1,10301401
10301420,,,65,1,1,1,10301401
10301501,물리 공격력,,1,1075,1075,1,10301501
10301502,마법 공격력,,2,1075,1075,1,10301501
10301503,관통,,101,811,811,1,10301501
10301504,크리티컬,,10,1549,1549,1,10301501
10301505,크리티컬 대미지 증가율,,9,855,855,1,10301501
10301506,명중,,29,923,923,1,10301501
10301507,방어 무시 대미지,,36,16,16,1,10301501
10301508,공격속도 증가율,,7,1036,1036,1,10301501
10301509,HP 흡수율,,52,94,94,1,10301501
10301510,경험치 획득량 증가율,,87,490,490,1,10301501
10301511,아데나 획득량 증가율,,89,490,490,1,10301501
10301512,,,65,1,1,1,10301501
10301513,,,65,1,1,1,10301501
10301514,,,65,1,1,1,10301501
10301515,,,65,1,1,1,10301501
10301516,,,65,1,1,1,10301501
10301517,,,65,1,1,1,10301501
10301518,,,65,1,1,1,10301501
10301519,,,65,1,1,1,10301501
10301520,,,65,1,1,1,10301501
10301601,물리 공격력,,1,2045,2045,1,10301601
10301602,마법 공격력,,2,2045,2045,1,10301601
10301603,관통,,101,1549,1549,1,10301601
10301604,크리티컬,,10,2964,2964,1,10301601
10301605,크리티컬 대미지 증가율,,9,1629,1629,1,10301601
10301606,명중,,29,1752,1752,1,10301601
10301607,방어 무시 대미지,,36,31,31,1,10301601
10301608,공격속도 증가율,,7,1152,1152,1,10301601
10301609,HP 흡수율,,52,105,105,1,10301601
10301610,경험치 획득량 증가율,,87,540,540,1,10301601
10301611,아데나 획득량 증가율,,89,540,540,1,10301601
10301612,,,65,1,1,1,10301601
10301613,,,65,1,1,1,10301601
10301614,,,65,1,1,1,10301601
10301615,,,65,1,1,1,10301601
10301616,,,65,1,1,1,10301601
10301617,,,65,1,1,1,10301601
10301618,,,65,1,1,1,10301601
10301619,,,65,1,1,1,10301601
10301620,,,65,1,1,1,10301601
10401201,물리 공격력,,1,42,42,1,10401201
10401202,마법 공격력,,2,42,42,1,10401201
10401203,관통,,101,25,25,1,10401201
10401204,크리티컬,,10,42,42,1,10401201
10401205,크리티컬 대미지 증가율,,9,30,30,1,10401201
10401206,명중,,29,40,40,1,10401201
10401207,방어 무시 대미지,,36,1,1,1,10401201
10401208,공격속도 증가율,,7,152,152,1,10401201
10401209,HP 흡수율,,52,20,20,1,10401201
10401210,경험치 획득량 증가율,,87,80,80,1,10401201
10401211,아데나 획득량 증가율,,89,80,80,1,10401201
10401212,,,65,1,1,1,10401201
10401213,,,65,1,1,1,10401201
10401214,,,65,1,1,1,10401201
10401215,,,65,1,1,1,10401201
10401216,,,65,1,1,1,10401201
10401217,,,65,1,1,1,10401201
10401218,,,65,1,1,1,10401201
10401219,,,65,1,1,1,10401201
10401220,,,65,1,1,1,10401201
10401301,물리 공격력,,1,119,119,1,10401301
10401302,마법 공격력,,2,119,119,1,10401301
10401303,관통,,101,83,83,1,10401301
10401304,크리티컬,,10,155,155,1,10401301
10401305,크리티컬 대미지 증가율,,9,92,92,1,10401301
10401306,명중,,29,106,106,1,10401301
10401307,방어 무시 대미지,,36,2,2,1,10401301
10401308,공격속도 증가율,,7,299,299,1,10401301
10401309,HP 흡수율,,52,32,32,1,10401301
10401310,경험치 획득량 증가율,,87,148,148,1,10401301
10401311,아데나 획득량 증가율,,89,148,148,1,10401301
10401312,,,65,1,1,1,10401301
10401313,,,65,1,1,1,10401301
10401314,,,65,1,1,1,10401301
10401315,,,65,1,1,1,10401301
10401316,,,65,1,1,1,10401301
10401317,,,65,1,1,1,10401301
10401318,,,65,1,1,1,10401301
10401319,,,65,1,1,1,10401301
10401320,,,65,1,1,1,10401301
10401401,물리 공격력,,1,395,395,1,10401401
10401402,마법 공격력,,2,395,395,1,10401401
10401403,관통,,101,293,293,1,10401401
10401404,크리티컬,,10,556,556,1,10401401
10401405,크리티컬 대미지 증가율,,9,312,312,1,10401401
10401406,명중,,29,342,342,1,10401401
10401407,방어 무시 대미지,,36,6,6,1,10401401
10401408,공격속도 증가율,,7,594,594,1,10401401
10401409,HP 흡수율,,52,57,57,1,10401401
10401410,경험치 획득량 증가율,,87,285,285,1,10401401
10401411,아데나 획득량 증가율,,89,285,285,1,10401401
10401412,,,65,1,1,1,10401401
10401413,,,65,1,1,1,10401401
10401414,,,65,1,1,1,10401401
10401415,,,65,1,1,1,10401401
10401416,,,65,1,1,1,10401401
10401417,,,65,1,1,1,10401401
10401418,,,65,1,1,1,10401401
10401419,,,65,1,1,1,10401401
10401420,,,65,1,1,1,10401401
10401501,물리 공격력,,1,1075,1075,1,10401501
10401502,마법 공격력,,2,1075,1075,1,10401501
10401503,관통,,101,811,811,1,10401501
10401504,크리티컬,,10,1549,1549,1,10401501
10401505,크리티컬 대미지 증가율,,9,855,855,1,10401501
10401506,명중,,29,923,923,1,10401501
10401507,방어 무시 대미지,,36,16,16,1,10401501
10401508,공격속도 증가율,,7,1036,1036,1,10401501
10401509,HP 흡수율,,52,94,94,1,10401501
10401510,경험치 획득량 증가율,,87,490,490,1,10401501
10401511,아데나 획득량 증가율,,89,490,490,1,10401501
10401512,,,65,1,1,1,10401501
10401513,,,65,1,1,1,10401501
10401514,,,65,1,1,1,10401501
10401515,,,65,1,1,1,10401501
10401516,,,65,1,1,1,10401501
10401517,,,65,1,1,1,10401501
10401518,,,65,1,1,1,10401501
10401519,,,65,1,1,1,10401501
10401520,,,65,1,1,1,10401501
10401601,물리 공격력,,1,2045,2045,1,10401601
10401602,마법 공격력,,2,2045,2045,1,10401601
10401603,관통,,101,1549,1549,1,10401601
10401604,크리티컬,,10,2964,2964,1,10401601
10401605,크리티컬 대미지 증가율,,9,1629,1629,1,10401601
10401606,명중,,29,1752,1752,1,10401601
10401607,방어 무시 대미지,,36,31,31,1,10401601
10401608,공격속도 증가율,,7,1152,1152,1,10401601
10401609,HP 흡수율,,52,105,105,1,10401601
10401610,경험치 획득량 증가율,,87,540,540,1,10401601
10401611,아데나 획득량 증가율,,89,540,540,1,10401601
10401612,,,65,1,1,1,10401601
10401613,,,65,1,1,1,10401601
10401614,,,65,1,1,1,10401601
10401615,,,65,1,1,1,10401601
10401616,,,65,1,1,1,10401601
10401617,,,65,1,1,1,10401601
10401618,,,65,1,1,1,10401601
10401619,,,65,1,1,1,10401601
10401620,,,65,1,1,1,10401601
10501201,물리 공격력,,1,42,42,1,10501201
10501202,마법 공격력,,2,42,42,1,10501201
10501203,관통,,101,25,25,1,10501201
10501204,크리티컬,,10,42,42,1,10501201
10501205,크리티컬 대미지 증가율,,9,30,30,1,10501201
10501206,명중,,29,40,40,1,10501201
10501207,방어 무시 대미지,,36,1,1,1,10501201
10501208,공격속도 증가율,,7,152,152,1,10501201
10501209,HP 흡수율,,52,20,20,1,10501201
10501210,경험치 획득량 증가율,,87,80,80,1,10501201
10501211,아데나 획득량 증가율,,89,80,80,1,10501201
10501212,,,65,1,1,1,10501201
10501213,,,65,1,1,1,10501201
10501214,,,65,1,1,1,10501201
10501215,,,65,1,1,1,10501201
10501216,,,65,1,1,1,10501201
10501217,,,65,1,1,1,10501201
10501218,,,65,1,1,1,10501201
10501219,,,65,1,1,1,10501201
10501220,,,65,1,1,1,10501201
10501301,물리 공격력,,1,119,119,1,10501301
10501302,마법 공격력,,2,119,119,1,10501301
10501303,관통,,101,83,83,1,10501301
10501304,크리티컬,,10,155,155,1,10501301
10501305,크리티컬 대미지 증가율,,9,92,92,1,10501301
10501306,명중,,29,106,106,1,10501301
10501307,방어 무시 대미지,,36,2,2,1,10501301
10501308,공격속도 증가율,,7,299,299,1,10501301
10501309,HP 흡수율,,52,32,32,1,10501301
10501310,경험치 획득량 증가율,,87,148,148,1,10501301
10501311,아데나 획득량 증가율,,89,148,148,1,10501301
10501312,,,65,1,1,1,10501301
10501313,,,65,1,1,1,10501301
10501314,,,65,1,1,1,10501301
10501315,,,65,1,1,1,10501301
10501316,,,65,1,1,1,10501301
10501317,,,65,1,1,1,10501301
10501318,,,65,1,1,1,10501301
10501319,,,65,1,1,1,10501301
10501320,,,65,1,1,1,10501301
10501401,물리 공격력,,1,395,395,1,10501401
10501402,마법 공격력,,2,395,395,1,10501401
10501403,관통,,101,293,293,1,10501401
10501404,크리티컬,,10,556,556,1,10501401
10501405,크리티컬 대미지 증가율,,9,312,312,1,10501401
10501406,명중,,29,342,342,1,10501401
10501407,방어 무시 대미지,,36,6,6,1,10501401
10501408,공격속도 증가율,,7,594,594,1,10501401
10501409,HP 흡수율,,52,57,57,1,10501401
10501410,경험치 획득량 증가율,,87,285,285,1,10501401
10501411,아데나 획득량 증가율,,89,285,285,1,10501401
10501412,,,65,1,1,1,10501401
10501413,,,65,1,1,1,10501401
10501414,,,65,1,1,1,10501401
10501415,,,65,1,1,1,10501401
10501416,,,65,1,1,1,10501401
10501417,,,65,1,1,1,10501401
10501418,,,65,1,1,1,10501401
10501419,,,65,1,1,1,10501401
10501420,,,65,1,1,1,10501401
10501501,물리 공격력,,1,1075,1075,1,10501501
10501502,마법 공격력,,2,1075,1075,1,10501501
10501503,관통,,101,811,811,1,10501501
10501504,크리티컬,,10,1549,1549,1,10501501
10501505,크리티컬 대미지 증가율,,9,855,855,1,10501501
10501506,명중,,29,923,923,1,10501501
10501507,방어 무시 대미지,,36,16,16,1,10501501
10501508,공격속도 증가율,,7,1036,1036,1,10501501
10501509,HP 흡수율,,52,94,94,1,10501501
10501510,경험치 획득량 증가율,,87,490,490,1,10501501
10501511,아데나 획득량 증가율,,89,490,490,1,10501501
10501512,,,65,1,1,1,10501501
10501513,,,65,1,1,1,10501501
10501514,,,65,1,1,1,10501501
10501515,,,65,1,1,1,10501501
10501516,,,65,1,1,1,10501501
10501517,,,65,1,1,1,10501501
10501518,,,65,1,1,1,10501501
10501519,,,65,1,1,1,10501501
10501520,,,65,1,1,1,10501501
10501601,물리 공격력,,1,2045,2045,1,10501601
10501602,마법 공격력,,2,2045,2045,1,10501601
10501603,관통,,101,1549,1549,1,10501601
10501604,크리티컬,,10,2964,2964,1,10501601
10501605,크리티컬 대미지 증가율,,9,1629,1629,1,10501601
10501606,명중,,29,1752,1752,1,10501601
10501607,방어 무시 대미지,,36,31,31,1,10501601
10501608,공격속도 증가율,,7,1152,1152,1,10501601
10501609,HP 흡수율,,52,105,105,1,10501601
10501610,경험치 획득량 증가율,,87,540,540,1,10501601
10501611,아데나 획득량 증가율,,89,540,540,1,10501601
10501612,,,65,1,1,1,10501601
10501613,,,65,1,1,1,10501601
10501614,,,65,1,1,1,10501601
10501615,,,65,1,1,1,10501601
10501616,,,65,1,1,1,10501601
10501617,,,65,1,1,1,10501601
10501618,,,65,1,1,1,10501601
10501619,,,65,1,1,1,10501601
10501620,,,65,1,1,1,10501601
10601201,물리 공격력,,1,42,42,1,10601201
10601202,마법 공격력,,2,42,42,1,10601201
10601203,관통,,101,25,25,1,10601201
10601204,크리티컬,,10,42,42,1,10601201
10601205,크리티컬 대미지 증가율,,9,30,30,1,10601201
10601206,명중,,29,40,40,1,10601201
10601207,방어 무시 대미지,,36,1,1,1,10601201
10601208,공격속도 증가율,,7,152,152,1,10601201
10601209,HP 흡수율,,52,20,20,1,10601201
10601210,경험치 획득량 증가율,,87,80,80,1,10601201
10601211,아데나 획득량 증가율,,89,80,80,1,10601201
10601212,,,65,1,1,1,10601201
10601213,,,65,1,1,1,10601201
10601214,,,65,1,1,1,10601201
10601215,,,65,1,1,1,10601201
10601216,,,65,1,1,1,10601201
10601217,,,65,1,1,1,10601201
10601218,,,65,1,1,1,10601201
10601219,,,65,1,1,1,10601201
10601220,,,65,1,1,1,10601201
10601301,물리 공격력,,1,119,119,1,10601301
10601302,마법 공격력,,2,119,119,1,10601301
10601303,관통,,101,83,83,1,10601301
10601304,크리티컬,,10,155,155,1,10601301
10601305,크리티컬 대미지 증가율,,9,92,92,1,10601301
10601306,명중,,29,106,106,1,10601301
10601307,방어 무시 대미지,,36,2,2,1,10601301
10601308,공격속도 증가율,,7,299,299,1,10601301
10601309,HP 흡수율,,52,32,32,1,10601301
10601310,경험치 획득량 증가율,,87,148,148,1,10601301
10601311,아데나 획득량 증가율,,89,148,148,1,10601301
10601312,,,65,1,1,1,10601301
10601313,,,65,1,1,1,10601301
10601314,,,65,1,1,1,10601301
10601315,,,65,1,1,1,10601301
10601316,,,65,1,1,1,10601301
10601317,,,65,1,1,1,10601301
10601318,,,65,1,1,1,10601301
10601319,,,65,1,1,1,10601301
10601320,,,65,1,1,1,10601301
10601401,물리 공격력,,1,395,395,1,10601401
10601402,마법 공격력,,2,395,395,1,10601401
10601403,관통,,101,293,293,1,10601401
10601404,크리티컬,,10,556,556,1,10601401
10601405,크리티컬 대미지 증가율,,9,312,312,1,10601401
10601406,명중,,29,342,342,1,10601401
10601407,방어 무시 대미지,,36,6,6,1,10601401
10601408,공격속도 증가율,,7,594,594,1,10601401
10601409,HP 흡수율,,52,57,57,1,10601401
10601410,경험치 획득량 증가율,,87,285,285,1,10601401
10601411,아데나 획득량 증가율,,89,285,285,1,10601401
10601412,,,65,1,1,1,10601401
10601413,,,65,1,1,1,10601401
10601414,,,65,1,1,1,10601401
10601415,,,65,1,1,1,10601401
10601416,,,65,1,1,1,10601401
10601417,,,65,1,1,1,10601401
10601418,,,65,1,1,1,10601401
10601419,,,65,1,1,1,10601401
10601420,,,65,1,1,1,10601401
10601501,물리 공격력,,1,1075,1075,1,10601501
10601502,마법 공격력,,2,1075,1075,1,10601501
10601503,관통,,101,811,811,1,10601501
10601504,크리티컬,,10,1549,1549,1,10601501
10601505,크리티컬 대미지 증가율,,9,855,855,1,10601501
10601506,명중,,29,923,923,1,10601501
10601507,방어 무시 대미지,,36,16,16,1,10601501
10601508,공격속도 증가율,,7,1036,1036,1,10601501
10601509,HP 흡수율,,52,94,94,1,10601501
10601510,경험치 획득량 증가율,,87,490,490,1,10601501
10601511,아데나 획득량 증가율,,89,490,490,1,10601501
10601512,,,65,1,1,1,10601501
10601513,,,65,1,1,1,10601501
10601514,,,65,1,1,1,10601501
10601515,,,65,1,1,1,10601501
10601516,,,65,1,1,1,10601501
10601517,,,65,1,1,1,10601501
10601518,,,65,1,1,1,10601501
10601519,,,65,1,1,1,10601501
10601520,,,65,1,1,1,10601501
10601601,물리 공격력,,1,2045,2045,1,10601601
10601602,마법 공격력,,2,2045,2045,1,10601601
10601603,관통,,101,1549,1549,1,10601601
10601604,크리티컬,,10,2964,2964,1,10601601
10601605,크리티컬 대미지 증가율,,9,1629,1629,1,10601601
10601606,명중,,29,1752,1752,1,10601601
10601607,방어 무시 대미지,,36,31,31,1,10601601
10601608,공격속도 증가율,,7,1152,1152,1,10601601
10601609,HP 흡수율,,52,105,105,1,10601601
10601610,경험치 획득량 증가율,,87,540,540,1,10601601
10601611,아데나 획득량 증가율,,89,540,540,1,10601601
10601612,,,65,1,1,1,10601601
10601613,,,65,1,1,1,10601601
10601614,,,65,1,1,1,10601601
10601615,,,65,1,1,1,10601601
10601616,,,65,1,1,1,10601601
10601617,,,65,1,1,1,10601601
10601618,,,65,1,1,1,10601601
10601619,,,65,1,1,1,10601601
10601620,,,65,1,1,1,10601601
10102201,물리 공격력,,1,40,40,1,10102201
10102202,마법 공격력,,2,40,40,1,10102201
10102203,관통,,101,25,25,1,10102201
10102204,크리티컬,,10,48,48,1,10102201
10102205,크리티컬 대미지 증가율,,9,34,34,1,10102201
10102206,명중,,29,45,45,1,10102201
10102207,방어 무시 대미지,,36,1,1,1,10102201
10102208,공격속도 증가율,,7,171,171,1,10102201
10102209,HP 흡수율,,52,17,17,1,10102201
10102210,경험치 획득량 증가율,,87,80,80,1,10102201
10102211,아데나 획득량 증가율,,89,80,80,1,10102201
10102212,,,65,1,1,1,10102201
10102213,,,65,1,1,1,10102201
10102214,,,65,1,1,1,10102201
10102215,,,65,1,1,1,10102201
10102216,,,65,1,1,1,10102201
10102217,,,65,1,1,1,10102201
10102218,,,65,1,1,1,10102201
10102219,,,65,1,1,1,10102201
10102220,,,65,1,1,1,10102201
10102301,물리 공격력,,1,113,113,1,10102301
10102302,마법 공격력,,2,113,113,1,10102301
10102303,관통,,101,83,83,1,10102301
10102304,크리티컬,,10,174,174,1,10102301
10102305,크리티컬 대미지 증가율,,9,103,103,1,10102301
