Id,Name,Desc,ProductType,ItemInfoId,ProductValue
10104,누적 충전 보상,축복받은 강화주문서 선택 상자 3개,6,910237,3
10104,누적 충전 보상,마프르의 가호 3개,6,400000,3
10104,누적 충전 보상,1200 블루다이아,3,,1200
10105,누적 충전 보상,축복받은 강화주문서 선택 상자 5개,6,910237,5
10105,누적 충전 보상,마프르의 가호 5개,6,400000,5
10105,누적 충전 보상,2500 블루다이아,3,,2500
10201,누적 충전 보상,고급 랜덤 스킬북 페이지 상자 1개,6,916001,1
10201,누적 충전 보상,100 레드다이아,2,,100
10202,누적 충전 보상,고급 랜덤 스킬북 페이지 상자 1개,6,916001,1
10202,누적 충전 보상,200 레드다이아,2,,200
10203,누적 충전 보상,고급 랜덤 스킬북 페이지 상자 2개,6,916001,2
10203,누적 충전 보상,500 레드다이아,2,,500
10204,누적 충전 보상,고급 랜덤 스킬북 페이지 상자 4개,6,916001,4
10204,누적 충전 보상,고급 스킬북 페이지 선택 상자 1개,6,917001,1
10204,누적 충전 보상,2200 레드다이아,2,,2200
10205,누적 충전 보상,고급 랜덤 스킬북 페이지 상자 4개,6,916001,4
10205,누적 충전 보상,고급 스킬북 페이지 선택 상자 2개,6,917001,2
10205,누적 충전 보상,4000 레드다이아,2,,4000
10206,누적 충전 보상,마프르의 가호 1개,6,400000,1
10207,누적 충전 보상,마프르의 가호 2개,6,400000,2
10208,누적 충전 보상,마프르의 가호 8개,6,400000,8
10209,누적 충전 보상,찢어진 레시피 조각 3개,6,510103,3
10210,누적 충전 보상,일반 레시피 선택 상자 1개,6,919091,1
10211,누적 충전 보상,일반 레시피 선택 상자 2개,6,919091,2
10212,누적 충전 보상,일반 레시피 선택 상자 2개,6,919091,2
10212,누적 충전 보상,장비 결정체 1000개 선택 상자,6,912101,1
10301,누적 충전 보상,블루다이아 500,3,,500
10302,누적 충전 보상,블루다이아 1000,3,,1000
10303,누적 충전 보상,블루다이아 3500,3,,3500
10304,누적 충전 보상,블루다이아 5000,3,,5000
10304,누적 충전 보상,토파즈 200,14,,200
10305,누적 충전 보상,블루다이아 5000,3,,5000
10305,누적 충전 보상,토파즈 300,14,,300
11101,일간 충전 보상,,2,490003,100
11102,일간 충전 보상,,2,490003,300
11102,일간 충전 보상,,6,490011,3
11103,일간 충전 보상,,2,490003,500
11103,일간 충전 보상,,6,490011,5
11104,일간 충전 보상,,2,490003,1000
11104,일간 충전 보상,,6,400002,150
11105,일간 충전 보상,,2,490003,2000
11105,일간 충전 보상,,6,400002,300
11105,일간 충전 보상,,6,400000,1
11106,일간 충전 보상,,2,490003,3000
11106,일간 충전 보상,,6,400002,500
11106,일간 충전 보상,,6,400000,1
12101,누적 소비 보상,,6,490030,1
12101,누적 소비 보상,,6,490043,3
12102,누적 소비 보상,,6,490030,2
12102,누적 소비 보상,,6,490044,1
12103,누적 소비 보상,,6,490030,3
12103,누적 소비 보상,,6,490044,2
12104,누적 소비 보상,,6,490030,4
12104,누적 소비 보상,,6,490044,5
12105,누적 소비 보상,,6,490030,5
12105,누적 소비 보상,,6,490044,7
12106,누적 소비 보상,,6,490030,6
12106,누적 소비 보상,,6,490044,10
12107,누적 소비 보상,,6,490030,7
12107,누적 소비 보상,,6,490044,12
12108,누적 소비 보상,,6,490030,8
12108,누적 소비 보상,,6,490044,14
12109,누적 소비 보상,,6,490030,9
12109,누적 소비 보상,,6,490044,16
12110,누적 소비 보상,,6,490030,10
12110,누적 소비 보상,,6,490044,18
12111,누적 소비 보상,,6,490030,10
12111,누적 소비 보상,,6,490044,20
12112,누적 소비 보상,,6,490030,10
12112,누적 소비 보상,,6,490044,25
13101,일간 소비 보상,,6,911176,1
13102,일간 소비 보상,,6,911176,1
13102,일간 소비 보상,,6,490005,50
13103,일간 소비 보상,,6,911177,1
13103,일간 소비 보상,,6,490005,100
13104,일간 소비 보상,,6,911177,1
13104,일간 소비 보상,,6,490005,200
13105,일간 소비 보상,,6,911178,1
13105,일간 소비 보상,,6,490005,300
13106,일간 소비 보상,,6,911178,1
13106,일간 소비 보상,,6,490005,400
13107,일간 소비 보상,,6,911179,1
13107,일간 소비 보상,,6,490005,500
13108,일간 소비 보상,,6,911179,1
13108,일간 소비 보상,,6,490005,600
13108,일간 소비 보상,,6,900012,1
13109,일간 소비 보상,,6,911180,1
13109,일간 소비 보상,,6,490005,700
13109,일간 소비 보상,,6,900012,1
13110,일간 소비 보상,,6,911180,1
13110,일간 소비 보상,,6,490005,800
13110,일간 소비 보상,,6,900012,1
