Id,EquipEffectDescription,ConditionRoomTypeList,ConditionType,ConditionFireRate,EffectType,EffectParam1,EffectParam2,EquipEffectBuffIcon,EquipEffectBuffName,EquipEffectBuffDescription
7100121,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>21%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,2100,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 21%</> 증가"
7100122,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>22%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,2200,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 22%</> 증가"
7100123,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>23%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,2300,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 23%</> 증가"
7100124,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>24%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,2400,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 24%</> 증가"
7100125,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>25%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,2500,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 25%</> 증가"
7100126,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>26%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,2600,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 26%</> 증가"
7100127,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>27%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,2700,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 27%</> 증가"
7100128,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>28%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,2800,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 28%</> 증가"
7100129,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>29%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,2900,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 29%</> 증가"
7100130,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>30%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,3000,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 30%</> 증가"
7100131,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>30%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,3000,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 30%</> 증가"
7100132,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>30%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,3000,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 30%</> 증가"
7100133,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>30%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,3000,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 30%</> 증가"
7100134,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>30%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,3000,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 30%</> 증가"
7100135,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>30%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,3000,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 30%</> 증가"
7100136,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>30%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,3000,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 30%</> 증가"
7100137,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>30%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,3000,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 30%</> 증가"
7100138,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>30%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,3000,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 30%</> 증가"
7100139,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>30%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,3000,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 30%</> 증가"
7100140,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>30%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,3000,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 30%</> 증가"
7100201,"피의 마물 처치 시 <Fontblue>10%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,1000,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>10%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100202,"피의 마물 처치 시 <Fontblue>11%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,1100,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>11%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100203,"피의 마물 처치 시 <Fontblue>12%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,1200,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>12%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100204,"피의 마물 처치 시 <Fontblue>13%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,1300,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>13%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100205,"피의 마물 처치 시 <Fontblue>14%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,1400,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>14%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100206,"피의 마물 처치 시 <Fontblue>15%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,1500,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>15%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100207,"피의 마물 처치 시 <Fontblue>16%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,1600,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>16%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100208,"피의 마물 처치 시 <Fontblue>17%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,1700,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>17%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100209,"피의 마물 처치 시 <Fontblue>18%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,1800,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>18%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100210,"피의 마물 처치 시 <Fontblue>20%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,2000,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>20%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100211,"피의 마물 처치 시 <Fontblue>21.5%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,2150,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>21.5%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100212,"피의 마물 처치 시 <Fontblue>23%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,2300,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>23%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100213,"피의 마물 처치 시 <Fontblue>24.5%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,2450,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>24.5%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100214,"피의 마물 처치 시 <Fontblue>26%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,2600,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>26%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100215,"피의 마물 처치 시 <Fontblue>27.5%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,2750,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>27.5%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100216,"피의 마물 처치 시 <Fontblue>29%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,2900,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>29%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100217,"피의 마물 처치 시 <Fontblue>30.5%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,3050,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>30.5%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100218,"피의 마물 처치 시 <Fontblue>32%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,3200,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>32%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100219,"피의 마물 처치 시 <Fontblue>33.5%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,3350,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>33.5%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100220,"피의 마물 처치 시 <Fontblue>35%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,3500,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>35%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100221,"피의 마물 처치 시 <Fontblue>36.5%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,3650,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>36.5%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100222,"피의 마물 처치 시 <Fontblue>38%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,3800,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>38%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
7100223,"피의 마물 처치 시 <Fontblue>39.5%</> 확률로, 
<Fontblue>피의 결정체</>를 추가적으로 획득 합니다.
일일 최대 2000개까지 획득 할 수 있습니다.

(케릭터의 레벨보다 7레벨 이하의 피의 마물 처치시에는 적용 되지 않으며, 피의 마물에 가한 피해량에 따라서, 확률이 보정 될 수 있습니다.)
(적용장소 : 정예던전)",RegularDungeonWorld,2,3950,96,9900025,,Icon_Buff_CapeEquipEffect_01,토벌의 망토 착용효과,"피의 마물 처치 시 <Fontblue>39.5%</> 확률로, <Fontblue>피의 결정체</> 추가 획득"
