Id,MainCoreId,Name,OrderNumber,Image,CostItemType,Cost,EffectType1,EffectParam1,EffectType2,EffectParam2,EffectType3,EffectParam3,EffectType4,EffectParam4
111,3600,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
112,3600,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
113,3601,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
114,3601,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
115,3602,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
116,3602,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
117,3602,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
121,3700,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
122,3700,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
123,3701,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
124,3701,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
125,3702,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
126,3702,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
127,3702,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
131,3800,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
132,3800,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
133,3801,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
134,3801,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
135,3802,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
136,3802,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
137,3802,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
141,3900,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
142,3900,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
143,3901,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
144,3901,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
145,3902,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
146,3902,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
147,3902,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
151,4000,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
152,4000,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
153,4001,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
154,4001,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
155,4002,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
156,4002,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
157,4002,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
201,6500,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
202,6500,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
203,6501,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
204,6501,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
205,6502,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
206,6502,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
207,6502,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
211,6600,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
212,6600,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
213,6601,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
214,6601,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
215,6602,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
216,6602,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
217,6602,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
221,6700,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
222,6700,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
223,6701,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
224,6701,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
225,6702,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
226,6702,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
227,6702,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
231,6800,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
232,6800,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
233,6801,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
234,6801,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
235,6802,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
236,6802,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
237,6802,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
241,6900,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
242,6900,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
243,6901,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
244,6901,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
245,6902,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
246,6902,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
247,6902,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
251,7000,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
252,7000,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
253,7001,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
254,7001,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
255,7002,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
256,7002,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
257,7002,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
301,9500,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
302,9500,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
303,9501,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
304,9501,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
305,9502,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
306,9502,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
307,9502,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
311,9600,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
312,9600,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
313,9601,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
314,9601,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
315,9602,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
316,9602,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
317,9602,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
321,9700,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
322,9700,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
323,9701,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
324,9701,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
325,9702,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
326,9702,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
327,9702,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
331,9800,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
332,9800,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
333,9801,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
334,9801,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
335,9802,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
336,9802,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
337,9802,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
341,9900,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
342,9900,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
343,9901,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
344,9901,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
345,9902,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
346,9902,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
347,9902,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
351,10000,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
352,10000,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
353,10001,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
354,10001,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
355,10002,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
356,10002,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
357,10002,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
