Id,ManagerGrade,QuestType,GroupType,Name,QuestDesc1,QuestDesc2,TaskType,TaskCondition,TaskCount,TaskContentType,NpcAutoMoveID,ContentsLockId,Help,RewardContribution,Reward1Type,Reward1ItemInfold,Reward1Count,Reward2Type,Reward2ItemInfold,Reward2Count,Reward3Type,Reward3ItemInfold,Reward3Count,GuildRewardType1,GuildRewardItemInfold1,GuildRewardCount1,GuildRewardType2,GuildRewardItemInfold2,GuildRewardCount2
11,1,1,6,기란 자치령 정찰,기란 자치령 몬스터 처치,기란 자치령 몬스터를 125마리 처치하세요.,81,11,125,149,800011,,0,,6,500052,3,6,500053,5,6,500071,10,7,,,7,,
12,2,1,6,죽음 안개 해안 정찰,죽음 안개 해안 몬스터 처치,죽음 안개 해안의 몬스터를 125마리 처치하세요.,81,12,125,149,800012,,0,,6,500051,3,6,500052,3,6,500071,10,7,,,7,,
13,1,1,6,악마섬 정찰,악마섬 몬스터 처치,악마섬의 몬스터를 125마리 처치하세요.,81,13,125,149,800013,,0,,6,500001,15,6,500002,10,1,,10000,7,,,7,,
14,2,1,6,악마섬 정찰,악마섬 몬스터 처치,악마섬의 몬스터를 200마리 처치하세요.,81,13,200,149,800013,,0,,6,500002,10,6,500003,10,1,,10000,7,,,7,,
15,1,1,6,죽음의 연도 정찰,죽음의 연도 몬스터 처치,죽음의 연도의 몬스터를 125마리 처치하세요.,81,14,125,149,800014,,0,,6,500001,15,6,500002,10,6,500003,10,7,,,7,,
16,2,1,6,죽음의 연도 정찰,죽음의 연도 몬스터 처치,죽음의 연도의 몬스터를 200마리 처치하세요.,81,14,200,149,800014,,0,,6,500001,15,6,500051,3,1,,10000,7,,,7,,
17,1,1,6,북풍의 고원 정찰,북풍의 고원 몬스터 처치,북풍의 고원의 몬스터를 150마리 처치하세요.,81,15,150,149,800015,,0,,6,500002,10,6,500052,3,1,,10000,7,,,7,,
18,2,1,6,북풍의 고원 정찰,북풍의 고원 몬스터 처치,북풍의 고원의 몬스터를 225마리 처치하세요.,81,15,225,149,800015,,0,,6,500003,10,6,500053,5,1,,10000,7,,,7,,
19,3,1,6,북풍의 고원 정찰,북풍의 고원 몬스터 처치,북풍의 고원의 몬스터를 300마리 처치하세요.,81,15,300,149,800015,,0,,6,500003,10,6,500071,10,6,500119,2,7,,,7,,
20,1,1,6,정지된 시간의 땅 정찰,정지된 시간의 땅 몬스터 처치,정지된 시간의 땅의 몬스터를 150마리 처치하세요.,81,16,150,149,800016,,0,,6,500051,3,6,500071,10,6,500119,2,7,,,7,,
21,2,1,6,정지된 시간의 땅 정찰,정지된 시간의 땅 몬스터 처치,정지된 시간의 땅의 몬스터를 225마리 처치하세요.,81,16,225,149,800016,,0,,6,500052,3,6,500071,10,6,500119,2,7,,,7,,
22,3,1,6,정지된 시간의 땅 정찰,정지된 시간의 땅 몬스터 처치,정지된 시간의 땅의 몬스터를 300마리 처치하세요.,81,16,300,149,800016,,0,,6,500053,5,6,500071,10,6,400001,1500,7,,,7,,
23,1,1,6,상아탑 자치 구역 정찰,상아탑 자치 구역 몬스터 처치,상아탑 자치 구역의 몬스터를 150마리 처치하세요.,81,17,150,149,800017,,0,,6,500051,3,6,500052,3,6,400001,1500,7,,,7,,
24,2,1,6,상아탑 자치 구역 정찰,상아탑 자치 구역 몬스터 처치,상아탑 자치 구역의 몬스터를 225마리 처치하세요.,81,17,225,149,800017,,0,,6,500052,3,6,500053,5,6,400001,1500,7,,,7,,
25,3,1,6,상아탑 자치 구역 정찰,상아탑 자치 구역 몬스터 처치,상아탑 자치 구역의 몬스터를 300마리 처치하세요.,81,17,300,149,800017,,0,,6,500052,3,6,500053,5,6,500071,10,7,,,7,,
26,1,1,6,용의 계곡 정찰,용의 계곡 몬스터 처치,용의 계곡의 몬스터를 150마리 처치하세요.,81,18,150,149,800018,,0,,6,500051,3,6,500052,3,6,500071,10,7,,,7,,
27,2,1,6,용의 계곡 정찰,용의 계곡 몬스터 처치,용의 계곡의 몬스터를 225마리 처치하세요.,81,18,225,149,800018,,0,,6,500001,15,6,500002,10,1,,10000,7,,,7,,
28,3,1,6,용의 계곡 정찰,용의 계곡 몬스터 처치,용의 계곡의 몬스터를 300마리 처치하세요.,81,18,300,149,800018,,0,,6,500002,10,6,500003,10,1,,10000,7,,,7,,
29,1,1,6,약속된 땅 정찰,약속된 땅 몬스터 처치,약속된 땅의 몬스터를 150마리 처치하세요.,81,19,150,149,800019,,0,,6,500001,15,6,500002,10,6,500003,10,7,,,7,,
30,2,1,6,약속된 땅 정찰,약속된 땅 몬스터 처치,약속된 땅의 몬스터를 225마리 처치하세요.,81,19,225,149,800019,,0,,6,500001,15,6,500051,3,1,,10000,7,,,7,,
31,3,1,6,약속된 땅 정찰,약속된 땅 몬스터 처치,약속된 땅의 몬스터를 300마리 처치하세요.,81,19,300,149,800019,,0,,6,500002,10,6,500052,3,1,,10000,7,,,7,,
32,1,1,6,고룡 산맥 정찰,고룡 산맥 몬스터 처치,고룡 산맥의 몬스터를 150마리 처치하세요.,81,20,150,149,800020,,0,,6,500003,10,6,500053,5,1,,10000,7,,,7,,
33,2,1,6,고룡 산맥 정찰,고룡 산맥 몬스터 처치,고룡 산맥의 몬스터를 225마리 처치하세요.,81,20,225,149,800020,,0,,6,500003,10,6,500071,10,6,500119,2,7,,,7,,
34,3,1,6,고룡 산맥 정찰,고룡 산맥 몬스터 처치,고룡 산맥의 몬스터를 300마리 처치하세요.,81,20,300,149,800020,,0,,6,500051,3,6,500071,10,6,500119,2,7,,,7,,
101,1,1,7,엘프의 유적지 1층 소탕,엘프의 유적지 1층 몬스터 처치,엘프의 유적지 1층 몬스터를 50마리 처치하세요.,81,200,50,6,801001,23,0,,6,500001,15,6,500002,10,6,500003,10,7,,,7,,
102,2,1,7,엘프의 유적지 2층 소탕,엘프의 유적지 2층 몬스터 처치,엘프의 유적지 2층 몬스터를 50마리 처치하세요.,81,201,50,6,801002,102,0,,6,500001,15,6,500051,3,1,,10000,7,,,7,,
103,1,1,7,개미굴 지하 1층 소탕,개미굴 지하 1층 몬스터 처치,개미굴 지하 1층 몬스터를 75마리 처치하세요.,81,202,75,6,801003,105,0,,6,500002,10,6,500052,3,1,,10000,7,,,7,,
104,2,1,7,개미굴 지하 2층 소탕,개미굴 지하 2층 몬스터 처치,개미굴 지하 2층 몬스터를 75마리 처치하세요.,81,203,75,6,801004,106,0,,6,500003,10,6,500053,5,1,,10000,7,,,7,,
105,1,1,7,크루마 탑 2층 소탕,크루마 탑 2층 몬스터 처치,크루마 탑 2층 몬스터를 100마리 처치하세요.,81,204,100,6,801005,108,0,,6,500003,10,6,500071,10,6,500119,2,7,,,7,,
106,2,1,7,크루마 탑 3층 소탕,크루마 탑 3층 몬스터 처치,크루마 탑 3층 몬스터를 100마리 처치하세요.,81,205,100,6,801006,109,0,,6,500051,3,6,500071,10,6,500119,2,7,,,7,,
107,1,1,7,상아탑 지하 1층 소탕,상아탑 지하 1층 몬스터 처치,상아탑 지하 1층 몬스터를 125마리 처치하세요.,81,206,125,6,801007,110,0,,6,500052,3,6,500071,10,6,500119,2,7,,,7,,
108,2,1,7,상아탑 지하 1층 소탕,상아탑 지하 1층 몬스터 처치,상아탑 지하 1층 몬스터를 200마리 처치하세요.,81,206,200,6,801007,110,0,,6,500053,5,6,500071,10,6,400001,1500,7,,,7,,
109,1,1,7,상아탑 지하 2층 소탕,상아탑 지하 2층 몬스터 처치,상아탑 지하 2층 몬스터를 125마리 처치하세요.,81,207,125,6,801008,111,0,,6,500051,3,6,500052,3,6,400001,1500,7,,,7,,
110,2,1,7,상아탑 지하 2층 소탕,상아탑 지하 2층 몬스터 처치,상아탑 지하 2층 몬스터를 200마리 처치하세요.,81,207,200,6,801008,111,0,,6,500052,3,6,500053,5,6,400001,1500,7,,,7,,
111,1,1,7,상아탑 지하 3층 소탕,상아탑 지하 3층 몬스터 처치,상아탑 지하 3층 몬스터를 125마리 처치하세요.,81,208,125,6,801009,127,0,,6,500052,3,6,500053,5,6,500071,10,7,,,7,,
112,2,1,7,상아탑 지하 3층 소탕,상아탑 지하 3층 몬스터 처치,상아탑 지하 3층 몬스터를 200마리 처치하세요.,81,208,200,6,801009,127,0,,6,500051,3,6,500052,3,6,500071,10,7,,,7,,
113,2,1,7,상아탑 지하 연구소 소탕,상아탑 지하 연구소 몬스터 처치,상아탑 지하 연구소 몬스터를 100마리 처치하세요.,81,209,100,6,801010,133,0,,6,500001,15,6,500002,10,1,,10000,7,,,7,,
114,3,1,7,상아탑 지하 연구소 소탕,상아탑 지하 연구소 몬스터 처치,상아탑 지하 연구소 몬스터를 200마리 처치하세요.,81,209,200,6,801010,133,0,,6,500002,10,6,500003,10,1,,10000,7,,,7,,
115,1,1,7,비밀의 숲 상층 소탕,비밀의 숲 상층 몬스터 처치,비밀의 숲 상층 몬스터를 150마리 처치하세요.,81,210,150,6,801011,132,0,,6,500001,15,6,500002,10,6,500003,10,7,,,7,,
116,2,1,7,비밀의 숲 상층 소탕,비밀의 숲 상층 몬스터 처치,비밀의 숲 상층 몬스터를 225마리 처치하세요.,81,210,225,6,801011,132,0,,6,500001,15,6,500051,3,1,,10000,7,,,7,,
117,3,1,7,비밀의 숲 상층 소탕,비밀의 숲 상층 몬스터 처치,비밀의 숲 상층 몬스터를 300마리 처치하세요.,81,210,300,6,801011,132,0,,6,500002,10,6,500052,3,1,,10000,7,,,7,,
118,1,1,7,비밀의 숲 하층 소탕,비밀의 숲 하층 몬스터 처치,비밀의 숲 하층 몬스터를 150마리 처치하세요.,81,211,150,6,801012,134,0,,6,500003,10,6,500053,5,1,,10000,7,,,7,,
119,2,1,7,비밀의 숲 하층 소탕,비밀의 숲 하층 몬스터 처치,비밀의 숲 하층 몬스터를 225마리 처치하세요.,81,211,225,6,801012,134,0,,6,500003,10,6,500071,10,6,500119,2,7,,,7,,
120,3,1,7,비밀의 숲 하층 소탕,비밀의 숲 하층 몬스터 처치,비밀의 숲 하층 몬스터를 300마리 처치하세요.,81,211,300,6,801012,134,0,,6,500051,3,6,500071,10,6,500119,2,7,,,7,,
121,2,1,7,비밀의 숲 학살지 소탕,비밀의 숲 학살지 몬스터 처치,비밀의 숲 학살지 몬스터를 100마리 처치하세요.,81,212,100,6,801013,135,0,,6,500052,3,6,500071,10,6,500119,2,7,,,7,,
122,3,1,7,비밀의 숲 학살지 소탕,비밀의 숲 학살지 몬스터 처치,비밀의 숲 학살지 몬스터를 200마리 처치하세요.,81,212,200,6,801013,135,0,,6,500053,5,6,500071,10,6,400001,1500,7,,,7,,
123,1,1,7,용의 동굴 지하 1층 소탕,용의 동굴 지하 1층 몬스터 처치,용의 동굴 지하 1층 몬스터를 150마리 처치하세요.,81,213,150,6,801014,141,0,,6,500051,3,6,500052,3,6,400001,1500,7,,,7,,
124,2,1,7,용의 동굴 지하 1층 소탕,용의 동굴 지하 1층 몬스터 처치,용의 동굴 지하 1층 몬스터를 225마리 처치하세요.,81,213,225,6,801014,141,0,,6,500052,3,6,500053,5,6,400001,1500,7,,,7,,
125,3,1,7,용의 동굴 지하 1층 소탕,용의 동굴 지하 1층 몬스터 처치,용의 동굴 지하 1층 몬스터를 300마리 처치하세요.,81,213,300,6,801014,141,0,,6,500052,3,6,500053,5,6,500071,10,7,,,7,,
126,1,1,7,용의 동굴 지하 2층 소탕,용의 동굴 지하 2층 몬스터 처치,용의 동굴 지하 2층 몬스터를 150마리 처치하세요.,81,214,150,6,801015,142,0,,6,500051,3,6,500052,3,6,500071,10,7,,,7,,
127,2,1,7,용의 동굴 지하 2층 소탕,용의 동굴 지하 2층 몬스터 처치,용의 동굴 지하 2층 몬스터를 225마리 처치하세요.,81,214,225,6,801015,142,0,,6,500001,15,6,500002,10,1,,10000,7,,,7,,
128,3,1,7,용의 동굴 지하 2층 소탕,용의 동굴 지하 2층 몬스터 처치,용의 동굴 지하 2층 몬스터를 300마리 처치하세요.,81,214,300,6,801015,142,0,,6,500002,10,6,500003,10,1,,10000,7,,,7,,
129,2,1,7,용의 동굴 심층 소탕,용의 동굴 심층 몬스터 처치,용의 동굴 심층 몬스터를 100마리 처치하세요.,81,215,100,6,801016,143,0,,6,500052,3,6,500071,10,1,,10000,7,,,7,,
130,3,1,7,용의 동굴 심층 소탕,용의 동굴 심층 몬스터 처치,용의 동굴 심층 몬스터를 200마리 처치하세요.,81,215,200,6,801016,143,0,,6,500053,5,6,500071,10,1,,10000,7,,,7,,
201,3,1,8,잊혀진 기억의 성소 탐사,요일 던전 몬스터 처치,요일 던전의 몬스터를 15마리 처치하세요.,81,11000,15,7,,4,0,,6,500051,3,6,500052,3,6,400001,1500,7,,,7,,
202,1,1,8,잊혀진 기억의 성소 탐사,요일 던전 몬스터 처치,요일 던전의 몬스터를 30마리 처치하세요.,81,11000,30,7,,4,0,,6,500052,3,6,500053,5,6,400001,1500,7,,,7,,
203,3,1,8,채집 던전 탐사,채집 던전 몬스터 처치,채집 던전의 몬스터를 2마리 처치하세요.,81,13000,2,5,,29,0,,6,500052,3,6,500053,5,6,500071,10,7,,,7,,
204,1,1,8,채집 던전 탐사,채집 던전 몬스터 처치,채집 던전의 몬스터를 5마리 처치하세요.,81,13000,5,5,,29,0,,6,500051,3,6,500052,3,6,500071,10,7,,,7,,
205,3,1,8,물의 신전 수호,장비 던전 몬스터 처치,장비 던전에서 몬스터를 25마리 처치하세요.,81,18400,25,11,,114,0,,6,500001,15,6,500002,10,1,,10000,7,,,7,,
206,1,1,8,물의 신전 수호,장비 던전 몬스터 처치,장비 던전에서 몬스터를 50마리 처치하세요.,81,18400,50,11,,114,0,,6,500002,10,6,500003,10,1,,10000,7,,,7,,
207,3,1,8,크뤼소스의 금고 털기,아데나 던전 몬스터 처치,아데나 던전에서 몬스터를 7마리 처치하세요.,81,18100,7,10,,113,0,,6,500001,15,6,500002,10,6,500003,10,7,,,7,,
208,1,1,8,크뤼소스의 금고 털기,아데나 던전 몬스터 처치,아데나 던전에서 몬스터를 14마리 처치하세요.,81,18100,14,10,,113,0,,6,500001,15,6,500051,3,1,,10000,7,,,7,,
209,3,1,8,이계의 틈 정복,경험치 던전 몬스터 처치,경험치 던전에서 몬스터를 75마리 처치하세요.,81,18200,75,8,,112,0,,6,500002,10,6,500052,3,1,,10000,7,,,7,,
210,1,1,8,이계의 틈 정복,경험치 던전 몬스터 처치,경험치 던전에서 몬스터를 100마리 처치하세요.,81,18200,100,8,,112,0,,6,500003,10,6,500053,5,1,,10000,7,,,7,,
211,3,1,8,봉인된 입구 탐사,소환석 던전 몬스터 처치,소환석 던전에서 몬스터를 30마리 처치하세요.,81,18300,30,91,,114,0,,6,500003,10,6,500071,10,6,500119,2,7,,,7,,
212,1,1,8,봉인된 입구 탐사,소환석 던전 몬스터 처치,소환석 던전에서 몬스터를 60마리 처치하세요.,81,18300,60,91,,114,0,,6,500051,3,6,500071,10,6,500119,2,7,,,7,,
301,1,1,6,마물 소환석(희귀) 정화,희귀 몬스터 소환석 몬스터 처치,"희귀 몬스터 소환석을 사용하고, 던전 내 몬스터를 50마리 처치하세요.",81,20000,50,69,,,0,,6,500052,3,6,500071,10,6,500119,2,7,,,7,,
302,2,1,6,마물 소환석(희귀) 정화,희귀 몬스터 소환석 몬스터 처치,"희귀 몬스터 소환석을 사용하고, 던전 내 몬스터를 100마리 처치하세요.",81,20000,100,69,,,0,,6,500053,5,6,500071,10,6,400001,1500,7,,,7,,
303,3,1,9,마물 소환석(보스) 정화,보스 몬스터 소환석 몬스터 처치,"보스 몬스터 소환석을 사용하고, 던전 내 몬스터를 1마리 처치하세요.",81,20001,1,69,,,0,,6,500051,3,6,500052,3,6,400001,1500,7,,,7,,
351,2,1,10,학살자,플레이어 PK,다른 플레이어를 5회 PK하세요.,82,,5,149,,,0,,6,500052,3,6,500053,5,6,400001,1500,7,,,7,,
352,3,1,10,학살자,플레이어 PK,다른 플레이어를 10회 PK하세요.,82,,10,149,,,0,,6,500052,3,6,500053,5,6,500071,10,7,,,7,,
401,1,1,9,정령 목자 처치,말하는 섬 서부 필드 보스 처치,말하는 섬 서부의 보스 정령 목자를 1회 처치하세요.,83,20298,1,149,800101,,0,,6,500051,3,6,500052,3,6,500071,10,7,,,7,,
402,2,1,9,조디악 처치,글루딘 가도 필드 보스 처치,글루딘 가도의 보스 조디악을 1회 처치하세요.,83,20398,1,149,800102,,0,,6,500001,15,6,500002,10,1,,10000,7,,,7,,
403,3,1,9,은빛 수염 처치,글루디오 평원 필드 보스 처치,글루디오 평원의 보스 은빛 수염을 1회 처치하세요.,83,20498,1,149,800103,,0,,6,500002,10,6,500003,10,1,,10000,7,,,7,,
404,1,1,9,베파르 처치,윈다우드 장원 필드 보스 처치,윈다우드 장원 의 보스 베파르를 1회 처치하세요.,83,20598,1,149,800104,,0,,6,500001,15,6,500002,10,6,500003,10,7,,,7,,
405,2,1,9,카지르 처치,황무지 필드 보스 처치,황무지의 보스 카지르를 1회 처치하세요.,83,20698,1,149,800105,,0,,6,500001,15,6,500051,3,1,,10000,7,,,7,,
406,3,1,9,플레곤 처치, 디온 목초지 필드 보스 처치,디온 목초지의 보스 플레곤을 1회 처치하세요.,83,20798,1,149,800106,,0,,6,500002,10,6,500052,3,1,,10000,7,,,7,,
407,1,1,9,시스 처치,크루마 늪지 필드 보스 처치,크루마 늪지의 보스 시스를 1회 처치하세요.,83,20898,1,149,800107,,0,,6,500003,10,6,500053,5,1,,10000,7,,,7,,
408,2,1,9,아마데우스 처치,투쟁의 봉우리 필드 보스 처치,투쟁의 봉우리의 보스 아마데우스를 1회 처치하세요.,83,20998,1,149,800108,,0,,6,500003,10,6,500071,10,6,500119,2,7,,,7,,
409,3,1,9,스테노아 처치,기란 자치령 필드 보스 처치,기란 자치령의 보스 스테노아를 1회 처치하세요.,83,21198,1,149,800109,,0,,6,500051,3,6,500071,10,6,500119,2,7,,,7,,
410,1,1,9,마샤 처치,죽음 안개 해안 필드 보스 처치,죽음 안개 해안의 보스 마샤를 1회 처치하세요.,83,21298,1,149,800110,,0,,6,500052,3,6,500071,10,6,500119,2,7,,,7,,
411,2,1,9,마락스 처치,죽음의 연도 필드 보스 처치,죽음의 연도의 보스 마락스를 1회 처치하세요.,83,21498,1,149,800111,,0,,6,500053,5,6,500071,10,6,400001,1500,7,,,7,,
1001,1,2,3,매일매일 부지런히,일일 퀘스트 수행,일일 퀘스트 10개를 수행하세요.,130,,10,46,,19,0,50,1,,3000,31,,,31,,,3,500061,7,6,,35
1002,2,2,3,매주매주 부지런히,주간 퀘스트 수행,주간 퀘스트를 20개를 클리어하세요.,131,,20,47,,20,0,50,1,,3000,31,,,31,,,3,500062,5,5,,70
1011,1,2,3,아데나 수급에는 스크롤,C급 이상 퀘스트 스크롤 완료,C급 이상 퀘스트 스크롤을 7번 완료하세요.,220,C,7,69,,,0,50,1,,3000,31,,,31,,,3,500063,5,6,,35
1012,1,2,3,아데나 수급에는 스크롤,B급 이상 퀘스트 스크롤 완료,B급 이상 퀘스트 스크롤을 5번 완료하세요.,220,B,5,69,,,0,50,6,490022,1,31,,,31,,,3,500081,15,5,,70
1013,2,2,3,아데나 수급에는 스크롤,A급 이상 퀘스트 스크롤 완료,A급 이상 퀘스트 스크롤을 3번 완료하세요.,220,A,3,69,,,0,50,6,490022,1,31,,,31,,,6,,35,5,,70
1014,3,2,3,아데나 수급에는 스크롤,S급 이상 퀘스트 스크롤 완료,S급 이상 퀘스트 스크롤을 1번 완료하세요.,220,S,1,69,,,0,50,6,490022,1,31,,,31,,,5,,70,3,500061,7
1031,1,2,1,치고 또 치고,콤보 달성,연속 공격으로 150콤보를 달성하세요.,14,,150,149,,,0,50,6,490022,1,31,,,31,,,3,500061,7,3,500062,5
1032,2,2,1,압도적 일격,단일 공격으로 최대 대미지 달성,단일 공격으로 적에게 1000000 이상의 대미지를 달성하세요.,11,1000000,1,149,,,0,50,6,490022,1,31,,,31,,,3,500062,5,3,500063,5
1101,3,2,1,몬스터 학살자,일반 몬스터 처치,몬스터를 1000마리 처치하세요.,80,All,1000,149,,,0,50,6,500119,1,31,,,31,,,3,500081,15,6,,35
1102,2,2,1,정예 몬스터 학살자,정예 몬스터 처치,정예 몬스터를 500마리 처치하세요.,80,Elite,500,6,,,0,50,6,500119,1,31,,,31,,,3,500061,7,3,500081,15
1103,3,2,1,보스 몬스터 학살자,보스 몬스터 처치,보스 몬스터를 3마리 처치하세요.,80,Hero,3,149,,,0,50,6,500119,1,31,,,31,,,3,500062,5,3,500081,15
1104,2,2,5,전직 퀘스트 마니또,키리오스 처치,키리오스를 1회 처치하세요.,83,20471,1,149,10001,,0,50,6,500119,1,31,,,31,,,3,500063,5,3,500081,15
1105,2,2,1,정원의 수호자,정원의 수호자 처치,채집 던전에서 정원의 수호자를 1회 처치하세요.,83,305,1,5,,29,0,50,1,,3000,31,,,31,,,3,500061,7,6,,35
1106,1,2,1,채집 던전 마니아,만드라고라 처치,채집 던전에서 만드라고라를 3회 처치하세요.,83,304,3,5,,29,0,50,1,,3000,31,,,31,,,3,500062,5,5,,70
1107,3,2,1,녹빛 채집 던전,그린 라텔 로버스트 처치,채집 던전에서 그린 라텔 로버스트를 1회 처치하세요.,83,301,1,5,,29,0,50,1,,3000,31,,,31,,,3,500063,5,6,,35
1108,1,2,1,은빛 채집 던전,실버 라텔 로버스트 처치,채집 던전에서 실버 라텔 로버스트를 1회 처치하세요.,83,302,1,5,,29,0,50,6,490022,1,31,,,31,,,3,500081,15,5,,70
1109,3,2,1,금빛 채집 던전,골드 라텔 로버스트 처치,채집 던전에서 골드 라텔 로버스트를 1회 처치하세요.,83,303,1,5,,29,0,50,6,490022,1,31,,,31,,,6,,35,5,,70
1151,1,2,1,바르칼론 처치 사전 작업,혈맹 던전(바르칼론) 내 몬스터 처치,혈맹 던전(바르칼론)에서 몬스터를 50마리 처치하세요.,81,300201,50,15,,116,0,50,6,490022,1,31,,,31,,,5,,70,3,500061,7
1152,2,2,1,여왕개미 처치 사전 작업,혈맹 던전(여왕개미) 내 몬스터 처치,혈맹 던전(여왕개미)에서 몬스터를 50마리 처치하세요.,81,300203,50,15,,117,0,50,6,490022,1,31,,,31,,,3,500061,7,3,500062,5
1153,3,2,1,크루마 코어 처치 사전 작업,혈맹 던전(크루마 코어) 내 몬스터 처치,혈맹 던전(크루마 코어)에서 몬스터를 50마리 처치하세요.,81,300205,50,15,,123,0,50,6,490022,1,31,,,31,,,3,500062,5,3,500063,5
1201,1,2,1,결투장 견학,결투장 참여,결투장에 7회 참여하세요.,141,,7,1,,10,0,50,6,500119,1,31,,,31,,,3,500081,15,6,,35
1202,2,2,1,결투장 정복,결투장에서 승리,결투장에서 7회 승리하세요.,142,,7,1,,10,0,50,6,500119,1,31,,,31,,,3,500061,7,3,500081,15
1203,3,2,1,결투장 연승,결투장에서 연승,결투장에서 7번 연승하세요.,140,7,1,1,,10,0,50,6,500119,1,31,,,31,,,3,500062,5,3,500081,15
1301,3,2,1,요일 던전 정복,요일 던전(어려움 이상) 클리어,요일 던전 어려움 난이도 이상을 3회 클리어 하세요.,95,Hard,3,7,,104,0,50,6,500119,1,31,,,31,,,3,500063,5,3,500081,15
1303,3,2,3,하늘을 향해,오만의 탑 소탕,오만의 탑을 3회 소탕하세요.,93,,3,9,,15,0,50,1,,3000,31,,,31,,,3,500061,7,6,,35
1304,2,2,2,약초왕,채집 던전 약초 채집,채집 던전에서 30개의 약초를 채집하세요.,97,,30,5,,29,0,50,1,,3000,31,,,31,,,3,500062,5,5,,70
1306,3,2,1,크뤼소스의 금고 마스터,아데나 던전(어려움 이상) SS 이상 클리어,"아데나 던전 어려움 이상의 난이도를
SS등급 이상으로 2번 클리어 하세요.",221,Hard,2,10,,113,0,50,1,,3000,31,,,31,,,3,500063,5,6,,35
1307,1,2,1,크뤼소스의 금고 매니아,아데나 던전 클리어 및 콤보 달성,아데나 던전에서 50콤보를 달성해서 클리어 하세요.,222,50,1,10,,113,0,50,6,490022,1,31,,,31,,,3,500081,15,5,,70
1308,3,2,1,이계의 틈 정복,경험치 던전(어려움 이상) SSS 클리어,"경험치 던전 어려움 이상의 난이도를
SSS등급으로 2번 클리어 하세요.",223,Hard,2,8,,112,0,50,6,490022,1,31,,,31,,,6,,35,5,,70
1401,1,2,1,어둠의 군주 처치,바르칼론(쉬움) 처치,바르칼론의 흔적(쉬움)의 바르칼론을 1회 처치하세요.,83,301001,1,15,,116,0,50,6,490022,1,31,,,31,,,5,,70,3,500061,7
1402,2,2,1,어둠의 군주 처치,바르칼론(보통) 처치,바르칼론의 흔적(보통)의 바르칼론을 1회 처치하세요.,83,301101,1,15,,116,0,50,6,490022,1,31,,,31,,,3,500061,7,3,500062,5
1403,2,2,1,어둠의 군주 처치,바르칼론(어려움) 처치,바르칼론의 흔적(어려움)의 바르칼론을 1회 처치하세요.,83,301201,1,15,,116,0,50,6,490022,1,31,,,31,,,3,500062,5,3,500063,5
1404,3,2,1,어둠의 군주 처치,바르칼론(매우 어려움) 처치,바르칼론의 흔적(매우 어려움)의 바르칼론을 1회 처치하세요.,83,301301,1,15,,116,0,50,6,500119,1,31,,,31,,,3,500081,15,6,,35
