GroupId,SpecificLimitBreakCount,SpecificLimitBreakLevelType,SpecificLimitBreakRequireItemId,SpecificLimitBreakRequireItemCount,SpecificLimitBreakCommonItemId,SpecificLimitBreakCommonItemCount,SpecificLimitBreakAdenaCost,SpecificLimitBreakSuccessRate
71008,9,1,1300008,1,490086,1,103000,2000
71008,10,1,1300008,1,490086,1,124000,1000
71009,1,1,1300009,1,490086,1,24000,10000
71009,2,1,1300009,1,490086,1,29000,9000
71009,3,1,1300009,1,490086,1,35000,8000
71009,4,1,1300009,1,490086,1,41000,7000
71009,5,1,1300009,1,490086,1,50000,6000
71009,6,1,1300009,1,490086,1,60000,5000
71009,7,1,1300009,1,490086,1,72000,4000
71009,8,1,1300009,1,490086,1,86000,3000
71009,9,1,1300009,1,490086,1,103000,2000
71009,10,1,1300009,1,490086,1,124000,1000
1,1,2,470005,1,490087,1,25000,5000
1,2,2,470005,2,490087,2,27500,4500
1,3,2,470005,2,490087,2,30000,4000
1,4,2,470005,3,490087,3,32500,3500
1,5,2,470005,3,490087,3,35000,3000
1,6,2,470005,4,490087,4,37500,2500
1,7,2,470005,4,490087,4,40000,2000
1,8,2,470005,5,490087,5,42500,1500
1,9,2,470005,5,490087,5,45000,1000
1,10,2,470005,6,490087,6,45000,1000
2,1,2,470004,1,490087,1,25000,5000
2,2,2,470004,2,490087,2,27500,4500
2,3,2,470004,2,490087,2,30000,4000
2,4,2,470004,3,490087,3,32500,3500
2,5,2,470004,3,490087,3,35000,3000
2,6,2,470004,4,490087,4,37500,2500
2,7,2,470004,4,490087,4,40000,2000
2,8,2,470004,5,490087,5,42500,1500
2,9,2,470004,5,490087,5,45000,1000
2,10,2,470004,6,490087,6,45000,1000
3,1,2,470003,1,490087,1,25000,5000
3,2,2,470003,2,490087,2,27500,4500
3,3,2,470003,2,490087,2,30000,4000
3,4,2,470003,3,490087,3,32500,3500
3,5,2,470003,3,490087,3,35000,3000
3,6,2,470003,4,490087,4,37500,2500
3,7,2,470003,4,490087,4,40000,2000
3,8,2,470003,5,490087,5,42500,1500
3,9,2,470003,5,490087,5,45000,1000
3,10,2,470003,6,490087,6,45000,1000
4,1,2,470007,1,490087,1,50000,5000
4,2,2,470007,1,490087,1,55000,4500
4,3,2,470007,1,490087,1,60000,4000
4,4,2,470007,2,490087,2,65000,3500
4,5,2,470007,2,490087,2,70000,3000
4,6,2,470007,2,490087,2,75000,2500
4,7,2,470007,2,490087,2,80000,2000
4,8,2,470007,3,490087,3,85000,1500
4,9,2,470007,3,490087,3,90000,1000
4,10,2,470007,3,490087,3,90000,1000
5,1,2,470006,1,490087,1,50000,5000
5,2,2,470006,1,490087,1,55000,4500
5,3,2,470006,1,490087,1,60000,4000
5,4,2,470006,2,490087,2,65000,3500
5,5,2,470006,2,490087,2,70000,3000
5,6,2,470006,2,490087,2,75000,2500
5,7,2,470006,2,490087,2,80000,2000
5,8,2,470006,3,490087,3,85000,1500
5,9,2,470006,3,490087,3,90000,1000
5,10,2,470006,3,490087,3,90000,1000
6,1,2,470008,1,490087,1,50000,5000
6,2,2,470008,1,490087,1,55000,4500
6,3,2,470008,1,490087,1,60000,4000
6,4,2,470008,2,490087,2,65000,3500
6,5,2,470008,2,490087,2,70000,3000
6,6,2,470008,2,490087,2,75000,2500
6,7,2,470008,2,490087,2,80000,2000
6,8,2,470008,3,490087,3,85000,1500
6,9,2,470008,3,490087,3,90000,1000
6,10,2,470008,3,490087,3,90000,1000
7,1,2,470009,1,490087,1,50000,5000
7,2,2,470009,1,490087,1,55000,4500
7,3,2,470009,1,490087,1,60000,4000
7,4,2,470009,2,490087,2,65000,3500
7,5,2,470009,2,490087,2,70000,3000
7,6,2,470009,2,490087,2,75000,2500
7,7,2,470009,2,490087,2,80000,2000
7,8,2,470009,3,490087,3,85000,1500
7,9,2,470009,3,490087,3,90000,1000
7,10,2,470009,3,490087,3,90000,1000
