Id,Name,DelayTime,Duration,PeriodCount,CollisionUnitType,CollisionUnitParam,AutoIncreaseCollisionArea,Resource,DirAlign,Hide,HideTime,EffectRepeatAble
71032,다크 싸이드 스핀,1940,1500,7,0,"""radius"": 300",,,1,0,,0
71072,파이어 브레스,2400,6000,11,2,"left:100, ""right"":100, ""front"":800, ""back"":0",,,1,0,,0
71073,보레아스 스킬 02,2450,4000,1,0,"""radius"": 200",,BP/BP_PTC_BoreasBossSkill_02,1,0,,0
71472,파이어 브레스,2400,6000,11,2,"left:100, ""right"":100, ""front"":800, ""back"":0",,,1,0,,0
71580,요일 던전(일) - 영웅 난이도_피그메_방어 무시,3027,2,1,0,"""radius"": 250",,,1,0,,0
73012,나이트메어,2220,5000,5,0,"""radius"": 400",,BP/BP_PTC_GuillotineBossSkill_02,1,0,,0
73032,OrfenBossSkill_02,2970,5000,5,0,"""radius"": 100",,BP/BP_PTC_OrfenBossSkill_02,1,0,,0
74031,토템 스트라이크,1980,500,0,0,"""radius"": 750",,,1,0,,0
74032,콜 라이트닝,2677,500,0,0,"""radius"": 750",,,1,0,,0
74051,독 구덩이,3220,5000,5,0,"""radius"": 500",,BP/BP_PTC_ShelobBossSkill_01,1,0,,0
74062,썬더 스톰,1280,500,0,0,"""radius"": 750",,BP/BP_PTC_SkillLighteningField,1,0,,0
74071,독기의 늪,2200,30000,30,0,"""radius"": 170",,BP/BP_PTC_SerpentSlaveBossSkill_01,1,0,,0
74131,마샤의 독,0,3000,3,0,"""radius"": 250",,BP/BP_PTC_SerpentSlaveBossSkill_01,1,0,,0
74132,메두사의 저주,5500,1000,1,0,"""radius"": 250",,BP/BP_PTC_MedusaBossSkill_02,1,0,,0
720231,호르몬 방출,0,8000,5,0,"""radius"": 200",,BP/BP_PTC_QueenAntBossSkill_02,1,0,,0
1720231,호르몬 방출,500,12000,12,0,"""radius"": 350",,BP/BP_PTC_QueenAntBossSkill_02,1,0,,0
1504021,하딘 라이트닝 필드,500,500,4,0,"""radius"": 300",,BP/BP_PTC_SkillLighteningField,1,0,,0
7204311,타임 리셋,3000,100,1,0,"""radius"": 1000",,,1,0,,0
7204321,타임 리셋,3000,100,1,0,"""radius"": 1000",,,1,0,,0
7204331,타임 리셋,3000,100,1,0,"""radius"": 1000",,,1,0,,0
601252,님프 퀸 라라 스킬02,2333,5000,10,0,"""radius"": 300",,BP/BP_PTC_NymphQueenSkill_02,1,0,,0
601451,DarkAssociation_M_HighSkill_02,1474,3000,6,0,"""radius"": 500",,,1,0,,0
741352,마샤:칼날 바람,0,1,4,0,"""radius"": 400",,,1,0,,0
8010441,근접 데미지 오오라,0,1,4,0,"""radius"": 400",,,1,0,,0
805000,파티 던전 보스 장판 스킬 (Circle),500,5000,5,0,"""radius"":1000",200,,1,0,,0
805001,파티 던전 보스 장판 스킬 (Fan),500,5000,5,1,"""radius"":500,""angle"":160",100,,1,0,,0
805002,파티 던전 보스 장판 스킬 (Obb),500,5000,5,2,"""left"":100, ""right"":100, ""front"":500, ""back"":0",100,,1,0,,0
805003,파티 던전 보스 장판 스킬 (Donut),500,5000,5,4,"""minRadius"":250, ""maxRadius"":500",50,,1,0,,0
60177,판의 장판,500,4000,8,0,"""radius"": 420",,BP/BP_PTC_EquipPanSkill_02,1,0,,0
72040,파멸의 웅덩이,500,18000,18,0,"""radius"": 220",,BP/BP_PTC_DeathKnightBossSkill_08,1,0,,0
1720223,독 웅덩이,500,10000,10,0,"""radius"": 150",,BP/BP_PTC_QueenAntBossSkill_08,1,0,,0
17203181,맹독,1111,300000,1000,0,"""radius"": 500",,BP/BP_PTC_QueenAntBossSkill_11,1,0,,0
411004,부식성 산,1000,6000,5,0,"""radius"": 200",,BP/BP_PTC_GiantLeechSkill_02,1,0,,0
412004,부식성 산,1000,6000,5,0,"""radius"": 200",,BP/BP_PTC_GiantLeechSkill_02,1,0,,0
413004,부식성 산,1000,6000,5,0,"""radius"": 200",,BP/BP_PTC_GiantLeechSkill_02,1,0,,0
413012,끓어오르는 피,500,5000,10,0,"""radius"": 150",,BP/BP_PTC_MysticalWeaverSkill_02,1,0,,0
413023,피의 격류 : 파도,0,2000,3,0,"""radius"": 200",400,BP/BP_PTC_Trisha_BossSkill_06_01,1,0,,0
414004,부식성 산,1000,6000,5,0,"""radius"": 200",,BP/BP_PTC_GiantLeechSkill_02,1,0,,0
414012,끓어오르는 피,500,5000,10,0,"""radius"": 150",,BP/BP_PTC_MysticalWeaverSkill_02,1,0,,0
414023,피의 격류 : 파도,0,2000,3,0,"""radius"": 200",400,BP/BP_PTC_Trisha_BossSkill_06_01,1,0,,0
74113,마락스 : 스톤 펀치,0,2600,2,0,"""radius"": 400",,,1,0,,0
30015,디팬스 존,0,6000,6,0,"""radius"": 400",,BP/BP_PTC_SkillDefenceZone,1,0,,0
401023,화염 지대,500,10000,10,0,"""radius"": 400",,BP/BP_PTC_Boranta_BossSkill_01_Blaze,1,0,,0
401008,라모그 친위대 폭탄병 : 폭탄 투척,3000,1000,1,0,"""radius"": 300",,BP/BP_PTC_KetraOrcWarriorSkill_02,1,0,,0
401016,광기의 자폭병 : 자폭,1200,1000,1,0,"""radius"": 400",,BP/BP_PTC_KetraOrcWarriorSkill_02,1,0,,0
401210,파아그리오 대폭발,0,1000,1,0,"""radius"": 5000",,BP/BP_PTC_AlterOfMadness_PaagrioSkill_01,1,0,,0
4011021,불씨 폭발: 화염 지대,500,10000,10,0,"""radius"": 300",,BP/BP_PTC_Boranta_BossSkill_01_Blaze,1,0,,0
401114,화염 지옥,1000,10000,10,0,"""radius"": 300",,BP/BP_PTC_Boranta_BossSkill_01_Blaze,1,0,,0
2000001,폭죽1,0,12000,1,0,"""radius"": 300",,BP/BP_PTC_Common_Firecracker_01,1,0,,0
2000002,폭죽2,0,12000,1,0,"""radius"": 300",,BP/BP_PTC_Common_Firecracker_02,1,0,,0
2000003,폭죽3,0,12000,1,0,"""radius"": 300",,BP/BP_PTC_Common_Firecracker_03,1,0,,0
2000004,폭죽4,0,12000,1,0,"""radius"": 300",,BP/BP_PTC_Common_Firecracker_04,1,0,,0
2000005,폭죽5,0,12000,1,0,"""radius"": 300",,BP/BP_PTC_Halloween_Firecracker_01,1,0,,0
2000006,폭죽6,0,12000,1,0,"""radius"": 300",,BP/BP_PTC_Halloween_Firecracker_02,1,0,,0
2000007,폭죽7,0,12000,1,0,"""radius"": 300",,BP/BP_PTC_Valentine_Firecracker_01,1,0,,0
2000008,폭죽8,0,12000,1,0,"""radius"": 300",,BP/BP_PTC_Valentine_Firecracker_02,1,0,,0
730212,파도,0,2000,3,0,"""radius"": 200",400,,1,0,,0
731351,자켄 해적단 포병,2250,1,1,0,"""radius"": 300",,BP/BP_PTC_ZombieCannonAttack,1,0,,0
731401,자켄 해적단 전투원,0,2,2,0,"""radius"": 400",,,1,0,,0
1540031,에르제베트 : 불기둥,0,5000,14,0,"""radius"": 150",,BP/BP_PTC_Resident_01_BossSkill_02,1,0,,0
601651,용의 계곡 퀘스트용 스킬,0,1000,1,0,"""radius"": 200",,BP/BP_PTC_QuestSkill_01,1,0,,0
58182,에테우스 : 다크 사이드 스핀,1940,1500,7,0,"""radius"": 300",,,1,0,,0
415004,부식성 산,1000,6000,5,0,"""radius"": 200",,BP/BP_PTC_GiantLeechSkill_02,1,0,,0
415012,끓어오르는 피,500,5000,10,0,"""radius"": 150",,BP/BP_PTC_MysticalWeaverSkill_02,1,0,,0
415023,피의 격류 : 파도,0,2000,3,0,"""radius"": 200",400,BP/BP_PTC_Trisha_BossSkill_06_01,1,0,,0
40020101,그물 던지기,1800,1,1,0,"""radius"": 200",,,1,0,,0
40020109,대지 파괴,3027,1,1,0,"""radius"": 250",,,1,0,,0
40020111,폭발 투창,1993,500,1,0,"""radius"": 250",,BP/BP_PTC_GiantStatuePeltastSkill_01,1,0,,0
40020126,불씨 폭발,1500,1,1,0,"""radius"": 200",,BP/BP_PTC_TerribleHitSkill_TempleOfCreation,1,0,,0
40020129,대폭발,1,1,1,0,"""radius"": 4000",,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,0,,0
40020155,과전류,1972,1000,1,0,"""radius"": 200",,BP/BP_PTC_DikeBossSkill_04,1,0,,0
40020161,정화의 시험 : 정화 - 불,1,3000,1,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,0,,0
40020162,정화의 시험 : 정화 - 물,1,3000,1,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Water,1,0,,0
40020163,정화의 시험 : 정화 - 대지,1,3000,1,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Earth,1,0,,0
40020164,정화의 시험 : 정화 - 바람,1,3000,1,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Wind,1,0,,0
40020167,불씨 확산,1,1,1,0,"""radius"": 200",,,1,0,,0
40020131,원소의 기둥 : 낙뢰,1000,1,1,0,"""radius"": 200",,BP/BP_PTC_HagiosColumnSkill_02,1,0,,0
40020173,기둥 강타,500,1,1,0,"""radius"": 200",,,1,0,,0
40020201,그물 던지기,1800,1,1,0,"""radius"": 200",,,1,0,,0
40020209,대지 파괴,3027,1,1,0,"""radius"": 250",,,1,0,,0
40020211,폭발 투창,1993,500,1,0,"""radius"": 250",,BP/BP_PTC_GiantStatuePeltastSkill_01,1,0,,0
40020226,불씨 폭발,1500,1,1,0,"""radius"": 200",,BP/BP_PTC_TerribleHitSkill_TempleOfCreation,1,0,,0
40020229,대폭발,1,1,1,0,"""radius"": 4000",,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,0,,0
40020255,과전류,1972,1000,1,0,"""radius"": 200",,BP/BP_PTC_DikeBossSkill_04,1,0,,0
40020261,정화의 시험 : 정화 - 불,1,3000,1,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,0,,0
40020262,정화의 시험 : 정화 - 물,1,3000,1,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Water,1,0,,0
40020263,정화의 시험 : 정화 - 대지,1,3000,1,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Earth,1,0,,0
40020264,정화의 시험 : 정화 - 바람,1,3000,1,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Wind,1,0,,0
40020267,불씨 확산,1,1,1,0,"""radius"": 200",,,1,0,,0
40020231,원소의 기둥 : 낙뢰,1000,1,1,0,"""radius"": 200",,BP/BP_PTC_HagiosColumnSkill_02,1,0,,0
40020273,기둥 강타,500,1,1,0,"""radius"": 200",,,1,0,,0
40020301,그물 던지기,1800,1,1,0,"""radius"": 200",,,1,0,,0
40020309,대지 파괴,3027,1,1,0,"""radius"": 250",,,1,0,,0
40020311,폭발 투창,1993,500,1,0,"""radius"": 250",,BP/BP_PTC_GiantStatuePeltastSkill_01,1,0,,0
40020326,불씨 폭발,1500,1,1,0,"""radius"": 200",,BP/BP_PTC_TerribleHitSkill_TempleOfCreation,1,0,,0
40020329,대폭발,1,1,1,0,"""radius"": 4000",,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,0,,0
40020355,과전류,1972,1000,1,0,"""radius"": 200",,BP/BP_PTC_DikeBossSkill_04,1,0,,0
40020361,정화의 시험 : 정화 - 불,1,3000,1,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,0,,0
40020362,정화의 시험 : 정화 - 물,1,3000,1,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Water,1,0,,0
40020363,정화의 시험 : 정화 - 대지,1,3000,1,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Earth,1,0,,0
40020364,정화의 시험 : 정화 - 바람,1,3000,1,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Wind,1,0,,0
40020367,불씨 확산,1,1,1,0,"""radius"": 200",,,1,0,,0
40020331,원소의 기둥 : 낙뢰,1000,1,1,0,"""radius"": 200",,BP/BP_PTC_HagiosColumnSkill_02,1,0,,0
40020373,기둥 강타,500,1,1,0,"""radius"": 200",,,1,0,,0
40020401,그물 던지기,1800,1,1,0,"""radius"": 200",,,1,0,,0
40020409,대지 파괴,3027,1,1,0,"""radius"": 250",,,1,0,,0
40020411,폭발 투창,1993,500,1,0,"""radius"": 250",,BP/BP_PTC_GiantStatuePeltastSkill_01,1,0,,0
40020426,불씨 폭발,1500,1,1,0,"""radius"": 200",,BP/BP_PTC_TerribleHitSkill_TempleOfCreation,1,0,,0
40020429,대폭발,1,1,1,0,"""radius"": 4000",,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,0,,0
40020455,과전류,1972,1000,1,0,"""radius"": 200",,BP/BP_PTC_DikeBossSkill_04,1,0,,0
40020461,정화의 시험 : 정화 - 불,1,3000,1,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,0,,0
40020462,정화의 시험 : 정화 - 물,1,3000,1,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Water,1,0,,0
40020463,정화의 시험 : 정화 - 대지,1,3000,1,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Earth,1,0,,0
40020464,정화의 시험 : 정화 - 바람,1,3000,1,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Wind,1,0,,0
40020467,불씨 확산,1,1,1,0,"""radius"": 200",,,1,0,,0
40020431,원소의 기둥 : 낙뢰,1000,1,1,0,"""radius"": 200",,BP/BP_PTC_HagiosColumnSkill_02,1,0,,0
40020473,기둥 강타,500,1,1,0,"""radius"": 200",,,1,0,,0
24500502,거인의 독,1491,60000,60,0,"""radius"": 200",,BP/BP_PTC_ClassTransferQuest_Boss_Skill_01,1,0,,0
24500901,작열 구슬,1000,1000,1,0,"""radius"": 200",,BP/BP_PTC_BoreasBossSkill_02,1,0,,0
24601904,저주의 폭탄 : 자폭,1000,100,1,0,"""radius"": 200",,BP/BP_PTC_EsdeathSkill_02,1,0,,0
24601604,파괴의 빛,2000,1000,1,0,"""radius"": 200",,BP/BP_PTC_EsdeathSkill_01,1,0,,0
245015071,스타폴,750,300,1,0,"""radius"": 200",,BP/BP_PTC_SkillStarFall,0,0,,0
24501602,마그너스 : 스톤 펀치,0,2600,2,0,"""radius"": 400",,,1,0,,0
24801002,끝없는 어둠,0,6212,6,0,"""radius"": 500",,BP/BP_PTC_CronosBossSkill_04,1,0,,0
24801004,몰아치는 낙뢰,750,300,1,0,"""radius"": 200",,BP/BP_PTC_CronosBossSkill_01,1,0,,0
990131,망토 착용효과 - 하기오스의 낙뢰 발동 Lv1,0,1,0,0,"""radius"": 750",,,0,0,,0
990132,망토 착용효과 - 하기오스의 낙뢰 발동 Lv2,0,1,0,0,"""radius"": 750",,,0,0,,0
990133,망토 착용효과 - 하기오스의 낙뢰 발동 Lv3,0,1,0,0,"""radius"": 750",,,0,0,,0
990134,망토 착용효과 - 하기오스의 낙뢰 발동 Lv4,0,1,0,0,"""radius"": 750",,,0,0,,0
990135,망토 착용효과 - 하기오스의 낙뢰 발동 Lv5,0,1,0,0,"""radius"": 750",,,0,0,,0
990136,망토 착용효과 - 하기오스의 낙뢰 발동 Lv6,0,1,0,0,"""radius"": 750",,,0,0,,0
990137,망토 착용효과 - 하기오스의 낙뢰 발동 Lv7,0,1,0,0,"""radius"": 750",,,0,0,,0
990138,망토 착용효과 - 하기오스의 낙뢰 발동 Lv8,0,1,0,0,"""radius"": 750",,,0,0,,0
990139,망토 착용효과 - 하기오스의 낙뢰 발동 Lv9,0,1,0,0,"""radius"": 750",,,0,0,,0
990140,망토 착용효과 - 하기오스의 낙뢰 발동 Lv10,0,1,0,0,"""radius"": 750",,,0,0,,0
990141,망토 착용효과 - 하기오스의 낙뢰 발동 Lv11,0,1,0,0,"""radius"": 750",,,0,0,,0
990142,망토 착용효과 - 하기오스의 낙뢰 발동 Lv12,0,1,0,0,"""radius"": 750",,,0,0,,0
990143,망토 착용효과 - 하기오스의 낙뢰 발동 Lv13,0,1,0,0,"""radius"": 750",,,0,0,,0
990144,망토 착용효과 - 하기오스의 낙뢰 발동 Lv14,0,1,0,0,"""radius"": 750",,,0,0,,0
990145,망토 착용효과 - 하기오스의 낙뢰 발동 Lv15,0,1,0,0,"""radius"": 750",,,0,0,,0
990146,망토 착용효과 - 하기오스의 낙뢰 발동 Lv16,0,1,0,0,"""radius"": 750",,,0,0,,0
990147,망토 착용효과 - 하기오스의 낙뢰 발동 Lv17,0,1,0,0,"""radius"": 750",,,0,0,,0
990148,망토 착용효과 - 하기오스의 낙뢰 발동 Lv18,0,1,0,0,"""radius"": 750",,,0,0,,0
990149,망토 착용효과 - 하기오스의 낙뢰 발동 Lv19,0,1,0,0,"""radius"": 750",,,0,0,,0
990150,망토 착용효과 - 하기오스의 낙뢰 발동 Lv20,0,1,0,0,"""radius"": 750",,,0,0,,0
990151,망토 착용효과 - 하기오스의 낙뢰 발동 Lv21,0,1,0,0,"""radius"": 750",,,0,0,,0
990152,망토 착용효과 - 하기오스의 낙뢰 발동 Lv22,0,1,0,0,"""radius"": 750",,,0,0,,0
990153,망토 착용효과 - 하기오스의 낙뢰 발동 Lv23,0,1,0,0,"""radius"": 750",,,0,0,,0
990154,망토 착용효과 - 하기오스의 낙뢰 발동 Lv24,0,1,0,0,"""radius"": 750",,,0,0,,0
990155,망토 착용효과 - 하기오스의 낙뢰 발동 Lv25,0,1,0,0,"""radius"": 750",,,0,0,,0
990156,망토 착용효과 - 하기오스의 낙뢰 발동 Lv26,0,1,0,0,"""radius"": 750",,,0,0,,0
990157,망토 착용효과 - 하기오스의 낙뢰 발동 Lv27,0,1,0,0,"""radius"": 750",,,0,0,,0
990158,망토 착용효과 - 하기오스의 낙뢰 발동 Lv28,0,1,0,0,"""radius"": 750",,,0,0,,0
990159,망토 착용효과 - 하기오스의 낙뢰 발동 Lv29,0,1,0,0,"""radius"": 750",,,0,0,,0
990160,망토 착용효과 - 하기오스의 낙뢰 발동 Lv30,0,1,0,0,"""radius"": 750",,,0,0,,0
990161,망토 착용효과 - 하기오스의 낙뢰 발동 Lv30 (스턴 효과 추가),0,1,0,0,"""radius"": 750",,,0,0,,0
990431,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv1,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990432,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv2,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990433,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv3,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990434,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv4,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990435,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv5,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990436,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv6,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990437,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv7,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990438,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv8,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990439,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv9,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990440,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv10,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990441,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv11,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990442,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv12,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990443,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv13,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990444,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv14,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990445,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv15,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990446,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv16,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990447,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv17,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990448,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv18,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990449,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv19,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990450,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv20,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990451,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv21,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990452,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv22,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990453,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv23,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990454,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv24,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990455,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv25,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990456,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv26,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990457,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv27,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990458,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv28,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990459,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv29,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
990460,망토 착용효과 - 각성한 엠브리온의 대지파괴 Lv30,750,1,1,0,"""radius"": 150",,BP/BP_PTC_CapeFX_08,0,0,,0
45000416,암흑 덩어리 : 확장,0,600000,3,0,"""radius"": 200",30,BP/BP_PTC_Trisha_BossSkill_06_01,0,0,,0
45000417,암흑 덩어리,0,2000000,3,0,"""radius"": 1800",,BP/BP_PTC_Trisha_BossSkill_06_01,0,0,,0
45000419,지원 마법진,0,8000,8,0,"""radius"": 500",,BP/BP_PTC_Collabo_01,0,0,,0
45000425,에너지 서클 : 발동,0,2000,2,0,"""radius"": 200",400,BP/BP_PTC_LuciferBossSkill_06,0,0,,0
45000459,암흑 덩어리 : 확장,0,6000,6,0,"""radius"": 200",,BP/BP_PTC_Collabo_Dark2m,0,0,,0
45000460,암흑 덩어리 : 확장,0,6000,6,0,"""radius"": 400",,BP/BP_PTC_Collabo_Dark4m,0,0,,0
45000461,암흑 덩어리 : 확장,0,6000,6,0,"""radius"": 600",,BP/BP_PTC_Collabo_Dark6m,0,0,,0
