Key,Value,WarningSoundPlay
AUCTION_HOUSE_TYPE_ALL,전체,0
AUCTION_HOUSE_TYPE_ARMOR,갑옷,0
AUCTION_HOUSE_TYPE_ARMOR_ALL,방어구 전체,0
AUCTION_HOUSE_TYPE_ARMOR_ENCHANT_SCROLL,방어구 강화 주문서,0
AUCTION_HOUSE_TYPE_ARMOR_UPGRADE_STONE,방어구 승급석,0
AUCTION_HOUSE_TYPE_BLESSED_ACCESSORY_ENCHANT_SCROLL,축복받은 장신구 강화주문서,0
AUCTION_HOUSE_TYPE_BLESSED_ARMOR_ENCHANT_SCROLL,축복받은 방어구 강화주문서,0
AUCTION_HOUSE_TYPE_BLESSED_WEAPON_ENCHANT_SCROLL,축복받은 무기 강화주문서,0
AUCTION_HOUSE_TYPE_BOW,활,0
AUCTION_HOUSE_TYPE_DAGGER,단검,0
AUCTION_HOUSE_TYPE_DUALSWORD,이도류,0
AUCTION_HOUSE_TYPE_ENCHANT_MISC_ALL,강화재료 전체,0
AUCTION_HOUSE_TYPE_HERB,약초,0
AUCTION_HOUSE_TYPE_HP_PORTION,Hp 포션,0
AUCTION_HOUSE_TYPE_MONSTER_CORE,몬스터 코어,0
AUCTION_HOUSE_TYPE_MP_PORTION,Mp 포션,0
AUCTION_HOUSE_TYPE_RUNE_PIECE,룬 조각,0
AUCTION_HOUSE_TYPE_SKILL_BOOK_PAGE,스킬북 페이지,0
AUCTION_HOUSE_TYPE_SOUL_CRYSTAL_ALL,집혼석 전체,0
AUCTION_HOUSE_TYPE_SOUL_CRYSTAL_BLACK,명중 집혼석,0
AUCTION_HOUSE_TYPE_SOUL_CRYSTAL_BLUE,회피 집혼석,0
AUCTION_HOUSE_TYPE_SOUL_CRYSTAL_GREEN,HP 집혼석,0
AUCTION_HOUSE_TYPE_SOUL_CRYSTAL_INDIGO,탄력 집혼석,0
AUCTION_HOUSE_TYPE_SOUL_CRYSTAL_ORANGE,관통 집혼석,0
AUCTION_HOUSE_TYPE_SOUL_CRYSTAL_PURPLE,마력 집혼석,0
AUCTION_HOUSE_TYPE_SOUL_CRYSTAL_RED,적중 집혼석,0
AUCTION_HOUSE_TYPE_SOUL_CRYSTAL_WHITE,공격력 집혼석,0
AUCTION_HOUSE_TYPE_SOUL_CRYSTAL_YELLOW,방어력 집혼석,0
AUCTION_HOUSE_TYPE_SOUL_SHOT,정령탄,0
AUCTION_HOUSE_TYPE_SPEAR,창,0
AUCTION_HOUSE_TYPE_STAFF,지팡이,0
AUCTION_HOUSE_TYPE_SWORD,검방패,0
AUCTION_HOUSE_TYPE_WEAPON_ALL,무기 전체,0
AUCTION_HOUSE_TYPE_WEAPON_ENCHANT_SCROLL,무기 강화 주문서,0
AUCTION_HOUSE_TYPE_WEAPON_UPGRADE_STONE,무기 승급석,0
AUCTION_HOUSE_UPGRADE_LEVEL,+[UpgradeLevel]강,0
AUCTION_ITEM_SEARCH_BUTTON,상품 검색,0
AUCTION_MARKET_LOG_EMPTY,거래 내역이 없습니다.,1
AUCTION_REGISTERD_NONE,판매 중인 아이템이 없습니다.,1
AUCTION_SEARCH_CONDITION,검색 조건,0
AUCTION_SEARCH_GUIDE,검색 결과가 존재 하지 않습니다.,1
AUCTION_SUB_GROUP_ACCESSORYENCHANTSCROLL,장신구 강화 주문서,0
AUCTION_SUB_GROUP_ACCESSORYUPGRADESTONE,장신구 승급석,0
AUCTION_SUB_GROUP_ANTICRITICAL,크리티컬 저항,0
AUCTION_SUB_GROUP_ANTTUNNEL1,개미굴 지하 1층,0
AUCTION_SUB_GROUP_ANTTUNNEL2,개미굴 지하 2층,0
AUCTION_SUB_GROUP_ARMOR,갑옷,0
AUCTION_SUB_GROUP_ARMORENCHANTSCROLL,방어구 강화 주문서,0
AUCTION_SUB_GROUP_ARMORUPGRADESTONE,방어구 승급석,0
AUCTION_SUB_GROUP_ATTACKPOWER,공격력,0
AUCTION_SUB_GROUP_ATTACKPOWERELIXIR,공격력 엘릭서,0
AUCTION_SUB_GROUP_BLESSEDACCESSORYENCHANTSCROLL,축복받은 장신구 강화 주문서,0
AUCTION_SUB_GROUP_BLESSEDARMORENCHANTSCROLL,축복받은 방어구 강화 주문서,0
AUCTION_SUB_GROUP_BLESSEDWEAPONENCHANTSCROLL,축복받은 무기 강화 주문서,0
AUCTION_SUB_GROUP_BLUEHERB,푸른색 약초,0
AUCTION_SUB_GROUP_BLUERECIPE,MP 엘릭서 정수,0
AUCTION_SUB_GROUP_BOOTS,신발,0
AUCTION_SUB_GROUP_BOW,활,0
AUCTION_SUB_GROUP_CRITICAL,크리티컬,0
AUCTION_SUB_GROUP_CRUMASWAMP,크루마 늪지,0
AUCTION_SUB_GROUP_CRUMATOWER2,크루마 탑 2층,0
AUCTION_SUB_GROUP_CRUMATOWER3,크루마 탑 3층,0
AUCTION_SUB_GROUP_DAGGER,단검,0
AUCTION_SUB_GROUP_DEATHCOASTALFOG,죽음 안개 해안,0
AUCTION_SUB_GROUP_DEFENSEPOWER,방어력,0
AUCTION_SUB_GROUP_DEFENSEPOWERELIXIR,방어력 엘릭서,0
AUCTION_SUB_GROUP_DEVILISLE,악마섬,0
AUCTION_SUB_GROUP_DODGE,회피,0
AUCTION_SUB_GROUP_DRAGONVALLEY,용의 계곡,0
AUCTION_SUB_GROUP_DUALSWORD,이도류,0
AUCTION_SUB_GROUP_EARRING,귀걸이,0
AUCTION_SUB_GROUP_ELVENRUINS1,엘프의 유적지 1층,0
AUCTION_SUB_GROUP_ELVENRUINS2,엘프의 유적지 2층,0
AUCTION_SUB_GROUP_ETC,기타,0
AUCTION_SUB_GROUP_GIRANDOMINION,기란 자치령,0
AUCTION_SUB_GROUP_GLOVES,장갑,0
AUCTION_SUB_GROUP_GLUDINMAINROAD,글루딘 가도,0
AUCTION_SUB_GROUP_GLUDIOPLAIN,글루디오 평원,0
AUCTION_SUB_GROUP_HELMET,투구,0
AUCTION_SUB_GROUP_HIGHHPPOTION,고급 HP 포션,0
AUCTION_SUB_GROUP_HIGHMPPOTION,고급 MP 포션,0
AUCTION_SUB_GROUP_HIT,명중,0
AUCTION_SUB_GROUP_HP,HP,0
AUCTION_SUB_GROUP_HPELIXIR,HP 엘릭서,0
AUCTION_SUB_GROUP_HPPOTION,HP 포션,0
AUCTION_SUB_GROUP_IVORYTOBASEMENT1,상아탑 지하 1층,0
AUCTION_SUB_GROUP_IVORYTOBASEMENT2,상아탑 지하 2층,0
AUCTION_SUB_GROUP_IVORYTOBASEMENT3,상아탑 지하 3층,0
AUCTION_SUB_GROUP_IVORYTOBASEMENT_CONFLICT,상아탑 지하 연구소,0
AUCTION_SUB_GROUP_IVORYTOWER,상아탑 자치 구역,0
AUCTION_SUB_GROUP_LANDOFSTOPPEDTIME,정지된 시간의 땅,0
AUCTION_SUB_GROUP_SECRETFOREST1,비밀의 숲 상층,0
AUCTION_SUB_GROUP_SECRETFOREST2,비밀의 숲 하층,0
AUCTION_SUB_GROUP_SECRETFOREST_CONFLICT,비밀의 숲 학살지,0
AUCTION_SUB_GROUP_PROMISEDLAND,약속된 땅,0
AUCTION_SUB_GROUP_OLDDRAGONMOUNTAIN,고룡 산맥,0
AUCTION_SUB_GROUP_CAVEOFDRAGON1,용의 동굴 지하 1층,0
AUCTION_SUB_GROUP_CAVEOFDRAGON2,용의 동굴 지하 2층,0
AUCTION_SUB_GROUP_CAVEOFDRAGON_CONFLICT,용의 동굴 심층,0
AUCTION_SUB_GROUP_MPELIXIR,MP 엘릭서,0
AUCTION_SUB_GROUP_MPPOTION,MP 포션,0
AUCTION_SUB_GROUP_NECKLACE,목걸이,0
AUCTION_SUB_GROUP_NORTHWIND,북풍의 고원,0
AUCTION_SUB_GROUP_PASTURE,디온 목초지,0
AUCTION_SUB_GROUP_PEAKSOFSTRUGGLE,투쟁의 봉우리,0
AUCTION_SUB_GROUP_PENETRATION,관통,0
AUCTION_SUB_GROUP_PROTECTIONJEWEL,마프르의 가호,0
AUCTION_SUB_GROUP_PURPLEHERB,보라색 약초,0
AUCTION_SUB_GROUP_PURPLERECIPE,공격력 엘릭서 정수,0
AUCTION_SUB_GROUP_REDHERB,붉은색 약초,0
AUCTION_SUB_GROUP_REDRECIPE,HP 엘릭서 정수,0
AUCTION_SUB_GROUP_RESILIENCE,탄력,0
AUCTION_SUB_GROUP_RING,반지,0
AUCTION_SUB_GROUP_ROADSIDEOFDEATH,죽음의 연도,0
AUCTION_SUB_GROUP_RUNEPIECE,룬 조각,0
AUCTION_SUB_GROUP_SCREAM,절규의 땅,0
AUCTION_SUB_GROUP_SKILLBOOK,스킬북,0
AUCTION_SUB_GROUP_SKILLBOOKPAGE,스킬북 페이지,0
AUCTION_SUB_GROUP_SOULSHOT,정령탄,0
AUCTION_SUB_GROUP_SPEAR,창,0
AUCTION_SUB_GROUP_STAFF,지팡이,0
AUCTION_SUB_GROUP_SWORD,검방패,0
AUCTION_SUB_GROUP_TALKINGSISLANDEASTERN,말하는 섬 동부,0
AUCTION_SUB_GROUP_TALKINGSISLANDEASWESTERN,말하는 섬 서부,0
AUCTION_SUB_GROUP_TELEPORTSCROLL,텔레포트 주문서,0
AUCTION_SUB_GROUP_WASTELAND,황무지,0
AUCTION_SUB_GROUP_WEAPONENCHANTSCROLL,무기 강화 주문서,0
AUCTION_SUB_GROUP_WEAPONUPGRADESTONE,무기 승급석,0
AUCTION_SUB_GROUP_WINDAWOOD,윈다우드 장원,0
AUCTION_SUB_GROUP_YELLOWHERB,노란색 약초,0
AUCTION_SUB_GROUP_YELLOWRECIPE,방어력 엘릭서 정수,0
AUCTION_SUB_GROUP_QUESTSCROLL,퀘스트 스크롤,0
AUCTION_SUB_GROUP_SUMMONGEM,마물 소환석,0
AUCTION_SUB_GROUP_LECIPE,레시피,0
AUCTION_SUB_GROUP_EquipmemtMaterial,재료,0
AUCTION_SUB_GROUP_UpgradeCrystal,결정체,0
AUCTION_SUB_GROUP_ABILITYSTONE,특성의 돌,0
AUCTION_SUB_GROUP_LIMITBREAK,초월의 돌,0
AUCTION_SUB_GROUP_PetEquipment,펫장비,0
AUCTION_SUB_GROUP_PetFood,육성석,0
AUCTION_SUB_GROUP_PetSummonStone,소환석,0
AUCTION_SUB_GROUP_PetEquipmentEnchantMaterial,강화재료,0
AUCTION_SUB_GROUP_PetEtc,기타,0
AUCTION_SUB_GROUP_WEAPONMATERIAL,무기 연마제,0
AUCTION_SUB_GROUP_ARMORMATERIAL,방어구 연마제,0
AUCTION_SUB_GROUP_ACCESSORYMATERIAL,장신구 연마제,0
AUCTION_SUB_GROUP_BUFFSCROLL,버프 스크롤,0
AUCTION_SUB_GROUP_SOULCRYSTALMATERIAL,집혼석 연마제,0
AUCTION_SUB_GROUP_NORTHERNIMMOTAL,불멸의 고원 북부,0
AUCTION_SUB_GROUP_SCHUTTGARTSNOWFIELD,슈트가르트 설원,0
AUCTION_SUB_GROUP_SPINERIDGE,스파인 광산지대,0
AUCTION_SUB_GROUP_CAVEOFTRIER_B1,시련의 동굴 지하 1층,0
AUCTION_SUB_GROUP_CAVEOFTRIER_B2,시련의 동굴 지하 2층,0
AUCTION_TRADE_CONTENTS,거래 내용,0
AUCTION_TRADE_TIME,거래 시간,0
AUTO_COMBAT_RADIUS_MAX,제한 없음,0
AUTO_COMBAT_RADIUS_MAXIMUM,먼 거리,0
AUTO_COMBAT_RADIUS_MEDIUM,가까움,0
AUTO_COMBAT_RADIUS_MIN,제자리,0
AUTOPANEL_HP_POTION,HP포션,0
AUTOPANEL_MP_POTION,MP포션,0
AUTOPANEL_QUEST,자동 진행,0
AUTOPANEL_SOULSHOT,정령탄,0
BIDDING_MAXVALUE_NOTIFY,입찰액이 소유금을 초과하였습니다.,1
BIDDING_MINVALUE_NOTIFY,최저 입찰 제한 금액보다 높아야 합니다.,1
BLACKSMITH_ABILILTY,"재료로 쓰이는 장비는 사라집니다.
특성 강화를 하시겠습니까?",1
BLACKSMITH_ABILILTY_BIND,"재료에 <FontYellow>거래 불가 장비가 선택</>되어 있습니다.
특성강화 성공 시, <FontYellow>원본 장비가 거래 불가 상태로 변경</>
되며 재료 장비는 사라집니다.
특성강화 하시겠습니까?",1
BLACKSMITH_ABILILTY_ENCHANT,"강화된 장비가 재료로 선택되어 있습니다.
재료로 쓰이는 장비와 강화 수치는 사라집니다.
특성 강화를 하시겠습니까?",1
BLACKSMITH_ABILILTY_LIMIT_GRADE,특성이 없는 아이템은 특성 강화를 할 수 없습니다.,1
BLACKSMITH_ABILILTY_SOULCRYSTAL,"집혼석이 장착된 장비가 재료로 선택되어 있습니다.
재료로 쓰이는 장비와 집혼석은 사라집니다.
특성 강화를 하시겠습니까?",1
BLACKSMITH_COMPOSITE,"재료로 쓰이는 장비는 사라집니다.
합성을 하시겠습니까?",1
BLACKSMITH_COMPOSITE_BIND,"재료에 <FontYellow>거래 불가 장비가 선택</>되어 있습니다.
합성 시, <FontYellow>원본 장비가 거래 불가 상태로 변경</>되며
재료 장비는 사라집니다.
합성 하시겠습니까?",1
BLACKSMITH_COMPOSITE_ENCHANT,"강화된 장비가 재료로 선택되어 있습니다.
재료로 쓰이는 장비와 강화 수치는 사라집니다.
합성을 하시겠습니까?",1
BLACKSMITH_COMPOSITE_LIMIT_GRADE,[GradeName] 등급은 합성하실 수 없습니다.,1
BLACKSMITH_COMPOSITE_LIMIT_LEVEL,최고 레벨이 아니어서 합성하실 수 없습니다.,1
BLACKSMITH_COMPOSITE_SOULCRYSTAL,"집혼석이 장착된 장비가 재료로 선택되어 있습니다.
재료로 쓰이는 장비와 집혼석은 사라집니다.
합성을 하시겠습니까?",1
BLACKSMITH_ENCHANT_REQUIRED_COUNT,필요 강화주문서 : [Count] 개,0
BLACKSMITH_LEVELUP,"재료로 쓰이는 장비는 사라집니다.
레벨 업 하시겠습니까?",0
BLACKSMITH_LEVELUP_BIND,"재료에 <FontYellow>거래 불가 장비가 선택</>되어 있습니다.
레벨 업 시, <FontYellow>원본 장비가 거래 불가 상태로 변경</>되며
재료장비는 사라집니다.
레벨 업 하시겠습니까?",1
BLACKSMITH_LEVELUP_ENCHANT,"강화된 장비가 재료로 선택되어 있습니다.
재료로 쓰이는 장비와 강화 수치는 사라집니다.
레벨 업 하시겠습니까?",1
BLACKSMITH_LEVELUP_HIGH_GRADE,"높은 등급의 장비가 재료로 선택되어 있습니다.
재료로 쓰이는 장비는 사라집니다.
레벨 업 하시겠습니까?",1
BLACKSMITH_LEVELUP_LIMIT_MAX_LEVEL,한계 레벨에 도달하여 더 이상 레벨업 할 수 없습니다,1
BLACKSMITH_LEVELUP_SOULCRYSTAL,"집혼석이 장착된 장비가 재료로 선택되어 있습니다.
재료로 쓰이는 장비와 집혼석은 사라집니다.",1
BLACKSMITH_LIMITBREAK,"재료로 쓰이는 장비는 사라집니다.
초월 하시겠습니까?",1
BLACKSMITH_LIMITBREAK_BIND,"재료에 <FontYellow>거래 불가 장비가 선택</>되어 있습니다.
초월 성공 시, <FontYellow>원본 장비가 거래 불가 상태로 변경</>
되며 재료 장비는 사라집니다.
초월 하시겠습니까?",1
BLACKSMITH_LIMITBREAK_ENCHANT,"강화된 장비가 재료로 선택되어 있습니다.
재료로 쓰이는 장비와 강화 수치는 사라집니다.
특성 강화를 하시겠습니까?",1
BLACKSMITH_LIMITBREAK_LIMIT_GRADE,"아이템의 등급이 낮아서 초월을 할 수 없습니다.
초월은 SR 등급부터 가능합니다. ",1
BLACKSMITH_LIMITBREAK_LIMIT_LEVEL,최고 레벨이 아니어서 초월하실 수 없습니다.,1
BLACKSMITH_LIMITBREAK_SOULCRYSTAL,"집혼석이 장착된 장비가 재료로 선택되어 있습니다.
재료로 쓰이는 장비와 집혼석은 사라집니다.
초월 하시겠습니까?",1
BLACKSMITH_SAFESTONE_NOT_ENOUGH,마프르의 가호가 부족합니다.,1
BLACKSMITH_SAFESTONE_NOT_NEED,강화 성공 확률이 100%일 때는 필요하지 않습니다.,0
BLACKSMITH_TARGET_NONE,대상이 없습니다.,1
BLACKSMITH_UPGRADE_BIND,"재료에 <FontYellow>거래 불가 승급석이 선택</>되어 있습니다.
승급 시, <FontYellow>원본 장비가 거래 불가 상태로 변경</>되며
재료는 사라집니다.
승급 하시겠습니까?",1
BLACKSMITH_UPGRADE_LIMIT_GRADE,[GradeName] 등급은 승급하실 수 없습니다.,1
BLACKSMITH_UPGRADE_LIMIT_LEVEL,최고 레벨이 아니어서 승급하실 수 없습니다.,1
CAHT_PROMOTE_ADMISSION,파티 참여,0
CHAT_PROMOTE_PARTY_DUNGEON,<FontParty>[PartyName]</> <FontYellow>[AdventureName]</><FontRed>([Difficulty])</> 파티원 모집,0
CHAT_PROMOTE_PARTY_BOSSRAID,<FontParty>[PartyName]</> <FontYellow>[NpcName]</>처치 파티원 모집,0
CHAT_PROMOTE_PARTY_GATHERING,<FontParty>[PartyName]</> <FontYellow>[DungeonName]</> 파티원 모집,0
CHAT_PROMOTE_PARTY_PARTYDUNGEON,시공의 균열 <FontYellow>[DungeonName]</><FontRed>([Difficulty])</> 파티원 모집,0
CHAT_PROMOTE_PARTY,<FontYellow>[PartyName]</>파티원 모집,0
CAHT_PROMOTE_GUILD,<FontGuild>[GuildName]</> 혈맹의 혈맹원 모집,0
CHAT_PROMOTE_BOSS_SUMMONS,[Name]님의 <FontYellow>[BossName]</> 소환 전투,0
CHAT_PROMOTE_BOSS_SUMMONS_CORECOMPLETE,[Name]님의 <FontGrey>[BossName]</> 소환 전투,0
CHAT_PROMOTE_GUILD_DUNGEON,<FontGuild>[GUILDNAME]</>의 혈맹던전 <FontYellow>[DungeonName]</><FontRed>([Difficulty])</> 공략 지원 요청,0
CHAT_PROMOTE_GUILD_SEARCH,<FontYellow>[PromoteMessage]</>혈맹 가입 희망 ,0
CHAT_NEED_SELECT,빠른 채팅은 채널을 선택 한 뒤에 사용 가능합니다.,0
CHAT_GUILDNOTICE_EMPTY,혈맹 공지가 없습니다.,0
CHAT_BLOCK_ME,"[NAME]님을
채팅 차단한 상태입니다.",1
CHAT_BLOCK_YOU,"[NAME]님과
1:1 채팅이 불가능합니다.",1
CASTLE_FESTIVAL_COUPON_CHANGE_GUIDE,티켓을 모아 축제 상품권을 응모하세요.,0
CASTLE_FESTIVAL_OFF_NOTICE,"축제 티켓을 모아서
승리 혈맹을 맞춰보세요.",0
CASTLE_FESTIVAL_ENTRY,응모,0
CASTLE_FESTIVAL_RETRY,재응모,0
CASTLE_FESTIVAL_GUILDINFO,공성전 진출 혈맹 현황,0
CASTLE_FESTIVAL_TIP,"축제 기간 동안 몬스터를 통해 획득한 티켓으로 공성전의 주인을 맞춰보세요.
응모한 혈맹이 성을 점령하면 푸짐한 상품을 드립니다.",0
CASTLE_SIEGE,공성전,0
CASTLE_SIEGE_BIDDING_INFO,,0
CASTLE_SIEGE_BIDDING_LABEL,입찰 정보,0
CASTLE_SIEGE_BIDDING_NOTHING,입찰 정보가 존재하지 않습니다.,1
CASTLE_SIEGE_BIDDING_RANK,공성전 진출 혈맹,0
CASTLE_SIEGE_CASTELAN,성주,0
CASTLE_SIEGE_EMPTY,성주 없음,0
CASTLE_SIEGE_EMPTY_GUIDE,"성의 주인이 없습니다.
공성전을 통해 성을 차지하실 수 있습니다.",0
CASTLE_SIEGE_ENTER,공성 입장,0
CASTLE_SIEGE_FESTIVAL,공성전 축제,0
CASTLE_SIEGE_FESTIVAL_DESC,"1. 축제 기간 동안 <FontBlue>몬스터를 처치</>하면 티켓을 얻을 수 있습니다.
2. 티켓으로 아래의 상품권에 응모할 수 있습니다.
3. <FontBlue>상품권에 적힌 혈맹이 성을 점령</>하면 상품권의 상품을 드립니다.
4. 상품권의 <FontBlue>등급</>이 높아지면, 더 좋은 보상이 나옵니다.
5. 응모한 상품권은 원하는 혈맹과 상품이 나올 때까지 <FontBlue>재응모</> 할 수 있습니다.",0
CASTLE_SIEGE_FESTIVAL_GIFTCARD_DUIDE,사용하지 않은 티켓은 공성전 시작 시 소멸되니 주의하세요.,0
CASTLE_SIEGE_FESTIVAL_NAME,공성전 축제 상품권,0
CASTLE_SIEGE_FESTIVAL_BREAK,"해산된
혈맹 입니다.",1
CASTLE_SIEGE_FESTIVAL_CONDITION_LIGHT_WEEKNUM,군림 [Count]주차 빛의 성,0
CASTLE_SIEGE_FESTIVAL_CONDITION_DARK_WEEKNUM,군림 [Count]주차 어둠의 성,0
CASTLE_SIEGE_FESTIVAL_CONDITION_LOSE,지난 주 참여 정보: [Name] 성 [Condition] 실패,0
CASTLE_SIEGE_FESTIVAL_CONDITION_EMPTY,지난 주 참여 정보: 참가 기록 없음.,0
CASTLE_SIEGE_GUILD_EMPTY,진출 혈맹 없음,1
CASTLE_SIEGE_GUILD_INFO,LV.[Level] [GuildName],0
CASTLE_SIEGE_MINIMUM_BIDDING_VALUE,최소 입찰금액,0
CASTLE_SIEGE_MY_BIDDING_RANK,내 입찰 순위,0
CASTLE_SIEGE_NONE_BID_TIME,입찰시간 아님,1
CASTLE_SIEGE_NONE_FESTIVAL_TIME,축제시간 아님,1
CASTLE_SIEGE_RANK,[Rank]순위,0
CASTLE_SIEGE_SHORTCUTS_GUILD,혈맹 바로가기,0
CASTLE_SIEGE_STARTTIME,[M]월[D]일 [H]시[m]분,0
CASTLE_SIEGE_STARTTIME_LABEL,공성전 시작,0
