GroundObjectId,Id,CollisionUnitType,CollisionUnitParam,EffectType,EffectTypeName,EffectParam,EffectGrowth1,EffectGrowth2
990135,9901351,6,,16,,"0,0,2050,2200",,
990135,9901352,6,,17,,"0,0,2050,2200",,
990135,9901353,6,,8,,9901311,,
990136,9901361,6,,16,,"0,0,2090,2240",,
990136,9901362,6,,17,,"0,0,2090,2240",,
990136,9901363,6,,8,,9901311,,
990137,9901371,6,,16,,"0,0,2130,2280",,
990137,9901372,6,,17,,"0,0,2130,2280",,
990137,9901373,6,,8,,9901311,,
990138,9901381,6,,16,,"0,0,2170,2320",,
990138,9901382,6,,17,,"0,0,2170,2320",,
990138,9901383,6,,8,,9901311,,
990139,9901391,6,,16,,"0,0,2210,2360",,
990139,9901392,6,,17,,"0,0,2210,2360",,
990139,9901393,6,,8,,9901311,,
990140,9901401,6,,16,,"0,0,2250,2400",,
990140,9901402,6,,17,,"0,0,2250,2400",,
990140,9901403,6,,8,,9901311,,
990141,9901411,6,,16,,"0,0,2290,2440",,
990141,9901412,6,,17,,"0,0,2290,2440",,
990141,9901413,6,,8,,9901311,,
990142,9901421,6,,16,,"0,0,2330,2480",,
990142,9901422,6,,17,,"0,0,2330,2480",,
990142,9901423,6,,8,,9901311,,
990143,9901431,6,,16,,"0,0,2370,2520",,
990143,9901432,6,,17,,"0,0,2370,2520",,
990143,9901433,6,,8,,9901311,,
990144,9901441,6,,16,,"0,0,2410,2560",,
990144,9901442,6,,17,,"0,0,2410,2560",,
990144,9901443,6,,8,,9901311,,
990145,9901451,6,,16,,"0,0,2450,2600",,
990145,9901452,6,,17,,"0,0,2450,2600",,
990145,9901453,6,,8,,9901311,,
990146,9901461,6,,16,,"0,0,2490,2640",,
990146,9901462,6,,17,,"0,0,2490,2640",,
990146,9901463,6,,8,,9901311,,
990147,9901471,6,,16,,"0,0,2530,2680",,
990147,9901472,6,,17,,"0,0,2530,2680",,
990147,9901473,6,,8,,9901311,,
990148,9901481,6,,16,,"0,0,2570,2720",,
990148,9901482,6,,17,,"0,0,2570,2720",,
990148,9901483,6,,8,,9901311,,
990149,9901491,6,,16,,"0,0,2610,2760",,
990149,9901492,6,,17,,"0,0,2610,2760",,
990149,9901493,6,,8,,9901311,,
990150,9901501,6,,16,,"0,0,2650,2800",,
990150,9901502,6,,17,,"0,0,2650,2800",,
990150,9901503,6,,8,,9901311,,
990151,9901511,6,,16,,"0,0,2690,2840",,
990151,9901512,6,,17,,"0,0,2690,2840",,
990151,9901513,6,,8,,9901311,,
990152,9901521,6,,16,,"0,0,2730,2880",,
990152,9901522,6,,17,,"0,0,2730,2880",,
990152,9901523,6,,8,,9901311,,
990153,9901531,6,,16,,"0,0,2770,2920",,
990153,9901532,6,,17,,"0,0,2770,2920",,
990153,9901533,6,,8,,9901311,,
990154,9901541,6,,16,,"0,0,2810,2960",,
990154,9901542,6,,17,,"0,0,2810,2960",,
990154,9901543,6,,8,,9901311,,
990155,9901551,6,,16,,"0,0,2850,3000",,
990155,9901552,6,,17,,"0,0,2850,3000",,
990155,9901553,6,,8,,9901311,,
990156,9901561,6,,16,,"0,0,2890,3040",,
990156,9901562,6,,17,,"0,0,2890,3040",,
990156,9901563,6,,8,,9901311,,
990157,9901571,6,,16,,"0,0,2930,3080",,
990157,9901572,6,,17,,"0,0,2930,3080",,
990157,9901573,6,,8,,9901311,,
990158,9901581,6,,16,,"0,0,2970,3120",,
990158,9901582,6,,17,,"0,0,2970,3120",,
990158,9901583,6,,8,,9901311,,
990159,9901591,6,,16,,"0,0,3010,3160",,
990159,9901592,6,,17,,"0,0,3010,3160",,
990159,9901593,6,,8,,9901311,,
990160,9901601,6,,16,,"0,0,3050,3200",,
990160,9901602,6,,17,,"0,0,3050,3200",,
990160,9901603,6,,8,,9901311,,
990161,9901611,6,,16,,"0,0,3050,3200",,
990161,9901612,6,,17,,"0,0,3050,3200",,
990161,9901613,6,,8,,9901312,,
990431,9904311,6,,16,,"0,0,2000,2000",,
990431,9904312,6,,17,,"0,0,2000,2000",,
990431,9904313,6,,8,,9904313,,
990432,9904321,6,,16,,"0,0,2030,2030",,
990432,9904322,6,,17,,"0,0,2030,2030",,
990432,9904323,6,,8,,9904323,,
990433,9904331,6,,16,,"0,0,2060,2060",,
990433,9904332,6,,17,,"0,0,2060,2060",,
990433,9904333,6,,8,,9904333,,
990434,9904341,6,,16,,"0,0,2090,2090",,
990434,9904342,6,,17,,"0,0,2090,2090",,
990434,9904343,6,,8,,9904343,,
990435,9904351,6,,16,,"0,0,2120,2120",,
990435,9904352,6,,17,,"0,0,2120,2120",,
990435,9904353,6,,8,,9904353,,
990436,9904361,6,,16,,"0,0,2150,2150",,
990436,9904362,6,,17,,"0,0,2150,2150",,
990436,9904363,6,,8,,9904363,,
990437,9904371,6,,16,,"0,0,2180,2180",,
990437,9904372,6,,17,,"0,0,2180,2180",,
990437,9904373,6,,8,,9904373,,
990438,9904381,6,,16,,"0,0,2210,2210",,
990438,9904382,6,,17,,"0,0,2210,2210",,
990438,9904383,6,,8,,9904383,,
990439,9904391,6,,16,,"0,0,2240,2240",,
990439,9904392,6,,17,,"0,0,2240,2240",,
990439,9904393,6,,8,,9904393,,
990440,9904401,6,,16,,"0,0,2270,2270",,
990440,9904402,6,,17,,"0,0,2270,2270",,
990440,9904403,6,,8,,9904403,,
990441,9904411,6,,16,,"0,0,2300,2300",,
990441,9904412,6,,17,,"0,0,2300,2300",,
990441,9904413,6,,8,,9904413,,
990442,9904421,6,,16,,"0,0,2330,2330",,
990442,9904422,6,,17,,"0,0,2330,2330",,
990442,9904423,6,,8,,9904423,,
990443,9904431,6,,16,,"0,0,2360,2360",,
990443,9904432,6,,17,,"0,0,2360,2360",,
990443,9904433,6,,8,,9904433,,
990444,9904441,6,,16,,"0,0,2390,2390",,
990444,9904442,6,,17,,"0,0,2390,2390",,
990444,9904443,6,,8,,9904443,,
990445,9904451,6,,16,,"0,0,2420,2420",,
990445,9904452,6,,17,,"0,0,2420,2420",,
990445,9904453,6,,8,,9904453,,
990446,9904461,6,,16,,"0,0,2450,2450",,
990446,9904462,6,,17,,"0,0,2450,2450",,
990446,9904463,6,,8,,9904463,,
990447,9904471,6,,16,,"0,0,2480,2480",,
990447,9904472,6,,17,,"0,0,2480,2480",,
990447,9904473,6,,8,,9904473,,
990448,9904481,6,,16,,"0,0,2510,2510",,
990448,9904482,6,,17,,"0,0,2510,2510",,
990448,9904483,6,,8,,9904483,,
990449,9904491,6,,16,,"0,0,2540,2540",,
990449,9904492,6,,17,,"0,0,2540,2540",,
990449,9904493,6,,8,,9904493,,
990450,9904501,6,,16,,"0,0,2570,2570",,
990450,9904502,6,,17,,"0,0,2570,2570",,
990450,9904503,6,,8,,9904503,,
990451,9904511,6,,16,,"0,0,2600,2600",,
990451,9904512,6,,17,,"0,0,2600,2600",,
990451,9904513,6,,8,,9904513,,
990452,9904521,6,,16,,"0,0,2630,2630",,
990452,9904522,6,,17,,"0,0,2630,2630",,
990452,9904523,6,,8,,9904523,,
990453,9904531,6,,16,,"0,0,2660,2660",,
990453,9904532,6,,17,,"0,0,2660,2660",,
990453,9904533,6,,8,,9904533,,
990454,9904541,6,,16,,"0,0,2690,2690",,
990454,9904542,6,,17,,"0,0,2690,2690",,
990454,9904543,6,,8,,9904543,,
990455,9904551,6,,16,,"0,0,2720,2720",,
990455,9904552,6,,17,,"0,0,2720,2720",,
990455,9904553,6,,8,,9904553,,
990456,9904561,6,,16,,"0,0,2750,2750",,
990456,9904562,6,,17,,"0,0,2750,2750",,
990456,9904563,6,,8,,9904563,,
990457,9904571,6,,16,,"0,0,2780,2780",,
990457,9904572,6,,17,,"0,0,2780,2780",,
990457,9904573,6,,8,,9904573,,
990458,9904581,6,,16,,"0,0,2810,2810",,
990458,9904582,6,,17,,"0,0,2810,2810",,
990458,9904583,6,,8,,9904583,,
990459,9904591,6,,16,,"0,0,2840,2840",,
990459,9904592,6,,17,,"0,0,2840,2840",,
990459,9904593,6,,8,,9904593,,
990460,9904601,6,,16,,"0,0,2870,2870",,
990460,9904602,6,,17,,"0,0,2870,2870",,
990460,9904603,6,,8,,9904603,,
45000416,450004161,6,,17,,"0,0,50000,50000",,
45000417,450004171,6,,17,,"0,0,50000,50000",,
45000419,450004191,6,,8,,450004191,,
45000425,450004251,6,,17,,"0,0,25000,25000",,
45000459,450004591,6,,17,,"0,0,100000,100000",,
45000460,450004601,6,,17,,"0,0,100000,100000",,
45000461,450004611,6,,17,,"0,0,100000,100000",,
45000462,450004621,6,,17,,"0,0,100000,100000",,
45000463,450004631,6,,17,,"0,0,100000,100000",,
45000464,450004641,6,,17,,"0,0,100000,100000",,
45000465,450004651,6,,17,,"0,0,100000,100000",,
45000466,450004661,6,,17,,"0,0,100000,100000",,
45000467,450004671,6,,17,,"0,0,100000,100000",,
45000469,450004691,6,,17,,"0,0,100000,100000",,
45000470,450004701,6,,17,,"0,0,100000,100000",,
45000471,450004711,6,,17,,"0,0,100000,100000",,
45000472,450004721,6,,17,,"0,0,100000,100000",,
45000473,450004731,6,,17,,"0,0,100000,100000",,
45000474,450004741,6,,17,,"0,0,100000,100000",,
45000475,450004751,6,,17,,"0,0,100000,100000",,
45000495,450004951,6,,20,,"7000,7000,1",,
45000449,450004491,6,,17,,"0,0,100000,100000",,
