笲M@9_aquiredId,AchievementGroupId,Type,GroupType,Name,Desc,TaskType,ItemAbilityId,CompleteNotifyType,TaskCount,AchievementIcon,EffectType,EffectParam,EffectType2,EffectParam2
10505,10504,105,8,5,학살 특성 무기 초월 (5단계),학살 특성을 가진 40레벨 초월 무기를 수집하세요.,47,1,0,40,Icon_ItemAchievement_01,101,660,29,235
20201,,202,8,6,사냥 특성 무기 레벨 (1단계),사냥 특성을 가진 15레벨 SR등급 무기를 수집하세요.,49,2,0,15,Icon_ItemAchievement_Weapon,29,149,253,
20202,20201,202,8,6,사냥 특성 무기 레벨 (2단계),사냥 특성을 가진 30레벨 SR등급 무기를 수집하세요.,49,2,0,30,Icon_ItemAchievement_Weapon,29,299,253,
20203,20202,202,8,6,사냥 특성 무기 레벨 (3단계),사냥 특성을 가진 15레벨 UR등급 무기를 수집하세요.,49,2,0,15,Icon_ItemAchievement_Weapon,29,506,253,
20204,20203,202,8,6,사냥 특성 무기 레벨 (4단계),사냥 특성을 가진 30레벨 UR등급 무기를 수집하세요.,49,2,0,30,Icon_ItemAchievement_Weapon,29,748,253,
20205,20204,202,8,6,사냥 특성 무기 레벨 (5단계),사냥 특성을 가진 40레벨 UR등급 무기를 수집하세요.,49,2,0,40,Icon_ItemAchievement_Weapon,29,1152,253,
20301,,203,8,6,사냥 특성 무기 강화 (1단계),사냥 특성을 가진 +10강 무기를 수집하세요.,56,2,0,10,Icon_ItemAchievement_01,10,95,29,67
20302,20301,203,8,6,사냥 특성 무기 강화 (2단계),사냥 특성을 가진 +15강 무기를 수집하세요.,56,2,0,15,Icon_ItemAchievement_01,10,190,29,134
20303,20302,203,8,6,사냥 특성 무기 강화 (3단계),사냥 특성을 가진 +20강 무기를 수집하세요.,56,2,0,20,Icon_ItemAchievement_01,10,322,29,227
20304,20303,203,8,6,사냥 특성 무기 강화 (4단계),사냥 특성을 가진 +25강 무기를 수집하세요.,56,2,0,25,Icon_ItemAchievement_01,10,476,29,336
20305,20304,203,8,6,사냥 특성 무기 강화 (5단계),사냥 특성을 가진 +30강 무기를 수집하세요.,56,2,0,30,Icon_ItemAchievement_01,10,733,29,518
20401,,204,8,6,사냥 특성 레벨 (1단계),2레벨 사냥 특성을 가진 무기를 수집하세요.,48,2,0,2,Icon_ItemAchievement_Ability_02,58,99,29,24
20402,20401,204,8,6,사냥 특성 레벨 (2단계),4레벨 사냥 특성을 가진 무기를 수집하세요.,48,2,0,4,Icon_ItemAchievement_Ability_02,58,199,29,48
20403,20402,204,8,6,사냥 특성 레벨 (3단계),6레벨 사냥 특성을 가진 무기를 수집하세요.,48,2,0,6,Icon_ItemAchievement_Ability_02,58,337,29,82
20404,20403,204,8,6,사냥 특성 레벨 (4단계),8레벨 사냥 특성을 가진 무기를 수집하세요.,48,2,0,8,Icon_ItemAchievement_Ability_02,58,498,29,122
20405,20404,204,8,6,사냥 특성 레벨 (5단계),10레벨 사냥 특성을 가진 무기를 수집하세요.,48,2,0,10,Icon_ItemAchievement_Ability_02,58,767,29,188
20501,,205,8,6,사냥 특성 무기 초월 (1단계),사냥 특성을 가진 32레벨 초월 무기를 수집하세요.,47,2,0,32,Icon_ItemAchievement_01,101,85,29,30
20502,20501,205,8,6,사냥 특성 무기 초월 (2단계),사냥 특성을 가진 34레벨 초월 무기를 수집하세요.,47,2,0,34,Icon_ItemAchievement_01,101,171,29,61
20503,20502,205,8,6,사냥 특성 무기 초월 (3단계),사냥 특성을 가진 36레벨 초월 무기를 수집하세요.,47,2,0,36,Icon_ItemAchievement_01,101,290,29,103
20504,20503,205,8,6,사냥 특성 무기 초월 (4단계),사냥 특성을 가진 38레벨 초월 무기를 수집하세요.,47,2,0,38,Icon_ItemAchievement_01,101,429,29,152
20505,20504,205,8,6,사냥 특성 무기 초월 (5단계),사냥 특성을 가진 40레벨 초월 무기를 수집하세요.,47,2,0,40,Icon_ItemAchievement_01,101,660,29,235
30201,,302,8,7,용맹 특성 무기 레벨 (1단계),용맹 특성을 가진 15레벨 SR등급 무기를 수집하세요.,49,3,0,15,Icon_ItemAchievement_Weapon,29,149,253,
30202,30201,302,8,7,용맹 특성 무기 레벨 (2단계),용맹 특성을 가진 30레벨 SR등급 무기를 수집하세요.,49,3,0,30,Icon_ItemAchievement_Weapon,29,299,253,
30203,30202,302,8,7,용맹 특성 무기 레벨 (3단계),용맹 특성을 가진 15레벨 UR등급 무기를 수집하세요.,49,3,0,15,Icon_ItemAchievement_Weapon,29,506,253,
30204,30203,302,8,7,용맹 특성 무기 레벨 (4단계),용맹 특성을 가진 30레벨 UR등급 무기를 수집하세요.,49,3,0,30,Icon_ItemAchievement_Weapon,29,748,253,
30205,30204,302,8,7,용맹 특성 무기 레벨 (5단계),용맹 특성을 가진 40레벨 UR등급 무기를 수집하세요.,49,3,0,40,Icon_ItemAchievement_Weapon,29,1152,253,
30301,,303,8,7,용맹 특성 무기 강화 (1단계),용맹 특성을 가진 +10강 무기를 수집하세요.,56,3,0,10,Icon_ItemAchievement_01,10,95,29,67
30302,30301,303,8,7,용맹 특성 무기 강화 (2단계),용맹 특성을 가진 +15강 무기를 수집하세요.,56,3,0,15,Icon_ItemAchievement_01,10,190,29,134
30303,30302,303,8,7,용맹 특성 무기 강화 (3단계),용맹 특성을 가진 +20강 무기를 수집하세요.,56,3,0,20,Icon_ItemAchievement_01,10,322,29,227
30304,30303,303,8,7,용맹 특성 무기 강화 (4단계),용맹 특성을 가진 +25강 무기를 수집하세요.,56,3,0,25,Icon_ItemAchievement_01,10,476,29,336
30305,30304,303,8,7,용맹 특성 무기 강화 (5단계),용맹 특성을 가진 +30강 무기를 수집하세요.,56,3,0,30,Icon_ItemAchievement_01,10,733,29,518
30401,,304,8,7,용맹 특성 레벨 (1단계),2레벨 용맹 특성을 가진 무기를 수집하세요.,48,3,0,2,Icon_ItemAchievement_Ability_03,58,99,29,24
30402,30401,304,8,7,용맹 특성 레벨 (2단계),4레벨 용맹 특성을 가진 무기를 수집하세요.,48,3,0,4,Icon_ItemAchievement_Ability_03,58,199,29,48
30403,30402,304,8,7,용맹 특성 레벨 (3단계),6레벨 용맹 특성을 가진 무기를 수집하세요.,48,3,0,6,Icon_ItemAchievement_Ability_03,58,337,29,82
30404,30403,304,8,7,용맹 특성 레벨 (4단계),8레벨 용맹 특성을 가진 무기를 수집하세요.,48,3,0,8,Icon_ItemAchievement_Ability_03,58,498,29,122
30405,30404,304,8,7,용맹 특성 레벨 (5단계),10레벨 용맹 특성을 가진 무기를 수집하세요.,48,3,0,10,Icon_ItemAchievement_Ability_03,58,767,29,188
30501,,305,8,7,용맹 특성 무기 초월 (1단계),용맹 특성을 가진 32레벨 초월 무기를 수집하세요.,47,3,0,32,Icon_ItemAchievement_01,101,85,29,30
30502,30501,305,8,7,용맹 특성 무기 초월 (2단계),용맹 특성을 가진 34레벨 초월 무기를 수집하세요.,47,3,0,34,Icon_ItemAchievement_01,101,171,29,61
30503,30502,305,8,7,용맹 특성 무기 초월 (3단계),용맹 특성을 가진 36레벨 초월 무기를 수집하세요.,47,3,0,36,Icon_ItemAchievement_01,101,290,29,103
30504,30503,305,8,7,용맹 특성 무기 초월 (4단계),용맹 특성을 가진 38레벨 초월 무기를 수집하세요.,47,3,0,38,Icon_ItemAchievement_01,101,429,29,152
30505,30504,305,8,7,용맹 특성 무기 초월 (5단계),용맹 특성을 가진 40레벨 초월 무기를 수집하세요.,47,3,0,40,Icon_ItemAchievement_01,101,660,29,235
40201,,402,8,8,척살 특성 무기 레벨 (1단계),척살 특성을 가진 15레벨 SR등급 무기를 수집하세요.,49,4,0,15,Icon_ItemAchievement_Weapon,29,149,253,
40202,40201,402,8,8,척살 특성 무기 레벨 (2단계),척살 특성을 가진 30레벨 SR등급 무기를 수집하세요.,49,4,0,30,Icon_ItemAchievement_Weapon,29,299,253,
40203,40202,402,8,8,척살 특성 무기 레벨 (3단계),척살 특성을 가진 15레벨 UR등급 무기를 수집하세요.,49,4,0,15,Icon_ItemAchievement_Weapon,29,506,253,
40204,40203,402,8,8,척살 특성 무기 레벨 (4단계),척살 특성을 가진 30레벨 UR등급 무기를 수집하세요.,49,4,0,30,Icon_ItemAchievement_Weapon,29,748,253,
40205,40204,402,8,8,척살 특성 무기 레벨 (5단계),척살 특성을 가진 40레벨 UR등급 무기를 수집하세요.,49,4,0,40,Icon_ItemAchievement_Weapon,29,1152,253,
40301,,403,8,8,척살 특성 무기 강화 (1단계),척살 특성을 가진 +10강 무기를 수집하세요.,56,4,0,10,Icon_ItemAchievement_01,10,95,29,67
40302,40301,403,8,8,척살 특성 무기 강화 (2단계),척살 특성을 가진 +15강 무기를 수집하세요.,56,4,0,15,Icon_ItemAchievement_01,10,190,29,134
40303,40302,403,8,8,척살 특성 무기 강화 (3단계),척살 특성을 가진 +20강 무기를 수집하세요.,56,4,0,20,Icon_ItemAchievement_01,10,322,29,227
40304,40303,403,8,8,척살 특성 무기 강화 (4단계),척살 특성을 가진 +25강 무기를 수집하세요.,56,4,0,25,Icon_ItemAchievement_01,10,476,29,336
40305,40304,403,8,8,척살 특성 무기 강화 (5단계),척살 특성을 가진 +30강 무기를 수집하세요.,56,4,0,30,Icon_ItemAchievement_01,10,733,29,518
40401,,404,8,8,척살 특성 레벨 (1단계),2레벨 척살 특성을 가진 무기를 수집하세요.,48,4,0,2,Icon_ItemAchievement_Ability_04,58,99,29,24
40402,40401,404,8,8,척살 특성 레벨 (2단계),4레벨 척살 특성을 가진 무기를 수집하세요.,48,4,0,4,Icon_ItemAchievement_Ability_04,58,199,29,48
40403,40402,404,8,8,척살 특성 레벨 (3단계),6레벨 척살 특성을 가진 무기를 수집하세요.,48,4,0,6,Icon_ItemAchievement_Ability_04,58,337,29,82
40404,40403,404,8,8,척살 특성 레벨 (4단계),8레벨 척살 특성을 가진 무기를 수집하세요.,48,4,0,8,Icon_ItemAchievement_Ability_04,58,498,29,122
40405,40404,404,8,8,척살 특성 레벨 (5단계),10레벨 척살 특성을 가진 무기를 수집하세요.,48,4,0,10,Icon_ItemAchievement_Ability_04,58,767,29,188
40501,,405,8,8,척살 특성 무기 초월 (1단계),척살 특성을 가진 32레벨 초월 무기를 수집하세요.,47,4,0,32,Icon_ItemAchievement_01,101,85,29,30
40502,40501,405,8,8,척살 특성 무기 초월 (2단계),척살 특성을 가진 34레벨 초월 무기를 수집하세요.,47,4,0,34,Icon_ItemAchievement_01,101,171,29,61
40503,40502,405,8,8,척살 특성 무기 초월 (3단계),척살 특성을 가진 36레벨 초월 무기를 수집하세요.,47,4,0,36,Icon_ItemAchievement_01,101,290,29,103
40504,40503,405,8,8,척살 특성 무기 초월 (4단계),척살 특성을 가진 38레벨 초월 무기를 수집하세요.,47,4,0,38,Icon_ItemAchievement_01,101,429,29,152
40505,40504,405,8,8,척살 특성 무기 초월 (5단계),척살 특성을 가진 40레벨 초월 무기를 수집하세요.,47,4,0,40,Icon_ItemAchievement_01,101,660,29,235
50201,,502,8,13,번뜩임 특성 무기 레벨 (1단계),번뜩임 특성을 가진 15레벨 SR등급 무기를 수집하세요.,49,15,0,15,Icon_ItemAchievement_Weapon,29,149,253,
50202,50201,502,8,13,번뜩임 특성 무기 레벨 (2단계),번뜩임 특성을 가진 30레벨 SR등급 무기를 수집하세요.,49,15,0,30,Icon_ItemAchievement_Weapon,29,299,253,
50203,50202,502,8,13,번뜩임 특성 무기 레벨 (3단계),번뜩임 특성을 가진 15레벨 UR등급 무기를 수집하세요.,49,15,0,15,Icon_ItemAchievement_Weapon,29,506,253,
50204,50203,502,8,13,번뜩임 특성 무기 레벨 (4단계),번뜩임 특성을 가진 30레벨 UR등급 무기를 수집하세요.,49,15,0,30,Icon_ItemAchievement_Weapon,29,748,253,
50205,50204,502,8,13,번뜩임 특성 무기 레벨 (5단계),번뜩임 특성을 가진 40레벨 UR등급 무기를 수집하세요.,49,15,0,40,Icon_ItemAchievement_Weapon,29,1152,253,
50301,,503,8,13,번뜩임 특성 무기 강화 (1단계),번뜩임 특성을 가진 +10강 무기를 수집하세요.,56,15,0,10,Icon_ItemAchievement_01,10,95,29,67
50302,50301,503,8,13,번뜩임 특성 무기 강화 (2단계),번뜩임 특성을 가진 +15강 무기를 수집하세요.,56,15,0,15,Icon_ItemAchievement_01,10,190,29,134
50303,50302,503,8,13,번뜩임 특성 무기 강화 (3단계),번뜩임 특성을 가진 +20강 무기를 수집하세요.,56,15,0,20,Icon_ItemAchievement_01,10,322,29,227
50304,50303,503,8,13,번뜩임 특성 무기 강화 (4단계),번뜩임 특성을 가진 +25강 무기를 수집하세요.,56,15,0,25,Icon_ItemAchievement_01,10,476,29,336
50305,50304,503,8,13,번뜩임 특성 무기 강화 (5단계),번뜩임 특성을 가진 +30강 무기를 수집하세요.,56,15,0,30,Icon_ItemAchievement_01,10,733,29,518
50401,,504,8,13,번뜩임 특성 레벨 (1단계),2레벨 번뜩임 특성을 가진 무기를 수집하세요.,48,15,0,2,Icon_ItemAchievement_Ability_05,58,99,29,24
50402,50401,504,8,13,번뜩임 특성 레벨 (2단계),4레벨 번뜩임 특성을 가진 무기를 수집하세요.,48,15,0,4,Icon_ItemAchievement_Ability_05,58,199,29,48
50403,50402,504,8,13,번뜩임 특성 레벨 (3단계),6레벨 번뜩임 특성을 가진 무기를 수집하세요.,48,15,0,6,Icon_ItemAchievement_Ability_05,58,337,29,82
50404,50403,504,8,13,번뜩임 특성 레벨 (4단계),8레벨 번뜩임 특성을 가진 무기를 수집하세요.,48,15,0,8,Icon_ItemAchievement_Ability_05,58,498,29,122
50405,50404,504,8,13,번뜩임 특성 레벨 (5단계),10레벨 번뜩임 특성을 가진 무기를 수집하세요.,48,15,0,10,Icon_ItemAchievement_Ability_05,58,767,29,188
50501,,505,8,13,번뜩임 특성 무기 초월 (1단계),번뜩임 특성을 가진 32레벨 초월 무기를 수집하세요.,47,15,0,32,Icon_ItemAchievement_01,101,85,29,30
50502,50501,505,8,13,번뜩임 특성 무기 초월 (2단계),번뜩임 특성을 가진 34레벨 초월 무기를 수집하세요.,47,15,0,34,Icon_ItemAchievement_01,101,171,29,61
50503,50502,505,8,13,번뜩임 특성 무기 초월 (3단계),번뜩임 특성을 가진 36레벨 초월 무기를 수집하세요.,47,15,0,36,Icon_ItemAchievement_01,101,290,29,103
50504,50503,505,8,13,번뜩임 특성 무기 초월 (4단계),번뜩임 특성을 가진 38레벨 초월 무기를 수집하세요.,47,15,0,38,Icon_ItemAchievement_01,101,429,29,152
50505,50504,505,8,13,번뜩임 특성 무기 초월 (5단계),번뜩임 특성을 가진 40레벨 초월 무기를 수집하세요.,47,15,0,40,Icon_ItemAchievement_01,101,660,29,235
60201,,602,8,14,간파 특성 무기 레벨 (1단계),간파 특성을 가진 15레벨 SR등급 무기를 수집하세요.,49,16,0,15,Icon_ItemAchievement_Weapon,29,149,253,
60202,60201,602,8,14,간파 특성 무기 레벨 (2단계),간파 특성을 가진 30레벨 SR등급 무기를 수집하세요.,49,16,0,30,Icon_ItemAchievement_Weapon,29,299,253,
60203,60202,602,8,14,간파 특성 무기 레벨 (3단계),간파 특성을 가진 15레벨 UR등급 무기를 수집하세요.,49,16,0,15,Icon_ItemAchievement_Weapon,29,506,253,
60204,60203,602,8,14,간파 특성 무기 레벨 (4단계),간파 특성을 가진 30레벨 UR등급 무기를 수집하세요.,49,16,0,30,Icon_ItemAchievement_Weapon,29,748,253,
60205,60204,602,8,14,간파 특성 무기 레벨 (5단계),간파 특성을 가진 40레벨 UR등급 무기를 수집하세요.,49,16,0,40,Icon_ItemAchievement_Weapon,29,1152,253,
60301,,603,8,14,간파 특성 무기 강화 (1단계),간파 특성을 가진 +10강 무기를 수집하세요.,56,16,0,10,Icon_ItemAchievement_01,10,95,29,67
60302,60301,603,8,14,간파 특성 무기 강화 (2단계),간파 특성을 가진 +15강 무기를 수집하세요.,56,16,0,15,Icon_ItemAchievement_01,10,190,29,134
60303,60302,603,8,14,간파 특성 무기 강화 (3단계),간파 특성을 가진 +20강 무기를 수집하세요.,56,16,0,20,Icon_ItemAchievement_01,10,322,29,227
60304,60303,603,8,14,간파 특성 무기 강화 (4단계),간파 특성을 가진 +25강 무기를 수집하세요.,56,16,0,25,Icon_ItemAchievement_01,10,476,29,336
60305,60304,603,8,14,간파 특성 무기 강화 (5단계),간파 특성을 가진 +30강 무기를 수집하세요.,56,16,0,30,Icon_ItemAchievement_01,10,733,29,518
60401,,604,8,14,간파 특성 레벨 (1단계),2레벨 간파 특성을 가진 무기를 수집하세요.,48,16,0,2,Icon_ItemAchievement_Ability_06,58,99,29,24
60402,60401,604,8,14,간파 특성 레벨 (2단계),4레벨 간파 특성을 가진 무기를 수집하세요.,48,16,0,4,Icon_ItemAchievement_Ability_06,58,199,29,48
60403,60402,604,8,14,간파 특성 레벨 (3단계),6레벨 간파 특성을 가진 무기를 수집하세요.,48,16,0,6,Icon_ItemAchievement_Ability_06,58,337,29,82
60404,60403,604,8,14,간파 특성 레벨 (4단계),8레벨 간파 특성을 가진 무기를 수집하세요.,48,16,0,8,Icon_ItemAchievement_Ability_06,58,498,29,122
60405,60404,604,8,14,간파 특성 레벨 (5단계),10레벨 간파 특성을 가진 무기를 수집하세요.,48,16,0,10,Icon_ItemAchievement_Ability_06,58,767,29,188
60501,,605,8,14,간파 특성 무기 초월 (1단계),간파 특성을 가진 32레벨 초월 무기를 수집하세요.,47,16,0,32,Icon_ItemAchievement_01,101,85,29,30
60502,60501,605,8,14,간파 특성 무기 초월 (2단계),간파 특성을 가진 34레벨 초월 무기를 수집하세요.,47,16,0,34,Icon_ItemAchievement_01,101,171,29,61
60503,60502,605,8,14,간파 특성 무기 초월 (3단계),간파 특성을 가진 36레벨 초월 무기를 수집하세요.,47,16,0,36,Icon_ItemAchievement_01,101,290,29,103
60504,60503,605,8,14,간파 특성 무기 초월 (4단계),간파 특성을 가진 38레벨 초월 무기를 수집하세요.,47,16,0,38,Icon_ItemAchievement_01,101,429,29,152
60505,60504,605,8,14,간파 특성 무기 초월 (5단계),간파 특성을 가진 40레벨 초월 무기를 수집하세요.,47,16,0,40,Icon_ItemAchievement_01,101,660,29,235
70201,,702,8,14,용격 특성 무기 레벨 (1단계),용격 특성을 가진 15레벨 SR등급 무기를 수집하세요.,49,18,0,15,Icon_ItemAchievement_Weapon,29,149,253,
70202,70201,702,8,14,용격 특성 무기 레벨 (2단계),용격 특성을 가진 30레벨 SR등급 무기를 수집하세요.,49,18,0,30,Icon_ItemAchievement_Weapon,29,299,253,
70203,70202,702,8,14,용격 특성 무기 레벨 (3단계),용격 특성을 가진 15레벨 UR등급 무기를 수집하세요.,49,18,0,15,Icon_ItemAchievement_Weapon,29,506,253,
70204,70203,702,8,14,용격 특성 무기 레벨 (4단계),용격 특성을 가진 30레벨 UR등급 무기를 수집하세요.,49,18,0,30,Icon_ItemAchievement_Weapon,29,748,253,
70205,70204,702,8,14,용격 특성 무기 레벨 (5단계),용격 특성을 가진 40레벨 UR등급 무기를 수집하세요.,49,18,0,40,Icon_ItemAchievement_Weapon,29,1152,253,
70301,,703,8,14,용격 특성 무기 강화 (1단계),용격 특성을 가진 +10강 무기를 수집하세요.,56,18,0,10,Icon_ItemAchievement_01,10,95,29,67
70302,70301,703,8,14,용격 특성 무기 강화 (2단계),용격 특성을 가진 +15강 무기를 수집하세요.,56,18,0,15,Icon_ItemAchievement_01,10,190,29,134
70303,70302,703,8,14,용격 특성 무기 강화 (3단계),용격 특성을 가진 +20강 무기를 수집하세요.,56,18,0,20,Icon_ItemAchievement_01,10,322,29,227
70304,70303,703,8,14,용격 특성 무기 강화 (4단계),용격 특성을 가진 +25강 무기를 수집하세요.,56,18,0,25,Icon_ItemAchievement_01,10,476,29,336
70305,70304,703,8,14,용격 특성 무기 강화 (5단계),용격 특성을 가진 +30강 무기를 수집하세요.,56,18,0,30,Icon_ItemAchievement_01,10,733,29,518
70401,,704,8,14,용격 특성 레벨 (1단계),2레벨 용격 특성을 가진 무기를 수집하세요.,48,18,0,2,Icon_ItemAchievement_Ability_11,58,99,29,24
70402,70401,704,8,14,용격 특성 레벨 (2단계),4레벨 용격 특성을 가진 무기를 수집하세요.,48,18,0,4,Icon_ItemAchievement_Ability_11,58,199,29,48
70403,70402,704,8,14,용격 특성 레벨 (3단계),6레벨 용격 특성을 가진 무기를 수집하세요.,48,18,0,6,Icon_ItemAchievement_Ability_11,58,337,29,82
70404,70403,704,8,14,용격 특성 레벨 (4단계),8레벨 용격 특성을 가진 무기를 수집하세요.,48,18,0,8,Icon_ItemAchievement_Ability_11,58,498,29,122
70405,70404,704,8,14,용격 특성 레벨 (5단계),10레벨 용격 특성을 가진 무기를 수집하세요.,48,18,0,10,Icon_ItemAchievement_Ability_11,58,767,29,188
70501,,705,8,14,용격 특성 무기 초월 (1단계),용격 특성을 가진 32레벨 초월 무기를 수집하세요.,47,18,0,32,Icon_ItemAchievement_01,101,85,29,30
70502,70501,705,8,14,용격 특성 무기 초월 (2단계),용격 특성을 가진 34레벨 초월 무기를 수집하세요.,47,18,0,34,Icon_ItemAchievement_01,101,171,29,61
70503,70502,705,8,14,용격 특성 무기 초월 (3단계),용격 특성을 가진 36레벨 초월 무기를 수집하세요.,47,18,0,36,Icon_ItemAchievement_01,101,290,29,103
70504,70503,705,8,14,용격 특성 무기 초월 (4단계),용격 특성을 가진 38레벨 초월 무기를 수집하세요.,47,18,0,38,Icon_ItemAchievement_01,101,429,29,152
70505,70504,705,8,14,용격 특성 무기 초월 (5단계),용격 특성을 가진 40레벨 초월 무기를 수집하세요.,47,18,0,40,Icon_ItemAchievement_01,101,660,29,235
210201,,2102,9,10,인내 특성 투구 레벨 (1단계),인내 특성을 가진 15레벨 SR등급 투구를 수집하세요.,49,6,0,15,Icon_ItemAchievement_Helmet,26,87,58,44
210202,210201,2102,9,10,인내 특성 투구 레벨 (2단계),인내 특성을 가진 30레벨 SR등급 투구를 수집하세요.,49,6,0,30,Icon_ItemAchievement_Helmet,26,174,58,88
210203,210202,2102,9,10,인내 특성 투구 레벨 (3단계),인내 특성을 가진 15레벨 UR등급 투구를 수집하세요.,49,6,0,15,Icon_ItemAchievement_Helmet,26,296,58,149
210204,210203,2102,9,10,인내 특성 투구 레벨 (4단계),인내 특성을 가진 30레벨 UR등급 투구를 수집하세요.,49,6,0,30,Icon_ItemAchievement_Helmet,26,437,58,221
210205,210204,2102,9,10,인내 특성 투구 레벨 (5단계),인내 특성을 가진 40레벨 UR등급 투구를 수집하세요.,49,6,0,40,Icon_ItemAchievement_Helmet,26,673,58,340
210301,,2103,9,10,인내 특성 투구 강화 (1단계),인내 특성을 가진 +10강 투구를 수집하세요.,56,6,0,10,Icon_ItemAchievement_01,11,87,10,56
210302,210301,2103,9,10,인내 특성 투구 강화 (2단계),인내 특성을 가진 +15강 투구를 수집하세요.,56,6,0,15,Icon_ItemAchievement_01,11,174,10,113
210303,210302,2103,9,10,인내 특성 투구 강화 (3단계),인내 특성을 가진 +20강 투구를 수집하세요.,56,6,0,20,Icon_ItemAchievement_01,11,296,10,192
210304,210303,2103,9,10,인내 특성 투구 강화 (4단계),인내 특성을 가진 +25강 투구를 수집하세요.,56,6,0,25,Icon_ItemAchievement_01,11,437,10,284
210305,210304,2103,9,10,인내 특성 투구 강화 (5단계),인내 특성을 가진 +30강 투구를 수집하세요.,56,6,0,30,Icon_ItemAchievement_01,11,673,10,437
210401,,2104,9,10,인내 특성 레벨 달성 (1단계),2레벨 인내 특성을 가진 투구를 수집하세요.,48,6,0,2,Icon_ItemAchievement_Ability_07,233,69,60,76
210402,210401,2104,9,10,인내 특성 레벨 달성 (2단계),4레벨 인내 특성을 가진 투구를 수집하세요.,48,6,0,4,Icon_ItemAchievement_Ability_07,233,139,60,152
210403,210402,2104,9,10,인내 특성 레벨 달성 (3단계),6레벨 인내 특성을 가진 투구를 수집하세요.,48,6,0,6,Icon_ItemAchievement_Ability_07,233,235,60,258
210404,210403,2104,9,10,인내 특성 레벨 달성 (4단계),8레벨 인내 특성을 가진 투구를 수집하세요.,48,6,0,8,Icon_ItemAchievement_Ability_07,233,347,60,381
