Id,GroupId,ConditionType,ConditionValue,TaskType,Repeat,ShowRateGroup,ShowRate,RequireQuest,CharLevel,Name,PortraitTexture,Message,Duration,Delay,Sound,LimitPeriod,LimitCount,AllowWorld,PvPLimit
300403,300401,12,5001,149,1,,100,,1,Erika,Erika_01,저희는 여기서 전쟁에 패하고 숨어든 엘프들의 흔적과 수정을 찾아야 해요!,1500,1000,Announce_205_3,0,0,World,0
300404,300401,12,5001,149,1,,100,,1,Erika,Erika_01,에리카를 도와주실꺼죠?!,1500,1000,Announce_205_4,0,0,World,0
300501,300501,12,6003,149,1,,100,,1,Erika,Erika_02,황무지는 그 모습 만큼이나 쓸쓸한 기분이 느껴지네요.,1500,3000,Announce_206_1,0,0,World,0
300503,300501,12,6003,149,1,,100,,1,Erika,Erika_01,"살짝 두렵지만, 그래도 <YellowBold>(플레이어 이름)</>님과 함께라면, 에리카 두렵지 않아요!",1500,1000,Announce_206_3,0,0,World,0
300504,300501,12,6003,149,1,,100,,1,Erika,Erika_01,하지만 빨리 다른 지역으로 갈 수 있었으면 좋겠네요! 힘내자구요!,1500,1000,Announce_206_4,0,0,World,0
300601,300601,2,7,149,1,,100,,1,Erika,Erika_02,디온 목초지는 사람들이 모이면서 활기를 되찾고 있는 곳이에요.,1500,3000,Announce_207_1,0,0,World,0
300602,300601,2,7,149,1,,100,,1,Erika,Erika_03,"물론 자연과 함께 살아가는 엘프의 시선에서는, 인간의 개척은 다소 과격해 보이네요!",1500,1000,Announce_207_2,0,0,World,0
300603,300601,2,7,149,1,,100,,1,Erika,Erika_01,"그래도 인간이 자연과 어울리는 방법 또한, 에바신의 뜻이라고 생각한답니다.",1500,1000,Announce_207_3,0,0,World,0
300604,300601,2,7,149,1,,100,,1,Erika,Erika_01,자! 그럼 어떤 방법이 있을지 함께 찾아 떠나봐요!,1500,1000,Announce_207_4,0,0,World,0
300701,300701,12,8001,149,1,,100,,1,Erika,Erika_03,크루마 늪지는 그 이름 그대로 크루마라는 거대 거북이를 위한 곳이었답니다.,1500,3000,Announce_208_1,0,0,World,0
300702,300701,12,8001,149,1,,100,,1,Erika,Erika_03,저도 본적은 없지만 정말 거대한 거북이였다고 전해지고 있어요!,1500,1000,Announce_208_2,0,0,World,0
300703,300701,12,8001,149,1,,100,,1,Erika,Erika_01,"참, 하거인이 존재했다는 전설도 있어요.",1500,1000,Announce_208_3,0,0,World,0
300704,300701,12,8001,149,1,,100,,1,Erika,Erika_01,이곳은 거대한 존재들과 인연이 깊은 곳인가 봐요.,1500,1000,Announce_208_4,0,0,World,0
300705,300701,12,8001,149,1,,100,,1,Erika,Erika_01,"에리카도 <YellowBold>(플레이어 이름)님</>과 함께, 이곳에서 거대한 발자취를 남기고 싶답니다!",1500,1000,Announce_208_5,0,0,World,0
300801,300801,12,9001,149,1,,100,,1,Erika,Erika_04,드디어 투쟁의 봉우리에 오게 되었네요.,1500,3000,Announce_209_1,0,0,World,0
300802,300801,12,9001,149,1,,100,,1,Erika,Erika_03,이곳은 우리 엘프들에게 있어 가장 가까이 하고 싶지 않은 곳 중에 하나랍니다.,1500,1000,Announce_209_2,0,0,World,0
300803,300801,12,9001,149,1,,100,,1,Erika,Erika_01,"모든 생명은 고귀하지만, 그래도 올마훔이 가득한 이곳은 왠지 피하고 싶어지네요.",1500,1000,Announce_209_3,0,0,World,0
300804,300801,12,9001,149,1,,100,,1,Erika,Erika_01,"어서 우리의 임무를 완수하고, 다른 지역으로 향하도록 노력해 보아요.",1500,1000,Announce_209_4,0,0,World,0
300805,300801,12,9001,149,1,,100,,1,Erika,Erika_01,"<YellowBold>(플레이어 이름)</>님 힘내요! 에리카, 응원합니다!",1500,1000,Announce_209_5,0,0,World,0
300901,300901,12,10003,149,1,,100,,1,Erika,Erika_03,절규의 땅. 그 이름 그대로 고통에 신음하는 곳.,1500,3000,Announce_210_1,0,0,World,0
300902,300901,12,10003,149,1,,100,,1,Erika,Erika_02,"두려움, 그리고 슬픔이 가득한 이곳을 위해 무엇을 할 수 있을까요.",1500,1000,Announce_210_2,0,0,World,0
300903,300901,12,10003,149,1,,100,,1,Erika,Erika_01,"에리카, 그 답은 알 수 없지만, 그래도 <YellowBold>(플레이어 이름)</>님이라면 길을 찾으실거에요.",1500,1000,Announce_210_3,0,0,World,0
300904,300901,12,10003,149,1,,100,,1,Erika,Erika_01,"이곳이 다른 이름으로 불릴 수 있도록, 힘을 보태주세요.",1500,1000,Announce_210_4,0,0,World,0
300905,300901,12,10003,149,1,,100,,1,Erika,Erika_01,에리카도 슬픔에 눈돌리지 않고 지켜볼께요.,1500,1000,Announce_210_5,0,0,World,0
301001,301001,12,11001,149,1,,100,,1,Erika,Erika_03,기란! 드디어 기란에 도착했어요!,1500,3000,Announce_211_1,0,0,World,0
301002,301001,12,11001,149,1,,100,,1,Erika,Erika_03,오랜 여행에 잠시 쉴 수 있는 안식처랍니다.,1500,1000,Announce_211_2,0,0,World,0
301003,301001,12,11001,149,1,,100,,1,Erika,Erika_01,"지친 심신을 달래고, 장비도 수선해 보아요.",1500,1000,Announce_211_3,0,0,World,0
301004,301001,12,11001,149,1,,100,,1,Erika,Erika_01,에리카는 벌써부터 맛있는 음식과 편안한 잠자리가 기대된답니다.,1500,1000,Announce_211_4,0,0,World,0
301005,301001,12,11001,149,1,,100,,1,Erika,Erika_01,<YellowBold>(플레이어 이름)</>님도 오늘만큼은 무거운 짐을 내려놓고 함께 즐겨보아요~,1500,1000,Announce_211_5,0,0,World,0
