Id,GroupId,Name,Type,DisplayLevel,Grade,EquipmentType1,EquipmentType2,WeaponType,ArmorType,Material,GachaInfoId,SoulCrystalType,PetEquipmentType,SummonGemGroupId,AcquirePerformanceType,AuctionSubGroupId,AuctionTradingUnit,IconTexture,MaxStackableCount,EffectType1,EffectParam1,EffectType2,EffectParam2,EffectType3,EffectParam3,BasicOptionGroupId,AbilityInfoPreviewId,AbilityInfoId,SellingPrice,ProvidingExp,RequiredAdena,CoolTime,Resource,AcquireContents1,AcquireContents2,AcquireContents3,AcquireContents4,AcquireContents5,TypeDesc,ClassType,LimitDesc,UsingDesc,Desc,UseType,UseLevel,MaxUseLevel,Rarity,VisualEffectId,InventoryType,BagType,LootEffect,UseClassTransfer,Usable,UseQuickSlot,Loadable,ItemInfoId,PeriodItem,ItemUseDesc,GuildWarehouseGrantRestrict,LimitBreakInfoId
10005,10000,참 잘했어요 도장 보관함,38,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_Box_02,30000,253,,253,,253,,,,,0,,,,,,,,,,소모품,,,"참 잘했어요 도장이 안전하게 보관되어 있는 상자입니다.
상자를 열면 참 잘했어요 30개를 획득할 수 있습니다.",사용 후 획득한 아이템은 거래할 수 없습니다,1,,,0,,0,5,0,0,1,0,0,,,,0,
10006,10000,수박,80,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_03,30000,8,910252,253,,253,,,,,10,,,,,,,,,,물약,0,,시원한 제철 수박입니다. 갈증해소에 그만입니다. ,10분간 HP가 3000 증가합니다.,,,,0,100006,0,5,0,0,1,1,0,,,,0,
10007,10000,포도,80,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_04,30000,8,910251,253,,253,,,,,10,,,,,,,,,,물약,0,,싱그러운 제철 포도 입니다. 철분이 풍부하여 빈혈을 예방할 수 있습니다.,10분간 크리티컬 데미지가 3% 증가합니다.,,,,0,100006,0,5,0,0,1,1,0,,,,0,
10008,10000,참외,80,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_05,30000,8,910253,253,,253,,,,,10,,,,,,,,,,물약,0,,달콤한 제철 참외 입니다. 비타민C가 풍부하여 피로회복에 좋습니다.,10분간 방어력이 2000 증가합니다.,,,,0,100006,0,5,0,0,1,1,0,,,,0,
10009,10000,복분자,80,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_06,30000,8,910254,253,,253,,,,,10,,,,,,,,,,물약,0,,여름 복분자는 맛도 영양도 일품입니다. 정말 좋은데 설명할 길이 없네요.,10분간 공격력이 1500 증가합니다.,,,,0,100006,0,5,0,0,1,1,0,,,,0,
10010,10000,여름 제철과일 상자,38,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_Box_03,30000,253,,253,,253,,,,,10,,,,,,,,,,소모품,,,"여름 제철과일이 들어있는 상자입니다.
상자를 열면 수박, 포도, 참외, 복분자 중 1개를 획득할 수 있습니다.
채집던전에서 약초 채집시 획득 가능합니다.",,,,,0,100006,0,5,0,0,1,0,0,,,,0,
10033,10000,솔잎,11,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_09,30000,253,,253,,253,,,,,100,,,,,,,,,,소모품,,,"피톤치드가 풍부하게 담겼으며, 솔향이 그윽한 솔잎입니다. 송편의 필수 재료입니다.",,,,,0,100006,0,5,0,0,0,0,0,,,,0,
10034,10000,천연 벌꿀,11,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_10,30000,253,,253,,253,,,,,100,,,,,,,,,,소모품,,,미네랄과 비타민 등 영양이 풍부한 천연 벌꿀입니다. 꿀송편의 달콤함을 책임집니다,,,,,0,100006,0,5,0,0,0,0,0,,,,0,
10035,10000,유기농 쌀가루,11,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_11,30000,253,,253,,253,,,,,100,,,,,,,,,,소모품,,,메뚜기와 함께 자라난 유기농 쌀을 방앗간에서 곱게 갈아 만든 쌀가루입니다. 송편의 필수 재료입니다.,,,,,0,100006,0,5,0,0,0,0,0,,,,0,
10036,10000,참깨,11,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_12,30000,253,,253,,253,,,,,100,,,,,,,,,,소모품,,,꼬소함을 자랑하는 참깨입니다. 꿀송편에 들어가 달콤함과 고소함의 밸런스를 맞추어줍니다.,,,,,0,100006,0,5,0,0,0,0,0,,,,0,
10037,10000,가을밤,11,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_13,30000,253,,253,,253,,,,,100,,,,,,,,,,소모품,,,잘 익은 가을 밤입니다. 맛도 영양도 일품입니다. 밤송편에 들어가는 주 재료 입니다. ,,,,,0,100006,0,5,0,0,0,0,0,,,,0,
10046,10000,빨간색 전구,11,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_17,30000,253,,253,,253,,,,,100,,,,,,,,,,이벤트,,,"앙증맞게 반짝이는 빨간색 전구입니다.
크리스마스 트리 배지 제작에 사용합니다.",채집 던전에서 약초 채집 시 획득,,,,0,100006,0,6,0,0,0,0,0,,,,0,
10038,10000,갈색 천,11,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_18,30000,253,,253,,253,,,,,100,,,,,,,,,,이벤트,,,"고급스럽게 윤기가 흐르는 갈색 천입니다.
크리스마스 트리 배지/루돌프 배지 제작에 사용합니다.",결투장 입장 시 획득,,,,0,100006,0,6,0,0,0,0,0,,,,0,
10039,10000,검정색 단추,11,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_19,30000,253,,253,,253,,,,,100,,,,,,,,,,이벤트,,,"작고 귀여운 검정색 단추입니다.
루돌프 배지/산타클로스 배지 제작에 사용합니다.",장비 던전 입장 시 획득,,,,0,100006,0,6,0,0,0,0,0,,,,0,
10040,10000,흰색 솜,11,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_20,30000,253,,253,,253,,,,,100,,,,,,,,,,이벤트,,,"몽글몽글 포근한 흰색 솜입니다.
크리스마스 트리 배지/산타클로스 배지 제작에 사용합니다.",소환석 던전 입장 시 획득,,,,0,100006,0,6,0,0,0,0,0,,,,0,
10041,10000,알록달록 실타래,11,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_21,30000,253,,253,,253,,,,,100,,,,,,,,,,이벤트,,,"보기만해도 기분이 좋아지는 알록달록 실타래 입니다.
루돌프 배지/산타클로스 배지 제작에 사용합니다.",요일 던전 클리어 시 획득,,,,0,100006,0,6,0,0,0,0,0,,,,0,
10042,10000,크리스마스 양말,38,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_Box_04,30000,253,,253,,253,,,,,0,,,,,,,,,,이벤트,,,"크리스마스 배지 재료들이 가득 들어있는 양말입니다.
사용 시 배지 재료를 랜덤하게 획득합니다.",일일/주간 퀘스트 완료 시 획득,,,,0,100006,0,5,0,0,1,0,0,,,,0,
10043,10000,크리스마스 트리 배지,38,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_Box_05,30000,253,,253,,253,,,,,0,,,,,,,,,,이벤트,,,"크리스마스 트리 모양의 배지입니다.
사용 시 프리미엄 재료를 랜덤하게 획득합니다.",,,,,0,100006,0,5,0,0,1,0,0,,,,0,
10044,10000,루돌프 배지,38,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_Box_06,30000,253,,253,,253,,,,,0,,,,,,,,,,이벤트,,,"루돌프 모양의 배지입니다.
사용 시 탑승펫 성장 재료를 랜덤하게 획득합니다.",,,,,0,100006,0,5,0,0,1,0,0,,,,0,
10045,10000,산타클로스 배지,38,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_Box_07,30000,253,,253,,253,,,,,0,,,,,,,,,,이벤트,,,"산타클로스 모양의 배지입니다.
사용 시 UR 제작 재료를 랜덤하게 획득합니다.",,,,,0,100006,0,5,0,0,1,0,0,,,,0,
10047,10000,장미꽃 포인트,11,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_22,30000,253,,253,,253,,,,,0,,,,,,,,,,이벤트,,,"2018년도 잘 부탁해! 이벤트 아이템입니다.
이벤트 페이지에서 아이템을 구매할 수 있습니다.",혈맹 활동 시 획득,,,,0,100006,0,6,0,0,0,0,0,,,,0,
10048,10000,초콜릿 포인트,11,,18,12,12,6,3,3,,9,4,,0,,,Icon_Event_Valentain_01,30000,253,,253,,253,,,,,0,,,,,,,,,,이벤트,,,"2018!발렌타인 상점 이벤트 아이템입니다.
이벤트 페이지에서 아이템을 구매할 수 있습니다.",,,,,0,100006,0,6,0,0,0,0,0,,,,0,
510107,10000,밤하늘 폭죽,64,,18,12,12,6,3,3,,9,4,,0,,,Icon_Firework_01,30000,47,2000001,253,,253,,,,,10,,,,,,,,,,소모품,0,,대낮에도 밤하늘을 수놓을 수 있는 폭죽입니다.,사용 시 예쁜 폭죽을 볼 수 있습니다.,,,,0,,0,5,0,0,1,1,0,,,캐릭터의 머리위에 반짝이는 폭죽이 쏟아지고 있습니다.,0,
510108,10000,은하수 폭죽,64,,18,12,12,6,3,3,,9,4,,0,,,Icon_Firework_02,30000,47,2000002,253,,253,,,,,10,,,,,,,,,,소모품,0,,반짝반짝 눈부신 별의 무리를 볼 수 있는 은하수 폭죽입니다.,사용 시 예쁜 폭죽을 볼 수 있습니다.,,,,0,,0,5,0,0,1,1,0,,,캐릭터의 머리위에 반짝이는 폭죽이 쏟아지고 있습니다.,0,
510109,10000,부자되세요 폭죽,64,,18,12,12,6,3,3,,9,4,,0,,,Icon_Firework_03,30000,47,2000003,253,,253,,,,,10,,,,,,,,,,소모품,0,,부자가 되길 바라는 마음을 전달하는 폭죽입니다.,사용 시 예쁜 폭죽을 볼 수 있습니다.,,,,0,,0,5,0,0,1,1,0,,,캐릭터의 머리위에 반짝이는 폭죽이 쏟아지고 있습니다.,0,
510110,10000,사랑해 폭죽,64,,18,12,12,6,3,3,,9,4,,0,,,Icon_Firework_04,30000,47,2000004,253,,253,,,,,10,,,,,,,,,,소모품,0,,고백 성공률 100%를 보장하는 연인들을 위한 특별한 폭죽입니다.,사용 시 예쁜 폭죽을 볼 수 있습니다.,,,,0,,0,5,0,0,1,1,0,,,캐릭터의 머리위에 반짝이는 폭죽이 쏟아지고 있습니다.,0,
510111,510111,혈맹 이름 변경권,82,,18,12,12,6,3,3,,9,4,,0,,,UI_Icon_GuildnameChange_01,30000,253,,253,,253,,,,,0,,,,,,,,,,소모품,,,혈맹 이름을 변경할 수 있습니다.,,,,,0,,0,5,0,0,1,0,0,,,,1,
510112,10000,할로윈 캔디 폭죽,64,,18,12,12,6,3,3,,9,4,,0,,,Icon_Firework_05,30000,47,2000005,253,,253,,,,,10,,,,,,,,,,소모품,,,달콤한 캔디가 쏟아지는 할로윈 폭죽입니다.,사용 시 예쁜 폭죽을 볼 수 있습니다.,,,,0,,0,5,0,0,1,1,0,,,캐릭터의 머리위에 반짝이는 폭죽이 쏟아지고 있습니다.,0,
510113,10000,해피 할로윈 폭죽,64,,18,12,12,6,3,3,,9,4,,0,,,Icon_Firework_06,30000,47,2000006,253,,253,,,,,10,,,,,,,,,,소모품,,,행복한 할로윈을 기원하는 폭죽입니다.,사용 시 예쁜 폭죽을 볼 수 있습니다.,,,,0,,0,5,0,0,1,1,0,,,캐릭터의 머리위에 반짝이는 폭죽이 쏟아지고 있습니다.,0,
510114,10000,해피 발렌타인 폭죽,64,,18,12,12,6,3,3,,9,4,,0,,,Icon_Firework_07,30000,47,2000007,253,,253,,,,,10,,,,,,,,,,소모품,,,사랑이 넘치는 발렌타인을 축복하는 폭죽입니다.,사용 시 예쁜 폭죽을 볼 수 있습니다.,,,,0,,0,5,0,0,1,1,0,,,캐릭터의 머리위에 반짝이는 폭죽이 쏟아지고 있습니다.,0,
510115,10000,러브유 폭죽,64,,18,12,12,6,3,3,,9,4,,0,,,Icon_Firework_08,30000,47,2000008,253,,253,,,,,10,,,,,,,,,,소모품,,,사랑하는 사람에게 고백할 때 사용할 수 있는 아름다운 폭죽입니다.,사용 시 예쁜 폭죽을 볼 수 있습니다.,,,,0,,0,5,0,0,1,1,0,,,캐릭터의 머리위에 반짝이는 폭죽이 쏟아지고 있습니다.,0,
510201,10000,척살의 징표,11,,18,12,12,6,3,3,,9,4,,0,,,Icon_Guild_Stab_Token_01,30000,253,,253,,253,,,,,0,,,,,,,,,,소모품,,,척살을 선포할 때 사용됩니다.,,,,,0,,0,6,0,0,0,0,0,,,,1,
510202,510202,척살 성공 보상 상자,38,,18,12,12,6,3,3,,9,4,,0,,,Icon_Box_StabReward_01,30000,253,,253,,253,,,,,0,,,,,,,,,,소모품,0,,척살에 성공한 자에게 지급되는 보상입니다. 사용 시 혈맹 주화를 획득할 수 있습니다.,사용 후 획득한 아이템은 거래할 수 없습니다,1,,,0,,0,5,0,0,1,0,0,,,,0,
110010,110010,싸울아비 장검,10,,1,1,12,0,3,3,,9,4,,0,201,1,Weapon_Sword_SamuraiLongSword_05,1,1,69,21,8,0,0,,1,,50,,,,"SamuraiLongSword_01,SamuraiShield_01",1,9,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,0,0,0,0,0,,,,0,
110011,110010,싸울아비 장검,10,,2,1,12,0,3,3,,9,4,,0,201,1,Weapon_Sword_SamuraiLongSword_05,1,1,188,21,25,0,0,,1,,100,,,,"SamuraiLongSword_01,SamuraiShield_02",1,9,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,0,0,0,0,0,,,,0,
110012,110010,싸울아비 장검,10,,3,1,12,0,3,3,,9,4,,0,201,1,Weapon_Sword_SamuraiLongSword_05,1,1,447,21,61,0,0,10101201,1,,750,,,,"SamuraiLongSword_02,SamuraiShield_02",1,9,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,0,0,0,0,0,,,,0,
110013,110010,싸울아비 장검,10,,4,1,12,0,3,3,,9,4,,0,201,1,Weapon_Sword_SamuraiLongSword_05,1,1,992,21,137,0,0,10101301,1,1,2500,,,,"SamuraiLongSword_03,SamuraiShield_03",1,9,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,1,0,0,0,0,,,,0,
110014,110010,싸울아비 장검,10,,5,1,12,0,3,3,,9,4,,1,201,1,Weapon_Sword_SamuraiLongSword_05,1,1,2041,21,282,0,0,10101401,1,1,12500,,,,"SamuraiLongSword_04,SamuraiShield_04",9,,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,1,0,0,0,0,,,,0,
110015,110010,싸울아비 장검,10,,6,1,12,0,3,3,,9,4,,1,201,1,Weapon_Sword_SamuraiLongSword_05,1,1,3874,21,537,0,0,10101501,1,1,25000,,,,"SamuraiLongSword_05,SamuraiShield_05",9,,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,2,0,0,0,0,,,,0,1
110016,110010,싸울아비 장검,10,,7,1,12,0,3,3,,9,4,,1,201,1,Weapon_Sword_SamuraiLongSword_05,1,1,8623,21,1195,0,0,10101601,1,1,45000,,,,"SamuraiLongSword_06,SamuraiShield_06",,,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,2,0,0,0,0,,,,0,1
110020,110020,혁명의 검,10,,1,1,12,0,3,3,,9,4,,0,201,1,Weapon_Shield_RevolutionShield_06,1,1,67,21,8,0,0,,2,,50,,,,"RevolutionSword_01,RevolutionShield_01",1,9,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,0,0,0,0,0,,,,0,
110021,110020,혁명의 검,10,,2,1,12,0,3,3,,9,4,,0,201,1,Weapon_Shield_RevolutionShield_06,1,1,184,21,24,0,0,,2,,100,,,,"RevolutionSword_01,RevolutionShield_01",1,9,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,0,0,0,0,0,,,,0,
110022,110020,혁명의 검,10,,3,1,12,0,3,3,,9,4,,0,201,1,Weapon_Shield_RevolutionShield_06,1,1,438,21,60,0,0,10102201,2,,750,,,,"RevolutionSword_02,RevolutionShield_02",1,9,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,0,0,0,0,0,,,,0,
110023,110020,혁명의 검,10,,4,1,12,0,3,3,,9,4,,0,201,1,Weapon_Shield_RevolutionShield_06,1,1,971,21,135,0,0,10102301,2,2,2500,,,,"RevolutionSword_03,RevolutionShield_03",1,9,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,1,0,0,0,0,,,,0,
110024,110020,혁명의 검,10,,5,1,12,0,3,3,,9,4,,1,201,1,Weapon_Shield_RevolutionShield_06,1,1,1998,21,278,0,0,10102401,2,2,12500,,,,"RevolutionSword_04,RevolutionShield_04",9,,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,1,0,0,0,0,,,,0,
110025,110020,혁명의 검,10,,6,1,12,0,3,3,,9,4,,1,201,1,Weapon_Shield_RevolutionShield_06,1,1,3792,21,529,0,0,10102501,2,2,25000,,,,"RevolutionSword_05,RevolutionShield_05",9,,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,2,0,0,0,0,,,,0,2
110026,110020,혁명의 검,10,,7,1,12,0,3,3,,9,4,,1,201,1,Weapon_Shield_RevolutionShield_06,1,1,8441,21,1178,0,0,10102601,2,2,45000,,,,"RevolutionSword_06,RevolutionShield_06",,,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,2,0,0,0,0,,,,0,2
110030,110030,다이너스티 소드,10,,1,1,12,0,3,3,,9,4,,0,201,1,Weapon_Shield_DynastyShield_06,1,1,67,21,8,0,0,,3,,50,,,,"DynastySword_01,DynastyShield_01",1,9,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,0,0,0,0,0,,,,0,
110031,110030,다이너스티 소드,10,,2,1,12,0,3,3,,9,4,,0,201,1,Weapon_Shield_DynastyShield_06,1,1,184,21,24,0,0,,3,,100,,,,"DynastySword_01,DynastyShield_01",1,9,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,0,0,0,0,0,,,,0,
110032,110030,다이너스티 소드,10,,3,1,12,0,3,3,,9,4,,0,201,1,Weapon_Shield_DynastyShield_06,1,1,438,21,60,0,0,10103201,3,,750,,,,"DynastySword_02,DynastyShield_02",1,9,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,0,0,0,0,0,,,,0,
110033,110030,다이너스티 소드,10,,4,1,12,0,3,3,,9,4,,0,201,1,Weapon_Shield_DynastyShield_06,1,1,971,21,135,0,0,10103301,3,3,2500,,,,"DynastySword_03,DynastyShield_03",1,9,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,1,0,0,0,0,,,,0,
110034,110030,다이너스티 소드,10,,5,1,12,0,3,3,,9,4,,1,201,1,Weapon_Shield_DynastyShield_06,1,1,1998,21,278,0,0,10103401,3,3,12500,,,,"DynastySword_04,DynastyShield_04",9,,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,1,0,0,0,0,,,,0,
110035,110030,다이너스티 소드,10,,6,1,12,0,3,3,,9,4,,1,201,1,Weapon_Shield_DynastyShield_06,1,1,3792,21,529,0,0,10103501,3,3,25000,,,,"DynastySword_05,DynastyShield_05",9,,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,2,0,0,0,0,,,,0,3
110036,110030,다이너스티 소드,10,,7,1,12,0,3,3,,9,4,,1,201,1,Weapon_Shield_DynastyShield_06,1,1,8441,21,1178,0,0,10103601,3,3,45000,,,,"DynastySword_06,DynastyShield_06",,,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,2,0,0,0,0,,,,0,3
110043,110040,듀나미스 소드,10,,4,1,12,0,3,3,,9,4,,0,201,1,Weapon_Shield_DynamisShield_06,1,1,1149,21,156,0,0,10104301,4,4,2500,,,,"Dynamis_03,DynamisShield_03",9,,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,1,,0,0,1,0,0,0,0,,,,0,
110044,110040,듀나미스 소드,10,,5,1,12,0,3,3,,9,4,,1,201,1,Weapon_Shield_DynamisShield_06,1,1,2363,21,323,0,0,10104401,4,4,12500,,,,"Dynamis_04,DynamisShield_04",9,,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,1,,0,0,1,0,0,0,0,,,,0,
110045,110040,듀나미스 소드,10,,6,1,12,0,3,3,,9,4,,1,201,1,Weapon_Shield_DynamisShield_06,1,1,4485,21,614,0,0,10104501,4,4,25000,,,,"Dynamis_05,DynamisShield_05",9,,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,1,,0,0,2,0,0,0,0,,,,0,4
110046,110040,듀나미스 소드,10,,7,1,12,0,3,3,,9,4,,1,201,1,Weapon_Shield_DynamisShield_06,1,1,9984,21,1366,0,0,10104601,4,4,45000,,,,"Dynamis_06,DynamisShield_06",,,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,1,,0,0,2,0,0,0,0,,,,0,4
110050,110050,스톰 브링거,10,,1,1,12,0,3,3,,9,4,,0,201,1,Weapon_Shield_ChainShield,1,1,70,21,8,0,0,,16,,50,,,,"StormBringer_01,ChainShield_01",1,9,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,0,0,0,0,0,,,,0,
110051,110050,스톰 브링거,10,,2,1,12,0,3,3,,9,4,,0,201,1,Weapon_Shield_ChainShield,1,1,190,21,25,0,0,,16,,100,,,,"StormBringer_01,ChainShield_01",1,9,,,,검방패,2,,공격력과 함께 방어력도 올라가는 것이 특징인 무기입니다.,,,,,0,,0,0,0,0,0,0,0,,,,0,
