Type,ActorStatType,Name,IsPercentage,IsTime,Order,ClassInfoIdList,IconTexture,Revision
57,172,아이템 획득 확률 증가,0,0,,,,0
58,44,최대 HP,0,0,,,Icon_Stat_01,1.5
59,45,최대 HP 증가율,1,0,24,,,0
60,46,최대 MP,0,0,,,Icon_Stat_02,1
61,47,최대 MP 증가율,1,0,25,,,0
62,52,이동속도 증가율,1,0,30,,,0
63,48,MP,0,0,,,,0
64,172,MP를 최대 MP의 비율로 증가,1,0,,,,0
65,49,MP 비용 감소율,1,0,29,,,0
66,172,MP 비용 감소,0,0,,,,0
67,50,MP 회복량,0,0,27,,,0.15
68,172,원킬(적을 공격하면 한방에 죽음),0,0,,,,0
69,172,발사체,0,0,,,,0
70,8,스킬 쿨타임 감소,0,1,38,,,0
71,172,똑똑(스킬 사용시 소모 MP 무조건 1),0,0,,,,0
72,172,정탄 공격 보너스,0,0,,,,0
73,172,튼튼(피격 대미지 무조건 1),0,0,,,,0
74,172,스턴,0,0,,,,0
75,172,조롱(어그로 수치를 맥스로 올린다),0,0,,,,0
76,172,타겟 고정,0,0,,,,0
77,172,대상 이동,0,0,,,,0
78,172,대상 당기기,0,0,,,,0
79,172,당기기 저항률,1,0,,,,0
81,172,넉백 저항률,1,0,,,,0
83,172,엘릭서,0,0,,,,0
84,172,효과 없음,0,0,,,,0
85,172,스킬 테이블 정보 식별자,0,0,,,,0
253,172,범위 버프 (오오라  토템),0,0,,,,0
86,37,경험치,0,0,,,,0
87,38,경험치 획득량 증가율,1,0,37,,,0
88,172,아데나,0,0,,,,0
89,59,아데나 획득량 증가율,1,0,36,,,0
90,172,무료 다이아,0,0,,,,0
91,172,유료 다이아,0,0,,,,0
92,172,혈맹 주화,0,0,,,,0
93,172,룬 조각,0,0,,,,0
94,172,스킬 포인트,0,0,,,,0
95,172,소탕권,0,0,,,,0
96,172,아이템 드랍,0,0,,,,0
97,53,슬로우 저항률,1,0,33,,,0
98,54,"기절, 넉다운 저항률",1,0,31,,,0
99,55,상태 이상 저항률,1,0,35,,,0
103,172,스킬 범위 증가,0,0,,,,0
104,172,스킬 히트 수 증가,0,0,,,,0
100,90,콤보 만료 시간 증가,0,1,,,,0
101,80,관통,0,0,20,,,2
102,81,탄력,0,0,21,,,2
105,172,채집 속도 증가,0,0,,,,0
106,172,채집 수량 증가,0,0,,,,0
10,12,크리티컬,0,0,1,,,1.5
11,13,크리티컬 저항,0,0,3,,,1.5
12,172,크리티컬 증가율,1,0,,,,0
13,172,크리티컬 저항 증가율,1,0,,,,0
125,172,정신 지배,0,0,,,,0
133,172,공격형 일반스킬 대미지 증가,1,0,,,,0
140,106,스킬 쿨타임 감소율,1,0,39,,,0
146,172,대상의 MP 감소,0,0,,,,0
147,172,대상의 MP %감소,1,0,,,,0
148,172,공격력에 기반해 MP회복,0,0,,,,0
150,172,파티원에 따른 방어력 증가율,1,0,,,,0
151,172,상태 이상 효과 제거,0,0,,,,0
152,172,상대 이로운 효과 제거,0,0,,,,0
153,172,특정 HP 이하 피해 면역 상태,0,0,,,,0
136,172,HP 회복량 증가율,1,0,,,,0
163,113,최종 피해량 증가율,1,0,,,,0
164,114,최종 피해량 독립 감소율,1,0,,,,0
165,172,공격형 일반스킬 대미지 증가,1,0,,,,0
175,172,회복형 일반스킬 회복량 증가,1,0,,,,0
171,119,"기절, 넉다운 저항률 증폭",1,0,32,,,0
170,118,슬로우 저항률 증폭,1,0,34,,,0
169,117,크리티컬 저항률 증폭,1,0,5,,,0
131,97,몬스터에게 피해량 증가,1,0,,,,0
132,98,몬스터에 받는 피해량 감소,1,0,,,,0
176,121,몬스터에게 일반 스킬 대미지 증가,1,0,,,,0
177,122,몬스터에게 일반 스킬 대미지 증가,1,0,,,,0
25,172,자살,0,0,,,,0
80,172,넉백,0,0,,,,0
82,172,HPMP전환,0,0,,,,0
107,172,각인시간증가,0,0,,,,0
108,172,함정공격력증가,0,0,,,,0
109,172,도트최대HP비율데미지,1,0,,,,0
110,172,도트현재HP비율데미지,1,0,,,,0
111,172,도트최대HP비율힐,0,0,,,,0
112,75,업적점수,0,0,,,,0
113,78,PvP명예점수,0,0,,,,0
114,172,조건에의해스킬발동(버프용.EffectFireCondition),0,0,,,,0
115,172,특정시간마다스킬발동(버프용),0,0,,,,0
116,172,장비특성효과획득(버프용),0,0,,,,0
117,86,마나쉴드율(마나로데미지흡수율),1,0,,,,0
118,172,Pk포인트감소,0,0,,,,0
119,87,PK방지,0,0,,,,0
120,88,몬스터코어드랍율증가,0,0,,,,0
121,172,스크롤퀘스트,0,0,,,,0
122,91,Hp포션효율증가,1,0,,,,0
123,92,Mp포션효율증가,1,0,,,,0
124,89,전투력,0,0,,,,0
126,66,우정포인트,0,0,,,,0
127,96,데미지반사율,1,0,,,,0
128,172,침묵,0,0,,,,0
129,172,물리마법공격력에기반해HP회복,0,0,,,,0
130,172,물리마법공격력에기반해도트힐,0,0,,,,0
134,100,마법생물피해량증가율,1,0,,,,0
135,101,마법생물피해량감소율,1,0,,,,0
137,172,스킬쿨타임초기화,0,0,,,,0
138,172,펫경험치,0,0,,,,0
139,172,펫잠금해제(혹은경험치),0,0,,,,0
141,107,출혈대상에대한피해량증가율,1,0,,,,0
142,108,중독대상에대한피해량증가율,1,0,,,,0
143,103,명예의주화,0,0,,,,0
144,104,용맹의주화,0,0,,,,0
145,105,고대의주화,0,0,,,,0
149,172,물리마법공격력에기반해MP회복,0,0,,,,0
253,172,낚시미끼슬롯,0,0,,,,0
253,172,,0,0,,,,0
253,172,,0,0,,,,0
253,172,입질대기시간단축,1,0,,,,0
253,172,,1,0,,,,0
253,172,월척포착률,0,0,,,,0
253,172,물고기속임수상태일때대미지증가,0,0,,,,0
154,172,최종피해량증가율,1,0,,,,0
155,172,최종피해량감소율,1,0,,,,0
156,110,그린다이아,0,0,,,,0
157,172,npcSpawn,0,0,,,,0
158,172,데미지나눠맞기(고정데미지),0,0,,,,0
159,172,회복불가,0,0,,,,0
160,172,npc등급종족에따른피해량증가율,1,0,,,,0
161,111,일반스킬의대미지감소율,1,0,,,,0
162,112,레어스킬의대미지감소율,1,0,,,,0
166,172,채집던전만드라고라스폰확률증가,1,0,,,,0
167,172,,0,0,,,,0
168,116,접속포인트,0,0,,,,0
174,172,파티원에따른크리티컬저항값증가,0,0,,,,0
172,172,대상을지정한좌표로이동,0,0,,,,0
173,172,,0,0,,,,0
178,172,부활,0,0,,,,0
179,125,명인주화,0,0,,,,0
180,126,보호막수치,0,0,,,,0
181,127,최대보호막수치,0,0,,,,0
182,172,보호막흡수(액티브로흡수하는스킬이다),0,0,,,,0
183,172,소환수소환,0,0,,,,0
184,172,데미지전달,0,0,,,,0
185,172,체력평균값회복,0,0,,,,0
186,172,은신,0,0,,,,0
187,172,콤보소모하여물리데미지,0,0,,,,0
188,172,최대HP의비율만큼보호막을생성한다(액티브),1,0,,,,0
189,128,보호막상태일때물리공격력증가,0,0,,,,0
190,129,보호막상태일때마법공격력증가,0,0,,,,0
191,172,콤보카운트를증감한다.,0,0,,,,0
192,130,콤보수치에따른데미지증가율,1,0,,,,0
193,172,출혈이걸린대상에게출혈피해량에추가피해,0,0,,,,0
194,131,명중수치에따른물리공격력증가율,1,0,,,,0
195,132,명중수치에따른마법공격력증가율,1,0,,,,0
196,133,침묵대상에대한피해량증가율,1,0,,,,0
197,172,기본공격을변경,0,0,,,,0
198,172,,0,0,,,,0
199,172,,0,0,,,,0
200,172,,1,0,,,,0
201,172,스킬사용시획득될어그로수치에서지정된비율만큼감소.,1,0,,,,0
253,172,대상의특정버프소유에따른피해량증가율,1,0,,,,0
203,172,대상의특정버프소유에따른피해량감사율,1,0,,,,0
204,134,,1,0,,,,0
205,172,,0,0,,,,0
206,172,,0,0,,,,0
207,172,,0,0,,,,0
215,142,착용중인탈리스만에부여된물리공격력을N%증가,1,0,,,,0
216,143,착용중인탈리스만에부여된마법공격력을N%증가,1,0,,,,0
217,144,착용중인탈리스만에부여된물리방어력을N%증가,1,0,,,,0
218,145,착용중인탈리스만에부여된마법방어력을N%증가,1,0,,,,0
219,146,착용중인탈리스만에부여된HP을N%증가,1,0,,,,0
220,147,착용중인탈리스만에부여된MP을N%증가,1,0,,,,0
221,148,착용중인탈리스만에부여된크리티컬을N%증가,1,0,,,,0
222,149,착용중인탈리스만에부여된크리티컬저항을N%증가,1,0,,,,0
223,150,착용중인탈리스만에부여된명중을N%증가,1,0,,,,0
224,151,착용중인탈리스만에부여된회피를N%증가,1,0,,,,0
225,152,착용중인탈리스만에부여된관통을N%증가,1,0,,,,0
226,153,착용중인탈리스만에부여된탄력을N%증가,1,0,,,,0
227,154,착용중인탈리스만에부여된HP회복을N%증가,1,0,,,,0
228,155,착용중인탈리스만에부여된MP회복을N%증가,1,0,,,,0
229,156,착용중인탈리스만에부여된어그로수치증가을N%증가,1,0,,,,0
230,157,착용중인탈리스만에부여된어그로수치감소을N%증가,1,0,,,,0
231,158,착용중인탈리스만에부여된레어스킬데미지수치증가를N%증가,1,0,,,,0
232,159,착용중인탈리스만에부여된레어스킬데미지수치감소를N%증가,1,0,,,,0
233,160,레어스킬 대미지 감쇄,0,0,40,,,1.5
234,161,레어스킬 대미지 감쇄 무시,0,0,41,,,1.5
235,162,레어스킬 대미지 감쇄%증가(착용중인탈리스만),1,0,,,,0
236,163,레어스킬 대미지 감쇄 무시%증가(착용중인탈리스만),1,0,,,,0
237,164,평타 대미지 증가율,1,0,,,,0
