Index,Id,Name,Resource,SocketName,Scale,EffectRotationOnly,Offset_X,Offset_Y,Offset_Z
43,302003,"군주 핫타임 버프3(아데나,아이템)",Common/Buff_GuildMaster_03_jh,Socket_Top,1,1,,,
44,302004,군주 핫타임 버프 카메라,Common/Firework_GuildMaster_01,Camera,1,1,,,
45,500001,MaxMP 증가,Common/DungeonBuff_Get_01,Fx_Base,1,1,,,
46,500002,MaxHP 증가,Common/DungeonBuff_Get_02,Fx_Base,1,1,,,
47,500003,방어력 상승,Common/DungeonBuff_Get_03,Fx_Base,1,1,,,
48,500004,이동속도 상승,Common/DungeonBuff_Get_04,Fx_Base,1,1,,,
49,500005,공격속도 상승,Common/DungeonBuff_Get_05,Fx_Base,1,1,,,
50,500006,공격력 상승,Common/DungeonBuff_Get_06,Fx_Base,1,1,,,
51,300004,여왕 개미 광폭화,PC/Human/QueenAntBossSkill_05_gi4,Socket_Center,2,1,,,
52,300005,일개미 시한 폭탄1,Common/Ratel_Buff_02,Socket_Center,3,1,,,
53,300006,일개미 시한 폭탄2,Common/Ratel_Buff_02,Socket_Center,5,1,,,
54,300007,일개미 시한 폭탄3,Common/Ratel_Buff_02,Socket_Center,7,1,,,
55,300008,일개미 시한 폭탄4,Common/Ratel_Buff_02,Socket_Center,9,1,,,
56,300009,일개미 시한 폭탄5,Common/Ratel_Buff_02,Socket_Center,11,1,,,
57,300010,일개미 시한 폭탄6,Common/Ratel_Buff_02,Socket_Center,13,1,,,
58,300011,크루마 코어: 독,Common/Poison_DeBuff_Effect,Socket_Top,1,1,,,
59,300012,크루마 코어: 침묵,Common/Negative_DeBuff_Effect,Socket_Top,1,1,,,
60,300013,크루마 코어: 정신 지배,BP/BP_PTC_CrumaCoreBoss_Skill06,Socket_Top,1,1,,,
61,300015,여왕 개미 보호막,BP/BP_PTC_QueenAntShield,Socket_Center,1,1,,,
62,600000,결속의 수정 : 기본,Enchant/Guild_Crystal_00,FXSocket,1,1,,,
63,600001,결속의 수정 : 1단계,Enchant/Guild_Crystal_01,FXSocket,1,1,,,
64,600002,결속의 수정 : 2단계,Enchant/Guild_Crystal_02,FXSocket,1,1,,,
65,600003,결속의 수정 : 3단계,Enchant/Guild_Crystal_03,FXSocket,1,1,,,
66,111,탈것 탑승/해제 이펙트,BP/BP_PTC_VehicleSpawn,Socket_Center,1,1,,,
67,741352,마샤 스킬 이펙트,BP/BP_PTC_BansheeBossSkill_02,Socket_Center,1,1,,,
68,601001,아지트 물약 복용 이펙트,Common/Agit_Potion_start01,Fx_Base,1,1,,,
69,601002,아지트 물약 : 사기 진작 물약,BP/BP_PTC_Guild_MoveSpeed_Buff_Effect,Socket_Bottom,1,1,,,
70,601003,아지트 물약 : 얼음 폭풍 물약,BP/BP_PTC_Guild_EnemySlow_DeBuff_Effect,Socket_Bottom,1,1,,,
71,601004,아지트 물약 : HP 회복량 증가 물약,BP/BP_PTC_Guild_IncreaseHeal_Buff_Effect,Socket_Bottom,1,1,,,
72,601005,아지트 물약 : MP소멸 물약,BP/BP_PTC_Guild_DecreaseTargetMP_DeBuff_Effect,Socket_Bottom,1,1,,,
73,300014,속박,BP/BP_PTC_QueenAntBossSkill_06,Socket_Center,1,1,,,
74,8010441,근접 데미지 오오라(Timer),PC/Human/dailydungeon_damage_up_loop,Socket_Top,1,1,,,
75,801045,물의 수정 보호막,BP/BP_PTC_WaterCrystalShield,ArtifactCaptureEnd,1,1,,,-100
76,8010461,파티 오브 퓨리,BP/BP_PTC_PartyofFury,Socket_Center,1,1,,,
77,801048,오버 파워,BP/BP_PTC_OverPower,Socket_Center,1,1,,,
78,801043,스킬 데미지 상승,Common/DungeonBuff_Get_07,Fx_Base,1,1,,,
79,8010441,근접 데미지 오오라(Timer),Common/DungeonBuff_Get_08,Fx_Base,1,1,,,
80,801045,물의 수정 보호막,Common/DungeonBuff_Get_10,Fx_Base,1,1,,,
81,8010461,파티 오브 퓨리,Common/Buff_PartyofFury_Start,Fx_Base,1,1,,,
82,801048,오버 파워,Common/Buff_Powerup_start,Fx_Base,1,1,,,
83,413005,자상,BP/BP_PTC_Debuff_Bleeding,Socket_Center,1,1,,,
84,7411911,마락스_악마의 피로,BP/BP_PTC_Marax_BattleStun,Socket_Center,1,1,,,
85,300141,포이즌 스트라이크,BP/BP_PTC_SkillPoisonStrike,Socket_Bottom,1,1,,,
86,401021,보란타_불씨 디버프,BP/BP_PTC_Boranta_BossSkill_01_Debuff,Socket_Bottom,1,1,,,
87,413010,빈혈,BP/BP_PTC_Leonard_BattleStun,Socket_Bottom,1,1,,,
88,4130181,흡혈귀화 1단계,BP/BP_PTC_Debuff_VampireDisease01,Socket_Center,1,1,,,
89,4130182,흡혈귀화 2단계,BP/BP_PTC_Debuff_VampireDisease02,Socket_Center,1,1,,,
90,4130183,흡혈귀화 3단계,BP/BP_PTC_Debuff_VampireDisease03,Socket_Center,1,1,,,
91,4130184,흡혈귀화 4단계,BP/BP_PTC_Debuff_VampireDisease04,Socket_Center,1,1,,,
92,4130185,흡혈귀화 5단계,BP/BP_PTC_Debuff_VampireDisease04,Socket_Center,1,1,,,
93,413019,흡혈귀 전환,BP/BP_PTC_Debuff_VampireTransmutation,Bip01-Spine1,1,0,,,
94,401026,라모그_발화 디버프,BP/BP_PTC_Debuff_Ignition,Socket_Center,1,1,,,
95,4010351,라모그_폭발대기 자신 디버프,BP/BP_PTC_Ramog_BattleStun,Socket_Center,1,1,,,
96,103,폭죽 이펙트1,BP/BP_PTC_Common_Firecracker_01,Socket_Bottom,1,1,,,
97,104,폭죽 이펙트2,BP/BP_PTC_Common_Firecracker_02,Socket_Bottom,1,1,,,
98,105,폭죽 이펙트3,BP/BP_PTC_Common_Firecracker_03,Socket_Bottom,1,1,,,
99,106,폭죽 이펙트4,BP/BP_PTC_Common_Firecracker_04,Socket_Bottom,1,1,,,
100,413011,생명력 강탈,BP/BP_PTC_Debuff_LifeExtortion,FX_Bottom,1,1,,,
101,9902011,망토착효 : PVE 공격무효화보호막,BP/BP_PTC_CapeBarrier,Socket_Bottom,1,1,,,
102,9903011,망토착효 : PVP 레어스킬보호막,BP/BP_PTC_CapeBarrier,Socket_Bottom,1,1,,,
103,731261,자켄 광폭화,BP/BP_PTC_ZakenBossSkill_04,Socket_Center,1,1,,,
104,730222,자켄 Shift,BP/BP_PTC_Buff_SkillEvasionKick,Socket_Center,1,1,,,
105,201,필드 보상_유니크,BP_PTC_RewardFX_DropItemField,Socket_Bottom,1,1,,,
106,202,보스 기여 보상,BP_PTC_RewardFX_DropItemBoss,Socket_Bottom,1,1,,,
107,203,보스 막타,BP_PTC_RewardFX_BossFinish,Socket_Bottom,1,1,,,
108,401,부활,BP_PTC_Buff_SkillResurrection,Socket_Bottom,1,1,,,
109,402,버서커,BP_PTC_Buff_SkillBerserker,Socket_Bottom,1,1,,,
110,403,쉴드 오브 페이스,BP_PTC_Buff_SkillShieldOfFace,Socket_Bottom,1,1,,,
111,404,에바스 윌,BP_PTC_Buff_SkillEvasWill,Socket_Center,1,1,,,
112,405,송 오브 챔피언,BP_PTC_Buff_SkillSongOfChampion,Socket_Bottom,1,1,,,
113,406,스피릿 오브 실렌,BP_PTC_Buff_SkillSpiritOfShillien,Socket_Center,1,1,,,
114,407,실리엔 프로텍션,BP_PTC_Buff_SkillShillienProtection,Socket_Bottom,1,1,,,
115,408,파이널 시크릿,BP_PTC_Buff_SkillFinalSecret,Socket_Bottom,1,1,,,
116,409,이뮨 디레인지먼트,BP_PTC_Buff_SkillImmuneDerangement,Socket_Bottom,1,1,,,
117,410,밸런스 라이프,BP_PTC_Buff_SkillBalanceLife,Socket_Bottom,1,1,,,
118,411,실리엔 프로텍션,BP_PTC_Buff_SkillShillienProtection,Socket_Bottom,1,1,,,
119,412,실리엔 프로텍션(보호막),BP_PTC_Buff_SkillShillienProtectionShield,Socket_Bottom,1,1,,,
120,413,나이트 쉐이드 이펙트,BP_KnightShade,Socket_Bottom,1,1,,,
121,414,소울레스 이펙트,BP_Soulless,Socket_Bottom,1,1,,,
122,415,스피릿 오브 문라이트,BP_PTC_SkillSpiritOfMoonlight,Socket_Bottom,1,1,,,
123,416,코인 오브 마프르(앞면),BP_PTC_Buff_SkillCoinOfMafr_Front,Socket_Top,1,1,,,
124,417,코인 오브 마프르(뒷면),BP_PTC_Buff_SkillCoinOfMafr_Back,Socket_Top,1,1,,,
125,418,코인 오브 마프르(히든),BP_PTC_Buff_SkillCoinOfMafr_Hidden,Socket_Top,1,1,,,
127,419,리저렉션 노티 이펙트,BP_PTC_SkillResurrectionmark,Socket_Bottom,1,1,,,
128,204,필드보상_일반,BP_PTC_RewardFX_DropItemField_01,Socket_Bottom,1,1,,,
129,205,필드보상_레어,BP_PTC_RewardFX_DropItemField_02,Socket_Bottom,1,1,,,
130,206,폭죽 이펙트_발렌타인1,BP/BP_PTC_Valentine_Firecracker_01,Socket_Bottom,1,1,,,
131,207,폭죽 이펙트_발렌타인2,BP/BP_PTC_Valentine_Firecracker_02,Socket_Bottom,1,1,,,
2000,40020401,그물 속박,BP/BP_PTC_Debuff_Net,Socket_Center,1,1,,,
2001,40020403,대지의 갑옷,BP/BP_PTC_Buff_StoneArmor,Socket_Center,1,1,,,
400204201,40020420,불의 시험,BP/BP_PTC_Buff_DikeBossSkill_05_Fire,Socket_Center,1,1,,,
400204211,40020421,물의 시험,BP/BP_PTC_Buff_DikeBossSkill_05_Water,Socket_Center,1,1,,,
400204221,40020422,대지의 시험,BP/BP_PTC_Buff_DikeBossSkill_05_Earth,Socket_Center,1,1,,,
400204231,40020423,바람의 시험,BP/BP_PTC_Buff_DikeBossSkill_05_Wind,Socket_Center,1,1,,,
400204461,40020446,정화의 시험 : 시전 - 불,BP/BP_PTC_Buff_DikeBossSkill_06_01_Fire,Dummy02,1,1,,,
400204471,40020447,정화의 시험 : 시전 - 물,BP/BP_PTC_Buff_DikeBossSkill_06_01_Water,Dummy02,1,1,,,
400204481,40020448,정화의 시험 : 시전 - 대지,BP/BP_PTC_Buff_DikeBossSkill_06_01_Earth,Dummy02,1,1,,,
400204491,40020449,정화의 시험 : 시전 - 바람,BP/BP_PTC_Buff_DikeBossSkill_06_01_Wind,Dummy02,1,1,,,
2002,40020474,원소 충전 : 불,BP/BP_PTC_Buff_HagiosBossSkill_04_01,Socket_Center,1,1,,,
2003,40020475,원소 충전 : 바람,BP/BP_PTC_Buff_HagiosBossSkill_04_02,Socket_Center,1,1,,,
2004,40020476,석화,BP/BP_PTC_DeBuff_TurnToStone,Socket_Bottom,1,1,,,
2005,40020480,원소 흡수 : 파아그리오의 가호,BP/BP_PTC_Buff_HagiosBossSkill_06_02_Fire,Socket_Center,1,1,,,
2006,40020482,원소 흡수 : 실렌의 가호,BP/BP_PTC_Buff_HagiosBossSkill_06_02_Water,Socket_Center,1,1,,,
2007,40020484,원소 흡수 : 마프르의 가호,BP/BP_PTC_Buff_HagiosBossSkill_06_02_Earth,Socket_Center,1,1,,,
2008,40020485,원소 흡수 : 사이하의 가호,BP/BP_PTC_Buff_HagiosBossSkill_06_02_Wind,Socket_Center,1,1,,,
5000,5000,아지트 난로 : 아지트 난로 카메라 이펙트,BG/Agit_FirePlace_On,CameraEnvironmentFX,1,1,,,
126,601662,용병단의 기개,PC/Human/SkillHolyFire_Main01,Socket_Bottom,2,1,,,
10001,9901011,망토착효 : PVP 레어스킬보호막,BP/BP_PTC_CapeFX_07_Buff,Socket_Center,1,1,,,
2009,45000440,금강지체,BP/BP_PTC_Buff_MirokuBossSkill_08,Socket_Center,1,1,,,
2010,45000446,종말의 인도,BP/BP_PTC_Buff_MirokuBossSkill_07,Socket_Center,1,1,,,
2011,45000447,종말의 카운트다운 9,BP/BP_PTC_Buff_MirokuBossSkill_07_9,Socket_Center,1,1,,,
2012,45000448,종말의 카운트다운 8,BP/BP_PTC_Buff_MirokuBossSkill_07_8,Socket_Center,1,1,,,
2013,45000449,종말의 카운트다운 7,BP/BP_PTC_Buff_MirokuBossSkill_07_7,Socket_Center,1,1,,,
2014,45000450,종말의 카운트다운 6,BP/BP_PTC_Buff_MirokuBossSkill_07_6,Socket_Center,1,1,,,
2015,45000451,종말의 카운트다운 5,BP/BP_PTC_Buff_MirokuBossSkill_07_5,Socket_Center,1,1,,,
2016,45000452,종말의 카운트다운 4,BP/BP_PTC_Buff_MirokuBossSkill_07_4,Socket_Center,1,1,,,
2017,45000453,종말의 카운트다운 3,BP/BP_PTC_Buff_MirokuBossSkill_07_3,Socket_Center,1,1,,,
2018,45000454,종말의 카운트다운 2,BP/BP_PTC_Buff_MirokuBossSkill_07_2,Socket_Center,1,1,,,
2019,45000455,종말의 카운트다운 1,BP/BP_PTC_Buff_MirokuBossSkill_07_1,Socket_Center,1,1,,,
2020,45000456,절대 무적,BP/BP_PTC_Buff_LuciferBossSkill_01,Socket_Barrier,1,1,,,
2021,81020204,분노,BP/BP_PTC_Buff_AcalanathaBossSkill_01,Socket_Center,1,1,,,
2022,81020205,분노 폭발,BP/BP_PTC_Debuff_Ignition,Socket_Center,1,1,,,
2023,81020210,스턴,Common/Stun_DeBuff_Effect,Socket_Top,0.8,1,,,
2024,20241,버서커,BP_PTC_Buff_SkillBerserker,Socket_Center,3,1,,,
2025,20251,소환석 던전_지옥_디버프,Common/Buff_HolyArtifact_05,Socket_Center,2,1,,,
2026,20261,크리 상승,PC/Human/dailydungeon_damage_up_loop,Socket_Center,1,1,,,
501,501,공썰전 썰맨 이펙트,BP/BP_PTC_GongssulMan,Socket_Bottom,1,1,,,
