Id,Name,ShopType,TabType,HighendEffect,LimitMinLevel,LimitMaxLevel,MasteryMinLevel,MasteryMaxLevel,NetmarbleSItemId,Display,DisplayOrder,DisplayType,DisplayTypeValue,IsGotcha,CostType,CostValue,DiscountRate,SpecialDiscountRate,PurchaseFree,PurchaseFreeTime,PurchaseLimit,LimitPeriodeValue,PurchaseLimitValue,LimitPeriodStart,LimitPeriodEnd,LeagueLimit,SupportVersion,IconTexture,IconTexture2,PromotionType,RecommendPackage,Desc,ReplacementProduct,Desc2,FlatRatePeriod,RetentionPeriod,EfficiencyRate
1105,"800,000 아데나 + 1600 레드다이아",1,6,1,,,,,,0,1200,10,,0,22,3200,,,0,,0,,,,,,,Icon_Shop_Adena_RedDiaBonus_06,,2,0,"800,000 아데나 + 1600 레드다이아를 획득합니다.",0,,,,
2004,90 다이아,1,5,,,,,,lineage2_dia_120,0,400,10,,0,4,,,,0,,0,,,,,,,Icon_Shop_Dia_01,,2,0,"90 블루 다이아
3 토파즈",0,,,,
2020,1회 한정! 90 + 90 다이아,1,5,1,,,,,lineage2_dia_120b,1,100,1,,0,4,,,,0,,0,,,,,,,Icon_Shop_Dia_11,,4,0,"90 블루 다이아
90 레드 다이아
3 토파즈",0,,,,
2021,1회 한정! 160 + 160 다이아,1,5,1,,,,,lineage2_dia_210b,1,200,1,,0,4,,,,0,,0,,,,,,,Icon_Shop_Dia_12,,4,0,"160 블루 다이아
160 레드 다이아
5 토파즈",0,,,,
2022,1회 한정! 340 + 340 다이아,1,5,1,,,,,lineage2_dia_425b,1,300,1,,0,4,,,,0,,0,,,,,,,Icon_Shop_Dia_13,,4,0,"340 블루 다이아
340 레드 다이아
10 토파즈",0,,,,
2023,150+55 다이아,1,5,,,,,,lineage2_dia_210,0,500,10,,0,4,,,,0,,0,,,,,,,Icon_Shop_Dia_02,,2,0,"150+55 블루 다이아
5 토파즈",0,,,,
2024,300+130 다이아,1,5,,,,,,lineage2_dia_425,0,600,10,,0,4,,,,0,,0,,,,,,,Icon_Shop_Dia_03,,2,0,"300+130 블루 다이아
10 토파즈",0,,,,
2025,900+450 다이아,1,5,1,,,,,lineage2_dia_1350,0,700,10,,0,4,,,,0,,0,,,,,,,Icon_Shop_Dia_04,,2,0,"900+450 블루 다이아
30 토파즈",0,,,,
2026,"1,500+850 다이아",1,5,1,,,,,lineage2_dia_2450,0,800,10,,0,4,,,,0,,0,,,,,,,Icon_Shop_Dia_05,,2,0,"1,500+850 블루 다이아
50 토파즈",0,,,,
2027,"3,000+1,900 다이아",1,5,1,,,,,lineage2_dia_5500,0,900,10,,0,4,,,,0,,0,,,,,,,Icon_Shop_Dia_06,,2,0,"3,000+1,900 블루 다이아
100 토파즈",0,,,,
3018,갈기사자 소환석,1,7,1,,,,,,0,100,10,,0,5,100,,,0,,3,,1,,,,,Icon_Asset_PetStoneManedLion_01_Shop,,25,0,갈기사자를 활성화하거나 승급 시킬 때의 재료로 사용됩니다.,0,,,,
3019,희귀 장비재료 선택 상자 10개,1,7,1,,,,,,0,1600,10,,0,5,80,,,0,,8,,,,,,,Image_SelectBox_ItemCraft_material_01_Shop,,25,0,사용 시 목록에 포함된 희귀 장비 재료 중 1개를 선택하여 획득합니다.,0,,,,
3020,장비 결정체 선택 상자(대),1,7,,,,,,,0,1800,10,,0,5,100,,,0,,4,,15,,,,,Icon_Selectbox_Topaz_UpgradeCrystal_01_Shop,,25,0,"사용 시 무기 결정체 500개, 방어구 결정체 500개, 장신구 결정체 500개 중 1개를 선택하여 획득합니다.",0,,,,
3021,마프르의 가호,1,7,1,,,,,,0,1100,10,,0,5,90,,,0,,8,,,,,,,Icon_Shop_Protector_01,,25,0,강화 실패 시 강화도 하락을 막아줍니다.,0,,,,
3022,SR등급 초월의 돌,1,7,1,,,,,,0,700,10,,0,5,300,,,0,,4,,3,,,,,Icon_Transcendence_01,,25,0,사용 시 SR등급의 장비를 초월 할 수 있는 아이템 입니다.,0,,,,
3023,SR등급 특성의 돌,1,7,1,,,,,,0,800,10,,0,5,300,,,0,,4,,3,,,,,Icon_Transcendence_04,,25,0,사용 시 장비의 특성을 강화할 수 있는 아이템 입니다.,0,,,,
3024,R등급 희귀 장비 선택상자,1,7,1,,,,,,0,300,10,,0,5,350,,,0,,4,,5,,,,,Icon_Selectbox_Topaz_Equipment_01_Shop,,25,0,사용 시 목록에 포함된 R등급 희귀 무기 또는 방어구 중 1개를 선택하여 획득합니다.,0,,,,
3025,SR등급 장신구 선택상자,1,7,1,,,,,,0,200,10,,0,5,400,,,0,,3,,5,,,,,Icon_Selectbox_Topaz_Acc_01_Shop,,25,0,사용 시 목록에 포함된 SR등급 장신구 중 1개를 자유롭게 선택하여 획득합니다.,0,,,,
3026,장신구 비즈 선택상자 10개,1,7,1,,,,,,0,1700,10,,0,5,150,,,0,,4,,3,,,,,Icon_Selectbox_Topaz_AccCraftMaterial_01_Shop,,25,0,사용 시 목록에 포함된 장신구 비즈를 선택하여 획득합니다.,0,,,,
3027,축복받은 강화주문서 선택상자,1,7,1,,,,,,0,1200,10,,0,5,40,,,0,,4,,30,,,,,Icon_Selectbox_Topaz_EnchantScroll_01_Shop,,25,0,"축복받은 무기 강화주문서, 축복받은 방어구 강화주문서, 축복받은 장신구 강화주문서 중 1개를 선택하여 획득할 수 있습니다.",0,,,,
3028,희귀 레시피 선택상자,1,7,1,,,,,,0,1300,10,,0,5,350,,,0,,4,,2,,,,,Icon_Selectbox_Topaz_UnidentifiyRecipe_02_Shop,,25,0,사용 시 목록에 포함된 희귀 전용 장비 레시피 중 1개를 선택하여 획득할 수 있습니다.,0,,,,
3029,일반 레시피 선택상자,1,7,,,,,,,0,1400,10,,0,5,250,,,0,,4,,5,,,,,Icon_Selectbox_Topaz_UnidentifiyRecipe_01_Shop,,25,0,사용 시 목록에 포함된 무기/방어구/장신구 레시피 중 1개를 획득할 수 있습니다.,0,,,,
3030,미확인 레시피,1,7,,,,,,,0,1500,10,,0,5,150,,,0,,4,,15,,,,,Icon_Combine_Unidentifiy_Material02_Shop,,25,0,미확인 상태의 레시피 입니다. 사용 시 전용 레시피 중 1가지를 획득할 수 있습니다.,0,,,,
3031,최고급 탈리스만 선택상자,1,7,1,,,,,,0,600,10,,0,5,350,,,0,,4,,5,,,,,Icon_Box_Talisman_Random_04_Shop,,25,0,"사용 시 목록에 포함된 3등급 이상의 탈리스만 중 1개를 선택하여 획득할 수 있습니다.
※ 희귀 탈리스만은 포함되어 있지 않습니다.",0,,,,
3032,희귀 탈리스만 선택상자,1,7,1,,,,,,0,500,10,,0,5,500,,,0,,4,,2,,,,,Icon_SelectBox_Talisman_Rere_01_Shop,,25,0,사용 시 목록에 포함된 희귀 탈리스만 중 1개를 선택하여 획득할 수 있습니다.,0,,,,
3033,SR등급 전용 장비 선택상자,1,7,1,,,,,,0,400,10,,0,5,200,,,0,,4,,10,,,,,Icon_Selectbox_Topaz_Equipment_02_Shop,,25,0,"사용 시 목록에 포함된 SR등급 장비 중 1개를 자유롭게 선택하여 획득할 수 있습니다.
※ 해당 상자에 장신구는 포함 되어있지 않습니다.",0,,,,
3034,UR등급 연마제 선택상자,1,7,,,,,,,0,1900,10,,0,5,60,,,0,,8,,,,,,,Icon_Selectbox_Topaz_EquipLevelMaterial_01_Shop,,25,0,사용 시 UR등급 연마제를 선택하여 획득할 수 있습니다.,0,,,,
3035,망토 초월의 돌,1,7,1,,,,,,0,900,10,,0,5,300,,,0,,4,,3,,,,,Icon_Transcendence_Cape_Shop,,25,0,"망토 초월 시 재료로 사용 됩니다. 단, 영웅의 망토 초월에는 사용할 수 없습니다.",0,,,,
3036,탑승펫 초월의 돌,1,7,1,,,,,,0,1000,10,,0,5,250,,,0,,4,,3,,,,,Icon_Transcendence_Pet_Shop,,25,0,탑승펫 초월 시 재료로 사용 됩니다.,0,,,,
4001,HP포션 20개,1,4,,,,,,,0,100,10,,0,0,2400,,,0,,0,,,,,,,Icon_Shop_HpPotion_01,,25,0,사용 시 HP를 소량 회복합니다.,0,,,,
4002,10% 할인! HP포션 200개,1,4,,,,,,,0,200,10,,0,0,21600,,,0,,0,,,,,,,Icon_Shop_HpPotion_03,,25,0,사용 시 HP를 소량 회복합니다.,0,,,,
4005,MP포션 20개,1,4,,,,,,,0,300,10,,0,0,2400,,,0,,0,,,,,,,Icon_Shop_MpPotion_01,,25,0,사용 시 MP를 소량 회복합니다.,0,,,,
4006,10% 할인! MP포션 200개,1,4,,,,,,,0,400,10,,0,0,21600,,,0,,0,,,,,,,Icon_Shop_MpPotion_02,,25,0,사용 시 MP를 소량 회복합니다.,0,,,,
4009,정령탄 500개,1,4,,,,,,,0,500,10,,0,0,5000,,,0,,0,,,,,,,Icon_SoulShot_01,,25,0,사용 시 정령의 빛이 무기에 깃들어 데미지를 증가시킵니다.,0,,,,
4010,10% 할인! 정령탄 5000개,1,4,,,,,,,0,600,10,,0,0,45000,,,0,,0,,,,,,,Icon_SoulShot_02,,25,0,사용 시 정령의 빛이 무기에 깃들어 데미지를 증가시킵니다.,0,,,,
4013,확성기 1개,1,4,,,,,,,0,1500,10,,0,1,4,,,0,,0,,,,,,,Icon_Shop_Speaker_01,,25,0,월드 채팅 이용시 사용되는 아이템 입니다.,0,,,,
4014,확성기 10개,1,4,,,,,,,0,1600,10,,0,1,36,,,0,,0,,,,,,,Icon_Shop_Speaker_02,,25,0,월드 채팅 이용시 사용되는 아이템 입니다.,0,,,,
4018,확성기 1개,1,4,,,,,,,0,900,10,,0,0,1000,,,0,,0,,,,,,,Icon_Shop_Speaker_01,,25,0,월드 채팅 이용시 사용되는 아이템 입니다.,0,,,,
4019,확성기 10개,1,4,,,,,,,0,1000,10,,0,0,9000,,,0,,0,,,,,,,Icon_Shop_Speaker_02,,25,0,월드 채팅 이용시 사용되는 아이템 입니다.,0,,,,
4100,참회의 십자가,1,4,1,,,,,,0,820,10,,0,0,125000,,,0,,2,,1,,,,,Icon_PkPointReducer_02_Shop,,25,0,"사용 시 30의 카오틱 수치가 감소됩니다.
십자가 아이템은 하루 3번만 사용 가능합니다.",0,,,,
4101,텔레포트 주문서 50개,1,4,,,,,,,0,810,10,,0,0,250000,,,0,,3,,1,,,,,UI_Icon_TeleportScroll_01,,25,0,텔레포트에 사용됩니다.,0,,,,
4105,밤하늘 폭죽,1,4,,,,,,,0,2000,10,,0,1,30,,,0,,8,,,,,,,Icon_Firework_01_Shop,,25,0,대낮에도 밤하늘을 수놓을 수 있는 폭죽입니다.,0,,,,
4106,은하수 폭죽,1,4,,,,,,,0,2100,10,,0,1,30,,,0,,8,,,,,,,Icon_Firework_02_Shop,,25,0,반짝반짝 눈부신 별의 무리를 볼 수 있는 은하수 폭죽입니다.,0,,,,
4107,부자되세요 폭죽,1,4,,,,,,,0,2200,10,,0,1,30,,,0,,8,,,,,,,Icon_Firework_03_Shop,,25,0,부자가 되길 바라는 마음을 전달하는 폭죽입니다.,0,,,,
4108,사랑해 폭죽,1,4,,,,,,,0,2300,10,,0,1,30,,,0,,8,,,,,,,Icon_Firework_04_Shop,,25,0,고백 성공률 100%를 보장하는 연인들을 위한 특별한 폭죽입니다.,0,,,,
5042,프리미엄 장비,1,2,1,,,,,,0,100,10,,0,22,80,,,0,,0,,,,,,,Icon_Gacha_Equipment_01_Shop,,25,0,[A등급 ~ SR등급] 장비 또는 [R ~ SR 연마제] 획득 가능!,0,,,,
5043,프리미엄 장비,1,2,1,,,,,,1,200,7,1041,0,10,80,,,1,86400,0,,,,,,,Icon_Gacha_Equipment_01_Shop,,25,0,[A등급 ~ SR등급] 장비 또는 [R ~ SR 연마제] 획득 가능!,0,,,,
5044,UR제작 재료,1,2,1,,,,,,0,300,10,,0,22,80,,,0,,8,,,,,,,Icon_Gacha_Equipmentcraft_01_Shop,,25,0,"UR등급 장비 제작에 사용할 수 있는
레시피, 제작재료, 결정체, 빛나는 승급석 등
다양한 재료 획득 가능!",0,,,,
5045,UR제작 재료,1,2,1,,,,,,0,400,10,,0,10,80,,,0,,8,,,,,,,Icon_Gacha_Equipmentcraft_01_Shop,,25,0,"UR등급 장비 제작에 사용할 수 있는
레시피, 제작재료, 결정체, 빛나는 승급석 등
다양한 재료 획득 가능!",0,,,,
5046,프리미엄 재료,1,2,1,,,,,,0,500,10,,0,22,80,,,0,,8,,,,,,,Icon_Gacha_Material_01_Shop,,25,0,"집혼석, 강화주문서, 엘릭서 재료, 마프르의 가호 등
다양한 성장 재료 획득 가능!",0,,,,
5047,프리미엄 재료,1,2,1,,,,,,0,600,10,,0,10,80,,,0,,8,,,,,,,Icon_Gacha_Material_01_Shop,,25,0,"집혼석, 강화주문서, 엘릭서 재료, 마프르의 가호 등
다양한 성장 재료 획득 가능!",0,,,,
5048,탑승펫 성장 재료,1,2,1,,,,,,0,700,10,,0,22,70,,,0,,8,,,,,,,Icon_Gacha_RidingPet_01_Shop,,25,0,"[A~SR등급 탑승펫 장비] [A~SR등급 탑승펫 장비 연마제]
[소~대형 육성석 상자] [탑승펫 장비 강화주문서]
[블랙베어,샤이닝레이디,쿠쿠린,갈기사자 소환석]
[블랙베어,샤이닝레이디,쿠쿠린,갈기사자 소환석 조각] 획득 가능!",0,,,,
6023,갈기사자 소환석,1,9,1,,,,,,0,100,10,,0,8,250,,,0,,3,,1,,,,,Icon_Asset_PetStoneManedLion_01_Shop,,25,0,갈기사자를 활성화하거나 승급 시킬 때의 재료로 사용됩니다.,0,,,,
6024,희귀 장비재료 선택상자 10개,1,9,1,,,,,,0,700,10,,0,8,200,,,0,,8,,,,,,,Image_SelectBox_ItemCraft_material_01_Shop,,25,0,사용 시 목록에 포함된 희귀 장비 재료 중 1개를 선택하여 획득합니다.,0,,,,
6025,마프르의 가호,1,9,1,,,,,,0,900,10,,0,8,180,,,0,,8,,,,,,,Icon_Shop_Protector_01,,25,0,강화 실패 시 강화도 하락을 막아줍니다.,0,,,,
6026,미확인 레시피,1,9,1,,,,,,0,500,10,,0,8,200,,,0,,3,,5,,,,,Icon_Combine_Unidentifiy_Material02_Shop,,25,0,미확인 상태의 레시피 입니다. 사용 시 전용 레시피 중 1가지를 획득할 수 있습니다.,0,,,,
6027,무기 강화주문서,1,9,,,,,,,0,1000,10,,0,8,30,,,0,,8,,,,,,,Icon_Shop_EnchantScroll_01,,25,0,"무기를 강화할 때
사용되는 주문서 입니다.",0,,,,
6028,방어구 강화주문서,1,9,,,,,,,0,1100,10,,0,8,30,,,0,,8,,,,,,,Icon_Shop_EnchantScroll_02,,25,0,"방어구를 강화할 때
사용되는 주문서 입니다.",0,,,,
6029,장신구 강화주문서,1,9,,,,,,,0,1200,10,,0,8,30,,,0,,8,,,,,,,Icon_Shop_EnchantScroll_03,,25,0,"장신구를 강화할 때
사용되는 주문서 입니다.",0,,,,
6030,스페셜 탈리스만 소환상자 10개,1,9,1,,,,,,0,200,10,,0,8,500,,,0,,4,,2,,,,,Icon_Box_Talisman_Random_03_Shop,,25,0,사용 시 2등급 이상의 탈리스만 또는 희귀 탈리스만을 랜덤하게 획득합니다.,0,,,,
6031,엘릭서 정수 선택상자 5개,1,9,,,,,,,0,1300,10,,0,8,50,,,0,,8,,,,,,,Icon_Selectbox_Mileage_HerbPotion_Shop_01,,25,0,사용 시 목록에 포함된 엘릭서 정수 중 1개를 선택하여 획득합니다.,0,,,,
6032,빛나는 승급석 선택상자,1,9,,,,,,,0,1400,10,,0,8,150,,,0,,8,,,,,,,Icon_Selectbox_Mileage_Transcendence_01_Shop,,25,0,사용 시 목록에 포함된 빛나는 승급석 중 1개를 선택하여 획득합니다.,0,,,,
6033,S등급 전용 희귀 장비 선택상자,1,9,1,,,,,,0,300,10,,0,8,500,,,0,,4,,5,,,,,Icon_Selectbox_Mileage_Equipment_01_Shop,,25,0,"사용 시 목록에 포함된 S등급 희귀 무기, 방어구 중 1개를 선택하여 획득합니다.",0,,,,
6034,S등급 장신구 선택상자,1,9,,,,,,,0,400,10,,0,8,300,,,0,,3,,5,,,,,Icon_Selectbox_Mileage_Acc_01_Shop,,25,0,사용 시 목록에 포함된 S등급 장신구 중 1개를 선택하여 획득합니다.,0,,,,
6035,연금술의 서 - SR등급 초월의 돌,1,9,1,,,,,,0,600,10,,0,8,800,,,0,,4,,3,,,,,Icon_Combine_LimiteBreake_SR_Shop,,25,0,"SR등급 초월의 돌 조합식이 적혀있는 문서. 
초월의 기운을 조합하여 SR등급 초월의 돌을 획득할 수 있습니다.",0,,,,
6036,일반 장비재료 선택상자 10개,1,9,,,,,,,0,800,10,,0,8,200,,,0,,4,,5,,,,,Icon_Box_CraftMaterial_01_Shop,,25,0,사용 시 목록에 포함된 장비 재료 중 1개를 선택하여 획득합니다.,0,,,,
7003,매일 받는 다이아 꾸러미(28일),7,10,,,,,,lineage2_daily_3,0,200,10,,0,4,,,,0,,8,,,,,,,Icon_Shop_Dia_09,Ui_DiamondShop_Red_512,25,0,"즉시 1660 레드다이아!
매일 160 블루 다이아!
+ 이동속도 8% 증가!",1,총 6140 다이아 획득!,28,3,
7004,네오 매일 다이아(28일),7,10,,,,,,lineage2_daily_neo3,0,200,10,,0,4,,,,0,,8,,,,,,,Icon_Shop_Dia_09,Ui_DiamondShop_Red_512,25,0,"즉시 3000 레드다이아, 300 블루다이아
매일 250 레드다이아, 50 블루다이아
+ 이동속도 8% 증가!",0,"총 10,000 레드다이아
    1,700 블루다이아 획득!",28,3,
8001,성장 선물 꾸러미 I,4,11,,,,,,,0,100,10,,0,22,1500,,,0,,8,,,2016-04-15 00:00:00,2018-08-15 23:59:59,,,Icon_Shop_GrowUp_01,,25,0,"즉시 1500 레드 다이아와 A등급 전용 무기 소환상자 획득 가능!
총 8500 레드 다이아와 경험치 상자를 획득 가능!",0,,,,
8011,성장 선물 꾸러미 II,4,21,,,,,,lineage2_package27,0,100,10,,0,4,33000,,,0,,8,,,2016-04-15 00:00:00,2018-08-15 23:59:59,,,Icon_Shop_GrowUp_02,,25,0,"즉시 1500 레드 다이아와 S등급 특성의 돌 획득 가능!
총 6500 레드 다이아와 마프르의 가호 조각, 특성의 돌 획득!",0,,,,
8021,성장 선물 꾸러미 III,4,26,,,,,,lineage2_package40,0,100,10,,0,4,55000,,,0,,8,,,2016-04-15 00:00:00,2018-12-31 23:59:59,,,Icon_Shop_GrowUp_03,,25,0,"즉시 2000 레드 다이아 획득 가능! 총 10000 레드 다이아와
SR 초월의 돌 제작 재료, SR 특성의 돌, 미확인 레시피 획득 가능!",0,,,,
8022,성장 선물 꾸러미 IV,4,41,,,,,,lineage2_package32,0,100,10,,0,4,55000,,,0,,8,,,2016-04-15 00:00:00,2018-12-31 23:59:59,,,Icon_Shop_GrowUp_04,,25,0,"즉시 3000 레드 다이아 획득 가능! 총 10000 레드 다이아와
미확인 레시피, 마프르의 가호, 하거인의 비전서 획득 가능!",0,,,,
8002,접속 선물 꾸러미,7,12,,,,,,,0,100,10,,0,22,1500,,,0,,8,,,2016-04-15 00:00:00,2018-12-31 23:59:59,,,Icon_Shop_Accept_01,,25,1,"즉시 1500 레드 다이아 획득 가능!
총 2900 레드 다이아와 매일 룬, 약초, 주문서 획득 가능!",0,,,,
8003,SR등급 수집 꾸러미,4,13,1,,,,,lineage2_package07,0,100,10,,0,4,33000,,,0,,8,,,,,,,Icon_Shop_Collect_01,,25,0,"즉시 1000 레드 다이아 + 
구매 후, 부위 별 최초 SR등급 얻을 때 마다 보상 획득 가능!",0,,,,
8004,시나리오 꾸러미 I,4,14,1,,,,,lineage2_package08,0,100,10,,0,4,33000,,,0,,8,,,,,,,Icon_shop_Scenario_01,,25,0,"즉시 1000 레드 다이아 + 시나리오 클리어 마다 보상 획득 가능!
구매 전의 클리어도 보상 획득 가능!",0,,,,
8014,시나리오 꾸러미 II,4,22,1,,,,,lineage2_package28,0,100,10,,0,4,33000,,,0,,8,,,,,,,Icon_shop_Scenario_01,,25,0,"즉시 1000 레드 다이아 + 기란 시나리오 클리어 마다 보상 획득 가능!
구매 전의 클리어도 보상 획득 가능!",0,,,,
8024,시나리오 꾸러미 III,4,27,1,,,,,lineage2_package30,0,100,10,,0,4,33000,,,0,,8,,,,,,,Icon_shop_Scenario_02,,25,0,"즉시 2000 레드 다이아 + 오렌 시나리오 클리어 마다 보상 획득 가능!
구매 전의 클리어도 보상 획득 가능!",0,,,,
9001,프리미엄 스타팅 패키지,6,32,,,,,,lineage2_package01,1,200,0,,0,4,,,,0,,5,,1,,,,,Image_SelectBox_Launching,,25,0,"[블루 다이아 1200개]
[HP물약 1000개] [MP물약 1000개]
[정령탄 5,000개] [인벤토리 +120칸(최대 슬롯까지만 확장)]

>>보너스<<
[토파즈 30개]",0,,,,
9019,스킬 포인트 패키지,6,33,,10,400,,,lineage2_package7,1,1100,0,,0,4,,,,0,,2,,1,,,,,Image_SelectBox_SkillPoint,,25,0,"[레드 다이아 300개] 
[스킬 포인트 상자(500포인트)]

>>보너스<<
[토파즈 10개]",0,,,,
9054,프리미엄 인벤토리 패키지,6,32,1,30,400,,,lineage2_package15,1,201,0,,0,4,,,,0,,5,,2,,,,,Image_SelectBox_Inventory,,25,0,"[레드 다이아 1800개]
[HP물약 1000개] [MP물약 1000개]
[정령탄 10,000개] [인벤토리 +100칸(최대 슬롯까지만 확장)]

>>보너스<<
[토파즈 50개]",0,,,,
9615,고급 스킬포인트 패키지,6,33,1,10,400,,,lineage2_package31,1,1200,0,,0,4,,,,0,,3,,1,,,,,Image_SelectBox_SkillPoint_02,,25,0,"[레드 다이아 1,500개]
[스킬 포인트 상자(500포인트) 6개]
[100,000 아데나]

>>보너스<<
[토파즈 50개]",0,,,,
9629,혈맹 크리스탈 패키지,6,35,1,,,,,lineage2_package41,1,500,0,,0,4,,,,0,,3,,3,,,,,Image_SelectBox_Guild_03_Shop,,25,1,"1. 구매 캐릭터
[결정체 1000개 선택상자 3개]
[미확인 결정체 2000개] [300,000 아데나]
[100 마일리지]
>>보너스<<
[토파즈 50개]

2. 구매 캐릭터의 혈맹원 모두에게
[장비 결정체 선택 상자(중) 3개]",0,,,,
9636,고급 보급품 패키지,6,33,,,,,,lineage2_package35,1,600,0,,0,4,,,,0,,4,,10,,,,,Image_SelectBox_Supplies1_Shop,,25,0,"[500,000 아데나] [랜덤 스킬북 페이지 상자 2개]
[축복받은 강화 주문서 상자 2개] [마프르의 가호 1개]
[스킬 포인트 500개] [순간이동 주문서 30장]

>>보너스<<
[토파즈 30개]",0,,,,
9638,혈맹 서포트 패키지,6,35,1,,,,,lineage2_package34,1,700,0,,0,4,,,,0,,4,,10,,,,,Image_SelectBox_Guild_02_Shop,,25,0,"1. 구매 캐릭터
[레드다이아 1500개] [고급 랜덤 스킬북 페이지 상자 1개]
[고급 스킬북 페이지 선택 상자 1개]
>>보너스<<
[토파즈 30개]

2. 구매 캐릭터의 혈맹원 모두에게
[정령탄 압축팩 1개][스킬포인트 100개][고급 HP 포션 20개]",0,,,,
9644,희귀 탑승펫 갈기사자 소환패키지,6,36,1,50,400,,,lineage2_package45,1,800,0,,0,4,,,,0,,5,,1,,,,,Image_SelectBox_RidingPet_02_Shop,,25,0,"[갈기사자 속박뿔피리 1개]  [갈기사자 소환석 1개]
[레드다이아 2000개]  [탑승펫 성장 상자 10개]

>>보너스<<
[토파즈 100개]

※ 희귀 탑승펫은 소환 시 S등급으로 소환됩니다.",0,,,,
9645,용사 보급품 패키지(구글),6,33,,,,,,lineage2_package47,1,9999,9,,0,4,,,,0,,8,,,,,,,Image_SelectBox_SkillPoint,,25,0,"[탑승펫 장비 강화주문서 5개]
[강화주문서 선택 상자 10개]
[코어 획득 증가 물약 3개]
[지역 별 몬스터 코어 선택상자 300개]
 - 지역 별 몬스터 코어 선택상자 란?
   사용 시 말하는섬, 글루디오, 디온, 기란 지역의 몬스터 코어 선택 상자 중 1개를 선택하여 획득합니다.",0,,,,
9646,데컨 전용 스페셜 패키지,6,31,,,,,,lineage2_package48,1,2,0,,0,4,,,,0,,5,,2,,,,,Image_SelectBox_Enchant04,,25,1,"[축복받은 강화주문서 선택상자 1개]
[축복받은 강화주문서 상자 1개]
[스킬포인트 200개]

>>보너스<<
[토파즈 5개]",0,,,,
9651,용사 보급품 패키지,6,33,,,,,,lineage2_package53,1,900,0,,0,4,,,,0,,4,,10,,,,,Image_SelectBox_Supplies2_Shop,,25,0,"[탑승펫 장비 강화주문서 5개][강화주문서 선택 상자 10개]
[코어 획득 증가 물약 3개]
[용사의 몬스터 코어 선택상자 300개]
 - 사용 시 말하는섬, 글루디오, 디온, 기란, 오렌 지역의 몬스터 코어 선택 상자 중 1개를 선택하여 획득합니다. (분쟁지역 코어 선택 가능)

>>보너스<<
[토파즈 10개]",0,,,,
