Id,TypeId,GroupId,Name,Description,AcquireContents1,AcquireContents2,AcquireContents3,AcquireContents4,AcquireContents5,IconTexture,Rarity
19,2,1,일반 탈리스만,"일반 등급의 탈리스만 입니다. 각 영지, 던전, 컨텐츠 별 몬스터 처치 또는 보상으로 획득할 수 있습니다. ",1,19,38,37,69,Talisman_Field_02,0
20,2,1,레어 탈리스만,희귀 등급 탈리스만 입니다.,13,,,,,Talisman_BM_SetBook07_Rage,1
21,1,2,장비,0,,,,,,,2
22,2,2,무기 승급석,무기 승급을 위해 필요한 재료입니다.,36,14,20,47,9,Icon_Asset_Upgrade_01,0
23,2,2,방어구 승급석,방어구 승급을 위해 필요한 재료입니다.,36,14,20,47,9,Icon_Asset_Upgrade_02,0
24,2,2,장신구 승급석,장신구 승급을 위해 필요한 재료입니다.,36,14,20,47,9,Icon_Asset_Upgrade_03,0
25,2,2,무기 연마제,무기 레벨업을 위해 필요한 재료입니다.,42,9,5,45,,Icon_WeaponLevelMaterial_01,0
26,2,2,방어구 연마제,방어구 레벨업을 위해 필요한 재료입니다.,42,9,5,45,,Icon_ArmorLevelMaterial_01,0
27,2,2,장신구 연마제,장신구 레벨업을 위해 필요한 재료입니다.,42,9,5,45,,Icon_AccLevelMaterial_01,0
28,2,2,특성의 돌,장비의 특성 강화에 필요한 재료입니다.,12,40,61,48,47,Icon_Transcendence_02,0
29,2,2,초월의 돌,"SR등급, UR등급 장비를 초월에 필요한 재료입니다.",12,40,48,47,,Icon_Transcendence_01,0
30,2,2,무기 강화 주문서,무기 강화를 위해 필요한 재료입니다.,14,20,36,9,,Icon_EnchantScroll_01,0
31,2,2,방어구 강화 주문서,방어구 강화를 위해 필요한 재료입니다.,14,20,36,9,,Icon_EnchantScroll_02,0
32,2,2,장신구 강화 주문서,장신구 강화를 위해 필요한 재료입니다.,14,20,36,9,,Icon_EnchantScroll_03,0
33,2,2,축복받은 무기 강화 주문서,무기 강화를 위해 필요한 재료입니다. 확률로 +2 이상의 수치가 오를 수 있습니다.,12,40,13,,,Icon_EnchantScroll_04,0
34,2,2,축복받은 방어구 강화 주문서,방어구 강화를 위해 필요한 재료입니다. 확률로 +2 이상의 수치가 오를 수 있습니다.,12,40,13,,,Icon_EnchantScroll_05,0
35,2,2,축복받은 장신구 강화 주문서,장신구 강화를 위해 필요한 재료입니다. 확률로 +2 이상의 수치가 오를 수 있습니다.,12,40,13,,,Icon_EnchantScroll_06,0
36,2,2,마프르 가호,장비를 강화 할 때 사용할 경우 강화 실패 시 강화도가 하락하지 않습니다.,12,14,9,40,1,Icon_Asset_Protector_01,0
37,1,3,UR 재료,0,,,,,,,2
38,2,3,무기 결정체,무기를 분해하여 얻은 결정체입니다. 장비 제작과 조합에 사용됩니다.,36,41,42,13,45,equipmentcraft_UpgradeCrystal_01,0
39,2,3,방어구 결정체,방어구를 분해하여 얻은 결정체 입니다. 장비 제작과 조합에 사용됩니다.,36,41,42,13,45,equipmentcraft_UpgradeCrystal_02,0
40,2,3,장신구 결정체,장신구를 분해하여 얻은 결정체 입니다. 장비 제작과 조합에 사용됩니다.,36,41,42,13,45,equipmentcraft_UpgradeCrystal_03,0
42,2,3,듀란딜 합금,"검방패, 창, 이도류 중 일반장비를 UR등급으로 만들 때 사용하는 재료입니다.",38,41,,,,equipmentcraft_durandil_01,0
43,2,3,오리칼쿰,"검방패, 창, 이도류 중 희귀장비를 UR등급으로 만들 때 사용하는 재료입니다.",38,41,,,,equipmentcraft_durandil_02,1
44,2,3,철광석,"단검, 활 중 일반장비를 UR등급으로 만들 때 사용하는 재료입니다.",38,41,,,,equipmentcraft_iron_01,0
45,2,3,강철,"단검, 활 중 희귀장비를 UR등급으로 만들 때 사용하는 재료입니다.",38,41,,,,equipmentcraft_iron_02,1
46,2,3,원목,지팡이 중 일반장비를 UR등급으로 만들 때 사용하는 재료입니다.,38,41,,,,equipmentcraft_hardwood_01,0
47,2,3,고급 원목,지팡이 중 희귀장비를 UR등급으로 만들 때 사용하는 재료입니다.,38,41,,,,equipmentcraft_hardwood_02,1
48,2,3,아다만타이트,중갑 중 일반장비를 UR등급으로 만들 때 사용하는 재료입니다.,38,41,,,,equipmentcraft_adamantite_01,0
49,2,3,아다만티움,중갑 중 희귀장비를 UR등급으로 만들 때 사용하는 재료입니다.,38,41,,,,equipmentcraft_adamantite_02,1
50,2,3,가죽,경갑 중 일반장비를 UR등급으로 만들 때 사용하는 재료입니다.,38,41,,,,equipmentcraft_leather_01,0
51,2,3,고급 가죽,경갑 중 희귀장비를 UR등급으로 만들 때 사용하는 재료입니다.,38,41,,,,equipmentcraft_leather_02,1
52,2,3,섬유,로브 중 일반장비를 UR등급으로 만들 때 사용하는 재료입니다.,38,41,,,,equipmentcraft_textile_01,0
53,2,3,합성 섬유,로브 중 희귀장비를 UR등급으로 만들 때 사용하는 재료입니다.,38,41,,,,equipmentcraft_textile_02,1
54,2,3,금 주괴,장신구를 UR등급으로 만들 때 사용하는 재료입니다.,38,41,,,,equipmentcraft_gold_01,0
55,2,3,영웅의 주괴,영웅 장신구의 UR 제작에 필요한 재료입니다.,32,,,,,equipmentcraft_gold_01,0
56,2,3,미확인 무기 레시피,무기를 UR 등급으로 만드는 방법이 적힌 레시피입니다.,2,12,37,40,59,Icon_Combine_Unidentify_WeaponRecipe,0
57,2,3,미확인 방어구 레시피,방어구를 UR 등급으로 만드는 방법이 적힌 레시피입니다.,2,12,37,40,59,Icon_Combine_Unidentify_ArmorRecipe,0
58,2,3,미확인 장신구 레시피,장신구를 UR 등급으로 만드는 방법이 적힌 레시피입니다.,2,12,37,40,59,Icon_Combine_Unidentify_AccRecipe,0
59,2,3,빛나는 무기 승급석,UR등급 무기를 제작할 때 사용되는 승급석 입니다.,20,40,48,,,Icon_Asset_Upgrade_04,0
60,2,3,빛나는 방어구 승급석,UR등급 방어구를 제작할 때 사용되는 승급석 입니다.,20,40,48,,,Icon_Asset_Upgrade_05,0
61,2,3,빛나는 장신구 승급석,UR등급 장신구를 제작할 때 사용되는 승급석 입니다.,20,40,48,,,Icon_Asset_Upgrade_06,0
62,2,3,엘븐 비즈,엘븐 장신구의 UR 제작에 필요한 재료입니다.,2,68,,,,Equipmentcraft_Acc_Elven_01,0
63,2,3,문스톤 비즈,문스톤 장신구의 UR 제작에 필요한 재료입니다.,2,68,,,,Equipmentcraft_Acc_MoonStone_01,0
64,2,3,블랙오르 비즈,블랙오르 장신구의 UR 제작에 필요한 재료입니다.,2,68,,,,Equipmentcraft_Acc_BlackOre_01,0
65,2,3,피닉스 비즈,피닉스 장신구의 UR 제작에 필요한 재료입니다.,2,68,,,,Equipmentcraft_Acc_Phoenix_01,0
66,2,3,나센 비즈,나센 장신구의 UR 제작에 필요한 재료입니다.,2,68,,,,Equipmentcraft_Acc_Nassen_01,0
67,2,3,아르볼 비즈,아르볼 장신구의 UR 제작에 필요한 재료입니다.,2,68,,,,Equipmentcraft_Acc_Arbol_01,0
68,2,3,영웅의 비즈,영웅 장신구의 UR 제작에 필요한 재료입니다.,32,,,,,Equipmentcraft_Acc_Hero_01,0
69,1,4,집혼석,0,,,,,,,2
70,2,4,집혼석,"장비의 소켓에 장착하여, 무기를 강화할 수 있습니다.",19,13,9,47,45,Icon_Common_SoulCrystal,0
71,2,4,집혼석 연마제,집혼석 레벨업을 위해 필요한 재료입니다.,19,48,,,,Icon_SoulCrystalMaterial_01,0
72,1,5,망토,0,,,,,,,2
73,2,5,망토 브로치,개인 망토를 활성시키는데 사용 됩니다.,61,13,40,,,UI_Icon_CapeActiveMaterial_Private_00,0
74,2,5,실타래,개인 망토 레벨업에 필요한 재료입니다.,61,13,,,,UI_Icon_CapeExpMaterial_Private_01,0
75,2,5,운명의 붉은 실,혈맹 망토 레벨업에 필요한 재료입니다.,63,27,,,,UI_Icon_CapeExpMaterial_Guild_01,0
76,2,5,마법 바늘,망토 보유 효과 유지 시에 필요한 재료입니다.,61,13,,,,UI_Icon_CapeOptionLockMaterial_01,0
77,2,5,마법 옷감,망토 보유 효과 변경 시에 필요한 재료입니다.,61,13,,,,UI_Icon_CapeOptionChangeMaterial_01,0
78,2,5,염색약,혈맹 망토 염색에 필요한 재료입니다.,47,,,,,UI_Icon_CapeColorChange_03,0
79,1,6,재화,0,,,,,,,2
80,2,6,아데나,게임 전반적으로 사용되는 공통 화폐입니다.,1,43,45,11,31,Icon_Asset_Adena_01,0
81,2,6,다이아(레드),효율적인 게임 플레이를 가능하게 합니다.,23,16,17,18,31,Icon_Asset_Diamond_02,0
82,2,6,다이아(블루),효율적인 게임 플레이를 가능하게 합니다.,15,16,,,,Icon_Asset_Diamond_01,0
83,2,6,다이아(그린),거래소에서 물품을 사고 팔 때 사용되는 재화입니다.,49,67,38,,,Icon_Asset_Diamond_03,0
84,2,6,혈맹 주화,다양한 혈맹 컨텐츠에 사용할 수 있는 재화입니다. ,27,29,30,63,54,Currency_GuildCoin_01,0
85,2,6,피의 증거,혈맹 버프 레벨업을 위해 필요한 재화입니다.,19,55,56,27,,Currency_BloodCrystal_01,0
86,2,6,우정 포인트,친구 또는 혈맹원과 인사할 때 쌓이는 재화입니다. 우정 포인트로 아이템을 구입할 수 있습니다.,24,54,,,,Icon_Asset_Friendship_01,0
87,2,6,명예의 주화,명예의 주화 교환소에서 사용되는 재화입니다. 3vs3 명예의 전장에서 획득할 수 있습니다.,32,,,,,Icon_Asset_HonorCoin_01,0
88,2,6,정복자의 징표,정복자의 전당에서 사용되는 재화입니다. 정복자 레벨업을 통해 획득할 수 있습니다.,,,,,,Icon_Asset_MasteryCoin,0
89,1,7,기타,0,,,,,,,2
90,2,7,공성전 축제 티켓,"공성전 축제에 참여하기 위한 티켓이며, 축제 기간 동안에만 수집할 수 있습니다. 공성전 결과에 따라 보상을 획득할 수 있습니다.",1,,,,,Icon_Asset_FestivelTicket_01,0
91,2,7,붉은 스타 스톤,혈맹 던전의 초기화를 위해 필요한 재료입니다.,19,45,8,,,Currency_GuildRedStarStone_01,0
92,2,7,코어,몬스터 도감에 등록해서 능력치를 올릴 수 있습니다.,1,57,,,,Icon_GachaItem_MonsterCore,0
93,2,7,영혼의 가루,"코어 분해시 습득하며, 코어 상점에서 사용됩니다.",57,,,,,Icon_Asset_SoulPowder,0
