Id,Nme,Desc,TaskType,NpcAutoMoveID,TaskCount,RewardExp,RewardAdena,RewardIcon,MissionIcon
30,말하는 섬 서부 굶주린 붉은 털 여우공략,굶주린 붉은 털 여우 15회 처치하기,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
31,말하는 섬 서부 해골 병사공략,해골 병사 15회 처치하기,83,10005,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
32,말하는 섬 서부 해골 궁수공략,해골 궁수 15회 처치하기,83,10006,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
33,말하는 섬 서부 해골 병사공략,해골 병사 15회 처치하기,83,10005,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
34,말하는 섬 서부 해골 궁수공략,해골 궁수 15회 처치하기,83,10006,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
35,말하는 섬 서부 해골 병사공략,해골 병사 15회 처치하기,83,10005,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
36,말하는 섬 서부 해골 궁수공략,해골 궁수 15회 처치하기,83,10006,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
37,말하는 섬 서부 해골 병사공략,해골 병사 15회 처치하기,83,10005,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
38,말하는 섬 서부 해골 궁수공략,해골 궁수 15회 처치하기,83,10006,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
39,말하는 섬 서부 해골 병사공략,해골 병사 15회 처치하기,83,10005,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
40,말하는 섬 서부 해골 궁수공략,해골 궁수 15회 처치하기,83,10006,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
41,말하는 섬 서부 해골 병사공략,해골 병사 15회 처치하기,83,10005,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
42,말하는 섬 서부 해골 궁수공략,해골 궁수 15회 처치하기,83,10006,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
43,말하는 섬 서부 해골 병사공략,해골 병사 15회 처치하기,83,10005,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
44,말하는 섬 서부 해골 궁수공략,해골 궁수 15회 처치하기,83,10006,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
45,말하는 섬 서부 해골 병사공략,해골 병사 15회 처치하기,83,10005,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
46,말하는 섬 서부 해골 궁수공략,해골 궁수 15회 처치하기,83,10006,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
47,말하는 섬 서부 해골 병사공략,해골 병사 15회 처치하기,83,10005,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
48,말하는 섬 서부 해골 궁수공략,해골 궁수 15회 처치하기,83,10006,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
49,말하는 섬 서부 해골 병사공략,해골 병사 15회 처치하기,83,10005,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
50,말하는 섬 서부 해골 궁수공략,해골 궁수 15회 처치하기,83,10006,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
51,말하는 섬 서부 해골 병사공략,해골 병사 15회 처치하기,83,10005,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
52,말하는 섬 서부 해골 궁수공략,해골 궁수 15회 처치하기,83,10006,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
53,말하는 섬 서부 해골 병사공략,해골 병사 15회 처치하기,83,10005,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
54,말하는 섬 서부 해골 궁수공략,해골 궁수 15회 처치하기,83,10006,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
55,말하는 섬 서부 해골 병사공략,해골 병사 15회 처치하기,83,10005,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
56,말하는 섬 서부 해골 궁수공략,해골 궁수 15회 처치하기,83,10006,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
57,말하는 섬 서부 해골 병사공략,해골 병사 15회 처치하기,83,10005,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
58,말하는 섬 서부 해골 궁수공략,해골 궁수 15회 처치하기,83,10006,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
59,말하는 섬 서부 해골 병사공략,해골 병사 15회 처치하기,83,10005,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
60,말하는 섬 서부 해골 궁수공략,해골 궁수 15회 처치하기,83,10006,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
61,말하는 섬 서부 해골 병사공략,해골 병사 15회 처치하기,83,10005,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
62,말하는 섬 서부 해골 궁수공략,해골 궁수 15회 처치하기,83,10006,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
63,글루딘 가도 광포한 늑대인간공략,광포한 늑대인간 15회 처치하기,83,10013,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
64,글루딘 가도 광포한 늑대인간공략,광포한 늑대인간 15회 처치하기,83,10013,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
65,글루딘 가도 광포한 늑대인간공략,광포한 늑대인간 15회 처치하기,83,10013,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
66,글루딘 가도 광포한 늑대인간공략,광포한 늑대인간 15회 처치하기,83,10013,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
67,글루딘 가도 광포한 늑대인간공략,광포한 늑대인간 15회 처치하기,83,10013,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
68,글루딘 가도 광포한 늑대인간공략,광포한 늑대인간 15회 처치하기,83,10013,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
69,글루딘 가도 올 마훔 정찰병공략,올 마훔 정찰병 15회 처치하기,83,10012,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
70,글루딘 가도 올 마훔 정찰병공략,올 마훔 정찰병 15회 처치하기,83,10012,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
71,글루딘 가도 올 마훔 정찰병공략,올 마훔 정찰병 15회 처치하기,83,10012,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
72,글루딘 가도 올 마훔 정찰병공략,올 마훔 정찰병 15회 처치하기,83,10012,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
73,글루딘 가도 올 마훔 정찰병공략,올 마훔 정찰병 15회 처치하기,83,10012,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
74,글루딘 가도 올 마훔 정찰병공략,올 마훔 정찰병 15회 처치하기,83,10012,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
75,글루딘 가도 평원 쿠거공략,평원 쿠거 15회 처치하기,83,10014,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
76,글루딘 가도 위버공략,위버 15회 처치하기,83,10015,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
77,글루딘 가도 평원 쿠거공략,평원 쿠거 15회 처치하기,83,10014,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
78,글루딘 가도 위버공략,위버 15회 처치하기,83,10015,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
79,글루딘 가도 평원 쿠거공략,평원 쿠거 15회 처치하기,83,10014,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
80,글루딘 가도 위버공략,위버 15회 처치하기,83,10015,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
81,글루딘 가도 평원 쿠거공략,평원 쿠거 15회 처치하기,83,10014,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
82,글루딘 가도 위버공략,위버 15회 처치하기,83,10015,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
83,글루딘 가도 평원 쿠거공략,평원 쿠거 15회 처치하기,83,10014,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
84,글루딘 가도 위버공략,위버 15회 처치하기,83,10015,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
85,글루딘 가도 평원 쿠거공략,평원 쿠거 15회 처치하기,83,10014,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
86,글루딘 가도 위버공략,위버 15회 처치하기,83,10015,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
87,글루딘 가도 광포한 늑대인간공략,광포한 늑대인간 15회 처치하기,83,10013,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
88,글루딘 가도 광포한 늑대인간공략,광포한 늑대인간 15회 처치하기,83,10013,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
89,글루딘 가도 광포한 늑대인간공략,광포한 늑대인간 15회 처치하기,83,10013,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
90,글루딘 가도 올 마훔 정찰병공략,올 마훔 정찰병 15회 처치하기,83,10012,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
91,글루딘 가도 올 마훔 정찰병공략,올 마훔 정찰병 15회 처치하기,83,10012,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
92,글루딘 가도 올 마훔 정찰병공략,올 마훔 정찰병 15회 처치하기,83,10012,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
93,글루딘 가도 원한 깊은 해골 병사공략,원한 깊은 해골 병사 15회 처치하기,83,10016,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
94,글루딘 가도 묘지 박쥐공략,묘지 박쥐 15회 처치하기,83,10018,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
95,글루딘 가도 원한 깊은 해골 병사공략,원한 깊은 해골 병사 15회 처치하기,83,10016,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
96,글루딘 가도 묘지 박쥐공략,묘지 박쥐 15회 처치하기,83,10018,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
97,글루딘 가도 원한 깊은 해골 병사공략,원한 깊은 해골 병사 15회 처치하기,83,10016,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
98,글루딘 가도 묘지 박쥐공략,묘지 박쥐 15회 처치하기,83,10018,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
99,글루딘 가도 원한 깊은 해골 병사공략,원한 깊은 해골 병사 15회 처치하기,83,10016,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
100,글루딘 가도 묘지 박쥐공략,묘지 박쥐 15회 처치하기,83,10018,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
101,글루딘 가도 원한 깊은 해골 병사공략,원한 깊은 해골 병사 15회 처치하기,83,10016,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
102,글루딘 가도 묘지 박쥐공략,묘지 박쥐 15회 처치하기,83,10018,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
103,글루딘 가도 원한 깊은 해골 병사공략,원한 깊은 해골 병사 15회 처치하기,83,10016,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
104,글루딘 가도 묘지 박쥐공략,묘지 박쥐 15회 처치하기,83,10018,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
105,글루딘 가도 원한 깊은 해골 병사공략,원한 깊은 해골 병사 15회 처치하기,83,10016,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
106,글루딘 가도 묘지 박쥐공략,묘지 박쥐 15회 처치하기,83,10018,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
107,글루딘 가도 원한 깊은 해골 병사공략,원한 깊은 해골 병사 15회 처치하기,83,10016,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
108,글루딘 가도 묘지 박쥐공략,묘지 박쥐 15회 처치하기,83,10018,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
109,글루딘 가도 원한 깊은 해골 병사공략,원한 깊은 해골 병사 15회 처치하기,83,10016,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
110,글루딘 가도 묘지 박쥐공략,묘지 박쥐 15회 처치하기,83,10018,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
111,글루딘 가도 원한 깊은 해골 병사공략,원한 깊은 해골 병사 15회 처치하기,83,10016,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
112,글루딘 가도 묘지 박쥐공략,묘지 박쥐 15회 처치하기,83,10018,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
113,글루딘 가도 원한 깊은 해골 병사공략,원한 깊은 해골 병사 15회 처치하기,83,10016,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
114,글루딘 가도 묘지 박쥐공략,묘지 박쥐 15회 처치하기,83,10018,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
115,글루딘 가도 원한 깊은 해골 병사공략,원한 깊은 해골 병사 15회 처치하기,83,10016,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
116,글루딘 가도 묘지 박쥐공략,묘지 박쥐 15회 처치하기,83,10018,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
117,글루딘 가도 원한 깊은 해골 궁수공략,원한 깊은 해골 궁수 15회 처치하기,83,10017,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
118,글루딘 가도 원한 깊은 해골 궁수공략,원한 깊은 해골 궁수 15회 처치하기,83,10017,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
119,글루딘 가도 원한 깊은 해골 병사공략,원한 깊은 해골 병사 15회 처치하기,83,10016,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
120,글루딘 가도 묘지 박쥐공략,묘지 박쥐 15회 처치하기,83,10018,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
121,글루딘 가도 원한 깊은 해골 궁수공략,원한 깊은 해골 궁수 15회 처치하기,83,10017,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
122,글루딘 가도 원한 깊은 해골 궁수공략,원한 깊은 해골 궁수 15회 처치하기,83,10017,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
123,글루딘 가도 올 마훔 감독관공략,올 마훔 감독관 15회 처치하기,83,10019,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
124,글루딘 가도 올 마훔 칼잡이공략,올 마훔 칼잡이 15회 처치하기,83,10020,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
125,글루딘 가도 올 마훔 감독관공략,올 마훔 감독관 15회 처치하기,83,10019,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
126,글루딘 가도 올 마훔 칼잡이공략,올 마훔 칼잡이 15회 처치하기,83,10020,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
127,글루딘 가도 올 마훔 감독관공략,올 마훔 감독관 15회 처치하기,83,10019,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
128,글루딘 가도 올 마훔 칼잡이공략,올 마훔 칼잡이 15회 처치하기,83,10020,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
129,글루딘 가도 올 마훔 감독관공략,올 마훔 감독관 15회 처치하기,83,10019,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
130,글루딘 가도 올 마훔 칼잡이공략,올 마훔 칼잡이 15회 처치하기,83,10020,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
131,글루딘 가도 올 마훔 감독관공략,올 마훔 감독관 15회 처치하기,83,10019,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
132,글루딘 가도 올 마훔 칼잡이공략,올 마훔 칼잡이 15회 처치하기,83,10020,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
133,글루딘 가도 올 마훔 감독관공략,올 마훔 감독관 15회 처치하기,83,10019,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
134,글루딘 가도 올 마훔 칼잡이공략,올 마훔 칼잡이 15회 처치하기,83,10020,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
135,글루딘 가도 올 마훔 감독관공략,올 마훔 감독관 15회 처치하기,83,10019,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
136,글루딘 가도 올 마훔 칼잡이공략,올 마훔 칼잡이 15회 처치하기,83,10020,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
137,글루딘 가도 올 마훔 감독관공략,올 마훔 감독관 15회 처치하기,83,10019,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
138,글루딘 가도 올 마훔 칼잡이공략,올 마훔 칼잡이 15회 처치하기,83,10020,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
139,글루딘 가도 올 마훔 감독관공략,올 마훔 감독관 15회 처치하기,83,10019,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
140,글루딘 가도 올 마훔 칼잡이공략,올 마훔 칼잡이 15회 처치하기,83,10020,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
141,글루딘 가도 올 마훔 감독관공략,올 마훔 감독관 15회 처치하기,83,10019,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
142,글루딘 가도 올 마훔 칼잡이공략,올 마훔 칼잡이 15회 처치하기,83,10020,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
143,글루딘 가도 올 마훔 감독관공략,올 마훔 감독관 15회 처치하기,83,10019,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
144,글루딘 가도 올 마훔 칼잡이공략,올 마훔 칼잡이 15회 처치하기,83,10020,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
145,글루딘 가도 올 마훔 사수공략,올 마훔 사수 15회 처치하기,83,10021,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
146,글루딘 가도 올 마훔 사수공략,올 마훔 사수 15회 처치하기,83,10021,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
147,글루딘 가도 올 마훔 감독관공략,올 마훔 감독관 15회 처치하기,83,10019,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
148,글루딘 가도 올 마훔 칼잡이공략,올 마훔 칼잡이 15회 처치하기,83,10020,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
149,글루딘 가도 올 마훔 감독관공략,올 마훔 감독관 15회 처치하기,83,10019,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
150,글루딘 가도 올 마훔 칼잡이공략,올 마훔 칼잡이 15회 처치하기,83,10020,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
151,글루딘 가도 올 마훔 사수공략,올 마훔 사수 15회 처치하기,83,10021,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
152,글루딘 가도 올 마훔 사수공략,올 마훔 사수 15회 처치하기,83,10021,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
153,글루디오 평원 붉은 털 여우공략,붉은 털 여우 15회 처치하기,83,10037,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
154,글루디오 평원 광기의 검은 늑대공략,광기의 검은 늑대 15회 처치하기,83,10038,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
155,글루디오 평원 앤틸로프공략,앤틸로프 15회 처치하기,83,10039,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
156,글루디오 평원 붉은 털 여우공략,붉은 털 여우 15회 처치하기,83,10037,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
157,글루디오 평원 광기의 검은 늑대공략,광기의 검은 늑대 15회 처치하기,83,10038,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
158,글루디오 평원 앤틸로프공략,앤틸로프 15회 처치하기,83,10039,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
159,글루디오 평원 붉은 털 여우공략,붉은 털 여우 15회 처치하기,83,10037,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
160,글루디오 평원 광기의 검은 늑대공략,광기의 검은 늑대 15회 처치하기,83,10038,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
161,글루디오 평원 앤틸로프공략,앤틸로프 15회 처치하기,83,10039,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
162,글루디오 평원 붉은 털 여우공략,붉은 털 여우 15회 처치하기,83,10037,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
163,글루디오 평원 광기의 검은 늑대공략,광기의 검은 늑대 15회 처치하기,83,10038,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
164,글루디오 평원 앤틸로프공략,앤틸로프 15회 처치하기,83,10039,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
165,글루디오 평원 멜 리자드맨 목표잡이공략,멜 리자드맨 목표잡이 15회 처치하기,83,10035,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
166,글루디오 평원 광포한 검은 늑대공략,광포한 검은 늑대 15회 처치하기,83,10036,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
167,글루디오 평원 강철 거미공략,강철 거미 15회 처치하기,83,10040,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
168,글루디오 평원 멜 리자드맨 목표잡이공략,멜 리자드맨 목표잡이 15회 처치하기,83,10035,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
169,글루디오 평원 광포한 검은 늑대공략,광포한 검은 늑대 15회 처치하기,83,10036,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
170,글루디오 평원 강철 거미공략,강철 거미 15회 처치하기,83,10040,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
171,글루디오 평원 멜 리자드맨 목표잡이공략,멜 리자드맨 목표잡이 15회 처치하기,83,10035,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
172,글루디오 평원 광포한 검은 늑대공략,광포한 검은 늑대 15회 처치하기,83,10036,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
173,글루디오 평원 강철 거미공략,강철 거미 15회 처치하기,83,10040,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
174,글루디오 평원 멜 리자드맨 목표잡이공략,멜 리자드맨 목표잡이 15회 처치하기,83,10035,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
175,글루디오 평원 광포한 검은 늑대공략,광포한 검은 늑대 15회 처치하기,83,10036,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
176,글루디오 평원 강철 거미공략,강철 거미 15회 처치하기,83,10040,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
