Id,GuideQuestGroupId,Rank,RequiredId,Title,Desc,TaskType,TaskCount,RewardType,RewardItemInfoId,RewardCount,HelpURL
3014,3,1,3013,탑승펫 레벨 달성,탑승펫 레벨 <RedBold>[Value]</> 달성하기 ([Value1]/[Value2]),196,20,6,911009,1,http://guide.netmarble.com/lineageII#cont/520
3015,3,1,3014,출전,<RedBold>사이닝레이디</> 출전하기 ([Value1]/[Value2]),197,1,2,,500,http://guide.netmarble.com/lineageII#cont/521
3016,3,1,3015,소환석 던전 클리어,소환석 던전 <RedBold>[Value]회</> 클리어하기 ([Value1]/[Value2]),109,4,6,911005,3,http://guide.netmarble.com/lineageII#cont/522
3017,3,1,3016,탑승펫 장비 획득,S등급 이상 탑승펫 장비 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2]),195,1,1,,200000,http://guide.netmarble.com/lineageII#cont/523
3018,3,1,3017,탑승펫 장비 레벨업,탑승펫 <RedBold>장비 레벨업 [Value]회</> 시도하기 ([Value1]/[Value2]),190,10,6,911003,2,http://guide.netmarble.com/lineageII#cont/524
3019,3,1,3018,육성석 사용,탑승펫에게 육성석 <RedBold>[Value]회</> 사용하기 ([Value1]/[Value2]),193,8,6,900011,3,http://guide.netmarble.com/lineageII#cont/525
3020,3,1,3019,탑승펫 장비 강화,탑승펫 장비 <RedBold>[Value]회</> 강화하기 ([Value1]/[Value2]),191,10,2,,500,http://guide.netmarble.com/lineageII#cont/526
3021,3,1,3020,탑승펫 장비 획득,R등급 이상 탑승펫 장비 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2]),195,1,6,911008,1,http://guide.netmarble.com/lineageII#cont/527
4001,4,1,,일일임무,일일 퀘스트 <RedBold>[Value]회</> 완료하기 ([Value1]/[Value2]),130,3,2,,300,http://guide.netmarble.com/lineageII#cont/933
4002,4,1,4001,요일던전 클리어,요일던전 <RedBold>[Value]번</> 클리어하기 ([Value1]/[Value2]),95,1,1,,200000,http://guide.netmarble.com/lineageII#cont/934
4003,4,1,4002,주간퀘스트 완료,주간퀘스트 <RedBold>[Value]번</> 클리어하기([Value1]/[Value2]),131,2,6,490009,3,http://guide.netmarble.com/lineageII#cont/935
4004,4,1,4003,룬 각인,룬 각인 <RedBold>[Value]회</> 각인 시도하기 ([Value1]/[Value2]),20,5,6,910212,1,http://guide.netmarble.com/lineageII#cont/936
4005,4,1,4004,장비던전 클리어,장비던전 <RedBold>[Value]회</> 완료하기 ([Value1]/[Value2]),101,2,6,910218,3,http://guide.netmarble.com/lineageII#cont/937
4006,4,1,4005,장비 레벨업,장비 레벨업 <RedBold>[Value]회</> 시도하기 ([Value1]/[Value2]),57,5,6,910237,3,http://guide.netmarble.com/lineageII#cont/938
4007,4,1,4006,장비 강화,장비 <RedBold>[Value]회</> 강화하기 ([Value1]/[Value2]),53,1,6,910221,10,http://guide.netmarble.com/lineageII#cont/939
4008,4,1,4007,오만의 탑 소탕,오만의 탑 <RedBold>[Value]회</> 소탕하기 ([Value1]/[Value2]),93,1,6,490030,1,http://guide.netmarble.com/lineageII#cont/940
4009,4,1,4008, 스킬 레벨업,스킬 레벨업 <RedBold>[Value]회</> 진행하기 ([Value1]/[Value2]),240,1,6,910219,3,http://guide.netmarble.com/lineageII#cont/941
4010,4,1,4009,장비 레벨업,장비 레벨업 <RedBold>[Value]회</> 시도하기 ([Value1]/[Value2]),57,5,6,910221,10,http://guide.netmarble.com/lineageII#cont/942
4011,4,1,4010,장비 승급,장비 승급 <RedBold>[Value]회</> 시도하기([Value1]/[Value2]),61,1,6,911151,1,http://guide.netmarble.com/lineageII#cont/943
4012,4,1,4011,결투장,결투장 <RedBold>[Value]회</> 도전하기 ([Value1]/[Value2]),141,5,6,490009,3,http://guide.netmarble.com/lineageII#cont/944
4013,4,1,4012,혈맹 기부,혈맹에 <RedBold>[Value]회</> 기부하기 ([Value1]/[Value2]),163,1,2,,500,http://guide.netmarble.com/lineageII#cont/945
4014,4,1,4013,아데나 던전,아데나 던전 <RedBold>[Value]회</> 클리어하기 ([Value1]/[Value2]),102,1,1,,200000,http://guide.netmarble.com/lineageII#cont/946
4015,4,1,4014,장비던전 클리어,장비던전 <RedBold>[Value]회</> 완료하기 ([Value1]/[Value2]),101,3,6,910213,1,http://guide.netmarble.com/lineageII#cont/947
4016,4,1,4015,요일던전 클리어,요일던전 <RedBold>[Value]번</> 클리어하기 ([Value1]/[Value2]),95,1,6,490009,3,http://guide.netmarble.com/lineageII#cont/948
4017,4,1,4016,혈맹 기부,혈맹에 <RedBold>[Value]회</> 기부하기 ([Value1]/[Value2]),163,2,6,490030,1,http://guide.netmarble.com/lineageII#cont/949
4018,4,1,4017,채집 던전,채집 던전에서 약초 <RedBold>[Value2]회</> 채집하기 ([Value1]/[Value2]),97,30,6,910205,1,http://guide.netmarble.com/lineageII#cont/950
4019,4,1,4018,엘릭서 3회 제작,엘릭서 <RedBold>[Value]회</> 제작하기([Value1]/[Value2]),52,3,6,900008,2,http://guide.netmarble.com/lineageII#cont/951
4020,4,1,4019,장비 합성,장비 합성 <RedBold>[Value]회</> 시도하기 ([Value1]/[Value2]),58,2,6,490009,3,http://guide.netmarble.com/lineageII#cont/952
4021,4,1,4020,혈맹던전,혈맹던전 <RedBold>[Value]회</> 완료하기([Value1]/[Value2]),116,1,6,911057,1,http://guide.netmarble.com/lineageII#cont/953
5001,5,1,,일일임무,일일 퀘스트 <RedBold>[Value]회</> 완료하기 ([Value1]/[Value2]),130,3,2,,300,http://guide.netmarble.com/lineageII#cont/933
5002,5,1,5001,요일던전 클리어,요일던전 <RedBold>[Value]번</> 클리어하기 ([Value1]/[Value2]),95,1,1,,200000,http://guide.netmarble.com/lineageII#cont/934
5003,5,1,5002,주간퀘스트 완료,주간퀘스트 <RedBold>[Value]번</> 클리어하기([Value1]/[Value2]),131,2,6,490009,3,http://guide.netmarble.com/lineageII#cont/935
5004,5,1,5003,룬 각인,룬 각인 <RedBold>[Value]회</> 각인 시도하기 ([Value1]/[Value2]),20,5,6,910212,1,http://guide.netmarble.com/lineageII#cont/936
5005,5,1,5004,장비던전 클리어,장비던전 <RedBold>[Value]회</> 완료하기 ([Value1]/[Value2]),101,2,6,910218,3,http://guide.netmarble.com/lineageII#cont/937
5006,5,1,5005,장비 레벨업,장비 레벨업 <RedBold>[Value]회</> 시도하기 ([Value1]/[Value2]),57,5,6,910237,3,http://guide.netmarble.com/lineageII#cont/938
5007,5,1,5006,장비 강화,장비 <RedBold>[Value]회</> 강화하기 ([Value1]/[Value2]),53,1,6,910221,10,http://guide.netmarble.com/lineageII#cont/939
5008,5,1,5007,오만의 탑 소탕,오만의 탑 <RedBold>[Value]회</> 소탕하기 ([Value1]/[Value2]),93,1,6,490030,1,http://guide.netmarble.com/lineageII#cont/940
5009,5,1,5008, 스킬 레벨업,스킬 레벨업 <RedBold>[Value]회</> 진행하기 ([Value1]/[Value2]),240,1,6,910219,3,http://guide.netmarble.com/lineageII#cont/941
5010,5,1,5009,장비 레벨업,장비 레벨업 <RedBold>[Value]회</> 시도하기 ([Value1]/[Value2]),57,5,6,910221,10,http://guide.netmarble.com/lineageII#cont/942
5011,5,1,5010,장비 승급,장비 승급 <RedBold>[Value]회</> 시도하기([Value1]/[Value2]),61,1,6,911151,1,http://guide.netmarble.com/lineageII#cont/943
5012,5,1,5011,결투장,결투장 <RedBold>[Value]회</> 도전하기 ([Value1]/[Value2]),141,5,6,490009,3,http://guide.netmarble.com/lineageII#cont/944
5013,5,1,5012,혈맹 기부,혈맹에 <RedBold>[Value]회</> 기부하기 ([Value1]/[Value2]),163,1,2,,500,http://guide.netmarble.com/lineageII#cont/945
5014,5,1,5013,아데나 던전,아데나 던전 <RedBold>[Value]회</> 클리어하기 ([Value1]/[Value2]),102,1,1,,200000,http://guide.netmarble.com/lineageII#cont/946
5015,5,1,5014,장비던전 클리어,장비던전 <RedBold>[Value]회</> 완료하기 ([Value1]/[Value2]),101,3,6,910213,1,http://guide.netmarble.com/lineageII#cont/947
5016,5,1,5015,요일던전 클리어,요일던전 <RedBold>[Value]번</> 클리어하기 ([Value1]/[Value2]),95,1,6,490009,3,http://guide.netmarble.com/lineageII#cont/948
5017,5,1,5016,혈맹 기부,혈맹에 <RedBold>[Value]회</> 기부하기 ([Value1]/[Value2]),163,2,6,490030,1,http://guide.netmarble.com/lineageII#cont/949
5018,5,1,5017,채집 던전,채집 던전에서 약초 <RedBold>[Value2]회</> 채집하기 ([Value1]/[Value2]),97,30,6,910205,1,http://guide.netmarble.com/lineageII#cont/950
5019,5,1,5018,엘릭서 3회 제작,엘릭서 <RedBold>[Value]회</> 제작하기([Value1]/[Value2]),52,3,6,900008,2,http://guide.netmarble.com/lineageII#cont/951
5020,5,1,5019,장비 합성,장비 합성 <RedBold>[Value]회</> 시도하기 ([Value1]/[Value2]),58,2,6,490009,3,http://guide.netmarble.com/lineageII#cont/952
5021,5,1,5020,혈맹던전,혈맹던전 <RedBold>[Value]회</> 완료하기([Value1]/[Value2]),116,1,6,911057,1,http://guide.netmarble.com/lineageII#cont/953
6001,6,1,,일일임무,일일 퀘스트 <RedBold>[Value]회</> 완료하기 ([Value1]/[Value2]),130,3,2,,300,http://guide.netmarble.com/lineageII#cont/1099
6002,6,1,6001,요일던전 클리어,요일던전 <RedBold>[Value]번</> 클리어하기 ([Value1]/[Value2]),95,1,1,,200000,http://guide.netmarble.com/lineageII#cont/1100
6003,6,1,6002,주간퀘스트 완료,주간퀘스트 <RedBold>[Value]번</> 클리어하기([Value1]/[Value2]),131,2,6,490009,2,http://guide.netmarble.com/lineageII#cont/1101
6004,6,1,6003,룬 각인,룬 각인 <RedBold>[Value]회</> 각인 시도하기 ([Value1]/[Value2]),20,5,6,910212,1,http://guide.netmarble.com/lineageII#cont/1102
6005,6,1,6004,장비던전 클리어,장비던전 <RedBold>[Value]회</> 완료하기 ([Value1]/[Value2]),101,2,6,910218,3,http://guide.netmarble.com/lineageII#cont/1103
6006,6,1,6005,장비 레벨업,장비 레벨업 <RedBold>[Value]회</> 시도하기 ([Value1]/[Value2]),57,5,6,910237,3,http://guide.netmarble.com/lineageII#cont/1104
6007,6,1,6006,장비 강화,장비 <RedBold>[Value]회</> 강화하기 ([Value1]/[Value2]),53,2,6,910221,10,http://guide.netmarble.com/lineageII#cont/1105
6008,6,1,6007,오만의 탑 소탕,오만의 탑 <RedBold>[Value]회</> 소탕하기 ([Value1]/[Value2]),93,1,6,490030,1,http://guide.netmarble.com/lineageII#cont/1106
6009,6,1,6008, 스킬 레벨업,스킬 레벨업 <RedBold>[Value]회</> 진행하기 ([Value1]/[Value2]),240,1,6,910219,2,http://guide.netmarble.com/lineageII#cont/1107
6010,6,1,6009,장비 레벨업,장비 레벨업 <RedBold>[Value]회</> 시도하기 ([Value1]/[Value2]),57,5,6,910221,10,http://guide.netmarble.com/lineageII#cont/1108
6011,6,1,6010,장비 승급,장비 승급 <RedBold>[Value]회</> 시도하기([Value1]/[Value2]),61,1,6,911151,1,http://guide.netmarble.com/lineageII#cont/1109
6012,6,1,6011,결투장,결투장 <RedBold>[Value]회</> 도전하기 ([Value1]/[Value2]),141,5,6,490009,2,http://guide.netmarble.com/lineageII#cont/1110
6013,6,1,6012,혈맹 기부,혈맹에 <RedBold>[Value]회</> 기부하기 ([Value1]/[Value2]),163,1,2,,500,http://guide.netmarble.com/lineageII#cont/1111
6014,6,1,6013,아데나 던전,아데나 던전 <RedBold>[Value]회</> 클리어하기 ([Value1]/[Value2]),102,1,1,,200000,http://guide.netmarble.com/lineageII#cont/1112
6015,6,1,6014,장비던전 클리어,장비던전 <RedBold>[Value]회</> 완료하기 ([Value1]/[Value2]),101,3,6,910213,1,http://guide.netmarble.com/lineageII#cont/1113
6016,6,1,6015,요일던전 클리어,요일던전 <RedBold>[Value]번</> 클리어하기 ([Value1]/[Value2]),95,1,6,910004,2,http://guide.netmarble.com/lineageII#cont/1114
6017,6,1,6016,혈맹 기부,혈맹에 <RedBold>[Value]회</> 기부하기 ([Value1]/[Value2]),163,2,6,490030,1,http://guide.netmarble.com/lineageII#cont/1115
6018,6,1,6017,채집 던전,채집 던전에서 약초 <RedBold>[Value2]회</> 채집하기 ([Value1]/[Value2]),97,30,6,910205,1,http://guide.netmarble.com/lineageII#cont/1116
6019,6,1,6018,엘릭서 3회 제작,엘릭서 <RedBold>[Value]회</> 제작하기([Value1]/[Value2]),52,3,6,900008,2,http://guide.netmarble.com/lineageII#cont/1117
6020,6,1,6019,장비 합성,장비 합성 <RedBold>[Value]회</> 시도하기 ([Value1]/[Value2]),58,2,1,,100000,http://guide.netmarble.com/lineageII#cont/1118
6021,6,1,6020,혈맹던전,혈맹던전 <RedBold>[Value]회</> 완료하기([Value1]/[Value2]),116,1,6,911057,1,http://guide.netmarble.com/lineageII#cont/1119
7001,7,1,,일일임무,일일 퀘스트 <RedBold>[Value]회</> 완료하기 ([Value1]/[Value2]),130,3,2,,300,http://guide.netmarble.com/lineageII#cont/1036
7002,7,1,7001,요일던전 클리어,요일던전 <RedBold>[Value]번</> 클리어하기 ([Value1]/[Value2]),95,1,1,,200000,http://guide.netmarble.com/lineageII#cont/1037
7003,7,1,7002,주간퀘스트 완료,주간퀘스트 <RedBold>[Value]번</> 클리어하기([Value1]/[Value2]),131,3,6,490009,5,http://guide.netmarble.com/lineageII#cont/1038
7004,7,1,7003,장비던전 클리어,장비던전 <RedBold>[Value]회</> 완료하기 ([Value1]/[Value2]),101,2,6,919001,1,http://guide.netmarble.com/lineageII#cont/1039
7005,7,1,7004,정예 던전,정예 던전 퀘스트 <RedBold>[Value]개</> 완료하기 ([Value1]/[Value2]),100,2,6,900012,5,http://guide.netmarble.com/lineageII#cont/1040
7006,7,1,7005,집혼석 레벨업,집혼석 레벨업에 재료 <RedBold>[Value]개</> 사용 하기([Value1]/[Value2]),63,7,1,,200000,http://guide.netmarble.com/lineageII#cont/1041
7007,7,1,7006,오만의 탑 소탕,오만의 탑 <RedBold>[Value]회</> 소탕하기 ([Value1]/[Value2]),93,1,6,910401,100,http://guide.netmarble.com/lineageII#cont/1042
7008,7,1,7007, 몬스터 코어 등록,몬스터 코어 <RedBold>[Value]개</> 등록하기([Value1]/[Value2]),41,1,6,490009,5,http://guide.netmarble.com/lineageII#cont/1043
7009,7,1,7008,장예 던전,정예 던전 퀘스트 <RedBold>[Value]개</> 완료하기 ([Value1]/[Value2]),100,1,6,919002,1,http://guide.netmarble.com/lineageII#cont/1044
7010,7,1,7009,장비 레벨업,장비 레벨업 <RedBold>[Value]회</> 시도하기 ([Value1]/[Value2]),57,5,6,910237,3,http://guide.netmarble.com/lineageII#cont/1045
7011,7,1,7010,장비 강화,장비 <RedBold>[Value]회</> 강화하기 ([Value1]/[Value2]),53,1,6,910402,200,http://guide.netmarble.com/lineageII#cont/1046
7012,7,1,7011,아데나 던전,아데나 던전 <RedBold>[Value]회</> 클리어하기 ([Value1]/[Value2]),102,1,6,919001,1,http://guide.netmarble.com/lineageII#cont/1047
7013,7,1,7012,채집 던전,채집 던전에서 약초 <RedBold>[Value2]회</> 채집하기 ([Value1]/[Value2]),97,30,6,900012,5,http://guide.netmarble.com/lineageII#cont/1048
7014,7,1,7013,엘릭서 4회 제작,엘릭서 <RedBold>[Value]회</> 제작하기([Value1]/[Value2]),52,4,6,910403,200,http://guide.netmarble.com/lineageII#cont/1049
7015,7,1,7014,혈맹 기부,혈맹에 <RedBold>[Value]회</> 기부하기 ([Value1]/[Value2]),163,2,2,,500,http://guide.netmarble.com/lineageII#cont/1050
7016,7,1,7015,장비던전 클리어,장비던전 <RedBold>[Value]회</> 완료하기 ([Value1]/[Value2]),101,5,6,910221,10,http://guide.netmarble.com/lineageII#cont/1051
7017,7,1,7016,결투장,결투장 <RedBold>[Value]회</> 도전하기 ([Value1]/[Value2]),141,5,6,490030,2,http://guide.netmarble.com/lineageII#cont/1052
7018,7,1,7017, 스킬 레벨업,스킬 레벨업 <RedBold>[Value]회</> 진행하기 ([Value1]/[Value2]),240,1,6,910219,2,http://guide.netmarble.com/lineageII#cont/1053
7019,7,1,7018,장비 합성,장비 합성 <RedBold>[Value]회</> 시도하기 ([Value1]/[Value2]),58,2,6,910404,200,http://guide.netmarble.com/lineageII#cont/1054
7020,7,1,7019,룬 각인,룬 각인 <RedBold>[Value]회</> 각인 시도하기 ([Value1]/[Value2]),20,5,6,490009,5,http://guide.netmarble.com/lineageII#cont/1055
7021,7,1,7020,혈맹던전,혈맹던전 <RedBold>[Value]회</> 완료하기([Value1]/[Value2]),116,1,6,910206,1,http://guide.netmarble.com/lineageII#cont/1056
8001,8,1,,일일임무,일일 퀘스트 <RedBold>[Value]회</> 완료하기 ([Value1]/[Value2]),130,3,2,,300,http://guide.netmarble.com/lineageII#cont/1036
8002,8,1,8001,요일던전 클리어,요일던전 <RedBold>[Value]번</> 클리어하기 ([Value1]/[Value2]),95,1,1,,200000,http://guide.netmarble.com/lineageII#cont/1037
8003,8,1,8002,주간퀘스트 완료,주간퀘스트 <RedBold>[Value]번</> 클리어하기([Value1]/[Value2]),131,3,6,490009,5,http://guide.netmarble.com/lineageII#cont/1038
8004,8,1,8003,장비던전 클리어,장비던전 <RedBold>[Value]회</> 완료하기 ([Value1]/[Value2]),101,2,6,919001,1,http://guide.netmarble.com/lineageII#cont/1039
8005,8,1,8004,정예 던전,정예 던전 퀘스트 <RedBold>[Value]개</> 완료하기 ([Value1]/[Value2]),100,2,6,900012,5,http://guide.netmarble.com/lineageII#cont/1040
8006,8,1,8005,집혼석 레벨업,집혼석 레벨업에 재료 <RedBold>[Value]개</> 사용 하기([Value1]/[Value2]),63,7,1,,200000,http://guide.netmarble.com/lineageII#cont/1041
8007,8,1,8006,오만의 탑 소탕,오만의 탑 <RedBold>[Value]회</> 소탕하기 ([Value1]/[Value2]),93,1,6,910401,100,http://guide.netmarble.com/lineageII#cont/1042
8008,8,1,8007, 몬스터 코어 등록,몬스터 코어 <RedBold>[Value]개</> 등록하기([Value1]/[Value2]),41,1,6,490009,5,http://guide.netmarble.com/lineageII#cont/1043
