Id,Name,BuffType,ClientType,Param,EffectTypeName,Group,StackCount,Duration,Period,VisualEffectId,ExtendVisualEffectId,ExcpetRoomType,IconTexture,CameraShake,CameraShakeIntensity,Sound,Desc,DescAddBuffId,GetBuffVisible
112545,공통 기절,7,4,,기절,112541,1,1501,,1,,,,,,,기절,,0
11261,디바인 퍼니쉬먼트:스턴,7,2,,넉다운,1003,1,2500,,,,,,,,,,,0
11262,레스토레이션,7,0,,HOT,,1,6000,1000,,,,Icon_Skill_Active_11262,,,,일정 시간동안 회복,,0
11263,밸런스 라이프,7,0,,밸런스 라이프 : 보호막 부여,,20,10001,,410,,,Icon_Skill_Active_11263,,,,보호막 {1} 생성,,0
112634,밸런스 라이프,7,0,,밸런스 라이프 : 보호막 레어스킬 대미지 감소,,1,10001,,,,,Icon_Skill_Active_11263,,,,레어스킬 대미지 {1%}% 감소,,0
12211,트라이뷰널,7,0,,목표 고정,,1,8005,,,,,Icon_Skill_Active_12211,,,,어그로 획득량 30% 증가,,0
12212,에바스 그레이스,7,0,,공격속도 감소,,1,2000,,,,,Icon_Skill_Active_12212,,,,HP 회복량 50% 감소,,0
122125,에바스 그레이스,7,0,,피격대상 이동속도 감소,1001,1,3000,,,,,Icon_Skill_Active_12212,,,,이동속도 {1%}% 감소,,0
12214,에바스 윌,7,0,,"에바스 윌 : 회피율 증가, 대미지 감소 증가, 상태 이상 저항",,1,1001,,404,,,Icon_Skill_Active_12214,,,,"회피율 증가 {1%}%, 대미지 감소율 증가 {2%}%, 상태이상 저항 증가 {3%}%",,0
122131,이지스 스탠스,7,0,,이지스스탠스:일시 피해 및 상태 이상 면역,,1,5001,,,,,Icon_Skill_Active_12213,,,,피해 및 상태 이상 면역,,0
122132,이지스 스탠스,7,0,,"이지스스탠스:이속 증가,공속 증가",,1,15001,,,,,Icon_Skill_Active_12213,,,,"이동 속도 {1%}% 증가, 공격 속도 {2%}% 증가",,0
12221,소닉 블래스터,7,0,,소닉 블래스터:이속 감소,,1,5001,,,,,Icon_Skill_Active_12221,,,,이동 속도 {1%}% 감소,,0
122231,리듬 오브 컴뱃,7,0,,리듬오브컴뱃:공방증가,,1,90001,,,,,Icon_Skill_Active_12223,,,,"파티원들의 공격력 {1} 증가, 방어력 {3} 증가",,0
122241,송 오브 헌터,7,0,,송of헌터:파티치명확률,,1,30001,,,,,Icon_Skill_Active_12224,,,,파티원들의 크리티컬 확률 {1%}% 증가,,0
122251,송 오브 챔피언,7,0,,송of챔피언:쿨타임감소(아군),122251,1,40001,,405,,,Icon_Skill_Active_12225,,,,"스킬 쿨타임 30% 감소, 공격력 증가 {2}",,0
122252,송 오브 챔피언,7,0,,송of챔피언:쿨타임감소(자신),122251,1,40001,,405,,,Icon_Skill_Active_12225,,,,"스킬 쿨타임 50% 감소, 공격력 증가 {2}",,0
12231,트리플 스플린터,7,0,,이동속도 감소,1001,1,5001,,,,,Icon_Skill_Active_12231,,,,"방어력 감소{1%}%, 공격속도 {3%}% 감소, 이동속도 {4%}% 감소",,0
12232,블레이드 허리케인,7,4,,기절,1002,1,3001,,1,,,Icon_Skill_Active_12232,,,,기절,,0
12233,플레인 워크,7,0,,"플레인워크:공속,이속증폭,HP흡수율",,1,20001,,,,,Icon_Skill_Active_12233,,,,"공격속도 {1%}%, 이동속도 {2%}% 증가, HP 흡수율 {3%}%",,0
12234,콤보 스플린터,7,4,,콤보 스플린터 : 2초간 무조건 행동불능,,1,2001,,1,,,,,,,,,0
12241,리썰 샷,7,0,,크리티컬율 증가,,1,1000,,,,,Icon_Skill_Active_12241,,,,,,0
12242,더블 와이드 샷,7,0,,더블 와이드 샷:방어력 감소,,1,10001,,,,,Icon_Skill_Active_12242,,,,물리 방어력 {1%}% 감소,,0
122431,마인드 아이즈,7,0,,마인드 아이즈:크리확률대폭,,1,30001,,,,,Icon_Skill_Active_12243,,,,크리티컬 {1} 증가,,0
122441,더블 퀵 스텝,7,0,,"더블퀵스텝:이속대폭,공속소폭",,1,30001,,,,,Icon_Skill_Active_12244,,,,"이동속도 {1%}% 증가, 공격속도 {2%}% 증가",,0
12245,스피릿 오브 문라이트,7,15,,스피릿 오브 문라이트: 기본공격 수정,,1,20001,,415,,,Icon_Skill_Active_12245,,,,"일반 공격 대상 수 1명으로 감소, 1명의 적에게 3회 연속 공격",,0
122451,스피릿 오브 문라이트,7,0,,스피릿 오브 문라이트: 대미지 표시 용,,1,30001,,,,,,,,,,,0
12251,아이스 스피어,7,0,,슬로우,1001,1,5000,,,,,Icon_Skill_Active_12251,,,,이동속도 {1%}% 감소,,0
12252,블리자드 스톰,7,0,,슬로우,1001,1,5000,,,,,Icon_Skill_Active_12252,,,,이동속도 {1%}% 감소,,0
122521,블리자드 스톰,7,4,,기절,1002,1,2000,,1,,,Icon_Skill_Active_12252,,,,기절,,0
122531,스타폴,7,0,,슬로우,1001,1,3000,,,,,Icon_Skill_Active_12253,,,,이동속도 {1%}% 감소,,0
122614,나이트메어,7,0,,슬로우,,1,6000,,,,,Icon_Debuff_Slow,,,,이동속도 10% 감소,,0
122615,홀리 파이어,7,0,,받는피해 증가,,1,7000,,,,,Icon_Skill_Active_12261,,,,받는 피해 {1%}% 증가,,0
12263,메이저 힐,7,0,,힐,,1,3000,,,,,Icon_Skill_Active_12262,,,,,,0
122631,마인드리프레쉬,7,0,,마인드리프레쉬:파티쿨탐감,,1,20001,,,,,Icon_Skill_Active_12263,,,,파티원들의 스킬 재사용 시간 {1#}초 감소,,0
12264,팔로우 디펜스,7,0,,"방어파티버프물리,마법",,1,40001,,,,,Icon_Skill_Active_12264,,,,파티원들의 방어력 {1%}% 증가,,0
12265,리저렉션,7,0,,리저렉션 : 상태이상 저항률 증가,,1,7001,,401,,,Icon_Skill_Active_12265,,,,상태이상 저항률 {1%}% 증가,,0
122651,리저렉션,7,0,,리저렉션 : 쿨타임 초기화 스킬 호출,,1,1001,,,,,,,,,,,0
122653,리저렉션,7,0,,리저렉션 : 시전자 무적,,1,3001,,,,,Icon_Skill_Active_12265,,,,피해를 받지 않습니다. 적을 공격하면 무적 버프가 해제됩니다.,,0
122654,리저렉션,7,0,,리저렉션 : 보호막 생성,,10,7001,,,,,Icon_Skill_Active_12265,,,,보호막 {1} 생성,,0
13211,라이프 리치,7,0,,방어력 감소,,1,5000,,,,,Icon_Skill_Active_13211,,,,방어력 {1%}% 감소,,0
132113,라이프 리치,7,0,,이동속도 감소,,1,5000,,,,,Icon_Skill_Active_13211,,,,이동속도 {1%}% 감소,,0
132125,체인 히드라,7,4,,스턴,1002,1,2500,,1,,,Icon_Skill_Active_13212,,,,기절,,0
132126,체인 히드라,7,0,,도발 면역 및 끌어오기 면역,,1,8005,,,,,Icon_Skill_Active_13212,,,,어그로 집중 효과,,0
13213,얼티미트 디펜스,7,0,,"얼티미트디펜스:물방마방어대폭증,이동불가",,1,15001,,,,,Icon_Skill_Active_13213,,,,"방어력 {1%}% 및 추가 {3} 증가, 공격 대상 이동 속도 감소",,0
132132,얼티미트 디펜스,7,0,,얼티미트디펜스:타격슬로우,,1,5001,,,,,Icon_Skill_Active_13213,,,,이동 속도 {1%}% 감소,,0
132141,스피릿 오브 실렌,7,0,,"스피릿오브실렌:공격력증가, 공속증가, HP흡수율증가",,1,15001,,406,,,Icon_Skill_Active_13214,,,,"공격력 {1} 증가, 공격속도 {3%}% 증가 , HP흡수율증가 {4%}% 증가",,0
132142,스피릿 오브 실렌,7,0,,스피릿오브실렌:파티원 위협도 감소,,1,15001,,,,,Icon_Skill_Active_13214,,,,위협도 생성량 {1%}% 감소,,0
132144,스피릿 오브 실렌,7,0,,스피릿오브실렌:스킬 1회 보호,,1,7001,,,,,Icon_Skill_Active_13214,,,,스킬 공격 1회 방어,,0
132145,스피릿 오브 실렌,7,0,,스피릿오브실렌:스킬 보호,,1,2001,,,,,Icon_Skill_Active_13214,,,,스킬 공격 방어,,0
13222,허리케인 스톰,7,0,,슬로우,1001,1,3000,,,,,Icon_Skill_Active_13222,,,,이동속도 {1%}% 감소,,0
132221,허리케인 스톰,7,0,,이동속도 증가,,1,7001,,,,,Icon_Skill_Active_13222,,,,이동속도 {1%}% 증가,,0
132231,댄스 오브 워리어,7,0,,댄스of워려:파티물공증,,1,40001,,,,,Icon_Skill_Active_13223,,,,파티원들의 물리공격력 {1} 증가,,0
132241,댄스 오브 퓨리,7,0,,댄스of퓨리:파티공속증,,1,40001,,,,,Icon_Skill_Active_13224,,,,파티원들의 공격속도 {1%}% 증가,,0
13225,이뮨 디레인지먼트,7,0,,"이뮨 디레인지먼트 : 상태이상 저항 증가, 이속증가, 방어력 증가, 피해량감소",,1,10001,,409,,,Icon_Skill_Active_13225,,,,"상태이상 저항률 {1%}% 증가, 이동속도 {2%}% 증가, 물리 방어력 {3} 증가, 피해량 {4%}% 감소",,0
13231,스팅,5,0,,출혈 추가피해,,3,3000,500,,,,Icon_Skill_Active_13231,,,,출혈을 통해 지속 피해를 입습니다.,,0
13232,블러드 레인:출혈 추가피해,5,0,,출혈 추가피해,,3,3000,500,,,,Icon_Skill_Active_13232,,,,,,0
132322,블러드 레인,7,4,,스턴,1002,1,2000,,1,,,Icon_Skill_Active_13232,,,,기절,,0
132331,비셔스스탠스,7,0,,비셔스스탠스:크리댐증폭,,1,20001,,,,,Icon_Skill_Active_13233,,,,크리티컬 대미지 {1%}% 증가,,0
132332,비셔스스탠스 크리티컬히트,7,0,,비셔스스탠스:크리확률100%,,1,4001,,,,,Icon_Skill_Active_13233,,,,최대 효율의 크리티컬 확률,,0
13234,섀도우 카피,7,0,,섀도우 카피: NPC 버프 부여,,1,60001,,,,,,,,,,,0
13242,스턴 샷,7,4,,스턴,1002,1,3001,,1,,,Icon_Skill_Active_13242,,,,,,0
13243,래피드 파이어,7,0,,"래피드파이어:공속증가,사정거리감소",,1,15001,,,,,Icon_Skill_Active_13243,,,,공격속도 {1%}% 증가.,,0
13244,페이탈 카운터,7,0,,"페이탈카운터:공격대폭증,회피 감소",,1,15001,,,,,Icon_Skill_Active_13244,,,,"공격력 {1} 증가, 회피 {2%}% 감소",,0
132454,파이널 데스 스팅어,7,0,,파이널 데스 스팅어: 공격력 증가,,1,15001,,,,,Icon_Skill_Active_13245,,,,공격력 {1} 증가,,0
13251,다크 브레스,7,0,,슬로우,,1,3000,,,,,Icon_Skill_Active_13251,,,,,,0
13252,커럽션,7,0,,"방어 감소, 이속 감소",,1,2500,,,,,Icon_Skill_Active_13252,,,,"방어력{1%}% 감소, 이동속도 {3%}% 감소",,0
132531,페이탈위즈덤,7,0,,페이탈위즈덤:마공대폭증,,1,15001,,,,,Icon_Skill_Active_13253,,,,마법공격력 {1} 증가,,0
132541,서먼 오브 나이트,7,0,,서먼 오브 나이트: NPC 버프 부여,,1,60001,,,,,,,,,,,0
132542,서먼 오브 나이트,7,0,,목표 고정(NPC),,1,4001,,,,,,,,,,,0
1325412,서먼 오브 나이트,7,0,,"슬로우, 3회 중첩 스턴",1001,3,4001,,,,,Icon_Skill_Active_132541,,,,이동속도 {1%}% 감소,,0
132623,블러디 레이지,7,0,,슬로우,1001,1,4000,,,,,Icon_Skill_Active_13262,,,,이동속도 {1%}% 감소,,0
132625,블러디 레이지,7,11,,침묵,,1,3000,,,,,Icon_Skill_Active_13262,,,,침묵,,0
132624,블러디 레이지:대미지 증가,7,0,,공격 증가,,1,10000,,,,,Icon_Skill_Active_13262,,,,,,0
132631,엠파워,7,0,,"엠파워:마법 공격력 증가, 회복력 증가",,1,20001,,,,,Icon_Skill_Active_13263,,,,"마법 공격력 {1} 증가, 흡혈률 {2%}% 증가",,0
132632,엠파워,7,0,,엠파워:HP 소모 제한,,1,5001,5000,,,,,,,,,,0
132633,엠파워,7,0,,엠파워:파티 피해량 증가,,1,20001,,,,,Icon_Skill_Active_13263,,,,피해량 {1%}% 증가,,0
132651,실리엔 프로텍션,7,0,,실리엔 프로텍션: 체력이 일정 이하로 떨어지지 않음,132651,1,15001,,411,,,Icon_Skill_Active_13265,,,PC/Common/PC_Hit_Buff_Defence_01,"공격력 {2} 증가, HP가 100 아래로 떨어질 경우 체력회복, 보호막 생성",,0
132661,실리엔 프로텍션,7,0,,실리엔 프로텍션: 무적,,1,2001,,,,,,,,,,,0
132663,실리엔 프로텍션,7,0,,실리엔 프로텍션: 보호막,,20,7001,,412,,,Icon_Skill_Active_13265,,,,보호막 {1} 생성,,0
14211,쓰러스트,7,0,,"방어력 감소, 목표고정",,1,8005,,,,,Icon_Skill_Active_14211,,,,방어력 {1%}% 감소,,0
14212,어스퀘이크,7,4,,기절,,1,2500,,1,,,Icon_Skill_Active_14212,,,,기절,,0
14213,어스퀘이크,7,0,,공격력 감소,,1,8501,,,,,Icon_Skill_Active_14212,,,,공격력 20% 감소,,0
14214,파이널 시크릿,7,16,"{""Material"":""Gold""}","파이널 시크릿: 최대 체력 증가, 대감 증가, 대미지 증가",,1,20001,,408,,,Icon_Skill_Active_14214,,,,"최대 체력 {1} 증가, 대미지 감소율 {2%}% 증가, 공격력 {3} 증가, 피해량 {4%}% 증가",,0
14222,리프어택,7,2,,넉다운,,1,2500,,,,,Icon_Skill_Active_14222,,,,,,0
14223,앵그리 드워프,7,0,,"앵그리드워프:공격증,방어감소",,1,15001,,,,,Icon_Skill_Active_14223,,,,공격력 {1} 증가. 받는 피해량 {2%}% 감소,,0
14224,인피니티 퀘이크,7,4,,인피니티 퀘이크:기절,1002,1,500,,1,,,,,,,,,0
14231,블레이드 러시,7,0,,치명저항 감소,,1,10000,,,,,Icon_Skill_Active_14231,,,,크리티컬 저항 확률 {1%}% 감소,,0
14232,소닉 스타,7,0,,이동속도 감소,1101,1,10000,,,,,Icon_Skill_Active_14232,,,,이동속도 {1%}% 감소,,0
142321,소닉 스타,7,11,,침묵,,1,5000,,,,,Icon_Skill_Active_14232,,,,침묵,,0
142331,아데나서치,7,0,,아데나서치:아데나획득량증가,9001,1,60001,,,,,Icon_Skill_Active_14233,,,,"전투 시 {1%}% 더 많은 아데나 발견, 이동속도 {2%}% 증가",,0
242331,아데나서치,6,0,,아데나서치:중독,,1,10001,500,,,,Icon_Skill_Active_14233,,,,중독 피해,,0
242332,아데나서치,7,0,,아데나서치:슬로우,,1,10001,500,,,,Icon_Skill_Active_14233,,,,이동 속도 {1%}% 감소,,0
14234,코인 오브 마프르(실버),7,0,,코인 오브 마프르(실버) : 실명,,1,7001,,,,,Icon_Skill_Active_14234,,,,실명 상태,,0
142343,코인 오브 마프르(실버),7,0,,코인 오브 마프르(실버) : 비쥬얼용,,1,7001,,,,,,,,,,,0
142341,코인 오브 마프르 공통 스턴,7,4,,행동 불능,,1,2501,,1,,,,,,,,,0
142351,코인 오브 마프르(브론즈),6,0,,코인 오브 마프르(브론즈) : 중독,,1,5001,500,,,,Icon_Skill_Active_14234,,,,지속 피해 {[Use34Param]1%}%,,0
142352,코인 오브 마프르(브론즈),7,11,,코인 오브 마프르(브론즈) : 침묵,,1,7001,,,,,Icon_Skill_Active_14234,,,,침묵 상태,,0
142353,코인 오브 마프르(실버),7,0,,코인 오브 마프르(브론즈) : 비쥬얼용,,1,7001,,,,,,,,,,,0
142365,코인 오브 마프르(골드),7,0,,코인 오브 마프르(골드) : 비쥬얼용,,1,7001,,,,,,,,,,,0
14241,버스트 샷,7,0,,도트,,1,4000,800,,,,Icon_Skill_Active_14241,,,,불씨가 몸에 붙어 지속적인 피해를 받습니다.,,0
14242,어보이드 스텝,7,0,,이동속도 감소,,1,4000,,,,,Icon_Skill_Active_14242,,,,이동속도 {1%}% 감소,,0
142421,어보이드 스텝,7,0,,사거리 증가:ConditionFire,,1,5000,,,,,,,,,,,0
142422,어보이드 스텝,7,0,,사거리 증가,,1,5000,,,,,Icon_Skill_Active_14242,,,,사거리 {1%}미터 증가,,0
14251,어스 스파이크,7,2,,넉다운,,1,3000,,,,,Icon_Skill_Active_14251,,,,,,0
142531,인파이터,7,0,,인파이터:파티일반공격증폭,,1,30001,,,,,Icon_Skill_Active_14253,,,,"기본공격 피해량 {1%}% 증가, 받는 피해량 {2%}% 감소",,0
142542,디스토션,7,0,,디스토션: 이속감소,,1,2001,,,,,,,,,,,0
142543,디스토션,7,0,,디스토션: 이속감소,,1,4001,,,,,,,,,,,0
142544,디스토션,7,0,,디스토션: 이속감소,,1,6001,,,,,,,,,,,0
142545,디스토션,7,0,,디스토션: 이속감소,,1,8001,,,,,Icon_Skill_Active_14254,,,,이속감소 100%,,0
1425421,디스토션,7,0,,디스토션: 피해량 대비 보호막 생성,,10,7001,,,,,,,,,,,0
1425423,디스토션,7,0,,디스토션: 보호막 생성,,10,7001,,,,,Icon_Skill_Active_14254,,,,보호막 생성,,0
14261,디바인 프로텍트,7,0,,방어 증가,,1,10000,,,,,Icon_Skill_Active_14261,,,,파티원들의 방어력 {1} 증가,,0
14262,디바인 크랩,7,4,,스턴,1002,1,2500,,1,,,Icon_Skill_Active_14262,,,,,,0
142631,슈퍼바이탈리티,7,0,,슈퍼바이탈:파티최대HP증가,,1,40001,,,,,Icon_Skill_Active_14263,,,,최대 HP의 {2%}% + {1} 최대 HP증가,,0
14264,힐링 토템,7,0,,힐링 토템: 방어력 증가,,1,1001,,,,,Icon_Skill_Active_14264,,,,방어력 {1} 증가,,0
20211,디펜스 오라,4,18,,방어력 증가,,1,0,,,,,Icon_Skill_Passive_20211,,,,파티원들의 방어력 {1} 증가,,0
20221,어택 오라,4,18,,공격력 증가,,1,0,,,,,Icon_Skill_Passive_20221,,,,파티원들의 공격력 {1} 증가,,0
20231,퀵 스텝,4,18,,이속 증가,,1,0,,,,,Icon_Skill_Passive_20231,,,,파티원들의 이동속도 {1%}% 증가,,0
20241,가이던스,4,18,,명중 증가,,1,0,,,,,Icon_Skill_Passive_20241,,,,파티원들의 명중 {1} 증가,,0
20251,데스 위스퍼,4,18,,크리티컬 피해량 증가,,1,0,,,,,Icon_Skill_Passive_20251,,,,파티원들의 크리티컬 대미지 {1%}% 증가,,0
20261,부스트 HP,4,18,,최대 HP 증가,,1,0,,,,,Icon_Skill_Passive_20261,,,,파티원들의 최대 HP {1} 증가,,0
21212,파이널 포트리스,7,0,,파이널 포트리스: 방어력 증가,,1,15001,,,,,Icon_Skill_Passive_21212,,,,방어력 {1} 증가,,0
21221,리벤지,7,0,,공격력 증가,,5,5002,,,,,Icon_Skill_Passive_21221,,,,중첩당 공격력 {1} 증가,,0
21223,파이널 프렌지,7,0,,"파이널 프렌지: 공속 증가, 공격력 증가",,1,10001,,,,,Icon_Skill_Passive_21223,,,,"물리 공격력 {1} 증가, 공격 속도 {2%}% 증가",,0
212232,파이널 프렌지,7,0,,파이널 프렌지: 1초 무적,,1,1001,,,,,Icon_Skill_Passive_21223,,,,1초 무적,,0
21231,스니크,7,0,,스킬 쿨타임 감소,,1,6002,,,,,Icon_Skill_Passive_21231,,,,스킬 재사용시간 {1} 감소,,0
212311,스니크,7,0,,스니크:공격력 증가,,1,3002,,,,,Icon_Skill_Passive_21231,,,,공격력 {1} 증가,,0
21232,익사이팅 어드벤쳐,7,0,,"익사이팅 어드벤쳐: 이속, 공속, 크리티컬 증가",,1,5001,,,,,Icon_Skill_Passive_212331,,,,"이동속도 {1%}% 증가, 공격속도{2%}% 증가, 크리티컬 {3} 증가",,0
21241,인핸스드 슬로우: 이동 속도 감소,7,0,,슬로우,,1,3002,,,,,Icon_Skill_Passive_21241,,,,이동속도 {1%}% 감소,,0
21242,인핸스드 슬로우: 출혈 피해,5,0,,슬로우,,1,3002,1000,,,,Icon_Skill_Passive_21241,,,,피해량:공격력의 {[Use34Param]1-1%}%,,0
21251,블레이즈,7,0,,도트,,1,10000,1000,,,,Icon_Skill_Passive_21251,,,,,,0
212512,블레이즈,7,0,,공격력 증가,,1,6002,,,,,Icon_Skill_Passive_21251,,,,공격력 {1} 증가,,0
21252,매직 스택,7,0,,매직 스택: 스택 쌓기,,4,40001,,,,,Icon_Skill_Passive_21252,,,,4스택 달성 시 일반공격 스킬 대미지 증가,,0
212521,매직 스택,7,0,,매직 스택: 4스택 시 스킬 대미지 증가 버프,,1,40001,,,,,Icon_Skill_Passive_21252,,,,일반공격 스킬 대미지 증가,,1
212611,디바인 링크,7,0,,디바인 링크 : 파티 방어력 증가,,1,0,,,,,Icon_Skill_Passive_21261,,,,"파티 인원 당 방어력 {1%}% 증가, 파티 인원 당 크리티컬 저항{2} 증가",,0
212621,마나 쉴드,7,0,,마나 쉴드,,1,0,,,,,Icon_Skill_Passive_21262,,,,"피해를 입을 시, HP 대신 MP를 소모",,0
21263,럭키 메이저 힐,7,0,,럭키 메이저 힐 : 파티 보호막 생성,3001,1,7001,,,,,Icon_Skill_Passive_21263,,,,보호막 {1} 생성,,0
22211,엘더링 닷지,7,0,,회피가 증가,,1,5002,,,,,Icon_Skill_Passive_22211,,,,회피율 {1%}% 증가,,0
