Id,Name,MoveType,MoveSpeed,Distance,Angle,Count,HitCount,ExplosionCollisionUnitType,ExplosionCollisionUnitParam,Resource,SocketName,DirAlign
80001,공성 방어탑 발사체,1,1600,800,0,1,1,0,"""radius"": 75",BP_PROJ_FlameBurst,Socket_Fire_2,1
1508031,윈드 스트라이크,2,1500,800,0,1,-1,0,"""radius"": 300",BP_PROJ_WindStrike,Socket_Fire_2,1
1512031,에너지 볼트,0,2000,800,0,1,-1,0,"""radius"": 250",BP_PROJ_EnergyBolt,Socket_Fire_2,1
1513021,에너지 볼트,0,2000,800,0,1,-1,0,"""radius"": 250",BP_PROJ_EnergyBolt,Socket_Fire_2,1
1513071,더블 샷,2,2500,900,0,1,-1,0,"""radius"": 250",BP_PROJ_DoubleShot,WeaponL,1
1514051,파워 샷,2,2500,900,0,1,1,0,"""radius"": 250",BP_PROJ_PowerShot,WeaponL,1
1518031,아이스 볼트,2,2000,900,0,1,-1,0,"""radius"": 230",BP_PROJ_IceSpear,Socket_Fire_2,1
1519021,에너지 볼트,0,2000,800,0,1,-1,0,"""radius"": 250",BP_PROJ_EnergyBolt,Socket_Fire_2,1
720441,그라비티 포이즌,2,700,2000,0,1,1,0,"""radius"": 600",BP_PROJ_CrumaCoreBoss_Skill04,Socket_Center,1
601261,페어리,2,1000,1000,0,1,10,0,"""radius"": 100",BP_PROJ_Windstrike,Socket_Center,1
601391,DragonPythonSkill_01,2,800,1000,0,1,1,0,"""radius"": 100",BP_PROJ_DragonPython,Socket_Center,1
601441,DarkAssociation_M_HighSkill_01,2,1500,1000,0,1,10,0,"""radius"": 50",BP_PROJ_DarkAssociationMHighSkill_01,Socket_Center,1
731271,방출 - 1단계,2,600,3000,360,9,100,0,"""radius"": 30",BP_PROJ_Zaken,Socket_Center,1
731281,방출 - 2단계,2,600,3000,360,9,100,0,"""radius"": 30",BP_PROJ_Zaken,Socket_Center,1
731291,방출 - 3단계,2,600,3000,360,9,100,0,"""radius"": 30",BP_PROJ_Zaken,Socket_Center,1
731301,방출 - 4단계,2,600,3000,360,9,100,0,"""radius"": 30",BP_PROJ_Zaken,Socket_Center,1
731311,방출 - 5단계,2,600,3000,360,9,100,0,"""radius"": 30",BP_PROJ_Zaken,Socket_Center,1
731371,자켄 해적단 갑판원,2,1500,800,0,1,10,0,"""radius"": 200",BP_PROJ_DoubleShot,Socket_Center,1
730311,방출 - 본체,2,600,3000,360,9,100,0,"""radius"": 30",BP_PROJ_Zaken,Socket_Center,1
50221,GiantStatuePeltast,2,2000,800,0,1,1,0,"""radius"": 210",BP_PROJ_GiantStatuePeltastAttack,Socket_Center,0
40020101,그물 던지기,2,500,900,0,1,1,0,"""radius"": 100",BP_PROJ_OlMahumAcherSkill_01,Socket_Center,0
40020108,생명 강탈,2,300,900,0,1,1,0,"""radius"": 300",BP_PROJ_NightmareEyeSkill_01,Socket_Center,0
40020130,원소의 기둥 : 불덩이,2,1000,2000,360,4,1,0,"""radius"": 200",BP_PROJ_HagiosColumnSkill_01,Socket_Center,0
40020177,해일,2,750,5000,0,1,1,2,"""left"":130, ""right"":130, ""front"":20, ""back"":20",BP_PROJ_HagiosBossSkill_05,Socket_Center,0
40020201,그물 던지기,2,500,900,0,1,1,0,"""radius"": 100",BP_PROJ_OlMahumAcherSkill_01,Socket_Center,0
40020208,생명 강탈,2,300,900,0,1,1,0,"""radius"": 300",BP_PROJ_NightmareEyeSkill_01,Socket_Center,0
40020230,원소의 기둥 : 불덩이,2,1000,2000,360,4,1,0,"""radius"": 200",BP_PROJ_HagiosColumnSkill_01,Socket_Center,0
40020277,해일,2,750,5000,0,1,1,2,"""left"":130, ""right"":130, ""front"":20, ""back"":20",BP_PROJ_HagiosBossSkill_05,Socket_Center,0
40020301,그물 던지기,2,500,900,0,1,1,0,"""radius"": 100",BP_PROJ_OlMahumAcherSkill_01,Socket_Center,0
40020308,생명 강탈,2,300,900,0,1,1,0,"""radius"": 300",BP_PROJ_NightmareEyeSkill_01,Socket_Center,0
40020330,원소의 기둥 : 불덩이,2,1000,2000,360,5,1,0,"""radius"": 200",BP_PROJ_HagiosColumnSkill_01,Socket_Center,0
40020377,해일,2,750,5000,0,1,1,2,"""left"":130, ""right"":130, ""front"":20, ""back"":20",BP_PROJ_HagiosBossSkill_05,Socket_Center,0
40020401,그물 던지기,2,500,900,0,1,1,0,"""radius"": 100",BP_PROJ_OlMahumAcherSkill_01,Socket_Center,0
40020408,생명 강탈,2,300,900,0,1,1,0,"""radius"": 300",BP_PROJ_NightmareEyeSkill_01,Socket_Center,0
40020430,원소의 기둥 : 불덩이,2,1000,2000,360,5,1,0,"""radius"": 200",BP_PROJ_HagiosColumnSkill_01,Socket_Center,0
40020477,해일,2,750,5000,0,1,1,2,"""left"":130, ""right"":130, ""front"":20, ""back"":20",BP_PROJ_HagiosBossSkill_05,Socket_Center,0
24500602,본체 공격,2,1200,2000,180,4,1,0,"""radius"": 130",BP_PROJ_IceSpear,Socket_Center,1
24500701,환영 공격,2,1200,2000,0,1,1,0,"""radius"": 130",BP_PROJ_IceSpear,Socket_Center,1
24500603,본체 공격,2,1200,2000,180,4,1,0,"""radius"": 130",BP_PROJ_BloodArrow_2,Socket_Center,1
24500702,환영 공격,2,1200,2000,0,1,1,0,"""radius"": 130",BP_PROJ_PowerShot,Socket_Center,1
24500604,본체 공격,2,1200,2000,180,4,1,0,"""radius"": 130",BP_PROJ_NightmareEyeSkill_02,Socket_Center,1
24500703,환영 공격,2,1200,2000,0,1,1,0,"""radius"": 130",BP_PROJ_NightmareEyeSkill_02,Socket_Center,1
24601603,속박 화살,2,500,900,0,1,1,0,"""radius"": 100",BP_PROJ_OlMahumAcherSkill_01,Socket_Center,0
24601605,빛의 파도,2,1500,3000,120,6,10,0,"""radius"": 50",BP_PROJ_DoubleShot,Socket_Center,1
245011031,반틸로아니 스킬 2,2,400,2000,60,6,10,0,"""radius"": 150",BP_PROJ_MoltenBowl02,Socket_Center,1
245012031,투사체 발사 루카루,2,1000,2000,0,1,1,0,"""radius"": 50",BP_PROJ_TranscferQuest,Socket_Center,1
245015051,아이스 스피어,2,1200,2000,0,1,1,0,"""radius"": 130",BP_PROJ_IceSpear,Socket_Center,1
24801003,넘쳐나는 파도,2,600,2000,0,1,10,0,"""radius"": 75",BP_PROJ_CronosBossSkill_02,Socket_Center,1
24801005,흐르는 지식,2,600,2000,120,4,10,0,"""radius"": 50",BP_PROJ_CronosBossSkill_03,Socket_Center,1
45000405,이계의 사하라 - 진흙뱉기,2,300,900,360,4,20,2,"""left"":100, ""right"":100, ""front"":200, ""back"":200",BP_PROJ_Sahara_03,Socket_Bottom,1
45000409,광포한 악트 - 메이스 던지기,2,300,3000,0,1,20,0,"""radius"": 300",BP_PROJ_GrandisSkill_02,Socket_Center,1
45000412,구세주의 눈 (웨이브) - 주시의 눈,2,600,3000,0,1,20,0,"""radius"": 30",BP_PROJ_Zaken,Socket_Center,1
45000415,이계의 사하라 (웨이브) - 진흙뱉기,2,300,900,360,4,20,2,"""left"":100, ""right"":100, ""front"":200, ""back"":200",BP_PROJ_Sahara_03,Socket_Bottom,1
45000424,루시퍼 - 염력,2,600,3000,360,12,100,0,"""radius"": 30",BP_PROJ_LuciferBossSkill_05,Socket_Center,1
