Id,GroupId,Name,UnusedGrade,ItemGrade,ItemMaxGrade
817,80,AUCTION_SUB_GROUP_GIRANDOMINION,0,1,4
818,80,AUCTION_SUB_GROUP_DEATHCOASTALFOG,0,1,4
819,80,AUCTION_SUB_GROUP_DEVILISLE,0,1,5
820,80,AUCTION_SUB_GROUP_ROADSIDEOFDEATH,0,1,4
821,80,AUCTION_SUB_GROUP_NORTHWIND,0,1,2
822,80,AUCTION_SUB_GROUP_LANDOFSTOPPEDTIME,0,1,2
823,80,AUCTION_SUB_GROUP_IVORYTOWER,0,1,2
824,80,AUCTION_SUB_GROUP_IVORYTOBASEMENT1,0,3,3
825,80,AUCTION_SUB_GROUP_IVORYTOBASEMENT2,0,3,3
826,80,AUCTION_SUB_GROUP_IVORYTOBASEMENT3,0,3,3
827,80,AUCTION_SUB_GROUP_SECRETFOREST1,0,3,3
828,80,AUCTION_SUB_GROUP_SECRETFOREST2,0,3,3
829,80,AUCTION_SUB_GROUP_IVORYTOBASEMENT_CONFLICT,0,3,3
830,80,AUCTION_SUB_GROUP_SECRETFOREST_CONFLICT,0,3,3
831,80,AUCTION_SUB_GROUP_DRAGONVALLEY,0,1,2
832,80,AUCTION_SUB_GROUP_PROMISEDLAND,0,1,2
833,80,AUCTION_SUB_GROUP_OLDDRAGONMOUNTAIN,0,1,2
834,80,AUCTION_SUB_GROUP_CAVEOFDRAGON1,0,3,3
835,80,AUCTION_SUB_GROUP_CAVEOFDRAGON2,0,3,3
836,80,AUCTION_SUB_GROUP_CAVEOFDRAGON_CONFLICT,0,3,3
901,90,AUCTION_SUB_GROUP_HPPOTION,1,18,18
902,90,AUCTION_SUB_GROUP_MPPOTION,1,18,18
903,90,AUCTION_SUB_GROUP_HIGHHPPOTION,1,18,18
904,90,AUCTION_SUB_GROUP_HIGHMPPOTION,1,18,18
905,90,AUCTION_SUB_GROUP_RUNEPIECE,1,18,18
906,90,AUCTION_SUB_GROUP_SOULSHOT,1,18,18
907,90,AUCTION_SUB_GROUP_TELEPORTSCROLL,1,18,18
908,90,AUCTION_SUB_GROUP_QUESTSCROLL,0,3,4
909,90,AUCTION_SUB_GROUP_SUMMONGEM,1,18,18
910,90,AUCTION_SUB_GROUP_BUFFSCROLL,1,18,18
1001,100,AUCTION_SUB_GROUP_SKILLBOOK,1,18,18
1002,100,AUCTION_SUB_GROUP_SKILLBOOKPAGE,1,18,18
1101,110,AUCTION_SUB_GROUP_LECIPE,0,7,7
1102,110,AUCTION_SUB_GROUP_EquipmemtMaterial,1,18,18
1103,110,AUCTION_SUB_GROUP_UpgradeCrystal,1,18,18
1201,120,AUCTION_SUB_GROUP_PetEquipment,0,4,6
1202,121,AUCTION_SUB_GROUP_PetFood,1,18,18
1203,121,AUCTION_SUB_GROUP_PetSummonStone,1,18,18
1204,121,AUCTION_SUB_GROUP_PetEquipmentEnchantMaterial,1,4,4
1205,121,AUCTION_SUB_GROUP_PetEtc,0,4,6
1301,130,ACCTION_SUB_GROUP_TALISMAN,1,1,18
1311,131,ACCTION_SUB_GROUP_TALISMAN,1,1,18
9901,140,AUCTION_SUB_GROUP_ETC,1,18,18
9911,141,AUCTION_SUB_GROUP_ETC,1,18,18
8501,85,AUCTION_SUB_GROUP_MONSTERCARD,1,1,18
