Id,SkillId,CollisionUnitGroup,CollisionUnitType,CollisionUnitParam,TargetType,EffectType,EffectTypeName,EffectParam,EffectGrowth1,EffectGrowth2,PointCount
33031,3303,,6,,12,16,,"0,0,6300,6300",1,1,
33041,3304,,6,,12,16,,"0,0,6300,6300",1,1,
33051,3305,,6,,12,16,,"0,0,7700,7700",1,1,
33061,3306,,6,,12,16,,"0,0,3850,3850",1,1,
33071,3307,,6,,12,16,,"0,0,5950,5950",1,1,
33081,3308,,6,,12,16,,"0,0,13650,13650",1,1,
33082,3308,,6,,12,8,공통 넉다운,1002,,,
34011,3401,,6,,12,16,,"0,0,7346,7346",1,1,
34021,3402,,6,,12,16,,"0,0,6643,6643",1,1,
34031,3403,,6,,12,16,,"0,0,6297,6297",1,1,
34041,3404,,6,,12,16,,"0,0,7346,7346",1,1,
34051,3405,,6,,12,16,,"0,0,8742,8742",1,1,
34061,3406,,6,,12,16,,"0,0,7346,7346",1,1,
34071,3407,,6,,12,16,,"0,0,7346,7346",1,1,
34081,3408,,6,,12,16,,"0,0,9445,9445",1,1,
34082,3408,,6,,12,8,공통 넉다운,1002,,,
41011,4101,,6,,12,16,,"0,0,5145,5145",1,1,
41021,4102,,6,,12,16,,"0,0,6248,6248",1,1,
41031,4103,,6,,12,16,,"0,0,6248,6248",1,1,
41041,4104,,6,,12,16,,"0,0,6248,6248",1,1,
41051,4105,,6,,12,16,,"0,0,6248,6248",1,1,
41061,4106,,6,,12,16,,"0,0,8453,8453",1,1,
41062,4106,,6,,12,8,공통 넉다운,1002,,,
42011,4201,,6,,12,16,,"0,0,5145,5145",1,1,
42021,4202,,6,,12,16,,"0,0,4778,4778",1,1,
42031,4203,,6,,12,16,,"0,0,5880,5880",1,1,
42041,4204,,6,,12,16,,"0,0,7350,7350",1,1,
42051,4205,,6,,12,16,,"0,0,5513,5513",1,1,
42061,4206,,6,,12,16,,"0,0,11025,11025",1,1,
42062,4206,,6,,12,8,공통 넉다운,1002,,,
43011,4301,,6,,12,16,,"0,0,4043,4043",1,1,
43021,4302,,6,,12,16,,"0,0,4410,4410",1,1,
43031,4303,,6,,12,16,,"0,0,5513,5513",1,1,
43041,4304,,6,,12,16,,"0,0,8820,8820",1,1,
43051,4305,,6,,12,16,,"0,0,6615,6615",1,1,
43061,4306,,6,,12,16,,"0,0,9923,9923",1,1,
43062,4306,,6,,12,8,공통 넉다운,1002,,,
44011,4401,,6,,12,16,,"0,0,6615,6615",1,1,
44021,4402,,6,,12,16,,"0,0,4410,4410",1,1,
44031,4403,,6,,12,16,,"0,0,7718,7718",1,1,
44041,4404,,6,,12,16,,"0,0,6615,6615",1,1,
44051,4405,,6,,12,16,,"0,0,8820,8820",1,1,
44061,4406,,6,,12,16,,"0,0,9923,9923",1,1,
44062,4406,,6,,12,8,공통 넉다운,1002,,,
51011,5101,,6,,12,16,,"0,0,8313,8313",1,1,
51021,5102,,6,,12,16,,"0,0,7315,7315",1,1,
51031,5103,,6,,12,16,,"0,0,8645,8645",1,1,
51041,5104,,6,,12,16,,"0,0,12968,12968",1,1,
51042,5104,,6,,12,8,공통 넉다운,1002,,,
52011,5201,,6,,12,16,,"0,0,5985,5985",1,1,
52021,5202,,6,,12,16,,"0,0,8645,8645",1,1,
52031,5203,,6,,12,16,,"0,0,9310,9310",1,1,
52041,5204,,6,,12,16,,"0,0,11970,11970",1,1,
52042,5204,,6,,12,8,공통 넉다운,1002,,,
53011,5301,,6,,12,16,,"0,0,6650,6650",1,1,
53021,5302,,6,,12,16,,"0,0,7315,7315",1,1,
53031,5303,,6,,12,16,,"0,0,9310,9310",1,1,
53041,5304,,6,,12,16,,"0,0,12635,12635",1,1,
53042,5304,,6,,12,8,공통 넉다운,1002,,,
54011,5401,,6,,12,16,,"0,0,9643,9643",1,1,
54021,5402,,6,,12,16,,"0,0,7980,7980",1,1,
54031,5403,,6,,12,16,,"0,0,8645,8645",1,1,
54041,5404,,6,,12,16,,"0,0,12635,12635",1,1,
54042,5404,,6,,12,8,공통 넉다운,1002,,,
61011,6101,,6,,12,17,,"0,0,7245,7245",1,1,
61021,6102,,6,,12,17,,"0,0,7245,7245",1,1,
61031,6103,,6,,12,17,,"0,0,7245,7245",1,1,
61041,6104,,6,,12,17,,"0,0,12915,12915",1,1,
61042,6104,,6,,12,8,공통 넉다운,1002,,,
62011,6201,,6,,12,17,,"0,0,5670,5670",1,1,
62021,6202,,6,,12,17,,"0,0,5670,5670",1,1,
62031,6203,,6,,12,17,,"0,0,8505,8505",1,1,
62041,6204,,6,,12,17,,"0,0,14175,14175",1,1,
62042,6204,,6,,12,8,공통 넉다운,1002,,,
63011,6301,,6,,12,17,,"0,0,5670,5670",1,1,
63021,6302,,6,,12,17,,"0,0,8190,8190",1,1,
63031,6303,,6,,12,17,,"0,0,10080,10080",1,1,
63041,6304,,6,,12,17,,"0,0,9765,9765",1,1,
63042,6304,,6,,12,8,공통 넉다운,1002,,,
64011,6401,,6,,12,17,,"0,0,7560,7560",1,1,
64021,6402,,6,,12,17,,"0,0,7245,7245",1,1,
64031,6403,,6,,12,17,,"0,0,8190,8190",1,1,
64041,6404,,6,,12,17,,"0,0,13860,13860",1,1,
64042,6404,,6,,12,8,공통 넉다운,1002,,,
111111,11111,,6,,12,16,,"51,71700,13000,22900",2,1,
111121,11112,,6,,12,16,,"58,82731,15000,24900",2,1,
111123,11112,,6,,12,8,공통 넉다운,1001,,,
111131,11113,,6,,12,16,,"64,87363,16100,26000",2,1,
111133,11113,,6,,12,8,러시 임팩트:넉다운,10111,,,
111211,11121,,6,,12,16,,"56,79667,13000,22900",2,1,
111221,11122,,6,,12,16,,"68,96519,15000,24900",2,1,
111223,11122,,6,,12,8,공통 넉다운,1001,,,
111231,11123,,6,,12,16,어설트 슬래쉬,"75,101924,16100,26000",2,1,
111234,11123,,6,,12,8,공통 기절,1011,,,
111241,11124,,6,,12,16,파워 샷,"54,77215,12000,21900",2,1,
111242,11124,,6,,12,8,공통 넉다운,1001,,,
111251,11125,,6,,12,69,더블 샷,11125,,,
111311,11131,,6,,12,69,에너지 볼트,11131,,,
111321,11132,,6,,12,69,플레임 스트라이크,11132,,,
111331,11133,,6,,12,69,윈드 스트라이크,11133,,,
121111,12111,,6,,12,16,,"47,66522,13000,22900",2,1,
121121,12112,,6,,12,16,,"54,76756,15000,24900",2,1,
121123,12112,,6,,12,8,공통 넉다운,1001,,,
121131,12113,,6,,12,16,,"60,81054,16100,26000",2,1,
121133,12113,,6,,12,8,러시 임팩트:넉다운,10111,,,
121211,12121,,6,,12,16,,"50,74448,13000,22900",2,1,
121221,12122,,6,,12,16,,"61,90728,15000,24900",2,1,
121223,12122,,6,,12,8,공통 넉다운,1001,,,
121231,12123,,6,,12,16,어설트 슬래쉬,"67,95809,16100,26000",2,1,
121234,12123,,6,,12,8,공통 기절,1011,,,
121241,12124,,6,,12,16,파워 샷,"49,72582,12000,21900",2,1,
121242,12124,,6,,12,8,공통 넉다운,1001,,,
121251,12125,,6,,12,69,더블 샷,12125,,,
121311,12131,,6,,12,69,에너지 볼트,12131,,,
121321,12132,,6,,12,69,플레임 스트라이크,12132,,,
121331,12133,,6,,12,69,윈드 스트라이크,12133,,,
131111,13111,,6,,12,16,,"55,74548,13000,22900",2,1,
131121,13112,,6,,12,16,,"64,86017,15000,24900",2,1,
131123,13112,,6,,12,8,공통 넉다운,1001,,,
131131,13113,,6,,12,16,,"70,90834,16100,26000",2,1,
131133,13113,,6,,12,8,러시 임팩트:넉다운,10111,,,
131211,13121,,6,,12,16,,"59,81356,13000,22900",2,1,
131221,13122,,6,,12,16,,"71,98100,15000,24900",2,1,
131223,13122,,6,,12,8,공통 넉다운,1001,,,
131231,13123,,6,,12,16,어설트 슬래쉬,"78,103594,16100,26000",2,1,
131234,13123,,6,,12,8,공통 기절,1011,,,
131241,13124,,6,,12,16,파워 샷,"57,78480,12000,21900",2,1,
131242,13124,,6,,12,8,공통 넉다운,1001,,,
131251,13125,,6,,12,69,더블 샷,13125,,,
131311,13131,,6,,12,69,에너지 볼트,13131,,,
131321,13132,,6,,12,69,플레임 스트라이크,13132,,,
131331,13133,,6,,12,69,윈드 스트라이크,13133,,,
141111,14111,,6,,12,16,,"49,69907,13000,22900",2,1,
141121,14112,,6,,12,16,,"57,80662,15000,24900",2,1,
141123,14112,,6,,12,8,공통 넉다운,1001,,,
141131,14113,,6,,12,16,,"63,85180,16100,26000",2,1,
141133,14113,,6,,12,8,러시 임팩트:넉다운,10111,,,
141211,14121,,6,,12,16,,"53,71521,13000,22900",2,1,
141221,14122,,6,,12,16,,"64,86890,15000,24900",2,1,
141223,14122,,6,,12,8,공통 넉다운,1001,,,
141231,14123,,6,,12,16,어설트 슬래쉬,"71,91757,16100,26000",2,1,
141234,14123,,6,,12,8,공통 기절,1011,,,
141241,14124,,6,,12,16,파워 샷,"51,69512,12000,21900",2,1,
141242,14124,,6,,12,8,공통 넉다운,1001,,,
141251,14125,,6,,12,69,더블 샷,14125,,,
141311,14131,,6,,12,69,에너지 볼트,14131,,,
141321,14132,,6,,12,69,플레임 스트라이크,14132,,,
141331,14133,,6,,12,69,윈드 스트라이크,14133,,,
112111,11211,,1,"""radius"":350,""angle"":90",1,16,슬램,"2923,166099,19600,29500",1.6,1,
112113,11211,,1,"""radius"":350,""angle"":90",5,8,슬램:어그로,11211,,,
112114,11211,,1,"""radius"":350,""angle"":90",1,8,공통 넉다운,1001,,,
112121,11212,,6,,12,16,밴전스,"2657,150998,18000,27900",1.6,1,
112124,11212,,6,,12,8,벤젼스:목표 고정,112124,,,
112125,11212,,6,,12,8,벤젼스:목표 고정,112126,,,
112126,11212,,6,,12,8,벤젼스:공격력 감소,112125,,,
112131,11213,,6,,12,8,"마제스티:어그로증폭,물방/마방증폭,회피감소",11213,,,
112141,11214,112141,0,"""radius"":700",5,45,쉴드 오브 페이스,"58334,389544",1,1,
112142,11214,112141,0,"""radius"":700",5,8,쉴드 오브 페이스,112141,,,
112143,11214,112141,0,"""radius"":700",5,252,쉴드 오브 페이스,112142,,,
112144,11214,112141,0,"""radius"":700",10,45,쉴드 오브 페이스,"24305,202887",1,1,
112145,11214,112141,0,"""radius"":700",10,8,쉴드 오브 페이스,11214,,,
112211,11221,,6,,12,16,,"1691,96100,17800,27700",1.6,1,
112214,11221,,6,,12,8,공통 넉다운,1001,,,
112221,11222,,6,,12,47,썬더 스톰,11222,,,
112231,11223,,6,,12,8,메이저러티 스위프:동시타격증폭,112231,,,
112241,11224,,6,,12,8,"버서커: 공격 가능 대상 증가, 공격력 증가",112241,,,
112311,11231,,6,,12,16,공격력,"2871,163132,22000,31900",1.6,1,
112313,11231,,6,,12,8,샌드 클라우드:블라인드(명중감소),11231,,,
112321,11232,,6,,12,16,공격력,"2610,148302,20000,29900",1.6,1,
112323,11232,,6,,12,8,스턴,11232,,,
112331,11233,,6,,12,8,헤이스트:공속증폭,112331,,,
112332,11233,,6,,12,8,헤이스트:회피증폭,112332,,,
112341,11234,,6,,12,8,"하이드: 이속증가,회피율증가,크리증가,일반 공격 대미지 증가",112341,,,
112342,11234,,6,,12,201,하이드: 어그로감소,"9999,9999",,,
112411,11241,,6,,12,16,공격력,"1670,94914,14600,24500",1.6,1,
112412,11241,,6,,12,8,넉다운,1001,,,
112421,11242,,6,,12,47,애로우 레인,11242,,,
112431,11243,,6,,12,8,"스나이프:사거리증가,공격,명중증가,이동불가",11243,,,
112441,11244,,6,,12,8,"호크아이:치명증가, 방어감소",11244,,,
112451,11245,,6,,12,69,라이트닝 애로우,11245,,,
112511,11251,,6,,12,47,볼케이노,11251,,,
112521,11252,,6,,12,69,몰튼 보울,11252,,,
112531,11253,,6,,12,8,부스트마나:최대MP증폭,112531,,,
112541,11254,11541,0,"""radius"":300",1,47,프로미넌스,112541,,,
112542,11254,11541,0,"""radius"":300",1,47,프로미넌스,112542,,,
112543,11254,11541,0,"""radius"":300",5,8,프로미넌스,112542,,,
112544,11254,11541,0,"""radius"":300",1,47,프로미넌스,112544,,,
112545,11254,11541,0,"""radius"":300",1,47,프로미넌스,112545,,,
112611,11261,,6,,12,47,디바인 퍼니쉬먼트,11261,,,
112621,11262,,6,,12,45,메이저힐,"931,51948,1800,3000",1.6,1,
112622,11262,,6,,12,148,메이저힐,"291,16233,750,1250",1.6,1,
112631,11263,112631,0,"""radius"":800",5,242,힐,"1500,3000,0,0,1",1,1,
112632,11263,112631,0,"""radius"":800",4,185,밸런스 라이프,"0,0,300,1000",1,1,
112633,11263,112631,0,"""radius"":800",4,8,밸런스 라이프 : 버프,11263,1,1,
112634,11263,112631,0,"""radius"":800",4,8,밸런스 라이프 : 버프,112634,1,1,
122111,12211,,1,"""radius"":400,""angle"":90",1,16,공격력,"1997,113451,17600,27500",1.6,1,
122113,12211,,1,"""radius"":400,""angle"":90",5,8,트라이뷰널:목표 고정,12211,,,
122114,12211,,1,"""radius"":400,""angle"":90",1,8,공통 넉다운,1001,,,
122121,12212,,6,,12,47,에바스 그레이스,12212,,,
122131,12213,,6,,12,8,이지스스탠스:일시 무적,122131,,,
122132,12213,,6,,12,8,이지스스탠스:이속 증가,122132,,,
122141,12214,,6,,12,151,에바스 윌 :디버프해제,,,,
122142,12214,,6,,12,47,"에바스 윌 : 회피율, 대미지감소, 상태이상 저항",12214,,,
122211,12221,,0,"""radius"":700",3,69,소닉 블래스터,12221,,,
122221,12222,,0,"""radius"":700",3,69,소닉 스톰,12222,,,
122231,12223,,6,,12,8,리듬오브컴뱃:공방증가,122231,,,
122241,12224,,6,,12,8,송of헌터:파티치명확률,122241,,,
122251,12225,122251,0,"""radius"":800",10,8,송 오브 챔피언: 아군 쿨타임 감소,122251,,,
122252,12225,122251,0,"""radius"":800",5,8,송 오브 챔피언: 자신의 쿨타임 감소,122252,,,
122311,12231,,6,,12,16,,"4071,231351,25000,34900",1.6,1,
122313,12231,,6,,12,8,이동속도 감소,12231,,,
122321,12232,,6,,12,16,,"4442,252383,29000,38900",1.6,1,
122323,12232,,6,,12,8,블레이드 허리케인:공속감소,12232,,,
122331,12233,,6,,12,8,"플레인워크:공속,이속증폭",12233,,,
122341,12234,,6,,12,187,콤보 스플린터,"125340,726721,38500,65500,0,0,150,100",1,1,
122342,12234,,6,,12,8,콤보 스플린터,12234,,,
122412,12241,,6,,12,16,리썰 샷,"3062,110820,18800,28700",1.6,1,
122413,12241,,6,,12,8,스턴,1011,,,
122421,12242,,6,,12,69,더블 와이드 샷,12242,,,
122431,12243,,6,,12,8,마인드 아이즈:크리확률대폭,122431,,,
122441,12244,,6,,12,8,더블퀵스텝:이속대폭,122441,,,
122451,12245,,6,,12,8,스피릿 오브 문라이트,12245,,,
52051,5205,,6,,12,69,스피릿 오브 문라이트-공격,1205,,,
122511,12251,,0,"""radius"":700",3,69,아이스 스피어,12251,,,
122521,12252,,6,,12,17,,"475,26964,3200,6200",1.6,1,
122523,12252,,6,,12,8,블리자드 스톰:슬로우,12252,,,
122524,12252,,6,,12,8,블리자드 스톰:스턴,122521,,,
122531,12253,,6,,12,47,스타폴,"12253,600,250,0",,,
122611,12261,,6,,12,17,홀리파이어,"588,33368,3300,8200",1.6,1,
122613,12261,,6,,12,47,홀리파이어,12261,,,
122615,12261,,6,,12,8,홀리 파이어:받는피해 증가,122615,,,
122621,12262,,6,,12,8,레스토레이션,11262,,,
122631,12263,,6,,12,8,마인드리프레쉬:파티쿨탐감,122631,,,
122632,12263,,6,,12,151,마인드리프레쉬:디버프해제,,,,
122641,12264,,6,,12,8,"방어파티버프물리,마법",12264,,,
122651,12265,122651,0,"""radius"":700",4,47,리저렉션 : 부활(이펙트용),12265,,,
122652,12265,122651,0,"""radius"":700",10,178,리저렉션 : 부활,"3000,10000,122651",1,1,
122653,12265,122651,0,"""radius"":700",5,8,시전자 무적,122653,,,
122654,12265,122651,0,"""radius"":700",4,8,보호막 생성,122654,,,
122655,12265,122651,0,"""radius"":700",5,137,시전자 일반스킬 쿨타임 리셋,"0,1",,,
132111,13211,,6,,12,16,,"1858,105591,17600,27500",1.6,1,
132112,13211,,6,,12,8,"라이프 리치:방어력감소,어그로",13211,,,
132113,13211,,6,,12,8,라이프 리치:이동속도 감소,132113,,,
132114,13211,,6,,12,53,흡혈율,"3000,0,3500",,,
132121,13212,,6,,12,16,공격력,"4224,179985,20500,30400",1.6,1,
132123,13212,,6,,12,78,끌어오기,,,,
132125,13212,,6,,12,8,체인 히드라:스턴,132125,,,
132126,13212,,6,,12,8,체인 히드라:도발 면역,132126,,,
132131,13213,,6,,12,8,"얼티미트디펜스:물방마방어대폭증,이동불가",13213,,,
132132,132132,,6,,12,8,"얼티미트디펜스:물방마방어대폭증,이동불가",132132,,,
132141,13214,132141,0,"""radius"":800",4,8,"스피릿 오브 실렌:공증,공속증,HP흡수율증",132141,,,
132142,13214,132141,0,"""radius"":800",10,8,스피릿 오브 실렌:파티원 위협도 저하,132142,,,
132143,13214,132141,0,"""radius"":800",10,201,스피릿 오브 실렌:파티원 위협도 저하,"9999,9999",1,1,
132144,13214,132141,0,"""radius"":800",4,8,스피릿 오브 실렌:파티원 위협도 저하,132144,1,1,
132145,13214,132141,0,"""radius"":800",4,8,스피릿 오브 실렌:파티원 위협도 저하,132145,1,1,
132211,13221,,6,,12,16,,"2571,146077,22000,31900",1.6,1,
132213,13221,,6,,12,8,공통 넉다운,1001,,,
132221,13222,132221,0,"""radius"":400",1,16,,"440,24900,3750,7500",1.6,1,
132222,13222,132221,0,"""radius"":400",1,8,허리케인 스톰:슬로우,13222,,,
132223,13222,132221,0,"""radius"":400",5,8,허리케인 스톰:이동속도 증가,132221,,,
132231,13223,,6,,12,8,댄스of워려:파티물공증,132231,,,
132241,13224,,6,,12,8,댄스of퓨리:파티공속증,132241,,,
132251,13225,,6,,12,8,이뮨 디레인지먼트,13225,,,
132311,13231,,6,,12,16,스팅,"2273,129200,22000,31900",1.6,1,
132312,13231,,6,,12,18,스팅 : 방어 무시 피해,"70,1500",1.3,1,
132313,13231,,6,,12,8,스팅 : 출혈 추가 피해,13231,,,
132321,13232,,6,,12,16,,"2584,146819,20000,29900",1.6,1,
132322,13232,,6,,12,8,블러드 레인:출혈,13231,,,
132323,13232,,6,,12,8,블러드 레인:기절,132322,,,
132331,13233,,6,,12,8,비셔스스탠스:크리댐증폭,132331,,,
132332,13233,,6,,12,8,비셔스스탠스:크리100%,132332,,,
132341,13234,,6,,12,183,섀도우 카피,"3000,3000,1,400002,10,13234",1,1,
1323411,132341,,6,,12,16,기본,"0,0,10000,10000",1,1,
132411,13241,,0,"""radius"":50",3,69,데스 스팅어,13241,,,
132421,13242,,6,,12,16,스턴샷,"2107,66092,18000,27900",1.6,1,
132422,13242,,6,,12,8,스턴,13242,,,
132431,13243,,6,,12,8,"래피드파이어:공속증가,사정거리감소",13243,,,
132441,13244,,6,,12,8,"페이탈카운터:공격대폭증,회피감소",13244,,,
132451,13245,132451,5,"""left"":100, ""right"":100, ""front"":800, ""back"":0",1,69,파이널 데스 스팅어,132451,1,1,
132452,13245,132452,5,"""left"":100, ""right"":100, ""front"":800, ""back"":0, ""angle"" : 65",1,69,파이널 데스 스팅어,132452,1,1,
132453,13245,132453,5,"""left"":100, ""right"":100, ""front"":800, ""back"":0, ""angle"" : -65",1,69,파이널 데스 스팅어,132453,1,1,
132454,13245,132451,0,"""radius"":50",5,8,파이널 데스 스팅어: 공격력 증가 버프,132454,1,1,
132511,13251,,6,,12,17,다크 브레스,"790,44862,6050,12100",1.6,1,
132521,13252,,6,,12,17,커럽션,"604,32626,4400,12300",1.6,1,
132522,13252,,6,,12,47,커럽션,13252,,,
132531,13253,,6,,12,8,마공증폭:마공대폭증,132531,,,
132541,13254,,6,,12,183,서먼 오브 나이트,"1000,1000,0,400001,20,132541",1,1,
1325411,132541,,6,,12,16,기본,"0,0,15000,15000",1,1,
1325412,132541,,6,,12,8,기본,1325412,1,1,
1325421,132542,,6,,12,8,스턴,1011,,,
1325422,132542,,6,,12,8,스턴,132542,,,
1325423,132542,,6,,12,16,기본,"18700,78500,35000,50000",,,
132611,13261,132611,1,"""radius"":550,""angle"":90",1,17,,"1959,166842,18000,27900",1.6,1,
132613,13261,132611,1,"""radius"":550,""angle"":90",1,54,힐,"3500,1500,5000",,,
132614,13261,132611,0,"""radius"":900",4,45,힐,"313,35593,920,1600",1,1,
132621,13262,,6,,12,17,,"1993,113249,20000,29900",1.6,1,
132623,13262,,6,,12,8,블러디 레이지:슬로우,132623,,,
132624,13262,,6,,12,152,블러디 레이지:버프 삭제,,,,
132625,13262,,6,,12,8,블러디 레이지:침묵,132625,,,
132631,13263,132631,0,"""radius"":700",5,8,엠파워:마공대폭증,132631,,,
132633,13263,132631,0,"""radius"":700",4,8,엠파워:파티피해량증가,132633,,,
132641,13264,,6,,12,45,메이저힐,"130,9045",1,1,
132651,13265,,6,,12,8,실리엔 프로텍션,132651,1,1,
132661,13266,,6,,12,8,실리엔 프로텍션:무적,132661,,,
132662,13266,,6,,12,242,힐,"3000,10000,0,0,1",1,1,
132663,13266,,6,,12,8,실리엔 프로텍션:배리어,132663,1,1,
142111,14211,,6,,12,16,,"1880,96367,16000,25900",1.6,1,
142113,14211,,6,,12,8,쓰러스트:방어력감소,14211,,,
142121,14212,,6,,12,16,,"2015,109021,18000,27900",1.6,1,
142122,14212,,6,,12,8,어스퀘이크:넉다운,14212,,,
142123,14212,,6,,12,8,어스퀘이크:넉다운,14213,,,
142141,14214,,6,,12,8,파이널 시크릿,14214,1,1,
142211,14221,,6,,12,16,파워스매쉬,"2014,114452,18000,27900",1.6,1,
142221,14222,,6,,12,16,리프어택:넉다운,"1832,109828,16000,25900",1.6,1,
142223,14222,,6,,12,8,리프어택:넉다운,14222,,,
142231,14223,,6,,12,8,"앵그리드워프:공격증,방어감소",14223,,,
142241,14224,,6,,12,47,인피니티 퀘이크,14224,,,
142311,14231,,6,,12,16,,"2871,163132,22000,31900",1.6,1,
142313,14231,,6,,12,8,블레이드러시:치명저항감소,14231,,,
142314,14231,,6,,12,8,블레이드러시:넉다운,1001,,,
