Id,DisplayOrder,ItemName,MarketId,HighendEffect,TableInfoldList,ConditionFortressGrade,ItemType,ItemId,UnBindType,CostType,CostPropertyType,Cost,ProductValue,RequiredGuildLevel,GradeLimit,PurchaseLimit,PurchaseLimitValue,PurchaseLimitAddValueType,PurchaseLimitAddValueStartLevel,PurchaseLimitAddValue,RewardGuildCoin,IconTexture,Desc1,Desc2,EventItemPeriodId
12,1300,글루디오 - 희귀 몬스터 소환석,0,1,,3,100,1000101,0,3,0,50,1,1,0,2,1,1,0,,0,Icon_SummonGem_Gludio_01_Shop,사용시 글루디오 영지의 희귀 몬스터가 위치한 비밀 공간으로 입장하는 이동마법석을 소환합니다.,"A등급 이상 요새 
점령 시 구매 가능",
13,1400,디온 - 희귀 몬스터 소환석,0,1,,4,100,1000102,0,3,0,50,1,1,0,2,1,1,0,,0,Icon_SummonGem_Dion_01_Shop,사용시 디온 영지의 희귀 몬스터가 위치한 비밀 공간으로 입장하는 이동마법석을 소환합니다.,"S등급 이상 요새 
점령 시 구매 가능",
14,1500,기란 - 희귀 몬스터 소환석,0,1,,5,100,1000103,0,3,0,50,1,1,0,2,1,1,0,,0,Icon_SummonGem_Giran_01_Shop,사용시 기란 영지의 희귀 몬스터가 위치한 비밀 공간으로 입장하는 이동마법석을 소환합니다.,"R등급 이상 요새 
점령 시 구매 가능",
15,1600,신비로운 유물,0,1,"1,2,3",8,100,500121,0,3,0,200,1,1,0,3,3,1,0,,0,Icon_Relic_Field_1_3_Shop,"신비한 힘이 느껴지는 유물입니다.
아지트의 유물 관리인에게 감정을 맡기면 보상을 획득할 수 있습니다.",성 점령 시 구매 가능,
16,1700,악마의 스크롤: 기요틴,0,1,"1,2,3",8,100,490071,0,3,0,200,1,1,0,3,2,1,0,,0,Icon_WorldBoss_Scroll_Guillotine_Shop,"결전의 징표를 획득할 수 있는 서브 퀘스트 스크롤입니다.
결전의 징표를 받으면 기요틴 성채에 입장할 수 있습니다.",성 점령 시 구매 가능,
18,1550,오렌 - 희귀 몬스터 소환석,0,1,,6,100,1000104,0,3,0,50,1,1,0,2,1,1,0,,0,Icon_SummonGem_Oren_01_Shop,사용시 오렌 영지의 희귀 몬스터가 위치한 비밀 공간으로 입장하는 이동마법석을 소환합니다.,"SR등급 이상 요새 
점령 시 구매 가능",
19,1150,갈기늑대 소환석 조각 5개,0,1,,5,100,480108,0,3,0,100,5,1,0,2,2,0,4,2,0,Icon_Asset_PetStoneManedWolf_Piece01_Shop,"갈기늑대 소환석의 조합 재료입니다.
SR등급 요새 점령 시
구매 횟수가 2회 증가 합니다.","R등급 이상 요새 
점령 시 구매 가능",
21,1560,스트라이더 소환석 조각 5개,0,1,1,8,100,480107,0,3,0,100,5,1,0,2,2,1,0,,0,Icon_Asset_PetStoneStrider_Piece01_Shop,스트라이더 소환석의 조합 재료입니다.,글루디오 성 점령 시 구매 가능,
22,1570,스트라이더 소환석 조각 5개,0,1,2,8,100,480107,0,3,0,100,5,1,0,2,4,1,0,,0,Icon_Asset_PetStoneStrider_Piece01_Shop,스트라이더 소환석의 조합 재료입니다.,디온 성 점령 시 구매 가능,
23,1580,스트라이더 소환석 조각 5개,0,1,3,8,100,480107,0,3,0,100,5,1,0,2,6,1,0,,0,Icon_Asset_PetStoneStrider_Piece01_Shop,스트라이더 소환석의 조합 재료입니다.,기란 성 점령 시 구매 가능,
24,900,아지트 물약 재료 상자,0,0,,8,100,919139,0,3,0,16,1,20,0,2,3,1,0,,0,Icon_Box_AgitPotionMaterial_01_Shop,사용 시 랜덤하게 아지트 물약 재료를 획득 합니다.,혈맹 레벨 20 달성 시 구매 가능,
25,1000,마법 시약,0,0,,8,100,500071,0,3,0,16,1,20,0,2,3,1,0,,0,Icon_Potion_Player_00_Shop,아지트 물약 재료입니다.,혈맹 레벨 20 달성 시 구매 가능,
26,1100,마프르의 가호 조각 10개,0,1,,8,100,490066,0,3,0,35,10,20,0,2,1,1,0,,0,Icon_Asset_Protector_Piece01_Shop,마프르의 가호의 조합 재료입니다.,혈맹 레벨 20 달성 시 구매 가능,
61,500,혈맹 강화주문서 상자 1개,1,0,,8,100,900010,0,22,0,70,1,1,0,2,10,1,0,,2,Icon_Gacha_EnchantScroll,랜덤하게 강화주문서를 획득합니다.,,
62,600,텔레포트 주문서 5개,1,0,,8,100,449999,0,22,0,100,5,1,0,2,5,1,0,,2,UI_Icon_TeleportScroll,텔레포트에 사용됩니다.,,
63,700,HP포션 200개,1,0,,8,100,440001,0,22,0,100,200,1,0,2,5,1,0,,1,Icon_Shop_HpPotion_01,사용 시 HP를 소량 회복합니다.,,
64,800,MP포션 200개,1,0,,8,100,440011,0,22,0,100,200,1,0,2,5,1,0,,1,Icon_Shop_MpPotion_01,사용 시 MP를 소량 회복합니다.,,
65,900,정령탄 5000개,1,0,,8,100,400001,0,22,0,200,5000,1,0,2,5,1,0,,1,Icon_SoulShot_01,무기에 신비한 힘을 부여하여 데미지가 증가합니다.,,
66,100,혈맹 지원 상자 1개,1,0,,8,100,911065,0,22,0,120,1,1,0,2,5,1,0,,3,Icon_Shop_Gacha_Material_01,랜덤하게 고급 재료를 획득합니다.,,
67,200,혈맹 지원 상자 10+1개,1,0,,8,100,911065,0,22,0,1200,11,1,0,2,5,1,0,,30,Icon_Shop_Gacha_Material_01,랜덤하게 고급 재료를 획득합니다.,,
68,300,혈맹 장비 육성 상자 1개,1,0,,8,100,912100,0,22,0,120,1,1,0,2,5,1,0,,3,Icon_Shop_Gacha_Equipment_01,"사용 시 A-SR등급의 장비, R-SR등급의 연마제를 랜덤하게 획득합니다.",,
69,400,혈맹 장비 육성 상자 10+1개,1,0,,8,100,912100,0,22,0,1200,11,1,0,2,5,1,0,,30,Icon_Shop_Gacha_Equipment_01,"사용 시 A-SR등급의 장비, R-SR등급의 연마제를 랜덤하게 획득합니다.",,
1010,100,월드 보스 소환석 - 기요틴,3,,"2,3",8,100,1000301,1,12,1,100000,1,1,4,3,1,1,0,,0,Icon_SummonGem_Raid_01_Shop,사용시 월드보스: 기요틴이 위치한 비밀 공간으로 입장하는 이동마법석을 소환합니다.,"디온, 기란성
점령 시 구매 가능",
1020,200,마프르의 가호,3,,"1,2,3",8,100,400000,1,12,1,14000,1,1,4,3,5,1,0,,0,Icon_Shop_Protector_01,장비를 강화할 때 사용하며 실패시 수치가 하락하지 않습니다.,성 점령 시 구매 가능,
1030,300,연금술의 서 - 빛나는 무기 승급석,3,,"1,2,3",8,100,510004,1,12,1,2500,1,1,4,2,1,1,0,,0,Icon_Combine_Asset_Upgrade_04_Shop,빛나는 무기 승급석 조합식이 적혀있는 문서. 무기 승급석 10개와 조합하여 빛나는 무기 승급석을 획득할 수 있습니다.,성 점령 시 구매 가능,
1050,500,연금술의 서 - 빛나는 방어구 승급석,3,,"2,3",8,100,510005,1,12,1,2500,1,1,4,2,1,1,0,,0,Icon_Combine_Asset_Upgrade_05_Shop,빛나는 방어구 승급석 조합식이 적혀있는 문서. 방어구 승급석 10개와 조합하여 빛나는 방어구 승급석을 획득할 수 있습니다.,"디온, 기란성
점령 시 구매 가능",
1110,1100,화염의 결정 30개,3,,"1,2,3",8,100,500051,1,12,1,5000,30,1,4,2,1,1,0,,0,Icon_Potion_Player_01_Shop,혈맹 아지트에서 물약을 제조할 때 사용하는 재료입니다.,성 점령 시 구매 가능,
1120,1200,냉기의 결정 30개,3,,"1,2,3",8,100,500052,1,12,1,5000,30,1,4,2,1,1,0,,0,Icon_Potion_Player_02_Shop,혈맹 아지트에서 물약을 제조할 때 사용하는 재료입니다.,성 점령 시 구매 가능,
1130,1300,생명의 결정 30개,3,,"1,2,3",8,100,500053,1,12,1,5000,30,1,4,2,1,1,0,,0,Icon_Potion_Player_03_Shop,혈맹 아지트에서 물약을 제조할 때 사용하는 재료입니다.,성 점령 시 구매 가능,
1140,1400,마법의 시약 30개,3,,"1,2,3",8,100,500071,1,12,1,5000,30,1,4,2,1,1,0,,0,Icon_Potion_Player_00_Shop,혈맹 아지트에서 물약을 제조할 때 사용하는 재료입니다.,성 점령 시 구매 가능,
1160,1600,척살의 징표 3개,3,,"1,2,3",8,100,510201,0,12,1,7200,3,1,4,3,5,1,0,,0,Icon_Guild_Stab_Token_01_Shop,"혈맹에서 척살령을 선포할 때 필요합니다.
구매 시, 혈맹 창고로 지급됩니다.",성 점령 시 구매 가능,
1040,400,무기 레시피 선택 상자,3,,"2,3",8,100,911052,1,12,1,45000,1,1,4,3,3,1,0,,0,Icon_SelectBox_WeaponRecipe_Shop,사용 시 목록에 포함된 전용 무기 레시피 중 1개를 선택하여 획득합니다.,"디온, 기란성
점령 시 구매 가능",
1060,600,방어구 레시피 선택 상자,3,,"1,2,3",8,100,911053,1,12,1,45000,1,1,4,3,3,1,0,,0,Icon_SelectBox_ArmorRecipe_Shop,사용 시 목록에 포함된 전용 방어구 레시피 중 1개를 선택하여 획득합니다.,성 점령 시 구매 가능,
1070,700,혁명의 금빛 실 70개,3,,3,8,100,1302006,1,12,1,10000,70,1,4,3,3,1,0,,0,UI_Icon_CapeExpMaterial_Guild_03_Shop,혁명의 망토 레벨 업에 필요한 재료 입니다.,"기란성
점령 시 구매 가능",
1080,800,초월의 돌,3,,3,8,100,490026,1,12,1,250000,1,1,4,3,1,1,0,,0,Icon_Transcendence_01,장비를 초월하는데 사용됩니다.,"기란성
점령 시 구매 가능",
1075,750,장신구 레시피 선택 상자,3,,3,8,100,911018,1,12,1,70000,1,1,4,3,3,1,0,,0,Icon_SelectBox_AccRecipe_Shop,사용 시 목록에 포함된 장신구 레시피 중 1개를 선택하여 획득합니다.,"기란성
점령 시 구매 가능",
150,90,척살의 징표 3개,4,,,5,100,510201,0,12,1,7200,3,1,4,3,4,1,0,,0,Icon_Guild_Stab_Token_01_Shop,"혈맹에서 척살령을 선포할 때 필요합니다.
구매 시, 혈맹 창고로 지급됩니다.","R등급 이상 요새 
점령 시 구매 가능",
151,100,글루디오 - 보스 소환석,4,,,3,100,1000201,1,12,1,30000,1,1,4,3,1,1,0,,0,Icon_SummonGem_Gludio_02_Shop,사용시 말하는 섬과 글루디오 영지의 보스 몬스터가 위치한 비밀 공간으로 입장하는 이동마법석을 소환합니다.,"A등급 이상 요새 
점령 시 구매 가능",
152,200,디온 - 보스 소환석,4,,,4,100,1000202,1,12,1,30000,1,1,4,3,1,1,0,,0,Icon_SummonGem_Dion_02_Shop,사용시 디온 영지의 보스 몬스터가 위치한 비밀 공간으로 입장하는 이동마법석을 소환합니다.,"S등급 이상 요새 
점령 시 구매 가능",
153,300,기란 - 보스 소환석,4,,,5,100,1000203,1,12,1,30000,1,1,4,3,1,1,0,,0,Icon_SummonGem_Giran_02_Shop,사용시 기란 영지의 보스 몬스터가 위치한 비밀 공간으로 입장하는 이동마법석을 소환합니다.,"R등급 이상 요새 
점령 시 구매 가능",
154,400,축복받은 강화주문서 상자,4,,,3,100,900011,1,12,1,45000,1,1,4,3,3,0,2,1,0,Icon_Gacha_EnchantScroll,"랜덤하게 축복받은 강화주문서를 획득합니다.
다음 등급의 요새 점령 시
구매 횟수가 + 1씩 증가합니다.","A등급 이상 요새 
점령 시 구매 가능",
156,600,S등급 특성의 돌,4,,,4,100,490027,1,12,1,15000,1,1,4,3,3,1,0,,0,Icon_Transcendence_03,사용 시 장비의 특성을 강화할 수 있는 아이템 입니다.,"S등급 이상 요새 
점령 시 구매 가능",
157,700,R등급 특성의 돌,4,,,5,100,490037,1,12,1,50000,1,1,4,3,3,1,0,,0,Icon_Transcendence_02,사용 시 장비의 특성을 강화할 수 있는 아이템 입니다.,"R등급 이상 요새 
점령 시 구매 가능",
158,800,HP 엘릭서 정수 1개,4,,,2,100,452001,1,12,1,640,1,1,4,2,5,1,0,,0,Icon_Elixir_Red,HP 엘릭서 제작을 위한 붉은색 정수입니다.,"요새 점령 시 
구매 가능",
159,900,MP 엘릭서 정수 1개,4,,,2,100,452002,1,12,1,640,1,1,4,2,5,1,0,,0,Icon_Elixir_Blue,MP 엘릭서 제작을 위한 푸른색색 정수입니다.,"요새 점령 시 
구매 가능",
160,1000,공격력 엘릭서 정수 1개,4,,,4,100,452003,1,12,1,2560,1,1,4,2,5,1,0,,0,Icon_Elixir_Purple,공격력 엘릭서 제작을 위한 보라색 정수입니다.,"S등급 이상 요새 
점령 시 구매 가능",
161,1100,방어력 엘릭서 정수 1개,4,,,3,100,452004,1,12,1,2560,1,1,4,2,5,1,0,,0,Icon_Elixir_Orange,방어력 엘릭서 제작을 위한 노란색 정수입니다.,"A등급 이상 요새 
점령 시 구매 가능",
165,1500,무기 승급석 1개,4,,,2,100,420001,1,12,1,15000,1,1,4,2,5,1,0,,0,Icon_Shop_Upgrade_01,무기를 다음 등급으로 승급할 때 사용됩니다.,"요새 점령 시 
구매 가능",
166,1600,방어구 승급석 1개,4,,,3,100,420002,1,12,1,15000,1,1,4,2,5,1,0,,0,Icon_Shop_Upgrade_02,방어구를 다음 등급으로 승급할 때 사용됩니다.,"A등급 이상 요새 
점령 시 구매 가능",
167,1700,장신구 승급석 1개,4,,,5,100,420003,1,12,1,15000,1,1,4,2,5,1,0,,0,Icon_Shop_Upgrade_03,장신구를 다음 등급으로 승급할 때 사용됩니다.,"R등급 이상 요새 
점령 시 구매 가능",
168,1800,S등급 관통 집혼석,4,,,3,100,430044,1,12,1,20000,1,1,4,2,2,1,0,,0,Icon_SoulCrystal_46_Shop,"반지에 집혼 능력을 부여할 수 있습니다.
몬스터의 혼이 깃들어 있는 크리스탈입니다.","A등급 이상 요새 
점령 시 구매 가능",
169,1900,S등급 탄력 집혼석,4,,,4,100,430054,1,12,1,20000,1,1,4,2,2,1,0,,0,Icon_SoulCrystal_52_Shop,"귀걸이에 집혼 능력을 부여할 수 있습니다.
몬스터의 혼이 깃들어 있는 크리스탈입니다.","S등급 이상 요새 
점령 시 구매 가능",
170,2000,S등급 공격력 집혼석,4,,,4,100,430004,1,12,1,4000,1,1,4,2,2,1,0,,0,Icon_SoulCrystal_4_Shop,"무기와 장갑에 집혼 능력을 부여할 수 있습니다.
물리 공격력, 마법 공격력을 증가시킵니다.
몬스터의 혼이 깃들어 있는 크리스탈입니다.","S등급 이상 요새 
점령 시 구매 가능",
171,2100,S등급 방어력 집혼석,4,,,3,100,430014,1,12,1,4000,1,1,4,2,2,1,0,,0,Icon_SoulCrystal_10_Shop,"투구와 아머에 집혼 능력을 부여할 수 있습니다.
물리 방어력, 마법 방어력을 증가시킵니다.
몬스터의 혼이 깃들어 있는 크리스탈입니다.","A등급 이상 요새 
점령 시 구매 가능",
172,2200,S등급 명중 집혼석,4,,,5,100,430024,1,12,1,4000,1,1,4,2,2,1,0,,0,Icon_SoulCrystal_22_Shop,"신발과 목걸이에 집혼 능력을 부여할 수 있습니다.
몬스터의 혼이 깃들어 있는 크리스탈입니다.","R등급 이상 요새 
점령 시 구매 가능",
173,2300,S등급 회피 집혼석,4,,,3,100,430034,1,12,1,4000,1,1,4,2,2,1,0,,0,Icon_SoulCrystal_28_Shop,"신발과 목걸이에 집혼 능력을 부여할 수 있습니다.
몬스터의 혼이 깃들어 있는 크리스탈입니다.","A등급 이상 요새 
점령 시 구매 가능",
174,2400,S등급 크리티컬 집혼석,4,,,4,100,430064,1,12,1,4000,1,1,4,2,2,1,0,,0,Icon_SoulCrystal_34_Shop,"무기와 장갑에 집혼 능력을 부여할 수 있습니다.
몬스터의 혼이 깃들어 있는 크리스탈입니다.","S등급 이상 요새 
점령 시 구매 가능",
175,2500,S등급 크리티컬 저항 집혼석,4,,,3,100,430074,1,12,1,4000,1,1,4,2,2,1,0,,0,Icon_SoulCrystal_40_Shop,"귀걸이에 집혼 능력을 부여할 수 있습니다.
몬스터의 혼이 깃들어 있는 크리스탈입니다.","A등급 이상 요새 
점령 시 구매 가능",
176,2600,S등급 HP 집혼석,4,,,3,100,430084,1,12,1,4000,1,1,4,2,2,1,0,,0,Icon_SoulCrystal_16_Shop,"투구와 아머에 집혼 능력을 부여할 수 있습니다.
몬스터의 혼이 깃들어 있는 크리스탈입니다.","A등급 이상 요새 
점령 시 구매 가능",
177,750,SR등급 특성의 돌,4,,,6,100,490038,1,12,1,180000,1,1,4,3,3,1,0,,0,Icon_Transcendence_04,사용 시 장비의 특성을 강화할 수 있는 아이템 입니다.,"SR등급 이상 요새 
점령 시 구매 가능",
178,550,축복받은 강화주문서 선택 상자,4,,,6,100,910237,1,12,1,45000,1,1,4,3,3,1,0,,0,Icon_Gacha_EnchantScroll,"축복받은 무기 강화주문서, 축복받은 방어구 강화주문서, 축복받은 장신구 강화주문서 중 1개를 선택하여 획득할 수 있습니다.","SR등급 이상 요새 
점령 시 구매 가능",
179,752,혈맹 망토 염색약 : 하급,4,,,2,100,1305001,1,12,1,5000,1,1,4,3,3,1,0,,0,UI_Icon_CapeColorChange_01_Shop,혈맹 망토의 색을 변경할 때 필요한 아이템 입니다.,"요새 점령 시 
구매 가능",
180,753,혈맹 망토 염색약 : 중급,4,,,4,100,1305002,1,12,1,10000,1,1,4,3,3,1,0,,0,UI_Icon_CapeColorChange_02_Shop,혈맹 망토의 색을 변경할 때 필요한 아이템 입니다.,"S등급 이상 요새 
점령 시 구매 가능",
181,754,혈맹 망토 염색약 : 상급,4,,,6,100,1305003,1,12,1,20000,1,1,4,3,3,1,0,,0,UI_Icon_CapeColorChange_03_Shop,혈맹 망토의 색을 변경할 때 필요한 아이템 입니다.,"SR등급 이상 요새 
점령 시 구매 가능",
182,755,혈맹 망토 문장 염색약 : 하급,4,,,2,100,1305101,1,12,1,5000,1,1,4,3,3,1,0,,0,UI_Icon_CapeEmblemColorChange_01_Shop,혈맹 망토 문장의 색을 변경할 때 필요한 아이템 입니다.,"요새 점령 시 
구매 가능",
183,756,혈맹 망토 문장 염색약 : 중급,4,,,4,100,1305102,1,12,1,10000,1,1,4,3,3,1,0,,0,UI_Icon_CapeEmblemColorChange_02_Shop,혈맹 망토 문장의 색을 변경할 때 필요한 아이템 입니다.,"S등급 이상 요새 
점령 시 구매 가능",
184,757,혈맹 망토 문장 염색약 : 상급,4,,,6,100,1305103,1,12,1,20000,1,1,4,3,3,1,0,,0,UI_Icon_CapeEmblemColorChange_03_Shop,혈맹 망토 문장의 색을 변경할 때 필요한 아이템 입니다.,"SR등급 이상 요새 
점령 시 구매 가능",
185,751,투쟁의 은빛 실 70개,4,,,6,100,1302005,1,12,1,10000,70,1,4,3,3,1,0,,0,UI_Icon_CapeExpMaterial_Guild_02_Shop,투쟁의 망토 레벨 업에 필요한 재료 입니다.,"SR등급 이상 요새 
점령 시 구매 가능",
201,100,유물 각인시간 증가 Lv1,2,,,8,8000,1001,0,9,1,840000,1,1,4,0,0,1,0,,0,Icon_Shop_HolyArtifact_01,유물 각인에 필요한 시간이 1초 추가 증가합니다.,,
202,200,유물 각인시간 증가 Lv2,2,,,8,8000,1002,0,9,1,1680000,1,1,4,0,0,1,0,,0,Icon_Shop_HolyArtifact_01,유물 각인에 필요한 시간이 2초 추가 증가합니다.,,
203,300,유물 각인시간 증가 Lv3,2,,,8,8000,1003,0,9,1,2520000,1,1,4,0,0,1,0,,0,Icon_Shop_HolyArtifact_01,유물 각인에 필요한 시간이 3초 추가 증가합니다.,,
204,400,유물 각인시간 증가 Lv4,2,,,8,8000,1004,0,9,1,3360000,1,1,4,0,0,1,0,,0,Icon_Shop_HolyArtifact_01,유물 각인에 필요한 시간이 4초 추가 증가합니다.,,
205,500,유물 각인시간 증가 Lv5,2,,,8,8000,1005,0,9,1,4200000,1,1,4,0,0,1,0,,0,Icon_Shop_HolyArtifact_01,유물 각인에 필요한 시간이 5초 추가 증가합니다.,,
206,600,방어탑 내구도 증가 Lv1,2,,,8,8000,2001,0,9,1,350000,1,1,4,0,0,1,0,,0,Icon_Shop_DefenseTower_01,                                                                                                                                                                                                                                                                 ,,
207,700,방어탑 내구도 증가 Lv2,2,,,8,8000,2002,0,9,1,700000,1,1,4,0,0,1,0,,0,Icon_Shop_DefenseTower_01,방어탑의 내구도가 20000 추가 증가합니다.,,
208,800,방어탑 내구도 증가 Lv3,2,,,8,8000,2003,0,9,1,1050000,1,1,4,0,0,1,0,,0,Icon_Shop_DefenseTower_01,방어탑의 내구도가 30000 추가 증가합니다.,,
209,900,방어탑 내구도 증가 Lv4,2,,,8,8000,2004,0,9,1,1400000,1,1,4,0,0,1,0,,0,Icon_Shop_DefenseTower_01,방어탑의 내구도가 40000 추가 증가합니다.,,
210,1000,방어탑 내구도 증가 Lv5,2,,,8,8000,2005,0,9,1,1750000,1,1,4,0,0,1,0,,0,Icon_Shop_DefenseTower_01,방어탑의 내구도가 50000 추가 증가합니다.,,
211,1100,함정 공격력 증가 Lv1,2,,,8,8000,3001,0,9,1,210000,1,1,4,0,0,1,0,,0,Icon_Shop_Trap_01,"함정의 공격력이 1% 추가 증가합니다.
함정은 적의 최대 HP에 % 피해를 입힙니다.",,
212,1200,함정 공격력 증가 Lv2,2,,,8,8000,3002,0,9,1,420000,1,1,4,0,0,1,0,,0,Icon_Shop_Trap_01,"함정의 공격력이 2% 추가 증가합니다.
함정은 적의 최대 HP에 % 피해를 입힙니다.",,
213,1300,함정 공격력 증가 Lv3,2,,,8,8000,3003,0,9,1,630000,1,1,4,0,0,1,0,,0,Icon_Shop_Trap_01,"함정의 공격력이 3% 추가 증가합니다.
함정은 적의 최대 HP에 % 피해를 입힙니다.",,
214,1400,함정 공격력 증가 Lv4,2,,,8,8000,3004,0,9,1,840000,1,1,4,0,0,1,0,,0,Icon_Shop_Trap_01,"함정의 공격력이 4% 추가 증가합니다.
함정은 적의 최대 HP에 % 피해를 입힙니다.",,
215,1500,함정 공격력 증가 Lv5,2,,,8,8000,3005,0,9,1,1050000,1,1,4,0,0,1,0,,0,Icon_Shop_Trap_01,"함정의 공격력이 5% 추가 증가합니다.
함정은 적의 최대 HP에 % 피해를 입힙니다.",,
301,100,포션 효율 증가 버프,5,,,8,8001,302001,0,22,0,400,1,1,4,2,1,1,0,,0,Icon_Shop_GuildMaster_01,"1시간 동안 혈맹에 군주 버프가 적용됩니다.
HP, MP포션 효율 20% 증가 (공성전, 요새전 제외)",,
302,200,사냥 경험치/코어획득 증가 버프,5,,,8,8001,302002,0,22,0,400,1,3,4,2,1,1,0,,0,Icon_Shop_GuildMaster_02,"1시간 동안 혈맹에 군주 버프가 적용됩니다.
몬스터 처치로 얻는 경험치, 몬스터 코어 획득 확률 20% 증가",혈맹 레벨 3 달성 시 구매 가능,
303,300,사냥 아데나/아이템획득 증가 버프,5,,,8,8001,302003,0,22,0,400,1,5,4,2,1,1,0,,0,Icon_Shop_GuildMaster_03,"1시간 동안 혈맹에 군주 버프가 적용됩니다.
몬스터 처치로 얻는 아데나, 아이템 획득 확률 20% 증가",혈맹 레벨 5 달성 시 구매 가능,
310,400,척살의 징표 1개,5,,,8,100,510201,0,22,0,150,1,5,4,0,,1,0,,0,Icon_Guild_Stab_Token_01_Shop,"혈맹에서 척살령을 선포할 때 필요합니다.
구매 시, 혈맹 창고로 지급됩니다.",혈맹 레벨 5 달성 시 구매 가능,
311,500,혈맹 이름 변경권,5,,,8,100,510111,0,22,0,2000,1,1,4,1,1,1,0,,0,UI_Icon_GuildNameChange_01_Shop,"혈맹 이름을 변경할 수 있습니다.
구매 시, 혈맹 창고로 지급됩니다.
혈맹 당 1회만 구입할 수 있습니다.",,
