Id,GroupId,RequiredId,RequiredGuildLevel,AchievementGroupType,Name,Desc,TaskType,TaskCount,PlayerRewardType1,PlayerRewardInfold1,PlayerRewardCount1,PlayerRewardType2,PlayerRewardInfold2,PlayerRewardCount2,GuildRewardType1,GuildRewardInfold1,GuildRewardCount1,GuildRewardType2,GuildRewardInfold2,GuildRewardCount2,RewardBloodCrystal,RewardAdena,RewardItemInfoId,RewardCount,RewardCountDesc,RewardIcon,AchievementIcon
17,11,16,1,7,같은 피의 전우,혈맹원에게 1800번 인사하세요.,166,1800,1,,10000,6,490022,5,21,,8000,6,1302001,25,110,10000,911191,10,,Icon_SoulShot_01,
18,11,17,1,7,같은 피의 전우,혈맹원에게 2800번 인사하세요.,166,2800,1,,12000,6,490022,5,5,,7000,6,1302001,30,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
19,11,18,1,7,같은 피의 전우,혈맹원에게 3150번 인사하세요.,166,3150,1,,15000,6,490022,5,6,900007,3,6,1302001,35,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
21,21,,1,7,부유한 혈맹,혈맹에 262500아데나를 기부하세요.,164,262500,1,,1000,6,490022,1,10,,15000,6,1302001,2,15,1000,911191,3,,Icon_SoulShot_01,
22,21,21,1,7,부유한 혈맹,혈맹에 980000아데나를 기부하세요.,164,980000,1,,2000,6,490022,1,5,,2500,6,1302001,5,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
23,21,22,1,7,부유한 혈맹,혈맹에 1925000아데나를 기부하세요.,164,1925000,1,,3000,6,490022,1,21,,7000,6,1302001,8,50,3000,911191,5,,Icon_SoulShot_01,
24,21,23,1,7,부유한 혈맹,혈맹에 3675000아데나를 기부하세요.,164,3675000,1,,4000,6,490022,3,6,900007,2,6,1302001,10,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
25,21,24,1,7,부유한 혈맹,혈맹에 5950000아데나를 기부하세요.,164,5950000,1,,6000,6,490022,3,10,,20000,6,1302001,15,75,6000,911191,7,,Icon_SoulShot_01,
26,21,25,1,7,부유한 혈맹,혈맹에 8750000아데나를 기부하세요.,164,8750000,1,,8000,6,490022,3,5,,5000,6,1302001,20,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
27,21,26,1,7,부유한 혈맹,혈맹에 13125000아데나를 기부하세요.,164,13125000,1,,10000,6,490022,5,21,,8000,6,1302001,25,110,10000,911191,10,,Icon_SoulShot_01,
28,21,27,1,7,부유한 혈맹,혈맹에 18375000아데나를 기부하세요.,164,18375000,1,,12000,6,490022,5,5,,7000,6,1302001,30,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
29,21,28,1,7,부유한 혈맹,혈맹에 24500000아데나를 기부하세요.,164,24500000,1,,15000,6,490022,5,6,900007,3,6,1302001,35,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
31,31,,1,7,우리의 피,피의 증거 2250개를 기부하세요.,165,2250,1,,1000,6,490022,1,10,,15000,6,1302001,2,15,1000,911191,3,,Icon_SoulShot_01,
32,31,31,1,7,우리의 피,피의 증거 10500개를 기부하세요.,165,10500,1,,2000,6,490022,1,5,,2500,6,1302001,5,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
33,31,32,1,7,우리의 피,피의 증거 22500개를 기부하세요.,165,22500,1,,3000,6,490022,1,21,,7000,6,1302001,8,50,3000,911191,5,,Icon_SoulShot_01,
34,31,33,1,7,우리의 피,피의 증거 45000개를 기부하세요.,165,45000,1,,4000,6,490022,3,6,900007,2,6,1302001,10,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
35,31,34,1,7,우리의 피,피의 증거 75000개를 기부하세요.,165,75000,1,,6000,6,490022,3,10,,20000,6,1302001,15,75,6000,911191,7,,Icon_SoulShot_01,
36,31,35,1,7,우리의 피,피의 증거 112500개를 기부하세요.,165,112500,1,,8000,6,490022,3,5,,5000,6,1302001,20,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
37,31,36,1,7,우리의 피,피의 증거 157500개를 기부하세요.,165,157500,1,,10000,6,490022,5,21,,8000,6,1302001,25,110,10000,911191,10,,Icon_SoulShot_01,
38,31,37,1,7,우리의 피,피의 증거 210000개를 기부하세요.,165,210000,1,,12000,6,490022,5,5,,7000,6,1302001,30,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
39,31,38,1,7,우리의 피,피의 증거 280000개를 기부하세요.,165,280000,1,,15000,6,490022,5,6,900007,3,6,1302001,35,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
41,41,,1,7,부유함의 척도,630000아데나 이상 획득하세요.,0,630000,1,,1000,6,490022,1,10,,15000,6,1302001,2,15,1000,911191,3,,Icon_SoulShot_01,
42,41,41,1,7,부유함의 척도,2450000아데나 이상 획득하세요.,0,2450000,1,,2000,6,490022,1,5,,2500,6,1302001,5,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
43,41,42,1,7,부유함의 척도,4900000아데나 이상 획득하세요.,0,4900000,1,,3000,6,490022,1,21,,7000,6,1302001,8,50,3000,911191,5,,Icon_SoulShot_01,
44,41,43,1,7,부유함의 척도,9450000아데나 이상 획득하세요.,0,9450000,1,,4000,6,490022,3,6,900007,2,6,1302001,10,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
45,41,44,1,7,부유함의 척도,16800000아데나 이상 획득하세요.,0,16800000,1,,6000,6,490022,3,10,,20000,6,1302001,15,75,6000,911191,7,,Icon_SoulShot_01,
46,41,45,1,7,부유함의 척도,26250000아데나 이상 획득하세요.,0,26250000,1,,8000,6,490022,3,5,,5000,6,1302001,20,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
47,41,46,1,7,부유함의 척도,42000000아데나 이상 획득하세요.,0,42000000,1,,10000,6,490022,5,21,,8000,6,1302001,25,110,10000,911191,10,,Icon_SoulShot_01,
48,41,47,1,7,부유함의 척도,61250000아데나 이상 획득하세요.,0,61250000,1,,12000,6,490022,5,5,,7000,6,1302001,30,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
49,41,48,1,7,부유함의 척도,72000000아데나 이상 획득하세요.,0,72000000,1,,15000,6,490022,5,6,900007,3,6,1302001,35,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
51,51,,1,7,새롭고 뜨거운 피,피의 증거를 8400개 이상 획득하세요.,50,8400,1,,1000,6,490022,1,10,,15000,6,1302001,2,15,1000,911191,3,,Icon_SoulShot_01,
52,51,51,1,7,새롭고 뜨거운 피,피의 증거를 24500개 이상 획득하세요.,50,24500,1,,2000,6,490022,1,5,,2500,6,1302001,5,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
53,51,52,1,7,새롭고 뜨거운 피,피의 증거를 42000개 이상 획득하세요.,50,42000,1,,3000,6,490022,1,21,,7000,6,1302001,8,50,3000,911191,5,,Icon_SoulShot_01,
54,51,53,1,7,새롭고 뜨거운 피,피의 증거를 73500개 이상 획득하세요.,50,73500,1,,4000,6,490022,3,6,900007,2,6,1302001,10,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
55,51,54,1,7,새롭고 뜨거운 피,피의 증거를 112000개 이상 획득하세요.,50,112000,1,,6000,6,490022,3,10,,20000,6,1302001,15,75,6000,911191,7,,Icon_SoulShot_01,
56,51,55,1,7,새롭고 뜨거운 피,피의 증거를 157500개 이상 획득하세요.,50,157500,1,,8000,6,490022,3,5,,5000,6,1302001,20,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
57,51,56,1,7,새롭고 뜨거운 피,피의 증거를 210000개 이상 획득하세요.,50,210000,1,,10000,6,490022,5,21,,8000,6,1302001,25,110,10000,911191,10,,Icon_SoulShot_01,
58,51,57,1,7,새롭고 뜨거운 피,피의 증거를 269500개 이상 획득하세요.,50,269500,1,,12000,6,490022,5,5,,7000,6,1302001,30,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
59,51,58,1,7,새롭고 뜨거운 피,피의 증거를 336000개 이상 획득하세요.,50,336000,1,,15000,6,490022,5,6,900007,3,6,1302001,35,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
61,61,,10,7,피 끓는 혈맹,30회 타 플레이어를 처치하세요.,82,30,1,,1000,6,490022,1,6,510201,1,6,1302001,2,15,1000,911191,3,,Icon_SoulShot_01,
62,61,61,10,7,피 끓는 혈맹,70회 타 플레이어를 처치하세요.,82,70,1,,2000,6,490022,1,6,510201,1,6,1302001,5,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
63,61,62,10,7,피 끓는 혈맹,100회 타 플레이어를 처치하세요.,82,100,1,,3000,6,490022,1,6,510201,1,6,1302001,8,50,3000,911191,5,,Icon_SoulShot_01,
64,61,63,10,7,피 끓는 혈맹,150회 타 플레이어를 처치하세요.,82,150,1,,4000,6,490022,3,6,510201,2,6,1302001,10,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
65,61,64,10,7,피 끓는 혈맹,400회 타 플레이어를 처치하세요.,82,400,1,,6000,6,490022,3,6,510201,2,6,1302001,15,75,6000,911191,7,,Icon_SoulShot_01,
66,61,65,10,7,피 끓는 혈맹,750회 타 플레이어를 처치하세요.,82,750,1,,8000,6,490022,3,6,510201,2,6,1302001,20,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
67,61,66,10,7,피 끓는 혈맹,1200회 타 플레이어를 처치하세요.,82,1200,1,,10000,6,490022,5,6,510201,3,6,1302001,25,110,10000,911191,10,,Icon_SoulShot_01,
68,61,67,10,7,피 끓는 혈맹,1400회 타 플레이어를 처치하세요.,82,1400,1,,12000,6,490022,5,6,510201,4,6,1302001,30,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
69,61,68,10,7,피 끓는 혈맹,2000회 타 플레이어를 처치하세요.,82,2000,1,,15000,6,490022,5,6,510201,5,6,1302001,35,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
1001,1001,,1,1,말하는 섬 동부 소탕,말하는 섬 동부 몬스터를 600마리 이상 처치하세요.,81,600,1,,1000,6,490022,1,6,911191,2,6,1302001,2,15,1000,911191,3,,Icon_SoulShot_01,
1002,1001,1001,1,1,말하는 섬 동부 소탕,말하는 섬 동부 몬스터를 2800마리 이상 처치하세요.,81,2800,1,,2000,6,490022,1,6,919220,2,6,1302001,5,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
1003,1001,1002,1,1,말하는 섬 동부 소탕,말하는 섬 동부 몬스터를 6000마리 이상 처치하세요.,81,6000,1,,3000,6,490022,1,6,911191,3,6,1302001,8,50,3000,911191,5,,Icon_SoulShot_01,
1004,1001,1003,1,1,말하는 섬 동부 소탕,말하는 섬 동부 몬스터를 12000마리 이상 처치하세요.,81,12000,1,,4000,6,490022,3,6,919220,3,6,1302001,10,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
1005,1001,1004,1,1,말하는 섬 동부 소탕,말하는 섬 동부 몬스터를 20000마리 이상 처치하세요.,81,20000,1,,6000,6,490022,3,6,911191,4,6,1302001,15,75,6000,911191,7,,Icon_SoulShot_01,
1006,1001,1005,1,1,말하는 섬 동부 소탕,말하는 섬 동부 몬스터를 31250마리 이상 처치하세요.,81,31250,1,,8000,6,490022,3,6,919220,4,6,1302001,20,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
1007,1001,1006,1,1,말하는 섬 동부 소탕,말하는 섬 동부 몬스터를 45000마리 이상 처치하세요.,81,45000,1,,10000,6,490022,5,6,911191,5,6,1302001,25,110,10000,911191,10,,Icon_SoulShot_01,
1008,1001,1007,1,1,말하는 섬 동부 소탕,말하는 섬 동부 몬스터를 61250마리 이상 처치하세요.,81,61250,1,,12000,6,490022,5,6,919220,5,6,1302001,30,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
1009,1001,1008,1,1,말하는 섬 동부 소탕,말하는 섬 동부 몬스터를 80000마리 이상 처치하세요.,81,80000,1,,15000,6,490022,5,6,911191,6,6,1302001,35,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
1011,1011,,1,1,말하는 섬 서부 소탕,말하는 섬 서부 몬스터를 600마리 이상 처치하세요.,81,600,1,,1000,6,490022,1,6,911191,2,6,1302001,2,15,1000,911191,3,,Icon_SoulShot_01,
1012,1011,1011,1,1,말하는 섬 서부 소탕,말하는 섬 서부 몬스터를 2800마리 이상 처치하세요.,81,2800,1,,2000,6,490022,1,6,919220,2,6,1302001,5,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
1013,1011,1012,1,1,말하는 섬 서부 소탕,말하는 섬 서부 몬스터를 6000마리 이상 처치하세요.,81,6000,1,,3000,6,490022,1,6,911191,3,6,1302001,8,50,3000,911191,5,,Icon_SoulShot_01,
1014,1011,1013,1,1,말하는 섬 서부 소탕,말하는 섬 서부 몬스터를 12000마리 이상 처치하세요.,81,12000,1,,4000,6,490022,3,6,919220,3,6,1302001,10,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
1015,1011,1014,1,1,말하는 섬 서부 소탕,말하는 섬 서부 몬스터를 20000마리 이상 처치하세요.,81,20000,1,,6000,6,490022,3,6,911191,4,6,1302001,15,75,6000,911191,7,,Icon_SoulShot_01,
1016,1011,1015,1,1,말하는 섬 서부 소탕,말하는 섬 서부 몬스터를 31250마리 이상 처치하세요.,81,31250,1,,8000,6,490022,3,6,919220,4,6,1302001,20,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
1017,1011,1016,1,1,말하는 섬 서부 소탕,말하는 섬 서부 몬스터를 45000마리 이상 처치하세요.,81,45000,1,,10000,6,490022,5,6,911191,5,6,1302001,25,110,10000,911191,10,,Icon_SoulShot_01,
1018,1011,1017,1,1,말하는 섬 서부 소탕,말하는 섬 서부 몬스터를 61250마리 이상 처치하세요.,81,61250,1,,12000,6,490022,5,6,919220,5,6,1302001,30,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
1019,1011,1018,1,1,말하는 섬 서부 소탕,말하는 섬 서부 몬스터를 80000마리 이상 처치하세요.,81,80000,1,,15000,6,490022,5,6,911191,6,6,1302001,35,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
1021,1021,,2,2,글루딘 가도 소탕,글루딘 가도 몬스터를 600마리 이상 처치하세요.,81,600,1,,1000,6,490022,1,6,911191,2,6,1302001,2,15,1000,911191,3,,Icon_SoulShot_01,
1022,1021,1021,2,2,글루딘 가도 소탕,글루딘 가도 몬스터를 2800마리 이상 처치하세요.,81,2800,1,,2000,6,490022,1,6,919220,2,6,1302001,5,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
1023,1021,1022,2,2,글루딘 가도 소탕,글루딘 가도 몬스터를 6000마리 이상 처치하세요.,81,6000,1,,3000,6,490022,1,6,911191,3,6,1302001,8,50,3000,911191,5,,Icon_SoulShot_01,
1024,1021,1023,2,2,글루딘 가도 소탕,글루딘 가도 몬스터를 12000마리 이상 처치하세요.,81,12000,1,,4000,6,490022,3,6,919220,3,6,1302001,10,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
1025,1021,1024,2,2,글루딘 가도 소탕,글루딘 가도 몬스터를 20000마리 이상 처치하세요.,81,20000,1,,6000,6,490022,3,6,911191,4,6,1302001,15,75,6000,911191,7,,Icon_SoulShot_01,
1026,1021,1025,2,2,글루딘 가도 소탕,글루딘 가도 몬스터를 31250마리 이상 처치하세요.,81,31250,1,,8000,6,490022,3,6,919220,4,6,1302001,20,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
1027,1021,1026,2,2,글루딘 가도 소탕,글루딘 가도 몬스터를 45000마리 이상 처치하세요.,81,45000,1,,10000,6,490022,5,6,911191,5,6,1302001,25,110,10000,911191,10,,Icon_SoulShot_01,
1028,1021,1027,2,2,글루딘 가도 소탕,글루딘 가도 몬스터를 61250마리 이상 처치하세요.,81,61250,1,,12000,6,490022,5,6,919220,5,6,1302001,30,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
1029,1021,1028,2,2,글루딘 가도 소탕,글루딘 가도 몬스터를 80000마리 이상 처치하세요.,81,80000,1,,15000,6,490022,5,6,911191,6,6,1302001,35,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
1031,1031,,2,2,글루디오 평원 소탕,글루디오 평원 몬스터를 600마리 이상 처치하세요.,81,600,1,,1000,6,490022,1,6,911191,2,6,1302001,2,15,1000,911191,3,,Icon_SoulShot_01,
1032,1031,1031,2,2,글루디오 평원 소탕,글루디오 평원 몬스터를 2800마리 이상 처치하세요.,81,2800,1,,2000,6,490022,1,6,919220,2,6,1302001,5,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
1033,1031,1032,2,2,글루디오 평원 소탕,글루디오 평원 몬스터를 6000마리 이상 처치하세요.,81,6000,1,,3000,6,490022,1,6,911191,3,6,1302001,8,50,3000,911191,5,,Icon_SoulShot_01,
1034,1031,1033,2,2,글루디오 평원 소탕,글루디오 평원 몬스터를 12000마리 이상 처치하세요.,81,12000,1,,4000,6,490022,3,6,919220,3,6,1302001,10,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
1035,1031,1034,2,2,글루디오 평원 소탕,글루디오 평원 몬스터를 20000마리 이상 처치하세요.,81,20000,1,,6000,6,490022,3,6,911191,4,6,1302001,15,75,6000,911191,7,,Icon_SoulShot_01,
1036,1031,1035,2,2,글루디오 평원 소탕,글루디오 평원 몬스터를 31250마리 이상 처치하세요.,81,31250,1,,8000,6,490022,3,6,919220,4,6,1302001,20,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
1037,1031,1036,2,2,글루디오 평원 소탕,글루디오 평원 몬스터를 45000마리 이상 처치하세요.,81,45000,1,,10000,6,490022,5,6,911191,5,6,1302001,25,110,10000,911191,10,,Icon_SoulShot_01,
1038,1031,1037,2,2,글루디오 평원 소탕,글루디오 평원 몬스터를 61250마리 이상 처치하세요.,81,61250,1,,12000,6,490022,5,6,919220,5,6,1302001,30,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
1039,1031,1038,2,2,글루디오 평원 소탕,글루디오 평원 몬스터를 80000마리 이상 처치하세요.,81,80000,1,,15000,6,490022,5,6,911191,6,6,1302001,35,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
1041,1041,,3,2,윈다우드 장원 소탕,윈다우드 장원 몬스터를 600마리 이상 처치하세요.,81,600,1,,1000,6,490022,1,6,911191,2,6,1302001,2,15,1000,911191,3,,Icon_SoulShot_01,
1042,1041,1041,3,2,윈다우드 장원 소탕,윈다우드 장원 몬스터를 2800마리 이상 처치하세요.,81,2800,1,,2000,6,490022,1,6,919220,2,6,1302001,5,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
1043,1041,1042,3,2,윈다우드 장원 소탕,윈다우드 장원 몬스터를 6000마리 이상 처치하세요.,81,6000,1,,3000,6,490022,1,6,911191,3,6,1302001,8,50,3000,911191,5,,Icon_SoulShot_01,
1044,1041,1043,3,2,윈다우드 장원 소탕,윈다우드 장원 몬스터를 12000마리 이상 처치하세요.,81,12000,1,,4000,6,490022,3,6,919220,3,6,1302001,10,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
1045,1041,1044,3,2,윈다우드 장원 소탕,윈다우드 장원 몬스터를 20000마리 이상 처치하세요.,81,20000,1,,6000,6,490022,3,6,911191,4,6,1302001,15,75,6000,911191,7,,Icon_SoulShot_01,
1046,1041,1045,3,2,윈다우드 장원 소탕,윈다우드 장원 몬스터를 31250마리 이상 처치하세요.,81,31250,1,,8000,6,490022,3,6,919220,4,6,1302001,20,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
1047,1041,1046,3,2,윈다우드 장원 소탕,윈다우드 장원 몬스터를 45000마리 이상 처치하세요.,81,45000,1,,10000,6,490022,5,6,911191,5,6,1302001,25,110,10000,911191,10,,Icon_SoulShot_01,
1048,1041,1047,3,2,윈다우드 장원 소탕,윈다우드 장원 몬스터를 61250마리 이상 처치하세요.,81,61250,1,,12000,6,490022,5,6,919220,5,6,1302001,30,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
1049,1041,1048,3,2,윈다우드 장원 소탕,윈다우드 장원 몬스터를 80000마리 이상 처치하세요.,81,80000,1,,15000,6,490022,5,6,911191,6,6,1302001,35,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
1051,1051,,4,2,황무지 소탕,황무지 몬스터를 600마리 이상 처치하세요.,81,600,1,,1000,6,490022,1,6,911191,2,6,1302001,2,15,1000,911191,3,,Icon_SoulShot_01,
1052,1051,1051,4,2,황무지 소탕,황무지 몬스터를 2800마리 이상 처치하세요.,81,2800,1,,2000,6,490022,1,6,919220,2,6,1302001,5,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
1053,1051,1052,4,2,황무지 소탕,황무지 몬스터를 6000마리 이상 처치하세요.,81,6000,1,,3000,6,490022,1,6,911191,3,6,1302001,8,50,3000,911191,5,,Icon_SoulShot_01,
1054,1051,1053,4,2,황무지 소탕,황무지 몬스터를 12000마리 이상 처치하세요.,81,12000,1,,4000,6,490022,3,6,919220,3,6,1302001,10,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
1055,1051,1054,4,2,황무지 소탕,황무지 몬스터를 20000마리 이상 처치하세요.,81,20000,1,,6000,6,490022,3,6,911191,4,6,1302001,15,75,6000,911191,7,,Icon_SoulShot_01,
1056,1051,1055,4,2,황무지 소탕,황무지 몬스터를 31250마리 이상 처치하세요.,81,31250,1,,8000,6,490022,3,6,919220,4,6,1302001,20,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
1057,1051,1056,4,2,황무지 소탕,황무지 몬스터를 45000마리 이상 처치하세요.,81,45000,1,,10000,6,490022,5,6,911191,5,6,1302001,25,110,10000,911191,10,,Icon_SoulShot_01,
1058,1051,1057,4,2,황무지 소탕,황무지 몬스터를 61250마리 이상 처치하세요.,81,61250,1,,12000,6,490022,5,6,919220,5,6,1302001,30,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
1059,1051,1058,4,2,황무지 소탕,황무지 몬스터를 80000마리 이상 처치하세요.,81,80000,1,,15000,6,490022,5,6,911191,6,6,1302001,35,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
1061,1061,,5,3,디온 목초지 소탕,디온 목초지 몬스터를 600마리 이상 처치하세요.,81,600,1,,1000,6,490022,1,6,900018,2,6,1302001,2,15,1000,911191,3,,Icon_SoulShot_01,
1062,1061,1061,5,3,디온 목초지 소탕,디온 목초지 몬스터를 2800마리 이상 처치하세요.,81,2800,1,,2000,6,490022,1,6,911191,3,6,1302001,5,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
1063,1061,1062,5,3,디온 목초지 소탕,디온 목초지 몬스터를 6000마리 이상 처치하세요.,81,6000,1,,3000,6,490022,1,6,919220,3,6,1302001,8,50,3000,911191,5,,Icon_SoulShot_01,
1064,1061,1063,5,3,디온 목초지 소탕,디온 목초지 몬스터를 12000마리 이상 처치하세요.,81,12000,1,,4000,6,490022,3,6,900018,3,6,1302001,10,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
1065,1061,1064,5,3,디온 목초지 소탕,디온 목초지 몬스터를 20000마리 이상 처치하세요.,81,20000,1,,6000,6,490022,3,6,911191,5,6,1302001,15,75,6000,911191,7,,Icon_SoulShot_01,
1066,1061,1065,5,3,디온 목초지 소탕,디온 목초지 몬스터를 31250마리 이상 처치하세요.,81,31250,1,,8000,6,490022,3,6,919220,5,6,1302001,20,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
1067,1061,1066,5,3,디온 목초지 소탕,디온 목초지 몬스터를 45000마리 이상 처치하세요.,81,45000,1,,10000,6,490022,5,6,900018,3,6,1302001,25,110,10000,911191,10,,Icon_SoulShot_01,
1068,1061,1067,5,3,디온 목초지 소탕,디온 목초지 몬스터를 61250마리 이상 처치하세요.,81,61250,1,,12000,6,490022,5,6,911191,7,6,1302001,30,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
1069,1061,1068,5,3,디온 목초지 소탕,디온 목초지 몬스터를 80000마리 이상 처치하세요.,81,80000,1,,15000,6,490022,5,6,919220,7,6,1302001,35,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
