Id,GroupId,RequiredId,Name,Desc,TaskType,TaskCount,TaskContentType,NpcAutoMoveID,RewardType,RewardItemInfoId,RewardCount,DelayTime,DialogNpcPortrait,DialogNpcName,Dialog
1134,4,1133,4. 만인의 인정,결투장 1회 참여,141,1,1,,1,,10000,0,Aimel,아이멜,"어때? C급 아이템들로 레벨업 한 게 많이 도움되지?<p>자! 장비를 레벨업 했으면! 실력을 발휘해 봐야지?<p>몬스터? 하하!
몬스터랑 싸우는 건 이미 많이봤고 이번에는 대인전 실력을 보여줘!<p>은빛용병단이나 되서 결투장에서 이리저리 치인다는 소리 들으면 우리 체면이 안서. 최소한의 실력은 있어야 하자나?<p>흐음. 어디보자~ 그래~ 1회 참여!
결투장에서 1회 참여를 달성하고 와. 그 정도는 아주 쉽겠지?<p>엄살 부리지 마~
난 입단할 때, 100회 정도 참여하고 들어왔다고!
자자! 어서가봐~ 화이팅!"
1135,4,1134,5. 자격 증명,10000 아데나 획득,0,10000,149,,6,460008,3,0,Aimel,아이멜,"오~ 벌써? 결투장 1회 참여를 하고 온거야? <p>그럼 바로 다음시험으로 넘어가 볼까?<p>다음 시험은 1만 아데나를 구해오는 것이야.<p>일종의 사냥실력과 재정관리 능력을 시험하는 것이지!
재정을 관리하지 못하면, 중요한 순간에 돈이 없어서 죽게 될 수도 있다고~<p>자~자~ 그럼 어서 1만 아데나를 구해와봐!"
1136,4,1135,6. 한계 돌파,장비 강화 1회 성공,55,1,4,,1,,10000,1,Aimel,아이멜,"그럼 다음 시험으로 넘어가 볼까?<p>다음 시험은 너의 장비를 강화해 오는 거야.<p>자고로 용병에게 장비란 생명과도 같지.
전장에서 살아남으려면 장비강화를 꾸준히 하도록 해!<p>그럼 어서! 장비 강화를 1회 성공해봐!"
1137,4,1136,7. 인정,인골수집자 키리오스 1회 처치,83,1,149,10001,6,460008,3,0,Aimel,아이멜,히야~ 벌써 최종시험이야? 축하해! 역시 상부에서 눈여겨 보는 인재는 다르긴 다른가봐?<p>이번에는 너의 실력이 뛰어나서 키리오스 토벌에 널 참가 시키기로 했어! 키리오스는 인간들을 학살하고 다닌 무시무시한 악마야!<p>너무 위험해서 용병단 내에서도 특출난 사람들에게만 주는 임무인데. 어쩐 일인지 상부에서는 이번 일을 네게 맡기라고 하더군!<p>이런 경우는 처음이야! 그만큼 네 실력을 인정한다는 거겠지!<p>마지막 시험은 이걸로 대체한다고 했으니 꼭 처치하길 바래! 힘들겠지만 행운을 빌어!<p>참! 생각보다 힘든 상대일테니 이왕이면 동료들을 모아서 함께 가는 것이 좋을거야!
1211,32,,1. 인내의 증명,몬스터 50마리 처치,80,50,149,,6,460008,2,0,,,
1212,32,1211,2. 하루의 정리,쉬움 난이도의 요일던전 돌파,95,1,7,,1,,10000,0,Aimel,아이멜,"와~ 벌써 몬스터 50마리를 처치한 거야? 정말 대단해!!<p>다음 시험은 쉬움 난이도의 요일던전을 돌파하는 거야!
성역에 있는 보스들은 매우 강력하기로 유명하지.<p>진정한 전사만이 그들을 쓰러트릴 수 있을 거야!
자! 어서가서 너의 실력을 증명해봐!"
1213,32,1212,3. 준비된 자세,C급 아이템 5개 습득,51,5,149,,6,460008,2,1,Aimel,아이멜,이야~ 이렇게 짧은 시간 내에 성역의 보스를 처치한 건 네가 처음이야. 정말 대단한데?<p>다음 시험은.. 흐음. 시험이라고 할 것까진 없지만.. C급 아이템을 모아오는 것이야.<p>전투를 치르다 보면 장비 레벨업이 필요할 거야! 그때! 필요한 게 C급 아이템들이지. 이것들을 모아서 장비 강화에 이용하면! 큰 도움이 된다고! 그럼 어서 C급 아이템들을 모아와 봐!
1214,32,1213,4. 만인의 인정,결투장 1회 참여,141,1,1,,1,,10000,0,Aimel,아이멜,"어때? C급 아이템들로 레벨업 한 게 많이 도움되지?<p>자! 장비를 레벨업 했으면! 실력을 발휘해 봐야지?<p>몬스터? 하하!
몬스터랑 싸우는 건 이미 많이봤고 이번에는 대인전 실력을 보여줘!<p>은빛용병단이나 되서 결투장에서 이리저리 치인다는 소리 들으면 우리 체면이 안서. 최소한의 실력은 있어야 하자나?<p>흐음. 어디보자~ 그래~ 1회 참여!
결투장에서 1회 참여를 달성하고 와. 그 정도는 아주 쉽겠지?<p>엄살 부리지 마~
난 입단할 때, 100회 정도 참여하고 들어왔다고!
자자! 어서가봐~ 화이팅!"
1215,32,1214,5. 자격 증명,10000 아데나 획득,0,10000,149,,6,460008,3,0,Aimel,아이멜,"오~ 벌써? 결투장 1회 참여를 하고 온거야? <p>그럼 바로 다음시험으로 넘어가 볼까?<p>다음 시험은 1만 아데나를 구해오는 것이야.<p>일종의 사냥실력과 재정관리 능력을 시험하는 것이지!
재정을 관리하지 못하면, 중요한 순간에 돈이 없어서 죽게 될 수도 있다고~<p>자~자~ 그럼 어서 1만 아데나를 구해와봐!"
1216,32,1215,6. 한계 돌파,장비 강화 1회 성공,55,1,4,,1,,10000,1,Aimel,아이멜,"그럼 다음 시험으로 넘어가 볼까?<p>다음 시험은 너의 장비를 강화해 오는 거야.<p>자고로 용병에게 장비란 생명과도 같지.
전장에서 살아남으려면 장비강화를 꾸준히 하도록 해!<p>그럼 어서! 장비 강화를 1회 성공해봐!"
1217,32,1216,7. 인정,인골수집자 키리오스 1회 처치,83,1,149,10001,6,460008,3,0,Aimel,아이멜,히야~ 벌써 최종시험이야? 축하해! 역시 상부에서 눈여겨 보는 인재는 다르긴 다른가봐?<p>이번에는 너의 실력이 뛰어나서 키리오스 토벌에 널 참가 시키기로 했어! 키리오스는 인간들을 학살하고 다닌 무시무시한 악마야!<p>너무 위험해서 용병단 내에서도 특출난 사람들에게만 주는 임무인데. 어쩐 일인지 상부에서는 이번 일을 네게 맡기라고 하더군!<p>이런 경우는 처음이야! 그만큼 네 실력을 인정한다는 거겠지!<p>마지막 시험은 이걸로 대체한다고 했으니 꼭 처치하길 바래! 힘들겠지만 행운을 빌어!<p>참! 생각보다 힘든 상대일테니 이왕이면 동료들을 모아서 함께 가는 것이 좋을거야!
1221,33,,1. 인내의 증명,몬스터 50마리 처치,80,50,149,,6,460008,2,0,,,
1222,33,1221,2. 하루의 정리,쉬움 난이도의 요일던전 돌파,95,1,7,,1,,10000,0,Aimel,아이멜,"와~ 벌써 몬스터 50마리를 처치한 거야? 정말 대단해!!<p>다음 시험은 쉬움 난이도의 요일던전을 돌파하는 거야!
성역에 있는 보스들은 매우 강력하기로 유명하지.<p>진정한 전사만이 그들을 쓰러트릴 수 있을 거야!
자! 어서가서 너의 실력을 증명해봐!"
1223,33,1222,3. 준비된 자세,C급 아이템 5개 습득,51,5,149,,6,460008,2,1,Aimel,아이멜,이야~ 이렇게 짧은 시간 내에 성역의 보스를 처치한 건 네가 처음이야. 정말 대단한데?<p>다음 시험은.. 흐음. 시험이라고 할 것까진 없지만.. C급 아이템을 모아오는 것이야.<p>전투를 치르다 보면 장비 레벨업이 필요할 거야! 그때! 필요한 게 C급 아이템들이지. 이것들을 모아서 장비 강화에 이용하면! 큰 도움이 된다고! 그럼 어서 C급 아이템들을 모아와 봐!
1224,33,1223,4. 만인의 인정,결투장 1회 참여,141,1,1,,1,,10000,0,Aimel,아이멜,"어때? C급 아이템들로 레벨업 한 게 많이 도움되지?<p>자! 장비를 레벨업 했으면! 실력을 발휘해 봐야지?<p>몬스터? 하하!
몬스터랑 싸우는 건 이미 많이봤고 이번에는 대인전 실력을 보여줘!<p>은빛용병단이나 되서 결투장에서 이리저리 치인다는 소리 들으면 우리 체면이 안서. 최소한의 실력은 있어야 하자나?<p>흐음. 어디보자~ 그래~ 1회 참여!
결투장에서 1회 참여를 달성하고 와. 그 정도는 아주 쉽겠지?<p>엄살 부리지 마~
난 입단할 때, 100회 정도 참여하고 들어왔다고!
자자! 어서가봐~ 화이팅!"
1225,33,1224,5. 자격 증명,10000 아데나 획득,0,10000,149,,6,460008,3,0,Aimel,아이멜,"오~ 벌써? 결투장 1회 참여를 하고 온거야? <p>그럼 바로 다음시험으로 넘어가 볼까?<p>다음 시험은 1만 아데나를 구해오는 것이야.<p>일종의 사냥실력과 재정관리 능력을 시험하는 것이지!
재정을 관리하지 못하면, 중요한 순간에 돈이 없어서 죽게 될 수도 있다고~<p>자~자~ 그럼 어서 1만 아데나를 구해와봐!"
1226,33,1225,6. 한계 돌파,장비 강화 1회 성공,55,1,4,,1,,10000,1,Aimel,아이멜,"그럼 다음 시험으로 넘어가 볼까?<p>다음 시험은 너의 장비를 강화해 오는 거야.<p>자고로 용병에게 장비란 생명과도 같지.
전장에서 살아남으려면 장비강화를 꾸준히 하도록 해!<p>그럼 어서! 장비 강화를 1회 성공해봐!"
1227,33,1226,7. 인정,인골수집자 키리오스 1회 처치,83,1,149,10001,6,460008,3,0,Aimel,아이멜,히야~ 벌써 최종시험이야? 축하해! 역시 상부에서 눈여겨 보는 인재는 다르긴 다른가봐?<p>이번에는 너의 실력이 뛰어나서 키리오스 토벌에 널 참가 시키기로 했어! 키리오스는 인간들을 학살하고 다닌 무시무시한 악마야!<p>너무 위험해서 용병단 내에서도 특출난 사람들에게만 주는 임무인데. 어쩐 일인지 상부에서는 이번 일을 네게 맡기라고 하더군!<p>이런 경우는 처음이야! 그만큼 네 실력을 인정한다는 거겠지!<p>마지막 시험은 이걸로 대체한다고 했으니 꼭 처치하길 바래! 힘들겠지만 행운을 빌어!<p>참! 생각보다 힘든 상대일테니 이왕이면 동료들을 모아서 함께 가는 것이 좋을거야!
1231,34,,1. 인내의 증명,몬스터 50마리 처치,80,50,149,,6,460008,2,0,,,
1232,34,1231,2. 하루의 정리,쉬움 난이도의 요일던전 돌파,95,1,7,,1,,10000,0,Aimel,아이멜,"와~ 벌써 몬스터 50마리를 처치한 거야? 정말 대단해!!<p>다음 시험은 쉬움 난이도의 요일던전을 돌파하는 거야!
성역에 있는 보스들은 매우 강력하기로 유명하지.<p>진정한 전사만이 그들을 쓰러트릴 수 있을 거야!
자! 어서가서 너의 실력을 증명해봐!"
1233,34,1232,3. 준비된 자세,C급 아이템 5개 습득,51,5,149,,6,460008,2,1,Aimel,아이멜,이야~ 이렇게 짧은 시간 내에 성역의 보스를 처치한 건 네가 처음이야. 정말 대단한데?<p>다음 시험은.. 흐음. 시험이라고 할 것까진 없지만.. C급 아이템을 모아오는 것이야.<p>전투를 치르다 보면 장비 레벨업이 필요할 거야! 그때! 필요한 게 C급 아이템들이지. 이것들을 모아서 장비 강화에 이용하면! 큰 도움이 된다고! 그럼 어서 C급 아이템들을 모아와 봐!
1234,34,1233,4. 만인의 인정,결투장 1회 참여,141,1,1,,1,,10000,0,Aimel,아이멜,"어때? C급 아이템들로 레벨업 한 게 많이 도움되지?<p>자! 장비를 레벨업 했으면! 실력을 발휘해 봐야지?<p>몬스터? 하하!
몬스터랑 싸우는 건 이미 많이봤고 이번에는 대인전 실력을 보여줘!<p>은빛용병단이나 되서 결투장에서 이리저리 치인다는 소리 들으면 우리 체면이 안서. 최소한의 실력은 있어야 하자나?<p>흐음. 어디보자~ 그래~ 1회 참여!
결투장에서 1회 참여를 달성하고 와. 그 정도는 아주 쉽겠지?<p>엄살 부리지 마~
난 입단할 때, 100회 정도 참여하고 들어왔다고!
자자! 어서가봐~ 화이팅!"
1235,34,1234,5. 자격 증명,10000 아데나 획득,0,10000,149,,6,460008,3,0,Aimel,아이멜,"오~ 벌써? 결투장 1회 참여를 하고 온거야? <p>그럼 바로 다음시험으로 넘어가 볼까?<p>다음 시험은 1만 아데나를 구해오는 것이야.<p>일종의 사냥실력과 재정관리 능력을 시험하는 것이지!
재정을 관리하지 못하면, 중요한 순간에 돈이 없어서 죽게 될 수도 있다고~<p>자~자~ 그럼 어서 1만 아데나를 구해와봐!"
1236,34,1235,6. 한계 돌파,장비 강화 1회 성공,55,1,4,,1,,10000,1,Aimel,아이멜,"그럼 다음 시험으로 넘어가 볼까?<p>다음 시험은 너의 장비를 강화해 오는 거야.<p>자고로 용병에게 장비란 생명과도 같지.
전장에서 살아남으려면 장비강화를 꾸준히 하도록 해!<p>그럼 어서! 장비 강화를 1회 성공해봐!"
1237,34,1236,7. 인정,인골수집자 키리오스 1회 처치,83,1,149,10001,6,460008,3,0,Aimel,아이멜,히야~ 벌써 최종시험이야? 축하해! 역시 상부에서 눈여겨 보는 인재는 다르긴 다른가봐?<p>이번에는 너의 실력이 뛰어나서 키리오스 토벌에 널 참가 시키기로 했어! 키리오스는 인간들을 학살하고 다닌 무시무시한 악마야!<p>너무 위험해서 용병단 내에서도 특출난 사람들에게만 주는 임무인데. 어쩐 일인지 상부에서는 이번 일을 네게 맡기라고 하더군!<p>이런 경우는 처음이야! 그만큼 네 실력을 인정한다는 거겠지!<p>마지막 시험은 이걸로 대체한다고 했으니 꼭 처치하길 바래! 힘들겠지만 행운을 빌어!<p>참! 생각보다 힘든 상대일테니 이왕이면 동료들을 모아서 함께 가는 것이 좋을거야!
1311,62,,1. 인내의 증명,몬스터 50마리 처치,80,50,149,,6,460008,2,0,,,
1312,62,1311,2. 하루의 정리,쉬움 난이도의 요일던전 돌파,95,1,7,,1,,10000,0,Aimel,아이멜,"와~ 벌써 몬스터 50마리를 처치한 거야? 정말 대단해!!<p>다음 시험은 쉬움 난이도의 요일던전을 돌파하는 거야!
성역에 있는 보스들은 매우 강력하기로 유명하지.<p>진정한 전사만이 그들을 쓰러트릴 수 있을 거야!
자! 어서가서 너의 실력을 증명해봐!"
1313,62,1312,3. 준비된 자세,C급 아이템 5개 습득,51,5,149,,6,460008,2,1,Aimel,아이멜,이야~ 이렇게 짧은 시간 내에 성역의 보스를 처치한 건 네가 처음이야. 정말 대단한데?<p>다음 시험은.. 흐음. 시험이라고 할 것까진 없지만.. C급 아이템을 모아오는 것이야.<p>전투를 치르다 보면 장비 레벨업이 필요할 거야! 그때! 필요한 게 C급 아이템들이지. 이것들을 모아서 장비 강화에 이용하면! 큰 도움이 된다고! 그럼 어서 C급 아이템들을 모아와 봐!
1314,62,1313,4. 만인의 인정,결투장 1회 참여,141,1,1,,1,,10000,0,Aimel,아이멜,"어때? C급 아이템들로 레벨업 한 게 많이 도움되지?<p>자! 장비를 레벨업 했으면! 실력을 발휘해 봐야지?<p>몬스터? 하하!
몬스터랑 싸우는 건 이미 많이봤고 이번에는 대인전 실력을 보여줘!<p>은빛용병단이나 되서 결투장에서 이리저리 치인다는 소리 들으면 우리 체면이 안서. 최소한의 실력은 있어야 하자나?<p>흐음. 어디보자~ 그래~ 1회 참여!
결투장에서 1회 참여를 달성하고 와. 그 정도는 아주 쉽겠지?<p>엄살 부리지 마~
난 입단할 때, 100회 정도 참여하고 들어왔다고!
자자! 어서가봐~ 화이팅!"
1315,62,1314,5. 자격 증명,10000 아데나 획득,0,10000,149,,6,460008,3,0,Aimel,아이멜,"오~ 벌써? 결투장 1회 참여를 하고 온거야? <p>그럼 바로 다음시험으로 넘어가 볼까?<p>다음 시험은 1만 아데나를 구해오는 것이야.<p>일종의 사냥실력과 재정관리 능력을 시험하는 것이지!
재정을 관리하지 못하면, 중요한 순간에 돈이 없어서 죽게 될 수도 있다고~<p>자~자~ 그럼 어서 1만 아데나를 구해와봐!"
1316,62,1315,6. 한계 돌파,장비 강화 1회 성공,55,1,4,,1,,10000,1,Aimel,아이멜,"그럼 다음 시험으로 넘어가 볼까?<p>다음 시험은 너의 장비를 강화해 오는 거야.<p>자고로 용병에게 장비란 생명과도 같지.
전장에서 살아남으려면 장비강화를 꾸준히 하도록 해!<p>그럼 어서! 장비 강화를 1회 성공해봐!"
1317,62,1316,7. 인정,인골수집자 키리오스 1회 처치,83,1,149,10001,6,460008,3,0,Aimel,아이멜,히야~ 벌써 최종시험이야? 축하해! 역시 상부에서 눈여겨 보는 인재는 다르긴 다른가봐?<p>이번에는 너의 실력이 뛰어나서 키리오스 토벌에 널 참가 시키기로 했어! 키리오스는 인간들을 학살하고 다닌 무시무시한 악마야!<p>너무 위험해서 용병단 내에서도 특출난 사람들에게만 주는 임무인데. 어쩐 일인지 상부에서는 이번 일을 네게 맡기라고 하더군!<p>이런 경우는 처음이야! 그만큼 네 실력을 인정한다는 거겠지!<p>마지막 시험은 이걸로 대체한다고 했으니 꼭 처치하길 바래! 힘들겠지만 행운을 빌어!<p>참! 생각보다 힘든 상대일테니 이왕이면 동료들을 모아서 함께 가는 것이 좋을거야!
1321,63,,1. 인내의 증명,몬스터 50마리 처치,80,50,149,,6,460008,2,0,,,
1322,63,1321,2. 하루의 정리,쉬움 난이도의 요일던전 돌파,95,1,7,,1,,10000,0,Aimel,아이멜,"와~ 벌써 몬스터 50마리를 처치한 거야? 정말 대단해!!<p>다음 시험은 쉬움 난이도의 요일던전을 돌파하는 거야!
성역에 있는 보스들은 매우 강력하기로 유명하지.<p>진정한 전사만이 그들을 쓰러트릴 수 있을 거야!
자! 어서가서 너의 실력을 증명해봐!"
1323,63,1322,3. 준비된 자세,C급 아이템 5개 습득,51,5,149,,6,460008,2,1,Aimel,아이멜,이야~ 이렇게 짧은 시간 내에 성역의 보스를 처치한 건 네가 처음이야. 정말 대단한데?<p>다음 시험은.. 흐음. 시험이라고 할 것까진 없지만.. C급 아이템을 모아오는 것이야.<p>전투를 치르다 보면 장비 레벨업이 필요할 거야! 그때! 필요한 게 C급 아이템들이지. 이것들을 모아서 장비 강화에 이용하면! 큰 도움이 된다고! 그럼 어서 C급 아이템들을 모아와 봐!
1324,63,1323,4. 만인의 인정,결투장 1회 참여,141,1,1,,1,,10000,0,Aimel,아이멜,"어때? C급 아이템들로 레벨업 한 게 많이 도움되지?<p>자! 장비를 레벨업 했으면! 실력을 발휘해 봐야지?<p>몬스터? 하하!
몬스터랑 싸우는 건 이미 많이봤고 이번에는 대인전 실력을 보여줘!<p>은빛용병단이나 되서 결투장에서 이리저리 치인다는 소리 들으면 우리 체면이 안서. 최소한의 실력은 있어야 하자나?<p>흐음. 어디보자~ 그래~ 1회 참여!
결투장에서 1회 참여를 달성하고 와. 그 정도는 아주 쉽겠지?<p>엄살 부리지 마~
난 입단할 때, 100회 정도 참여하고 들어왔다고!
자자! 어서가봐~ 화이팅!"
1325,63,1324,5. 자격 증명,10000 아데나 획득,0,10000,149,,6,460008,3,0,Aimel,아이멜,"오~ 벌써? 결투장 1회 참여를 하고 온거야? <p>그럼 바로 다음시험으로 넘어가 볼까?<p>다음 시험은 1만 아데나를 구해오는 것이야.<p>일종의 사냥실력과 재정관리 능력을 시험하는 것이지!
재정을 관리하지 못하면, 중요한 순간에 돈이 없어서 죽게 될 수도 있다고~<p>자~자~ 그럼 어서 1만 아데나를 구해와봐!"
1326,63,1325,6. 한계 돌파,장비 강화 1회 성공,55,1,4,,1,,10000,1,Aimel,아이멜,"그럼 다음 시험으로 넘어가 볼까?<p>다음 시험은 너의 장비를 강화해 오는 거야.<p>자고로 용병에게 장비란 생명과도 같지.
전장에서 살아남으려면 장비강화를 꾸준히 하도록 해!<p>그럼 어서! 장비 강화를 1회 성공해봐!"
