Id,Type,GroupId,Name,PortraitTexture,Message,Duration,Delay,Sound,GuideOnly
122,0,115,러셀,ArmorMerchant_01,"세상에...! 저게 뭐야!
조심하게!",3,,,0
123,0,116,러셀,ArmorMerchant_01,"맙소사 전승기념탑이!
이 떡대놈들...!
용서 못해!",3,,,0
124,0,116,러셀,ArmorMerchant_01,"어...? 저 놈 저거...
아까 자네 칼에 죽은
군장 놈이잖아!",3,,,0
125,0,117,오크 호위병,Icon_MonsterCore_TurekOrcSkirmisher,"막아!
막아라! 크르르륵...",2,8,,0
127,0,119,스미스,WarehouseKeeper_01_02,"도와줘서 고맙네!
그런데 말일세,
내가 아까 끌려오다
수상한 것을 봤네!",3,1,,0
128,0,119,스미스,WarehouseKeeper_01_02,"우리를 끌고 오던
오크 무리 사이에
수상한 자가 있었네.",3,,,0
129,0,119,스미스,WarehouseKeeper_01_02,"거무튀튀한 옷을
입고 요상한 책을
들고 다니는 게",3,,,0
130,0,119,스미스,WarehouseKeeper_01_02,"어디 악마 신봉자가
아닌지 모르겠네!
자네도 조심하게!",3,,,0
131,0,120,늑대인간,Icon_MonsterCore_WereWolf,"크큭...좋은 냄새군!
순순히 이리내라,
인간놈아!",3,1,,0
132,0,121,오크 군장,Icon_MonsterCore_TurekOrcGeneral,"겨우 용병 따위가
주제도 모르고
결투를 신청해?",2,,,0
133,0,121,오크 군장,Icon_MonsterCore_TurekOrcGeneral,"놈은 내 놀잇감이다.
아무도 나서지 마라!",2,,,0
134,0,122,오크 학살자,Icon_MonsterCore_TurekOrcSkirmisher,"군장님이 질 리가
없다! 놈들이
비겁한 수를 쓴 거야!",2,,,0
135,0,122,토벌대원,CityGuard_01,"패배도 인정 못 하는
저능아들이군!
명예는 어디다 뒀나!",2,,,0
136,0,122,오크 학살자,Icon_MonsterCore_TurekOrcSkirmisher,"죽여라! 놈들을
쓸어버리자!",2,,,0
137,0,122,토벌대원,CityGuard_01,"공격을 막아내라!
오크 놈들을
밀어내라!",2,,,0
138,0,123,토벌대원,CityGuard_01,"나머지는 저희가
맡겠습니다.
러셀 님께 가보세요!",3,,,0
140,0,125,유진,Noble_02,"서두르게! 오크들이
몰려올지도 모르네!!",1.5,,,0
141,0,126,오크 돌격대장,Icon_MonsterCore_TurekOrcSkirmisher,"죽여라, 죽여!
마을까지 단숨에
밀고 들어가라!",3,,,0
143,0,127,헤럴드,Officer,"지휘 체계가 잡힌
놈들이야!
호위병들이 있어!
맡아줄 수 있겠나?",4,,,0
144,0,128,헤럴드,Officer,"돌격대장이
위협적이군!
놈을 맡아주게!",3,,,0
145,0,129,헤럴드,Officer,"시간이 없네!
어서,
어서 입구로 오게!",3,4,,0
146,0,130,오스틴,Officer,"준비가 되면,
길에 자리를 잡게.",2,,,0
147,0,131,오스틴,Officer,"그럼, 시작하게!
쉽진 않을게야!",2,2,,0
148,0,132,오스틴,Officer,"훌륭하군!!
하지만 세 명씩
달려들만 어떨까?!",3,,,0
149,0,133,거인 앨버트,Officer_02,"솜씨가 제법이군.
내가 직접 가르친
병사들인데 말이야.",3,,,0
150,0,133,거인 앨버트,Officer_02,"이번엔 나와 한번
겨뤄보세. 이거
간만에 재밌겠는걸!",3,,,0
151,0,134,거인 앨버트,Officer_02,"그..그만!
내가 졌네, 졌어!
자네 정말 강하군!",3,,,0
152,0,201,아놀드,Officer,"큰일이다!
몬스터가 몰려온다!",3,,,0
153,0,202,오크 우두머리,Icon_MonsterCore_TurekOrcGeneral,이게 무슨 소란이냐!,2,,,0
154,0,202,오크 우두머리,Icon_MonsterCore_TurekOrcGeneral,"인간 놈들이 언제
여기까지 들어온게야!
호위병! 따라와!",3,,,0
160,0,208,테오도르,HardinsFollower,"큰일이다!!
어서 빠져나가라!!
발굴단은 여기 없어!!",3,,,0
161,0,209,오크 조련사,Icon_MonsterCore_TurekOrcArcher,"저기있다!!!
가라! 뭉게버려!",2,,,0
162,0,209,길들인 버그베어,Icon_MonsterCore_KingBugbear,"각오해라.
뭉게..아니,
박살낸다 너!",3,,,0
164,0,211,페르넬,Fernel,"엘프 유적으로
가려면 다리를
건너야 하네!
서두르세!",3,,,0
165,0,211,페르넬,Fernel,"그 용병단 마법사는
벌써 건너갔어!",3,,,0
169,0,214,정화의 요정,Resident_03,"고마워요.
제가 경계하고
있을게요.",3,,,0
170,0,214,정화의 요정,Resident_03,"세 번째 장치까지
움직인다면 심각한
상황은 면할거예요.",3,,,0
171,0,214,정화의 요정,Resident_03,"다행이에요.
당신을 만나서.",3,,,0
172,0,215,고위사제 이튼,DarkAssociation_01_02,"이 하찮은 버러지가
어딜 감히!!",3,,,0
173,0,215,고위사제 이튼,DarkAssociation_01_02,"위대한 분의 부활을
방해하려들다니!!
저리 꺼지지 못해?",3,,,0
174,0,216,페르넬,Fernel,"니아를....내 딸을
구해줘서 고맙네...
절대 잊지 않겠네.",3,,,0
175,0,216,페르넬,Fernel,"도울 수 있는 일이
있다면 무엇이든
도울 것이네.",3,,,0
179,0,218,고위사제 이튼,DarkAssociation_01_02,"크으아아! 젠장할!
진정한 어둠의 힘을
한 번 느껴봐라!",3,,,0
180,0,301,선원 토마스,Resident_04_03,"기다리고 있었습니다!
빨리 주십시오!",2,,,0
182,0,303,선원 앤드루,Resident_04,"드디어 저놈들을
몰아낼 수 있겠군요!
어서 주십시오!",2,,,0
186,0,307,판,CatTheCat_01,"그런데, 너 제법
말하는 섬에서
이름을 날렸냥",3,1,,0
187,0,307,판,CatTheCat_01,"냥? 은빛용병단?
이야~! 앞으로
친하게 지내자냥!",3,,,0
188,0,307,판,CatTheCat_01,"그래도 맨입으론
안 된다냥!
음...부탁 두 개면
생각 해볼 만 하다냥!",3,,,0
189,0,308,올 마훔 정찰병,Icon_MonsterCore_OlMahumArcher,"킥킥.
잡아갈 놈들이
아직도 남았다!",3,1,,0
190,0,308,아겔,student,"너..너흰 뭐야,
왜 이래!",2,,,0
191,0,308,올 마훔 약탈자,Icon_MonsterCore_OlMahumChampion,"킁킁, 너네 잡아가면
시커먼 두목이
좋아한다.",3,,,0
192,0,308,올 마훔 약탈자,Icon_MonsterCore_OlMahumChampion,"두목이 좋아하면
우리 보상 받는다!",2,,,0
193,0,309,올 마훔 정찰병,Icon_MonsterCore_OlMahumArcher,"킁킁! 순순히 잡혀라.
인간놈들아!",2,1,,0
194,0,309,아겔,student,"꺄..꺄아악!
도..도와주세요!",2,,,0
195,0,310,아이멜,Aimel,"경황이 없어
제대로 인사도
못 했네!",3,1,,0
196,0,310,아이멜,Aimel,"난 아이멜이야.
나 역시 너처럼
은빛용병단원이지!",3,,,0
197,0,310,아이멜,Aimel,"그런데 내가 여기
있는 것은 어떻게
알았어? 응? 러셀?",3,,,0
198,0,310,아이멜,Aimel,"그 근육 바보가
이번엔 일을 제대로
했나 보네. 후훗",3,,,0
199,0,310,아이멜,Aimel,"난 에르제베트라는
마녀를 쫓고 있어.
아마 너도 누군지
알 거야...",3,,,0
200,0,310,아이멜,Aimel,"혹시 그녀를 찾으면
꼭 나에게 알려줘.
빚을 갚아야 하니까...!",3,,,0
204,0,313,글루딘 병사,CityGuard_01_02,"어...언데드입니다!
유물을...! 유물을
보호해야 합니다!",3,,,0
205,0,313,해적 항해사,Icon_MonsterCore_PiratesZombieOfficer,"손목이랑 작별하고
싶지 않으면
유물을 이리 내라!",3,,,0
206,0,314,잭,Icon_MonsterCore_PiratesZombieCaptain,"크아악!
물고기 밥으로
만들어주마!",3,,,0
207,0,315,헬레니아,Magician_01_04,"위험하니
그냥 돌아가라고요?
어떻게 그래요!",3,1,,0
208,0,315,헬레니아,Magician_01_04,"그 음침한 작자가
온 뒤로 내 터전이
이 지경인데!",3,,,0
209,0,315,헬레니아,Magician_01_04,"그 잘난 얼굴 좀
봐야겠어요!",3,,,0
210,0,315,헬레니아,Magician_01_04,"어차피 전투가
벌어져도
지켜주실 거잖아요?
아닌가요...?",3,,,0
211,0,316,러셀,ArmorMerchant_01,"엘레노아씨의
소중한 친구분이
사라지셨나 보군요!",2,,,0
212,0,316,러셀,ArmorMerchant_01,"저희가 반드시
찾아드리겠습니다! 
우린 흩어져서
찾아보세나!",3,,,0
213,0,317,러셀,ArmorMerchant_01,"어...어?
박쥐가 냄새에 끌려
이리로 몰려오네!
조심하게!",3,,,0
214,0,318,러셀,ArmorMerchant_01,"일단 큰길로 가보세!
제발 그녀가 아직
무사해야 할 텐데...!",3,,,0
215,0,318,러셀,ArmorMerchant_01,"소중한 것을
찾는다고 했으니
묘지를 벗어나진
않았을 것이야!",3,5,,0
216,0,318,러셀,ArmorMerchant_01,"묘지 북쪽 지역으로
한 번 가보세!",2,,,0
217,0,319,경비병 바론,CityGuard_01_02,"러셀 님은
이쪽에 계십니다!
길을 따라서 오세요!",3,,,0
218,0,320,경비병 바론,CityGuard_01_02,"그래도 실종 사건에
두 분이 도움을
주셔서 다행입니다.",3,1,,0
219,0,320,경비병 바론,CityGuard_01_02,"사실 혼자 이런
음침한 곳을
조사하는 것은
꽤 무섭거든요!",3,,,0
220,0,321,러셀,ArmorMerchant_01,"으...으아악!
뭐...뭐야!",2,1,,0
221,0,321,경비병 바론,CityGuard_01_02,"위험합니다!
안타깝지만, 모두
처치해야 합니다!",3,,,0
222,0,322,러셀,ArmorMerchant_01,"도착하거든,
아이멜이란 여자를
찾아보게!",3,,,0
223,0,322,러셀,ArmorMerchant_01,"먼저 파견된
은빛용병단 동료라네!",3,,,0
224,0,323,납치된 마을주민,WarehouseKeeper,"잠시도 여기 있고
싶지 않습니다!
어서, 어서 가시죠!",3,1,,0
225,0,324,올 마훔 병사,Icon_MonsterCore_OlMahumArcher,"컹컹! 어딜 들어오려
하느냐, 건방진
인간놈아!",3,1,,0
226,0,325,판,CatTheCat_01,"앗! 여기다냥!
나 좀 꺼내달라냥!",2,,,0
229,0,328,올 마훔 장교,Icon_MonsterCore_OlMahumChampion,"주...주민은 저 위에
가둬 놓았다!
죽이지마라! 킁킁...",2,,,0
230,0,329,터놀,Icon_MonsterCore_OlMahumChampion,"킁킁.. 쥐새끼가
한 마리 들어왔구나!
쳐죽여라!",3,1,,0
231,0,330,빌리,Icon_MonsterCore_PiratesZombieOfficer,"나약한 놈들
이런 곳에
숨어있었나? 크큭",3,1,,0
232,0,330,빌리,Icon_MonsterCore_PiratesZombieOfficer,"숨겨도 소용없다.
성물을 이리 내라!
하찮은 놈들아!",3,,,0
233,0,330,포드,Officer_01_02,"두 번이나
빼앗길 줄 아느냐!
어디 가져가 봐라!",3,,,0
234,0,331,빌리,Icon_MonsterCore_PiratesZombieOfficer,"하반신한테
작별인사나해라!
멍청한 놈아!",3,1,,0
236,0,333,포드,Officer_01_02,"이제 해골 병사를
처리하고 원군과
합류해주게!",3,,,0
1257,0,334,약탈 대장 카눔,Icon_MonsterCore_OlMahumChampion,"후후. 이곳까지
혼자서 오다니.",2,0,,0
1258,0,334,약탈 대장 카눔,Icon_MonsterCore_OlMahumChampion,"우리 애들보다
멍청하구나!!",2,1,,0
1259,0,334,약탈 대장 카눔,Icon_MonsterCore_OlMahumChampion,"얘들아
저놈을 털어라!!",2,0,,0
1260,0,335,약탈 대장 카눔,Icon_MonsterCore_OlMahumChampion,이런! 멍청한 것들!,2,0,,0
1261,0,335,약탈 대장 카눔,Icon_MonsterCore_OlMahumChampion,"내가 직접
상대해주지!",2,0,,0
1262,0,335,약탈 대장 카눔,Icon_MonsterCore_OlMahumChampion,"네놈의 속옷까지
탈탈 털어주마!
캬캬캬캬!",2,0,,0
1269,0,338,반,CityGuard_01_02,"도끼 전사가
길을 막고 있습니다!",2,0,,0
1270,0,338,반,CityGuard_01_02,"도끼 전사부터
처치해야 겠습니다.",2,1,,0
1271,0,339,볼트,CityGuard_01_02,사..살았다!!,2,0,,0
1284,0,339,올 마훔 도끼 전사,Icon_MonsterCore_OlMahumChampion,"저기
포로가 도망간다!
잡아라!!",2,1,,0
2289,0,340,바로,CatTheCat_01_02,저쪽에 뱅가가 있다옹! 어서 가라옹! 오늘이야 말로 저놈의 제삿날이다옹!,2,0,,0
2290,0,341,바로,CatTheCat_01_02,조심하라옹~! 이런 뱅가가 눈치를 챘다옹!,2,0,,0
2291,0,341,바로,CatTheCat_01_02,"뱅가의 부하들이다옹!
조심하라옹! 뱅가가 도망칠 것 같다옹!",2,1,,0
2292,0,342,바로,CatTheCat_01_02,"잘했다옹! 뱅가가 도망치기 전에 잡았다옹!
이제 잡기만 하면 된다옹!
가죽 조심하라옹!",2,0,,0
2293,0,342,바로,CatTheCat_01_02,아... 아니 몸 조심하라는 소리다옹!,2,1,,0
2294,0,343,네로,CatTheCat_01_03,약탈품의 위치를 찾았다옹! 서두르라옹!!!,2,0,,0
2295,0,344,네로,CatTheCat_01_03,놈들이 몰려들기전에 약탈품을 챙겨서 도망가자옹!,2,0,,0
2296,0,345,네로,CatTheCat_01_03,으악! 놈들이 눈치 챘다옹!!! 어쩔 수 없다옹! 전투를 준비해라옹!,2,1,,0
2297,0,345,네로,CatTheCat_01_03,놈들을 처치하고 어서 나오라옹!,2,0,,0
2298,0,346,네로,CatTheCat_01_03,카....카차라니!!! 조심해라옹!,2,1,,0
2299,0,346,카차,Icon_MonsterCore_OlMahumScout,"네놈이 감히 내 물건에 손을 대!?
네놈들의 가죽까지 벗겨주마!",2,0,,0
2300,0,346,카차,Icon_MonsterCore_OlMahumScout,죽어라!,2,0,,0
2301,0,347,니스,Resident_03,이런! 저희 동료가 버그베어들과 사투를 벌이고 있다고 합니다! 도와주십시오!,2,0,,0
2302,0,348,아인하사드 사제,Resident_02,도와주세요!!!,1,0,,0
2303,0,348,아인하사드 사제,Resident_02,이런 돼지 같은 놈들!!!,1,0,,0
2304,0,348,아인하사드 사제,Resident_02,정화하라!!,1,0,,0
2305,0,349,아인하사드 사제,Resident_02,비...빅보스다!,2,0,,0
2306,0,349,아인하사드 사제,Resident_02,우..우린 이제 끝장이야.,2,1,,0
2307,0,350,빅보스,Icon_MonsterCore_KingBugbear,내가 직접 나서주지!!,2,0,,0
2308,0,350,빅보스,Icon_MonsterCore_KingBugbear,"오랜만에 맛있는 먹잇감이다!
죽어라! 약한것!",2,0,,0
2309,0,351,라우엘,Resident_03_02,찾았습니다. 저 안쪽으로 모여드는 것 같습니다.,2,0,,0
2310,0,351,라우엘,Resident_03_02,"그곳에 가시면 수상한 물건이 있을 겁니다!
그것을 가져와 주십시오!",2,1,,0
2311,0,352,볼디악,Icon_MonsterCore_DarkAssociation,"호오. 생각치도 않은 물건이 걸렸네요.
그런 것은 함부로 만지는 것이 아닙니다.",2,1,,0
2312,0,352,볼디악,Icon_MonsterCore_DarkAssociation,호기심의 대가를 치루시지요.,2,1,,0
2313,0,353,자린,SmeltingMerchant_01_02,북쪽의 초소에 잭칼이 목격되었다는 보고가 들어왔다!,2,0,,0
2314,0,353,자린,SmeltingMerchant_01_02,시간이 없다! 도망갈 지도 모르니 빠르게 처치 하도록!,2,0,,0
2315,0,354,잭칼,Icon_MonsterCore_OlMahumScout,"후후후 죽고 싶어 환장했나 보군.
얘들아! 쓴맛을 한번 보여주거라!",2,0,,0
2316,0,355,잭칼,Icon_MonsterCore_OlMahumScout,생각보다 한싸움 하나 보군! 내가 직접 상대해 주마!!!,2,0,,0
2317,0,355,잭칼,Icon_MonsterCore_OlMahumScout,"낄낄낄! 어디 한번 죽어봐라!
피! 피! 피를 원해!",2,0,,0
2408,0,356,아인하사드 사제,Resident_02,사..살았다!!,2,0,,0
2409,0,356,아인하사드 사제,Resident_02,감사합니다. 정말 감사합니다!!,2,1,,0
2410,0,357,바로,CatTheCat_01_02,배...뱅가가 도망친다옹!,2,0,,0
2411,0,357,바로,CatTheCat_01_02,아...바로 잡을 수 있었던 거였다옹...,2,1,,0
2412,0,358,잭칼,Icon_MonsterCore_OlMahumScout,후후후 죽고 싶어 환장했나 보군~!,2,0,,0
2413,0,358,잭칼,Icon_MonsterCore_OlMahumScout,얘들아! 쓴 맛을 한번 보여주거라!,2,1,,0
2414,0,358,잭칼,Icon_MonsterCore_OlMahumScout,생각보다 잘 싸우는구나! 낄낄낄.,2,1,,0
2415,0,359,잭칼,Icon_MonsterCore_OlMahumScout,낄낄낄~ 어디한번 잘 놀아봐라!,2,0,,0
2416,0,359,자린,SmeltingMerchant_01_02,잭칼이 도망간다!!,2,0,,0
2417,0,359,자린,SmeltingMerchant_01_02,이런... 뭔 다리는 저리 빠른지..,2,1,,0
4807,0,360,베다,CatTheCat_01_03,감히 우리 장부를 훔치다니!,2,,,0
4808,0,360,베다,CatTheCat_01_03,간덩이가 부었다냥!,2,,,0
4809,0,360,베다,CatTheCat_01_03,정의의 주먹을 받아라냥!,2,,,0
238,0,402,고위사제 폴레모스,Icon_MonsterCore_KaimVanul,"기고만장하군!
그만 끝을 내주지!",2,,,0
239,0,403,마을 주민,ItemMerchant_01,"가...감사합니다!
죽는줄 알았어요!",3,,,0
240,0,404,돌격대장,Icon_MonsterCore_LetoLizardmanWarrior,"쉬이익...! 건방진 놈!
창에 꽂아
장식해주마!",3,,,0
241,0,405,구출된 노인,WarehouseKeeper,"고...고맙네!
오른쪽으로 가면
다른 사람도 있다네!",2,,,0
242,0,406,구출된 여자,ItemMerchant_01,"고맙습니다!
혹시 제 딸은
못 보셨나요?!",2,,,0
243,0,407,구출된 아이,LittleGirl_01,엄마...엄마!,1.5,,,0
244,0,407,구출된 여자,ItemMerchant_01,"정말... 정말
고맙습니다! 어서
여기서 벗어나자!",2,,,0
245,0,408,저격대장,Icon_MonsterCore_LetoLizardmanScout,"쉭쉭! 죽고 싶어
환장했구나!
하등한 종족아!",3,,,0
