TutorialId,Step,Id,ProcessRequest,SystemMessagePosition,NpcPortrait,NpcName,DialogMessage,TaskType,UIType,SkillActivateType,TaskParam,TaskTargetPosX,TaskTargetPosY,BPName,WidgetName,ControlName,ControlIndexType,ControlIndex,MoviePath,Sound,SkipFadeOutKeep,LogIndex
15,6,15006,0,3,ItemMerchant_01_02,잡화 상인 아나이스,<YellowBold>매일 1회 무료로 프리미엄 장비 상자</>를 얻을 수 있으니까.  잊지 말고 받으세요!,23,3,,,,,,,,4,,,Tutorial_Dialogue_15_6,0,
15,7,15007,1,3,,,,16,3,,500,,,,,,4,,,,0,
16,1,16001,0,3,WarehouseKeeper_01_02,대장장이 스미스,말하는 섬 최고의 대장장이인 내가 장비를 <YellowBold>레벨업</> 시켜 더 강하게 만드는 방법을 알려 주겠네.,23,3,,,,,,,,4,,,Tutorial_Dialogue_16_1,0,
16,2,16002,1,3,WarehouseKeeper_01_02,대장장이 스미스,우선 이 장비를 받게~ 자네한테는 꽤 쓸만할 꺼야~,23,3,,,,,,,,4,,,Tutorial_Dialogue_16_2,0,
16,3,16003,0,1,WarehouseKeeper_01_02,대장장이 스미스,방금 받은 장비를 살펴 보러가지.,0,3,,,,,BP_GameUI,MainToolbar,ButtonInventory,4,,,Tutorial_Dialogue_16_3,0,
16,4,16004,0,1,WarehouseKeeper_01_02,대장장이 스미스,방어구 쪽을 살펴보면 있을걸세.,0,3,,,,,BP_CharacterInfoBaseUI,CanvasPanelRight,CheckBoxArmor,4,,,Tutorial_Dialogue_16_4,0,
16,5,16005,0,2,WarehouseKeeper_01_02,대장장이 스미스,"자, 이제 내가 준 장비를 선택해 보게나.",0,3,,,,,BP_CharacterInfoBaseUI,CanvasPanelRight,TileViewItemList,1,,,Tutorial_Dialogue_16_5,0,
16,6,16006,0,1,WarehouseKeeper_01_02,대장장이 스미스,"장비 레벨업은 대장간에서 할 수 있다네, 대장간으로 따라 오게나.",0,3,,,,,BP_CharacterInfoBaseUI,CanvasPanelRight,ButtonEquipmentEnhancement,4,,,Tutorial_Dialogue_16_6,0,
16,7,16007,0,3,WarehouseKeeper_01_02,대장장이 스미스,대장간에서는 <YellowBold>장비의 성능을 높일 수 있는 다양한 행동</>을 할 수 있다네. ,23,3,,,,,,,,4,,,Tutorial_Dialogue_16_7,0,
16,8,16008,0,1,WarehouseKeeper_01_02,대장장이 스미스,우선 레벨업을 선택하게나.,0,3,,,,,BP_EquipmentEnhancementMenuUI,,ButtonLevelUp,4,,,Tutorial_Dialogue_16_8,0,
16,9,16009,0,3,WarehouseKeeper_01_02,대장장이 스미스,"<YellowBold>장비 레벨업</>은, 다른 장비를 재료로 소모해서 자네가 주로 쓰는 장비의 <YellowBold>성능을 향상</>시키는 것이라네.",23,3,,,,,,,,4,,,Tutorial_Dialogue_16_9,0,
16,10,16010,1,3,WarehouseKeeper_01_02,대장장이 스미스,"물론 여기에는 수고비로 약간의 아데나를 좀 받고 있네!
나도 먹고는 살아야 하지 않겠는가!",23,3,,,,,,,,4,,,Tutorial_Dialogue_16_10,0,
16,11,16011,0,2,WarehouseKeeper_01_02,대장장이 스미스,이것을 재료로 한번 사용해 보지. 내가 준 것이니 부담은 갖지 말게.,3,3,,,,,BP_CharacterInfoBaseUI,CanvasPanelRight,TileViewItemList,1,,,Tutorial_Dialogue_16_11,0,
16,12,16012,1,1,WarehouseKeeper_01_02,대장장이 스미스,자~ 그럼 한 번 시도해보도록 하지! 처음이니 비용은 안 받겠네.,0,3,,,,,BP_EquipmentEnhancementUI,CanvasPanelLevelUp,ButtonLevelUp,4,,,Tutorial_Dialogue_16_12,0,
16,13,16013,0,1,WarehouseKeeper_01_02,대장장이 스미스,재료가 사라지는 건 어쩔 수 없다네.,3,3,,,,,BP_PopupMessageBoxUI,,ButtonOK,4,,,Tutorial_Dialogue_16_13,0,
16,14,16014,0,3,,,,16,3,,5000,,,,,,4,,,,0,
16,15,16015,0,1,WarehouseKeeper_01_02,대장장이 스미스,다 되었네! 어디 보자. 장비 레벨업이 잘 된 것 같군. 마음에 들 거야.,0,3,,,,,BP_EquipmentLevelUpResultUI,,ButtonOK,4,,,Tutorial_Dialogue_16_14,0,
16,16,16016,0,1,WarehouseKeeper_01_02,대장장이 스미스,그럼 레벨을 올린 장비를 장착해보지.,0,3,,,,,BP_CharacterInfoBaseUI,AssetsUI,ButtonBack,4,,,Tutorial_Dialogue_16_15,0,
16,17,16017,0,1,WarehouseKeeper_01_02,대장장이 스미스,여기있는 자동장착 버튼 누르면 되네!,0,3,,,,,BP_CharacterInfoBaseUI,CanvasPanelRight,ButtonAutoEquip,4,,,Tutorial_Dialogue_16_16,0,
16,18,16018,0,3,,,,16,3,,2000,,,,,,4,,,,0,
16,19,16019,0,3,WarehouseKeeper_01_02,대장장이 스미스,"장비 레벨업은 <YellowBold>전투능력을 향상시키는 가장 손쉬운 방법</>이네, 적들이 너무 강하다고 느껴지면 장비 레벨업을 우선 시도해 보게나.",23,3,,,,,,,,4,,,Tutorial_Dialogue_16_17,0,
16,20,16020,1,3,,,,19,3,,,,,,,,4,,,,0,
17,1,17001,0,1,Officer,토벌대장 오스틴,자! 그럼 스킬 레벨업하는 방법을 알려주도록 하겠네.,0,3,,,,,BP_GameUI,MainToolbar,ButtonMainMenu,4,,,Tutorial_Dialogue_17_1,0,
17,2,17002,1,1,Officer,토벌대장 오스틴,우선 자네가 어떤 스킬을 사용 가능한지 알아봐야겠지?,0,3,,,,,BP_MainMenuUI,,CheckBoxCharacter,4,,,Tutorial_Dialogue_17_2,0,
17,3,17003,0,1,Officer,토벌대장 오스틴,뭐하나? 어서 자네의 스킬을 훑어보자구.,0,3,,,,,BP_MainMenuUI,,ButtonSkill,4,,,Tutorial_Dialogue_17_3,0,
17,4,17004,0,3,Officer,토벌대장 오스틴,"잘했네. 이곳에서 자네가 갖고 있는 <YellowBold>스킬의 레벨</>을 올리거나, <YellowBold>스킬 버튼의 위치</>를 마음대로 바꿀 수 있지.",23,3,,,,,,,,4,,,Tutorial_Dialogue_17_4,0,
17,5,17005,0,1,Officer,토벌대장 오스틴,스킬 레벨을 올리려면 스킬 포인트가 필요하네. ,0,3,,3500,,,BP_SkillUI,AssetsUI,CavasPanelSP,4,,,Tutorial_Dialogue_17_5,0,
17,6,17006,0,3,Officer,토벌대장 오스틴,"캐릭터 레벨을 올리거나, 매일 꾸준히 활동하면 스킬 포인트를 얻을 수 있지. ",23,3,,,,,,,,4,,,Tutorial_Dialogue_17_6,0,
17,7,17007,0,3,Officer,토벌대장 오스틴,그럼 <YellowBold>스킬 레벨업</>을 시작하지. ,23,3,,,,,,,,4,,,Tutorial_Dialogue_17_7,0,
17,8,17008,0,1,Officer,토벌대장 오스틴,어디 보자. 이 스킬이 좋겠군.,0,3,,,,,BP_SkillUI,TableViewSkillList,CanvasPanelSkillIcon,4,0,,Tutorial_Dialogue_17_8,0,
17,9,17009,0,1,Officer,토벌대장 오스틴,레벨업 버튼이 보이는가? 어떤가? 막 눌러보고 싶어지지 않나?,0,3,,,,,BP_SkillUI,TableViewSkillList,ButtonLevelUp,4,0,,Tutorial_Dialogue_17_9,0,
17,10,17010,0,3,Officer,토벌대장 오스틴,<YellowBold>스킬 레벨</>은 자네의 <YellowBold>스킬 포인트</>를 사용하여 올릴 수 있다네.,23,3,,,,,,,,4,,,Tutorial_Dialogue_17_10,0,
17,11,17011,0,3,Officer,토벌대장 오스틴,원래는 아데나가 필요한 일이지만… 이번 사태에 큰 공을 세웠으니 내가 도움을 주도록 하지.,23,3,,,,,,,,4,,,Tutorial_Dialogue_17_11,0,
17,12,17012,0,3,Officer,토벌대장 오스틴,아차차. 내가 하나 빠뜨린게 있군.,23,3,,,,,,,,4,,,Tutorial_Dialogue_17_12,0,
17,13,17013,0,1,Officer,토벌대장 오스틴,여기 패시브 스킬이 보이는가.,0,3,,,,,BP_SkillUI,,CheckBoxGroup2,4,,,Tutorial_Dialogue_17_13,0,
17,14,17014,0,3,Officer,토벌대장 오스틴,<YellowBold>패시브 스킬</>도 같은 방법으로 레벨을 올릴 수 있으니 한번 해보도록 하지.,23,3,,,,,,,,4,,,Tutorial_Dialogue_17_14,0,
17,15,17015,0,1,Officer,토벌대장 오스틴,스킬을 선택한 다음,0,3,,,,,BP_SkillUI,TableViewSkillList,CanvasPanelSkillIcon,4,1,,Tutorial_Dialogue_17_15,0,
17,16,17016,0,1,Officer,토벌대장 오스틴,스킬 포인트와 아데나를 사용해서 레벨을 올릴 수 있네.,0,3,,,,,BP_SkillUI,TableViewSkillList,ButtonLevelUp,4,1,,Tutorial_Dialogue_17_16,0,
17,17,17017,0,3,Officer,토벌대장 오스틴,<YellowBold>패시브 스킬</>은 자동으로 효과가 유지되니까 소홀히 하기 쉽다네. 그러나 강해지기 위해서는 반드시 신경 쓰도록 하게.,23,3,,,,,,,,4,,,Tutorial_Dialogue_17_17,0,
17,18,17018,1,3,,,,19,3,,,,,,,,4,,,,0,
18,1,18001,0,1,ArmorMerchant_01,러셀,실력을 확인하기 위해서는 결투장을 이용하는 것이 가장 쉽고 확실한 방법이야.,0,3,,,,,BP_GameUI,MainToolbar,ButtonMainMenu,4,,,Tutorial_Dialogue_18_1,0,
18,2,18002,0,1,ArmorMerchant_01,러셀,결투장은 전장에 속해 있네!,0,3,,,,,BP_MainMenuUI,,ButtonBattlefield,4,,,Tutorial_Dialogue_18_2,0,
18,3,18003,0,1,ArmorMerchant_01,러셀,결투장의 입구가 보이는가? 슬슬 긴장하게.,0,3,,,,,BP_SelectBattleUINew,,TileViewBattlefieldList,4,0,,Tutorial_Dialogue_18_3,0,
18,4,18004,0,3,ArmorMerchant_01,러셀,이곳에선 다른 모험가들과 <YellowBold>1:1로 대결</>을 할 수 있지. 자네의 실력을 증명하는 곳이기도 하네! ,23,3,,,,,,,,4,,,Tutorial_Dialogue_18_4,0,
18,5,18005,0,3,ArmorMerchant_01,러셀,"추천한 네 명 중 원하는 상대에게 도전하여 이기면 된다네! 강한 상대와 싸워 이긴다면, 더 빨리 높은 위치에 오를 수 있을 걸세! ",23,3,,,,,,,,4,,,Tutorial_Dialogue_18_5,0,
18,6,18006,0,3,ArmorMerchant_01,러셀,"매주 순위에 따라 <YellowBold>주간 보상</>을 지급하니, 항상 높은 순위에 오를 수 있도록 노력하게!",23,3,,,,,,,,4,,,Tutorial_Dialogue_18_6,0,
18,7,18007,0,0,ArmorMerchant_01,러셀,"그리고, 결투에는 명예가 따르는 법!",0,3,,,,,BP_PVPUI,,ButtonHonorInfo,4,,,Tutorial_Dialogue_18_7,0,
18,8,18008,0,3,ArmorMerchant_01,러셀,승자와 패자 모두에게 명예가 주어진다네.,23,3,,,,,,,,4,,,Tutorial_Dialogue_18_8,0,
18,9,18009,0,3,ArmorMerchant_01,러셀,명예를 쌓아 높은 랭크에 도달하면 그것만으로도 더 강해질 수 있는 <YellowBold>능력치 보상</>이 주어지지!,23,3,,,,,,,,4,,,Tutorial_Dialogue_18_9,0,
18,10,18010,0,0,ArmorMerchant_01,러셀,지금 자넨 이렇다 할 명예가 없지만.,0,3,,3500,,,BP_PvPHonorRankPopup,,TileViewPvPHonorRank,4,0,,Tutorial_Dialogue_18_10,0,
18,11,18011,0,0,ArmorMerchant_01,러셀,앞으로 명예를 쌓아 나가다 보면.,0,3,,3000,,,BP_PvPHonorRankPopup,,TileViewPvPHonorRank,4,1,,Tutorial_Dialogue_18_11,0,
18,12,18012,0,0,ArmorMerchant_01,러셀,점점 더 많은 보상을 받게 된다네!,0,3,,3000,,,BP_PvPHonorRankPopup,TileViewPvPHonorRank,CanvasPanelStat,4,1,,Tutorial_Dialogue_18_12,0,
18,13,18013,1,3,ArmorMerchant_01,러셀,"어떤가, 슬슬 몸이 근질거리기 시작하지 않아?",23,3,,,,,,,,4,,,Tutorial_Dialogue_18_13,0,
18,14,18014,0,0,ArmorMerchant_01,러셀,참을 필요 있나? 지금 당장 결투를 시작해 보자고.,0,3,,,,,BP_PvPHonorRankPopup,,ButtonClose,4,,,Tutorial_Dialogue_18_14,0,
18,15,18015,0,0,ArmorMerchant_01,러셀,결투 시작을 선택하게. 어떤 운 없는 친구가 될지 모르겠지만 묵사발을 만들고 오게!,0,3,,,,,BP_PVPUI,PVPTargetTemplate4,ButtonBattleStart,4,,,Tutorial_Dialogue_18_15,0,
18,16,18016,0,3,,,,11,3,,,,,,,,4,,,,0,
18,17,18017,0,3,,,,16,3,,5000,,,,,,4,,,,0,
18,18,18018,0,0,ArmorMerchant_01,러셀,역시 자네가 이길 줄 알았네!! 승리를 축하하네!,0,3,,,,,BP_PVPResultUI,,ButtonGoMain,4,,,Tutorial_Dialogue_18_16,0,
18,19,18019,1,3,,,,16,3,,500,,,,,,4,,,,0,
18,20,18020,0,3,,,,11,3,,,,,,,,4,,,,0,
18,21,18021,0,3,,,,16,3,,5000,,,,,,4,,,,0,
18,22,18022,0,0,ArmorMerchant_01,러셀,"이런. 아깝군. 간발의 차이였어…
다음에는 꼭 이길 수 있을 거야.",0,3,,,,,BP_PVPResultUI,,ButtonGoMain,4,,,Tutorial_Dialogue_18_17,0,
18,23,18023,1,3,,,,16,3,,500,,,,,,4,,,,0,
19,1,19001,0,1,Noble_02,마법학교 스승 유진,새로운 장비 성장법을 알려주도록 하지.,0,3,,,,,BP_GameUI,MainToolbar,ButtonMainMenu,4,,,Tutorial_Dialogue_19_1,0,
19,2,19002,0,1,Noble_02,마법학교 스승 유진,지금부터 설명할 합성은 비교적 간단한 장비 성장 방법이네.,0,3,,,,,BP_MainMenuUI,,CheckBoxItem,4,,,Tutorial_Dialogue_19_2,0,
19,3,19003,0,1,Noble_02,마법학교 스승 유진,장비를 합성하기 위해서는 대장간을 이용해야 하네.,0,3,,,,,BP_MainMenuUI,,ButtonSmithy,4,,,Tutorial_Dialogue_19_3,0,
19,4,19004,0,1,Noble_02,마법학교 스승 유진,이곳에서 장비를 합성시킬 수 있네.,0,3,,,,,BP_EquipmentEnhancementUI,,CheckBoxComposition,4,,,Tutorial_Dialogue_19_4,0,
19,5,19005,0,3,Noble_02,마법학교 스승 유진,"합성은 같은 등급, 같은 종류의 <YellowBold>30레벨 장비 두 개</>로, 한 단계 더 높은 등급의 장비를 얻는 방법이지.",23,3,,,,,,,,4,,,Tutorial_Dialogue_19_5,0,
19,6,19006,0,3,Noble_02,마법학교 스승 유진,합성을 위한 장비는 대상 장비와 재료 장비로 구분하고 있다네.,23,3,,,,,,,,4,,,Tutorial_Dialogue_19_6,0,
19,7,19007,0,1,Noble_02,마법학교 스승 유진,대상 장비에 대한 자세한 정보는 이곳에서 확인하게나.,0,3,,4000,,,BP_EquipmentEnhancementUI,,CanvasPanelCompositionTargetGuide,4,,,Tutorial_Dialogue_19_7,0,
19,8,19008,0,1,Noble_02,마법학교 스승 유진,시간이 없으니 어서 합성을 시도 해보지. 합성 재료는 이것을 이용하게나.,0,3,,,,,BP_CharacterInfoBaseUI,CanvasPanelRight,CheckBoxArmor,4,,,Tutorial_Dialogue_19_8,0,
19,9,19009,1,3,,,,16,3,,1,,,,,,4,,,,0,
19,10,19010,0,2,Noble_02,마법학교 스승 유진,이것을 누르도록 하게.,3,3,,,,,BP_CharacterInfoBaseUI,CanvasPanelRight,TileViewItemList,1,,,Tutorial_Dialogue_19_9,0,
19,11,19011,0,3,Noble_02,마법학교 스승 유진,이번에는 재료 장비이네. 이것을 받게.,23,3,,,,,,,,4,,,Tutorial_Dialogue_19_10,0,
19,12,19012,1,3,,,,16,3,,1,,,,,,4,,,,0,
19,13,19013,1,2,Noble_02,마법학교 스승 유진,이 재료 장비를 선택하게.,3,3,,,,,BP_CharacterInfoBaseUI,CanvasPanelRight,TileViewItemList,1,,,Tutorial_Dialogue_19_11,0,
19,14,19014,0,0,Noble_02,마법학교 스승 유진,두 개의 재료가 준비되었으면 합성을 시작해 보도록 하지.,0,3,,,,,BP_EquipmentEnhancementUI,,ButtonComposition,4,,,Tutorial_Dialogue_19_12,0,
19,15,19015,0,0,Noble_02,마법학교 스승 유진,시간이 없네. 어서 서두르게.,0,3,,,,,BP_PopupMessageBoxUI,,ButtonOK,4,,,Tutorial_Dialogue_19_13,0,
19,16,19016,0,3,,,,16,3,,7000,,,,,,4,,,,0,
19,17,19017,0,3,Noble_02,마법학교 스승 유진,성공이야! 이제 준비가 다 된 것 같군.,23,3,,,,,,,,4,,,Tutorial_Dialogue_19_14,0,
19,18,19018,0,3,Noble_02,마법학교 스승 유진,"장비를 장착하는 것을 잊지 말게! 참! 합성은 <YellowBold>주 재료의 부위와 동일한 장비</>가 나오니, 참고하도록 하게! 그럼 행운을 비네!",23,3,,,,,,,,4,,,Tutorial_Dialogue_19_15,0,
