Id,SetId,CardNumber,CardLevel,ItemId,ItemCount,CostAdena,LevleUPRate,MaxAddRate,EffectType1,EffectParam1,EffectType2,EffectParam2,MonsterBookId
100604,6,3,1,3470175,10,30000,5500,10000,26,532,253,,177
100604,6,3,2,3470175,15,30000,3500,10000,26,1064,253,,177
100604,6,3,3,3470175,20,30000,2500,10000,26,1597,253,,177
100604,6,3,4,3470175,25,30000,1500,10000,26,2129,253,,177
100604,6,3,5,3470175,0,0,1,1,26,2662,253,,177
101001,10,2,0,3470086,1,30000,10000,10000,101,0,253,,64
101001,10,2,1,3470086,2,30000,5500,10000,101,107,253,,64
101001,10,2,2,3470086,3,30000,3500,10000,101,215,253,,64
101001,10,2,3,3470086,4,30000,2500,10000,101,323,253,,64
101001,10,2,4,3470086,5,30000,1500,10000,101,431,253,,64
101001,10,2,5,3470086,0,0,1,1,101,539,253,,64
101002,10,1,0,3470111,5,30000,10000,10000,60,0,253,,78
101002,10,1,1,3470111,10,30000,5500,10000,60,228,253,,78
101002,10,1,2,3470111,15,30000,3500,10000,60,456,253,,78
101002,10,1,3,3470111,20,30000,2500,10000,60,684,253,,78
101002,10,1,4,3470111,25,30000,1500,10000,60,912,253,,78
101002,10,1,5,3470111,0,0,1,1,60,1141,253,,78
101003,10,3,0,3470118,1,30000,10000,10000,1,0,2,0,129
101003,10,3,1,3470118,2,30000,5500,10000,1,86,2,86,129
101003,10,3,2,3470118,3,30000,3500,10000,1,173,2,173,129
101003,10,3,3,3470118,4,30000,2500,10000,1,260,2,260,129
101003,10,3,4,3470118,5,30000,1500,10000,1,347,2,347,129
101003,10,3,5,3470118,0,0,1,1,1,434,2,434,129
101401,14,1,0,3470085,5,30000,10000,10000,11,0,253,,63
101401,14,1,1,3470085,10,30000,5500,10000,11,80,253,,63
101401,14,1,2,3470085,15,30000,3500,10000,11,161,253,,63
101401,14,1,3,3470085,20,30000,2500,10000,11,242,253,,63
101401,14,1,4,3470085,25,30000,1500,10000,11,323,253,,63
101401,14,1,5,3470085,0,0,1,1,11,404,253,,63
101402,14,3,0,3470057,1,30000,10000,10000,29,0,253,,38
101402,14,3,1,3470057,2,30000,5500,10000,29,47,253,,38
101402,14,3,2,3470057,3,30000,3500,10000,29,94,253,,38
101402,14,3,3,3470057,4,30000,2500,10000,29,141,253,,38
101402,14,3,4,3470057,5,30000,1500,10000,29,188,253,,38
101402,14,3,5,3470057,0,0,1,1,29,235,253,,38
101403,14,4,0,3470148,1,30000,10000,10000,102,0,253,,130
101403,14,4,1,3470148,2,30000,5500,10000,102,378,253,,130
101403,14,4,2,3470148,3,30000,3500,10000,102,757,253,,130
101403,14,4,3,3470148,4,30000,2500,10000,102,1135,253,,130
101403,14,4,4,3470148,5,30000,1500,10000,102,1514,253,,130
101403,14,4,5,3470148,0,0,1,1,102,1893,253,,130
101404,14,2,0,3472142,2,30000,10000,10000,26,0,253,,226
101404,14,2,1,3472142,4,30000,5500,10000,26,762,253,,226
101404,14,2,2,3472142,6,30000,3500,10000,26,1524,253,,226
101404,14,2,3,3472142,8,30000,2500,10000,26,2286,253,,226
101404,14,2,4,3472142,10,30000,1500,10000,26,3048,253,,226
101404,14,2,5,3472142,0,0,1,1,26,3810,253,,226
101501,15,4,0,3470078,1,30000,10000,10000,10,0,253,,58
101501,15,4,1,3470078,2,30000,5500,10000,10,94,253,,58
101501,15,4,2,3470078,3,30000,3500,10000,10,189,253,,58
101501,15,4,3,3470078,4,30000,2500,10000,10,284,253,,58
101501,15,4,4,3470078,5,30000,1500,10000,10,379,253,,58
101501,15,4,5,3470078,0,0,1,1,10,474,253,,58
101502,15,1,0,3470112,5,30000,10000,10000,21,0,22,0,86
101502,15,1,1,3470112,10,30000,5500,10000,21,80,22,80,86
101502,15,1,2,3470112,15,30000,3500,10000,21,161,22,161,86
101502,15,1,3,3470112,20,30000,2500,10000,21,242,22,242,86
101502,15,1,4,3470112,25,30000,1500,10000,21,323,22,323,86
101502,15,1,5,3470112,0,0,1,1,21,404,22,404,86
101503,15,3,0,3472141,2,30000,10000,10000,101,0,253,,225
101503,15,3,1,3472141,4,30000,5500,10000,101,328,253,,225
101503,15,3,2,3472141,6,30000,3500,10000,101,657,253,,225
101503,15,3,3,3472141,8,30000,2500,10000,101,986,253,,225
101503,15,3,4,3472141,10,30000,1500,10000,101,1315,253,,225
101503,15,3,5,3472141,0,0,1,1,101,1644,253,,225
101504,15,2,0,3470204,5,30000,10000,10000,60,0,253,,219
101504,15,2,1,3470204,10,30000,5500,10000,60,694,253,,219
101504,15,2,2,3470204,15,30000,3500,10000,60,1389,253,,219
101504,15,2,3,3470204,20,30000,2500,10000,60,2083,253,,219
101504,15,2,4,3470204,25,30000,1500,10000,60,2778,253,,219
101504,15,2,5,3470204,0,0,1,1,60,3473,253,,219
101801,18,3,0,3472143,2,30000,10000,10000,60,0,253,,227
101801,18,3,1,3472143,4,30000,5500,10000,60,786,253,,227
101801,18,3,2,3472143,6,30000,3500,10000,60,1572,253,,227
101801,18,3,3,3472143,8,30000,2500,10000,60,2359,253,,227
101801,18,3,4,3472143,10,30000,1500,10000,60,3145,253,,227
101801,18,3,5,3472143,0,0,1,1,60,3932,253,,227
101802,18,4,0,3470127,1,30000,10000,10000,1,0,2,0,121
101802,18,4,1,3470127,2,30000,5500,10000,1,92,2,92,121
101802,18,4,2,3470127,3,30000,3500,10000,1,185,2,185,121
101802,18,4,3,3470127,4,30000,2500,10000,1,278,2,278,121
101802,18,4,4,3470127,5,30000,1500,10000,1,371,2,371,121
101802,18,4,5,3470127,0,0,1,1,1,464,2,464,121
101803,18,2,0,3472088,2,30000,10000,10000,58,0,253,,188
101803,18,2,1,3472088,4,30000,5500,10000,58,381,253,,188
101803,18,2,2,3472088,6,30000,3500,10000,58,763,253,,188
101803,18,2,3,3472088,8,30000,2500,10000,58,1145,253,,188
101803,18,2,4,3472088,10,30000,1500,10000,58,1527,253,,188
101803,18,2,5,3472088,0,0,1,1,58,1909,253,,188
101804,18,1,0,3470131,5,30000,10000,10000,11,0,253,,101
101804,18,1,1,3470131,10,30000,5500,10000,11,206,253,,101
101804,18,1,2,3470131,15,30000,3500,10000,11,412,253,,101
101804,18,1,3,3470131,20,30000,2500,10000,11,619,253,,101
101804,18,1,4,3470131,25,30000,1500,10000,11,825,253,,101
101804,18,1,5,3470131,0,0,1,1,11,1032,253,,101
