ItemInfoId,CraftStep,MaterialItemInfoId,MaterialItemCount,StepAddEffectIncreaseRate
130075,1,711101,250,250
130075,2,420011,10,250
130075,3,510104,5000,250
140015,0,702101,15,250
140015,1,712101,250,250
140015,2,420011,10,250
140015,3,510104,5000,250
140025,0,702102,15,250
140025,1,712101,250,250
140025,2,420011,10,250
140025,3,510104,5000,250
140035,0,702103,15,250
140035,1,712101,250,250
140035,2,420011,10,250
140035,3,510104,5000,250
140045,0,702104,15,250
140045,1,712102,250,250
140045,2,420011,10,250
140045,3,510104,5000,250
140055,0,702105,15,250
140055,1,712101,250,250
140055,2,420011,10,250
140055,3,510104,5000,250
140065,0,702106,15,250
140065,1,712102,250,250
140065,2,420011,10,250
140065,3,510104,5000,250
140075,0,702113,15,250
140075,1,712101,250,250
140075,2,420011,10,250
140075,3,510104,5000,250
150015,0,702107,15,250
150015,1,712101,250,250
150015,2,420011,10,250
150015,3,510104,5000,250
150025,0,702108,15,250
150025,1,712101,250,250
150025,2,420011,10,250
150025,3,510104,5000,250
150035,0,702109,15,250
150035,1,712101,250,250
150035,2,420011,10,250
150035,3,510104,5000,250
150045,0,702110,15,250
150045,1,712102,250,250
150045,2,420011,10,250
150045,3,510104,5000,250
150055,0,702111,15,250
150055,1,712101,250,250
150055,2,420011,10,250
150055,3,510104,5000,250
150065,0,702112,15,250
150065,1,712102,250,250
150065,2,420011,10,250
150065,3,510104,5000,250
150075,0,703101,15,250
150075,1,712101,250,250
150075,2,420011,10,250
150075,3,510104,5000,250
160015,0,703113,15,250
160015,1,713101,250,250
160015,2,420011,10,250
160015,3,510104,5000,250
160025,0,703114,15,250
160025,1,713101,250,250
160025,2,420011,10,250
160025,3,510104,5000,250
160035,0,703115,15,250
160035,1,713101,250,250
160035,2,420011,10,250
160035,3,510104,5000,250
160045,0,703116,15,250
160045,1,713102,250,250
160045,2,420011,10,250
160045,3,510104,5000,250
160055,0,703117,15,250
160055,1,713101,250,250
160055,2,420011,10,250
160055,3,510104,5000,250
160065,0,703118,15,250
160065,1,713102,250,250
160065,2,420011,10,250
160065,3,510104,5000,250
160075,0,703102,15,250
160075,1,713101,250,250
160075,2,420011,10,250
160075,3,510104,5000,250
210015,0,701201,10,250
210015,1,711201,150,250
210015,2,420012,10,250
210015,3,510105,3000,250
220015,0,701202,10,250
220015,1,711201,150,250
220015,2,420012,10,250
220015,3,510105,3000,250
230015,0,701203,10,250
230015,1,711201,150,250
230015,2,420012,10,250
230015,3,510105,3000,250
240015,0,701204,10,250
240015,1,711201,150,250
240015,2,420012,10,250
240015,3,510105,3000,250
210025,0,702201,10,250
210025,1,712201,150,250
210025,2,420012,10,250
210025,3,510105,3000,250
220025,0,702202,10,250
220025,1,712201,150,250
220025,2,420012,10,250
220025,3,510105,3000,250
230025,0,702203,10,250
230025,1,712201,150,250
230025,2,420012,10,250
230025,3,510105,3000,250
240025,0,702204,10,250
240025,1,712201,150,250
240025,2,420012,10,250
240025,3,510105,3000,250
210035,0,703201,10,250
210035,1,713201,150,250
210035,2,420012,10,250
210035,3,510105,3000,250
220035,0,703202,10,250
220035,1,713201,150,250
220035,2,420012,10,250
220035,3,510105,3000,250
230035,0,703203,10,250
230035,1,713201,150,250
230035,2,420012,10,250
230035,3,510105,3000,250
240035,0,703204,10,250
240035,1,713201,150,250
240035,2,420012,10,250
240035,3,510105,3000,250
210045,0,701205,10,250
210045,1,711201,150,250
210045,2,420012,10,250
210045,3,510105,3000,250
220045,0,701206,10,250
220045,1,711201,150,250
220045,2,420012,10,250
220045,3,510105,3000,250
230045,0,701207,10,250
230045,1,711201,150,250
230045,2,420012,10,250
230045,3,510105,3000,250
240045,0,701208,10,250
240045,1,711201,150,250
240045,2,420012,10,250
240045,3,510105,3000,250
210055,0,702205,10,250
210055,1,712201,150,250
210055,2,420012,10,250
210055,3,510105,3000,250
220055,0,702206,10,250
220055,1,712201,150,250
220055,2,420012,10,250
220055,3,510105,3000,250
230055,0,702207,10,250
230055,1,712201,150,250
230055,2,420012,10,250
230055,3,510105,3000,250
240055,0,702208,10,250
240055,1,712201,150,250
240055,2,420012,10,250
240055,3,510105,3000,250
210065,0,703205,10,250
210065,1,713201,150,250
210065,2,420012,10,250
210065,3,510105,3000,250
220065,0,703206,10,250
220065,1,713201,150,250
220065,2,420012,10,250
220065,3,510105,3000,250
230065,0,703207,10,250
230065,1,713201,150,250
230065,2,420012,10,250
230065,3,510105,3000,250
240065,0,703208,10,250
240065,1,713201,150,250
240065,2,420012,10,250
240065,3,510105,3000,250
210075,0,701209,10,250
210075,1,711202,150,250
210075,2,420012,10,250
210075,3,510105,3000,250
220075,0,701210,10,250
220075,1,711202,150,250
220075,2,420012,10,250
220075,3,510105,3000,250
230075,0,701211,10,250
230075,1,711202,150,250
230075,2,420012,10,250
230075,3,510105,3000,250
240075,0,701212,10,250
240075,1,711202,150,250
240075,2,420012,10,250
240075,3,510105,3000,250
210085,0,702209,10,250
210085,1,712202,150,250
210085,2,420012,10,250
210085,3,510105,3000,250
220085,0,702210,10,250
220085,1,712202,150,250
220085,2,420012,10,250
220085,3,510105,3000,250
230085,0,702211,10,250
230085,1,712202,150,250
230085,2,420012,10,250
230085,3,510105,3000,250
240085,0,702212,10,250
240085,1,712202,150,250
240085,2,420012,10,250
240085,3,510105,3000,250
210095,0,703209,10,250
210095,1,713202,150,250
210095,2,420012,10,250
210095,3,510105,3000,250
220095,0,703210,10,250
220095,1,713202,150,250
220095,2,420012,10,250
220095,3,510105,3000,250
230095,0,703211,10,250
230095,1,713202,150,250
230095,2,420012,10,250
230095,3,510105,3000,250
240095,0,703212,10,250
240095,1,713202,150,250
240095,2,420012,10,250
240095,3,510105,3000,250
210105,0,701213,10,250
210105,1,711201,150,250
210105,2,420012,10,250
210105,3,510105,3000,250
220105,0,701214,10,250
220105,1,711201,150,250
220105,2,420012,10,250
220105,3,510105,3000,250
230105,0,701215,10,250
230105,1,711201,150,250
230105,2,420012,10,250
230105,3,510105,3000,250
240105,0,701216,10,250
240105,1,711201,150,250
240105,2,420012,10,250
240105,3,510105,3000,250
210115,0,702213,10,250
210115,1,712201,150,250
210115,2,420012,10,250
210115,3,510105,3000,250
220115,0,702214,10,250
220115,1,712201,150,250
220115,2,420012,10,250
220115,3,510105,3000,250
230115,0,702215,10,250
230115,1,712201,150,250
230115,2,420012,10,250
230115,3,510105,3000,250
240115,0,702216,10,250
240115,1,712201,150,250
240115,2,420012,10,250
240115,3,510105,3000,250
210125,0,703213,10,250
210125,1,713201,150,250
210125,2,420012,10,250
210125,3,510105,3000,250
220125,0,703214,10,250
220125,1,713201,150,250
220125,2,420012,10,250
220125,3,510105,3000,250
230125,0,703215,10,250
230125,1,713201,150,250
230125,2,420012,10,250
230125,3,510105,3000,250
240125,0,703216,10,250
240125,1,713201,150,250
240125,2,420012,10,250
240125,3,510105,3000,250
210135,0,701217,10,250
210135,1,711201,150,250
210135,2,420012,10,250
210135,3,510105,3000,250
220135,0,701218,10,250
220135,1,711201,150,250
220135,2,420012,10,250
220135,3,510105,3000,250
230135,0,701219,10,250
230135,1,711201,150,250
230135,2,420012,10,250
230135,3,510105,3000,250
240135,0,701220,10,250
240135,1,711201,150,250
240135,2,420012,10,250
240135,3,510105,3000,250
210145,0,702217,10,250
210145,1,712201,150,250
210145,2,420012,10,250
210145,3,510105,3000,250
220145,0,702218,10,250
220145,1,712201,150,250
220145,2,420012,10,250
220145,3,510105,3000,250
230145,0,702219,10,250
230145,1,712201,150,250
230145,2,420012,10,250
230145,3,510105,3000,250
240145,0,702220,10,250
240145,1,712201,150,250
240145,2,420012,10,250
240145,3,510105,3000,250
210155,0,703217,10,250
210155,1,713201,150,250
210155,2,420012,10,250
210155,3,510105,3000,250
220155,0,703218,10,250
220155,1,713201,150,250
220155,2,420012,10,250
220155,3,510105,3000,250
230155,0,703219,10,250
230155,1,713201,150,250
230155,2,420012,10,250
230155,3,510105,3000,250
240155,0,703220,10,250
240155,1,713201,150,250
240155,2,420012,10,250
240155,3,510105,3000,250
310006,0,700001,10,200
310006,1,710001,150,200
310006,2,420013,10,200
310006,3,510106,3000,200
310006,4,700901,150,200
320006,0,700002,10,200
320006,1,710001,150,200
320006,2,420013,10,200
320006,3,510106,3000,200
320006,4,700901,150,200
330006,0,700003,10,200
330006,1,710001,150,200
330006,2,420013,10,200
330006,3,510106,3000,200
330006,4,700901,150,200
310016,0,700004,10,200
310016,1,710001,150,200
310016,2,420013,10,200
310016,3,510106,3000,200
310016,4,700902,150,200
320016,0,700005,10,200
320016,1,710001,150,200
320016,2,420013,10,200
320016,3,510106,3000,200
320016,4,700902,150,200
330016,0,700006,10,200
330016,1,710001,150,200
330016,2,420013,10,200
330016,3,510106,3000,200
330016,4,700902,150,200
310026,0,700007,10,200
310026,1,710001,150,200
310026,2,420013,10,200
310026,3,510106,3000,200
310026,4,700903,150,200
320026,0,700008,10,200
320026,1,710001,150,200
320026,2,420013,10,200
320026,3,510106,3000,200
320026,4,700903,150,200
330026,0,700009,10,200
330026,1,710001,150,200
330026,2,420013,10,200
330026,3,510106,3000,200
330026,4,700903,150,200
310036,0,700010,10,200
310036,1,710001,150,200
310036,2,420013,10,200
310036,3,510106,3000,200
310036,4,700904,150,200
320036,0,700011,10,200
320036,1,710001,150,200
320036,2,420013,10,200
320036,3,510106,3000,200
320036,4,700904,150,200
330036,0,700012,10,200
330036,1,710001,150,200
330036,2,420013,10,200
330036,3,510106,3000,200
330036,4,700904,150,200
310046,0,700013,10,200
310046,1,710001,150,200
310046,2,420013,10,200
310046,3,510106,3000,200
310046,4,700905,150,200
320046,0,700014,10,200
320046,1,710001,150,200
320046,2,420013,10,200
320046,3,510106,3000,200
320046,4,700905,150,200
330046,0,700015,10,200
330046,1,710001,150,200
330046,2,420013,10,200
330046,3,510106,3000,200
330046,4,700905,150,200
310056,0,700016,10,200
310056,1,710001,150,200
310056,2,420013,10,200
310056,3,510106,3000,200
310056,4,700906,150,200
320056,0,700017,10,200
320056,1,710001,150,200
320056,2,420013,10,200
320056,3,510106,3000,200
320056,4,700906,150,200
330056,0,700018,10,200
330056,1,710001,150,200
330056,2,420013,10,200
330056,3,510106,3000,200
330056,4,700906,150,200
310066,0,700019,10,200
310066,1,710002,150,200
310066,2,420013,10,200
310066,3,510106,3000,200
310066,4,700907,150,200
320066,0,700020,10,200
320066,1,710002,150,200
320066,2,420013,10,200
320066,3,510106,3000,200
320066,4,700907,150,200
330066,0,700021,10,200
330066,1,710002,150,200
330066,2,420013,10,200
330066,3,510106,3000,200
330066,4,700907,150,200
