Id,EquipEffectDescription,EquipEffectBuffName,EquipEffectBuffDescription
7100221,@7100201,@7100201,@7100201
7100222,@7100201,@7100201,@7100201
7100223,@7100201,@7100201,@7100201
7100224,@7100201,@7100201,@7100201
7100225,@7100201,@7100201,@7100201
7100226,@7100201,@7100201,@7100201
7100227,@7100201,@7100201,@7100201
7100228,@7100201,@7100201,@7100201
7100229,@7100201,@7100201,@7100201
7100230,@7100201,@7100201,@7100201
7100301,"<Fontblue>{ViewEffectParam1}</> de probabilidades de
adquirir un <Fontblue>Regalo del jardín</> adicional al extraer.

(Aplica en: Hoyo de extracción)",Efecto de Capa de jardín,<Fontblue>{ViewEffectParam1}</> de probabilidades de adquirir un <Fontblue>Regalo del jardín</> adicional al extraer.
7100302,@7100301,@7100301,@7100301
7100303,@7100301,@7100301,@7100301
7100304,@7100301,@7100301,@7100301
7100305,@7100301,@7100301,@7100301
7100306,@7100301,@7100301,@7100301
7100307,@7100301,@7100301,@7100301
7100308,@7100301,@7100301,@7100301
7100309,@7100301,@7100301,@7100301
7100310,@7100301,@7100301,@7100301
7100311,@7100301,@7100301,@7100301
7100312,@7100301,@7100301,@7100301
7100313,@7100301,@7100301,@7100301
7100314,@7100301,@7100301,@7100301
7100315,@7100301,@7100301,@7100301
7100316,@7100301,@7100301,@7100301
7100317,@7100301,@7100301,@7100301
7100318,@7100301,@7100301,@7100301
7100319,@7100301,@7100301,@7100301
7100320,@7100301,@7100301,@7100301
7100321,@7100301,@7100301,@7100301
7100322,@7100301,@7100301,@7100301
7100323,@7100301,@7100301,@7100301
7100324,@7100301,@7100301,@7100301
7100325,@7100301,@7100301,@7100301
7100326,@7100301,@7100301,@7100301
7100327,@7100301,@7100301,@7100301
7100328,@7100301,@7100301,@7100301
7100329,@7100301,@7100301,@7100301
7100330,@7100301,@7100301,@7100301
7100401,"Al usar una habilidad normal, <Fontblue>{ViewEffectParam1}</> de probabilidades de
reiniciar el enfriamiento de la <Fontblue>habilidad normal usada más recientemente</>,
permitiendo usarla de nuevo de inmediato.

(El efecto se activa una vez cada <Fontblue>{ViewEffectParam2} seg.</>)
(Aplica en: Todas partes)",Efecto de Capa Heroica,"Al usar una habilidad normal, <Fontblue>{ViewEffectParam1}</> de probabilidades de
reiniciar el enfriamiento de la <Fontblue>habilidad normal usada más recientemente</>. Enfriamiento: {ViewEffectParam2} seg."
7100402,@7100401,@7100401,@7100401
7100403,@7100401,@7100401,@7100401
7100404,@7100401,@7100401,@7100401
7100405,@7100401,@7100401,@7100401
7100406,@7100401,@7100401,@7100401
7100407,@7100401,@7100401,@7100401
7100408,@7100401,@7100401,@7100401
7100409,@7100401,@7100401,@7100401
7100410,@7100401,@7100401,@7100401
7100411,@7100401,@7100401,@7100401
7100412,@7100401,@7100401,@7100401
7100413,@7100401,@7100401,@7100401
7100414,@7100401,@7100401,@7100401
7100415,@7100401,@7100401,@7100401
7100416,@7100401,@7100401,@7100401
7100417,@7100401,@7100401,@7100401
7100418,@7100401,@7100401,@7100401
7100419,@7100401,@7100401,@7100401
7100420,@7100401,@7100401,@7100401
7100421,@7100401,@7100401,@7100401
7100422,@7100401,@7100401,@7100401
7100423,@7100401,@7100401,@7100401
7100424,@7100401,@7100401,@7100401
7100425,@7100401,@7100401,@7100401
7100426,@7100401,@7100401,@7100401
7100427,@7100401,@7100401,@7100401
7100428,@7100401,@7100401,@7100401
7100429,@7100401,@7100401,@7100401
7100430,@7100401,@7100401,@7100401
7100601,"Al recibir daño de un monstruo, <Fontblue>{ViewEffectParam1}</> de probabilidades de activar un escudo que dura <Fontblue>12 s</>. Defiende contra el ataque de habilidad del monstruo <Fontblue>{ViewEffectParam2} vez/veces</> mientras el escudo está activo.

(El efecto se activa una vez cada 3 minutos).
(Aplica en: Campo/jefe de mundo/Mazmorra de Élite/Grieta Temporal/mazmorra de clan/Mazmorra de monstruos/Torre de la insolencia/Mazmorra diaria/Hoyo de Extracción/Guardián del templo/Cámara de adenas/Círculo de invocación)",Efecto de Capa de destrucción roja,"Al recibir daño de un monstruo, <Fontblue>{ViewEffectParam1}</> de probabilidades de activar un escudo que bloquea <Fontblue> el ataque de habilidad de un monstruo {ViewEffectParam2} vez/veces</>. Enfriamiento: 3 min."
7100602,@7100601,@7100601,@7100601
7100603,@7100601,@7100601,@7100601
7100604,@7100601,@7100601,@7100601
7100605,@7100601,@7100601,@7100601
7100606,@7100601,@7100601,@7100601
7100607,@7100601,@7100601,@7100601
7100608,@7100601,@7100601,@7100601
7100609,@7100601,@7100601,@7100601
7100610,@7100601,@7100601,@7100601
7100611,@7100601,@7100601,@7100601
7100612,@7100601,@7100601,@7100601
7100613,@7100601,@7100601,@7100601
7100614,@7100601,@7100601,@7100601
7100615,@7100601,@7100601,@7100601
7100616,@7100601,@7100601,@7100601
7100617,@7100601,@7100601,@7100601
7100618,@7100601,@7100601,@7100601
7100619,@7100601,@7100601,@7100601
7100620,@7100601,@7100601,@7100601
7100621,@7100601,@7100601,@7100601
7100622,@7100601,@7100601,@7100601
7100623,@7100601,@7100601,@7100601
7100624,@7100601,@7100601,@7100601
7100625,@7100601,@7100601,@7100601
7100626,@7100601,@7100601,@7100601
7100627,@7100601,@7100601,@7100601
7100628,@7100601,@7100601,@7100601
7100629,@7100601,@7100601,@7100601
7100630,@7100601,@7100601,@7100601
7100701,"Al recibir daño de jugador, <Fontblue>{ViewEffectParam1}</> de probabilidades de activar un escudo que dura <Fontblue>7 s</>. Defiende contra habilidades poco comunes <Fontblue>{ViewEffectParam2} vez/veces</> mientras el escudo está activo.

(El efecto se activa una vez cada 5 minutos).
(Aplica en: Arena/Batalla de honor/Asedio a la fortaleza/Asedio al castillo/arena de escaramuza/Sala del clan/Hoyo de Extracción)",Efecto de Capa de sangre virtuosa,"Al recibir daño de un jugador, <Fontblue>{ViewEffectParam1}</> de probabilidades de activar un escudo que bloquea <Fontblue> el ataque de habilidad poco común {ViewEffectParam2} vez/veces</>. Enfriamiento: 5 min."
7100702,@7100701,@7100701,@7100701
7100703,@7100701,@7100701,@7100701
7100704,@7100701,@7100701,@7100701
7100705,@7100701,@7100701,@7100701
7100706,@7100701,@7100701,@7100701
7100707,@7100701,@7100701,@7100701
7100708,@7100701,@7100701,@7100701
7100709,@7100701,@7100701,@7100701
7100710,@7100701,@7100701,@7100701
7100711,@7100701,@7100701,@7100701
7100712,@7100701,@7100701,@7100701
7100713,@7100701,@7100701,@7100701
7100714,@7100701,@7100701,@7100701
7100715,@7100701,@7100701,@7100701
7100716,@7100701,@7100701,@7100701
7100717,@7100701,@7100701,@7100701
7100718,@7100701,@7100701,@7100701
7100719,@7100701,@7100701,@7100701
7100720,@7100701,@7100701,@7100701
7100721,@7100701,@7100701,@7100701
7100722,@7100701,@7100701,@7100701
7100723,@7100701,@7100701,@7100701
7100724,@7100701,@7100701,@7100701
7100725,@7100701,@7100701,@7100701
7100726,@7100701,@7100701,@7100701
7100727,@7100701,@7100701,@7100701
7100728,@7100701,@7100701,@7100701
7100729,@7100701,@7100701,@7100701
7100730,@7100701,@7100701,@7100701
