ItemGrade,EquipmentType,Level,RewardType1,MinRewardCount1
1,7,3,4,6
1,7,4,4,7
1,7,5,4,8
1,7,6,4,9
1,7,7,4,10
1,7,8,4,11
1,7,9,4,13
1,7,10,4,15
1,7,11,4,17
1,7,12,4,19
1,7,13,4,21
1,7,14,4,24
1,7,15,4,27
1,7,16,4,30
1,7,17,4,33
1,7,18,4,37
1,7,19,4,41
1,7,20,4,46
2,1,0,4,5
2,1,1,4,6
2,1,2,4,7
2,1,3,4,8
2,1,4,4,9
2,1,5,4,10
2,1,6,4,11
2,1,7,4,13
2,1,8,4,15
2,1,9,4,17
2,1,10,4,19
2,1,11,4,21
2,1,12,4,24
2,1,13,4,27
2,1,14,4,30
2,1,15,4,33
2,1,16,4,37
2,1,17,4,41
2,1,18,4,46
2,1,19,4,51
2,1,20,4,57
2,2,0,4,5
2,2,1,4,6
2,2,2,4,7
2,2,3,4,8
2,2,4,4,9
2,2,5,4,10
2,2,6,4,11
2,2,7,4,13
2,2,8,4,15
2,2,9,4,17
2,2,10,4,19
2,2,11,4,21
2,2,12,4,24
2,2,13,4,27
2,2,14,4,30
2,2,15,4,33
2,2,16,4,37
2,2,17,4,41
2,2,18,4,46
2,2,19,4,51
2,2,20,4,57
2,6,0,4,2
2,6,1,4,3
2,6,2,4,4
2,6,3,4,5
2,6,4,4,6
2,6,5,4,7
2,6,6,4,8
2,6,7,4,9
2,6,8,4,10
2,6,9,4,11
2,6,10,4,13
2,6,11,4,15
2,6,12,4,17
2,6,13,4,19
2,6,14,4,21
2,6,15,4,24
2,6,16,4,27
2,6,17,4,30
2,6,18,4,33
2,6,19,4,37
2,6,20,4,41
2,8,0,4,2
2,8,1,4,3
2,8,2,4,4
2,8,3,4,5
2,8,4,4,6
2,8,5,4,7
2,8,6,4,8
2,8,7,4,9
2,8,8,4,10
2,8,9,4,11
2,8,10,4,13
2,8,11,4,15
2,8,12,4,17
2,8,13,4,19
2,8,14,4,21
2,8,15,4,24
2,8,16,4,27
2,8,17,4,30
2,8,18,4,33
2,8,19,4,37
2,8,20,4,41
2,0,0,4,3
2,0,1,4,4
2,0,2,4,5
2,0,3,4,6
2,0,4,4,7
2,0,5,4,8
2,0,6,4,9
2,0,7,4,10
2,0,8,4,11
2,0,9,4,13
2,0,10,4,15
2,0,11,4,17
2,0,12,4,19
2,0,13,4,21
2,0,14,4,24
2,0,15,4,27
2,0,16,4,30
2,0,17,4,33
2,0,18,4,37
2,0,19,4,41
2,0,20,4,46
2,9,0,4,5
2,9,1,4,6
2,9,2,4,7
2,9,3,4,8
2,9,4,4,9
2,9,5,4,10
2,9,6,4,11
2,9,7,4,13
2,9,8,4,15
2,9,9,4,17
2,9,10,4,19
2,9,11,4,21
2,9,12,4,24
2,9,13,4,27
2,9,14,4,30
2,9,15,4,33
2,9,16,4,37
2,9,17,4,41
2,9,18,4,46
2,9,19,4,51
2,9,20,4,57
2,4,0,4,5
2,4,1,4,6
2,4,2,4,7
2,4,3,4,8
2,4,4,4,9
2,4,5,4,10
2,4,6,4,11
2,4,7,4,13
2,4,8,4,15
2,4,9,4,17
2,4,10,4,19
2,4,11,4,21
2,4,12,4,24
2,4,13,4,27
2,4,14,4,30
2,4,15,4,33
2,4,16,4,37
2,4,17,4,41
2,4,18,4,46
2,4,19,4,51
2,4,20,4,57
2,7,0,4,5
2,7,1,4,6
2,7,2,4,7
2,7,3,4,8
2,7,4,4,9
2,7,5,4,10
2,7,6,4,11
2,7,7,4,13
2,7,8,4,15
2,7,9,4,17
2,7,10,4,19
2,7,11,4,21
2,7,12,4,24
2,7,13,4,27
2,7,14,4,30
2,7,15,4,33
2,7,16,4,37
2,7,17,4,41
2,7,18,4,46
2,7,19,4,51
2,7,20,4,57
3,1,0,4,8
3,1,1,4,9
3,1,2,4,10
3,1,3,4,11
3,1,4,4,13
3,1,5,4,15
3,1,6,4,17
3,1,7,4,19
3,1,8,4,21
3,1,9,4,24
3,1,10,4,27
3,1,11,4,30
3,1,12,4,33
3,1,13,4,37
3,1,14,4,41
3,1,15,4,46
3,1,16,4,51
3,1,17,4,57
3,1,18,4,63
3,1,19,4,70
3,1,20,4,77
3,2,0,4,8
3,2,1,4,9
3,2,2,4,10
3,2,3,4,11
3,2,4,4,13
3,2,5,4,15
3,2,6,4,17
3,2,7,4,19
3,2,8,4,21
3,2,9,4,24
3,2,10,4,27
3,2,11,4,30
3,2,12,4,33
3,2,13,4,37
3,2,14,4,41
3,2,15,4,46
3,2,16,4,51
3,2,17,4,57
3,2,18,4,63
3,2,19,4,70
3,2,20,4,77
3,6,0,4,3
3,6,1,4,4
3,6,2,4,5
3,6,3,4,6
3,6,4,4,7
3,6,5,4,8
3,6,6,4,9
3,6,7,4,10
3,6,8,4,11
3,6,9,4,13
3,6,10,4,15
3,6,11,4,17
3,6,12,4,19
3,6,13,4,21
3,6,14,4,24
3,6,15,4,27
3,6,16,4,30
3,6,17,4,33
3,6,18,4,37
3,6,19,4,41
3,6,20,4,46
3,8,0,4,3
3,8,1,4,4
3,8,2,4,5
3,8,3,4,6
3,8,4,4,7
3,8,5,4,8
3,8,6,4,9
3,8,7,4,10
3,8,8,4,11
3,8,9,4,13
3,8,10,4,15
3,8,11,4,17
3,8,12,4,19
3,8,13,4,21
3,8,14,4,24
3,8,15,4,27
3,8,16,4,30
3,8,17,4,33
3,8,18,4,37
3,8,19,4,41
3,8,20,4,46
3,0,0,4,5
3,0,1,4,6
3,0,2,4,7
3,0,3,4,8
3,0,4,4,9
3,0,5,4,10
3,0,6,4,11
3,0,7,4,13
3,0,8,4,15
3,0,9,4,17
3,0,10,4,19
3,0,11,4,21
3,0,12,4,24
3,0,13,4,27
3,0,14,4,30
3,0,15,4,33
3,0,16,4,37
3,0,17,4,41
3,0,18,4,46
3,0,19,4,51
3,0,20,4,57
3,9,0,4,8
3,9,1,4,9
3,9,2,4,10
3,9,3,4,11
3,9,4,4,13
3,9,5,4,15
3,9,6,4,17
3,9,7,4,19
3,9,8,4,21
3,9,9,4,24
3,9,10,4,27
3,9,11,4,30
3,9,12,4,33
3,9,13,4,37
3,9,14,4,41
3,9,15,4,46
3,9,16,4,51
3,9,17,4,57
3,9,18,4,63
3,9,19,4,70
3,9,20,4,77
3,4,0,4,8
3,4,1,4,9
3,4,2,4,10
3,4,3,4,11
3,4,4,4,13
3,4,5,4,15
3,4,6,4,17
3,4,7,4,19
3,4,8,4,21
3,4,9,4,24
3,4,10,4,27
3,4,11,4,30
3,4,12,4,33
3,4,13,4,37
3,4,14,4,41
3,4,15,4,46
3,4,16,4,51
3,4,17,4,57
3,4,18,4,63
3,4,19,4,70
3,4,20,4,77
3,7,0,4,8
3,7,1,4,9
3,7,2,4,10
3,7,3,4,11
3,7,4,4,13
3,7,5,4,15
3,7,6,4,17
3,7,7,4,19
3,7,8,4,21
3,7,9,4,24
3,7,10,4,27
3,7,11,4,30
3,7,12,4,33
3,7,13,4,37
3,7,14,4,41
3,7,15,4,46
3,7,16,4,51
3,7,17,4,57
3,7,18,4,63
3,7,19,4,70
3,7,20,4,77
4,1,0,4,12
4,1,1,4,14
4,1,2,4,16
4,1,3,4,18
4,1,4,4,20
4,1,5,4,22
4,1,6,4,25
4,1,7,4,28
4,1,8,4,31
4,1,9,4,35
4,1,10,4,39
4,1,11,4,43
4,1,12,4,48
4,1,13,4,53
4,1,14,4,59
4,1,15,4,65
4,1,16,4,72
4,1,17,4,80
4,1,18,4,88
4,1,19,4,97
4,1,20,4,107
4,2,0,4,12
4,2,1,4,14
4,2,2,4,16
4,2,3,4,18
4,2,4,4,20
4,2,5,4,22
4,2,6,4,25
4,2,7,4,28
4,2,8,4,31
4,2,9,4,35
4,2,10,4,39
4,2,11,4,43
4,2,12,4,48
4,2,13,4,53
4,2,14,4,59
4,2,15,4,65
4,2,16,4,72
4,2,17,4,80
4,2,18,4,88
4,2,19,4,97
4,2,20,4,107
4,6,0,4,5
4,6,1,4,6
4,6,2,4,7
4,6,3,4,8
4,6,4,4,9
4,6,5,4,10
4,6,6,4,11
4,6,7,4,13
4,6,8,4,15
4,6,9,4,17
4,6,10,4,19
4,6,11,4,21
4,6,12,4,24
4,6,13,4,27
4,6,14,4,30
4,6,15,4,33
4,6,16,4,37
4,6,17,4,41
4,6,18,4,46
4,6,19,4,51
4,6,20,4,57
4,8,0,4,5
4,8,1,4,6
4,8,2,4,7
4,8,3,4,8
4,8,4,4,9
4,8,5,4,10
4,8,6,4,11
4,8,7,4,13
4,8,8,4,15
4,8,9,4,17
4,8,10,4,19
4,8,11,4,21
4,8,12,4,24
4,8,13,4,27
4,8,14,4,30
4,8,15,4,33
4,8,16,4,37
4,8,17,4,41
4,8,18,4,46
4,8,19,4,51
4,8,20,4,57
4,0,0,4,8
4,0,1,4,9
4,0,2,4,10
4,0,3,4,11
4,0,4,4,13
4,0,5,4,15
4,0,6,4,17
4,0,7,4,19
4,0,8,4,21
4,0,9,4,24
4,0,10,4,27
4,0,11,4,30
4,0,12,4,33
4,0,13,4,37
4,0,14,4,41
4,0,15,4,46
4,0,16,4,51
4,0,17,4,57
4,0,18,4,63
4,0,19,4,70
4,0,20,4,77
4,9,0,4,12
4,9,1,4,14
4,9,2,4,16
4,9,3,4,18
4,9,4,4,20
4,9,5,4,22
4,9,6,4,25
4,9,7,4,28
4,9,8,4,31
4,9,9,4,35
4,9,10,4,39
4,9,11,4,43
4,9,12,4,48
4,9,13,4,53
4,9,14,4,59
4,9,15,4,65
4,9,16,4,72
4,9,17,4,80
4,9,18,4,88
4,9,19,4,97
4,9,20,4,107
4,4,0,4,12
4,4,1,4,14
4,4,2,4,16
4,4,3,4,18
4,4,4,4,20
4,4,5,4,22
4,4,6,4,25
4,4,7,4,28
4,4,8,4,31
4,4,9,4,35
4,4,10,4,39
4,4,11,4,43
4,4,12,4,48
4,4,13,4,53
4,4,14,4,59
4,4,15,4,65
4,4,16,4,72
4,4,17,4,80
4,4,18,4,88
4,4,19,4,97
4,4,20,4,107
4,7,0,4,12
4,7,1,4,14
4,7,2,4,16
4,7,3,4,18
4,7,4,4,20
4,7,5,4,22
4,7,6,4,25
4,7,7,4,28
4,7,8,4,31
4,7,9,4,35
4,7,10,4,39
4,7,11,4,43
4,7,12,4,48
4,7,13,4,53
4,7,14,4,59
4,7,15,4,65
4,7,16,4,72
4,7,17,4,80
4,7,18,4,88
4,7,19,4,97
4,7,20,4,107
5,1,0,4,18
5,1,1,4,20
5,1,2,4,22
5,1,3,4,25
5,1,4,4,28
5,1,5,4,31
5,1,6,4,35
5,1,7,4,39
5,1,8,4,43
5,1,9,4,48
5,1,10,4,53
5,1,11,4,59
5,1,12,4,65
5,1,13,4,72
5,1,14,4,80
5,1,15,4,88
5,1,16,4,97
5,1,17,4,107
5,1,18,4,118
5,1,19,4,130
5,1,20,4,143
5,2,0,4,18
5,2,1,4,20
5,2,2,4,22
5,2,3,4,25
5,2,4,4,28
5,2,5,4,31
5,2,6,4,35
5,2,7,4,39
5,2,8,4,43
5,2,9,4,48
5,2,10,4,53
5,2,11,4,59
5,2,12,4,65
5,2,13,4,72
5,2,14,4,80
5,2,15,4,88
5,2,16,4,97
5,2,17,4,107
5,2,18,4,118
5,2,19,4,130
5,2,20,4,143
5,6,0,4,8
5,6,1,4,9
5,6,2,4,10
5,6,3,4,11
5,6,4,4,13
5,6,5,4,15
5,6,6,4,17
5,6,7,4,19
5,6,8,4,21
5,6,9,4,24
5,6,10,4,27
5,6,11,4,30
5,6,12,4,33
5,6,13,4,37
5,6,14,4,41
5,6,15,4,46
5,6,16,4,51
5,6,17,4,57
5,6,18,4,63
5,6,19,4,70
5,6,20,4,77
5,8,0,4,8
5,8,1,4,9
5,8,2,4,10
5,8,3,4,11
5,8,4,4,13
5,8,5,4,15
5,8,6,4,17
5,8,7,4,19
5,8,8,4,21
5,8,9,4,24
5,8,10,4,27
5,8,11,4,30
5,8,12,4,33
5,8,13,4,37
5,8,14,4,41
5,8,15,4,46
5,8,16,4,51
5,8,17,4,57
5,8,18,4,63
5,8,19,4,70
5,8,20,4,77
5,0,0,4,12
5,0,1,4,14
5,0,2,4,16
5,0,3,4,18
5,0,4,4,20
5,0,5,4,22
5,0,6,4,25
5,0,7,4,28
5,0,8,4,31
5,0,9,4,35
5,0,10,4,39
5,0,11,4,43
5,0,12,4,48
5,0,13,4,53
5,0,14,4,59
5,0,15,4,65
5,0,16,4,72
5,0,17,4,80
5,0,18,4,88
5,0,19,4,97
5,0,20,4,107
5,9,0,4,18
5,9,1,4,20
5,9,2,4,22
5,9,3,4,25
5,9,4,4,28
5,9,5,4,31
5,9,6,4,35
5,9,7,4,39
5,9,8,4,43
5,9,9,4,48
5,9,10,4,53
5,9,11,4,59
5,9,12,4,65
5,9,13,4,72
5,9,14,4,80
5,9,15,4,88
5,9,16,4,97
5,9,17,4,107
5,9,18,4,118
5,9,19,4,130
5,9,20,4,143
5,4,0,4,18
5,4,1,4,20
5,4,2,4,22
5,4,3,4,25
5,4,4,4,28
5,4,5,4,31
5,4,6,4,35
5,4,7,4,39
5,4,8,4,43
5,4,9,4,48
5,4,10,4,53
5,4,11,4,59
5,4,12,4,65
5,4,13,4,72
5,4,14,4,80
5,4,15,4,88
5,4,16,4,97
5,4,17,4,107
5,4,18,4,118
5,4,19,4,130
5,4,20,4,143
5,7,0,4,18
5,7,1,4,20
5,7,2,4,22
5,7,3,4,25
5,7,4,4,28
5,7,5,4,31
5,7,6,4,35
5,7,7,4,39
5,7,8,4,43
5,7,9,4,48
5,7,10,4,53
5,7,11,4,59
5,7,12,4,65
5,7,13,4,72
5,7,14,4,80
5,7,15,4,88
5,7,16,4,97
5,7,17,4,107
5,7,18,4,118
5,7,19,4,130
5,7,20,4,143
6,1,0,4,36
6,1,1,4,40
6,1,2,4,44
6,1,3,4,49
6,1,4,4,54
6,1,5,4,60
6,1,6,4,66
6,1,7,4,73
6,1,8,4,81
6,1,9,4,90
6,1,10,4,99
6,1,11,4,109
6,1,12,4,120
6,1,13,4,132
6,1,14,4,146
6,1,15,4,161
6,1,16,4,178
6,1,17,4,196
6,1,18,4,216
6,1,19,4,238
6,1,20,4,262
6,2,0,4,36
6,2,1,4,40
6,2,2,4,44
6,2,3,4,49
6,2,4,4,54
6,2,5,4,60
6,2,6,4,66
6,2,7,4,73
6,2,8,4,81
6,2,9,4,90
6,2,10,4,99
6,2,11,4,109
6,2,12,4,120
6,2,13,4,132
6,2,14,4,146
6,2,15,4,161
6,2,16,4,178
6,2,17,4,196
6,2,18,4,216
6,2,19,4,238
6,2,20,4,262
6,6,0,4,16
6,6,1,4,18
6,6,2,4,20
6,6,3,4,22
6,6,4,4,25
6,6,5,4,28
6,6,6,4,31
6,6,7,4,35
6,6,8,4,39
6,6,9,4,43
6,6,10,4,48
6,6,11,4,53
6,6,12,4,59
6,6,13,4,65
6,6,14,4,72
6,6,15,4,80
6,6,16,4,88
6,6,17,4,97
6,6,18,4,107
6,6,19,4,118
6,6,20,4,130
6,8,0,4,16
6,8,1,4,18
6,8,2,4,20
6,8,3,4,22
6,8,4,4,25
6,8,5,4,28
6,8,6,4,31
6,8,7,4,35
6,8,8,4,39
6,8,9,4,43
6,8,10,4,48
6,8,11,4,53
6,8,12,4,59
6,8,13,4,65
6,8,14,4,72
6,8,15,4,80
6,8,16,4,88
6,8,17,4,97
6,8,18,4,107
6,8,19,4,118
6,8,20,4,130
6,0,0,4,24
6,0,1,4,27
6,0,2,4,30
6,0,3,4,33
6,0,4,4,37
6,0,5,4,41
6,0,6,4,46
6,0,7,4,51
6,0,8,4,57
6,0,9,4,63
6,0,10,4,70
6,0,11,4,77
6,0,12,4,85
6,0,13,4,94
6,0,14,4,104
6,0,15,4,115
6,0,16,4,127
6,0,17,4,140
6,0,18,4,154
6,0,19,4,170
6,0,20,4,187
6,9,0,4,36
6,9,1,4,40
6,9,2,4,44
6,9,3,4,49
6,9,4,4,54
6,9,5,4,60
6,9,6,4,66
6,9,7,4,73
6,9,8,4,81
6,9,9,4,90
6,9,10,4,99
6,9,11,4,109
6,9,12,4,120
6,9,13,4,132
6,9,14,4,146
6,9,15,4,161
6,9,16,4,178
6,9,17,4,196
6,9,18,4,216
6,9,19,4,238
6,9,20,4,262
6,4,0,4,36
6,4,1,4,40
6,4,2,4,44
6,4,3,4,49
6,4,4,4,54
6,4,5,4,60
6,4,6,4,66
6,4,7,4,73
6,4,8,4,81
6,4,9,4,90
6,4,10,4,99
6,4,11,4,109
6,4,12,4,120
6,4,13,4,132
6,4,14,4,146
6,4,15,4,161
6,4,16,4,178
6,4,17,4,196
6,4,18,4,216
6,4,19,4,238
6,4,20,4,262
6,7,0,4,36
6,7,1,4,40
6,7,2,4,44
6,7,3,4,49
6,7,4,4,54
6,7,5,4,60
6,7,6,4,66
6,7,7,4,73
6,7,8,4,81
6,7,9,4,90
6,7,10,4,99
6,7,11,4,109
6,7,12,4,120
6,7,13,4,132
6,7,14,4,146
6,7,15,4,161
6,7,16,4,178
6,7,17,4,196
6,7,18,4,216
6,7,19,4,238
6,7,20,4,262
