Lv,AdenaTier0,AdenaTier1,AdenaTier2,SPTier0,SPTier1,SPTier2,GuildAdenaTier0,GuildAdenaTier1,GuildAdenaTier2,GuildAdenaTier3,GuildAdenaTier4,GuildAdenaTier5
51,0,51000,57000,0,330,360,0,0,0,0,0,0
52,0,52000,58000,0,335,365,0,0,0,0,0,0
53,0,53000,59000,0,340,370,0,0,0,0,0,0
54,0,54000,60000,0,345,375,0,0,0,0,0,0
55,0,55000,61000,0,350,380,0,0,0,0,0,0
56,0,56000,62000,0,355,385,0,0,0,0,0,0
57,0,57000,63000,0,360,390,0,0,0,0,0,0
58,0,58000,64000,0,365,395,0,0,0,0,0,0
59,0,59000,65000,0,370,400,0,0,0,0,0,0
60,0,60000,66000,0,375,405,0,0,0,0,0,0
61,0,61000,67000,0,380,410,0,0,0,0,0,0
62,0,62000,68000,0,385,415,0,0,0,0,0,0
63,0,63000,69000,0,390,420,0,0,0,0,0,0
64,0,64000,70000,0,395,425,0,0,0,0,0,0
65,0,65000,71000,0,400,430,0,0,0,0,0,0
66,0,66000,72000,0,405,435,0,0,0,0,0,0
67,0,67000,73000,0,410,440,0,0,0,0,0,0
68,0,68000,74000,0,415,445,0,0,0,0,0,0
69,0,69000,75000,0,420,450,0,0,0,0,0,0
70,0,70000,76000,0,425,455,0,0,0,0,0,0
71,0,71000,77000,0,430,460,0,0,0,0,0,0
72,0,72000,78000,0,435,465,0,0,0,0,0,0
73,0,73000,79000,0,440,470,0,0,0,0,0,0
74,0,74000,80000,0,445,475,0,0,0,0,0,0
75,0,75000,81000,0,450,480,0,0,0,0,0,0
76,0,76000,82000,0,455,485,0,0,0,0,0,0
77,0,77000,83000,0,460,490,0,0,0,0,0,0
78,0,78000,84000,0,465,495,0,0,0,0,0,0
79,0,79000,85000,0,470,500,0,0,0,0,0,0
80,0,80000,86000,0,475,505,0,0,0,0,0,0
81,0,81000,87000,0,480,510,0,0,0,0,0,0
82,0,82000,88000,0,485,515,0,0,0,0,0,0
83,0,83000,89000,0,490,520,0,0,0,0,0,0
84,0,84000,90000,0,495,525,0,0,0,0,0,0
85,0,85000,91000,0,500,530,0,0,0,0,0,0
86,0,86000,92000,0,505,535,0,0,0,0,0,0
87,0,87000,93000,0,510,540,0,0,0,0,0,0
88,0,88000,94000,0,515,545,0,0,0,0,0,0
89,0,89000,95000,0,520,550,0,0,0,0,0,0
90,0,90000,96000,0,525,555,0,0,0,0,0,0
91,0,91000,97000,0,530,560,0,0,0,0,0,0
92,0,92000,98000,0,535,565,0,0,0,0,0,0
93,0,93000,99000,0,540,570,0,0,0,0,0,0
94,0,94000,100000,0,545,575,0,0,0,0,0,0
95,0,95000,0,0,550,0,0,0,0,0,0,0
96,0,96000,0,0,555,0,0,0,0,0,0,0
97,0,97000,0,0,560,0,0,0,0,0,0,0
98,0,98000,0,0,565,0,0,0,0,0,0,0
99,0,99000,0,0,570,0,0,0,0,0,0,0
100,0,100000,0,0,575,0,0,0,0,0,0,0
