Id,EffectType,EffectParamMin,EffectParamMax,EffectParamGrowth,OptionGroup
10201306,29,106,106,1,10201301
10201307,36,2,2,1,10201301
10201308,7,299,299,1,10201301
10201309,52,32,32,1,10201301
10201310,87,148,148,1,10201301
10201311,89,148,148,1,10201301
10201312,65,1,1,1,10201301
10201313,65,1,1,1,10201301
10201314,65,1,1,1,10201301
10201315,65,1,1,1,10201301
10201316,65,1,1,1,10201301
10201317,65,1,1,1,10201301
10201318,65,1,1,1,10201301
10201319,65,1,1,1,10201301
10201320,65,1,1,1,10201301
10201401,1,395,395,1,10201401
10201402,2,395,395,1,10201401
10201403,101,293,293,1,10201401
10201404,10,556,556,1,10201401
10201405,9,312,312,1,10201401
10201406,29,342,342,1,10201401
10201407,36,6,6,1,10201401
10201408,7,594,594,1,10201401
10201409,52,57,57,1,10201401
10201410,87,285,285,1,10201401
10201411,89,285,285,1,10201401
10201412,65,1,1,1,10201401
10201413,65,1,1,1,10201401
10201414,65,1,1,1,10201401
10201415,65,1,1,1,10201401
10201416,65,1,1,1,10201401
10201417,65,1,1,1,10201401
10201418,65,1,1,1,10201401
10201419,65,1,1,1,10201401
10201420,65,1,1,1,10201401
10201501,1,1075,1075,1,10201501
10201502,2,1075,1075,1,10201501
10201503,101,811,811,1,10201501
10201504,10,1549,1549,1,10201501
10201505,9,855,855,1,10201501
10201506,29,923,923,1,10201501
10201507,36,16,16,1,10201501
10201508,7,1036,1036,1,10201501
10201509,52,94,94,1,10201501
10201510,87,490,490,1,10201501
10201511,89,490,490,1,10201501
10201512,65,1,1,1,10201501
10201513,65,1,1,1,10201501
10201514,65,1,1,1,10201501
10201515,65,1,1,1,10201501
10201516,65,1,1,1,10201501
10201517,65,1,1,1,10201501
10201518,65,1,1,1,10201501
10201519,65,1,1,1,10201501
10201520,65,1,1,1,10201501
10201601,1,2045,2045,1,10201601
10201602,2,2045,2045,1,10201601
10201603,101,1549,1549,1,10201601
10201604,10,2964,2964,1,10201601
10201605,9,1629,1629,1,10201601
10201606,29,1752,1752,1,10201601
10201607,36,31,31,1,10201601
10201608,7,1152,1152,1,10201601
10201609,52,105,105,1,10201601
10201610,87,540,540,1,10201601
10201611,89,540,540,1,10201601
10201612,65,1,1,1,10201601
10201613,65,1,1,1,10201601
10201614,65,1,1,1,10201601
10201615,65,1,1,1,10201601
10201616,65,1,1,1,10201601
10201617,65,1,1,1,10201601
10201618,65,1,1,1,10201601
10201619,65,1,1,1,10201601
10201620,65,1,1,1,10201601
10301201,1,42,42,1,10301201
10301202,2,42,42,1,10301201
10301203,101,25,25,1,10301201
10301204,10,42,42,1,10301201
10301205,9,30,30,1,10301201
10301206,29,40,40,1,10301201
10301207,36,1,1,1,10301201
10301208,7,152,152,1,10301201
10301209,52,20,20,1,10301201
10301210,87,80,80,1,10301201
10301211,89,80,80,1,10301201
10301212,65,1,1,1,10301201
10301213,65,1,1,1,10301201
10301214,65,1,1,1,10301201
10301215,65,1,1,1,10301201
10301216,65,1,1,1,10301201
10301217,65,1,1,1,10301201
10301218,65,1,1,1,10301201
10301219,65,1,1,1,10301201
10301220,65,1,1,1,10301201
10301301,1,119,119,1,10301301
10301302,2,119,119,1,10301301
10301303,101,83,83,1,10301301
10301304,10,155,155,1,10301301
10301305,9,92,92,1,10301301
10301306,29,106,106,1,10301301
10301307,36,2,2,1,10301301
10301308,7,299,299,1,10301301
10301309,52,32,32,1,10301301
10301310,87,148,148,1,10301301
10301311,89,148,148,1,10301301
10301312,65,1,1,1,10301301
10301313,65,1,1,1,10301301
10301314,65,1,1,1,10301301
10301315,65,1,1,1,10301301
10301316,65,1,1,1,10301301
10301317,65,1,1,1,10301301
10301318,65,1,1,1,10301301
10301319,65,1,1,1,10301301
10301320,65,1,1,1,10301301
10301401,1,395,395,1,10301401
10301402,2,395,395,1,10301401
10301403,101,293,293,1,10301401
10301404,10,556,556,1,10301401
10301405,9,312,312,1,10301401
10301406,29,342,342,1,10301401
10301407,36,6,6,1,10301401
10301408,7,594,594,1,10301401
10301409,52,57,57,1,10301401
10301410,87,285,285,1,10301401
10301411,89,285,285,1,10301401
10301412,65,1,1,1,10301401
10301413,65,1,1,1,10301401
10301414,65,1,1,1,10301401
10301415,65,1,1,1,10301401
10301416,65,1,1,1,10301401
10301417,65,1,1,1,10301401
10301418,65,1,1,1,10301401
10301419,65,1,1,1,10301401
10301420,65,1,1,1,10301401
10301501,1,1075,1075,1,10301501
10301502,2,1075,1075,1,10301501
10301503,101,811,811,1,10301501
10301504,10,1549,1549,1,10301501
10301505,9,855,855,1,10301501
10301506,29,923,923,1,10301501
10301507,36,16,16,1,10301501
10301508,7,1036,1036,1,10301501
10301509,52,94,94,1,10301501
10301510,87,490,490,1,10301501
10301511,89,490,490,1,10301501
10301512,65,1,1,1,10301501
10301513,65,1,1,1,10301501
10301514,65,1,1,1,10301501
10301515,65,1,1,1,10301501
10301516,65,1,1,1,10301501
10301517,65,1,1,1,10301501
10301518,65,1,1,1,10301501
10301519,65,1,1,1,10301501
10301520,65,1,1,1,10301501
10301601,1,2045,2045,1,10301601
10301602,2,2045,2045,1,10301601
10301603,101,1549,1549,1,10301601
10301604,10,2964,2964,1,10301601
10301605,9,1629,1629,1,10301601
10301606,29,1752,1752,1,10301601
10301607,36,31,31,1,10301601
10301608,7,1152,1152,1,10301601
10301609,52,105,105,1,10301601
10301610,87,540,540,1,10301601
10301611,89,540,540,1,10301601
10301612,65,1,1,1,10301601
10301613,65,1,1,1,10301601
10301614,65,1,1,1,10301601
10301615,65,1,1,1,10301601
10301616,65,1,1,1,10301601
10301617,65,1,1,1,10301601
10301618,65,1,1,1,10301601
10301619,65,1,1,1,10301601
10301620,65,1,1,1,10301601
10401201,1,42,42,1,10401201
10401202,2,42,42,1,10401201
10401203,101,25,25,1,10401201
10401204,10,42,42,1,10401201
10401205,9,30,30,1,10401201
10401206,29,40,40,1,10401201
10401207,36,1,1,1,10401201
10401208,7,152,152,1,10401201
10401209,52,20,20,1,10401201
10401210,87,80,80,1,10401201
10401211,89,80,80,1,10401201
10401212,65,1,1,1,10401201
10401213,65,1,1,1,10401201
10401214,65,1,1,1,10401201
10401215,65,1,1,1,10401201
10401216,65,1,1,1,10401201
10401217,65,1,1,1,10401201
10401218,65,1,1,1,10401201
10401219,65,1,1,1,10401201
10401220,65,1,1,1,10401201
10401301,1,119,119,1,10401301
10401302,2,119,119,1,10401301
10401303,101,83,83,1,10401301
10401304,10,155,155,1,10401301
10401305,9,92,92,1,10401301
10401306,29,106,106,1,10401301
10401307,36,2,2,1,10401301
10401308,7,299,299,1,10401301
10401309,52,32,32,1,10401301
10401310,87,148,148,1,10401301
10401311,89,148,148,1,10401301
10401312,65,1,1,1,10401301
10401313,65,1,1,1,10401301
10401314,65,1,1,1,10401301
10401315,65,1,1,1,10401301
10401316,65,1,1,1,10401301
10401317,65,1,1,1,10401301
10401318,65,1,1,1,10401301
10401319,65,1,1,1,10401301
10401320,65,1,1,1,10401301
10401401,1,395,395,1,10401401
10401402,2,395,395,1,10401401
10401403,101,293,293,1,10401401
10401404,10,556,556,1,10401401
10401405,9,312,312,1,10401401
10401406,29,342,342,1,10401401
10401407,36,6,6,1,10401401
10401408,7,594,594,1,10401401
10401409,52,57,57,1,10401401
10401410,87,285,285,1,10401401
10401411,89,285,285,1,10401401
10401412,65,1,1,1,10401401
10401413,65,1,1,1,10401401
10401414,65,1,1,1,10401401
10401415,65,1,1,1,10401401
10401416,65,1,1,1,10401401
10401417,65,1,1,1,10401401
10401418,65,1,1,1,10401401
10401419,65,1,1,1,10401401
10401420,65,1,1,1,10401401
10401501,1,1075,1075,1,10401501
10401502,2,1075,1075,1,10401501
10401503,101,811,811,1,10401501
10401504,10,1549,1549,1,10401501
10401505,9,855,855,1,10401501
10401506,29,923,923,1,10401501
10401507,36,16,16,1,10401501
10401508,7,1036,1036,1,10401501
10401509,52,94,94,1,10401501
10401510,87,490,490,1,10401501
10401511,89,490,490,1,10401501
10401512,65,1,1,1,10401501
10401513,65,1,1,1,10401501
10401514,65,1,1,1,10401501
10401515,65,1,1,1,10401501
10401516,65,1,1,1,10401501
10401517,65,1,1,1,10401501
10401518,65,1,1,1,10401501
10401519,65,1,1,1,10401501
10401520,65,1,1,1,10401501
10401601,1,2045,2045,1,10401601
10401602,2,2045,2045,1,10401601
10401603,101,1549,1549,1,10401601
10401604,10,2964,2964,1,10401601
10401605,9,1629,1629,1,10401601
10401606,29,1752,1752,1,10401601
10401607,36,31,31,1,10401601
10401608,7,1152,1152,1,10401601
10401609,52,105,105,1,10401601
10401610,87,540,540,1,10401601
10401611,89,540,540,1,10401601
10401612,65,1,1,1,10401601
10401613,65,1,1,1,10401601
10401614,65,1,1,1,10401601
10401615,65,1,1,1,10401601
10401616,65,1,1,1,10401601
10401617,65,1,1,1,10401601
10401618,65,1,1,1,10401601
10401619,65,1,1,1,10401601
10401620,65,1,1,1,10401601
10501201,1,42,42,1,10501201
10501202,2,42,42,1,10501201
10501203,101,25,25,1,10501201
10501204,10,42,42,1,10501201
10501205,9,30,30,1,10501201
10501206,29,40,40,1,10501201
10501207,36,1,1,1,10501201
10501208,7,152,152,1,10501201
10501209,52,20,20,1,10501201
10501210,87,80,80,1,10501201
10501211,89,80,80,1,10501201
10501212,65,1,1,1,10501201
10501213,65,1,1,1,10501201
10501214,65,1,1,1,10501201
10501215,65,1,1,1,10501201
10501216,65,1,1,1,10501201
10501217,65,1,1,1,10501201
10501218,65,1,1,1,10501201
10501219,65,1,1,1,10501201
10501220,65,1,1,1,10501201
10501301,1,119,119,1,10501301
10501302,2,119,119,1,10501301
10501303,101,83,83,1,10501301
10501304,10,155,155,1,10501301
10501305,9,92,92,1,10501301
10501306,29,106,106,1,10501301
10501307,36,2,2,1,10501301
10501308,7,299,299,1,10501301
10501309,52,32,32,1,10501301
10501310,87,148,148,1,10501301
10501311,89,148,148,1,10501301
10501312,65,1,1,1,10501301
10501313,65,1,1,1,10501301
10501314,65,1,1,1,10501301
10501315,65,1,1,1,10501301
10501316,65,1,1,1,10501301
10501317,65,1,1,1,10501301
10501318,65,1,1,1,10501301
10501319,65,1,1,1,10501301
10501320,65,1,1,1,10501301
10501401,1,395,395,1,10501401
10501402,2,395,395,1,10501401
10501403,101,293,293,1,10501401
10501404,10,556,556,1,10501401
10501405,9,312,312,1,10501401
10501406,29,342,342,1,10501401
10501407,36,6,6,1,10501401
10501408,7,594,594,1,10501401
10501409,52,57,57,1,10501401
10501410,87,285,285,1,10501401
10501411,89,285,285,1,10501401
10501412,65,1,1,1,10501401
10501413,65,1,1,1,10501401
10501414,65,1,1,1,10501401
10501415,65,1,1,1,10501401
10501416,65,1,1,1,10501401
10501417,65,1,1,1,10501401
10501418,65,1,1,1,10501401
10501419,65,1,1,1,10501401
10501420,65,1,1,1,10501401
10501501,1,1075,1075,1,10501501
10501502,2,1075,1075,1,10501501
10501503,101,811,811,1,10501501
10501504,10,1549,1549,1,10501501
10501505,9,855,855,1,10501501
10501506,29,923,923,1,10501501
10501507,36,16,16,1,10501501
10501508,7,1036,1036,1,10501501
10501509,52,94,94,1,10501501
10501510,87,490,490,1,10501501
10501511,89,490,490,1,10501501
10501512,65,1,1,1,10501501
10501513,65,1,1,1,10501501
10501514,65,1,1,1,10501501
10501515,65,1,1,1,10501501
10501516,65,1,1,1,10501501
10501517,65,1,1,1,10501501
10501518,65,1,1,1,10501501
10501519,65,1,1,1,10501501
10501520,65,1,1,1,10501501
10501601,1,2045,2045,1,10501601
10501602,2,2045,2045,1,10501601
10501603,101,1549,1549,1,10501601
10501604,10,2964,2964,1,10501601
10501605,9,1629,1629,1,10501601
10501606,29,1752,1752,1,10501601
10501607,36,31,31,1,10501601
10501608,7,1152,1152,1,10501601
10501609,52,105,105,1,10501601
10501610,87,540,540,1,10501601
10501611,89,540,540,1,10501601
10501612,65,1,1,1,10501601
10501613,65,1,1,1,10501601
10501614,65,1,1,1,10501601
10501615,65,1,1,1,10501601
10501616,65,1,1,1,10501601
10501617,65,1,1,1,10501601
10501618,65,1,1,1,10501601
10501619,65,1,1,1,10501601
10501620,65,1,1,1,10501601
10601201,1,42,42,1,10601201
10601202,2,42,42,1,10601201
10601203,101,25,25,1,10601201
10601204,10,42,42,1,10601201
10601205,9,30,30,1,10601201
10601206,29,40,40,1,10601201
10601207,36,1,1,1,10601201
10601208,7,152,152,1,10601201
10601209,52,20,20,1,10601201
10601210,87,80,80,1,10601201
10601211,89,80,80,1,10601201
10601212,65,1,1,1,10601201
10601213,65,1,1,1,10601201
10601214,65,1,1,1,10601201
10601215,65,1,1,1,10601201
10601216,65,1,1,1,10601201
10601217,65,1,1,1,10601201
10601218,65,1,1,1,10601201
10601219,65,1,1,1,10601201
10601220,65,1,1,1,10601201
10601301,1,119,119,1,10601301
10601302,2,119,119,1,10601301
10601303,101,83,83,1,10601301
10601304,10,155,155,1,10601301
10601305,9,92,92,1,10601301
10601306,29,106,106,1,10601301
10601307,36,2,2,1,10601301
10601308,7,299,299,1,10601301
10601309,52,32,32,1,10601301
10601310,87,148,148,1,10601301
10601311,89,148,148,1,10601301
10601312,65,1,1,1,10601301
10601313,65,1,1,1,10601301
10601314,65,1,1,1,10601301
10601315,65,1,1,1,10601301
10601316,65,1,1,1,10601301
10601317,65,1,1,1,10601301
10601318,65,1,1,1,10601301
10601319,65,1,1,1,10601301
10601320,65,1,1,1,10601301
10601401,1,395,395,1,10601401
10601402,2,395,395,1,10601401
10601403,101,293,293,1,10601401
10601404,10,556,556,1,10601401
10601405,9,312,312,1,10601401
10601406,29,342,342,1,10601401
10601407,36,6,6,1,10601401
10601408,7,594,594,1,10601401
10601409,52,57,57,1,10601401
10601410,87,285,285,1,10601401
10601411,89,285,285,1,10601401
10601412,65,1,1,1,10601401
10601413,65,1,1,1,10601401
10601414,65,1,1,1,10601401
10601415,65,1,1,1,10601401
10601416,65,1,1,1,10601401
10601417,65,1,1,1,10601401
10601418,65,1,1,1,10601401
10601419,65,1,1,1,10601401
10601420,65,1,1,1,10601401
10601501,1,1075,1075,1,10601501
10601502,2,1075,1075,1,10601501
10601503,101,811,811,1,10601501
10601504,10,1549,1549,1,10601501
10601505,9,855,855,1,10601501
10601506,29,923,923,1,10601501
10601507,36,16,16,1,10601501
10601508,7,1036,1036,1,10601501
10601509,52,94,94,1,10601501
10601510,87,490,490,1,10601501
10601511,89,490,490,1,10601501
10601512,65,1,1,1,10601501
10601513,65,1,1,1,10601501
10601514,65,1,1,1,10601501
10601515,65,1,1,1,10601501
10601516,65,1,1,1,10601501
10601517,65,1,1,1,10601501
10601518,65,1,1,1,10601501
10601519,65,1,1,1,10601501
10601520,65,1,1,1,10601501
10601601,1,2045,2045,1,10601601
10601602,2,2045,2045,1,10601601
10601603,101,1549,1549,1,10601601
10601604,10,2964,2964,1,10601601
10601605,9,1629,1629,1,10601601
10601606,29,1752,1752,1,10601601
10601607,36,31,31,1,10601601
10601608,7,1152,1152,1,10601601
10601609,52,105,105,1,10601601
10601610,87,540,540,1,10601601
10601611,89,540,540,1,10601601
10601612,65,1,1,1,10601601
10601613,65,1,1,1,10601601
10601614,65,1,1,1,10601601
10601615,65,1,1,1,10601601
10601616,65,1,1,1,10601601
10601617,65,1,1,1,10601601
10601618,65,1,1,1,10601601
10601619,65,1,1,1,10601601
10601620,65,1,1,1,10601601
10102201,1,40,40,1,10102201
10102202,2,40,40,1,10102201
10102203,101,25,25,1,10102201
10102204,10,48,48,1,10102201
10102205,9,34,34,1,10102201
10102206,29,45,45,1,10102201
10102207,36,1,1,1,10102201
10102208,7,171,171,1,10102201
10102209,52,17,17,1,10102201
10102210,87,80,80,1,10102201
10102211,89,80,80,1,10102201
10102212,65,1,1,1,10102201
10102213,65,1,1,1,10102201
10102214,65,1,1,1,10102201
10102215,65,1,1,1,10102201
10102216,65,1,1,1,10102201
10102217,65,1,1,1,10102201
10102218,65,1,1,1,10102201
10102219,65,1,1,1,10102201
10102220,65,1,1,1,10102201
10102301,1,113,113,1,10102301
10102302,2,113,113,1,10102301
10102303,101,83,83,1,10102301
10102304,10,174,174,1,10102301
10102305,9,103,103,1,10102301
10102306,29,119,119,1,10102301
10102307,36,2,2,1,10102301
10102308,7,336,336,1,10102301
10102309,52,28,28,1,10102301
10102310,87,148,148,1,10102301
10102311,89,148,148,1,10102301
10102312,65,1,1,1,10102301
10102313,65,1,1,1,10102301
10102314,65,1,1,1,10102301
10102315,65,1,1,1,10102301
10102316,65,1,1,1,10102301
10102317,65,1,1,1,10102301
10102318,65,1,1,1,10102301
10102319,65,1,1,1,10102301
10102320,65,1,1,1,10102301
10102401,1,374,374,1,10102401
10102402,2,374,374,1,10102401
10102403,101,293,293,1,10102401
10102404,10,626,626,1,10102401
10102405,9,350,350,1,10102401
10102406,29,384,384,1,10102401
10102407,36,6,6,1,10102401
10102408,7,669,669,1,10102401
10102409,52,50,50,1,10102401
10102410,87,285,285,1,10102401
10102411,89,285,285,1,10102401
10102412,65,1,1,1,10102401
10102413,65,1,1,1,10102401
10102414,65,1,1,1,10102401
10102415,65,1,1,1,10102401
10102416,65,1,1,1,10102401
10102417,65,1,1,1,10102401
10102418,65,1,1,1,10102401
10102419,65,1,1,1,10102401
10102420,65,1,1,1,10102401
10102501,1,1019,1019,1,10102501
10102502,2,1019,1019,1,10102501
10102503,101,811,811,1,10102501
10102504,10,1743,1743,1,10102501
10102505,9,962,962,1,10102501
10102506,29,1039,1039,1,10102501
10102507,36,16,16,1,10102501
10102508,7,1165,1165,1,10102501
10102509,52,83,83,1,10102501
10102510,87,490,490,1,10102501
10102511,89,490,490,1,10102501
10102512,65,1,1,1,10102501
10102513,65,1,1,1,10102501
10102514,65,1,1,1,10102501
10102515,65,1,1,1,10102501
10102516,65,1,1,1,10102501
10102517,65,1,1,1,10102501
10102518,65,1,1,1,10102501
10102519,65,1,1,1,10102501
10102520,65,1,1,1,10102501
10102601,1,1938,1938,1,10102601
10102602,2,1938,1938,1,10102601
10102603,101,1549,1549,1,10102601
10102604,10,3335,3335,1,10102601
10102605,9,1833,1833,1,10102601
10102606,29,1971,1971,1,10102601
10102607,36,31,31,1,10102601
10102608,7,1296,1296,1,10102601
10102609,52,93,93,1,10102601
10102610,87,540,540,1,10102601
10102611,89,540,540,1,10102601
10102612,65,1,1,1,10102601
10102613,65,1,1,1,10102601
10102614,65,1,1,1,10102601
10102615,65,1,1,1,10102601
10102616,65,1,1,1,10102601
10102617,65,1,1,1,10102601
10102618,65,1,1,1,10102601
10102619,65,1,1,1,10102601
10102620,65,1,1,1,10102601
10202201,1,40,40,1,10202201
10202202,2,40,40,1,10202201
10202203,101,25,25,1,10202201
10202204,10,48,48,1,10202201
10202205,9,34,34,1,10202201
10202206,29,45,45,1,10202201
10202207,36,1,1,1,10202201
10202208,7,171,171,1,10202201
10202209,52,17,17,1,10202201
10202210,87,80,80,1,10202201
10202211,89,80,80,1,10202201
10202212,65,1,1,1,10202201
10202213,65,1,1,1,10202201
10202214,65,1,1,1,10202201
10202215,65,1,1,1,10202201
10202216,65,1,1,1,10202201
10202217,65,1,1,1,10202201
10202218,65,1,1,1,10202201
10202219,65,1,1,1,10202201
10202220,65,1,1,1,10202201
10202301,1,113,113,1,10202301
10202302,2,113,113,1,10202301
10202303,101,83,83,1,10202301
10202304,10,174,174,1,10202301
10202305,9,103,103,1,10202301
10202306,29,119,119,1,10202301
10202307,36,2,2,1,10202301
10202308,7,336,336,1,10202301
10202309,52,28,28,1,10202301
10202310,87,148,148,1,10202301
10202311,89,148,148,1,10202301
10202312,65,1,1,1,10202301
10202313,65,1,1,1,10202301
10202314,65,1,1,1,10202301
10202315,65,1,1,1,10202301
10202316,65,1,1,1,10202301
10202317,65,1,1,1,10202301
10202318,65,1,1,1,10202301
10202319,65,1,1,1,10202301
10202320,65,1,1,1,10202301
10202401,1,374,374,1,10202401
10202402,2,374,374,1,10202401
10202403,101,293,293,1,10202401
10202404,10,626,626,1,10202401
10202405,9,350,350,1,10202401
10202406,29,384,384,1,10202401
10202407,36,6,6,1,10202401
10202408,7,669,669,1,10202401
10202409,52,50,50,1,10202401
10202410,87,285,285,1,10202401
10202411,89,285,285,1,10202401
10202412,65,1,1,1,10202401
10202413,65,1,1,1,10202401
10202414,65,1,1,1,10202401
10202415,65,1,1,1,10202401
10202416,65,1,1,1,10202401
10202417,65,1,1,1,10202401
10202418,65,1,1,1,10202401
10202419,65,1,1,1,10202401
10202420,65,1,1,1,10202401
10202501,1,1019,1019,1,10202501
10202502,2,1019,1019,1,10202501
10202503,101,811,811,1,10202501
10202504,10,1743,1743,1,10202501
10202505,9,962,962,1,10202501
10202506,29,1039,1039,1,10202501
10202507,36,16,16,1,10202501
10202508,7,1165,1165,1,10202501
10202509,52,83,83,1,10202501
10202510,87,490,490,1,10202501
10202511,89,490,490,1,10202501
10202512,65,1,1,1,10202501
10202513,65,1,1,1,10202501
10202514,65,1,1,1,10202501
10202515,65,1,1,1,10202501
10202516,65,1,1,1,10202501
10202517,65,1,1,1,10202501
10202518,65,1,1,1,10202501
10202519,65,1,1,1,10202501
10202520,65,1,1,1,10202501
10202601,1,1938,1938,1,10202601
10202602,2,1938,1938,1,10202601
10202603,101,1549,1549,1,10202601
10202604,10,3335,3335,1,10202601
10202605,9,1833,1833,1,10202601
10202606,29,1971,1971,1,10202601
10202607,36,31,31,1,10202601
10202608,7,1296,1296,1,10202601
10202609,52,93,93,1,10202601
10202610,87,540,540,1,10202601
10202611,89,540,540,1,10202601
10202612,65,1,1,1,10202601
10202613,65,1,1,1,10202601
10202614,65,1,1,1,10202601
10202615,65,1,1,1,10202601
10202616,65,1,1,1,10202601
10202617,65,1,1,1,10202601
10202618,65,1,1,1,10202601
10202619,65,1,1,1,10202601
10202620,65,1,1,1,10202601
10302201,1,40,40,1,10302201
10302202,2,40,40,1,10302201
10302203,101,25,25,1,10302201
10302204,10,48,48,1,10302201
10302205,9,34,34,1,10302201
10302206,29,45,45,1,10302201
10302207,36,1,1,1,10302201
10302208,7,171,171,1,10302201
10302209,52,17,17,1,10302201
10302210,87,80,80,1,10302201
10302211,89,80,80,1,10302201
10302212,65,1,1,1,10302201
10302213,65,1,1,1,10302201
10302214,65,1,1,1,10302201
10302215,65,1,1,1,10302201
10302216,65,1,1,1,10302201
10302217,65,1,1,1,10302201
10302218,65,1,1,1,10302201
10302219,65,1,1,1,10302201
10302220,65,1,1,1,10302201
10302301,1,113,113,1,10302301
10302302,2,113,113,1,10302301
10302303,101,83,83,1,10302301
10302304,10,174,174,1,10302301
10302305,9,103,103,1,10302301
10302306,29,119,119,1,10302301
10302307,36,2,2,1,10302301
10302308,7,336,336,1,10302301
10302309,52,28,28,1,10302301
10302310,87,148,148,1,10302301
10302311,89,148,148,1,10302301
10302312,65,1,1,1,10302301
10302313,65,1,1,1,10302301
10302314,65,1,1,1,10302301
10302315,65,1,1,1,10302301
10302316,65,1,1,1,10302301
10302317,65,1,1,1,10302301
10302318,65,1,1,1,10302301
10302319,65,1,1,1,10302301
10302320,65,1,1,1,10302301
10302401,1,374,374,1,10302401
10302402,2,374,374,1,10302401
10302403,101,293,293,1,10302401
10302404,10,626,626,1,10302401
10302405,9,350,350,1,10302401
10302406,29,384,384,1,10302401
10302407,36,6,6,1,10302401
10302408,7,669,669,1,10302401
10302409,52,50,50,1,10302401
10302410,87,285,285,1,10302401
10302411,89,285,285,1,10302401
10302412,65,1,1,1,10302401
10302413,65,1,1,1,10302401
10302414,65,1,1,1,10302401
10302415,65,1,1,1,10302401
10302416,65,1,1,1,10302401
10302417,65,1,1,1,10302401
10302418,65,1,1,1,10302401
