Difficulty,Level,Exp_C,Exp_B,Exp_A,Exp_S,Exp_SS,Exp_SSS,Adena_C,Adena_B,Adena_A,Adena_S,Adena_SS,Adena_SSS
1,144,1440,1450,1460,1470,1480,1490,1500,1510,1520,1530,1540,1550
1,145,1450,1460,1470,1480,1490,1500,1510,1520,1530,1540,1550,1560
1,146,1460,1470,1480,1490,1500,1510,1520,1530,1540,1550,1560,1570
1,147,1470,1480,1490,1500,1510,1520,1530,1540,1550,1560,1570,1580
1,148,1480,1490,1500,1510,1520,1530,1540,1550,1560,1570,1580,1590
1,149,1490,1500,1510,1520,1530,1540,1550,1560,1570,1580,1590,1600
1,150,1500,1510,1520,1530,1540,1550,1560,1570,1580,1590,1600,1610
1,151,1510,1520,1530,1540,1550,1560,1570,1580,1590,1600,1610,1620
1,152,1520,1530,1540,1550,1560,1570,1580,1590,1600,1610,1620,1630
1,153,1530,1540,1550,1560,1570,1580,1590,1600,1610,1620,1630,1640
1,154,1540,1550,1560,1570,1580,1590,1600,1610,1620,1630,1640,1650
1,155,1550,1560,1570,1580,1590,1600,1610,1620,1630,1640,1650,1660
1,156,1560,1570,1580,1590,1600,1610,1620,1630,1640,1650,1660,1670
1,157,1570,1580,1590,1600,1610,1620,1630,1640,1650,1660,1670,1680
1,158,1580,1590,1600,1610,1620,1630,1640,1650,1660,1670,1680,1690
1,159,1590,1600,1610,1620,1630,1640,1650,1660,1670,1680,1690,1700
1,160,1600,1610,1620,1630,1640,1650,1660,1670,1680,1690,1700,1710
1,161,1610,1620,1630,1640,1650,1660,1670,1680,1690,1700,1710,1720
1,162,1620,1630,1640,1650,1660,1670,1680,1690,1700,1710,1720,1730
1,163,1630,1640,1650,1660,1670,1680,1690,1700,1710,1720,1730,1740
1,164,1640,1650,1660,1670,1680,1690,1700,1710,1720,1730,1740,1750
1,165,1650,1660,1670,1680,1690,1700,1710,1720,1730,1740,1750,1760
1,166,1660,1670,1680,1690,1700,1710,1720,1730,1740,1750,1760,1770
1,167,1670,1680,1690,1700,1710,1720,1730,1740,1750,1760,1770,1780
1,168,1680,1690,1700,1710,1720,1730,1740,1750,1760,1770,1780,1790
1,169,1690,1700,1710,1720,1730,1740,1750,1760,1770,1780,1790,1800
1,170,1700,1710,1720,1730,1740,1750,1760,1770,1780,1790,1800,1810
1,171,1710,1720,1730,1740,1750,1760,1770,1780,1790,1800,1810,1820
1,172,1720,1730,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830
1,173,1730,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840
1,174,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850
1,175,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860
1,176,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870
1,177,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880
1,178,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890
1,179,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900
1,180,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910
1,181,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920
1,182,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930
1,183,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940
1,184,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950
1,185,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960
1,186,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970
1,187,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980
1,188,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990
1,189,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
1,190,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
1,191,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
1,192,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,2030
1,193,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,2030,2040
1,194,1940,1950,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050
1,195,1950,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050,2060
1,196,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050,2060,2070
1,197,1970,1980,1990,2000,2010,2020,2030,2040,2050,2060,2070,2080
1,198,1980,1990,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090
1,199,1990,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
1,200,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110
1,201,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120
1,202,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130
1,203,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140
1,204,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
1,205,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150,2160
1,206,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150,2160,2170
1,207,2070,2080,2090,2100,2110,2120,2130,2140,2150,2160,2170,2180
1,208,2080,2090,2100,2110,2120,2130,2140,2150,2160,2170,2180,2190
1,209,2090,2100,2110,2120,2130,2140,2150,2160,2170,2180,2190,2200
1,210,2100,2110,2120,2130,2140,2150,2160,2170,2180,2190,2200,2210
1,211,2110,2120,2130,2140,2150,2160,2170,2180,2190,2200,2210,2220
1,212,2120,2130,2140,2150,2160,2170,2180,2190,2200,2210,2220,2230
1,213,2130,2140,2150,2160,2170,2180,2190,2200,2210,2220,2230,2240
1,214,2140,2150,2160,2170,2180,2190,2200,2210,2220,2230,2240,2250
1,215,2150,2160,2170,2180,2190,2200,2210,2220,2230,2240,2250,2260
1,216,2160,2170,2180,2190,2200,2210,2220,2230,2240,2250,2260,2270
1,217,2170,2180,2190,2200,2210,2220,2230,2240,2250,2260,2270,2280
1,218,2180,2190,2200,2210,2220,2230,2240,2250,2260,2270,2280,2290
1,219,2190,2200,2210,2220,2230,2240,2250,2260,2270,2280,2290,2300
1,220,2200,2210,2220,2230,2240,2250,2260,2270,2280,2290,2300,2310
1,221,2210,2220,2230,2240,2250,2260,2270,2280,2290,2300,2310,2320
1,222,2220,2230,2240,2250,2260,2270,2280,2290,2300,2310,2320,2330
1,223,2230,2240,2250,2260,2270,2280,2290,2300,2310,2320,2330,2340
1,224,2240,2250,2260,2270,2280,2290,2300,2310,2320,2330,2340,2350
1,225,2250,2260,2270,2280,2290,2300,2310,2320,2330,2340,2350,2360
1,226,2260,2270,2280,2290,2300,2310,2320,2330,2340,2350,2360,2370
1,227,2270,2280,2290,2300,2310,2320,2330,2340,2350,2360,2370,2380
1,228,2280,2290,2300,2310,2320,2330,2340,2350,2360,2370,2380,2390
1,229,2290,2300,2310,2320,2330,2340,2350,2360,2370,2380,2390,2400
1,230,2300,2310,2320,2330,2340,2350,2360,2370,2380,2390,2400,2410
1,231,2310,2320,2330,2340,2350,2360,2370,2380,2390,2400,2410,2420
1,232,2320,2330,2340,2350,2360,2370,2380,2390,2400,2410,2420,2430
1,233,2330,2340,2350,2360,2370,2380,2390,2400,2410,2420,2430,2440
1,234,2340,2350,2360,2370,2380,2390,2400,2410,2420,2430,2440,2450
1,235,2350,2360,2370,2380,2390,2400,2410,2420,2430,2440,2450,2460
1,236,2360,2370,2380,2390,2400,2410,2420,2430,2440,2450,2460,2470
1,237,2370,2380,2390,2400,2410,2420,2430,2440,2450,2460,2470,2480
1,238,2380,2390,2400,2410,2420,2430,2440,2450,2460,2470,2480,2490
1,239,2390,2400,2410,2420,2430,2440,2450,2460,2470,2480,2490,2500
1,240,2400,2410,2420,2430,2440,2450,2460,2470,2480,2490,2500,2510
1,241,2410,2420,2430,2440,2450,2460,2470,2480,2490,2500,2510,2520
1,242,2420,2430,2440,2450,2460,2470,2480,2490,2500,2510,2520,2530
1,243,2430,2440,2450,2460,2470,2480,2490,2500,2510,2520,2530,2540
1,244,2440,2450,2460,2470,2480,2490,2500,2510,2520,2530,2540,2550
1,245,2450,2460,2470,2480,2490,2500,2510,2520,2530,2540,2550,2560
1,246,2460,2470,2480,2490,2500,2510,2520,2530,2540,2550,2560,2570
1,247,2470,2480,2490,2500,2510,2520,2530,2540,2550,2560,2570,2580
1,248,2480,2490,2500,2510,2520,2530,2540,2550,2560,2570,2580,2590
1,249,2490,2500,2510,2520,2530,2540,2550,2560,2570,2580,2590,2600
1,250,2500,2510,2520,2530,2540,2550,2560,2570,2580,2590,2600,2610
1,251,2510,2520,2530,2540,2550,2560,2570,2580,2590,2600,2610,2620
1,252,2520,2530,2540,2550,2560,2570,2580,2590,2600,2610,2620,2630
1,253,2530,2540,2550,2560,2570,2580,2590,2600,2610,2620,2630,2640
1,254,2540,2550,2560,2570,2580,2590,2600,2610,2620,2630,2640,2650
1,255,2550,2560,2570,2580,2590,2600,2610,2620,2630,2640,2650,2660
1,256,2560,2570,2580,2590,2600,2610,2620,2630,2640,2650,2660,2670
1,257,2570,2580,2590,2600,2610,2620,2630,2640,2650,2660,2670,2680
1,258,2580,2590,2600,2610,2620,2630,2640,2650,2660,2670,2680,2690
1,259,2590,2600,2610,2620,2630,2640,2650,2660,2670,2680,2690,2700
1,260,2600,2610,2620,2630,2640,2650,2660,2670,2680,2690,2700,2710
1,261,2610,2620,2630,2640,2650,2660,2670,2680,2690,2700,2710,2720
1,262,2620,2630,2640,2650,2660,2670,2680,2690,2700,2710,2720,2730
1,263,2630,2640,2650,2660,2670,2680,2690,2700,2710,2720,2730,2740
1,264,2640,2650,2660,2670,2680,2690,2700,2710,2720,2730,2740,2750
1,265,2650,2660,2670,2680,2690,2700,2710,2720,2730,2740,2750,2760
1,266,2660,2670,2680,2690,2700,2710,2720,2730,2740,2750,2760,2770
1,267,2670,2680,2690,2700,2710,2720,2730,2740,2750,2760,2770,2780
1,268,2680,2690,2700,2710,2720,2730,2740,2750,2760,2770,2780,2790
1,269,2690,2700,2710,2720,2730,2740,2750,2760,2770,2780,2790,2800
1,270,2700,2710,2720,2730,2740,2750,2760,2770,2780,2790,2800,2810
1,271,2710,2720,2730,2740,2750,2760,2770,2780,2790,2800,2810,2820
1,272,2720,2730,2740,2750,2760,2770,2780,2790,2800,2810,2820,2830
1,273,2730,2740,2750,2760,2770,2780,2790,2800,2810,2820,2830,2840
1,274,2740,2750,2760,2770,2780,2790,2800,2810,2820,2830,2840,2850
1,275,2750,2760,2770,2780,2790,2800,2810,2820,2830,2840,2850,2860
1,276,2760,2770,2780,2790,2800,2810,2820,2830,2840,2850,2860,2870
1,277,2770,2780,2790,2800,2810,2820,2830,2840,2850,2860,2870,2880
1,278,2780,2790,2800,2810,2820,2830,2840,2850,2860,2870,2880,2890
1,279,2790,2800,2810,2820,2830,2840,2850,2860,2870,2880,2890,2900
1,280,2800,2810,2820,2830,2840,2850,2860,2870,2880,2890,2900,2910
1,281,2810,2820,2830,2840,2850,2860,2870,2880,2890,2900,2910,2920
1,282,2820,2830,2840,2850,2860,2870,2880,2890,2900,2910,2920,2930
1,283,2830,2840,2850,2860,2870,2880,2890,2900,2910,2920,2930,2940
1,284,2840,2850,2860,2870,2880,2890,2900,2910,2920,2930,2940,2950
1,285,2850,2860,2870,2880,2890,2900,2910,2920,2930,2940,2950,2960
1,286,2860,2870,2880,2890,2900,2910,2920,2930,2940,2950,2960,2970
1,287,2870,2880,2890,2900,2910,2920,2930,2940,2950,2960,2970,2980
1,288,2880,2890,2900,2910,2920,2930,2940,2950,2960,2970,2980,2990
1,289,2890,2900,2910,2920,2930,2940,2950,2960,2970,2980,2990,3000
1,290,2900,2910,2920,2930,2940,2950,2960,2970,2980,2990,3000,3010
1,291,2910,2920,2930,2940,2950,2960,2970,2980,2990,3000,3010,3020
1,292,2920,2930,2940,2950,2960,2970,2980,2990,3000,3010,3020,3030
1,293,2930,2940,2950,2960,2970,2980,2990,3000,3010,3020,3030,3040
1,294,2940,2950,2960,2970,2980,2990,3000,3010,3020,3030,3040,3050
1,295,2950,2960,2970,2980,2990,3000,3010,3020,3030,3040,3050,3060
1,296,2960,2970,2980,2990,3000,3010,3020,3030,3040,3050,3060,3070
1,297,2970,2980,2990,3000,3010,3020,3030,3040,3050,3060,3070,3080
1,298,2980,2990,3000,3010,3020,3030,3040,3050,3060,3070,3080,3090
1,299,2990,3000,3010,3020,3030,3040,3050,3060,3070,3080,3090,3100
1,300,3000,3010,3020,3030,3040,3050,3060,3070,3080,3090,3100,3110
1,301,3010,3020,3030,3040,3050,3060,3070,3080,3090,3100,3110,3120
1,302,3020,3030,3040,3050,3060,3070,3080,3090,3100,3110,3120,3130
1,303,3030,3040,3050,3060,3070,3080,3090,3100,3110,3120,3130,3140
1,304,3040,3050,3060,3070,3080,3090,3100,3110,3120,3130,3140,3150
1,305,3050,3060,3070,3080,3090,3100,3110,3120,3130,3140,3150,3160
1,306,3060,3070,3080,3090,3100,3110,3120,3130,3140,3150,3160,3170
1,307,3070,3080,3090,3100,3110,3120,3130,3140,3150,3160,3170,3180
1,308,3080,3090,3100,3110,3120,3130,3140,3150,3160,3170,3180,3190
1,309,3090,3100,3110,3120,3130,3140,3150,3160,3170,3180,3190,3200
1,310,3100,3110,3120,3130,3140,3150,3160,3170,3180,3190,3200,3210
1,311,3110,3120,3130,3140,3150,3160,3170,3180,3190,3200,3210,3220
1,312,3120,3130,3140,3150,3160,3170,3180,3190,3200,3210,3220,3230
1,313,3130,3140,3150,3160,3170,3180,3190,3200,3210,3220,3230,3240
1,314,3140,3150,3160,3170,3180,3190,3200,3210,3220,3230,3240,3250
1,315,3150,3160,3170,3180,3190,3200,3210,3220,3230,3240,3250,3260
1,316,3160,3170,3180,3190,3200,3210,3220,3230,3240,3250,3260,3270
1,317,3170,3180,3190,3200,3210,3220,3230,3240,3250,3260,3270,3280
1,318,3180,3190,3200,3210,3220,3230,3240,3250,3260,3270,3280,3290
1,319,3190,3200,3210,3220,3230,3240,3250,3260,3270,3280,3290,3300
1,320,3200,3210,3220,3230,3240,3250,3260,3270,3280,3290,3300,3310
1,321,3210,3220,3230,3240,3250,3260,3270,3280,3290,3300,3310,3320
1,322,3220,3230,3240,3250,3260,3270,3280,3290,3300,3310,3320,3330
1,323,3230,3240,3250,3260,3270,3280,3290,3300,3310,3320,3330,3340
1,324,3240,3250,3260,3270,3280,3290,3300,3310,3320,3330,3340,3350
1,325,3250,3260,3270,3280,3290,3300,3310,3320,3330,3340,3350,3360
1,326,3260,3270,3280,3290,3300,3310,3320,3330,3340,3350,3360,3370
1,327,3270,3280,3290,3300,3310,3320,3330,3340,3350,3360,3370,3380
1,328,3280,3290,3300,3310,3320,3330,3340,3350,3360,3370,3380,3390
1,329,3290,3300,3310,3320,3330,3340,3350,3360,3370,3380,3390,3400
1,330,3300,3310,3320,3330,3340,3350,3360,3370,3380,3390,3400,3410
1,331,3310,3320,3330,3340,3350,3360,3370,3380,3390,3400,3410,3420
1,332,3320,3330,3340,3350,3360,3370,3380,3390,3400,3410,3420,3430
1,333,3330,3340,3350,3360,3370,3380,3390,3400,3410,3420,3430,3440
1,334,3340,3350,3360,3370,3380,3390,3400,3410,3420,3430,3440,3450
1,335,3350,3360,3370,3380,3390,3400,3410,3420,3430,3440,3450,3460
1,336,3360,3370,3380,3390,3400,3410,3420,3430,3440,3450,3460,3470
1,337,3370,3380,3390,3400,3410,3420,3430,3440,3450,3460,3470,3480
1,338,3380,3390,3400,3410,3420,3430,3440,3450,3460,3470,3480,3490
1,339,3390,3400,3410,3420,3430,3440,3450,3460,3470,3480,3490,3500
1,340,3400,3410,3420,3430,3440,3450,3460,3470,3480,3490,3500,3510
1,341,3410,3420,3430,3440,3450,3460,3470,3480,3490,3500,3510,3520
1,342,3420,3430,3440,3450,3460,3470,3480,3490,3500,3510,3520,3530
1,343,3430,3440,3450,3460,3470,3480,3490,3500,3510,3520,3530,3540
1,344,3440,3450,3460,3470,3480,3490,3500,3510,3520,3530,3540,3550
1,345,3450,3460,3470,3480,3490,3500,3510,3520,3530,3540,3550,3560
1,346,3460,3470,3480,3490,3500,3510,3520,3530,3540,3550,3560,3570
1,347,3470,3480,3490,3500,3510,3520,3530,3540,3550,3560,3570,3580
1,348,3480,3490,3500,3510,3520,3530,3540,3550,3560,3570,3580,3590
1,349,3490,3500,3510,3520,3530,3540,3550,3560,3570,3580,3590,3600
1,350,3500,3510,3520,3530,3540,3550,3560,3570,3580,3590,3600,3610
1,351,3510,3520,3530,3540,3550,3560,3570,3580,3590,3600,3610,3620
1,352,3520,3530,3540,3550,3560,3570,3580,3590,3600,3610,3620,3630
1,353,3530,3540,3550,3560,3570,3580,3590,3600,3610,3620,3630,3640
1,354,3540,3550,3560,3570,3580,3590,3600,3610,3620,3630,3640,3650
1,355,3550,3560,3570,3580,3590,3600,3610,3620,3630,3640,3650,3660
1,356,3560,3570,3580,3590,3600,3610,3620,3630,3640,3650,3660,3670
1,357,3570,3580,3590,3600,3610,3620,3630,3640,3650,3660,3670,3680
1,358,3580,3590,3600,3610,3620,3630,3640,3650,3660,3670,3680,3690
1,359,3590,3600,3610,3620,3630,3640,3650,3660,3670,3680,3690,3700
1,360,3600,3610,3620,3630,3640,3650,3660,3670,3680,3690,3700,3710
1,361,3610,3620,3630,3640,3650,3660,3670,3680,3690,3700,3710,3720
1,362,3620,3630,3640,3650,3660,3670,3680,3690,3700,3710,3720,3730
1,363,3630,3640,3650,3660,3670,3680,3690,3700,3710,3720,3730,3740
1,364,3640,3650,3660,3670,3680,3690,3700,3710,3720,3730,3740,3750
1,365,3650,3660,3670,3680,3690,3700,3710,3720,3730,3740,3750,3760
1,366,3660,3670,3680,3690,3700,3710,3720,3730,3740,3750,3760,3770
1,367,3670,3680,3690,3700,3710,3720,3730,3740,3750,3760,3770,3780
1,368,3680,3690,3700,3710,3720,3730,3740,3750,3760,3770,3780,3790
1,369,3690,3700,3710,3720,3730,3740,3750,3760,3770,3780,3790,3800
1,370,3700,3710,3720,3730,3740,3750,3760,3770,3780,3790,3800,3810
1,371,3710,3720,3730,3740,3750,3760,3770,3780,3790,3800,3810,3820
1,372,3720,3730,3740,3750,3760,3770,3780,3790,3800,3810,3820,3830
1,373,3730,3740,3750,3760,3770,3780,3790,3800,3810,3820,3830,3840
