Id,Group,WorldId,SortNum,RewardType,EffectType,RewardQuantity,RewardIndex,PromotePoint,RewardProgress,RewardIcon
10902,9,202,9,6,1,5,1001101,78,40,Icon_SummonGem_Piece_Gludio_01
10903,9,202,9,6,1,3,34001802,117,60,Icon_GachaItem_MonsterCore
10904,9,202,9,6,1,5,1001101,156,80,Icon_SummonGem_Piece_Gludio_01
10905,9,202,9,6,1,3,34001802,195,100,Icon_GachaItem_MonsterCore
11001,10,203,10,6,1,3,34001803,43,20,Icon_GachaItem_MonsterCore
11002,10,203,10,6,1,5,1001101,86,40,Icon_SummonGem_Piece_Gludio_01
11003,10,203,10,6,1,3,34001803,129,60,Icon_GachaItem_MonsterCore
11004,10,203,10,6,1,5,1001101,172,80,Icon_SummonGem_Piece_Gludio_01
11005,10,203,10,6,1,3,34001803,215,100,Icon_GachaItem_MonsterCore
11101,11,7,11,6,1,3,34001006,51,20,Icon_GachaItem_MonsterCore
11102,11,7,11,6,1,5,1001102,102,40,Icon_SummonGem_Piece_Dion_01
11103,11,7,11,6,1,3,34001006,153,60,Icon_GachaItem_MonsterCore
11104,11,7,11,6,1,5,1001102,204,80,Icon_SummonGem_Piece_Dion_01
11105,11,7,11,6,1,1,1000202,255,100,Icon_SummonGem_Dion_02
11201,12,8,12,6,1,3,34001007,58,20,Icon_GachaItem_MonsterCore
11202,12,8,12,6,1,5,1001102,116,40,Icon_SummonGem_Piece_Dion_01
11203,12,8,12,6,1,3,34001007,174,60,Icon_GachaItem_MonsterCore
11204,12,8,12,6,1,5,1001102,232,80,Icon_SummonGem_Piece_Dion_01
11205,12,8,12,6,1,1,1000202,290,100,Icon_SummonGem_Dion_02
11301,13,9,13,6,1,3,34001008,65,20,Icon_GachaItem_MonsterCore
11302,13,9,13,6,1,5,1001102,130,40,Icon_SummonGem_Piece_Dion_01
11303,13,9,13,6,1,3,34001008,195,60,Icon_GachaItem_MonsterCore
11304,13,9,13,6,1,5,1001102,260,80,Icon_SummonGem_Piece_Dion_01
11305,13,9,13,6,1,1,1000202,325,100,Icon_SummonGem_Dion_02
11401,14,10,14,6,1,3,34001009,72,20,Icon_GachaItem_MonsterCore
11402,14,10,14,6,1,5,1001102,144,40,Icon_SummonGem_Piece_Dion_01
11403,14,10,14,6,1,3,34001009,216,60,Icon_GachaItem_MonsterCore
11404,14,10,14,6,1,5,1001102,288,80,Icon_SummonGem_Piece_Dion_01
11405,14,10,14,6,1,1,1000202,360,100,Icon_SummonGem_Dion_02
11501,15,204,15,6,1,3,34001804,80,20,Icon_GachaItem_MonsterCore
11502,15,204,15,6,1,5,1001102,160,40,Icon_SummonGem_Piece_Dion_01
11503,15,204,15,6,1,3,34001804,240,60,Icon_GachaItem_MonsterCore
11504,15,204,15,6,1,5,1001102,320,80,Icon_SummonGem_Piece_Dion_01
11505,15,204,15,6,1,3,34001804,400,100,Icon_GachaItem_MonsterCore
11601,16,205,16,6,1,3,34001805,89,20,Icon_GachaItem_MonsterCore
11602,16,205,16,6,1,5,1001102,178,40,Icon_SummonGem_Piece_Dion_01
11603,16,205,16,6,1,3,34001805,267,60,Icon_GachaItem_MonsterCore
11604,16,205,16,6,1,5,1001102,356,80,Icon_SummonGem_Piece_Dion_01
11605,16,205,16,6,1,3,34001805,445,100,Icon_GachaItem_MonsterCore
11701,17,11,17,6,1,3,34001010,99,20,Icon_SummonGem_Piece_Giran_01
11702,17,11,17,6,1,5,1001103,198,40,Icon_SummonGem_Piece_Giran_01
11703,17,11,17,6,1,3,34001010,297,60,Icon_SummonGem_Piece_Giran_01
11704,17,11,17,6,1,5,1001103,396,80,Icon_SummonGem_Piece_Giran_01
11705,17,11,17,6,1,1,1000203,495,100,Icon_SummonGem_Piece_Giran_01
11801,18,12,18,6,1,3,34001011,108,20,Icon_SummonGem_Piece_Giran_01
11802,18,12,18,6,1,5,1001103,216,40,Icon_SummonGem_Piece_Giran_01
11803,18,12,18,6,1,3,34001011,324,60,Icon_SummonGem_Piece_Giran_01
11804,18,12,18,6,1,5,1001103,432,80,Icon_SummonGem_Piece_Giran_01
11805,18,12,18,6,1,1,1000203,540,100,Icon_SummonGem_Piece_Giran_01
11901,19,13,19,6,1,3,34001012,118,20,Icon_SummonGem_Piece_Giran_01
11902,19,13,19,6,1,5,1001103,236,40,Icon_SummonGem_Piece_Giran_01
11903,19,13,19,6,1,3,34001012,354,60,Icon_SummonGem_Piece_Giran_01
11904,19,13,19,6,1,5,1001103,472,80,Icon_SummonGem_Piece_Giran_01
11905,19,13,19,6,1,1,1000203,590,100,Icon_SummonGem_Piece_Giran_01
12001,20,14,20,6,1,3,34001013,128,20,Icon_SummonGem_Piece_Giran_01
12002,20,14,20,6,1,5,1001103,256,40,Icon_SummonGem_Piece_Giran_01
12003,20,14,20,6,1,3,34001013,384,60,Icon_SummonGem_Piece_Giran_01
12004,20,14,20,6,1,5,1001103,512,80,Icon_SummonGem_Piece_Giran_01
12005,20,14,20,6,1,1,1000203,640,100,Icon_SummonGem_Piece_Giran_01
12101,21,206,21,6,1,3,34001806,176,20,Icon_SummonGem_Piece_Giran_01
12102,21,206,21,6,1,5,1001103,352,40,Icon_SummonGem_Piece_Giran_01
12103,21,206,21,6,1,3,34001806,528,60,Icon_SummonGem_Piece_Giran_01
12104,21,206,21,6,1,5,1001103,704,80,Icon_SummonGem_Piece_Giran_01
12105,21,206,21,6,1,3,34001806,880,100,Icon_SummonGem_Piece_Giran_01
12201,22,207,22,6,1,3,34001807,188,20,Icon_SummonGem_Piece_Giran_01
12202,22,207,22,6,1,5,1001103,376,40,Icon_SummonGem_Piece_Giran_01
12203,22,207,22,6,1,3,34001807,564,60,Icon_SummonGem_Piece_Giran_01
12204,22,207,22,6,1,5,1001103,752,80,Icon_SummonGem_Piece_Giran_01
12205,22,207,22,6,1,3,34001807,940,100,Icon_SummonGem_Piece_Giran_01
12301,23,208,23,6,1,3,34001808,188,20,Icon_SummonGem_Piece_Giran_01
12302,23,208,23,6,1,5,1001103,376,40,Icon_SummonGem_Piece_Giran_01
12303,23,208,23,6,1,3,34001808,564,60,Icon_SummonGem_Piece_Giran_01
12304,23,208,23,6,1,5,1001103,752,80,Icon_SummonGem_Piece_Giran_01
12305,23,208,23,6,1,3,34001808,940,100,Icon_SummonGem_Piece_Giran_01
99991,999,400,999,6,1,20,1001102,202,20,Icon_Gacha_HerbPotion
99992,999,400,999,6,1,20,1001102,404,40,Item_GemStoneRed_01
99993,999,400,999,6,1,20,1001102,606,60,UI_Icon_TeleportScroll
99994,999,400,999,6,1,20,1001102,808,80,UI_Icon_LoudSpeaker
99995,999,400,999,6,1,20,1001102,1010,100,Icon_Box_Dia_04
