Id,ActorWorldId,WorldInfoId,Type,ActorPosX,ActorPosY,PosX,PosY,SpotTexture,NameDirection,UseTeleportScroll
504,,5,0,47397,44424,47397,44424,Gludio,2,1
598,,5,4,,,,,Gludio,1,1
601,,6,0,78704,57604,78704,57604,Gludio,0,1
602,,6,0,58450,58930,58450,58930,Gludio,1,1
603,,6,0,26151,50071,26151,50071,Gludio,3,1
697,,6,0,36573,61819,36573,61819,Gludio,2,1
698,,6,4,,,,,Gludio,1,1
701,,7,0,-46682,-4537,-46682,-4537,Dion,1,1
702,,7,0,-21827,1183,-21827,1183,Dion,1,1
703,,7,0,9584,14471,9584,14471,Dion,2,1
704,,7,0,-7285,-11041,-7285,-11041,Dion,2,1
797,,7,0,-6371,3525,-6371,3525,Dion,1,1
798,,7,4,,,,,Dion,1,1
799,,7,3,,,,,Dion,1,1
801,,8,0,28480,29515,28480,29515,Dion,1,1
802,,8,0,63427,21237,63427,21237,Dion,2,1
803,,8,0,66457,42035,66457,42035,Dion,2,1
897,,8,0,48608,28868,48608,28868,Dion,1,1
898,,8,4,,,,,Dion,1,1
901,,9,0,-18415,35586,-18415,35586,Dion,2,1
902,,9,0,-8933,17021,-8933,17021,Dion,2,1
903,,9,0,11250,-5616,11250,-5616,Dion,2,1
904,,9,0,17815,27548,17815,27548,Dion,1,1
998,,9,4,,,,,Dion,1,1
1001,,10,0,26343,-9859,26343,-9859,Dion,0,1
1002,,10,0,8305,-2355,8305,-2355,Dion,1,1
1003,,10,0,44360,17528,44360,17528,Dion,1,1
1004,,10,0,29950,38908,29950,38908,Dion,1,1
1098,,10,4,,,,,Dion,1,1
1101,,11,0,-35766,-288,-35766,-288,Giran,2,1
1102,,11,0,9687,-15439,9687,-15439,Giran,1,1
1103,,11,0,-2643,1264,-2643,1264,Giran,1,1
1104,,11,0,-23126,15327,-23126,15327,Giran,1,1
1197,,11,0,-7187,-25368,-7187,-25368,Giran,1,1
1198,,11,4,,,,,Giran,1,1
1199,,11,3,,,,,Giran,1,1
1201,,12,0,34147,28399,34147,28399,Giran,3,1
1202,,12,0,10306,16948,10306,16948,Giran,1,1
1203,,12,0,-10025,9144,-10025,9144,Giran,1,1
1297,,12,0,5808,-791,5808,-791,Giran,2,1
1298,,12,4,,,,,Giran,1,1
1301,,13,0,-21101,18128,-21101,18128,Giran,1,1
1302,,13,0,-1452,16206,-1452,16206,Giran,1,1
1303,,13,0,18230,3425,18230,3425,Giran,3,1
1398,,13,4,,,,,Giran,1,1
1401,,14,0,-24707,22326,-24707,22326,Giran,1,1
1403,,14,0,-2201,1491,-2201,1491,Giran,0,1
1404,,14,0,15104,13864,15104,13864,Giran,1,1
1405,,14,0,-39651,-350,-39651,-350,Giran,1,1
1402,,14,0,-18384,4082,-18384,4082,Giran,1,1
1406,,14,0,24890,-11010,24890,-11010,Giran,0,1
1498,,14,4,,,,,Giran,1,1
1501,,15,0,-29908,38137,-29908,38137,Oren,1,1
1503,,15,0,-9426,9866,-9426,9866,Oren,0,1
1502,,15,0,-9692,30998,-9692,30998,Oren,1,1
1597,,15,0,-4240,14145,-4240,14145,Oren,1,1
1598,,15,4,,,,,Oren,1,1
1599,,15,3,,,,,Oren,1,1
1601,,16,0,7680,30215,7680,30215,Oren,1,1
1602,,16,0,-806,6334,-806,6334,Oren,1,1
1603,,16,0,11707,19984,11707,19984,Oren,1,1
1697,,16,0,-6655,16399,-6655,16399,Oren,0,1
1698,,16,4,,,,,Oren,1,1
1701,,17,0,-19798,18869,-19798,18869,Oren,0,1
1702,,17,0,-10597,27256,-10597,27256,Oren,1,1
1703,,17,0,13233,24420,13233,24420,Oren,1,1
1798,,17,4,,,,,Oren,1,1
1801,,18,0,-12620,964,-12620,964,Giran,1,1
1802,,18,0,-3390,-11397,-3390,-11397,Giran,1,1
1803,,18,0,9604,-7225,9604,-7225,Giran,1,1
1898,,18,4,,,,,Giran,1,1
10000,,20000,1,,,-9625,-10930,,1,0
10001,,20001,1,,,-9625,-10930,,1,0
10002,,20002,1,,,-9625,-10930,,1,0
10003,,30001,1,,,-2155,2020,,1,0
10004,,30002,1,,,8172,-4373,,1,0
20001,200,200,1,704,-72,704,-72,TalkingIsland,0,0
20101,201,201,1,32305,13557,32305,13557,TalkingIsland,0,0
20201,202,202,1,-13717,-2062,-13717,-2062,Gludio,0,0
20301,203,203,1,-1574,5651,-1574,5651,Gludio,0,0
20401,204,204,1,,740,0,740,Dion,0,0
20501,205,205,1,13730,19020,13730,19020,Dion,0,0
20601,206,206,1,-16842,33184,-16842,33184,Oren,0,0
20701,207,207,1,9989,46386,9989,46386,Oren,0,0
20801,208,208,1,-10246,17028,-10246,17028,Oren,0,0
30000,1,2,1,-743,-462,6555,42403,Dion,2,0
30001,1,3,1,9907,45422,-58288,20367,Dion,0,0
30002,2,1,1,6553,43183,-985,1,Dion,1,0
30007,3,1,1,-57889,20681,9900,45046,Dion,1,0
30008,3,4,1,36841,-39914,-5882,24003,Dion,0,0
30009,4,3,1,-6077,24631,36806,-39065,Dion,1,0
30010,4,5,1,10367,21413,98362,70152,Dion,1,0
30011,5,4,1,98945,69274,10376,20768,Dion,2,0
30012,5,6,1,42777,48912,80039,55568,Dion,0,0
30013,6,5,1,80570,54852,43611,48832,Dion,0,0
30014,6,7,1,48823,76531,-47176,-3732,Dion,1,0
30021,7,6,1,-48297,-4093,48960,75734,Dion,3,0
30022,7,8,1,633,-22354,25566,29789,Dion,0,0
30023,8,7,1,24721,29950,413,-21552,Dion,1,0
30024,8,9,1,70390,61729,-22053,34586,Dion,0,0
30029,9,8,1,-22850,34649,70234,60870,Dion,1,0
30030,9,10,1,6754,32661,28580,-8859,Dion,1,0
30031,10,9,1,29262,-8860,6605,31606,Dion,1,0
30032,10,11,1,18375,60479,-37142,-1681,Dion,0,0
30033,11,10,1,-37801,-1737,17993,59662,Dion,3,0
30034,11,12,1,-20360,34736,34483,27395,Dion,0,0
30035,11,14,1,-21213,-23216,-25260,23494,Dion,2,0
30036,12,11,1,35267,27149,-20283,33974,Dion,2,0
30037,12,13,1,-14076,20603,-21102,18128,Dion,0,0
30038,13,12,1,-21957,18093,-14447,20259,Dion,3,0
30039,14,11,1,-25190,24095,-21148,-22620,Dion,0,0
30054,13,402,1,6170,-15486,-3924,7759,Dion,1,0
30055,402,13,1,-3956,8354,6170,-14875,Dion,1,0
330001,300,300,1,-11060,20850,-11060,20850,,1,0
330011,,300,0,-11060,20850,-11060,20850,,1,0
330101,301,301,1,10480,-1070,10480,-1070,,1,0
330111,,301,0,10480,-1070,10480,-1070,,1,0
60001,60001,60001,1,,,-4439,24,Dion,0,0
70001,70001,70001,1,-10402,-510,-10402,-510,Dion,0,0
100200,,100200,0,8685,4386,8685,4386,ElfRuin,1,0
100204,,100204,0,1,744,1,744,Dion,1,0
100003,,100003,0,-51516,24180,-51516,24180,Gludio,1,0
100018,,100018,0,1112,219,1112,219,Gludio,1,0
200001,,200001,0,16074,30017,16074,30017,TalkingIsland,1,0
200002,,200002,0,51172,35535,51172,35535,,1,0
200003,,200003,0,-8836,28107,-8836,28107,,1,1
200004,,200004,0,5006,18655,5006,18655,,1,1
200005,,200005,0,44948,37497,44948,37497,,1,1
200200,,200200,0,45467,-13401,45467,-13401,ElfRuin,1,0
211000,,211000,0,4941,8014,4941,8014,TalkingIsland,1,0
211001,,211001,0,9197,7960,9197,7960,,1,0
211002,,211002,0,13392,7820,13392,7820,,1,0
211003,,211003,0,9182,11568,9182,11568,,1,0
200206,,200206,0,-17889,27089,-17889,27089,,1,0
213000,,213000,0,-1465,520,-1465,520,,1,0
211010,,211010,0,-3700,6540,-3700,6540,,1,0
200010,,200010,0,50029,37488,50029,37488,,1,0
200011,,200010,0,54978,32108,54978,32108,,1,0
210206,,210206,0,-16842,33184,-16842,33184,,1,1
210207,,210207,0,18005,35700,18005,35700,,1,1
210208,,210208,0,16412,-3532,16412,-3532,,1,0
21099,,10,5,33270,35400,33270,35400,,4,1
21697,,16,5,20203,580,20203,580,,4,1
21698,,16,5,20274,3466,20274,3466,,4,1
20298,,2,5,21823,28670,21823,28670,,4,1
20398,,3,5,-5523,-7692,-5523,-7692,,4,1
20498,,4,5,-22880,10977,-22880,10977,,4,1
20598,,5,5,89143,32760,89143,32760,,4,1
20698,,6,5,35375,74950,35375,74950,,4,1
20798,,7,5,-15743,26479,-15743,26479,,4,1
20898,,8,5,60660,48970,60660,48970,,4,1
20998,,9,5,-28780,-7830,-28780,-7830,,4,1
21198,,11,5,25028,-10405,25028,-10405,,4,1
21298,,12,5,5146,8147,5146,8147,,4,1
40201,,402,0,-3839,8689,-4493,7547,Giran,0,0
20181,,1,5,-1746,39071,-1746,39071,,4,1
20182,,1,5,-6064,20676,-6064,20676,,4,1
20183,,1,5,-9889,36888,-9889,36888,,4,1
20184,,1,5,2767,6752,2767,6752,,4,1
20185,,1,5,2774,3299,2774,3299,,4,1
20281,,2,5,3107,20437,3107,20437,,4,1
20282,,2,5,31345,27216,31345,27216,,4,1
20283,,2,5,14643,28257,14643,28257,,4,1
20284,,2,5,25767,29481,25767,29481,,4,1
30081,,200,5,7161,2881,7161,2881,,4,1
30082,,200,5,10206,-2828,10206,-2828,,4,1
30083,,200,5,17004,133,17004,133,,4,1
30181,,201,5,42727,5190,42727,5190,,4,1
30182,,201,5,51005,8640,51005,8640,,4,1
30183,,201,5,50988,-9170,50988,-9170,,4,1
30184,,201,5,45513,-10154,45513,-10154,,4,1
20381,,3,5,-41111,-13093,-41111,-13093,,4,1
20382,,3,5,-51253,-5583,-51253,-5583,,4,1
20383,,3,5,1636,13900,1636,13900,,4,1
20384,,3,5,-6241,1309,-6241,1309,,4,1
20385,,3,5,26861,-5319,26861,-5319,,4,1
20386,,3,5,40861,-15900,40861,-15900,,4,1
20481,,4,5,24162,7448,24162,7448,,4,1
20482,,4,5,31759,-5961,31759,-5961,,4,1
20483,,4,5,-8670,19173,-8670,19173,,4,1
20484,,4,5,-24337,-2509,-24337,-2509,,4,1
20485,,4,5,-29391,-9892,-29391,-9892,,4,1
20486,,4,5,-47737,13094,-47737,13094,,4,1
20581,,5,5,90650,62392,90650,62392,,4,1
20582,,5,5,73301,61804,73301,61804,,4,1
20583,,5,5,93269,32140,93269,32140,,4,1
20584,,5,5,48038,31296,48038,31296,,4,1
20585,,5,5,56386,31301,56386,31301,,4,1
20586,,5,5,48138,24974,48138,24974,,4,1
20681,,6,5,68578,62627,68578,62627,,4,1
20682,,6,5,54695,65826,54695,65826,,4,1
20683,,6,5,49969,62612,49969,62612,,4,1
20684,,6,5,35454,56825,35454,56825,,4,1
20685,,6,5,37090,45323,37090,45323,,4,1
20686,,6,5,27748,46216,27748,46216,,4,1
20687,,6,5,16729,49286,16729,49286,,4,1
30281,,202,5,-17004,-12319,-17004,-12319,,4,1
30282,,202,5,-22237,-19893,-22237,-19893,,4,1
30381,,203,5,-3017,-1597,-3017,-1597,,4,1
30382,,203,5,200,-6238,200,-6238,,4,1
20781,,7,5,13610,13944,13610,13944,,4,1
20782,,7,5,5850,19365,5850,19365,,4,1
20783,,7,5,26306,25296,26306,25296,,4,1
20784,,7,5,-28175,5203,-28175,5203,,4,1
20785,,7,5,-12949,13494,-12949,13494,,4,1
20786,,7,5,-27901,7784,-27901,7784,,4,1
20787,,7,5,-19653,12917,-19653,12917,,4,1
20881,,8,5,49380,45920,49380,45920,,4,1
20882,,8,5,45980,36599,45980,36599,,4,1
20883,,8,5,72396,27481,72396,27481,,4,1
20884,,8,5,56599,35928,56599,35928,,4,1
20885,,8,5,75230,53356,75230,53356,,4,1
20981,,9,5,-6784,17625,-6784,17625,,4,1
20982,,9,5,-9750,9425,-9750,9425,,4,1
20983,,9,5,16263,1853,16263,1853,,4,1
20984,,9,5,-66,-9844,-66,-9844,,4,1
20985,,9,5,36902,9448,36902,9448,,4,1
21081,,10,5,8633,-15160,8633,-15160,,4,1
21082,,10,5,21048,-6328,21048,-6328,,4,1
21083,,10,5,32568,7887,32568,7887,,4,1
21084,,10,5,46754,12624,46754,12624,,4,1
21085,,10,5,47437,21923,47437,21923,,4,1
21086,,10,5,23276,44514,23276,44514,,4,1
21087,,10,5,40963,45675,40963,45675,,4,1
30481,,204,5,-9624,8269,-9624,8269,,4,1
30482,,204,5,-9563,18706,-9563,18706,,4,1
30483,,204,5,-15591,13879,-15591,13879,,4,1
30484,,204,5,-20020,13840,-20020,13840,,4,1
30581,,205,5,14907,12649,14907,12649,,4,1
30582,,205,5,14794,2181,14794,2181,,4,1
30583,,205,5,25312,12604,25312,12604,,4,1
21181,,11,5,9085,-13452,9085,-13452,,4,1
21182,,11,5,18309,-2007,18309,-2007,,4,1
21183,,11,5,-36908,25585,-36908,25585,,4,1
21184,,11,5,-24281,30254,-24281,30254,,4,1
21185,,11,5,-30981,19731,-30981,19731,,4,1
21186,,11,5,-36575,19964,-36575,19964,,4,1
21187,,11,5,-33542,32844,-33542,32844,,4,1
21281,,12,5,12203,33886,12203,33886,,4,1
21282,,12,5,-5238,17471,-5238,17471,,4,1
21283,,12,5,1588,8897,1588,8897,,4,1
21284,,12,5,14126,-11118,14126,-11118,,4,1
21285,,12,5,3289,-19592,3289,-19592,,4,1
21286,,12,5,-5539,-9088,-5539,-9088,,4,1
30691,,206,5,-20150,31060,-20150,31060,,4,1
30692,,206,5,-29937,16347,-29937,16347,,4,1
30693,,206,5,-3315,20718,-3315,20718,,4,1
21382,,13,5,-3948,3035,-3948,3035,,4,1
21381,,13,5,-12985,23576,-12985,23576,,4,1
21383,,13,5,18740,-2593,18740,-2593,,4,1
21384,,13,5,11826,-10363,11826,-10363,,4,1
21481,,14,5,-5026,11222,-5026,11222,,4,1
21482,,14,5,-12686,12530,-12686,12530,,4,1
21483,,14,5,-3944,-4825,-3944,-4825,,4,1
21484,,14,5,3418,15203,3418,15203,,4,1
21485,,14,5,6090,4341,6090,4341,,4,1
21486,,14,5,308,-4531,308,-4531,,4,1
21487,,14,5,-38747,6109,-38747,6109,,4,1
30791,,207,5,18525,35783,18525,35783,,4,1
30792,,207,5,21115,49207,21115,49207,,4,1
30793,,207,5,8476,50895,8476,50895,,4,1
30891,,208,5,-22032,31791,-22032,31791,,4,1
30892,,208,5,-29937,16347,-29937,16347,,4,1
30893,,208,5,-9710,30350,-9710,30350,,4,1
21581,,15,5,-18708,45057,-18708,45057,,4,1
21582,,15,5,-21,43772,-21,43772,,4,1
21583,,15,5,8726,4746,8826,4746,,4,1
21584,,15,5,-4084,-7907,-4084,-7907,,4,1
21585,,15,5,-29144,-4925,-29144,-4925,,4,1
21586,,15,5,-26281,9342,-26281,9342,,4,1
21681,,16,5,33675,33310,33675,33310,,4,1
21682,,16,5,-11520,20786,-11520,20786,,4,1
21683,,16,5,5198,13389,5198,13389,,4,1
21684,,16,5,438,-4942,438,-4942,,4,1
21685,,16,5,-6772,3661,-6772,3661,,4,1
21781,,17,5,0,-461,0,-461,,4,1
21782,,17,5,3911,42194,3911,42194,,4,1
21783,,17,5,7176,35164,7176,35164,,4,1
21784,,17,5,27190,36986,27190,36986,,4,1
21785,,17,5,3467,23727,3467,23727,,4,1
21786,,17,5,7667,389,7667,389,,4,1
21881,,18,5,21284,27071,21284,27071,,4,1
21882,,18,5,-12725,-9929,-12725,-9929,,4,1
21883,,18,5,5667,-10166,5667,-10166,,4,1
21884,,18,5,-6658,-10252,-6658,-10252,,4,1
21885,,18,5,8547,-13271,8547,-13271,,4,1
21886,,18,5,10438,-10273,10438,-10273,,4,1
