Leve,MissionGrade,RewardExp,RewardAdena
38,1,14670,1000
38,2,17610,1200
38,3,22010,1500
38,4,29340,2000
38,5,44020,3000
39,1,15170,1000
39,2,18200,1200
39,3,22760,1500
39,4,30340,2000
39,5,45510,3000
40,1,15610,1000
40,2,18730,1200
40,3,23410,1500
40,4,31210,2000
40,5,46820,3000
41,1,15980,1000
41,2,19180,1200
41,3,23970,1500
41,4,31970,2000
41,5,47950,3000
42,1,16310,1000
42,2,19570,1200
42,3,24460,1500
42,4,32620,2000
42,5,48920,3000
43,1,16580,1000
43,2,19900,1200
43,3,24880,1500
43,4,33170,2000
43,5,49750,3000
44,1,16590,1000
44,2,19910,1200
44,3,24880,1500
44,4,33180,2000
44,5,49760,3000
45,1,16780,1000
45,2,20140,1200
45,3,25170,1500
45,4,33560,2000
45,5,50350,3000
46,1,16940,1000
46,2,20330,1200
46,3,25410,1500
46,4,33890,2000
46,5,50830,3000
47,1,16960,1000
47,2,20350,1200
47,3,25430,1500
47,4,33910,2000
47,5,50870,3000
48,1,17060,1000
48,2,20470,1200
48,3,25590,1500
48,4,34120,2000
48,5,51180,3000
49,1,17140,1000
49,2,20570,1200
49,3,25720,1500
49,4,34290,2000
49,5,51430,3000
50,1,17210,1000
50,2,20650,1200
50,3,25810,1500
50,4,34420,2000
50,5,51630,3000
51,1,17260,1000
51,2,20710,1200
51,3,25890,1500
51,4,34520,2000
51,5,51780,3000
52,1,17300,1000
52,2,20760,1200
52,3,25940,1500
52,4,34590,2000
52,5,51890,3000
53,1,17320,1000
53,2,20790,1200
53,3,25980,1500
53,4,34650,2000
53,5,51970,3000
54,1,17340,1000
54,2,20810,1200
54,3,26010,1500
54,4,34680,2000
54,5,52020,3000
55,1,17350,1000
55,2,20820,1200
55,3,26030,1500
55,4,34710,2000
55,5,52060,3000
56,1,17360,1000
56,2,20830,1200
56,3,26040,1500
56,4,34720,2000
56,5,52080,3000
57,1,17360,1000
57,2,20840,1200
57,3,26050,1500
57,4,34730,2000
57,5,52090,3000
58,1,17370,1000
58,2,20840,1200
58,3,26050,1500
58,4,34730,2000
58,5,52100,3000
59,1,17370,1000
59,2,20840,1200
59,3,26050,1500
59,4,34730,2000
59,5,52100,3000
60,1,17370,1000
60,2,20840,1200
60,3,26050,1500
60,4,34730,2000
60,5,52100,3000
61,1,17370,1000
61,2,20840,1200
61,3,26050,1500
61,4,34730,2000
61,5,52100,3000
62,1,17370,1000
62,2,20840,1200
62,3,26050,1500
62,4,34730,2000
62,5,52100,3000
63,1,17370,1000
63,2,20840,1200
63,3,26050,1500
63,4,34730,2000
63,5,52100,3000
64,1,17370,1000
64,2,20840,1200
64,3,26050,1500
64,4,34730,2000
64,5,52100,3000
65,1,17370,1000
65,2,20840,1200
65,3,26050,1500
65,4,34740,2000
65,5,52100,3000
66,1,17370,1000
66,2,20840,1200
66,3,26050,1500
66,4,34740,2000
66,5,52110,3000
67,1,17370,1000
67,2,20850,1200
67,3,26060,1500
67,4,34740,2000
67,5,52110,3000
68,1,17380,1000
68,2,20850,1200
68,3,26060,1500
68,4,34750,2000
68,5,52130,3000
69,1,17380,1000
69,2,20860,1200
69,3,26070,1500
69,4,34770,2000
69,5,52150,3000
70,1,17390,1000
70,2,20870,1200
70,3,26090,1500
70,4,34780,2000
70,5,52180,3000
71,1,17410,1000
71,2,20890,1200
71,3,26110,1500
71,4,34810,2000
71,5,52220,3000
72,1,17420,1000
72,2,20910,1200
72,3,26140,1500
72,4,34850,2000
72,5,52270,3000
73,1,17450,1000
73,2,20940,1200
73,3,26170,1500
73,4,34900,2000
73,5,52340,3000
74,1,17480,1000
74,2,20970,1200
74,3,26220,1500
74,4,34960,2000
74,5,52440,3000
75,1,17520,1000
75,2,21020,1200
75,3,26280,1500
75,4,35030,2000
75,5,52550,3000
76,1,17570,1000
76,2,21080,1200
76,3,26350,1500
76,4,35130,2000
76,5,52700,3000
77,1,17620,1000
77,2,21150,1200
77,3,26440,1500
77,4,35250,2000
77,5,52870,3000
78,1,17690,1000
78,2,21230,1200
78,3,26540,1500
78,4,35390,2000
78,5,53080,3000
79,1,17780,1000
79,2,21330,1200
79,3,26670,1500
79,4,35560,2000
79,5,53340,3000
80,1,17880,1000
80,2,21450,1200
80,3,26820,1500
80,4,35760,2000
80,5,53630,3000
81,1,17990,1000
81,2,21590,1200
81,3,26990,1500
81,4,35990,2000
81,5,53980,3000
82,1,18000,1000
82,2,21600,1200
82,3,27000,1500
82,4,36000,2000
82,5,54010,3000
83,1,18030,1000
83,2,21630,1200
83,3,27040,1500
83,4,36060,2000
83,5,54080,3000
84,1,18070,1000
84,2,21690,1200
84,3,27110,1500
84,4,36150,2000
84,5,54220,3000
85,1,18140,1000
85,2,21770,1200
85,3,27210,1500
85,4,36280,2000
85,5,54430,3000
86,1,18230,1000
86,2,21880,1200
86,3,27350,1500
86,4,36470,2000
86,5,54700,3000
87,1,18350,1000
87,2,22020,1200
87,3,27520,1500
87,4,36700,2000
87,5,55050,3000
88,1,18490,1000
88,2,22190,1200
88,3,27740,1500
88,4,36990,2000
88,5,55480,3000
89,1,18660,1000
89,2,22400,1200
89,3,28000,1500
89,4,37330,2000
89,5,55990,3000
90,1,18860,1000
90,2,22640,1200
90,3,28300,1500
90,4,37730,2000
90,5,56590,3000
91,1,19100,1000
91,2,22920,1200
91,3,28650,1500
91,4,38200,2000
91,5,57290,3000
92,1,19360,1000
92,2,23240,1200
92,3,29050,1500
92,4,38730,2000
92,5,58090,3000
93,1,19670,1000
93,2,23600,1200
93,3,29500,1500
93,4,39330,2000
93,5,59000,3000
94,1,20000,1330
94,2,24000,1600
94,3,30010,2000
94,4,40010,2670
94,5,60010,4000
95,1,20380,1330
95,2,24460,1600
95,3,30570,2000
95,4,40760,2670
95,5,61140,4000
96,1,20800,1330
96,2,24960,1600
96,3,31200,2000
96,4,41600,2670
96,5,62390,4000
97,1,21260,1330
97,2,25510,1600
97,3,31890,2000
97,4,42510,2670
97,5,63770,4000
98,1,21760,1330
98,2,26110,1600
98,3,32640,2000
98,4,43520,2670
98,5,65280,4000
99,1,22310,1330
99,2,26770,1600
99,3,33460,2000
99,4,44620,2670
99,5,66930,4000
100,1,22900,1330
100,2,27490,1600
100,3,34360,2000
100,4,45810,2670
100,5,68710,4000
101,1,23550,1330
101,2,28260,1600
101,3,35320,2000
101,4,47100,2670
101,5,70650,4000
102,1,24250,1330
102,2,29090,1600
102,3,36370,2000
102,4,48490,2670
102,5,72740,4000
103,1,24990,1330
103,2,29990,1600
103,3,37490,2000
103,4,49990,2670
103,5,74980,4000
104,1,25790,1330
104,2,30950,1600
104,3,38690,2000
104,4,51590,2670
104,5,77380,4000
105,1,26650,1330
105,2,31980,1600
105,3,39980,2000
105,4,53300,2670
105,5,79950,4000
106,1,27560,1330
106,2,33080,1600
106,3,41350,2000
106,4,55130,2670
106,5,82690,4000
107,1,28540,1330
107,2,34240,1600
107,3,42810,2000
107,4,57070,2670
107,5,85610,4000
108,1,29570,1330
108,2,35480,1600
108,3,44350,2000
108,4,59140,2670
108,5,88710,4000
109,1,30660,1330
109,2,36790,1600
109,3,45990,2000
109,4,61320,2670
109,5,91990,4000
110,1,31730,1330
110,2,38080,1600
110,3,47600,2000
110,4,63460,2670
110,5,95200,4000
111,1,32700,1330
111,2,39230,1600
111,3,49040,2000
111,4,65390,2670
111,5,98090,4000
112,1,33560,1330
112,2,40270,1600
112,3,50340,2000
112,4,67120,2670
112,5,100680,4000
113,1,34330,1330
113,2,41190,1600
113,3,51490,2000
113,4,68660,2670
113,5,102990,4000
114,1,35010,1330
114,2,42010,1600
114,3,52510,2000
114,4,70020,2670
114,5,105020,4000
115,1,35600,1330
115,2,42720,1600
115,3,53400,2000
115,4,71210,2670
115,5,106810,4000
116,1,36120,1330
116,2,43340,1600
116,3,54180,2000
116,4,72240,2670
116,5,108360,4000
117,1,36560,1330
117,2,43870,1600
117,3,54840,2000
117,4,73120,2670
117,5,109680,4000
118,1,36930,1330
118,2,44320,1600
118,3,55400,2000
118,4,73860,2670
118,5,110790,4000
119,1,37230,1330
119,2,44680,1600
119,3,55850,2000
119,4,74470,2670
119,5,111700,4000
120,1,37480,1330
120,2,44970,1600
120,3,56220,2000
120,4,74950,2670
120,5,112430,4000
121,1,37660,1330
121,2,45190,1600
121,3,56490,2000
121,4,75320,2670
121,5,112980,4000
122,1,37790,1330
122,2,45350,1600
122,3,56690,2000
122,4,75580,2670
122,5,113370,4000
123,1,37870,1330
123,2,45450,1600
123,3,56810,2000
123,4,75740,2670
123,5,113610,4000
124,1,37900,1330
124,2,45480,1600
124,3,56860,2000
124,4,75810,2670
124,5,113710,4000
125,1,38280,1330
125,2,45940,1600
125,3,57420,2000
125,4,76560,2670
125,5,114840,4000
126,1,38620,1330
126,2,46350,1600
126,3,57930,2000
126,4,77240,2670
126,5,115870,4000
127,1,38930,1330
127,2,46720,1600
127,3,58400,2000
127,4,77860,2670
127,5,116800,4000
128,1,39210,1330
128,2,47060,1600
128,3,58820,2000
128,4,78430,2670
128,5,117640,4000
129,1,39470,1330
129,2,47360,1600
129,3,59200,2000
129,4,78930,2670
129,5,118400,4000
130,1,39690,1330
130,2,47630,1600
130,3,59540,2000
130,4,79390,2670
130,5,119080,4000
131,1,39900,1330
131,2,47880,1600
131,3,59850,2000
131,4,79800,2670
131,5,119690,4000
132,1,40080,1330
132,2,48090,1600
132,3,60120,2000
132,4,80160,2670
132,5,120240,4000
133,1,40240,1330
133,2,48290,1600
133,3,60360,2000
133,4,80480,2670
133,5,120720,4000
134,1,40380,1330
134,2,48460,1600
134,3,60570,2000
134,4,80760,2670
134,5,121150,4000
135,1,40510,1330
135,2,48610,1600
135,3,60760,2000
135,4,81010,2670
135,5,121520,4000
136,1,40620,1330
136,2,48740,1600
136,3,60920,2000
136,4,81230,2670
136,5,121850,4000
137,1,40710,1330
137,2,48850,1600
137,3,61070,2000
137,4,81420,2670
137,5,122130,4000
138,1,40790,1330
138,2,48950,1600
138,3,61190,2000
138,4,81580,2670
138,5,122370,4000
139,1,40860,1330
139,2,49030,1600
139,3,61290,2000
139,4,81720,2670
139,5,122580,4000
140,1,40920,1330
140,2,49100,1600
140,3,61380,2000
140,4,81840,2670
140,5,122760,4000
141,1,40970,1330
141,2,49160,1600
141,3,61450,2000
141,4,81940,2670
141,5,122910,4000
142,1,41010,1330
142,2,49210,1600
142,3,61510,2000
142,4,82020,2670
142,5,123030,4000
143,1,41040,1330
143,2,49250,1600
143,3,61560,2000
143,4,82090,2670
143,5,123130,4000
144,1,41070,1330
144,2,49280,1600
144,3,61600,2000
144,4,82140,2670
144,5,123210,4000
145,1,41090,1330
145,2,49310,1600
145,3,61640,2000
145,4,82180,2670
145,5,123270,4000
146,1,41110,1330
146,2,49330,1600
146,3,61660,2000
146,4,82220,2670
146,5,123320,4000
147,1,41120,1330
147,2,49340,1600
147,3,61680,2000
147,4,82240,2670
147,5,123360,4000
148,1,41130,1330
148,2,49360,1600
148,3,61690,2000
148,4,82260,2670
148,5,123390,4000
149,1,41140,1330
149,2,49360,1600
149,3,61700,2000
149,4,82270,2670
149,5,123410,4000
150,1,41140,1330
150,2,49370,1600
150,3,61710,2000
150,4,82280,2670
150,5,123420,4000
151,1,41140,1330
151,2,49370,1600
151,3,61720,2000
151,4,82290,2670
151,5,123430,4000
152,1,41150,1330
152,2,49370,1600
152,3,61720,2000
152,4,82290,2670
152,5,123440,4000
153,1,41150,1330
153,2,49380,1600
153,3,61720,2000
153,4,82290,2670
153,5,123440,4000
154,1,41150,1330
154,2,49380,1600
154,3,61720,2000
154,4,82300,2670
154,5,123440,4000
155,1,41150,1330
155,2,49380,1600
155,3,61720,2000
155,4,82300,2670
155,5,123440,4000
156,1,41150,1330
156,2,49380,1600
156,3,61720,2000
156,4,82300,2670
156,5,123440,4000
157,1,41150,1330
157,2,49380,1600
157,3,61720,2000
157,4,82300,2670
157,5,123440,4000
158,1,41150,1330
158,2,49380,1600
158,3,61720,2000
158,4,82300,2670
158,5,123440,4000
159,1,41150,1330
159,2,49380,1600
159,3,61720,2000
159,4,82300,2670
159,5,123440,4000
160,1,41150,1330
160,2,49380,1600
160,3,61720,2000
160,4,82300,2670
160,5,123440,4000
161,1,41150,1330
161,2,49380,1600
161,3,61720,2000
161,4,82300,2670
161,5,123440,4000
162,1,41150,1330
162,2,49380,1600
162,3,61720,2000
162,4,82300,2670
162,5,123450,4000
163,1,41150,1330
163,2,49380,1600
163,3,61720,2000
163,4,82300,2670
163,5,123450,4000
164,1,41150,1330
164,2,49380,1600
164,3,61730,2000
164,4,82300,2670
164,5,123450,4000
165,1,41150,1330
165,2,49380,1600
165,3,61730,2000
165,4,82300,2670
165,5,123460,4000
166,1,41150,1330
166,2,49390,1600
166,3,61730,2000
166,4,82310,2670
166,5,123460,4000
167,1,41160,1330
167,2,49390,1600
167,3,61740,2000
167,4,82320,2670
167,5,123470,4000
168,1,41160,1330
168,2,49390,1600
168,3,61740,2000
168,4,82320,2670
168,5,123490,4000
169,1,41170,1330
169,2,49400,1600
169,3,61750,2000
169,4,82340,2670
169,5,123510,4000
170,1,41180,1330
170,2,49410,1600
170,3,61760,2000
170,4,82350,2670
170,5,123530,4000
171,1,41190,1330
171,2,49420,1600
171,3,61780,2000
171,4,82370,2670
171,5,123560,4000
172,1,41200,1330
172,2,49440,1600
172,3,61800,2000
172,4,82400,2670
172,5,123590,4000
173,1,41210,1330
173,2,49460,1600
173,3,61820,2000
173,4,82430,2670
173,5,123640,4000
174,1,41230,1330
174,2,49480,1600
174,3,61850,2000
174,4,82460,2670
174,5,123690,4000
175,1,41250,1330
175,2,49500,1600
175,3,61880,2000
175,4,82510,2670
175,5,123760,4000
176,1,41280,1330
176,2,49530,1600
176,3,61920,2000
176,4,82560,2670
176,5,123830,4000
177,1,41310,1330
177,2,49570,1600
177,3,61960,2000
177,4,82620,2670
177,5,123920,4000
178,1,41340,1330
178,2,49610,1600
178,3,62010,2000
178,4,82690,2670
178,5,124030,4000
179,1,41380,1330
179,2,49660,1600
179,3,62070,2000
179,4,82760,2670
179,5,124150,4000
180,1,41430,1330
180,2,49710,1600
180,3,62140,2000
180,4,82860,2670
180,5,124280,4000
181,1,41480,1330
181,2,49780,1600
181,3,62220,2000
181,4,82960,2670
181,5,124440,4000
182,1,41540,1330
182,2,49850,1600
182,3,62310,2000
182,4,83080,2670
182,5,124620,4000
183,1,41610,1330
183,2,49930,1600
183,3,62410,2000
183,4,83210,2670
183,5,124820,4000
184,1,41680,1330
184,2,50020,1600
184,3,62520,2000
184,4,83360,2670
184,5,125040,4000
185,1,41760,1330
185,2,50120,1600
185,3,62650,2000
185,4,83530,2670
185,5,125290,4000
186,1,41860,1330
186,2,50230,1600
186,3,62780,2000
186,4,83710,2670
186,5,125570,4000
187,1,41960,1330
187,2,50350,1600
187,3,62940,2000
187,4,83920,2670
187,5,125880,4000
188,1,42070,1330
188,2,50490,1600
188,3,63110,2000
188,4,84150,2670
188,5,126220,4000
189,1,42200,1330
189,2,50640,1600
189,3,63300,2000
189,4,84400,2670
189,5,126590,4000
190,1,42340,1330
190,2,50800,1600
190,3,63500,2000
190,4,84670,2670
190,5,127010,4000
191,1,42490,1330
191,2,50980,1600
191,3,63730,2000
191,4,84970,2670
191,5,127460,4000
192,1,42650,1330
192,2,51180,1600
192,3,63980,2000
192,4,85300,2670
192,5,127950,4000
193,1,42830,1330
193,2,51400,1600
193,3,64250,2000
193,4,85660,2670
193,5,128490,4000
194,1,43020,1330
194,2,51630,1600
194,3,64540,2000
194,4,86050,2670
194,5,129070,4000
195,1,43240,1330
195,2,51880,1600
195,3,64850,2000
195,4,86470,2670
195,5,129710,4000
196,1,43460,1330
196,2,52160,1600
196,3,65200,2000
196,4,86930,2670
196,5,130390,4000
197,1,43710,1670
197,2,52450,2000
197,3,65570,2500
197,4,87420,3330
197,5,131140,5000
198,1,43980,1670
198,2,52770,2000
198,3,65970,2500
198,4,87960,3330
198,5,131930,5000
199,1,44260,1670
199,2,53120,2000
199,3,66400,2500
199,4,88530,3330
199,5,132790,5000
200,1,44570,1670
200,2,53490,2000
200,3,66860,2500
200,4,89140,3330
200,5,133720,5000
201,1,44900,1670
201,2,53880,2000
201,3,67350,2500
201,4,89800,3330
201,5,134710,5000
202,1,45260,1670
202,2,54310,2000
202,3,67880,2500
202,4,90510,3330
202,5,135770,5000
203,1,45630,1670
203,2,54760,2000
203,3,68450,2500
203,4,91270,3330
203,5,136900,5000
204,1,46040,1670
204,2,55240,2000
204,3,69050,2500
204,4,92070,3330
204,5,138110,5000
205,1,46460,1670
205,2,55760,2000
205,3,69700,2500
205,4,92930,3330
205,5,139390,5000
206,1,46920,1670
206,2,56310,2000
206,3,70380,2500
206,4,93840,3330
206,5,140770,5000
207,1,46930,1670
207,2,56320,2000
207,3,70390,2500
207,4,93860,3330
207,5,140790,5000
208,1,46960,1670
208,2,56350,2000
208,3,70430,2500
208,4,93910,3330
208,5,140870,5000
209,1,47000,1670
209,2,56400,2000
209,3,70500,2500
209,4,94010,3330
209,5,141010,5000
210,1,47070,1670
210,2,56480,2000
210,3,70600,2500
210,4,94140,3330
210,5,141210,5000
211,1,47160,1670
211,2,56590,2000
211,3,70740,2500
211,4,94310,3330
211,5,141470,5000
212,1,47260,1670
212,2,56720,2000
212,3,70900,2500
212,4,94530,3330
212,5,141790,5000
213,1,47390,1670
213,2,56870,2000
213,3,71090,2500
213,4,94790,3330
213,5,142180,5000
214,1,47540,1670
214,2,57050,2000
214,3,71310,2500
214,4,95080,3330
214,5,142630,5000
215,1,47710,1670
215,2,57250,2000
215,3,71570,2500
215,4,95420,3330
215,5,143140,5000
216,1,47900,1670
216,2,57480,2000
216,3,71850,2500
216,4,95810,3330
216,5,143710,5000
217,1,48120,1670
217,2,57740,2000
217,3,72170,2500
217,4,96230,3330
217,5,144350,5000
218,1,48350,1670
218,2,58020,2000
218,3,72520,2500
218,4,96700,3330
218,5,145040,5000
219,1,48600,1670
219,2,58320,2000
219,3,72900,2500
219,4,97200,3330
219,5,145810,5000
220,1,48880,1670
220,2,58650,2000
220,3,73320,2500
220,4,97750,3330
220,5,146630,5000
221,1,49170,1670
221,2,59010,2000
221,3,73760,2500
221,4,98340,3330
221,5,147520,5000
222,1,49490,1670
222,2,59390,2000
222,3,74230,2500
222,4,98980,3330
222,5,148470,5000
223,1,49820,1670
223,2,59790,2000
223,3,74740,2500
223,4,99650,3330
223,5,149470,5000
224,1,50180,1670
224,2,60220,2000
224,3,75270,2500
224,4,100360,3330
224,5,150540,5000
225,1,50560,1670
225,2,60670,2000
225,3,75840,2500
225,4,101120,3330
225,5,151670,5000
226,1,50950,1670
226,2,61140,2000
226,3,76430,2500
226,4,101910,3330
226,5,152860,5000
227,1,51370,1670
227,2,61640,2000
227,3,77050,2500
227,4,102740,3330
227,5,154110,5000
228,1,51800,1670
228,2,62160,2000
228,3,77700,2500
228,4,103600,3330
228,5,155410,5000
229,1,52250,1670
229,2,62700,2000
229,3,78380,2500
229,4,104510,3330
229,5,156760,5000
230,1,52720,1670
230,2,63270,2000
230,3,79080,2500
230,4,105450,3330
230,5,158170,5000
231,1,53210,1670
231,2,63850,2000
231,3,79810,2500
231,4,106420,3330
231,5,159630,5000
232,1,53710,1670
232,2,64450,2000
232,3,80570,2500
232,4,107420,3330
232,5,161130,5000
233,1,54230,1670
233,2,65080,2000
233,3,81340,2500
233,4,108460,3330
233,5,162690,5000
234,1,54760,1670
234,2,65710,2000
234,3,82140,2500
234,4,109520,3330
234,5,164280,5000
235,1,55240,1670
235,2,66290,2000
235,3,82860,2500
235,4,110480,3330
235,5,165720,5000
236,1,55630,1670
236,2,66760,2000
236,3,83450,2500
236,4,111260,3330
236,5,166900,5000
237,1,55950,1670
237,2,67130,2000
237,3,83920,2500
237,4,111890,3330
237,5,167840,5000
238,1,56180,1670
238,2,67420,2000
238,3,84270,2500
238,4,112370,3330
238,5,168550,5000
239,1,56350,1670
239,2,67610,2000
239,3,84520,2500
239,4,112690,3330
239,5,169040,5000
240,1,56440,1670
240,2,67720,2000
240,3,84660,2500
240,4,112870,3330
240,5,169310,5000
241,1,56460,1670
241,2,67750,2000
241,3,84690,2500
241,4,112920,3330
241,5,169380,5000
242,1,57320,1670
242,2,68780,2000
242,3,85970,2500
242,4,114630,3330
242,5,171950,5000
243,1,58130,1670
243,2,69760,2000
243,3,87200,2500
243,4,116270,3330
243,5,174400,5000
244,1,58920,1670
244,2,70700,2000
244,3,88370,2500
244,4,117830,3330
244,5,176750,5000
245,1,59660,1670
245,2,71600,2000
245,3,89500,2500
245,4,119330,3330
245,5,178990,5000
246,1,60380,1670
246,2,72450,2000
246,3,90570,2500
246,4,120760,3330
246,5,181140,5000
247,1,61060,1670
247,2,73270,2000
247,3,91590,2500
247,4,122120,3330
247,5,183180,5000
248,1,61710,1670
248,2,74050,2000
248,3,92570,2500
248,4,123420,3330
248,5,185140,5000
249,1,62330,1670
249,2,74800,2000
249,3,93500,2500
249,4,124660,3330
249,5,187000,5000
250,1,62920,1670
250,2,75510,2000
250,3,94390,2500
250,4,125850,3330
250,5,188770,5000
251,1,63490,1670
251,2,76180,2000
251,3,95230,2500
251,4,126970,3330
251,5,190460,5000
252,1,64020,1670
252,2,76820,2000
252,3,96030,2500
252,4,128040,3330
252,5,192060,5000
253,1,64530,1670
253,2,77430,2000
253,3,96790,2500
253,4,129060,3330
253,5,193590,5000
254,1,65010,1670
254,2,78010,2000
254,3,97520,2500
254,4,130020,3330
254,5,195030,5000
255,1,65470,1670
255,2,78560,2000
255,3,98200,2500
255,4,130940,3330
255,5,196400,5000
256,1,65900,1670
256,2,79080,2000
256,3,98850,2500
256,4,131800,3330
256,5,197700,5000
257,1,66310,1670
257,2,79570,2000
257,3,99470,2500
257,4,132620,3330
257,5,198930,5000
258,1,66700,1670
258,2,80040,2000
258,3,100050,2500
258,4,133400,3330
258,5,200100,5000
259,1,67070,1670
259,2,80480,2000
259,3,100600,2500
259,4,134130,3330
259,5,201200,5000
260,1,67410,1670
260,2,80890,2000
260,3,101120,2500
260,4,134820,3330
260,5,202230,5000
261,1,67740,1670
261,2,81280,2000
261,3,101610,2500
261,4,135470,3330
261,5,203210,5000
262,1,68040,1670
262,2,81650,2000
262,3,102070,2500
262,4,136090,3330
262,5,204130,5000
263,1,68330,1670
263,2,82000,2000
263,3,102500,2500
263,4,136660,3330
263,5,205000,5000
264,1,68600,1670
264,2,82320,2000
264,3,102900,2500
264,4,137210,3330
264,5,205810,5000
265,1,68860,1670
265,2,82630,2000
265,3,103290,2500
265,4,137710,3330
265,5,206570,5000
266,1,69090,1670
266,2,82910,2000
266,3,103640,2500
266,4,138190,3330
266,5,207280,5000
267,1,69320,1670
267,2,83180,2000
267,3,103970,2500
267,4,138630,3330
267,5,207950,5000
268,1,69520,1670
268,2,83430,2000
268,3,104290,2500
268,4,139050,3330
268,5,208570,5000
269,1,69720,1670
269,2,83660,2000
269,3,104580,2500
269,4,139430,3330
269,5,209150,5000
270,1,69900,1670
270,2,83880,2000
270,3,104850,2500
270,4,139790,3330
270,5,209690,5000
271,1,70060,1670
271,2,84080,2000
271,3,105100,2500
271,4,140130,3330
271,5,210190,5000
272,1,70220,1670
272,2,84260,2000
272,3,105330,2500
272,4,140440,3330
272,5,210660,5000
273,1,70360,1670
273,2,84430,2000
273,3,105540,2500
273,4,140720,3330
273,5,211090,5000
274,1,70490,1670
274,2,84590,2000
274,3,105740,2500
274,4,140990,3330
274,5,211480,5000
275,1,70620,1670
275,2,84740,2000
275,3,105920,2500
275,4,141230,3330
275,5,211850,5000
276,1,70730,1670
276,2,84870,2000
276,3,106090,2500
276,4,141460,3330
276,5,212190,5000
277,1,70830,1670
277,2,85000,2000
277,3,106250,2500
277,4,141660,3330
277,5,212490,5000
278,1,70930,1670
278,2,85110,2000
278,3,106390,2500
278,4,141850,3330
278,5,212780,5000
279,1,71010,1670
279,2,85210,2000
279,3,106520,2500
279,4,142020,3330
279,5,213030,5000
280,1,71090,1670
280,2,85310,2000
280,3,106630,2500
280,4,142180,3330
280,5,213270,5000
281,1,71160,1670
281,2,85390,2000
281,3,106740,2500
