Id,ManagerGrade,QuestType,GroupType,TaskType,TaskCondition,TaskCount,TaskContentType,NpcAutoMoveID,ContentsLockId,Help,RewardContribution,Reward1Type,Reward1ItemInfold,Reward1Count,Reward2Type,Reward2ItemInfold,Reward2Count,Reward3Type,Reward3ItemInfold,Reward3Count,GuildRewardType1,GuildRewardItemInfold1,GuildRewardCount1,GuildRewardType2,GuildRewardItemInfold2,GuildRewardCount2
402,2,1,9,83,20398,1,130,800102,,0,,6,500001,15,6,500002,10,1,,10000,7,,,7,,
403,3,1,9,83,20498,1,130,800103,,0,,6,500002,10,6,500003,10,1,,10000,7,,,7,,
404,1,1,9,83,20598,1,130,800104,,0,,6,500001,15,6,500002,10,6,500003,10,7,,,7,,
405,2,1,9,83,20698,1,130,800105,,0,,6,500001,15,6,500051,3,1,,10000,7,,,7,,
406,3,1,9,83,20798,1,130,800106,,0,,6,500002,10,6,500052,3,1,,10000,7,,,7,,
407,1,1,9,83,20898,1,130,800107,,0,,6,500003,10,6,500053,5,1,,10000,7,,,7,,
408,2,1,9,83,20998,1,130,800108,,0,,6,500003,10,6,500071,10,6,500119,2,7,,,7,,
409,3,1,9,83,21198,1,130,800109,,0,,6,500051,3,6,500071,10,6,500119,2,7,,,7,,
1001,1,2,3,130,,10,45,,19,0,50,1,,3000,29,,,29,,,3,500061,7,6,,35
1002,2,2,3,131,,20,46,,20,0,50,1,,3000,29,,,29,,,3,500062,5,5,,70
1011,1,2,3,220,C,7,68,,,0,50,1,,3000,29,,,29,,,3,500063,5,6,,35
1012,1,2,3,220,B,5,68,,,0,50,6,490022,1,29,,,29,,,3,500081,15,5,,70
1013,2,2,3,220,A,3,68,,,0,50,6,490022,1,29,,,29,,,6,,35,5,,70
1014,3,2,3,220,S,1,68,,,0,50,6,490022,1,29,,,29,,,5,,70,3,500061,7
1031,1,2,1,14,,150,130,,,0,50,6,490022,1,29,,,29,,,3,500061,7,3,500062,5
1032,2,2,1,11,1000000,1,130,,,0,50,6,490022,1,29,,,29,,,3,500062,5,3,500063,5
1101,3,2,1,80,All,1000,130,,,0,50,6,500119,1,29,,,29,,,3,500081,15,6,,35
1102,2,2,1,80,Elite,500,6,,,0,50,6,500119,1,29,,,29,,,3,500061,7,3,500081,15
1103,3,2,1,80,Hero,3,130,,,0,50,6,500119,1,29,,,29,,,3,500062,5,3,500081,15
1104,2,2,5,83,20471,1,130,10001,,0,50,6,500119,1,29,,,29,,,3,500063,5,3,500081,15
1105,2,2,1,83,305,1,5,,29,0,50,1,,3000,29,,,29,,,3,500061,7,6,,35
1106,1,2,1,83,304,3,5,,29,0,50,1,,3000,29,,,29,,,3,500062,5,5,,70
1107,3,2,1,83,301,1,5,,29,0,50,1,,3000,29,,,29,,,3,500063,5,6,,35
1108,1,2,1,83,302,1,5,,29,0,50,6,490022,1,29,,,29,,,3,500081,15,5,,70
1109,3,2,1,83,303,1,5,,29,0,50,6,490022,1,29,,,29,,,6,,35,5,,70
1151,1,2,1,81,300201,50,15,,116,0,50,6,490022,1,29,,,29,,,5,,70,3,500061,7
1152,2,2,1,81,300203,50,15,,117,0,50,6,490022,1,29,,,29,,,3,500061,7,3,500062,5
1153,3,2,1,81,300205,50,15,,123,0,50,6,490022,1,29,,,29,,,3,500062,5,3,500063,5
1201,1,2,1,141,,7,1,,10,0,50,6,500119,1,29,,,29,,,3,500081,15,6,,35
1202,2,2,1,142,,7,1,,10,0,50,6,500119,1,29,,,29,,,3,500061,7,3,500081,15
1203,3,2,1,140,7,1,1,,10,0,50,6,500119,1,29,,,29,,,3,500062,5,3,500081,15
1301,3,2,1,95,Hard,3,7,,104,0,50,6,500119,1,29,,,29,,,3,500063,5,3,500081,15
1303,3,2,3,93,,3,9,,15,0,50,1,,3000,29,,,29,,,3,500061,7,6,,35
1304,2,2,2,97,,30,5,,29,0,50,1,,3000,29,,,29,,,3,500062,5,5,,70
1306,3,2,1,221,Hard,2,10,,113,0,50,1,,3000,29,,,29,,,3,500063,5,6,,35
1307,1,2,1,222,50,1,10,,113,0,50,6,490022,1,29,,,29,,,3,500081,15,5,,70
1308,3,2,1,223,Hard,2,8,,112,0,50,6,490022,1,29,,,29,,,6,,35,5,,70
1401,1,2,1,83,301001,1,15,,116,0,50,6,490022,1,29,,,29,,,5,,70,3,500061,7
1402,2,2,1,83,301101,1,15,,116,0,50,6,490022,1,29,,,29,,,3,500061,7,3,500062,5
1403,2,2,1,83,301201,1,15,,116,0,50,6,490022,1,29,,,29,,,3,500062,5,3,500063,5
1411,1,2,1,83,300001,1,15,,117,0,50,6,500119,1,29,,,29,,,3,500061,7,3,500081,15
1412,2,2,1,83,300101,1,15,,117,0,50,6,500119,1,29,,,29,,,3,500062,5,3,500081,15
1413,2,2,1,83,300201,1,15,,117,0,50,6,500119,1,29,,,29,,,3,500063,5,3,500081,15
1421,2,2,1,83,302001,1,15,,123,0,50,1,,3000,29,,,29,,,3,500062,5,5,,70
1422,2,2,1,83,302101,1,15,,123,0,50,1,,3000,29,,,29,,,3,500063,5,6,,35
1423,3,2,1,83,302201,1,15,,123,0,50,6,490022,1,29,,,29,,,3,500081,15,5,,70
1501,2,2,3,20,,10,18,,16,0,50,6,500119,1,29,,,29,,,3,500081,15,6,,35
1502,1,2,3,21,,5,18,,16,0,50,6,500119,1,29,,,29,,,3,500061,7,3,500081,15
1511,1,2,3,52,Elixir,3,20,,28,0,50,6,500119,1,29,,,29,,,3,500062,5,3,500081,15
1521,3,2,2,0,,150000,130,,,0,50,6,500119,1,29,,,29,,,3,500063,5,3,500081,15
1522,2,2,2,50,BloodCrystal,1000,6,,,0,50,1,,3000,29,,,29,,,3,500061,7,6,,35
1523,1,2,2,50,RedStarStone,100,6,,,0,50,1,,3000,29,,,29,,,3,500062,5,5,,70
1524,2,2,2,50,MonsterCore,10,19,,,0,50,1,,3000,29,,,29,,,3,500063,5,6,,35
1525,3,2,2,50,SoulCrystal,5,6,,,0,50,6,490022,1,29,,,29,,,3,500081,15,5,,70
1527,3,2,4,51,C,10,130,,,0,50,6,490022,1,29,,,29,,,5,,70,3,500061,7
1528,1,2,4,51,B,5,130,,,0,50,6,490022,1,29,,,29,,,3,500061,7,3,500062,5
1529,2,2,4,51,A,3,130,,,0,50,6,490022,1,29,,,29,,,3,500062,5,3,500063,5
1530,3,2,4,51,S,2,130,,,0,50,6,500119,1,29,,,29,,,3,500081,15,6,,35
1551,3,2,4,50,Equipment,50,130,,,0,50,6,500119,1,29,,,29,,,3,500062,5,3,500081,15
1552,1,2,4,50,PetEquipment,50,90,,,0,50,6,500119,1,29,,,29,,,3,500063,5,3,500081,15
1601,2,2,4,57,,10,55,,1,0,50,1,,3000,29,,,29,,,3,500061,7,6,,35
1602,1,2,4,190,,10,93,,1,0,50,1,,3000,29,,,29,,,3,500062,5,5,,70
1603,1,2,4,61,,1,56,,1,0,50,1,,3000,29,,,29,,,3,500063,5,6,,35
1604,3,2,4,58,,2,57,,1,0,50,6,490022,1,29,,,29,,,3,500081,15,5,,70
1605,3,2,4,53,,3,58,,1,0,50,6,490022,1,29,,,29,,,6,,35,5,,70
1606,2,2,4,55,,1,58,,1,0,50,6,490022,1,29,,,29,,,5,,70,3,500061,7
1607,1,2,4,62,,1,59,,1,0,50,6,490022,1,29,,,29,,,3,500061,7,3,500062,5
1608,1,2,4,60,,1,60,,1,0,50,6,490022,1,29,,,29,,,3,500062,5,3,500063,5
1609,2,2,4,69,,1,61,,1,0,50,6,500119,1,29,,,29,,,3,500081,15,6,,35
1801,3,2,2,41,SoulShot,1000,29,,2,0,50,6,500119,1,29,,,29,,,3,500081,15,6,,35
1802,2,2,2,41,HPPotion,70,29,,,0,50,6,500119,1,29,,,29,,,3,500061,7,3,500081,15
1803,1,2,2,41,MPPotion,70,29,,,0,50,6,500119,1,29,,,29,,,3,500062,5,3,500081,15
1804,3,2,2,4,Adena,200000,82,,,0,50,6,500119,1,29,,,29,,,3,500063,5,3,500081,15
1805,1,2,2,4,FreeDiamond,240,27,,,0,50,1,,3000,29,,,29,,,3,500061,7,6,,35
1806,2,2,2,4,PayDiamond,240,27,,,0,50,1,,3000,29,,,29,,,3,500062,5,5,,70
1807,3,2,4,53,,5,58,,1,0,50,1,,3000,29,,,29,,,3,500063,5,6,,35
1901,1,2,5,167,,350,2,,,0,50,6,490022,1,29,,,29,,,6,,35,5,,70
1902,3,2,5,166,,20,2,,,0,50,6,490022,1,29,,,29,,,5,,70,3,500061,7
1903,3,2,5,163,,50,2,,,0,50,6,490022,1,29,,,29,,,3,500061,7,3,500062,5
1904,3,2,5,164,,100000,2,,,0,50,6,490022,1,29,,,29,,,3,500062,5,3,500063,5
1905,2,2,5,165,,1200,2,,,0,50,6,500119,1,29,,,29,,,3,500081,15,6,,35
1906,3,2,5,169,,800,2,,,0,50,6,500119,1,29,,,29,,,3,500061,7,3,500081,15
9015,3,2,5,230,1,1,43,,,0,50,6,500119,1,29,,,29,,,3,500062,5,3,500081,15
9016,1,2,5,230,2,1,43,,,0,50,6,500119,1,29,,,29,,,3,500063,5,3,500081,15
9017,2,2,5,230,3,1,43,,,0,50,1,,3000,29,,,29,,,3,500061,7,6,,35
9018,1,2,5,231,,3,43,,,0,50,1,,3000,29,,,29,,,3,500062,5,5,,70
9019,3,2,5,232,,3,43,,,0,50,1,,3000,29,,,29,,,3,500063,5,6,,35
