GroupId,SubId,TerritotyId,DungeonInfoId,NpcInfoId,RecommendLv,RecommendPower,RecommendPeople,MainReward1,MainReward2,MainReward3
104,104006,4,20112,110406,190,667100,1,1,,
104,104007,4,20113,110407,230,847600,2,1,,
104,104008,4,20114,110408,214,773200,2,1,,
104,104009,4,20115,110409,206,740100,1,1,,
104,104010,4,20116,110410,222,807500,2,1,,
104,104011,4,20117,110411,214,773200,3,1,,
104,104012,4,20118,110412,236,878200,2,1,,
104,104013,4,20119,110413,242,914300,2,1,,
104,104014,4,20120,110414,242,914300,2,1,,
104,104015,4,20121,110415,248,951000,1,1,,
104,104016,4,20122,110416,248,951000,1,1,,
104,104017,4,20123,110417,254,990200,2,1,,
104,104018,4,20124,110418,254,990200,2,1,,
104,104019,4,20125,110419,182,537300,3,1,,
104,104020,4,20126,110420,222,807500,3,1,,
104,104021,4,20127,110421,190,667100,3,1,,
104,104022,4,20128,110422,236,878200,3,1,,
104,104023,4,20129,110423,262,1037500,3,1,,
104,104024,4,20130,110424,268,1077600,3,1,,
104,104025,4,20163,110425,262,1037500,3,1,,
104,104026,4,20164,110426,268,1077600,3,1,,
104,104027,4,20165,110427,274,1113800,3,1,,
104,104028,4,20166,110428,282,1158500,3,1,,
201,201001,1,20131,120101,20,15600,5,1,460008,911158
201,201002,1,20132,120102,29,34200,5,1,460008,911159
201,201003,1,20133,120103,40,80200,5,1,460003,911160
201,201004,1,20134,120104,52,119100,5,1,460013,911161
201,201005,1,20135,120105,62,146000,5,1,460003,911162
202,202001,2,20136,120201,104,241900,20,1,460013,911163
202,202002,2,20137,120202,120,290900,20,1,460003,911164
202,202003,2,20138,120203,136,349100,20,1,460013,911165
203,203001,3,20139,120301,198,334700,20,1,460003,911166
203,203002,3,20140,120302,230,398200,20,1,460013,911167
301,301001,2,20146,130201,198,579500,100,1,911015,911173
