Id,Grade,Type,StartClass,RaceType,TransferRewardGroupId,RequiredClassInfoId,RequiredClassLv,BasicAttackSkillInfoId,Resource,IconTexture,StatusBarIconTexture,UsableWeapon,UsableArmor,MainWeapon1,MainWeapon2,MainWeapon3,MainArmor,RepresentSkill1,RepresentSkill2,RepresentSkill3,RepresentSkill4,RepresentSkill5
33,1,33,1,1,,31,0,1,BP_CharacterElf,CharacterSelect.Icon_Class_Common_03,CharacterSelect.Icon_Class_Common_03,011000,010,1414,1534,,2220,11122,11123,11124,11125,
34,1,34,1,1,,31,0,1,BP_CharacterElf,CharacterSelect.Icon_Class_Common_04,CharacterSelect.Icon_Class_Common_04,100000,100,1634,,,2230,11132,11133,21131,21132,
35,2,35,0,1,35,32,31,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_01,CharacterSelect.Icon_Class_Elf_01,000001,001,1126,,,2210,12211,12212,12213,20211,
36,2,36,0,1,36,32,31,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_02,CharacterSelect.Icon_Class_Elf_02,000110,001,1346,1236,,2210,12221,12222,12223,12224,
37,2,37,0,1,37,33,31,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_03,CharacterSelect.Icon_Class_Elf_03,001000,010,1416,,,2220,12231,12232,12233,20231,
38,2,38,0,1,38,33,31,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_04,CharacterSelect.Icon_Class_Elf_04,010000,010,1536,,,2220,12241,12242,12243,12244,
39,2,39,0,1,39,34,31,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_05,CharacterSelect.Icon_Class_Elf_05,100000,100,1646,,,2230,12251,12252,22251,20251,
40,2,40,0,1,40,34,31,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_06,CharacterSelect.Icon_Class_Elf_06,100000,100,1626,,,2230,12261,12262,12263,12264,
61,0,61,1,2,,0,0,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_Common_01,CharacterSelect.Icon_Class_Common_01,,,,,,,,,,,
62,1,62,1,2,,61,0,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_Common_02,CharacterSelect.Icon_Class_Common_02,000111,001,1124,1334,1224,2210,13112,13113,23001,23111,
63,1,63,1,2,,61,0,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_Common_03,CharacterSelect.Icon_Class_Common_03,011000,010,1444,1544,,2220,13122,13123,13124,13125,
64,1,64,1,2,,61,0,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_Common_04,CharacterSelect.Icon_Class_Common_04,100000,100,1614,,,2230,13132,13133,23131,23001,
65,2,65,0,2,65,62,31,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_01,CharacterSelect.Icon_Class_DarkElf_01,000001,001,1146,,,2210,13211,13212,13213,20211,
66,2,66,0,2,66,62,31,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_02,CharacterSelect.Icon_Class_DarkElf_02,000110,001,1316,1226,,2210,13221,13222,13223,13224,
67,2,67,0,2,67,63,31,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_03,CharacterSelect.Icon_Class_DarkElf_03,001000,010,1426,,,2220,13231,13232,23231,20231,
68,2,68,0,2,68,63,31,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_04,CharacterSelect.Icon_Class_DarkElf_04,010000,010,1526,,,2220,13241,13242,13243,13244,
69,2,69,0,2,69,64,31,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_05,CharacterSelect.Icon_Class_DarkElf_05,100000,100,1646,,,2230,13251,13252,13253,20251,
70,2,70,0,2,70,64,31,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_06,CharacterSelect.Icon_Class_DarkElf_06,100000,100,1636,,,2230,13261,13262,13263,20261,
91,0,91,1,3,,0,0,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Common_01,CharacterSelect.Icon_Class_Common_01,,,,,,,,,,,
92,1,92,1,3,,91,0,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Common_02,CharacterSelect.Icon_Class_Common_02,000111,001,1144,1344,1214,2210,14112,14113,24001,24111,
93,1,93,1,3,,91,0,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Common_03,CharacterSelect.Icon_Class_Common_03,011000,010,1434,1524,,2220,14122,14123,14124,14125,
94,1,94,1,3,,91,0,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Common_04,CharacterSelect.Icon_Class_Common_04,100000,100,1634,,,2230,14132,14133,24001,24131,
95,2,95,0,3,95,92,31,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_01,CharacterSelect.Icon_Class_Dwarf_01,000001,001,1136,,,2210,14211,14212,24211,20211,
96,2,96,0,3,96,92,31,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_02,CharacterSelect.Icon_Class_Dwarf_02,000110,001,1336,1246,,2210,14221,14222,14223,20221,
97,2,97,0,3,97,93,31,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_03,CharacterSelect.Icon_Class_Dwarf_03,001000,010,1416,,,2220,14231,14232,14233,20231,
98,2,98,0,3,98,93,31,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_04,CharacterSelect.Icon_Class_Dwarf_04,010000,010,1546,,,2220,14241,14242,24241,20241,
99,2,99,0,3,99,94,31,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_05,CharacterSelect.Icon_Class_Dwarf_05,100000,100,1646,,,2230,14251,14252,14253,20251,
100,2,100,0,3,100,94,31,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_06,CharacterSelect.Icon_Class_Dwarf_06,100000,100,1626,,,2230,14261,14262,14263,20261,
