GroupId,SubId,RewardExp,RewardAdena,RewardItemGroup,StartPointX,StartPointY,SectionInfoParam,SectionPositionParam,AddintionalInfoParam
9013,1,,,,-1111,5850,"[
{""npcSpawnGroupId"":17199},
{""npcSpawnGroupId"":17120},
{""npcSpawnGroupId"":17130,""killGadgetGroupId"":16001, ""killGadgetDelay"":5000, ""enableGadgetGroupId"":16003, ""killGadgetNpcSpawnGroupId"":17170},
{""npcSpawnGroupId"":17140},
{""npcSpawnGroupId"":17150,""killGadgetGroupId"":16002, ""killGadgetDelay"":4500, ""enableGadgetGroupId"":16004, ""killGadgetNpcSpawnGroupId"":17180},
{""npcSpawnGroupId"":17160},
{""npcSpawnGroupId"":17190,""killGadgetGroupId"":16005, ""killGadgetDelay"":2000, ""killGadgetNpcSpawnGroupId"":17195}
]",,"[{""eventSpotX"": 1017,""eventSpotY"":5824}, {""eventSpotX"": 1259, ""eventSpotY"":2494},{""eventSpotX"": 5171,""eventSpotY"":2394},
{""dungeonLimitTime"":300}]"
9014,2,,,,-1111,5850,"[
{""npcSpawnGroupId"":17299},
{""npcSpawnGroupId"":17220},
{""npcSpawnGroupId"":17230,""killGadgetGroupId"":16001, ""killGadgetDelay"":5000, ""enableGadgetGroupId"":16003, ""killGadgetNpcSpawnGroupId"":17270},
{""npcSpawnGroupId"":17240},
{""npcSpawnGroupId"":17250,""killGadgetGroupId"":16002, ""killGadgetDelay"":4500, ""enableGadgetGroupId"":16004, ""killGadgetNpcSpawnGroupId"":17280},
{""npcSpawnGroupId"":17260},
{""npcSpawnGroupId"":17290,""killGadgetGroupId"":16005, ""killGadgetDelay"":2000, ""killGadgetNpcSpawnGroupId"":17295}
]",,"[{""eventSpotX"": 1017,""eventSpotY"":5824}, {""eventSpotX"": 1259, ""eventSpotY"":2494},{""eventSpotX"": 5171,""eventSpotY"":2394},
{""dungeonLimitTime"":300}]"
9015,3,,,,-1111,5850,"[
{""npcSpawnGroupId"":17399},
{""npcSpawnGroupId"":17320},
{""npcSpawnGroupId"":17330,""killGadgetGroupId"":16001, ""killGadgetDelay"":5000, ""enableGadgetGroupId"":16003, ""killGadgetNpcSpawnGroupId"":17370},
{""npcSpawnGroupId"":17340},
{""npcSpawnGroupId"":17350,""killGadgetGroupId"":16002, ""killGadgetDelay"":4500, ""enableGadgetGroupId"":16004, ""killGadgetNpcSpawnGroupId"":17380},
{""npcSpawnGroupId"":17360},
{""npcSpawnGroupId"":17390,""killGadgetGroupId"":16005, ""killGadgetDelay"":2000, ""killGadgetNpcSpawnGroupId"":17395}
]",,"[{""eventSpotX"": 1017,""eventSpotY"":5824}, {""eventSpotX"": 1259, ""eventSpotY"":2494},{""eventSpotX"": 5171,""eventSpotY"":2394},
{""dungeonLimitTime"":300}]"
9017,1,,,,-2656,-27,"[
{""npcSpawnGroupId"":1006001, ""limitTime"":10},
{""npcSpawnGroupId"":1006002, ""limitTime"":10},
{""npcSpawnGroupId"":1006003, ""limitTime"":10},
{""npcSpawnGroupId"":1006004, ""limitTime"":10},
{""npcSpawnGroupId"":1006005, ""limitTime"":10},
{""npcSpawnGroupId"":1006006, ""limitTime"":10},
{""npcSpawnGroupId"":1006007, ""limitTime"":10},
{""npcSpawnGroupId"":1006008, ""limitTime"":10},
{""npcSpawnGroupId"":1006009, ""limitTime"":10},
{""npcSpawnGroupId"":1006010, ""limitTime"":10},
{""npcSpawnGroupId"":1006011, ""limitTime"":10},
{""npcSpawnGroupId"":1006012, ""limitTime"":10},
{""npcSpawnGroupId"":1006013, ""limitTime"":10},
{""npcSpawnGroupId"":1006014, ""limitTime"":10},
{""npcSpawnGroupId"":1006015, ""limitTime"":10},
{""npcSpawnGroupId"":1006016, ""limitTime"":10},
{""npcSpawnGroupId"":1006017, ""limitTime"":10},
{""npcSpawnGroupId"":1006008, ""limitTime"":10}
]",,"[{""dungeonLimitTime"":180}]"
9017,2,,,,-2656,-27,"[
{""npcSpawnGroupId"":1006101, ""limitTime"":10},
{""npcSpawnGroupId"":1006102, ""limitTime"":10},
{""npcSpawnGroupId"":1006103, ""limitTime"":10},
{""npcSpawnGroupId"":1006104, ""limitTime"":10},
{""npcSpawnGroupId"":1006105, ""limitTime"":10},
{""npcSpawnGroupId"":1006106, ""limitTime"":10},
{""npcSpawnGroupId"":1006107, ""limitTime"":10},
{""npcSpawnGroupId"":1006108, ""limitTime"":10},
{""npcSpawnGroupId"":1006109, ""limitTime"":10},
{""npcSpawnGroupId"":1006110, ""limitTime"":10},
{""npcSpawnGroupId"":1006111, ""limitTime"":10},
{""npcSpawnGroupId"":1006112, ""limitTime"":10},
{""npcSpawnGroupId"":1006113, ""limitTime"":10},
{""npcSpawnGroupId"":1006114, ""limitTime"":10},
{""npcSpawnGroupId"":1006115, ""limitTime"":10},
{""npcSpawnGroupId"":1006116, ""limitTime"":10},
{""npcSpawnGroupId"":1006117, ""limitTime"":10},
{""npcSpawnGroupId"":1006108, ""limitTime"":10}
]",,"[{""dungeonLimitTime"":180}]"
9017,3,,,,-2656,-27,"[
{""npcSpawnGroupId"":1006201, ""limitTime"":10},
{""npcSpawnGroupId"":1006202, ""limitTime"":10},
{""npcSpawnGroupId"":1006203, ""limitTime"":10},
{""npcSpawnGroupId"":1006204, ""limitTime"":10},
{""npcSpawnGroupId"":1006205, ""limitTime"":10},
{""npcSpawnGroupId"":1006206, ""limitTime"":10},
{""npcSpawnGroupId"":1006207, ""limitTime"":10},
{""npcSpawnGroupId"":1006208, ""limitTime"":10},
{""npcSpawnGroupId"":1006209, ""limitTime"":10},
{""npcSpawnGroupId"":1006210, ""limitTime"":10},
{""npcSpawnGroupId"":1006211, ""limitTime"":10},
{""npcSpawnGroupId"":1006212, ""limitTime"":10},
{""npcSpawnGroupId"":1006213, ""limitTime"":10},
{""npcSpawnGroupId"":1006214, ""limitTime"":10},
{""npcSpawnGroupId"":1006215, ""limitTime"":10},
{""npcSpawnGroupId"":1006216, ""limitTime"":10},
{""npcSpawnGroupId"":1006217, ""limitTime"":10},
{""npcSpawnGroupId"":1006208, ""limitTime"":10}
]",,"[{""dungeonLimitTime"":180}]"
9017,4,,,,-2656,-27,"[
{""npcSpawnGroupId"":1006301, ""limitTime"":10},
{""npcSpawnGroupId"":1006302, ""limitTime"":10},
{""npcSpawnGroupId"":1006303, ""limitTime"":10},
{""npcSpawnGroupId"":1006304, ""limitTime"":10},
{""npcSpawnGroupId"":1006305, ""limitTime"":10},
{""npcSpawnGroupId"":1006306, ""limitTime"":10},
{""npcSpawnGroupId"":1006307, ""limitTime"":10},
{""npcSpawnGroupId"":1006308, ""limitTime"":10},
{""npcSpawnGroupId"":1006309, ""limitTime"":10},
{""npcSpawnGroupId"":1006310, ""limitTime"":10},
{""npcSpawnGroupId"":1006311, ""limitTime"":10},
{""npcSpawnGroupId"":1006312, ""limitTime"":10},
{""npcSpawnGroupId"":1006313, ""limitTime"":10},
{""npcSpawnGroupId"":1006314, ""limitTime"":10},
{""npcSpawnGroupId"":1006315, ""limitTime"":10},
{""npcSpawnGroupId"":1006316, ""limitTime"":10},
{""npcSpawnGroupId"":1006317, ""limitTime"":10},
{""npcSpawnGroupId"":1006308, ""limitTime"":10}
]",,"[{""dungeonLimitTime"":180}]"
11100,1,200,3000,11100,9206,3516,"[
{""npcSpawnGroupId"":3007,""bossNpcId"":70107}
]","[{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":180}]"
11101,1,8000,7000,11101,4565,7793,"[
{""npcSpawnGroupId"":3011,""killGadgetGroupId"":10001},
{""npcSpawnGroupId"":3017,""bossNpcId"":70261}
]","[{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":180}]"
11101,2,8000,7000,11101,9209,8071,"[
{""npcSpawnGroupId"":3012,""killGadgetGroupId"":10002},
{""npcSpawnGroupId"":3017,""bossNpcId"":70261}
]","[{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":180}]"
11101,3,8000,7000,11101,13496,8032,"[
{""npcSpawnGroupId"":3013,""killGadgetGroupId"":10003},
{""npcSpawnGroupId"":3017,""bossNpcId"":70261}
]","[{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":180}]"
11102,1,15000,10000,11102,4565,7793,"[
{""npcSpawnGroupId"":3021,""killGadgetGroupId"":10004},
{""npcSpawnGroupId"":3022,""killGadgetGroupId"":10002,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3027,""bossNpcId"":70514}
]","[{""x"":9201,""y"":7606},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":240}]"
11102,2,15000,10000,11102,9209,8071,"[
{""npcSpawnGroupId"":3022,""killGadgetGroupId"":10004},
{""npcSpawnGroupId"":3021,""killGadgetGroupId"":10001,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3027,""bossNpcId"":70514}
]","[{""x"":4917,""y"":7336},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":240}]"
11102,3,15000,10000,11102,9209,8071,"[
{""npcSpawnGroupId"":3022,""killGadgetGroupId"":10005},
{""npcSpawnGroupId"":3023,""killGadgetGroupId"":10003,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3027,""bossNpcId"":70514}
]","[{""x"":13364,""y"":7516},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":240}]"
11102,4,15000,10000,11102,13592,8092,"[
{""npcSpawnGroupId"":3023,""killGadgetGroupId"":10005},
{""npcSpawnGroupId"":3022,""killGadgetGroupId"":10002,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3027,""bossNpcId"":70514}
]","[{""x"":9201,""y"":7606},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":240}]"
11102,5,15000,10000,11102,4947,12058,"[
{""npcSpawnGroupId"":3024,""killGadgetGroupId"":10006},
{""npcSpawnGroupId"":3021,""killGadgetGroupId"":10001,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3027,""bossNpcId"":70514}
]","[{""x"":4917,""y"":7336},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":240}]"
11102,6,15000,10000,11102,9146,11821,"[
{""npcSpawnGroupId"":3025,""killGadgetGroupId"":10007},
{""npcSpawnGroupId"":3022,""killGadgetGroupId"":10002,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3027,""bossNpcId"":70514}
]","[{""x"":9201,""y"":7606},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":240}]"
11102,7,15000,10000,11102,13400,11838,"[
{""npcSpawnGroupId"":3026,""killGadgetGroupId"":10008},
{""npcSpawnGroupId"":3023,""killGadgetGroupId"":10003,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3027,""bossNpcId"":70514}
]","[{""x"":13364,""y"":7516},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":240}]"
11103,1,25000,15000,11103,4947,12058,"[
{""npcSpawnGroupId"":3034,""killGadgetGroupId"":10006},
{""npcSpawnGroupId"":3031,""killGadgetGroupId"":10004,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3032,""killGadgetGroupId"":10002,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3037,""bossNpcId"":70715}
]","[{""x"":4917,""y"":7336},
{""x"":9201,""y"":7606},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":300}]"
11103,2,25000,15000,11103,4974,12058,"[
{""npcSpawnGroupId"":3034,""killGadgetGroupId"":10009},
{""npcSpawnGroupId"":3035,""killGadgetGroupId"":10007,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3032,""killGadgetGroupId"":10002,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3037,""bossNpcId"":70715}
]","[{""x"":9051,""y"":11530},
{""x"":9201,""y"":7606},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":300}]"
11103,3,25000,15000,11103,9146,11821,"[
{""npcSpawnGroupId"":3035,""killGadgetGroupId"":10007},
{""npcSpawnGroupId"":3032,""killGadgetGroupId"":10004,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3031,""killGadgetGroupId"":10001,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3037,""bossNpcId"":70715}
]","[{""x"":9201,""y"":7606},
{""x"":4917,""y"":7336},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":300}]"
11103,4,25000,15000,11103,9146,11821,"[
{""npcSpawnGroupId"":3035,""killGadgetGroupId"":10007},
{""npcSpawnGroupId"":3032,""killGadgetGroupId"":10005,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3033,""killGadgetGroupId"":10003,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3037,""bossNpcId"":70715}
]","[{""x"":9201,""y"":7606},
{""x"":13364,""y"":7516},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":300}]"
11103,5,25000,15000,11103,9146,11821,"[
{""npcSpawnGroupId"":3035,""killGadgetGroupId"":10009},
{""npcSpawnGroupId"":3034,""killGadgetGroupId"":10006,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3031,""killGadgetGroupId"":10001,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3037,""bossNpcId"":70715}
]","[{""x"":4917,""y"":11560},
{""x"":4917,""y"":7336},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":300}]"
11103,6,25000,15000,11103,9146,11821,"[
{""npcSpawnGroupId"":3035,""killGadgetGroupId"":10010},
{""npcSpawnGroupId"":3036,""killGadgetGroupId"":10008,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3033,""killGadgetGroupId"":10003,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3037,""bossNpcId"":70715}
]","[{""x"":13394,""y"":11485},
{""x"":13364,""y"":7516},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":300}]"
11103,7,25000,15000,11103,13400,11838,"[
{""npcSpawnGroupId"":3036,""killGadgetGroupId"":10010},
{""npcSpawnGroupId"":3035,""killGadgetGroupId"":10007,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3032,""killGadgetGroupId"":10002,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3037,""bossNpcId"":70715}
]","[{""x"":9051,""y"":11530},
{""x"":9201,""y"":7606},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":300}]"
11103,8,25000,15000,11103,13400,11838,"[
{""npcSpawnGroupId"":3036,""killGadgetGroupId"":10008},
{""npcSpawnGroupId"":3033,""killGadgetGroupId"":10005,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3032,""killGadgetGroupId"":10002,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3037,""bossNpcId"":70715}
]","[{""x"":13364,""y"":7516},
{""x"":9201,""y"":7606},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":300}]"
11200,1,200,3000,11200,9206,3516,"[
{""npcSpawnGroupId"":3107,""bossNpcId"":70101}
]","[{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":180}]"
11201,1,8000,7000,11201,4565,7793,"[
{""npcSpawnGroupId"":3111,""killGadgetGroupId"":10001},
{""npcSpawnGroupId"":3117,""bossNpcId"":70201}
]","[{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":180}]"
11201,2,8000,7000,11201,9209,8071,"[
{""npcSpawnGroupId"":3112,""killGadgetGroupId"":10002},
{""npcSpawnGroupId"":3117,""bossNpcId"":70201}
]","[{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":180}]"
11201,3,8000,7000,11201,13496,8032,"[
{""npcSpawnGroupId"":3113,""killGadgetGroupId"":10003},
{""npcSpawnGroupId"":3117,""bossNpcId"":70201}
]","[{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":180}]"
11202,1,15000,10000,11202,4565,7793,"[
{""npcSpawnGroupId"":3121,""killGadgetGroupId"":10004},
{""npcSpawnGroupId"":3122,""killGadgetGroupId"":10002,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3127,""bossNpcId"":70301}
]","[{""x"":9201,""y"":7606},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":240}]"
11202,2,15000,10000,11202,9209,8071,"[
{""npcSpawnGroupId"":3122,""killGadgetGroupId"":10004},
{""npcSpawnGroupId"":3121,""killGadgetGroupId"":10001,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3127,""bossNpcId"":70301}
]","[{""x"":4917,""y"":7336},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":240}]"
11202,3,15000,10000,11202,9209,8071,"[
{""npcSpawnGroupId"":3122,""killGadgetGroupId"":10005},
{""npcSpawnGroupId"":3123,""killGadgetGroupId"":10003,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3127,""bossNpcId"":70301}
]","[{""x"":13364,""y"":7516},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":240}]"
11202,4,15000,10000,11202,13592,8092,"[
{""npcSpawnGroupId"":3123,""killGadgetGroupId"":10005},
{""npcSpawnGroupId"":3122,""killGadgetGroupId"":10002,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3127,""bossNpcId"":70301}
]","[{""x"":9201,""y"":7606},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":240}]"
11202,5,15000,10000,11202,4947,12058,"[
{""npcSpawnGroupId"":3124,""killGadgetGroupId"":10006},
{""npcSpawnGroupId"":3121,""killGadgetGroupId"":10001,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3127,""bossNpcId"":70301}
]","[{""x"":4917,""y"":7336},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":240}]"
11202,6,15000,10000,11202,9146,11821,"[
{""npcSpawnGroupId"":3125,""killGadgetGroupId"":10007},
{""npcSpawnGroupId"":3122,""killGadgetGroupId"":10002,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3127,""bossNpcId"":70301}
]","[{""x"":9201,""y"":7606},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":240}]"
11202,7,15000,10000,11202,13400,11838,"[
{""npcSpawnGroupId"":3126,""killGadgetGroupId"":10008},
{""npcSpawnGroupId"":3123,""killGadgetGroupId"":10003,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3127,""bossNpcId"":70301}
]","[{""x"":13364,""y"":7516},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":240}]"
11203,1,25000,15000,11203,4947,12058,"[
{""npcSpawnGroupId"":3134,""killGadgetGroupId"":10006},
{""npcSpawnGroupId"":3131,""killGadgetGroupId"":10004,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3132,""killGadgetGroupId"":10002,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3137,""bossNpcId"":70601}
]","[{""x"":4917,""y"":7336},
{""x"":9201,""y"":7606},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":300}]"
11203,2,25000,15000,11203,4974,12058,"[
{""npcSpawnGroupId"":3134,""killGadgetGroupId"":10009},
{""npcSpawnGroupId"":3135,""killGadgetGroupId"":10007,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3132,""killGadgetGroupId"":10002,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3137,""bossNpcId"":70601}
]","[{""x"":9051,""y"":11530},
{""x"":9201,""y"":7606},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":300}]"
11203,3,25000,15000,11203,9146,11821,"[
{""npcSpawnGroupId"":3135,""killGadgetGroupId"":10007},
{""npcSpawnGroupId"":3132,""killGadgetGroupId"":10004,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3131,""killGadgetGroupId"":10001,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3137,""bossNpcId"":70601}
]","[{""x"":9201,""y"":7606},
{""x"":4917,""y"":7336},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":300}]"
11203,4,25000,15000,11203,9146,11821,"[
{""npcSpawnGroupId"":3135,""killGadgetGroupId"":10007},
{""npcSpawnGroupId"":3132,""killGadgetGroupId"":10005,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3133,""killGadgetGroupId"":10003,""npcSpawnGroupDelay"":7},
{""npcSpawnGroupId"":3137,""bossNpcId"":70601}
]","[{""x"":9201,""y"":7606},
{""x"":13364,""y"":7516},
{""x"":9171,""y"":2723}]","[{""dungeonLimitTime"":300}]"
