Id,GroupId,ConditionType,ConditionValue,TaskType,Repeat,ShowRateGroup,ShowRate,RequireQuest,CharLevel,PortraitTexture,Duration,Delay,Sound,LimitPeriod,LimitCount,AllowWorld,PvPLimit
100602,100601,11,2,113,0,,50,1102,1,Erika_03,3000,1000,Announce_008_2,1,1,World;RegularDungeonWorld,1
100701,100701,8,2,113,0,,50,1107,1,Erika_02,1000,5000,Announce_009_1,1,1,World;RegularDungeonWorld,1
100702,100701,8,2,113,0,,50,1107,1,Erika_03,3000,1000,Announce_009_2,1,1,World;RegularDungeonWorld,1
400000,400000,14,93,9,0,,50,,1,Erika_02,2500,500,Announce_Guide_Sympathy_Random_01,1,1,World;RegularDungeonWorld,0
400001,400000,14,93,9,0,,50,,1,Erika_01,2500,500,Announce_Guide_Normal_Random_01,1,1,World;RegularDungeonWorld,0
400002,400000,14,93,9,0,,50,,1,Erika_03,2500,500,Announce_Guide_Happiness_Random_01,1,1,World;RegularDungeonWorld,0
400100,400100,14,95,7,0,,50,,1,Erika_02,2500,500,Announce_Guide_Sympathy_Random_01,1,1,World;RegularDungeonWorld,0
400101,400100,14,95,7,0,,50,,1,Erika_01,2500,500,Announce_Guide_Normal_Random_01,1,1,World;RegularDungeonWorld,0
400102,400100,14,95,7,0,,50,,1,Erika_03,2500,500,Announce_Guide_Happiness_Random_01,1,1,World;RegularDungeonWorld,0
400200,400200,14,141,1,0,,50,,1,Erika_02,2500,500,Announce_Guide_Sympathy_Random_01,1,1,World;RegularDungeonWorld,0
400201,400200,14,141,1,0,,50,,1,Erika_01,2500,500,Announce_Guide_Normal_Random_01,1,1,World;RegularDungeonWorld,0
400202,400200,14,141,1,0,,50,,1,Erika_03,2500,500,Announce_Guide_Happiness_Random_01,1,1,World;RegularDungeonWorld,0
400300,400300,14,130,44,0,,50,,1,Erika_02,2500,500,Announce_Guide_Sympathy_Random_01,1,1,World;RegularDungeonWorld,0
400301,400300,14,130,44,0,,50,,1,Erika_01,2500,500,Announce_Guide_Normal_Random_01,1,1,World;RegularDungeonWorld,0
400302,400300,14,130,44,0,,50,,1,Erika_03,2500,500,Announce_Guide_Happiness_Random_01,1,1,World;RegularDungeonWorld,0
400400,400400,14,131,45,0,,50,,1,Erika_02,2500,500,Announce_Guide_Sympathy_Random_01,1,1,World;RegularDungeonWorld,0
400401,400400,14,131,45,0,,50,,1,Erika_01,2500,500,Announce_Guide_Normal_Random_01,1,1,World;RegularDungeonWorld,0
400402,400400,14,131,45,0,,50,,1,Erika_03,2500,500,Announce_Guide_Happiness_Random_01,1,1,World;RegularDungeonWorld,0
400500,400500,14,100,6,0,,50,,1,Erika_02,2500,500,Announce_Guide_Sympathy_Random_01,1,1,World;RegularDungeonWorld,0
400501,400500,14,100,6,0,,50,,1,Erika_01,2500,500,Announce_Guide_Normal_Random_01,1,1,World;RegularDungeonWorld,0
400502,400500,14,100,6,0,,50,,1,Erika_03,2500,500,Announce_Guide_Happiness_Random_01,1,1,World;RegularDungeonWorld,0
400600,400600,14,97,5,0,,50,,1,Erika_02,2500,500,Announce_Guide_Sympathy_Random_01,1,1,World;RegularDungeonWorld,0
400601,400600,14,97,5,0,,50,,1,Erika_01,2500,500,Announce_Guide_Normal_Random_01,1,1,World;RegularDungeonWorld,0
400602,400600,14,97,5,0,,50,,1,Erika_03,2500,500,Announce_Guide_Happiness_Random_01,1,1,World;RegularDungeonWorld,0
400700,400700,14,103,8,0,,50,,1,Erika_02,2500,500,Announce_Guide_Sympathy_Random_01,1,1,World;RegularDungeonWorld,0
400701,400700,14,103,8,0,,50,,1,Erika_01,2500,500,Announce_Guide_Normal_Random_01,1,1,World;RegularDungeonWorld,0
400702,400700,14,103,8,0,,50,,1,Erika_03,2500,500,Announce_Guide_Happiness_Random_01,1,1,World;RegularDungeonWorld,0
