Id,Keyword,ConditionType,ConditionValue,ConditionSubValue,ShowInProgressBar,SortNum,ContentIcon,BadgeType
10015,FESTIVAL,0,1,,0,,UI_Btn_CastleSiegeFestival,228
10016,WEBEVENT,0,1,,0,,UI_Btn_Reward,228
10017,NORMALSHOP,0,1,,0,,UI_Btn_Shop,228
10018,DIASHOP,0,1,,0,,UI_Btn_DiaShop,228
10019,PACKSHOP,0,1,,0,,UI_Btn_ShopPack,228
10021,BATTLEFIELD,0,1,,0,,UI_Btn_BattleField,228
10022,GUILDMAIN,0,1,,0,,UI_Btn_Guild,228
10023,GUILDDUNGEON,0,1,,0,,UI_Btn_Guild,228
10029,INVENTORY_SELL,0,1,,0,,UI_btn_Inventory,228
10030,INVENTORY_USE,0,1,,0,,UI_btn_Inventory,228
10031,INVENTORY_MOVE,0,1,,0,,UI_btn_Inventory,228
10032,SKILL_SKILLBOOK,0,1,,0,,UI_Btn_Skill,228
10034,RIDINGPET_EQUIPLEVELUP,0,1,,0,,UI_Btn_Vehicle,228
10035,RIDINGPET_SUMMON,0,1,,0,,UI_Btn_Vehicle,228
10036,RIDINGPET_LEVELUP,0,1,,0,,UI_Btn_Vehicle,228
10037,OPTION_INFO,0,1,,0,,UI_Btn_Setting,228
10038,NETMARBLE_FORUM,0,1,,0,,UI_BtnForum,228
10039,RIDINGPET_ENCHANT,0,1,,0,,UI_Btn_Vehicle,228
10040,OPTION_ACCOUNT,0,1,,0,,UI_Btn_Setting,228
301,EARRING_SLOT_1,0,60,,0,,UI_icon_menutab_accessory,228
303,RING_SLOT_1,0,40,,0,,UI_icon_menutab_accessory,228
401,MASTERY_SHOP,0,40,,0,,UI_Btn_Shop,228
